Massachusetts,マサチューセッツ州
FedEx Office,キンコーズ
Glamour (magazine),グラマー・(雑誌)
OpenVMS,OpenVMS
"Amsterdam, New York",アムステルダム・(ニューヨーク州)
Walmart,ウォルマート
"Cherokee County, North Carolina",チェロキー郡・(ノースカロライナ州)
"Deschutes County, Oregon",デシューツ郡・(オレゴン州)
"Aurora County, South Dakota",オーロラ郡
"Elko County, Nevada",エルコ郡・(ネバダ州)
"Guadalupe County, New Mexico",グアダルーペ郡・(ニューメキシコ州)
"Cheyenne County, Nebraska",シャイアン郡・(ネブラスカ州)
"Dallas County, Missouri",ダラス郡・(ミズーリ州)
"Dawes County, Nebraska",ドーズ郡・(ネブラスカ州)
"Morgan County, Ohio",モーガン郡・(オハイオ州)
"Union County, Ohio",ユニオン郡・(オハイオ州)
"Noble County, Oklahoma",ノーブル郡・(オクラホマ州)
"Stanley County, South Dakota",スタンリー郡・(サウスダコタ州)
"Stephens County, Oklahoma",スティーブンズ郡・(オクラホマ州)
"Lowndes County, Mississippi",ラウンズ郡・(ミシシッピ州)
"Moniteau County, Missouri",モニトー郡・(ミズーリ州)
"Madison County, Idaho",マディソン郡・(アイダホ州)
"Morgan County, Illinois",モーガン郡・(イリノイ州)
"Assumption Parish, Louisiana",アサンプション郡・(ルイジアナ州)
Battle of Island Number Ten,アイランドNo.10の戦い
"Caguas, Puerto Rico",カグアス
Invesco,インベスコ
East Side (Manhattan),イーストサイド・マンハッタン
"Edmonson County, Kentucky",エドモンソン郡・(ケンタッキー州)
"Jackson County, Wisconsin",ジャクソン郡・(ウィスコンシン州)
West Side (Manhattan),ウェストサイド・マンハッタン
"Cocke County, Tennessee",コック郡・(テネシー州)
"Jasper County, Missouri",ジャスパー郡・(ミズーリ州)
"Caribou County, Idaho",カリブー郡・(アイダホ州)
"Crenshaw County, Alabama",クレンショー郡・(アラバマ州)
"Gentry County, Missouri",ジェントリー郡・(ミズーリ州)
"Tallahatchie County, Mississippi",タラハチー郡・(ミシシッピ州)
"Beaufort County, North Carolina",ボーフォート郡・(ノースカロライナ州)
"Beaver County, Oklahoma",ビーバー郡・(オクラホマ州)
"Murray, Utah",マリ・(ユタ州)
"Clay County, Florida",クレイ郡・(フロリダ州)
"Oceanside, California",オーシャンサイド・(カリフォルニア州)
"Marion County, Iowa",マリオン郡・(アイオワ州)
"Montgomery County, Ohio",モンゴメリー郡・(オハイオ州)
"Clay County, South Dakota",クレイ郡・(サウスダコタ州)
"Woodward County, Oklahoma",ウッドワード郡・(オクラホマ州)
"Daytona Beach, Florida",デイトナビーチ
"Hudson County, New Jersey",ハドソン郡・(ニュージャージー州)
"Holmes County, Ohio",ホームズ郡・(オハイオ州)
"Plymouth County, Iowa",プリマス郡・(アイオワ州)
"Garden County, Nebraska",ガーデン郡・(ネブラスカ州)
"Keith County, Nebraska",キース郡・(ネブラスカ州)
"Yellowstone County, Montana",イエローストーン郡・(モンタナ州)
"Gem County, Idaho",ジェム郡・(アイダホ州)
"Jefferson County, Idaho",ジェファーソン郡・(アイダホ州)
"St. Lucie County, Florida",セントルーシー郡・(フロリダ州)
"Culver City, California",カルバーシティ
"Grady County, Georgia",グレイディ郡・(ジョージア州)
"Bacon County, Georgia",ベーコン郡・(ジョージア州)
"Bibb County, Georgia",ビッブ郡・(ジョージア州)
"Hancock County, Tennessee",ハンコック郡・(テネシー州)
"Trempealeau County, Wisconsin",トレムピーロー郡・(ウィスコンシン州)
"Etowah County, Alabama",エトワ郡・(アラバマ州)
"Greene County, Alabama",グリーン郡・(アラバマ州)
"Butler County, Pennsylvania",バトラー郡・(ペンシルベニア州)
"Monroe County, Illinois",モンロー郡・(イリノイ州)
"White County, Illinois",ホワイト郡・(イリノイ州)
"Crawford County, Pennsylvania",クロウフォード郡・(ペンシルベニア州)
"Cumberland County, Pennsylvania",カンバーランド郡・(ペンシルベニア州)
"Dyer County, Tennessee",ダイアー郡・(テネシー州)
"Turner County, South Dakota",ターナー郡・(サウスダコタ州)
"Bay County, Florida",ベイ郡・(フロリダ州)
"Marshall County, Oklahoma",マーシャル郡・(オクラホマ州)
"Carson, California",カーソン・(カリフォルニア州)
"Elk County, Pennsylvania",エルク郡・(ペンシルベニア州)
"Barren County, Kentucky",バーレン郡・(ケンタッキー州)
"Lac qui Parle County, Minnesota",ラクキパール郡・(ミネソタ州)
"Mitchell County, Iowa",ミッチェル郡・(アイオワ州)
"Nowata County, Oklahoma",ノワタ郡・(オクラホマ州)
Best Buy,ベスト・バイ
"Prosser, Washington",プロッサー・(ワシントン州)
Nolita,ノリータ
Piasecki Helicopter,パイアセッキ・ヘリコプター
"Dooly County, Georgia",ドゥーリー郡・(ジョージア州)
"Stewart County, Georgia",スチュアート郡・(ジョージア州)
"Pierce County, Georgia",ピアース郡・(ジョージア州)
"Pope County, Minnesota",ポープ郡・(ミネソタ州)
"Carroll County, Missouri",キャロル郡・(ミズーリ州)
"Grand Traverse County, Michigan",グランドトラバース郡・(ミシガン州)
"Boyle County, Kentucky",ボイル郡・(ケンタッキー州)
"Pomona, California",ポモナ・(カリフォルニア州)
"Centralia, Pennsylvania",セントラリア・(ペンシルベニア州)
"Kent County, Maryland",ケント郡・(メリーランド州)
"Emmet County, Michigan",エメット郡・(ミシガン州)
"Warren County, Georgia",ウォーレン郡・(ジョージア州)
"Warren County, Illinois",ウォーレン郡・(イリノイ州)
"LaSalle County, Illinois",ラサール郡・(イリノイ州)
"Yakutat, Alaska",ヤクタト・(アラスカ州)
"Campbell County, Tennessee",キャンベル郡・(テネシー州)
"Cannon County, Tennessee",キャノン郡・(テネシー州)
"Stone County, Missouri",ストーン郡・(ミズーリ州)
"Tioga County, Pennsylvania",タイオガ郡・(ペンシルベニア州)
"Hitchcock County, Nebraska",ヒッチコック郡・(ネブラスカ州)
"Meigs County, Ohio",メグズ郡・(オハイオ州)
"Vinton County, Ohio",ビントン郡・(オハイオ州)
"Clark County, Wisconsin",クラーク郡・(ウィスコンシン州)
"Wayne County, West Virginia",ウェイン郡・(ウェストバージニア州)
"Webster County, West Virginia",ウェブスター郡・(ウェストバージニア州)
"Camden County, New Jersey",カムデン郡・(ニュージャージー州)
Far East Broadcasting Company,FEBC
"Wheatland County, Montana",ウィートランド郡・(モンタナ州)
"Scott County, Missouri",スコット郡・(ミズーリ州)
"Shannon County, Missouri",シャノン郡・(ミズーリ州)
"Holt County, Nebraska",ホルト郡・(ネブラスカ州)
"Merrick County, Nebraska",メリック郡・(ネブラスカ州)
"Polk County, Nebraska",ポーク郡・(ネブラスカ州)
"Webster County, Missouri",ウェブスター郡・(ミズーリ州)
"Iberville Parish, Louisiana",アイバービル郡・(ルイジアナ州)
"Charlevoix County, Michigan",シャルルボア郡・(ミシガン州)
"Stoddard County, Missouri",ストッダード郡・(ミズーリ州)
Guguan,ググアン島
"Musselshell County, Montana",マッスルシェル郡・(モンタナ州)
"Yadkin County, North Carolina",ヤドキン郡・(ノースカロライナ州)
Christie's,クリスティーズ
"Spencer County, Kentucky",スペンサー郡・(ケンタッキー州)
"Wilcox County, Alabama",ウィルコックス郡・(アラバマ州)
"Broward County, Florida",ブロワード郡・(フロリダ州)
"Lancaster, California",ランカスター・(カリフォルニア州)
"Wharton County, Texas",ワートン郡・(テキサス州)
"Worth County, Georgia",ワース郡・(ジョージア州)
"Carroll County, Indiana",キャロル郡・(インディアナ州)
"Socorro, New Mexico",ソコロ
"Livingston County, New York",リビングストン郡・(ニューヨーク州)
"Randolph County, Illinois",ランドルフ郡・(イリノイ州)
"Roosevelt County, New Mexico",ルーズベルト郡・(ニューメキシコ州)
"Fullerton, California",フラートン・(カリフォルニア州)
"Moore County, Tennessee",ムーア郡・(テネシー州)
52nd Academy Awards,第52回アカデミー賞
Agricultural Adjustment Act,農業調整法
Second Battle of Rappahannock Station,第二次ラッパハノック駅の戦い
National Book Award,全米図書賞
"Caroline County, Maryland",キャロライン郡・(メリーランド州)
"Sarasota County, Florida",サラソータ郡・(フロリダ州)
"Franklin County, Kentucky",フランクリン郡・(ケンタッキー州)
"McIntosh County, Georgia",マッキントシュ郡・(ジョージア州)
"Meagher County, Montana",マー郡・(モンタナ州)
"Juniata County, Pennsylvania",ジュニアータ郡・(ペンシルベニア州)
"Wilson County, Tennessee",ウィルソン郡・(テネシー州)
"Craven County, North Carolina",クレイブン郡・(ノースカロライナ州)
"Humåtak, Guam",ウマタック
Qualcomm,クアルコム
"Salem, Virginia",セイラム・(バージニア州)
"Sequatchie County, Tennessee",シクアッチー郡・(テネシー州)
"Williamsburg County, South Carolina",ウィリアムズバーグ郡・(サウスカロライナ州)
"Broomfield, Colorado",ブルームフィールド・(コロラド州)
"Ferry County, Washington",フェリー郡・(ワシントン州)
"Salem County, New Jersey",セイラム郡・(ニュージャージー州)
"Simpson County, Kentucky",シンプソン郡・(ケンタッキー州)
"Braxton County, West Virginia",ブラクストン郡・(ウェストバージニア州)
"Venango County, Pennsylvania",ベナンゴ郡・(ペンシルベニア州)
"Jackson County, West Virginia",ジャクソン郡・(ウェストバージニア州)
"Wabash County, Indiana",ウォバッシュ郡・(インディアナ州)
"Franklin County, Tennessee",フランクリン郡・(テネシー州)
"Pickett County, Tennessee",ピケット郡・(テネシー州)
"Richardson County, Nebraska",リチャードソン郡・(ネブラスカ州)
"Washington County, Ohio",ワシントン郡・(オハイオ州)
"Coral Springs, Florida",コーラルスプリングス・(フロリダ州)
"Oldham County, Kentucky",オールダム郡・(ケンタッキー州)
"Red Lake County, Minnesota",レッドレイク郡・(ミネソタ州)
"Ripley County, Missouri",リプリー郡・(ミズーリ州)
"Henderson County, Tennessee",ヘンダーソン郡・(テネシー州)
"Monroe County, Tennessee",モンロー郡・(テネシー州)
"Lincoln County, Minnesota",リンカーン郡・(ミネソタ州)
"Logan County, Illinois",ローガン郡・(イリノイ州)
"Rock Island County, Illinois",ロックアイランド郡・(イリノイ州)
"Hanson County, South Dakota",ハンソン郡
"Lyman County, South Dakota",ライマン郡・(サウスダコタ州)
"Marshall County, Tennessee",マーシャル郡・(テネシー州)
"Greene County, Indiana",グリーン郡・(インディアナ州)
"Shelby County, Kentucky",シェルビー郡・(ケンタッキー州)
"Spotsylvania County, Virginia",スポットシルベニア郡・(バージニア州)
"McClain County, Oklahoma",マクレーン郡・(オクラホマ州)
"Platte County, Nebraska",プラット郡・(ネブラスカ州)
"Lee County, Mississippi",リー郡・(ミシシッピ州)
"Lewis County, Idaho",ルイス郡・(アイダホ州)
"San Marcos, California",サンマルコス・(カリフォルニア州)
"St. Mary Parish, Louisiana",セントメアリー郡・(ルイジアナ州)
"Furnas County, Nebraska",ファーナス郡・(ネブラスカ州)
"Valley County, Montana",バレー郡・(モンタナ州)
"Vernon County, Missouri",バーノン郡・(ミズーリ州)
"St. John the Baptist Parish, Louisiana",セントジョンザバプテスト郡・(ルイジアナ州)
