衛德明,ヘルムート・ウィルヘルム
黃英華,黄英華
陆柱国,陸柱国
顏卓靈,顔卓霊
马衡,馬衡
李昂,李昂
鄧卓棣,鄧卓棣
毛林林,ニキータ・マオ
谢园,謝園
董希文,董希文
朱耀明,朱耀明
朱英浩,朱英浩
李中梓,李士材
陈梦,陳夢
周雨,周雨
张宏达,張宏達
白海风,白海風
黄欧东,黄欧東
黄永吉,黄永吉
黄润秋,黄潤秋
黄秉维,黄秉維
黄纬禄,黄緯禄
胡小新,胡小新
李举卿,李挙卿
李乐成,李楽成
李亚东 (日知会),李亜東
李兆会,李兆会
李光富,李光富
李六如,李六如
李凤彪,李鳳彪
劉伽茵,劉伽茵
郭俊谊,ガブリエル・クァック
黎锦光,黎錦光
李初梨,李初梨
李勇 (政治人物),李勇
李华新,李華新
李启斌,李啓斌
王宇,王宇
王晓秋,王暁秋
羅美珍,羅美珍
刘雨辰,劉雨辰
李四明,李四明
利·刘易斯,リア・ルイス
刘晓梅 (运动员),劉曉梅
李傑,リー・キット
杨光,ヤン・グアン
达浦生,達浦生
王子文,王子文
萬曉塘,万暁塘
李宝善,李宝善
李建义,李健義
黃授書,黄授書
黃智賢,黄智賢
黃曉飛,黄暁飛
趙菲芸,Dodolook
石鲁,石魯
鄧寶珊,鄧宝珊
陈旭,陳旭
李书磊,李書磊
蔡雅同,蔡雅同
李圣龙,李聖龍
陈宝骅,陳宝驊
張昆生,張昆生
莫艳林,莫艶琳
王凱,王凱
杨诺曼,ノーマン・ヤン
丁晟,丁晟
宋镇豪,宋鎮豪
冷春慧,冷春慧
刘亚男,劉亜男
刘友樵,劉友樵
刘岸伟,劉岸偉
吴肇毅,呉肇毅
肖晓琳,肖暁琳
李金早,李金早
周振鹤,周振鶴
霍政諺,霍政諺
傅文俊,傅文俊
張海鵬,張海鵬
郑敏之,鄭敏之
张维为,張維為
朱树德,朱樹徳
朱琳,朱琳
王嘉楠,王嘉楠
朱晓平,朱暁平
李修松,李修松
张述滨,張樹斌
張玉勤,張玉勤
张颖,張穎
张莉梓,張莉梓
張飛,張飛 (プロボクサー)
张丽玲,張麗玲
彭程,彭程
胡坤,胡坤
李宏瑞,李宏瑞
李小牧,李小牧
李康,李康
李廷江,李廷江
李爱月,李愛月
李濤,李濤 (陸上選手)
李豪徳,李豪徳
顧金池,顧金池
贺敏学,賀敏学
牟鐘聲,ム・ジョンシェン
布小林,布小林
于京君,ジュリアン・ユー
唐加思,タン・ジャースー
褚益民,褚益民
多布杰,トプギェル
多布傑,トプギェル
邢彦东,シン・ヤンドン
丁一平,丁一平
丁冰,丁氷
人鱼宝宝,人魚宝宝
代常亮,代常亮
元谐 (乐安郡公),元諧
李惠东,李恵東
李文彩,李文彩
李文靜,李文静
李明灏,李明コウ
吴青,呉青
周富德,周富徳
大山胜美,大山勝美
孔健,孔健
孙宅巍,孫宅巍
孫成順,孫成順
安旭,安旭
宋文洲,宋文洲
李根源,李根源
李梦龄,李夢齢
李榮,李栄
吴前进,呉前進
陈东升,陳東升
王林 (作家),王林
张志东,張志東
韦奕,韋奕
王微,ギャリー・ワン
张蓝心,張藍心
张超超,張超超
库尔班·吐鲁木,クルバン・トゥルム
鄒振先,鄒振先
王上源,王上源
薛长锐,薛長鋭
卢子跃,盧子躍
杨振武,楊振武
谢侠逊,謝侠遜
王仲荦,王仲犖
陈之辉,陳之輝
鄭守一,鄭守一
鄧景生,エドワード・タン
額爾德尼烏拉,エルデンオール
富紅梅,富紅梅
张一博,張一博
張俊,張俊
张纪南,張紀南
李伯祥,李伯祥
徐璐,徐璐
金东寒,金東寒
张迪,張迪 (俳優)
高福,高福
李陽,李陽
村井國夫,村井国夫
東童多英子,東童多英子
杨希,楊希
羅琦,罗琦
谭其骧,譚其驤
曹健林,曹健林
司雅杰,司雅傑
刘蕙瑕,劉蕙瑕
王哲林,王哲林
王允卿,王允卿
王宗堯,王宗堯
王振国,王振国
王敏 (作家),王敏
王樹常,王樹常
王汀,王汀
王福平,王福平
王辉,王輝
王雷,王雷
王鳴盛,王鳴盛
潘良时,潘良時
王晓晖,王暁輝
樊振东,樊振東
杨方旭,楊方旭
王卓辉,王卓輝
王懿律,王懿律
侯凯,侯凱
艾中信,艾中信
胡发云,胡発雲
王君正,王君正
袁国林,袁国林
李轩豪,李軒豪
朱元豪,朱元豪
严欢,嚴歡
柯洁,柯潔
陶欣然,陶欣然
黄云嵩,黄雲嵩
胡正跃,胡正躍
宁吉喆,寧吉喆
谢毅,謝毅
萨仁高娃,薩仁高娃
王庆祥,王慶祥
罗梅,羅梅
彭立尧,彭立尭
徐 健焜,徐健焜
扶猛,扶猛
施小炜,施小煒
木子,木子
木村元,木村元
李圆通,李円通
刘敏 (军人),劉敏
金铁霖,金鉄霖
陳豪,陳豪
邢其毅,ヒョン其毅
王予波,王予波
罗建文,羅建文
吳莫愁,呉莫愁
耿雁生,耿雁生
聂其杰,聶雲台
胡美芳,胡美芳
叶恭绰,葉恭綽
董大酉,董大酉
曾维,曾維
魏苇,魏葦
赵晓璐,趙曉璐
谢国桢,謝国楨
尹弘,尹弘
徐海荣,徐海栄
严金海,厳金海
黃鎮廷,黄鎮廷
郑晓松,鄭暁松
赵韩樱子,趙韓櫻子
周浩鼎,周浩鼎
陈述彭,陳述彭
杜以辰,杜以辰
赵有亮,趙有亮
赵步长,趙歩長
赵超,趙超
翁杰明,翁傑明
黄明,黄明
毛俊杰,毛俊傑
李俊慧,李俊慧
高英培,高英培
郁风,郁風
殷焱,殷焱
水天一色,水天一色
熊式輝,熊式輝
牛牛,牛牛
牛雨田,牛雨田
王禔,王禔
令政策,令政策
余振贵,余振貴
毕世鸿,畢世鴻
瞿维,瞿維
矫大羽,矯大羽
石倚洁,石倚潔
章宗祥,章宗祥
章文晋,章文晋
缪云台,繆雲台
羅君強,羅君強
范蕴若,范蘊若
吳汝俊,呉汝俊
赵悦,趙悦
王 雪涵,王雪涵
顾超,顧超
李源一,李源一
賀國光,賀国光
赵子立,趙子立
辛明,辛明
遇罗克,遇羅克
过惕生,過惕生
郭峰,郭峰
邵飞,邵飛
李偲嫣,李偲嫣
陈向群,陳向群
王东峰,王東峰
陈哲敏,陳哲敏
陳毓祥,陳毓祥
陈淑梅,陳淑梅
陈照丕,陳照丕
陳照奎,陳照奎
陈临新,陳臨新
陳逸松 (律師),陳逸松 (弁護士)
顾文根,顧文根
许竞,許競
林朗彥,林朗彦
郑晨,鄭晨
鄭洞國,鄭洞國
郑申侠,鄭申侠
钱君匋,銭君トウ
錢昌照,銭昌照
盧靖姍,CELINA
陳籙,陳籙
赖小民,頼小民
祖海,祖海
常思思,常思思
黄轩,黃軒
王建军（青海省委副书记）,王建軍
習雪,習雪
王玉庆,王玉慶
王祥喜,王祥喜
高攀龙,高攀龍
钱骥,銭驥
田志希,田志希
吕帆,呂帆
金红光,金紅光
阎庆民,閻慶民
郑少三,鄭少三
郑建邦,鄭建邦
郑新聪,鄭新聡
郑泽光,鄭沢光
郝明金,郝明金
王嘉爾,ジャクソン
王宇,王宇
鄭志雯,鄭志雯
杨晨 (播音员),楊晨
刘羽琦,劉羽琦
王建鸣,王建鳴
王志刚,王志剛
朱新建,朱新建
秦生祥,秦生祥中将(zh)
焦林义,焦林義
王一伦,王一倫
郑培民,鄭培民
邢肇棠,邢肇堂
陈成秀,陳成秀
陈次昌,陳次昌
张凤柳,張鳳柳
孙亚楠,孫亜楠
莫照兰,莫照蘭
魏楠,魏楠
冯正霖,馮正霖
刘彦平,劉彦平
经天亮,經天亮
陶夏新,陶夏新
费尔南多·恩里克·达·孔塞桑,フェルナンド・エンリケ・ダ・コンセイソン
陈立德,陳立徳
陈经纬,陳経緯
陈荣高,陳栄高
陈薇,陳薇
陈锡文,陳錫文
陈震宁,陳震宇
陈顺鹏,陳順鵬
雪克来提·扎克尔,ショハラト・ザキル
胡伟武,胡偉武
谌利军,諶利軍
吴金亮,呉金亮
赫冀成,赫冀成
胡伟,ウェイ・フー
苏欣悦,蘇欣悦
司徒乔,司徒喬
王俊,王俊
鄂其尔呼雅克图,鄂其爾呼雅克図
金一南,金一南
陆兆禧,陸兆禧
陆孝彭,陆孝彭
陆忠伟,陸忠偉
陆治原,陸治原
高尚荫,高尚蔭
钟阳胜,鐘陽勝
冯新柱,馮新柱
程丽华,程麗華
程星龄,程星齢
陈祉希,陳祉希
范维唐,范維唐
馬如龍,馬如龍
马伟明,馬偉明
马元飞,馬元飛
胡锦矗,胡錦矗
臧世凯,臧世凱
段宜恩,マーク
王华勇,王華勇
唐凯基,カイジ・タン
方闻,方聞
韩卫国,韓衛国
顾知微,顧知微
饶开勋,饒開勛
伊莉莎贝塔·吴,エリザベッタ・ウー
胡昌升,胡昌升
黄凯祥,黄凱祥
何鈞傑,何鈞傑
贾一凡,賈一凡
黄晓薇,黄暁薇
钟秀娥,鐘秀娥
戎毅,戎毅
孙力,孫力
蔡宏柱,蔡宏柱
袁仁国,袁仁国
董海舟,董海舟
蒋丽金,蒋麗金
蒋华良,蒋華良
刘烨,劉ヨウ
胡怀邦,胡懐邦
李干杰,李干傑
黄博凯,黄博凱
齐奇,斉奇
沈晓明,沈暁明
曲尼次仁,チュイニー‧ツェリン
孙绍骋,孫紹騁
杜凱琹,杜凱琹
刘高阳,劉高陽
孙力 (作家),孫力
龚清概,龔清概
刘成鸣,劉成鳴
谭作钧,譚作鈞
尹家绪,尹家緒
张祖林,張祖林
何冰娇,何冰嬌
王琳,王琳 (役者)
陈虻,陳虻
信长星,信長星
唐青儀,梁唐青儀
曹国伟,曹国偉
成幼殊,成幼殊
叶文玲,葉文玲
鄧質方,鄧質方
陈健 (商务部),陳健
吳家驤,ウー・チャーシャン
黃國桐,黄国桐
李强民,李強民
王伟中,王偉中
陈漫,陳漫
张卫,張衛 (1993年3月)
赵希迪,趙希迪
赵鉴华,趙鑑華
郑祥林,鄭祥林
闵永年,閔永年
陈冰,陳冰
王钢华,王鋼華
田学军,田学軍
程涛,程 涛
苗九锐,苗九鋭
李宇琪,李宇琪
林鼎智,ロイデン・ラム
侯永永,侯永永
张伟,張偉
尤海涛,尤海濤
居马·塔依尔,ジュメ・タヒール
胡丙长,フランク・フー
梁晨,梁辰
鄧猛榮,トウ猛榮
刘婷婷,劉婷婷
刘小小,劉小小
卢祖尚,盧祖尚
宋芸樺,ビビアン・ソン
韦世豪,韋世豪
王小洪,王小洪
谷丽萍,谷麗萍
巨艾提·伊明,巨艾提・伊明
陆锦标,陸錦標
刘晓彤,劉暁彤
玛依努尔·哈斯木,マヒヌル・カスィミ
約翰·邁克唐納,ジョン・マクドナルド
梁馨枰,梁馨枰
汤梦妮,湯夢妮
顾笑,顧笑
李晓璐,李暁璐
王火,王火
曹培玺,曹培璽
任子威,任子威
邬光亚,鄔光亜
陈雷,陳雷
鄭展龍,鄭展龍
陈展,陳展
郭奕含,グオ・イハン
张碧晨,張碧晨
刘子枫,劉子楓
崔哲,崔哲
李兴钢,李興鋼
欧宁,欧寧
刘玉民,劉玉民
柳建伟,柳建偉
莫应丰,莫応豊
李国文,李国文
刘斯奋,劉斯奮
刘方舟,劉方舟
李文俊,李文俊
桂裕芳,桂裕芳
潘际銮,潘際鑾
陈明川,陳明川
夏晨琨,夏晨琨
张涛,張涛 (囲碁棋士)
王昊洋,王昊洋
尹成昕,尹成昕
林叶,リン・イエ
張家朗,張家朗
胡天鸽,胡天鴿
罗根泽,羅根澤
刘雅瑟,リウ・ヤースー
趙嘉敏,趙嘉敏
柯钊,柯釗
周创兵,周創兵
康凱,康凱 (中国の俳優)
唐月梅,唐月梅
高准翼,高准翼
Liu Haidong,劉海東
史婧琳,史婧琳
曾珍,曽珍
费彝民,費彝民
胡绳,胡縄
容永道,容永道
郑思维,鄭思維
雷挺婕,雷挺婕
余小惠,余小恵
周大新,周大新
张平,張平
王瑜,王瑜
王勇,王勇
陈兆静,陳兆静
鍾玲玲,ベティ・チュン
曹春英,曹春英
戴国宏,戴国宏
尤晓迪,尤暁迪
吴水娇,呉水嬌
单人骅,単人驊
范丽青,范麗青
童朝晖,童朝暉
王雅繁,王雅繁
杨钊煊,楊釗煊
张慧雯,張慧雯
彭蕾,彭蕾
伊力哈木·沙比尔,イリハム・サビール
吳偉仁,呉偉仁
陈抗,陳抗
陈晓东,陳曉東
陈鲁直,陳魯直
陈雨菲,陳雨菲
陈瑾 (演员),陳瑾
杨衔晋,楊銜晋
陈一新,陳一新
李荣浩,李栄浩
林广泛,林広泛
鄧俊文,鄧俊文
夏欣怡,夏欣怡
高飛 (演員),コウ・フェイ
龚洁,龔潔
薛飞,薛飛
周庭,周庭
丁霞,丁霞
張哲瀚,張哲瀚
高升 (足球运动员),高升
林戊荪,林戊蓀
郭宏安,郭宏安
邓小刚,鄧小剛
王霜,王霜
呂品韜,呂品韜
陈艾森,陳艾森
柳鑫宇,柳鑫宇
王海涛,王海涛
克里木,克里木
刘新民,劉新民
吴征铠,呉征鎧
吴德星,呉徳星
周先旺,周先旺
姚建华,姚建華
朱宝玉,朱宝玉
王莉霞,王莉霞
高名凱,高名凱
赵厚麟,趙厚麟
文正一,文正一
摩根·霍尔德,モーガン・ハード
罗献瑞,羅献瑞
李岱春,李岱春
陳德全,陳徳全
姜懿倫,姜懿倫
巴德鑫,巴德鑫
李皓晴,李皓晴
张工,張工
田家英,田家英
林慧君,林慧君
庄公惠,庄公恵
李纯,李純
楊一,楊一
楊岳橋,楊岳橋
王宇,王宇
陈观慧,陳觀慧
韩天宇,韓天宇
王诗玥,王詩玥
朱婷,朱婷
王士筑,王士築
石宇奇,石宇奇
宋冬野,宋冬野
高津,高津
程连元,程連元
刘晏含,劉晏含
俞德浚,ユウ・デジュン
萬籟聲,万藾声
李梦,李夢
邵婷,邵テイ
逄瑤,逄瑤
李景亮,リー・ジンリャン
袁心玥,袁心玥
唐長孺,唐長孺
赵婧,趙晶
逯佳境,逯佳境
张勇,張勇
林鋒,林鋒
Yaya Han,ヤヤ・ハン
趙溫,趙温
何小鹏,何小鵬
章开沅,章開沅
周倩,周倩
傅政華,傅政華
鲁炜,魯煒
邱延鹏,邱延鹏
陳海峰,陳海峰
謝 偉城,アルバート・ツェ・ウェイ・シン
張惺,Tehu
李响,李響
朱桦,朱樺
孙梦然,孫夢然
鲍哲南,鮑哲南
周冠宇,周冠宇
丁毅,丁毅
令完成,令完成
张一鸾,張一鸞
张律,張律
李文娟,李文娟
莊長恭,荘長恭
吴忠琼,呉忠瓊
路青,路青
王庆铃,王慶鈴
叶笃庄,葉篤荘
释印光,印光大師
叶笃义,葉篤義
苗天,ミャオ・ティエン
郝佳露,カク佳露
张常宁,張常寧
毛睿龙,毛睿龍
車文博,車文博
赵青,趙青
楊鳴章,ミカエル楊鳴章
高敬刚,ガオ・ジンガング
陈洋,チェン・ヤング
徐慧慧,ジェイド・ウー
次仁顿珠,ツェラン・トンドゥプ
谢思埸,謝思埸
刘梦珂,劉夢珂
司馬文,パウルス・ツィンメルマン
吴小晖,呉小暉
刘汉,劉漢
胡庆士,胡慶士
陈龙,陳龍
张磊,レイ・ジャン
王铮亮,王錚亮
邱德根,邱徳根
尤浩,尤浩
刘洋,劉洋 (体操選手)
朱琳,朱琳
唐良智,唐良智
任茜,任茜
戴铁郎,戴鉄郎
冯家昇,馮家昇
赫子铭,赫子銘
刘萌萌,劉萌萌
潘时七,潘時七
杨连慧,楊連慧
趙石,趙石
白银市连环杀人案,高承勇
姚贝娜,姚貝娜
连奕名,連奕名
陳昊宇,陳昊宇
邱勇,邱勇
韩童生,韓童生
张澜澜,張瀾瀾
蒋光太,ティアス・ブラウニング
宁武 (人名),寧武 (政治家)
张蔷,サラ・チャン
苏小明,蘇小明
张晓雅,張暁雅
多布杰,多布傑
张新艳,張新艶
居马别克·吐尔逊,ジュマビエク・トゥアスン
张卫,張衛 (1993年1月)
刘芳媛,劉芳媛
郭鋒,郭鋒
莫有雪,莫有雪
梁小静,梁小静
刘尊棋,劉尊棋
凌康,カン・リン
周一涵,ジョウ・イーハン
陈刚,陳剛
郭培,グオ・ペイ
王云蕗,王雲蕗
華晨宇,華晨宇
周一围,周一囲
刘少昂,リュウ・シャオアン
文俊辉,ジュン
焦俊艳,焦俊艶
孙一文,孫一文
付建华,付建華
曹雪涛,曹雪濤
祈Inory,祈Inory
关宇航,関宇航
陳佩之,ポール・チャン
慎海雄,慎海雄
李香凝,李香凝
齐心,齊心
巫刚,巫剛
刘心刚,劉心剛
刘昊 (田径运动员),劉昊
阿云嘎,アヤンガ
马旭明,馬旭明
傅坤俊,傅坤俊
贾一平,賈一平
陈撄宁,陳エイ寧
李尚福,李尚福
温国辉,温国輝
王林,王林
林建华,林建華
王统照,王統照
盧偉聰,盧偉聡
陈小鲁,陳小魯
王道义,王道義
陳展程,レイ・チャン
田涛,田涛
史鲁泽,史魯沢
尹力,尹力
陈昌浩,陳昌浩
李钦诚,李欽誠
张香山,張香山
别必雄,別必熊
谭戒甫,譚戒甫
马叙伦,馬叙倫
曾擴情,曽拡情
陆慷,陸慷
孙航,孫航
沈腾,シェン・トン
李校堃,李校堃
宝树,宝樹
段静莉,段静莉
王祯,王禎
金宇澄,金宇澄
李佩甫,李佩甫
李如龙,李如龍
丹珠昂奔,丹珠昂奔
光敏,光敏
张梅,張梅
张涛,張涛
张芷溪,張芷溪
王贺胜,王賀勝
汤鸿霄,湯鴻霄
王健康,王健康
张立君,張力軍
国涛,国濤
张语格,張語格
林晓霖,林曉霖
王文杰,王文傑
蔣碧微,蒋碧薇
袁娅维,袁婭維
许晨晔,許晨曄
何引丽,何引麗
張雨霏,張雨霏
张升民,張昇民
曹德信,曹徳信
余太山,余太山
阿鲁阿卓,阿魯阿卓
吴朝晖,呉朝暉
张昭,張昭
周祖翼,周祖翼
央吉玛,央吉瑪
龚澎,龔澎
吴俊余,呉俊余
赵乐秦,趙楽秦(zh)
傅淼,傅ビョウ
路阳,路陽
赵国荣,趙国栄
赵志红连环杀人案,趙志紅
迪麗熱巴,ディルラバ・ディルムラット
鞠婧祎,鞠婧禕
咬人猫,咬人猫
杨健,楊健
劉允斌,劉允斌
刘海滨,劉海濱
吴磊,呉磊
鄭曉龍,鄭暁竜
周广仁,周広仁
江疏影,江疏影
刘庭羽,劉庭羽
王金波,王金波
徐勇 (企业家),徐勇
朱一龍,チュー・イーロン（朱一龍）
陈虎 (演员),タイガー・チェン
馬思純,馬思純
莊奴,荘奴
戴东昌,戴東昌
海铃,海鈴
王长田,王長田
郑栅洁,鄭柵潔
于绍良,于紹良
王晰,王晰
吴彦姝,呉彦姝
朱鹤新,朱鶴新
王贻芳,王貽芳
祁晓亮,祁暁亮
于朦胧,于朦朧
马晓伟,馬暁偉
釋能海,能海
周群飞,周群飛
马晓晖,馬暁輝
許宏志,許宏志
许甘露,許甘露
徐海乔,徐海喬
张玉宁,張玉寧
魏建功,魏建功
孔东梅,孔東梅
刘湘,劉湘
邓小鸥,鄧小鴎
鄭松泰,チェン・チュンタイ
阿丽米罕·色依提,阿麗米罕・色依提
楊雪盈,楊雪盈
丁健,丁健
馬麗,馬麗
张家声,張家声
顾留馨,顧留馨
王誼,王誼 (囲碁)
李西贝,李西貝
劉冠翔,劉冠翔
王亚军,王亜軍
赵戒,趙戒
林克庆,林克慶
鄭益昕,鄭益昕
傅亮 (物理学家),伝亮
吳倩,呉倩
张鸣,張鳴
譚文豪,譚文豪
方博,方博
陈龙海,陳龍海
季道帥,季道帥
蒋惠花,蒋恵花
何雷,何雷
范骁骏,範驍駿
刘校妤,劉校妤
李国庆,李国慶
童梦成,童夢成
張昱,張昱
张彬彬,張彬彬
钱易,銭易
曾卓君,小孩
于志刚,于志剛
王光祈,王光祈
石智勇,石智勇 (1993年生の重量挙げ選手)
刘毅,劉毅
马建 (政府官员),馬建
龔虹嘉,龔虹嘉
李茵晖,李茵暉
佘孟兰,佘孟蘭
郑雁雄,鄭雁雄
林斌,林斌
耿鑫,耿鑫
罗云熙,羅雲熙
张敬华,張敬華
林兰英,林蘭英
徐明浩,ディエイト
岳亮,岳亮
邱建良,チュー・ジェンリャン
谢科,謝科
付冲,付沖
佟禹林,佟禹林
胡钰函,胡鈺函
蒋其润,蔣其潤
张强,張强
甘思阳,甘思陽
马逸超,马逸超
梁繼平,梁繼平
李恒,李恒 (植物学者)
程瀟,ソンソ
柳青,柳青
王一博,王一博
龙梦柔,ロン・モンロウ
黃台仰,黄台仰
常华,常華
米露,米露 (女優)
蒋锡金,蔣錫金
李争,李争
罗烽,羅烽
骆宾基,駱賓基
李溪芮,李溪芮
尹玉峰,尹玉峰
袁誉柏,袁誉柏
何震,何震
田野,田野
徐华江,徐華江
梁婧娴,梁婧嫻
贺家铁,賀家鉄
林路迪,ルーディ・リン
邓书弟,鄧書弟
王彦皓,王彥皓
編程隨想,阮曉寰
李勇,李勇
伊凌涛,伊凌涛
乔智健,喬智健
王爽,王爽
李响,李響
潘非,潘非
蒋蔚,蒋蔚
于清泉,于清泉
陈昱森,陳昱森
王裕子,王裕子
金晨,金晨
栗再温,栗再温(zh)
相光耀,相光耀
郑璐,鄭璐
王琏,王連
许晨阳,許晨陽
劉歡緣,劉歓縁
王蕃,王凡
劉華金,劉華金
韩东君,韓東君
魏大勛,ウィ・デフン
许立志,許立志
杨建平,楊建平
庞朴,龐朴
杨鑫,楊鑫
王军辉,王軍輝
张祺,張祺
张秀熟,張秀熟
趙婷,クロエ・ジャオ
张江永,張江永
李赫男,李赫男
林良铭,林良銘
徐友刚,徐友剛
张之臻,ジャン・ジージェン
陈峰,陳峰
杨楷文,楊楷文
安冬旭,安冬旭
蔡竞,蔡竞
祁承经,祁承経
汤靖轩,湯靖軒
韦一博,韋一博
李小溪,李小溪
胡傲华,胡傲華
白光源,白光源
陈玉侬,陳玉儂
徐泽鑫,徐澤鑫
王若然,王若然
张东岳,張東岳
沈沛然,沈沛然
郑姝音,鄭姝音
余皑磊,余皚磊
果敢,果敢
崔灿,崔燦
丁世雄,丁世雄
陈正勋,陳正勳
曹潇阳,曹瀟陽
蔡文驰,蔡文馳
黄晨,黄晨
张策,張策
何鑫,何鑫
马天放,馬天放
高恬亮,高恬亮
吴震宇,吳震宇
郭信驿,郭信驛
李旭,李旭
雷震坤,雷震坤
何语涵,何語涵
张子涵,張子涵
郎杰,郎杰
张佩佩,張佩佩
尹军花,尹軍花
陶忻,陶忻
丁浩,丁浩
廖行文,廖行文
舒一笑,舒一笑
陈潇楠,陳瀟楠
陈浩,陳浩
陈贤,陳賢
国宇征,國宇征
安力夫,安力夫
陆敏佳,陸敏佳
陳都靈,陳都靈
賈玲,賈玲
刘奇凡,劉奇凡
康宁,康寧
春夏,ジェシー・リー
娄洛宁,婁洛寧
李劼,李劫
王鹭,王鹭
李翔宇,李翔宇
陈梓健,陳梓健
吴树浩,呉樹浩
马笑冰,馬笑冰
乔然,乔然
汪洋,汪洋
王立銘,王立銘
林榮基,林栄基
钟山,鐘山
桂民海,桂民梅
许嘉阳,許嘉陽
趙帥,趙帥
尹正,尹正
梁天琦,梁天琦
苏广悦,蘇廣悅
劉仲敬,劉仲敬
罗岩,羅巖
张维,張維
赵晨宇,趙晨宇
胡跃峰,胡躍峰
秦悦欣,秦悅欣
廖元赫,廖元赫
王泽锦,王沢錦
刘曦,劉曦
刘津铭,劉津銘
贾依凡,贾依凡
代智天,代智天
王玮,王瑋
李羿蓉,李羿蓉
刘宇,劉宇
张一鸣,張一鳴
田瑞祺,田瑞祺
李源鲲,李源鯤
李子祺,李子祺
藤井亮,藤井亮
釋智慧,潘智遠
常青,常 青
敬正书,敬正書
第年秒,第年秒
窦靖童,竇靖童
葛兆光,葛兆光
钟训正,鍾訓正
邱金波,邱金波
高兴龙,高興龍
于颂,于頌
吴卫凤,呉衛鳳
徐国清,徐国清
施洲,施洲
祁立鹤,祁立鶴
公彦宇,公彦宇
杨啸天,楊嘯天
郑胥,鄭胥
刘宇航,刘宇航
蔡碧涵,蔡碧涵
赵贯汝,趙貫汝
陈翰祺,陳翰祺
李维清,李維清
汪涛,汪濤
韩一洲,韓一洲
陈润韬,陳潤韜
李铭,李銘
范胤,范胤
韩晗,韓晗
王哲明,王哲明
朱仁坤,朱仁坤
李乐,李樂
陈思源,陳思源
张昊,張昊
马光子,馬光子
程宏昊,程宏昊
王琛,王琛
李必奇,李必奇
陈亚峰,陳亞峰
陈德昭,陳徳昭
王乌品,王烏品
张福成,張福成
周阳 (足球运动员),周陽
黄昕,黄昕
黄静远,黃靜遠
李豪杰,李豪杰
郑淼鑫,鄭淼鑫
尹航,尹航
张亚博,張亚博
李成森,李成森
严在明,嚴在明
白宝祥,白寶祥
陈时伟,陳時偉
唐佳麗,唐佳麗
贾罡璐,賈罡璐
胡然闵,胡然閔
胡煜清,胡煜清
乔诗尧,喬詩堯
方昊,方昊
陈一鸣,陳一鳴
陈笑天,陳笑天
桂文波,桂文波
石豫来,石豫来
劉愛琴,劉愛琴
唐仁健,唐仁健
費沁源,費沁源
侯精一,侯精一
王平,王平
王晓萍,王暁萍
張健,張健
陳婉婷,チャン・ユエンティン
张梦雪,張夢雪
杨会珍,楊会珍
马莉,馬莉
徐立毅,徐立毅
杜玉亭,杜玉亭
诸葛仁,諸葛仁
颜丙涛,顔炳濤
裴金佳,裴金佳
张俊,張俊
耿爽,耿爽
吳偉英,ウー・ウェイイン
胡海岚,胡海嵐
杨冬,杨冬
董明,董明
陈豪鑫,陳豪鑫
周泓余,周泓余
周旋,周旋
高星,高星
王思尹,王思尹
许俭颖,許儉穎
陈文政,陳文政
汪雨博,汪雨博
陆敏全,陸敏全
赵健男,趙健男
李华嵩,李華嵩
潘阳,潘陽
刘兆哲,劉兆哲
张紫良,張紫良
张越然,張越然
曾志豪,曾志豪
赵奕斐,趙奕斐
焦士维,焦士維
王硕,王碩
王东亮,王東亮
赵一方,趙一方
朱峰毅,朱峰毅
刘慧玲,劉慧玲
周元俊,周元俊
战鹰,戰鷹
李敏,李敏
张兴栋,張興棟
任振鹤,任振鶴
黃子悅,黄子悅
杨皓然,楊浩然
陈健斌,陳健斌
雷佳慧,雷佳慧
童绍全,童紹全
侯先光,ホウ・シアン・グアン
赵宝龙,趙寶龍
陈思,陳思
杨梓,楊梓
王异新,王异新
殷明明,殷明明
吴楷,吴楷
杨爽,楊爽
陶然,陶然
张瑞,張瑞
袁亭昱,袁亭昱
黎剑,黎劍
杨定,楊定
刘婷婷,劉婷婷
王栋,王栋
厉声教,厲声教
董成鹏,董成鵬
刘爱香,劉愛香
王俊凱,王俊凱
李進林,李進林
方壮猷,方壮猷
杜伟,杜偉
谢少博,謝少博
张天歌,張天歌
汪慧,汪慧
邹海石,鄒海石
黄政宇,黄政宇
黃景瑜,黄景瑜
王铸豪,王鋳豪
寿振黄,寿振黄
李炳军,李炳軍
周江勇,周江勇
孟美岐,孟美岐
何攀,何攀
厉绥之,厲绥之
王胜兰,王勝蘭
高向群,高向群
盛一伦,盛一倫
章民強,章民強
宋轶,宋軼
陳秋實,陳秋実
任航,任航
张天爱,張天愛
肖若腾,肖若騰
何煒晴,ワイ・チン・ホー
吴德邻,呉徳鄰
潘涛,潘濤
郑楠,鄭楠
孟海,マン・ホイ
陳雁升,陳雁昇
陈宏,陳宏
赵研,趙研
崔海龍,崔海龍
艾衍含,艾衍含
江燕,江燕
王宇微,王宇微
司榮彬,シイ・ロンビン
林卓廷,ラム・チュクテン
陈东,陳東
李军,李軍
曹义海,曹義海
李红军,李紅軍
谢嘉轩,シエ・ジャシュアン
林莉,林莉
魏照坤,巍照坤
黄一鹤,黄一鶴
许魏洲,許魏洲
潘飞鸿,潘飛鴻
张雨涵,張雨涵
王靖斌,王靖斌
朱梦惠,朱夢恵
刘昊然,劉昊然
吳佩柔,呉佩柔
