党委书记,党委員会の責任者
奉化区,奉化区
大渡口区,大渡口区
南岸区,南岸区
王府井站,王府井駅
国贸站,国貿駅
美捷香港商用飛機,メトロジェット
臥虎藏龍,臥虎蔵龍
东单站,東単駅
建國門站,建国門駅
伊春市,伊春市
国家航天局,中国国家航天局
安陽市,安陽市
元朗站,元朗駅
瑞安市,瑞安市
延吉市,延吉市
中国人民解放军海军潜艇第二基地,楡林海軍基地
港島香格里拉大酒店,アイランド・シャングリ・ラ 香港
虎牢关,虎牢関
六盘山,六盘山
西单站,西単駅
广州日报,広州日報
中国电影,中国映画
八角游乐园站,八角遊楽園駅
南京中山植物园,中山植物園
永安里站,永安里駅
双鸭山市,双鴨山市
间岛,間島
深圳宝安国际机场,深圳宝安国際空港
中国地震局,中国地震局
喀爾喀蒙古族,ハルハ
宝坻区,宝坻区
水丰水库,水豊ダム
滨海新区,浜海新区
十堰市,十堰市
七台河市,七台河市
中华全国妇女联合会,中華全国婦女聯合会
宜昌市,宜昌市
佤族,ワ族
襄阳市,襄陽市
蚌埠市,蚌埠市
布达拉宫,ポタラ宮
台灣宗教,台湾の宗教
渤海国上京龙泉府遗址,上京龍泉府
實利銀行,実利銀行
韓僑,在外韓国人
大陳島撤退,大陳島撤退作戦
温州话,温州語
荆门市,荊門市
馬屎洲,馬屎洲
鄂州市,鄂州市
黃石市,黄石市
龙岩市,竜岩市
梧桐山,梧桐山
前海湾站,前海湾駅
紅磡站,紅磡駅
漓江,漓江
塔門,塔門洲
乌鲁木齐县,ウルムチ県
孝感市,孝感市
荆州市,荊州市
香港大球場,香港スタジアム
额济纳旗,エジン旗
港西镇,港西鎮
洪都航空,南昌飛機製造公司
东海大桥,東海大橋
2012年亞洲羽毛球錦標賽,2012年アジアバドミントン選手権大会
鼓楼站,鼓楼駅
元通站,元通駅
2009年世界女子手球錦標賽,2009年世界女子ハンドボール選手権
東京街,東京街
香港移動通訊,香港移動通訊
香港宗教與風俗,香港の宗教
中環碼頭,3号フェリー埠頭
選舉委員會,選挙委員会
安定站,安定駅
世界之窗站,世界之窓駅
中華人民共和國－印度關係,中印関係
中國重汽（香港）,シノトラック
山楂餅,山査餅
襄垣县,襄垣県
华表奖,華表賞
8G型电力机车,中国国鉄8G型電気機関車
沪汉蓉快速客运通道,滬漢蓉旅客専用線
沪昆客运专线,滬昆旅客専用線
杭福深客運專線,杭福深旅客専用線
友愛站,友愛駅
青山村站,青山村駅
北碚区,北碚区
长寿区,長寿区
沙坪坝区,沙坪ハ区
安庆市,安慶市
南丹县,南丹県
潜江市,潜江市
东航云南公司,中国雲南航空
南丫發電廠,ラマ島発電所
天峨县,天峨県
万州区,万州区
温州世界贸易中心,温州世貿中心
上海城市规划展示馆,上海城市規画展示館
昌吉市,昌吉市
將軍澳運動場,将軍澳運動場
澳門銀河,ギャラクシー・マカオ
上海電氣,上海電気
芜湖市,蕪湖市
美孚站,美孚駅
粉嶺站,粉嶺駅
太和站,太和駅
尖東站,尖東駅
大學站,大学駅
綦江区,綦江区
大足区,大足区
紫金山天文台,紫金山天文台
中國人民解放軍駐香港部隊大廈,中国人民解放軍駐香港部隊ビル
挹娄,挹婁
奧林匹克運動會中國代表團,オリンピックの中国選手団
龙门镇,竜門鎮
峨嵋山暗色岩,峨眉山トラップ
太原市,太原市
虹桥2号航站楼站,虹橋2号航站楼駅
察布查尔锡伯自治县,チャプチャル・シベ自治県
中央人民政府駐香港特別行政區聯絡辦公室,中央政府駐香港連絡弁公室
東風11型柴油機車,中国国鉄東風11型ディーゼル機関車
小西灣運動場,小西湾運動場
武汉东湖,東湖
杭甬客运专线,杭甬旅客専用線
黑河市,黒河市
龙井市,竜井市
启东市,啓東市
鹤岗市,鶴崗市
九龍塘站,九龍塘駅
2012年香港特別行政區行政長官選舉,2012年香港特別行政区行政長官選挙
尖沙咀站,尖沙咀駅
大埔墟站,大埔墟駅
兆康站,兆康駅
爱德基金会,愛徳基金会
屯門醫院站,屯門医院駅
青雲站,青雲駅
銀座站,銀座駅
国家自然博物馆,国家自然博物館
中国古动物馆,中国古動物館
龍門站,龍門駅
泛亞鐵路,昆明・シンガポール鉄道
绥化市,綏化市
恩施土家族苗族自治州,恩施トゥチャ族ミャオ族自治州
仙桃市,仙桃市
文昌市,文昌市
曲阳县,曲陽県
合川区,合川区
南川区,南川区
黃埔花園,黄埔花園
福厦铁路,福廈線
元朗,元朗
阿尔卑斯带,アルプス・ヒマラヤ造山帯
天门市,天門市
骊山,驪山
固玛镇,グマ鎮
苍山,蒼山
乌鲁木齐七·五骚乱,2009年ウイグル騒乱
曲阜孔庙,孔廟
方城县,方城県
曲麻莱县,曲麻莱県
扬州八怪,揚州八怪
金上京会宁府遗址,金上京会寧府遺址
红河哈尼族彝族自治州,紅河ハニ族イ族自治州
德宏傣族景颇族自治州,徳宏タイ族チンポー族自治州
随州市,随州市
虹桥火车站站,虹橋駅駅
风暴一号运载火箭,風暴1号
井冈山机场,井岡山空港
宁波轨道交通,寧波軌道交通
咸寧市,咸寧市
万宁市,万寧市
济源市,済源市
晋城市,晋城市
莱州湾,莱州湾
貝爾湖,ブイル湖
哈拉哈河,ハルハ川
马鞍山市,馬鞍山市
淮南市,淮南市
铜陵市,銅陵市
忻口戰鬥,忻口鎮の戦い
吕梁市,呂梁市
陳皮,陳皮
大圍,大囲
薑汁撞奶,生姜牛乳プリン
老街站,老街駅
沪宁城际铁路,滬寧都市間鉄道
香港電影評論學會大獎,香港電影評論学会大奨
中国科学院国家天文台,中国科学院国家天文台
北京地铁13号线,北京地下鉄13号線
三元桥站,三元橋駅
北京地铁首都机场线,北京地下鉄首都機場線
北京地铁8号线,北京地下鉄8号線
吳淞,呉淞区
森林公园南门站,森林公園南門駅
西直门站,西直門駅
北庭大都护府,北庭大都護府
中国棒球协会,中国棒球協会
郑州站,鄭州駅
京哈客运专线,京哈旅客専用線
西宝客运专线,西宝旅客専用線
郑徐客运专线,鄭徐旅客専用線
漢字文化圈,漢字文化圏
厂窖惨案,廠窖虐殺事件
广东工业大学,広東工業大学
鄂尔多斯蒙古语,オルドス・モンゴル語
凤山县,鳳山県
东兰县,東蘭県
淮北市,淮北市
延边朝鲜族自治州,延辺朝鮮族自治州
穆棱河,穆棱河
朔州市,朔州市
亳州市,亳州市
池州市,池州市
长治市,長治市
阳泉市,陽泉市
莽语,マン語
黄冈市,黄岡市
黔江区,黔江区
永川区,永川区
天池,天池
新港鄉,新港郷
延边大学,延辺大学
北京国子监,北京国子監
温州龙湾国际机场,温州永強空港
正教會普世宗主教聖統香港及東南亞都主教教區,香港正教会
阿荣旗,アロン旗
清明节,清明節
钓鱼岛,魚釣島
中國銀聯股份有限公司,中国銀聯
六安市,六安市
人民大会堂,人民大会堂
大同市,大同市
鹰潭市,鷹潭市
威州镇,威州鎮
北京地铁10号线,北京地下鉄10号線
前门站,前門駅
澳門科技大學,マカオ科技大学
3号航站楼站,3号航站楼駅
龙岗区,竜崗区
任泽区,任沢区
二连浩特市,エレンホト市
罗湖区,羅湖区
萍乡市,萍郷市
大連市,大連市
新余市,新余市
宿州市,宿州市
开原市,開原市
枫溪区,楓渓区
阜阳市,阜陽市
盐田区,塩田区
宜春市,宜春市
汉传佛教,中国の仏教
沙溪庙组,大山舗層
崇文门站,崇文門駅
抚州市,撫州市
伊犁哈萨克自治州,イリ・カザフ自治州
2號航站樓站,2号航站楼駅
中车长春轨道客车股份有限公司,中車長春軌道客車股份有限公司
黔南布依族苗族自治州,黔南プイ族ミャオ族自治州
临夏回族自治州,臨夏回族自治州
清苑区,清苑区
古冶区,古冶区
上海航空,上海航空
中哈石油管道,カザフスタン・中国間石油パイプライン
沪杭磁悬浮交通项目,滬杭トランスラピッド
海礁岛,海礁島
普陀山,普陀山
金塘岛,金塘島
镜泊湖,鏡泊湖
大连湾,大連湾
桃花島,桃花島
乌兰浩特市,ウランホト市
大连经济技术开发区,大連経済技術開発区
运城市,運城市
上海大師賽,上海マスターズ
忻州市,忻州市
临汾市,臨汾市
宣城市,宣城市
常德桃花源机场,常徳桃花源空港
九洲港,九洲港
甘州回鶻,甘州ウイグル王国
藁城区,藁城区
双城区,双城区
現代標準漢語,現代標準中国語
金坛区,金壇区
太中银铁路,太中銀線
中国铁路武汉局集团有限公司,中国鉄路武漢局集団公司
吴城镇,呉城鎮
中国电视剧飞天奖,中国電視劇飛天奨
上饶市,上饒市
高港区,高港区
交银金融大厦,交通銀行ビル
香港8號幹線,8号幹線
青白江区,青白江区
琼海市,瓊海市
鹿泉区,鹿泉区
文山壮族苗族自治州,文山チワン族ミャオ族自治州
大理白族自治州,大理ペー族自治州
楚雄彝族自治州,楚雄イ族自治州
鞍山市,鞍山市
石河子市,石河子市
函谷关,函谷関
渭河,渭水
北土城站,北土城駅
輕鐵車廠站,軽鉄車廠駅
东闾村,東閭村
天通苑北站,天通苑北駅
抚顺市,撫順市
本溪市,本渓市
澳門回歸,マカオ返還
柳江,柳江
东直门站,東直門駅
劲松站,勁松駅
巴沟站,巴溝駅
丹东市,丹東市
朝阳市,朝陽市
晋中市,晋中市
沈阳故宫,瀋陽故宮
亞洲時報在線,アジア・タイムズ・オンライン
华州区,華州区
新抚区,新撫区
2008年夏季奧林匹克運動會男子公路自行車個人計時賽,2008年北京オリンピックの自転車競技・男子個人タイムトライアル
將軍澳新市鎮,将軍澳ニュータウン
莱阳市,莱陽市
广州十三行,広東十三行
铁岭市,鉄嶺市
济宁市,済寧市
上海南站站,上海南駅駅
兖州煤业,エン州煤業
秦皇岛市奥体中心体育场,秦皇島オリンピック・スポーツセンター・スタジアム
土族,トゥ族
威海市,威海市
麻栗坡县,麻栗坡県
阿尔山市,アルシャン市
福建土楼,福建土楼
康城站,康城駅
百花奖,百花賞
曲水县,チュシュル県
内江站,内江駅
2008年夏季奧林匹克運動會跆拳道比賽—男子80公斤級,2008年北京オリンピックのテコンドー競技: 男子80kg級
青岛站,青島駅
亚布力滑雪旅游度假区,ヤブリスキー場
日照市,日照市
郑州地铁,鄭州地下鉄
营口市,営口市
五指山市,五指山市
中华人民共和国工业和信息化部,中華人民共和国工業情報化部
中华人民共和国人力资源和社会保障部,中華人民共和国人力資源社会保障部
一國兩制,一国二制度
屯門泳池站,屯門泳池駅
豐景園站,豊景園駅
兆禧站,兆禧駅
凤凰卫视,鳳凰衛視
2008年夏季奧林匹克運動會自行車比賽－男子麥迪遜賽,2008年北京オリンピックの自転車競技・男子マディソン
2008年夏季奧林匹克運動會田徑比賽－男子5000米,2008年北京オリンピックの陸上競技・男子5000m
东营市,東営市
永和县,永和県
莲花桥站,蓮花橋駅
中叙关系,中華人民共和国とシリアの関係
姜堰区,姜堰区
中日关系,日中関係
亞洲電視有限公司,亜洲電視
盘锦市,盤錦市
大红门站,大紅門駅
角門東站,角門東駅
车道沟站,車道溝駅
大理市,大理市
濕地公園站,湿地公園駅
大小磨刀,大小磨刀
美樂站,美楽駅
洮南市,洮南市
深圳地铁4号线,深圳地下鉄4号線
循化撒拉族自治县,循化サラール族自治県
上海申花足球俱乐部,上海申花足球倶楽部
阿育王寺,阿育王寺
亚太空间合作组织,アジア太平洋宇宙協力機構
東區,東区
巢湖市,巣湖市
金昌金川机场,金昌金川空港
张掖甘州机场,張掖カン州空港
苏州摩天轮公园,蘇州摩天輪
聊城市,聊城市
滿洲,満洲
辽阳市,遼陽市
中国冰球协会,中国アイスホッケー協会
蝴蝶站,蝴蝶駅
上海科技馆,上海科技館
佛曆,仏滅紀元
瑶族,ヤオ族
莱芜市,莱蕪市
包頭鋼鐵,包頭鋼鉄
吉安市,吉安市
赣州市,贛州市
宣威市,宣威市
滨州市,浜州市
上海火车站站,上海駅駅
中国共产党中央委员会总书记,中国共産党中央委員会総書記
欧亚大草原,ユーラシア・ステップ
浙江职业足球俱乐部,杭州緑城足球倶楽部
基督教香港信義會元朗信義中學,基督教香港信義会元朗信義中学
清河站,清河駅
上海环球金融中心,上海環球金融中心
白云区,白雲区
中国南方喀斯特,中国南方カルスト
武广客运专线,武広旅客専用線
沈阳奥林匹克体育中心,瀋陽オリンピック・スポーツセンター・スタジアム
博罗县,博羅県
崇信县,崇信県
亞洲公路網,アジアハイウェイ
岷山,岷山山脈
东安路站,東安路駅
领报修院,領報神学校
中国国家图书馆,中国国家図書館
石峰区,石峰区
香港歷史,香港の歴史
2008年夏季奧林匹克運動會自行車比賽－男子團體爭先賽,2008年北京オリンピックの自転車競技・男子チームスプリント
2008年夏季奧林匹克運動會自行車比賽－男子爭先賽,2008年北京オリンピックの自転車競技・男子スプリント
和谐3型内燃机车,中国国鉄HXN3型ディーゼル機関車
映秀镇,映秀鎮
仰韶文化,仰韶文化
中国五年计划,中国の五カ年計画
杨树浦路站,楊樹浦路駅
大木桥路站,大木橋路駅
临平路站,臨平路駅
大连路站,大連路駅
岷江,岷江
1990年亚洲运动会,1990年アジア競技大会
潼关县,潼関県
TCL科技,TCLテクノロジー
十里堡站,十里堡駅
东大桥站,東大橋駅
偽滿皇宮博物院,満洲国皇宮
小湾坝,小湾ダム
洱海,洱海
澳門宗教,マカオの宗教
中国中信集团有限公司,中国中信
一江山岛,江山島
和合石,和合石
九江庐山机场,九江廬山空港
佛山站,仏山駅
大连医科大学,大連医科大学
国家烟草专卖局,中国タバコ
中國太平洋保險,中国太平洋保険CPIC
海南藏族自治州,海南チベット族自治州
