Paris,パリ
Hazebrouck,アーズブルーク
pic du Midi d'Ossau,ミディ・オッソー峰
Football Bourg-en-Bresse Péronnas 01,フットボール・ブール＝カン＝ブレス・ペロナ01
Paris-Tours 2012,パリ〜ツール2012
Paris Photo,パリ・フォト
Alpes occidentales,西アルプス山脈
Soupe au pistou,スープ・オ・ピストゥ
Critérium du Dauphiné libéré 2004,ドーフィネ・リベレ2004
Dieuze,ディウーズ
Saint-Maurice-de-Beynost,サン＝モーリス＝ド＝ベノ
Nantes,ナント
Montdidier,モンディディエ
Limoges,リモージュ
Kig ha farz,キッカ・ファルス
sarrasin de Tartarie,ダッタンソバ
Hoffen,ホッフェン
pays de Léon,レオン
Metz,メス
Forbach,フォルバック
Aytré,エオレ
La Joconde,モナ・リザ
Championnats du monde de tennis,世界ハードコート選手権
Bussy-en-Othe,ビュシー・アン・オト
Torcy,トルシー
Pyrénées,ピレネー山脈
Gard,ガール県
Sélestat,セレスタ
Tour de France 2003,ツール・ド・フランス2003
Vitry-sur-Seine,ヴィトリー＝シュル＝セーヌ
Molsheim,モルスアイム
Brest,ブレスト
Gironde,ジロンド県
Château-Salins,シャトー＝サラン
Saverne,サヴェルヌ
Aubigny,オービニー (ソンム県)
Algrange,アルグランジュ
Gers,ジェール県
Haguenau,アグノー
Ille-et-Vilaine,イル＝エ＝ヴィレーヌ県
Hauts-de-Seine,オー＝ド＝セーヌ県
Hérault,エロー県
Haute-Garonne,オート＝ガロンヌ県
tramway de Brest,トラム
Obernai,オベルネ
Le Monde,ルモンド
Spicheren,スピシャラン
Indre,アンドル県
Bouxwiller,ブクスヴィレール
Barr,バール
Montigny-lès-Metz,モンティニー＝レ＝メス
Loir-et-Cher,ロワール＝エ＝シェール県
JCDecaux,ジェーシードゥコー
Landes,ランド県
Isère,イゼール県
Vionville,ヴィオンヴィル
Wœrth,ヴルト
macaron,マカロン
Boudoir,ビスコッティ・サヴォイアルディ
Ault,オー
Loiret,ロワレ県
Steinseltz,シュタインゼルツ
Haute-Loire,オート＝ロワール県
Indre-et-Loire,アンドル＝エ＝ロワール県
musée des Beaux-Arts d'Arras,アラス美術館
ministère des Armées,軍事省
montagne Pelée,プレー山
Gallargues-le-Montueux,ガラルグ＝ル＝モンチュー
Lot-et-Garonne,ロット＝エ＝ガロンヌ県
Dunkerque,ダンケルク
Lozère,ロゼール県
Haute-Marne,オート＝マルヌ県
Maine-et-Loire,メーヌ＝エ＝ロワール県
Loire,ロワール県
Bitche,ビッシュ
Mayenne,マイエンヌ県
Aigues-Vives,エグ・ヴィヴ (ガール県)
Scy-Chazelles,シー＝シャゼル
Rhône,ローヌ県
Darois,ダロワ
Meurthe-et-Moselle,ムルト＝エ＝モゼル県
Lot,ロット県
Nièvre,ニエーヴル県
Armentières-sur-Ourcq,アルマンティエール＝シュル＝ウルク
île de Sable,サンディ島
championnats d'Europe de natation en petit bassin 2012,2012年ヨーロッパ短水路選手権
Muttersholtz,ミュッテルソルツ
Éditions Julliard,ジュイヤール出版社
aéroport Paris-Charles-de-Gaulle,パリ＝シャルル・ド・ゴール空港
Marne,マルヌ県
Daix,デ
Bossendorf,ボッセンドルフ
Manche,マンシュ県
Nord,ノール県
Créteil,クレテイユ
Morbihan,モルビアン県
Magny-les-Hameaux,マニー＝レ＝アモー
Mulhouse,ミュルーズ
Benfeld,ベンフェルド
Meuse,ムーズ県
Hochfelden,オクフェルダン
Mer Celtique,ケルト海
Drusenheim,ドリュゼナイム
Pouilly-sur-Loire,プイィ＝シュル＝ロワール
Rugby Club Massy Essonne,リュグビー・クリュブ・マシー・エソンヌ
Moselle,モゼル県
Pas-de-Calais,パ＝ド＝カレー県
Fort-de-France,フォール＝ド＝フランス
championnat du monde junior de hockey sur glace 2013,2013年アイスホッケーU20世界選手権
championnats du monde d'aviron 2015,2015年エギュベレット
Hautes-Pyrénées,オート＝ピレネー県
Bas-Rhin,バ＝ラン県
Pyrénées-Orientales,ピレネー＝オリアンタル県
Oise,オワーズ県
Orne,オルヌ県
Puy-de-Dôme,ピュイ＝ド＝ドーム県
Hérault,エロー川
Royan,ロワイヤン
Veolia Transport,ヴェオリア・トランスポール
Pyrénées-Atlantiques,ピレネー＝アトランティック県
Haut-Rhin,オー＝ラン県
Haute-Saône,オート＝ソーヌ県
Talant,タラン
Saône-et-Loire,ソーヌ＝エ＝ロワール県
Savoie,サヴォワ
Sarthe,サルト県
Seine-et-Marne,セーヌ＝エ＝マルヌ県
Dorlisheim,ドルリサイム
Estrées-Deniécourt,エストレ＝ドニエクール
Savigny-le-Sec,サヴィニー＝ル＝セック
.re,.re
Tarn,タルヌ県
Plombières-lès-Dijon,プロンビエール＝レ＝ディジョン
Seine-Maritime,セーヌ＝マリティーム県
art gothique,ゴシック
Somme,ソンム県
Haute-Savoie,オート＝サヴォワ県
Deux-Sèvres,ドゥー＝セーヴル県
.nc,.nc
Messigny-et-Vantoux,メッシニー＝エ＝ヴァントゥー
Boulogne-sur-Mer,ブローニュ＝シュル＝メール
Seine-Saint-Denis,セーヌ＝サン＝ドニ県
Wingen-sur-Moder,ヴァンジャン＝シュル＝モデール
Vienne,ヴィエンヌ県
Tarn-et-Garonne,タルヌ＝エ＝ガロンヌ県
Var,ヴァール県
Val-de-Marne,ヴァル＝ド＝マルヌ県
Marlenheim,マルレンハイム
mer de Corail,珊瑚海
îles Kerguelen,ケルゲレン諸島
Val-d'Oise,ヴァル＝ドワーズ県
Hunspach,アンスパック
Vendée,ヴァンデ県
Territoire de Belfort,テリトワール・ド・ベルフォール県
Vaucluse,ヴォクリューズ県
Aiserey,エズレ
Lutzelhouse,リュツェルズ
Stiring-Wendel,スティラン＝ヴェンデル
Vaulx-en-Velin,ヴォー＝アン＝ヴラン
Yonne,ヨンヌ県
La Rochelle,ラ・ロシェル
Haute-Vienne,オート＝ヴィエンヌ県
pyramide du Louvre,ルーヴル美術館のピラミッド
Yvelines,イヴリーヌ県
championnat de France de football,リーグ・アン
Bretenière,ブルトゥニエール
Stade de France,スタッド・ド・フランス
ligne 1,パリメトロ1号線
université de Bordeaux,ボルドー大学
Debout la France,立ち上がれ!共和国
créole réunionnais,レユニオン・クレオール語
université d'Orléans,オルレアン大学
université Bordeaux-I,ボルドー第1大学
Vénissieux,ヴェニシュー
TEE Cisalpin,シザルパン
musée Bossuet,ボシュエ美術館
Union des démocrates et indépendants,民主独立連合
péninsule Ibérique,イベリア半島
Chamonix-Mont-Blanc,シャモニー＝モン＝ブラン
Châlons-en-Champagne,シャロン＝アン＝シャンパーニュ
Charleville-Mézières,シャルルヴィル＝メジエール
École normale supérieure,高等師範学校
université Bordeaux-Montaigne,ボルドーモンテーニュ大学
Issenheim,イサネン
Pagny-la-Ville,パニー＝ラ＝ヴィル
Aix-en-Provence,エクス＝アン＝プロヴァンス
Fauverney,フォヴェルネ
Saint-Denis,サン＝ドニ (レユニオン)
vente de la chose d'autrui,善意有償取得者
Le Tampon,ル・タンポン
transport ferroviaire en France,フランスの鉄道
musée des Beaux-Arts de Marseille,マルセイユ美術館
relations entre la France et la Russie,仏露関係
Longeault,ロンジョー
Le Canard enchaîné,カナール・アンシェネ
Libération,リベラシオン
Feyzin,フェイザン
Société nationale des chemins de fer français,フランス国鉄
Longchamp,ロンシャン
Waldersbach,ヴァルダースバッハ
Horbourg-Wihr,オルブール＝ヴィール
Houtkerque,ウケルク
Centre-Val de Loire,サントル＝ヴァル・ド・ロワール地域圏
Champagne-Ardenne,シャンパーニュ＝アルデンヌ地域圏
Picardie,ピカルディ地域圏
Pays basque,バスク地方
Labergement-Foigney,ラべールジュマン＝フォワニエー
Corse,コルシカ島
Île-de-France,イル＝ド＝フランス地域圏
Les Abymes,レザビーム
Huningue,ユナング
Fort-Louis,フォール＝ルイ
Viroflay,ヴィロフレー
Savoie,サヴォワ
Meisenthal,マイゼンタール
occitan,オック語
Godewaersvelde,ゴドワアイェヴェルド
équipe de France de football,サッカーフランス代表
Genlis,ジャンリス
Bois-d'Arcy,ボワ＝ダルシー
Bennecourt,ベンヌクール
Eecke,エエク
.tf,.tf
Thorey-en-Plaine,トレ＝アン＝プレヌ
Saint-Julien-sur-Veyle,サン＝ジュリアン＝シュル＝ヴェル
Provence-Alpes-Côte d'Azur,プロヴァンス＝アルプ＝コート・ダジュール地域圏
Sarre-Union,サール＝ユニオン
Rouvres-en-Plaine,ルーヴル＝アン＝プレーヌ
Normandie,ノルマンディー
Cerdagne,サルダーニャ
Vallespir,ヴァルスピール
Roussillon,ルセリョー
Bidassoa,ビダソア川
Doubs,ドゥー川
Conflent,クンフレン
Capcir,カプシー
Cerdagne française,セルダーニュ・フランセーズ
Pluvault,プルヴォー
Catalogne Nord,ルシヨン
Slovènes,スロベニア人
Varanges,ヴァランジュ
Pompe aux grattons,ポンプ・オ・グラットン
francoprovençal,アルピタン語
Arnay-le-Duc,アルネ＝ル＝デュック
Cussy-le-Châtel,キュシー＝ル＝シャテル
Fossé rhénan,ライン地溝帯
Clomot,クロモ
palatin,プファルツ語
Le Mesnil-Saint-Denis,メニル＝サン＝ドニ
Le Fête,ル・フェット
Champignolles,シャンピニョール
Foissy,フォワシー
Rosheim,ロサイム
Pluvet,プリュヴェー
Culètre,キュレートル
Kaysersberg,ケゼルスベール
Antigny-la-Ville,アンティニー＝ラ＝ヴィル
La Tania,ラ・タニア
Turcs,トルコ人
Aile Lescot,レスコウィング
Rœschwoog,レーシュヴォーク
Magnien,マニェン
Hampont,アムポン
Cahors,カオール
musée d'Orsay,オルセー美術館
Elne,エルヌ
prix Sakharov,サハロフ賞
Berenice,ベレニス
Eure,ウール川
Jouey,ジュエ
César de la meilleure actrice dans un second rôle,助演女優賞
Thionville,ティオンヴィル駅
César de la meilleure musique originale,セザール賞音楽賞
Sègre,セグラ川
fort carré,カレ砦
Longecourt-lès-Culêtre,ロンジュクール＝レ＝キュレートル
Maligny,マリニー
Arles,アルル
lac du Bourget,ブルジェ湖
Marseille,マルセイユ
Lamargelle,ラマルジェール
Musigny,ミュジニー
Mouvements unis de la Résistance,統一レジスタンス運動
Saint-Prix-lès-Arnay,サン＝プリ＝レ＝アルネ
César de la meilleure révélation masculine,セザール有望若手男優賞
Centre national d'études spatiales,フランス国立宇宙研究センター
Saou,サウ (ドローム県)
Diamant,ディアマンロケット
Noyon,ノワイヨン
Portrait d'un vieillard et d'un jeune garçon,老人と少年
Beaune,ボーヌ
Neuilly-sur-Seine,ヌイイ＝シュル＝セーヌ
Frénois,フレノワ
concile de Clermont,クレルモン教会会議
Fleurey-sur-Ouche,フルーレー＝シュル＝ウシュ
métro de Paris,メトロ
Viévy,ヴィエヴィー
Flavignerot,フラヴィニュロー
Poiseul-la-Grange,ポワスル＝ラ＝グランジュ
Auxey-Duresses,オーセイ＝デュレス
Vendenheim,フェンデンハイム
Mavilly-Mandelot,マヴィリー＝マンドロ
Uttenhoffen,ウッテンホーフェン
Saint-Saëns,サン＝サンス
ligne 2,パリメトロ2号線
ligne 3,パリメトロ3号線
Velars-sur-Ouche,ヴラール＝シュル＝ウシュ
Bouze-lès-Beaune,ブーズ＝レ＝ボーヌ
Corcelles-les-Monts,コルセル＝レ＝モン
Le Couronnement d'épines,カラスのいる木
5e cérémonie des César,第5回セザール賞
Schneider Electric,シュナイダーエレクトリック
Aloxe-Corton,アロース・コルトン
Annecy,アヌシー
FC Lorient,FCロリアン
Centaure,サントール
lettons,ラトビア人
Francheville,フランシュヴィル
ligne 11,パリメトロ11号線
ligne 12,パリメトロ12号線
ligne 13,パリメトロ13号線
ligne 8,パリメトロ8号線
ligne 9,パリメトロ9号線
ligne 10,パリメトロ10号線
Nantoux,ナントゥー
Vichy,ヴィシー
ligne 5,パリメトロ5号線
Meursault,ムルソー
Meloisey,ムロワジー
Chorey-les-Beaune,ショレ＝レ＝ボーヌ
ligne 3 bis,パリメトロ3bis線
ligne 4,パリメトロ4号線
Chambolle-Musigny,シャンボール＝ミュジニー
Combertault,コンベルトー
ligne 14,パリメトロ14号線
croisade des albigeois,アルビジョア十字軍
Walbourg,ヴァルブール
Pernand-Vergelesses,ペルナン・ヴェルジュレス
4e cérémonie des César,第4回セザール賞
3e cérémonie des César,第3回セザール賞
2e cérémonie des César,第2回セザール賞
Chevigny-en-Valière,シュヴィニー＝アン＝ヴァリエール
Pommard,ポマール
Barges,バルジュ
X 3800,フランス国鉄X3800形気動車
Monthelie,モンテリ
Appalaches,アパラチア山脈
ligne R,トランシリアンR線
Petites Antilles,小アンティル諸島
haut allemand,高地ドイツ語
fort Boyard,フォール・ボワヤール
ligne 6,パリメトロ6号線
ligne 7,パリメトロ7号線
ligne 7 bis,パリメトロ7bis線
Levernois,ルヴェルノワ
César de la meilleure actrice,セザール賞主演女優賞
Brochon,ブロション
Volnay,ヴォルネ
Savigny-lès-Beaune,サヴィニー＝レ＝ボーヌ
Ladoix-Serrigny,ラドワ・セリニー
Chambœuf,シャンブッフ
Marigny-lès-Reullée,マリニー＝レ＝ルレ
Meursanges,ムルサンジュ
Couchey,クーシェ
Bligny-lès-Beaune,ブリニー＝レ＝ボーヌ
Fixin,フィサン
ordre de la Santé publique,公衆衛生勲章
ordre du Mérite artisanal,工芸功労章
ordre du Mérite militaire,軍事功労章
Sainte-Marie-la-Blanche,サント＝マリー＝ラ＝ブランシュ
Vignoles,ヴィニョル
Clémencey,クレマンセー
Merceuil,メルセイユ
César de la meilleure réalisation,セザール賞監督賞
Morey-Saint-Denis,モレ＝サン＝ドニ
Bligny-sur-Ouche,ブリニー＝シュル＝ウシュ
ordre du Mérite commercial et industriel,商工業功労章
Antheuil,アンタイユ
Gevrey-Chambertin,ジュヴレ＝シャンベルタン
Ruffey-lès-Beaune,リュフェ＝レ＝ボーヌ
Aubaine,オーベーヌ
Chaudenay-le-Château,ショードネ＝ル＝シャトー
Montagny-lès-Beaune,モンタニ＝レ＝ボーヌ
Saulon-la-Chapelle,ソロン=ラ=シャペル
cathédrale Sainte-Cécile d'Albi,サント＝セシル大聖堂
Épernay-sous-Gevrey,エぺルネ＝スー＝ジュヴレ
Maurepas,モールパ
Crugey,クリュジェ
ligne P,パリ東線
Bessey-la-Cour,ベセ＝ラ＝クル
Tailly,タイリー
Auxant,オクサン
Chaudenay-la-Ville,ショードネ＝ラ＝ヴィル
Écutigny,エキュティニー
Urcy,ウルスィ
Orbe,オルブ川
Painblanc,パンブラン
Bessey-en-Chaume,ベセ＝アン＝ショーム
Quemigny-Poisot,クミニー＝プワゾ
Montceau-et-Écharnant,モンソー＝エ＝エシャルナン
Noiron-sous-Gevrey,ノワロン＝スー＝ジュヴレ
Saulon-la-Rue,ソロン＝ラ＝リュ
Lusigny-sur-Ouche,リュジニー＝シュル＝ウシュ
La Bussière-sur-Ouche,ラ・ビュシエール＝シュル＝ウシュ
Cussy-la-Colonne,キュシー＝ラ＝コロンヌ
Provence,プロヴァンス
Pays basque français,フランス領バスク
viaduc de Millau,ミヨー橋
Séfarade,セファルディム
Thomirey,トミレ
funiculaire du Havre,フニクレール・デュ・アーヴル
