Deutschland,ドイツ
Eurovision Song Contest 1957,ユーロビジョン・ソング・コンテスト1957
Siegessäule (Berlin),戦勝記念塔・(ベルリン)
Baden-Baden,バーデン＝バーデン
Zwinger (Dresden),ツヴィンガー宮殿
Polydor,ポリドール・レコード
FC Carl Zeiss Jena,FCカールツァイス・イェーナ
Bad Salzuflen,バート・ザルツウフレン
Meerbusch,メーアブッシュ
Schweinfurt,シュヴァインフルト
Neu-Ulm,ノイウルム
Wolfenbüttel,ヴォルフェンビュッテル
Bodensee,ボーデン湖
Waiblingen,ヴァイブリンゲン
Chiemsee,キーム湖
Langenhagen,ランゲンハーゲン
Schloss Neuschwanstein,ノイシュヴァンシュタイン城
Neustadt an der Weinstraße,ノイシュタット・アン・デア・ヴァインシュトラーセ
Loreley,ローレライ
Bad Homburg vor der Höhe,バート・ホムブルク・フォア・デア・ヘーエ
Altentreptow,アルテントゥレプトウ
S-Bahn Köln,ケルンSバーン
Stadtbahn Köln,ケルンLRT
S-Bahn,Sバーン
S-Bahn Berlin,ベルリンSバーン
Straßenbahn Berlin,ベルリン市電
Rotes Rathaus,赤の市庁舎
Rot-Weiss Essen,ロートヴァイス・エッセン
Emden,エムデン
Kölner Dom,ケルン大聖堂
Ibbenbüren,イベンビューレン
U-Bahn-Linie U4 (Berlin),ベルリン地下鉄4号線
U-Bahn-Linie U5 (Berlin),ベルリン地下鉄5号線
U-Bahn-Linie U3 (Berlin),ベルリン地下鉄3号線
Ernst Heinkel Flugzeugwerke,ハインケル
U-Bahn-Linie U6 (Berlin),ベルリン地下鉄6号線
FIFA-Konföderationen-Pokal 2005,FIFAコンフェデレーションズカップ2005
U-Bahn-Linie U1 (Berlin),ベルリン地下鉄1号線
U-Bahn-Linie U2 (Berlin),ベルリン地下鉄2号線
Philipps-Universität Marburg,フィリップ大学マールブルク
Merkur Spiel-Arena,デュッセルドルフ・アレーナ
VfL Wolfsburg,VfLヴォルフスブルク
Borussia Mönchengladbach,ボルシア・メンヒェングラートバッハ
Südniederfränkisch,リンブルフ語
Leichtathletik-Weltmeisterschaften 1993,1993年世界陸上競技選手権大会
Volkswagen Arena,フォルクスワーゲン・アレーナ
TuS Koblenz,TuSコブレンツ
Wangelnstedt,ヴァンゲルンシュテット
Airbus Helicopters,エアバス・ヘリコプターズ
Messerschmitt Me 163,メッサーシュミット・Me163
Güglingen,ギューグリンゲン
U-Bahn-Linie U9 (Berlin),ベルリン地下鉄9号線
U-Bahn-Linie U7 (Berlin),ベルリン地下鉄7号線
U-Bahn-Linie U8 (Berlin),ベルリン地下鉄8号線
Sauerland,ザウアーラント
Bergkamen,ベルクカーメン
Passau,パッサウ
Cuxhaven,クックスハーフェン
Erzgebirge,エルツ山地
Schwarzwald,シュヴァルツヴァルト
Kirchlengern,キルヒレンゲルン
Hiddenhausen,ヒデンハウゼン
Messerschmitt Bf 110,メッサーシュミット・Bf110
Junkers Ju 88,Ju・88・(航空機)
Hertha BSC,ヘルタ・ベルリン
Rödinghausen,レーディングハウゼン
Lahn,ラーン川
Rote Armee Fraktion,ドイツ赤軍
Wetzlar,ヴェッツラー
Lingen (Ems),リンゲン
Harz (Mittelgebirge),ハルツ山地
Zaberfeld,ツァーバーフェルト
Oktoberfest,オクトーバーフェスト
Vlotho,フロートー
Enger,エンガー
Spenge,シュペンゲ
Bernkastel-Kues,ベルンカステル＝クース
Handball-Weltmeisterschaft der Männer 2007,2007年世界男子ハンドボール選手権
Rothaargebirge,ロタール山地
Thüringer Wald,テューリンゲンの森
Universität zu Köln,ケルン大学
Hochschule für Musik und Tanz Köln,ケルン音楽舞踊大学
Universität der Künste Berlin,ベルリン芸術大学
Pommern,ポメラニア
DAX,ドイツ株価指数
Brocken,ブロッケン山
Ludwig-Maximilians-Universität München,ルートヴィヒ・マクシミリアン大学ミュンヘン
Bayer 04 Leverkusen,バイエル・レバークーゼン
Deutscher Zollverein,ドイツ関税同盟
RTL Television,RTLテレビジョン
Holzminden,ホルツミンデン
1. FSV Mainz 05,1.FSVマインツ05
1. FC Köln,1.FCケルン
AVUS,アヴス
1. FC Magdeburg,1.FCマクデブルク
Olympische Winterspiele 1936/Ski Alpin,1936年ガルミッシュ・パルテンキルヘンオリンピックのアルペンスキー競技
Friede von Aachen (1748),アーヘンの和約・(1748年)
Saalfeld/Saale,ザールフェルト
Pangermanismus,汎ゲルマン主義
Lech,レヒ川
Die Heimat (Partei),ドイツ国家民主党
Alte Buchenwälder und Buchenurwälder der Karpaten und anderer Regionen Europas,カルパティア山脈とヨーロッパ各地の古代及び原生ブナ林
Rammelsberg,ランメルスベルク鉱山
Weimarer Verfassung,ヴァイマル憲法
Kölsch (Sprache),ケルン語
VfB Stuttgart,VfBシュトゥットガルト
Berlin Recycling Volleys,ベルリン・リサイクリング・バレーズ
Prähistorische Pfahlbauten um die Alpen,アルプス山脈周辺の先史時代の杭上住居群
SC Freiburg,SCフライブルク
Friesen,フリース人
Karlsruher SC,カールスルーエSC
Arminia Bielefeld,アルミニア・ビーレフェルト
Europastraße,欧州自動車道路
VfL Bochum,VfLボーフム
Isar,イーザル川
Euro,ユーロ
Kölsch (Bier),ケルシュ
Gemäldegalerie Alte Meister,アルテ・マイスター絵画館
Bild (Zeitung),ビルト・(新聞)
Corvey,コルヴァイ
Luftwaffe (Bundeswehr),ドイツ空軍・(ドイツ連邦軍)
Bundeswehr,ドイツ連邦軍
Deutsche Marine,ドイツ海軍・(ドイツ連邦軍)
Messeturm (Frankfurt am Main),メッセタワー
I.G. Farben,IG・ファルベンインドゥストリー
Würzburger Residenz,ヴュルツブルクのレジデンツ
Fürst-Pückler-Park Bad Muskau,ムスカウ公園
Berliner Mauer,ベルリンの壁
Steinway %26 Sons,スタインウェイ・アンド・サンズ
Burg Hohenzollern,ホーエンツォレルン城
Reichenau (Insel),ライヒェナウ島
Teutoburger Wald,トイトブルクの森
Schlösser Augustusburg und Falkenlust,ブリュールのアウグストゥスブルク城と別邸ファルケンルスト
Entartete Kunst,退廃芸術
Streitkräftebasis,戦力基盤軍
Fußball-Weltmeisterschaft der Frauen 2011,2011・FIFA女子ワールドカップ
Energie Cottbus,エネルギー・コットブス
Zentraler Sanitätsdienst der Bundeswehr,救護業務軍
Mecklenburg,メクレンブルク
Fußball-Bundesliga 2011/12,ドイツ・ブンデスリーガ2011-2012
List auf Sylt,リスト・(シュレースヴィヒ＝ホルシュタイン州)
Bundesverfassungsgericht,連邦憲法裁判所
Kanzler von Deutschland,ドイツの首相
Präsident des Deutschen Bundestages,ドイツ連邦議会議長
Altena,アルテナ
Balve,バルヴェ
Verdienstorden der Bundesrepublik Deutschland,ドイツ連邦共和国功労勲章
Bundespolizei (Deutschland),連邦警察・(ドイツ)
Bundeskriminalamt (Deutschland),連邦刑事庁・(ドイツ)
Bundesgrenzschutz,連邦国境警備隊
Auswärtiges Amt,外務省・(ドイツ)
Schmallenberg,シュマレンベルク
Lausitzer Neiße,ナイセ川
Meschede,メシェデ
Brilon,ブリーロン
Fußball-Bundesliga 2010/11,ドイツ・ブンデスリーガ2010-2011
Deutsche Wiedervereinigung,ドイツ再統一
Dornier Do 17,Do・17・(航空機)
Randersacker,ランダースアッカー
Fokker Dr.I,フォッカー・Dr.I
Olympische Sommerspiele 1972/Basketball,1972年ミュンヘンオリンピックのバスケットボール競技
Air Berlin,エア・ベルリン
Heinkel He 162,ハインケルHe162
Welthauptstadt Germania,世界首都ゲルマニア
Hallenberg,ハレンベルク
Marsberg,マルスベルク
Waldfischbach-Burgalben,ヴァルトフィッシュバッハ＝ブルガルベン
Nachrodt-Wiblingwerde,ナハロート＝ヴィプリングヴェルデ
Neuenrade,ノイエンラーデ
Groß-Berlin,大ベルリン
Winnweiler,ヴィンヴァイラー
Holstein,ホルシュタイン
Frankfurter Buchmesse,フランクフルト・ブックフェア
Gewandhausorchester,ライプツィヒ・ゲヴァントハウス管弦楽団
Die Bremer Stadtmusikanten,ブレーメンの音楽隊
Kieler Friede,キール条約
Internationale Automobil-Ausstellung,ドイツ国際モーターショー
Volkswagen AG,フォルクスワーゲン・グループ
Spartakusbund,スパルタクス団
Bertelsmann,ベルテルスマン
Bach-Collegium Stuttgart,シュトゥットガルト・バッハ・コレギウム
Merck KGaA,メルク・(ドイツ)
DFL-Supercup,DFLスーパーカップ
Wieskirche,ヴィースの巡礼教会
BayArena,バイ・アレーナ
Altes Museum,旧博物館・(ベルリン)
Königssee,ケーニヒス湖
Christian-Albrechts-Universität zu Kiel,クリスティアン・アルブレヒト大学キール
Universität Hamburg,ハンブルク大学
Halver,ハルヴァー
Plettenberg,プレッテンベルク
Werdohl,ヴェルドール
Kierspe,キールスペ
Meinerzhagen,マイネルツハーゲン
Altrip,アルトリップ
Herscheid,ヘルシャイト
Aachener Dom,アーヘン大聖堂
Landkreis Stade,シュターデ郡
Landkreis Cuxhaven,クックスハーフェン郡
Bückeburg,ビュッケブルク
Puma (Sportartikelhersteller),プーマ
Himmelsscheibe von Nebra,ネブラ・ディスク
Vierschanzentournee,スキージャンプ週間
Die Zeit,ディー・ツァイト
Jüdisches Museum Berlin,ベルリン・ユダヤ博物館
Goethe-Institut,ゲーテ・インスティトゥート
Rot-Weiß Oberhausen,SCロートヴァイス・オーバーハウゼン
Trierer Dom,トリーア大聖堂
Landkreis Rotenburg (Wümme),ローテンブルク（ヴュンメ）郡
Deutsche Bank Park,ヴァルトシュタディオン
Ebersburg,エーバースブルク
Frauenkirche (Dresden),聖母教会・(ドレスデン)
Carmina Burana,カルミナ・ブラーナ
Koburger Ehrenzeichen,コーブルク闘争名誉章
Zittau,ツィッタウ
Haus Hannover,ハノーヴァー朝
Region Hannover,ハノーファー広域連合
Kreis Soest,ゾースト郡
Landkreis Nienburg/Weser,ニーンブルク/ヴェーザー郡
Landkreis Osterholz,オスターホルツ郡
Landkreis Verden,フェルデン郡
Landkreis Diepholz,ディープホルツ郡
Kreis Olpe,オルペ郡
Landkreis Hameln-Pyrmont,ハーメルン＝ピルモント郡
Landkreis Schaumburg,シャウムブルク郡
Walldorf,ヴァルドルフ・(バーデン)
Ramstein-Miesenbach,ラムシュタイン＝ミーゼンバッハ
Eberbach,エーバーバッハ
Wiesloch,ヴィースロッホ
Elterlein,エルターライン
Landkreis Holzminden,ホルツミンデン郡
Altlußheim,アルトルスハイム
FSV Frankfurt,FSVフランクフルト
1. FC Saarbrücken,1.FCザールブリュッケン
Landkreis Osnabrück,オスナブリュック郡
Naumburger Dom,ナウムブルク大聖堂
Wilhelmsfeld,ヴィルヘルムスフェルト
Bad Dürkheim,バート・デュルクハイム
Kusel,クーゼル
Märkischer Kreis,メルキッシャー郡
Dessau-Wörlitzer Gartenreich,デッサウ・ヴェルリッツの庭園王国
Deutsche Zentrumspartei,中央党・(ドイツ)
Focke-Wulf Fw 200,Fw・200・(航空機)
Kloster Lorsch,ロルシュ修道院
Pergamonmuseum,ペルガモン博物館
Böhmerwald,ベーマーの森
Neues Museum (Berlin),新博物館・(ベルリン)
Deutsches Zentrum für Luft- und Raumfahrt,ドイツ航空宇宙センター
Stammdienststelle der Bundeswehr,連邦軍基幹業務局
Hochsauerlandkreis,ホーホザウアーラント郡
Speyerer Dom,シュパイアー大聖堂
Regierungsbezirk,ドイツの行政管区
Die PARTEI,パルタイ・(政党)
Maikammer,マイカンマー
Flughafen Düsseldorf,デュッセルドルフ空港
Schalksmühle,シャルクスミューレ
Samtgemeinde Bevern,ザムトゲマインデ・ベーヴェルン
Neues Schloss Herrenchiemsee,ヘレンキームゼー城
Klindworth-Scharwenka-Konservatorium,クリントヴォルト＝シャルヴェンカ音楽院
Fichtelgebirge,フィヒテル山地
Samtgemeinde Himmelpforten,ザムトゲマインデ・ヒンメルプフォルテン
Flughafen Köln/Bonn,ケルン・ボン空港
TSG 1899 Hoffenheim,TSG1899ホッフェンハイム
Germersheim,ゲルマースハイム
KFC Uerdingen 05,KFCユルディンゲン05
Kreis Siegen-Wittgenstein,ジーゲン＝ヴィトゲンシュタイン郡
Sundern (Sauerland),ズンデルン・(ザウアーラント)
Kreuztal,クロイツタール
Annweiler am Trifels,アンヴァイラー・アム・トリフェルス
Deidesheim,ダイデスハイム
Landstuhl,ラントシュトゥール
Grünstadt,グリューンシュタット
Rockenhausen,ロッケンハウゼン
Ilvesheim,イルフェスハイム
Sandhausen,ザントハウゼン
Ketsch (Gemeinde),ケッチュ
Aue (Sachsen),アウエ
Bippen,ビッペン
Tag der Deutschen Einheit,ドイツ統一の日
Bayreuther Festspiele,バイロイト音楽祭
Landkreis Göttingen,ゲッティンゲン郡
Landkreis Northeim,ノルトハイム郡
Neulußheim,ノイルスハイム
Brühl (Baden),ブリュール・(バーデン)
Deutsche Universität für Verwaltungswissenschaften Speyer,シュパイアー行政大学院
Oberrheinische Tiefebene,ライン地溝帯
Lambsheim,ランプスハイム
Burgenlandkreis,ブルゲンラント郡
Eschershausen,エッシャースハウゼン
Rauenberg,ラウエンベルク
Bode-Museum,ボーデ博物館
Holstein Kiel,ホルシュタイン・キール
Wacken Open Air,ヴァッケン・オープン・エア
Bundestagswahl 2009,2009年ドイツ連邦議会選挙
Deutsche Börse,ドイツ取引所
Kloster Maulbronn,マウルブロン修道院
Samtgemeinde Boffzen,ザムトゲマインデ・ボフツェン
Samtgemeinde Bodenwerder-Polle,ザムトゲマインデ・ボーデンヴェルダー＝ポレ
Bodenwerder,ボーデンヴェルダー
Delligsen,デリヒゼン
Stadtoldendorf,シュタットオルデンドルフ
Zündapp,ツェンダップ
ProSiebenSat.1 Media,プロジーベンザット1メディア
Festhalle (Frankfurt am Main),フェストハレ・フランクフルト
Kulmbach,クルムバッハ
Holzen (bei Eschershausen),ホルツェン
Gaiberg,ガイベルク
Deutsche Post AG,ドイツポスト
Commerzbank,コメルツ銀行
Creglingen,クレーグリンゲン
Heinade,ハイナーデ
Selbitz (Oberfranken),ゼルビッツ
Erlenbach (Landkreis Heilbronn),エルレンバッハ・(ハイルブロン郡)
Technische Universität München,ミュンヘン工科大学
Unterhaltungssoftware Selbstkontrolle,ソフトウェア事前審査機構
Bezirk Marzahn-Hellersdorf,マルツァーン＝ヘラースドルフ区
Landkreis Elbe-Elster,エルベ＝エルスター郡
Landkreis Oberspreewald-Lausitz,オーバーシュプレーヴァルト＝ラウジッツ郡
Büsingen am Hochrhein,ビュージンゲン
Technische Universität Dresden,ドレスデン工科大学
Erligheim,エルリヒハイム
Bezirk Tempelhof-Schöneberg,テンペルホーフ＝シェーネベルク区
SpVgg Unterhaching,SpVggウンターハヒンク
Landkreis Ostprignitz-Ruppin,オストプリーグニッツ＝ルピーン郡
Landkreis Prignitz,プリーグニッツ郡
Wickede (Ruhr),ヴィッケデ・(ルール)
Pfälzische Dialekte,プファルツ語
Waldsee (Pfalz),ヴァルトゼー・(プファルツ)
Erdmannhausen,エルトマンハウゼン
Affalterbach,アファルターバッハ
Freudental,フロイデンタール
Ditzingen,ディッツィンゲン
Benningen am Neckar,ベニンゲン・アム・ネッカー
