Silbo gomero,シルボ
Tranvía de Tenerife,テネリフェ・トラム
Río Henares,エナレス川
Hispania,ヒスパニア
Pueblo lituano,リトアニア人
El Burgo de Osma-Ciudad de Osma,エル・ブルゴ・デ・オスマ
Ferrol,フェロル
Fútbol Club Barcelona (rugby),FCバルセロナ・(ラグビー)
Campeonato Mundial de Natación de 2003,2003年世界水泳選手権
Peseta,ペセタ
SEAT,セアト
Anexo:Municipios de España por población,スペインの都市の一覧
Reus,レウス
Candelaria (Tenerife),カンデラリア
Campeonato Regional Centro,カンペオナート・レヒオナル・セントロ
Equipo de Copa Davis de España,デビスカップスペイン代表
Romesco,ルメスク
Línea de alta velocidad Perpiñán-Figueras,LGVペルピニャン-フィゲラス線
Arenas Club,アレナス・クルブ・デ・ゲチョ
Vivero,ビベイロ
Calahorra,カラオラ
Baztán,バスタン
Ayerbe,アイェルベ
Guernica y Luno,ゲルニカ
Plazas de soberanía,プラサス・デ・ソベラニア
Orihuela,オリウエラ
Alcobendas,アルコベンダス
Baracaldo,バラカルド
Medina Sidonia,メディナ＝シドニア
Puig Mayor,プッジ・マジョー
Arnedo,アルネド
Manresa,マンレザ
Benidorm,ベニドルム
Peñón de Alhucemas,ペニョン・デ・アルセマス
Peñón de Vélez de la Gomera,ペニョン・デ・ベレス・デ・ラ・ゴメラ
La Razón (España),ラ・ラソン
Baeza,バエサ
Olivenza,オリベンサ
Benalmádena,ベナルマデナ
Estadio La Condomina,エスタディオ・デ・ラ・コンドミーナ
Lonja de la Seda,ラ・ロンハ・デ・ラ・セダ
Eurocopa Sub-21 de 1996,UEFA・U-21欧州選手権1996
Otero de Rey,オウテイロ・デ・レイ
Río Zújar,スハル川
Metro de Madrid,マドリード地下鉄
Torrejón de Ardoz,トレホン・デ・アルドス
Pronair,プロン・エア
Dialecto andaluz,アンダルシア方言
Dos Hermanas,ドス・エルマーナス
Primera División de España 1998-99,リーガ・エスパニョーラ1998-1999
Bergondo,ベルゴンド
Príncipe de Viana,ビアナ公
Anexo:Medallero de los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのメダル受賞数一覧
Fuerteventura,フエルテベントゥラ島
Almuñécar,アルムニェーカル
Baza (Granada),バサ
Calviá,カルビア
San Vicente del Raspeig,サン・ビセンテ・デル・ラスペイグ
Almendralejo,アルメンドラレホ
Mondragón,アラサーテ/モンドラゴン
Rivas-Vaciamadrid,リバス＝バシアマドリード
Cochinillo de Segovia,セゴビア風仔豚の丸焼き
Asociación de Amistad con Corea,朝鮮親善協会
Campos de Sport de El Sardinero (1988),エスタディオ・エル・サルディネーロ
Fuenterrabía,オンダリビア
Tour de Francia 2001,ツール・ド・フランス2001
Sobrado (La Coruña),ソブラード・(ア・コルーニャ県)
Mar de Cerdeña,サルデーニャ海
Monasterio de Poblet,ポブレー修道院
Vicálvaro,ビカルバロ
Guecho,ゲチョ
Puente Genil,プエンテ・ヘニル
Estadio Municipal Reino de León,エスタディオ・レイノ・デ・レオン
Universiada de 1999,1999年夏季ユニバーシアード
Vélez-Málaga,ベレス＝マラガ
Torremolinos,トレモリーノス
Fuengirola,フエンヒローラ
Mijas,ミハス
Estadio Alfredo Di Stéfano,エスタディオ・アルフレッド・ディ・ステファノ
Urkulu (monte),ウルクル
Santo Domingo de la Calzada,サント・ドミンゴ・デ・ラ・カルサーダ
Algeciras Club de Fútbol,アルヘシラスCF
Barrio Gótico de Barcelona,ゴシック・(バルセロナ)
Catedral de la Santa Cruz y Santa Eulalia (Barcelona),サンタ・エウラリア大聖堂
Selección de fútbol de Cataluña,サッカーカタルーニャ代表
Ares (La Coruña),アーレス・(スペイン)
Mar de Alborán,アルボラン海
Irún,イルン
Reino de Aragón,アラゴン王国
Andrach,アンドラッチ
Estepona,エステポナ
Copa de la Liga de España,コパ・デ・ラ・リーガ
Alburquerque,アルブルケルケ
Vueling Airlines,ブエリング航空
Estella,エステーリャ
Denia,デニア
Estadio de La Romareda,エスタディオ・デ・ラ・ロマレーダ
Trofeo Joan Gamper,ジョアン・ガンペール杯
Matrimonio entre personas del mismo sexo en España,スペインの同性婚
Sistema Ibérico,イベリコ山系
Agencia Europea de Control de la Pesca,欧州漁業管理機関
Mar Balear,バレアレス海
La Palma,ラ・パルマ島
Santillana del Mar,サンティリャーナ・デル・マル
Langreo,ラングレオ
El Ejido,エル・エヒド
Torrelavega,トレラベーガ
Alcoy,アルコイ
Arrecife (España),アレシフェ
Legión Española,スペイン外人部隊
Alp 2500,Alp・2500
Río Genil,ヘニル川
Real Academia de la Lengua Vasca,エウスカルツァインディア
Estadio de Mestalla,エスタディオ・デ・メスタージャ
El Puerto de Santa María,エル・プエルト・デ・サンタ・マリア
Aranda de Duero,アランダ・デ・ドゥエロ
Alcalá de Guadaíra,アルカラ・デ・グアダイラ
Éibar,エイバル
Calatayud,カラタユー
Oñate,オニャティ
Comarca de Tierra de Caldelas,コマルカ・ダ・テーラ・デ・カルデーラス
Junta Suprema Central,最高中央評議会
Guadalete,グアダレーテ川
Pico Almanzor,アルマンソール峰
Cabo Trafalgar,トラファルガー岬
Monasterio de San Miguel de Escalada,サン・ミゲル・デ・エスカラーダ修道院
Tolosa (Guipúzcoa),トロサ・(スペイン)
Real Alcázar de Sevilla,アルカサル・(セビリア)
CETME FR-7 / FR-8 CETMETON,セトメトン
Roquetas de Mar,ロケタス・デ・マル
Padrón (La Coruña),パドロン
Incio,オ・インシオ
Valladolid Rugby Asociación Club,バリャドリッドRAC
Real Club Deportivo Espanyol (femenino),RCDエスパニョール・フェメニ
Las Rozas de Madrid,ラス・ロサス・デ・マドリード
Spanair,スパンエアー
Río Urola,ウロラ川
Codex Calixtinus,カリクストゥス写本
Bultaco,ブルタコ
Atalayasa,サ・タラヤ
Catedral de Santiago de Compostela,サンティアゴ・デ・コンポステーラ大聖堂
Taifa de Granada,ズィーリー朝・(スペイン)
Real Monasterio de la Encarnación (Madrid),ラ・エンカルナシオン王立修道院
Lepe,レペ
Castro-Urdiales,カストロ・ウルディアレス
Anexo:Gran Premio de España de 1954,1954年スペイングランプリ
Estadio Vicente Calderón,エスタディオ・ビセンテ・カルデロン
Real Federación Española de Fútbol,スペインサッカー連盟
Barbastro,バルバストロ
Villena,ビリェーナ
Anexo:Balonmano en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのハンドボール競技
Geografía de España,スペインの地理
Primera División de España 2011-12,リーガ・エスパニョーラ2011-2012
Anexo:Gran Premio de España de 1987,1987年スペイングランプリ
Cuatro Torres Business Area,クアトロ・トーレス・ビジネス・エリア
Llanes,リャネス
Anexo:Gran Premio de España de 1988,1988年スペイングランプリ
Anexo:Gran Premio de España de 1990,1990年スペイングランプリ
La Carolina,ラ・カロリナ
Río Segura,セグラ川
Georgianos,グルジア人
Pico Aneto,アネト山
Morisco,モリスコ
Casa Milà,カサ・ミラ
Cordillera Cantábrica,カンタブリア山脈
Lucena,ルセーナ
Anexo:Gran Premio de España de 1991,1991年スペイングランプリ
Anexo:Gran Premio de España de 1992,1992年スペイングランプリ
Primera División de España 2010-11,リーガ・エスパニョーラ2010-2011
Primera División de España 2009-10,リーガ・エスパニョーラ2009-2010
Las meninas,ラス・メニーナス
Río Mijares,ミリャルス川
Río Turia,トゥリア川
Río Zadorra,サドーラ川
Hospital de la Santa Cruz y San Pablo,サン・パウ病院
Mulhacén,ムラセン山
Batasuna,バタスナ
Campeonato Europeo de Atletismo de 2010,2010年ヨーロッパ陸上競技選手権大会
Sanlúcar de Barrameda,サンルーカル・デ・バラメーダ
Río Arga,アルガ川
Río Aragón,アラゴン川・(エブロ川水系)
Palacio Episcopal de Astorga,アストルガ司教館
Selección de baloncesto de España,バスケットボールスペイン代表
Motril,モトリル
Anexo:Gran Premio de España de 1993,1993年スペイングランプリ
Gran Premio de Europa de Motociclismo,ヨーロッパグランプリ・(ロードレース)
Anexo:Gran Premio de España de 1999,1999年スペイングランプリ
Anexo:Gran Premio de España de 1994,1994年スペイングランプリ
Anexo:Gran Premio de España de 1995,1995年スペイングランプリ
Central nuclear de Vandellós,バンデリョス原子力発電所
Serie 104 de Renfe,レンフェ104系電車
Aeropuerto de Menorca,メノルカ空港
Oveja merina,メリノ種
Arzúa,アルスーア
Aeropuerto de Melilla,メリリャ空港
Anexo:Gran Premio de España de 1996,1996年スペイングランプリ
Anexo:Gran Premio de España de 1998,1998年スペイングランプリ
Estadio de Riazor,エスタディオ・デ・リアソール
ISO 3166-2:ES,ISO・3166-2:ES
Río Jalón,ハロン川
Paterna,パテルナ
Cetrería,鷹狩
Medina Azahara,ザフラー宮殿
Teatro Real (Madrid),テアトロ・レアル
Anexo:Gran Premio de España de 2001,2001年スペイングランプリ
Anexo:Gran Premio de España de 2003,2003年スペイングランプリ
Anexo:Gran Premio de España de 2002,2002年スペイングランプリ
Anexo:Gran Premio de España de 2005,2005年スペイングランプリ
Anexo:Gran Premio de España de 2007,2007年スペイングランプリ
Anexo:Gran Premio de España de 2006,2006年スペイングランプリ
Alcázar de los Reyes Cristianos,キリスト教徒の王たちのアルカサル
Premios Goya,ゴヤ賞
Pelota vasca,バスク・ペロタ
Licor 43,リコール43
Comarca de Tierra de Lemos,コマルカ・ダ・テーラ・デ・レモス
Atentados del 11 de marzo de 2004,マドリード列車爆破テロ事件
Parque Güell,グエル公園
La Cabrera (Madrid),ラ・カブレーラ
Estación de Madrid-Chamartín-Clara Campoamor,チャマルティン駅
Anexo:Gran Premio de España de 2011,2011年スペイングランプリ
Estación de Atocha,アトーチャ駅
Río Gállego,ガリェゴ川
Río Cinca,シンカ川
Río Segre,セグラ川・(エブロ川水系)
Costa del Sol,コスタ・デル・ソル
Monte Perdido,モン・ペルデュ
Golpe de Estado en España de 1981,23-F
Puertollano,プエルトリャノ
La 2,La・2
Orden de Alcántara,アルカンタラ騎士団
Estadio Nuevo Colombino,エスタディオ・ヌエボ・コロンビーノ
Comarca de Allariz-Maceda,コマルカ・デ・アジャリス＝マセーダ
Tour de Francia 1966,ツール・ド・フランス1966
Universidad Ramon Llull,ラモン・リュイ大学
Universidad Miguel Hernández,エルチェ・ミゲル・エルナンデス大学
Bien de interés cultural (España),重要文化財・(スペイン)
Estación Espacial Internacional,国際宇宙ステーション
Batalla de las Navas de Tolosa,ナバス・デ・トロサの戦い
Zoológico de Barcelona,バルセロナ動物園
Anexo:Gran Premio de Europa de 1994,1994年ヨーロッパグランプリ
Anexo:Gran Premio de Europa de 2011,2011年ヨーロッパグランプリ
Río Lea (Vizcaya),レア川
La Vanguardia,ラ・バングアルディア
Gran Premio de Europa de 1997,1997年ヨーロッパグランプリ
San Sebastián de La Gomera,サン・セバスティアン・デ・ラ・ゴメラ
Volta a Cataluña 2006,カタルーニャ一周2006
Aeropuerto de Palma de Mallorca,パルマ・デ・マヨルカ空港
Copa Intercontinental 2000,インターコンチネンタルカップ・(サッカー)2000
Sopelana,ソペラ
Pabellones Güell,グエル別邸
Palamós Club de Futbol,パラモスCF
Entrena,エントレナ
Costa Brava,コスタ・ブラバ
Tour de Francia 2009,ツール・ド・フランス2009
Club Deportivo Tenerife,CDテネリフェ
Universidad Complutense de Madrid,マドリード・コンプルテンセ大学
Metrovalencia,メトロバレンシア
Universidad de Barcelona,バルセロナ大学
Cortes Generales,国会・(スペイン)
Ondárroa,オンダロア
Vuelta al País Vasco 2007,バスク一周2007
Fuencarral-El Pardo,フエンカラル＝エル・パルド
Queso San Simón da Costa,サン・シモン・ダ・コスタ
Tour de Francia 2005,ツール・ド・フランス2005
Cabañas Raras,カバーニャス・ラーラス
Guerra de Devolución,ネーデルラント継承戦争
Universidad Politécnica de Madrid,マドリード工科大学
La Antigua (León),ラ・アンティグア
Ardón (León),アルドン
Desastre aéreo de Tenerife,テネリフェ空港ジャンボ機衝突事故
Comarca del Eume,コマルカ・ド・エウメ
España en el Festival de la Canción de Eurovisión Junior,スペインのジュニア・ユーロビジョン・ソング・コンテスト
Elecciones al Parlamento Europeo de 1999 (España),1999年欧州議会議員選挙・(スペイン)
Los Barrios de Luna,ロス・バリオス・デ・ルナ
Tratado de los Pirineos,ピレネー条約
Primera División de España 1930-31,リーガ・エスパニョーラ1930-1931
Deportivo Alavés,デポルティーボ・アラベス
Primera División de España 1997-98,リーガ・エスパニョーラ1997-1998
Tarifa,タリファ
Torrevieja,トレビエハ
Mugía,ムシーア
Línea de alta velocidad Madrid-Segovia-Valladolid,マドリード-バリャドリッド高速線
Malpica de Bergantiños,マルピカ・デ・ベルガンティーニョス
Cózar,コサル
Club Deportivo Logroñés,CDログロニェス
Parque natural del Peñón de Ifach,ペニャル・ディファク自然公園
Pincho moruno,ピンチョ・モルノ
Villacañas,ビジャカニャス
Gran Premio de la Comunidad Valenciana de 2010,2010年のバレンシアグランプリ
Ciudad de las Artes y las Ciencias,芸術科学都市
Berlanga del Bierzo,ベルランガ・デル・ビエルソ
Bandera de Canarias,カナリア諸島の旗
Tour de Francia 1992,ツール・ド・フランス1992
Primera División de España 1943-44,リーガ・エスパニョーラ1943-1944
