Россия,러시아
День Победы,승리의 날 (5월 9일)
Курортный район (Санкт-Петербург),쿠로르트니구
Абзелиловский район,압젤릴롭스키군
Ачхой-Мартановский район,아치호이마르타놉스키군
Амурская плита,아무르판
Амурский залив,아무르만
Аргунь,아르군강
Верхоянск,베르호얀스크
Нягань,냐간
Нюрба,뉴르바
Няндома,냔도마
Внуково (аэропорт),브누코보 국제공항
Даргинцы,다르기인
Амкар,FC 암카르 페름
Узбеки,우즈베크인
Азиатская хоккейная лига,아시아리그 아이스하키
Восточная Азия,동아시아
Северо-Восточная Азия,동북아시아
Северная Азия,북아시아
Весьегонск,베시예곤스크
Великая Финляндия,대핀란드
Японское море,동해
Верхняя Пышма,베르흐냐야피시마
"Локомотив (хоккейный клуб, Ярославль)",로코모티프 야로슬라블
"Крылья Советов (футбольный клуб, Самара)",PFC 크릴리야 소베토프 사마라
Видное,비드노예
Вилюйск,빌류이스크
Облучье,오블루치예
Шоша,쇼샤강
Обнинск,오브닌스크
Южный федеральный округ,남부 연방관구
Абазинский язык,아바자어
Вилючинск,빌류친스크
Вихоревка,비호레프카
Одинцово,오딘초보
Ожерелье (микрорайон),오제렐리예
Озёрск (Калининградская область),오조르스크 (칼리닌그라드주)
Озёрск (Челябинская область),오조르스크 (첼랴빈스크주)
Олёкминск,올료크민스크
Окуловка,오쿨롭카
"ЦСКА (футбольный клуб, Москва)",PFC CSKA 모스크바
Путорана,푸토라나고원
Петровский (стадион),페트롭스키 스타디움
Санкт-Петербургский государственный университет,국립 상트페테르부르크 대학교
Айнский язык,아이누어
Вичуга,비추가
Адыгейский язык,아디게어
Волгодонск,볼고돈스크
Болгары,불가리아인
Омутнинск,오무트닌스크
Северный полярный круг,북극권
Онега (город),오네가
Орехово-Зуево,오레호보주예보
Горно-алтайские языки,알타이어
Алюторский язык,알루토르어
Волжск,볼시스크
Московский Кремль,모스크바 크렘린
Волгореченск,볼고레첸스크
Осташков,오스타시코프
Островной,오스트로브노이
Остров (город),오스트로프 (도시)
Адлер,아들레르
Оха,오하 (러시아)
Острогожск,오스트로고시스크
Вольск,볼스크
Горьковский автомобильный завод,GAZ
Карабаново,카라바노보
Воркута,보르쿠타
Камчатка (река),캄차카강
Полянка (станция метро),폴랸카역
Кубань (футбольный клуб),FC 쿠반 크라스노다르
Павловск (Санкт-Петербург),파블롭스크 (상트페테르부르크)
Павловск (Воронежская область),파블롭스크 (보로네시주)
Павлово,파블로보 (니즈니노브고로드주)
M-1 Global,M-1 글로벌
"Зенит (футбольный клуб, Санкт-Петербург)",FC 제니트 상트페테르부르크
Санкт-Петербургская соборная мечеть,상트페테르부르크 모스크
Федеральные округа Российской Федерации,러시아의 연방관구
