Stefano Cerioni,斯特凡诺·切廖尼
Rino Pucci,里诺·普奇
Nicola di Grecia,尼古拉斯
Manuel Iturra,曼努埃尔·伊图拉
Sara Gama,萨拉·伽马
Éder,埃德爾·奇塔丁·馬丁斯
Andrea Zanzotto,安德里亚·赞佐托
Giuseppe Versaldi,朱塞佩·威尔萨蒂
Lucio Dalla,盧喬·達拉
Susanna Driano,蘇珊娜·達利安諾
Alberto Zedda,阿尔贝托·采达
Gianmarco Zigoni,詹馬爾科·齊格尼
Daniel Fonseca,丹尼爾·豐塞卡
Giampaolo Morelli,詹保罗·莫雷利
Cesare Salvadori,切萨雷·萨尔瓦多里
Ottavio Cogliati,奥塔维奥·科利亚蒂
Anita Caprioli,安妮塔·卡皮奥尼
Chiara Lubich,卢嘉勒
Diego Romero,迭戈·罗梅罗
Giacomo Fornoni,贾科莫·福尔诺尼
Livio Trapè,利维奥·特拉佩
Elisa Longo Borghini,埃莉萨·隆戈·博尔吉尼
Alessandra Acciai,亚历山德拉·阿西亚
Urbano Lazzaro,烏爾巴諾·拉賽羅
Antonio Di Natale,安東尼奧·迪拿達利
Claudia Giordani,克劳迪娅·焦尔达尼
Giuseppe Occhialini,朱塞佩·奥基亚利尼
Enrico Arrigoni,恩里科·阿里戈尼
Rodolfo Terlizzi,鲁道夫·泰利齐
Cristiano Doni,克里斯蒂亚诺·多尼
Marinella Falca,马里内拉·法尔卡
Fabio Caressa,法比奥·卡雷萨
Daniele Massaro,達尼埃萊·馬薩羅
Massimo Ficcadenti,马西莫·菲卡登蒂
Clara Marangoni,克拉拉·馬蘭戈尼
Lorenzo Bernardi,洛伦佐·贝尔纳迪
Ignazio Silone,伊尼亚齐奥·西洛内
Ray Lovelock,雷·洛夫洛克
Gianni Alemanno,詹尼·阿莱曼诺
Giorgio Gaslini,喬治·蓋斯林尼
Eva Grimaldi,伊娃·格里茂迪
Eddy Serri,埃迪·塞里
Carlo Carrà,卡洛·卡拉
Namkhai Norbu,南開諾布仁波切
Daniele De Rossi,达尼埃莱·德罗西
Domenico Giani,多梅尼科·吉亞尼
Gianpiero Combi,詹皮耶罗·孔比
Valentino Rossi,瓦伦蒂诺·罗西
Francesco Bardi,弗朗西斯科·巴尔迪
Laura Pausini,蘿拉·普西妮
Mark Iuliano,馬克·尤利亞諾
Andreas Pichler,安德烈亚斯·皮希勒
Giovanni Sollima,乔万尼·索利马
Ivan Pelizzoli,伊万·佩利佐利
Antonio Bailetti,安东尼奥·巴伊莱蒂
Edoardo Mangiarotti,爱德华多·曼贾罗蒂
Stefano Boeri,斯蒂法诺·博埃里
Vitantonio Liuzzi,维塔托尼奥·柳齐
Marco Marchionni,馬爾科·馬爾基奧尼
Francesco Moriero,弗朗切斯科·莫列罗
Rosario Scalero,羅薩里奧·斯卡萊羅
Giovanni Carminucci,乔瓦尼·卡尔米努奇
Roberto Cavalli,羅伯特·卡沃利
Ira von Fürstenberg,伊拉·冯·菲斯滕伯格
Carlo Sforza,卡洛·斯福爾扎
Augusto Caminito,奥古斯托·卡米尼托
Santino Spinelli,桑蒂诺·斯皮内利
Gigi Villoresi,路易吉·維洛雷西
Arturo Merzario,阿尔图罗·梅尔扎里奥
Mauro Baldi,毛羅·巴爾迪
Samuele Longo,萨穆埃莱·隆戈
Alcides Ghiggia,阿尔西德斯·吉贾
Giovanni Pasquale,喬瓦尼·帕斯誇爾
Nereo Rocco,内里奥·罗科
Massimiliano Allegri,马西米利亚诺·阿莱格里
Francesco Zagatti,弗朗西斯科·扎加蒂
Gabriele Oriali,加布里埃莱·奥里亚利
Attilio Ferraris,阿蒂利奥·费拉里斯
Tarcisio Burgnich,貝歷治
Igor Markevitch,伊戈尔·鲍里索维奇·马克维奇
Franco Fraticelli,佛朗哥·弗拉蒂切利
Enrico Glori,恩里科·格洛里
Aimone di Savoia-Aosta,托米斯拉夫二世
Giulio Angioni,朱利奥·安焦尼
Andrea Dovizioso,杜維西奧索
Giovanni Battista Caproni,喬瓦尼·巴蒂斯塔·卡普羅尼
Andreas Zingerle,安德烈亚斯·青格勒
Dino Grandi,迪诺·格兰迪
Luigi Freddi,路易吉·弗雷迪
Ignazio Cannavò,伊尼亞齊奧·坎納沃
Gian Franco Reverberi,吉安·弗朗哥·雷贝里
Fernando Cerchio,費爾南多·瑟奇奧
Adele Comandini,阿黛尔·科曼迪尼
Giuliano Gemma,裘林諾·傑馬
Silvio Gazzaniga,西爾維奧·加扎尼加
Riccardo Cucciolla,里卡多·庫喬拉
Emanuele Pirro,埃馬努埃萊·皮洛
Vittorio Brambilla,維托里奧·布蘭比拉
Pierluigi Martini,皮耶路易吉·馬丁尼
Stefano Malinverni,斯特凡诺·马林韦尔尼
Daniele Bracciali,達尼埃萊·布拉奇亞利
Mario David,马里奥·戴维
Francesco Barilli,法蘭西斯柯·巴里利
Elsa Schiaparelli,埃爾薩·斯基亞帕雷利
Mario Carotenuto,马里奥·卡卢特鲁托
Giancarlo Baghetti,詹卡洛·巴盖蒂
Luigi Musso,路易吉·穆索
Emanuele Naspetti,伊曼纽尔·纳斯佩蒂
Loris Campana,洛里斯·坎帕纳
Bernardo Pasquini,伯纳多·帕斯奎尼
Mario Andretti,马里奥·安德烈蒂
Jarno Trulli,雅诺·特鲁利
Franco Causio,弗蘭科·考西奧
Luca Turilli,卢卡·图里利
Claudio Panatta,克劳迪奥·潘纳塔
Maurizio Zaccaro,毛里齐奥·扎卡罗
Romeo Castellucci,罗密欧·卡斯特卢奇
Sergio Pellissier,塞爾吉奧·佩利西耶
Angelo Moratti,安傑洛·莫拉蒂
Ivan Capelli,伊凡·卡佩里
Stefano Modena,斯蒂法諾·摩德納
Franco Rol,佛朗哥·罗尔
Alessandra Karpoff,亚历山德拉·卡尔波夫
Gaspare Spatuzza,史巴度薩
Consalvo Sanesi,康薩沃·薩內西
Arnaldo Pomodoro,阿納爾多·波莫多羅
Mario Brenta,馬力歐·布蘭塔
Alessandro Piperno,亞歷山卓·皮沛諾
George Pan Cosmatos,乔治·P·科斯马图斯
Aldo Moro,阿尔多·莫罗
Romano Scarpa,羅馬諾·史卡帕
Pietro Piller Cottrer,彼得罗·皮莱尔·科特雷尔
Roxana Baldetti,罗萨娜·巴尔德蒂
Maria Teresa de Filippis,玛丽亚·特里萨·德·菲利皮斯
Piero Taruffi,皮耶羅·塔羅夫
Enrico Ruggeri,恩里科·魯杰
Victor de Sabata,维克多·德·萨巴塔
Bruno Conti,布鲁诺·孔蒂
Giulio Base,朱立歐·巴斯
Paolo Marella,保羅·馬雷拉
Michele Lupo,米歇尔·卢波
Lorenzo Perosi,洛伦佐·佩洛西
Pier Ugo Calzolari,皮尔·乌戈·卡尔佐拉里
Giovan Battista Moroni,喬萬·巴提斯塔·莫羅尼
Lella Lombardi,玛利亚·格拉齐亚·劳拉·隆巴蒂
Fiorenzo Angelini,傅倫里·安傑利尼
Gianni Morbidelli,詹尼·莫比德里
Ludovico Scarfiotti,盧多維科·斯卡費奧特
Belén Rodríguez,贝伦·罗德里格斯
Luigi Bartolini,路易吉·巴托里尼
Crescenzio Sepe,克萊申基奧·塞佩
Carlo Campogalliani,卡洛·坎波加利亚尼
Teo Fabi,泰歐·法比
Paolo Barilla,保羅·巴里拉
Gianni Agnelli,詹尼·阿涅利
Corrado Fabi,科拉多·法比
Patty Pravo,派蒂·帕佛
Eugenio Castellotti,欧亨尼奥·卡斯特罗蒂
Martina Stella,玛蒂娜·斯黛拉
Danny Huston,丹尼·哈森
Lucien Bianchi,呂西安·比安奇
Felice Bonetto,費利切·博內托
Giuseppe Sculli,朱塞佩·斯庫利
Fausto Cercignani,福斯托·切尔奇恩亚尼
Clemente Biondetti,克莱门特·比翁代蒂
Roberto Bussinello,罗伯托·布西内洛
Enzo Dara,恩佐·達拉
Roberto Tucci,羅貝托·圖齊
Domenico Starnone,多梅尼科·斯塔诺内
Stefania Prestigiacomo,斯特凡尼娅·普雷斯蒂贾科莫
Camilla Ravera,卡米拉‧拉維拉
Simone Rosalba,西莫内·罗萨尔巴
Carla Fracci,卡拉·弗拉奇
Raphael Gualazzi,拉斐爾·瓜拉齊
Stelvio Massi,史特爾維歐·馬西
Nevio Scala,史加拿
Laura Biagiotti,勞拉·比亞戈蒂
Cesare Perdisa,卡萨雷·佩尔蒂萨
Giacomo Manzù,曼祖
Jovanotti,乔瓦诺蒂
Alessandro Pier Guidi,亚历山德罗·皮耶尔圭迪
Goffredo Petrassi,高夫雷多·佩特拉西
Pompeo Batoni,龐培奧·巴托尼
Nanni Balestrini,楠尼·贝莱斯蒂尼
Francesco Graziani,嘉斯安尼
Matteo Brighi,馬特奧·布里吉
Lilli Gruber,莉莉·格鲁伯
Pierdavide Carone,皮尔丹维德·卡罗内
Massimo Natili,馬西莫·納蒂利
Camillo Ruini,加彌祿·魯伊尼
Dorino Serafini,多里诺·塞拉菲尼
Marco Apicella,马克·阿皮瑟拉
Nicola Larini,尼科拉-拉里尼
Alex Caffi,亞歷克斯·加菲
Giancarlo Fisichella,詹卡洛·费斯切拉
Andrew Viterbi,安德鲁·维特比
Francesco Calogero,弗朗切斯科·卡洛蓋羅
Luca Badoer,卢卡·巴多尔
Riccardo Patrese,里卡多·帕特雷斯
Silvia Di Pietro,西尔维娅·迪·皮耶特罗
Dalila Di Lazzaro,達利拉·迪·拉扎羅
Lorenzo Branchetti,洛伦佐·布兰切蒂
Milo Manara,米羅·馬那哈
Annunzio Paolo Mantovani,阿农齐奥·保罗·曼托瓦尼
Debora Caprioglio,黛伯拉·卡普瑞里奥
Piero Gherardi,皮耶罗·杰拉尔迪
Davide Fontolan,大卫·冯托兰
Domenico Di Carlo,多明尼高·迪·卡路
Piero Tosi,皮耶羅·托西
Paolo Orlandoni,保罗·奥兰多尼
Piercarlo Ghinzani,皮爾卡洛·金扎尼
Mario Trevi,馬里奧·特雷維
Jádson,謝臣
Nicolás Pareja,尼古拉斯·柏利夏
Aldo Costa,阿爾多·科斯塔
Nello Pagani,内洛·帕加尼
Miguel Bosé,馬吉爾‧勃斯
Lorenzo Bandini,洛倫佐·班蒂尼
Antonello Fassari,安东内洛·法赛里
Salvator Rosa,薩爾瓦托雷·羅莎
Maurice Taylor,莫里斯·泰勒
Stefano Domenicali,斯蒂法诺·多梅尼卡利
Chiara Cainero,基娅拉·卡伊内罗
Andrea Montermini,安德烈·蒙特米尼
Michele Alboreto,米歇爾·阿爾博瑞托
Ciro Verratti,奇罗·韦拉蒂
Anna Falchi,安娜·法尔奇
Elsa Martinelli,埃爾莎·馬丁內利
Claudio Castellini,克劳迪奥·卡斯特里尼
Dario Marianelli,達利歐·馬里安利
Otello Martelli,奧特洛·馬泰利
Ugo Frigerio,乌戈·弗里杰里奥
Gian Matteo Ranzi,吉安·马泰奥·兰齐
Elio De Angelis,埃里奧·德·安吉尼斯
Andrea De Cesaris,安德烈·德·塞薩里斯
Francesca Melandri,弗朗西斯卡·梅兰德里
Mauro Formica,毛罗·福米卡
Silvia Federici,西尔维亚·费德里奇
Hansjörg Raffl,汉斯约尔格·拉夫尔
Andrea de Adamich,安德里亞·德·阿達米奇
Giovanni Sartori,乔万尼·萨托利
Fabrizio Costa,法布里奇奥·科斯塔
Gianmaria Bruni,詹马里亚·布鲁尼
Mariastella Gelmini,玛丽亚斯特拉·盖米尼
Gianfrancesco Lazotti,詹弗朗切斯科·拉佐蒂
Pino Caruso,皮诺·卡鲁索
Charles Ponzi,查尔斯·庞茲
Naike Rivelli,奈克·里维利
Massimo Ranieri,馬西莫·拉涅利
Luca Zaia,盧卡·扎亞
Giuseppe Baresi,朱塞佩·巴雷西
Antonia Truppo,安东尼娅·特波
Antonietta De Lillo,安东尼塔·德利洛
Rinaldo Nocentini,里纳尔多·诺森蒂尼
Mattia Preti,馬蒂亞·普雷提
Antonello Cuccureddu,安东内洛·库库雷杜
Antonello Riva,安东内洛·里瓦
Benedetta Barzini,贝妮代塔·巴尔齐尼
Lorenzo Balducci,洛伦佐·巴尔杜齐
Giuliano Ferrara,朱利亞諾·費拉拉
Daniele Galloppa,達尼埃萊·加洛帕
Vjačeslav Ivanovič Ivanov,維亞切斯拉夫·伊万諾維奇·伊万諾夫
Gazebo,保罗·马佐利尼
Valerio Massimo Manfredi,瓦莱里奥·马西莫·曼弗雷迪
Cesare Siepi,切萨雷·西皮
Flavio Briatore,弗拉维奥·布里亚托利
Alex Zanardi,亞歷士·辛尼迪
Tito Gobbi,蒂托·戈比
Alessandro Nannini,亞歷山德羅·南尼尼
Bruno Giacomelli,布魯諾·賈科梅
Alberto Massimino,阿尔伯托·马西米诺
Aurelio Lampredi,奥雷利奥·兰普雷迪
Mauro Bellugi,毛罗·贝卢吉
Giuliana De Sio,朱莉娅娜·德·西约
Luigi Tenco,路易吉·滕科
Gabry Ponte,加布里·庞特
Geki,詹姆斯·魯索
Nanni Galli,纳尼·加里
Gioacchino Colombo,乔克诺·克罗布
Rocco Benetton,洛高·貝納通
Antonino Votto,安托尼诺·沃托
Rosy Bindi,羅西·賓迪
Cesare Zavattini,賽薩·薩瓦提尼
Mauro Forghieri,毛羅·福爾杰利
Roberto Soriano,羅伯托·索里亞諾
Nichi Vendola,尼基·文托拉
Giuseppe Paris,朱塞佩·帕里斯
Antonio Albanese,安东尼奥·阿尔巴内斯
Antonino Rocca,安東尼奧·羅卡
Nino Baragli,尼諾·巴拉利
Tullio Kezich,图利奥·凯齐赫
Tosca D'Aquino,铎丝卡·达圭洛
Salvatore Aronica,薩爾瓦托雷·阿羅尼卡
Antonino Raspanti,安多尼·拉斯潘蒂
Elio Vittorini,埃利奧·維托里尼
Salvatore Baccaro,萨尔瓦托雷·巴卡罗
Riccardo Paletti,里卡多·帕雷蒂
Max Papis,馬克斯·帕皮斯
Marina Berlusconi,玛丽娜·贝卢斯科尼
Gabriele Tarquini,加布里埃勒·塔奎尼
Giorgio Chinaglia,基拿利亞
Vittorio Storaro,维托里奥·斯托拉罗
Claudia Gerini,克劳迪亚·杰里尼
Mauro Esposito,毛羅·埃斯波西托
Alessandro Lambruschini,亚历山德罗·兰布鲁斯基尼
Alfredo Foni,阿尔弗雷多·冯尼
Eugenio Barba,欧金尼奥·巴尔巴
Gerry Scotti,格里·史考蒂
Roberto Regazzi,羅柏托·雷戈奇
Nino Vaccarella,尼诺·瓦卡雷拉
Gian Carlo Minardi,詹卡洛·米纳尔迪
Gianfranco Comotti,佛朗哥·科莫蒂
Max Biaggi,馬克思·比亞吉
Franco Maria Malfatti,佛朗哥·玛利亚·马尔法蒂
Paolo Giordano,保羅·裘唐諾
Carlo Ancelotti,卡洛·安切洛蒂
Tazio Nuvolari,塔吉奥·诺瓦拉里
Antonio Siddi,安东尼奥·西迪
Giacomo Dalla Torre del Tempio di Sanguinetto,賈科莫·達拉·托雷
Antonio Angelillo,安東尼奧·瓦倫丁·安傑利洛
Dionigi Tettamanzi,迪奧尼吉·泰塔曼齊
Daniele Bennati,丹尼尔·本纳蒂
Joe Manganiello,乔·曼加尼洛
Mariacarla Boscono,瑪莉亞卡拉·波高諾
Antonio Bido,安東尼奧·比多
Aurelio Milani,奥雷利奥·米拉尼
Lorenza Mazzetti,蘿蘭莎·馬澤蒂
Marino Girolami,马里诺·吉罗拉米
Sergio Ferrara,塞尔焦·费拉拉
Piero Ceccarini,皮耶罗·切卡里尼
Angelo Iachino,安杰洛·亚基诺
Linton Johnson,林顿·约翰逊三世
Sani Bečirovič,塞尼·貝奇洛維奇
Guglielmo Stendardo,古列爾莫·斯滕達爾多
Sergio Endrigo,塞爾吉奧·恩德里戈
Paoletta Magoni,保莱塔·马戈尼
Michele Paolucci,米凯莱·保卢奇
Carla Gravina,卡拉·歌拉薇娜
Arduino Maiuri,迪諾·馬尤里
Gianni Agus,吉亚尼·阿古斯
Adolfo Celi,阿道夫·切利
Adolfo Consolini,阿道夫·康索利尼
Antonio Floro Flores,安東尼奧·科路·科利斯
Alessandro Gentile,亞歷山德羅·根蒂爾
Marino Defendi,马里诺·德芬迪
Enzo Menegotti,恩佐·梅内戈蒂
Adolfo Baloncieri,阿多佛·巴隆切里
Danilo Bertazzi,达尼洛·贝尔塔齐
Francesco Saverio Nitti,弗朗西斯科
Paolo Rossi,保罗·罗西
Salvatore Borgese,索尔·博尔热斯
Antonio Bonifacio,安東尼奥·博尼法喬
Lucio Battisti,卢乔·巴蒂斯蒂
Giuseppe Rinaldi,朱塞佩·里纳尔迪
Guido Stampacchia,圭多·史坦穆奇亞
Luciana Arrighi,露西安娜·阿瑞吉
Wilma Labate,威尔马·拉巴特
Lyda Borelli,利達·波列里
Valeria Solarino,瓦莱丽亚·索拉里诺
Johnny Torrio,強尼·托里奧
Mario Gariazzo,马里奥·格里亚绰
Alice Rohrwacher,爱丽丝·洛瓦赫
Saverio di Borbone-Parma,哈維爾王子
Sandro Puppo,桑德罗·布波
Ferruccio Parri,费卢西奥·帕里
Paolo Conte,保罗·孔蒂
Dante Spinotti,丹提·史賓諾提
Adolfo Lastretti,阿道夫·拉斯特雷蒂
Fabiano Caruana,法比亚诺·卡鲁阿纳
Antonio Carluccio,安東尼·卡魯齊奧
Angelo Anquilletti,安吉洛·安奎莱蒂
Ezequiel Schelotto,埃兹奎尔·谢洛托
Umberto Tozzi,翁貝托·托茲
Artur Moraes,摩亞利斯
Paul G. Comba,保罗·G·康宝
Davide Valsecchi,戴維·瓦爾塞基
Furio Scarpelli,富里奧·斯卡佩利
Franca Sozzani,弗兰卡·索萨尼
Gisella Marengo,吉塞拉·马伦戈
Massimo Campigli,马西莫坎皮格利
Claudio Marchisio,克劳迪奥·马尔基西奥
Matteo Maria Zuppi,瑪竇·祖皮
Moira Orfei,莫伊拉·奧爾費伊
Ricky Tognazzi,里基·托尼亚齐
Mario Scelba,马里奥·谢尔巴
Dino Zoff,迪诺·佐夫
Antonio Cassano,安东尼奥·卡萨诺
Paolo Benvenuti,保羅·本威努迪
Manuel Pasqual,曼努埃爾·帕斯夸爾
Alberto Cova,阿尔贝托·科瓦
Renato Izzo,雷纳托·伊佐
Gino Paoli,吉诺·保利
Virginio Rosetta,维尔吉尼奥·罗塞塔
Francesco Giovanni Brugnaro,方濟各·若望·布魯尼亞羅
Alberto Gilardino,阿尔贝托·吉拉迪诺
Daniela Santanchè,丹妮拉·桑坦切
Antonio Buoncristiani,安多尼·布翁克里斯蒂亞尼
Eugenio Corini,烏真里奧·哥連尼
Maurizio Iorio,毛里齐奥·约里奥
Antonio Brivio,安东尼奥·布里维奥
Davide Lanzafame,達維德·蘭扎法梅
Gian Piero Gasperini,吉安·皮耶罗·加斯佩里尼
Francesco Moser,弗朗西斯科·莫斯
Fulvio Collovati,哥羅華迪
Paola Tedesco,保拉·泰代斯科
Nunzio Galantino,農西奧·加蘭蒂諾
Annabella Incontrera,安娜贝拉·因孔特雷拉
Mattia Sbragia,马蒂亚·斯布拉吉亚
Elena Ferrante,埃琳娜·費蘭特
Alberto Nosè,阿尔贝托·诺塞
Antonio Catricalà,安東尼奧·卡特里卡
Rino Corso Fougier,里諾·福吉爾
Cesare Bovo,塞薩爾·波沃
Charles Atlas,查尔斯·阿特拉斯
Vincenzo Sospiri,温琴佐·索斯皮里
Luigi Allemandi,路易吉·阿莱曼迪
Adone Zoli,阿多内·佐利
Giorgio De Santillana,乔治·德·桑蒂拉纳
Franco Trincavelli,佛朗哥·特林卡韦利
Nicla Vassallo,尼克拉·瓦萨洛
Mirko Bortolotti,米爾科·博托洛蒂
Paolo Villaggio,保罗·维纳觉
Gianfranco Ferré,奇安弗蘭科·費雷
Antonio Fazio,安东尼奥·法齐奥
Piero Manzoni,曼佐尼
Giancarlo Badessi,吉安卡洛·巴德西
Giacomo Balla,巴拉
Enzo Ferrari,恩佐·安塞尔莫·朱塞佩·玛丽亚·法拉利
Pericle Fazzini,珀瑞克萊·法齊尼
Marco Materazzi,马尔科·马特拉齐
Flavio Cipolla,弗拉維奧·奇波拉
Daniele Orsato,达尼埃莱·奥尔萨托
Leopoldo Trieste,里奧普爾多·特里斯特
Gabriella Cristiani,加布里埃·克里斯蒂亚尼
Giulio Saraudi,朱利奥·萨劳迪
Riccardo Cocciante,里卡多·柯强特
Alfredo Ottaviani,阿爾弗雷多·奧塔維婭尼
Bernardo Corradi,贝纳多·科拉迪
Francesco Tavano,弗朗切斯科·塔瓦诺
Antonio Di Gennaro,安东尼奥·迪热纳罗
Antonio Domenici,安东尼奥·多梅尼西
Igort,伊果特
Bruno Sammartino,布魯諾·山瑪提諾
Jannis Kounellis,雅尼斯·库奈里斯
Antonio Stradivari,安东尼奥·斯特拉迪瓦里
Antonio Juliano,安东尼奥·朱利亚诺
Fabio Capello,法比奥·卡佩罗
Antonio Giolitti,安东尼奥·乔利蒂
Cristina Serafini,克里斯蒂娜·塞拉菲尼
Raffaella De Laurentiis,賴斐拉·狄·羅倫提斯
Amleto Giovanni Cicognani,阿姆萊托·若望·奇科年伊
Daniela Giordano,丹妮拉·吉奥丹诺
Agostino Casaroli,阿戈斯蒂諾·卡薩羅利
Carlo Rubbia,卡洛·鲁比亚
Antonio Janigro,安东尼奥·雅尼格洛
Luca Toni,卢卡·托尼
Monica Guerritore,莫妮卡·格瑞托
Carlo Pedretti,卡洛·佩德雷蒂
Riccardo Giacconi,里卡尔多·贾科尼
Antonio Riboldi,安東尼奧·里博爾迪
Nicola Caricola,尼古拉·卡里克拉
Elena Cecchini,埃莱娜·切基尼
Edith Gufler,埃迪特·古夫勒
Vittorio Emanuele di Savoia,维托里奥·埃曼努埃莱·迪·萨伏伊
Fausto Pari,法乌斯托·帕里
Gianluca Zambrotta,詹卢卡·赞布罗塔
Moreno Moser,莫雷诺·莫泽
Massimo Ambrosini,马西莫·安布罗西尼
Rita Levi-Montalcini,丽塔·列维-蒙塔尔奇尼
Ivano Bordon,伊瓦诺·博尔东
Antonio Leonviola,安东尼奥·莱昂维奥拉
Christian Vieri,克里斯蒂安·维耶里
Rinaldo Veri,里納爾多·韋里
Alba Arnova,阿尔巴·阿尔诺瓦
Giovanna Gagliardo,喬凡娜·加利亞爾多
Sergio Parisse,塞吉奧·帕里塞
Antonio Lucibello,路西貝
Gabriele Lavia,蓋布瑞爾·拉維亞
Giovanni Lombardo Radice,喬瓦尼·倫巴多·拉迪切
Guglielmo Pesenti,古列尔莫·佩森蒂
Luis César Amadori,路易斯·塞薩爾·阿馬道里
Giuseppe Siri,朱塞佩·斯利
Antonio Falduto,安东尼奥·法尔杜托
Francesca Schiavone,弗蘭切斯卡·斯基亞沃內
Antonio Conte (schermidore),安东尼奥·孔特
Andrea Lucchetta,安德烈亚·卢凯塔
Primo Zeglio,普里莫·泽利奥
Carlo Caffarra,卡洛·卡法拉
Giancarlo Ferrari,贾恩卡洛·费拉里
Gianluigi Galli,吉吉·加里
Antonio Maria Magro,安东尼奥·玛丽亚·马格罗
Vittorio Marzotto,维托里奥·马尔佐托
Ante Ciliga,安特‧西里加
Reinhold Messner,萊茵霍爾德·梅斯納爾
Antonella Cannarozzi,安托内拉·坎纳罗兹
Edoardo Mortara,爱德华多·莫尔塔拉
Lorella De Luca,洛雷拉·德·卢卡
Antonio Rosati,安东尼奥·罗萨蒂
Mauro Camoranesi,毛罗·卡莫拉内西
Attilio Pavesi,阿迪里奥·帕维西
Clarissa Burt,克拉里莎·伯特
Carlton Myers,卡尔顿·迈尔斯
Riccardo Chailly,里卡多·夏伊
Alberto Aquilani,阿尔贝托·阿奎拉尼
Vincenzo Iaquinta,温琴佐·亚昆塔
Alfonso di Borbone Dampierre,阿方索
Toni Servillo,托尼·瑟維洛
Giuseppe Meazza,朱塞佩·梅阿查
Antonio Martino,安東尼奧·馬蒂諾
Antonio Maspes,安东尼奥·马斯佩斯
Franco Baresi,弗兰科·巴雷西
Ana Chumachenco,安娜·丘马琴科
Ferruccio Novo,费鲁乔·诺沃
Walter Mazzarri,沃尔特·马扎里
Bruno Nicolai,布魯諾·尼可萊
Ninetto Davoli,尼内托·达沃利
Vince Tempera,文斯·坦培拉
Pietro Ferrero,小彼得羅·費列羅
Renzo Piano,伦佐·皮亚诺
Rosario Saro Vella,羅薩廖·薩羅·韋拉
Peter Del Monte,彼得·德尔·蒙特
Delio Rossi,德里奥·罗西
Marisa Solinas,瑪莉莎·索利納斯
Michele Frangilli,米凯莱·弗兰吉利
Antonio Marcegaglia,安东尼奥·玛切嘉利
Antonio Margheriti,安东尼奥·马格赫特
Giorgio Bellettini,乔治·贝莱蒂尼
Enrico Preziosi,恩里科·普雷齊奧西
Benedetto Croce,贝内德托·克罗齐
Amy Adams,艾美·亞當斯
Moreno Torricelli,莫雷诺·托里切利
Pierluigi Collina,皮耶路易吉·科利纳
Andrea Cagnetti,Akelo
Piero Sraffa,皮耶羅·斯拉法
Pierino Prati,皮耶里诺·普拉蒂
Roberto Baronio,羅伯托·巴羅尼奧
Antonio Mirante,安東尼奧·米蘭特
Michele Parrinello,米歇尔·帕里内洛
Luca Bucci,卢卡·布奇
Paolo Bertolucci,保罗·贝托鲁齐
Cesare Bocci,切萨雷·波西
Giovanni Lattuada,乔瓦尼·拉图阿达
Emanuele Giaccherini,埃马努埃莱·吉亚切里尼
Luciano Pigozzi,卢西亚诺·皮戈兹
Angelo Russo,安盖洛·鲁索
