Hebe Camargo,赫柏·卡马戈
Jacksen Tiago,杰森·蒂亚戈
Ithamara Koorax,伊莎·柯芮
Luiz Martin Carlos Júnior,小路易斯·马丁·卡洛斯
José Aparecido Gonçalves de Almeida,若瑟·阿帕雷西多·貢薩爾韋斯-德-阿爾梅達
Llewellyn Ivor Price,卢埃林·普莱斯
Elisa Volpatto,伊丽莎·沃尔帕托
Lucas Vinicius Gonçalves Silva,卢卡奥·布勒
Luiz Fernando Gomes da Costa,路易斯·費爾南多·戈麥斯·達科斯塔
Luiz Fernando Pereira da Silva,路易斯·费尔南多
Aline Weber,艾琳·韋伯
Lino Facioli,萊諾·法奇歐利
Altino Arantes,阿尔蒂诺·阿兰特斯·马奎斯
Emerson Gomes de Moura,艾默生·戈麦斯·德·莫拉
Emerson Palmieri,埃莫森
Almir Guineto,阿爾米爾·吉尼托
Amanda Nunes,阿曼达·努涅斯
Ananias Elói Castro Monteiro,阿納尼亞斯·埃洛伊·卡斯特羅·蒙泰羅
Marco Aurélio Cunha dos Santos,馬爾科·歐利尼奧
Alisson,艾莉森·欧拉·德·弗雷塔斯·卡斯特
Alfredo Saad Filho,小阿尔弗雷多·萨阿德
João Sales,祖奧·法蘭斯高·迪·沙利斯
Maurides Roque Júnior,毛里德斯
Patricky Freire,帕特里克·弗莱尔
Jael,雅亿·费雷拉·维埃拉
Luiz Melodia,路易斯·梅樂迪阿
Luiz Carvalho,路易斯·卡瓦略
Luiz Eduardo Rodrigues,路易斯·爱德华多·罗德里格斯
Randolfe Rodrigues,兰道夫·罗德里格斯
Os Gêmeos,雙胞胎 (塗鴉藝術家)
William Pinheiro Rodrigues,威廉·比尼利奴·洛迪古斯
Fabiana Karla,法比亚娜·卡拉
Enzo Peri,恩佐·马丁斯·佩里
Maury de Souza,莫里·德蘇薩
Everaldo Coelho,Crystal Clear
Paulinho Paiakã,保利尼奥·帕亚坎
Paulinho Piracicaba,保連奴
Luís Gama,路易斯·伽馬
Ânderson Marcelo da Silva,马塞朗
Luiza Erundina,路易莎·埃鲁迪纳
Luke Ross,卢卡·罗斯
Jaques Wagner,雅克·瓦格纳
Jaqueline Ferreira,杰奎琳·费雷拉
Luiz Carlos Vieira Junior,路爾斯·卡路士
Paulo Costa Lima,保羅·科斯塔·利馬
Patricio Pitbull,帕特里西奥·弗莱雷
Evandro Silva do Nascimento,埃万德罗·席尔瓦·多·纳西门托
Luiz Henrique Tosta,路易斯·軒歷基
Yoya Wursch,尤亚·乌尔施
André Filho,安德烈·菲略
André Silva,安迪·費利拿·達·施華
Paulo Machado de Carvalho Filho,保罗·马查多·德·卡瓦略·菲尔略
Léo Gamalho,里奥·加马略
Andrucha Waddington,沃丁頓
André Abujamra,安德烈·阿贾姆罗拉
Jofre Soares,霞飛·蘇雷斯
Jefferson Batista,杰弗森·亚历山大·巴蒂斯塔
Paulo Bernardo,保罗·贝尔纳多
José Perrella de Oliveira Costa,傑傑·佩瑞拉
Jaílson França Braz,泰利臣·弗朗卡·布拉斯
Jaílton Lourenço da Silva,雅伊尔顿·帕拉伊巴
Fabio Kon,法比歐·侃
Paulo Victor Mileo Vidotti,保罗·维克托
Paulo Morelli,保罗·莫雷利
Jhon Cley Jesus da Silva,约翰·克莱
Johnny Meg do Nascimento Osório,约翰尼·梅格·多·纳西门托·奥索里奥
Paulo Goulart,保羅·古拉特
Éder Luiz Lima de Souza,埃德尔·路易兹·利马·德·索萨
Johnath Marlone Azevedo da Silva,馬勞
Marcelo Adnet,马塞洛·阿德奈特
Manfredo Fest,曼弗雷多·菲斯特
Joe Bennett (ilustrador),喬·貝內特 (漫畫家)
Paulo Roberto Gonzaga,波林霍
Paulo Roberto da Silva Zaltron,保罗·罗伯托·达·席尔瓦·扎尔特龙
Paulo Rogério Amoretty Souza,保羅·羅熱里奧·阿莫雷提·索沙
Marcelo Gomes,馬切羅·勾梅茲
Paula Mariana de Bragança,保拉公主 (巴西)
Magno Damasceno Santos,马尼奥·克鲁斯
Andreas Matheis,安德烈亚斯·马修斯
Jéfferson Feijão,杰斐逊·费让
Fabrício dos Santos Messias,法布里西奥·多斯·桑托斯·梅西亚斯
Marcelo Cirino da Silva,马塞洛·西里诺
Geraldo Magela da Cruz Quintão,热拉尔多·马热拉·达克鲁斯·金唐
Zélia Cardoso de Mello,泽莉娅·卡尔多索·代·梅洛
Élcio Álvares,埃尔西奥·阿尔瓦雷斯
Éverson Alan da Lima,阿倫烈馬
Marcelo Lomba do Nascimento,馬些路·隆巴
Marcelo Crivella,马塞洛·克里韦拉
André Luís dos Santos Ferreira,安德烈·路易斯
Paulo Schroeber,保羅·施勒德
Marcelo Toscano,马塞洛·托斯卡诺
Marcelo Tas,马塞洛·塔斯
Jorge Zarif,豪爾赫·扎里夫
Alexandre Paternost,亚历山大·帕特诺斯特
Pedro Moreira Salles,佩德羅·莫雷拉·薩勒斯
"José Bonifácio, o moço",小何塞·博尼法西奧
José Carlos Avellar,荷西·卡洛斯·阿維拉
Marcio de Souza Gregório Júnior,馬仙奴·祖利亞
Josimar da Silva Martins,乔西马尔·达·席尔瓦·马丁斯
José Fágner Silva da Luz,荷西·法格拿·施華·達·路斯
Arthur Virgílio Neto,阿瑟·维尔吉利奥·尼图
Pedro Vasconcelos,佩德羅·瓦斯康塞洛斯
Preta Gil,普雷塔·吉尔
Eudes de Orléans e Bragança,厄德
José Carlos Gomes Filho,戈姆
José Carlos Santos da Silva,若泽·卡洛斯·桑托斯·达席尔瓦
Ana Luísa Escorel,安娜·路易莎·埃斯科雷尔
José Nilson dos Santos Silva,何塞·尼爾臣·多斯·桑托斯·席爾瓦
Elber,艾爾巴
Marco Aurélio Motta,馬爾科·奧雷利奧·莫達
Beatriz Barbuy,比阿特丽斯·巴布埃
José Maranhão,荷西·馬拉納奧
José Maria Eymael,何塞·瑪麗亞·埃梅爾
José Maurício Bustani,何塞·毛里西奧·布斯塔尼
Rafael Cordeiro,拉斐爾·科代羅
Daisy Lúcidi,黛西·卢西迪
Dani Patarra,丹妮·帕塔拉
José Roberto Lucini,罗伯特·卢西尼
Marcos Antônio Pereira,馬高斯·彭利拿
Marcos Prado Troyjo,马科斯·普拉多·特罗伊若
Cristina Aché,克里斯蒂娜·阿切
Marcos Magalhães,馬科斯·馬加良斯
Gladiador,拉斐尔·特谢拉·德索萨
Marllon Borges,马尔隆
Mariana Rios,玛丽安娜·里奥斯
Marilia Rocha,玛丽利亚·罗查
Rafael Coelho,拉菲尔·科埃略
Zé Alcino,泽·阿尔西诺
Araujo,阿拉烏蘇
Rafael Martins,拉斐尔·马丁斯
Alysson Paulinelli,阿里森·保利内利
Joel Bertoti Padilha,祖爾
Martha Rocha,瑪爾塔·羅沙
Aluísio Napoleão de Freitas Rego,阿卢伊济奥·纳波莱昂·德弗雷塔斯·雷戈
Alê Abreu,阿莱·阿布鲁
Diego de Lima Barcelos,迭戈·德·利马·巴塞罗斯
Márcio Fábio Martins,馬斯奧·法比奧·馬田斯
Reginaldo Araújo,雷吉納爾多·阿勞霍
Chay Suede,查伊·苏埃德
Mauri König,莫里·柯尼格
Reis (futebolista),雷斯
Altair Lima,阿尔泰尔·利马
João Lyra,若昂·萊拉
Matheus Carvalho,卡爾拉赫
Maurício dos Santos Nascimento,毛里西奥·多斯桑扎斯·西门托
Ana Paula Tabalipa,安娜·保拉·塔巴利帕
Ana Paula de Tassis,安娜·保拉·德塔西斯
Yū Kamiya,榎宮祐
Leonardo Gonçalves Silva,莱昂纳多·贡萨尔维斯·席尔瓦
Mauro Rafael da Silva,摩路
Maurício Copertino,毛里西奥·科佩尔蒂诺
Ricardo Lewandowski,里卡多·萊萬多夫斯基
Anderson Souza Conceição,塔利斯卡
Humberto Martins,温贝托·马丁斯
Renata Fan,雷娜塔·范
Jece Valadão,热塞·瓦拉当
Edson Carvalho Hudson,巴力斯塔
Oscar Araripe,奧斯卡·艾拉萊普
Edson dos Santos Cardoso,奕臣·杜斯·山度士·卡度素
May East,梅·伊斯特
Mayra Dias Gomes,梅拉·迪亚茲·戈梅斯
Ricardo Goulart,里卡多·古拉特
Milhem Cortaz,米尔黑·考塔兹
Moreira Franco,莫雷拉·佛朗哥
Roberto Orlando Affonso Júnior,羅拔圖·奧蘭度·阿方素·祖利亞
Maurício do Valle,毛里西奥·多·瓦莱
Richard Almeida de Oliveira,理查·阿爾梅達
Kátia Abreu,卡蒂娅·阿布雷乌
Roan Carneiro,罗安·卡内罗
André Garolli,安德烈·加罗利
Inácio Arruda,伊纳西奥·阿鲁达
Marco Pigossi,马可·皮科西
Mussum,穆苏姆
Lu Grimaldi,吕·格里马尔迪
Rodrigo Gonçalves de Oliveira Lopes Silva,罗德里戈·席尔瓦
Márcio Máximo,瑪律西奧·梅西莫
Rodrigo Amarante,羅德里戈·阿馬蘭特
Papaléo Paes,帕帕莱奥·帕埃斯
Roberto Santos,羅伯托·桑托斯
Tabajara Ruas,塔巴哈拉·鲁阿斯
Rodrigo Ely,罗德里戈·埃利
Márcio de Oliveira Barros,馬斯奧·迪·奧利華拉·巴路士
Adalberto Machado,阿達貝托
Narubodin Weerawatnodom,纳鲁巴丁·维拉瓦诺丹
Nelson Xavier,尼爾森·札維耶
Bárbara de la Fuente,芭芭拉·德·拉·富恩特
Rodrigo Faro,罗德里戈·法鲁
Rodrigo Junior Paula Silva,罗德里格·儒尼奥尔·保拉·席尔瓦
Rodrigo Melo Franco,羅德里格·梅羅·法蘭哥
Anna Maria Niemeyer,安娜·瑪莉亞·尼梅爾
Rodrigo Paulista,罗德瑞格·派尚·梅斯基塔
Rodrigo Pimentel,罗德里戈·皮门特尔
Bruce Gomlevsky,布鲁斯·戈姆列夫斯基
Roger Gaúcho,罗杰·高乔
Bruno Araújo,布鲁诺·阿劳若
Bruno Covas,柯瓦斯
Ney Santanna,内伊·桑塔纳
Caio Gullane,凯奥·古兰
Olivia Byington,奥利维亚·白靈頓
Tutinha,Tutinha
Rubenilson Monteiro Ferreira,魯賓利臣·蒙迪路·費利拿
Antônio Francisco,安東尼奧·弗朗西斯科
Antônio Carlos Magalhães Júnior,安东尼奥·卡洛斯·马格尔哈斯·儒尼奥尔
Antônio Almeida,安東尼奧·阿爾梅達
Antônio Bivar,安东尼奥·比瓦尔
Odete Lara,奥黛特·拉腊
Camila dos Anjos,卡米拉·多斯·安乔斯
Sandro Manoel dos Santos,桑德罗·马诺埃尔·多斯桑托斯
Cadu Paschoal,卡杜·帕斯霍阿尔
ACM Neto,安东尼奥·卡洛斯·马加良斯·尼图
Sandro Rocha,桑德罗·罗查
Tiago da Silva,蒂亚戈·达·席尔瓦
Antonio Pitanga,安托尼欧·皮唐卡
Carla Daniel,卡拉·丹尼尔
Orville Derby,奥维尔·阿达尔伯特·德比
Pakorn Prempak,巴功·炳巴
Caco Galhardo,卡可·加尔哈多
Sebastião de Freitas Couto Júnior,塞巴
Antônio Carlos de Assunção,安東尼奧·卡洛斯·德阿松桑
Antônio Celso de Queiroz,安多尼·賽蘇·德-克羅茲
Antônio Gilberto Maniaes,吉巴
Aníbal Médici Machado,阿尼巴爾·梅迪西斯·坎迪奧塔
Canhotinho,米爾頓·若昂·德·梅德羅斯
Antônio Clemente Pinto Filho,聖克萊門特伯爵
Elizângela,艾莉让哲拉
Carlo Mossy,卡罗·莫西
Cristina Mullins,克里斯蒂娜·穆林斯
Sérgio Manoel Barbosa Santos,塞爾吉奧·馬諾埃爾·巴博薩·桑托斯
Darlan Romani,达兰·罗玛尼
Demosthenes Correa de Syllos,德摩斯提尼·科雷亞·德·希爾洛斯
Célio Taveira Filho,塞利奥·塔维拉
Fernando Cônsul,費爾南多·康索
Sidraílson,沙域臣
Stefan,史提芬彭利拿
Simone Spoladore,西蒙妮·斯波拉多尔
Cyria Coentro,西里亚·科恩特罗
Adriana Birolli,阿德里安娜·比罗里
Bárbara Paz,芭芭拉·帕斯
Luiz Alberto de Vianna Moniz Bandeira,莫尼斯·班德拉
Tallys,塔利斯
Carlos Chiarelli,卡洛斯·阿尔贝托·戈梅斯·奇亚雷利
Cássio Reis,卡斯奥·雷斯
Cássio Taniguchi,卡西欧·谷口
Catia Fonseca,卡蒂亞·豐塞卡
Tata Amaral,塔塔·阿马拉尔
Luís Roberto Barroso,路易斯·罗伯托·巴罗佐
Sérgio Sant'Anna,塞尔吉奥·圣安纳
Tamara Almeida,塔瑪拉·艾美達
Tammy Di Calafiori,塔米·蒂·卡拉菲欧利
Thereza Imanishi-Kari,泰瑞莎·今西-加里
Daiene Dias,戴妮·迪亚斯
Tereza Seiblitz,特蕾莎·塞布利兹
César Cardadeiro,塞萨尔·卡达迪鲁
Altino Marcondes,阿爾蒂諾·馬孔德斯
Carlos José,卡洛斯·若泽
Carlos Manga,卡洛斯·曼加
Thaís Pacholek,塔斯·帕奇莱克
Ticão,狄卡奧
Dado Cavalcanti,达多·卡瓦尔康蒂
Tomy Adriano Giacomeli,湯美
Carlos Miranda,卡洛斯·米兰达
Tizuka Yamasaki,山崎手塚
Dandara Guerra,丹达拉·格拉
Álvaro,阿爾瓦羅·荷西·羅德里格斯·瓦倫特
Aarão Steinbruch,阿朗·施泰因布鲁赫
Daniela Duarte,达妮埃拉·格拉辛多
José Carlos Guimarães,荷西·卡洛斯·吉馬良斯
Daniel Azulay,丹尼尔·阿祖莱
Araci Esteves,阿拉西·埃斯特维斯
Ada Chaseliov,阿达·查塞里奥夫
Aramis Trindade,阿拉米斯·特林达德
Vadão (treinador de futebol),瓦当
Tony Heleno da Costa Pinho,托尼
Tânia Alves,塔尼亚·阿尔维斯
Vicente de Paula Neto,维森特·德·保罗·内托
Daniel Ganjaman,丹尼尔·甘贾曼
Uendel Pereira Gonçalves,乌恩德尔·佩雷拉·贡萨尔维斯
Valdeno Brito,華甸勞·便度
Daniela Barbosa,达妮埃拉·巴博萨
Vinícius Machado,维尼修斯·马查多
Adrian Jaoude,阿图罗·鲁阿斯
Carolyna Aguiar,卡罗莉娜·阿吉亚
Caru Alves de Souza,卡瑞·阿尔维斯·德索萨
Vitor Hugo dos Santos,维托尔·雨果·多斯桑托斯
Daniel Munduruku,丹尼尔·蒙杜鲁库
Wanderley Santos Monteiro Júnior,万德莱·桑托斯·蒙特罗·儒尼奥尔
Del Rangel,德尔·兰赫尔
Castrinho,卡斯特里尼奥
Davi Alcolumbre,达维·阿尔科隆布尔
Celino Dias,切利诺迪亚斯
Carolina Larriera,卡洛丽娜·拉瑞莉拉
Wendell Lira,文德尔·利拉
Afonso Poyart,阿方索·博亚尔特
Cida Borghetti,奇达·博尔盖蒂
Weverton Pereira da Silva,韋華頓·佩雷拉·達施華
Dennis Carvalho,丹尼斯·卡瓦略
Diego Ares,迭戈·阿雷斯
Dias Toffoli,迪亚斯·托夫利
Desireé Vignolli,德西雷·维尼奥里
Zacarias (comediante),萨卡里亚斯
Clarisse Abujamra,克拉丽斯·阿布让拉
Clóvis Bueno,克洛维斯·布埃诺
William Alves,威廉·艾古斯圖·艾維斯
William Henrique,威廉·恩里克
Augusto Heleno Ribeiro Pereira,奥古斯托·埃莱诺
Augusto Ramos,奧古斯托·費雷拉·拉莫斯
Aldri Anunciação,阿尔德里·阿诺西亚桑
Edu Guedes,埃杜·格德斯
Fernando Ramos da Silva,费尔南多·拉莫斯·达席尔瓦
Costanza Pascolato,科斯坦萨·帕斯科拉托
Eduardo Cunha,愛德華多·阿爾維斯
Cristiano Felício,克里斯蒂亞諾·費利西奧
Eduardo Pallasim Guinle,愛德華多·金利
Geraldo José da Silva,傑拉爾多·約瑟·達席爾瓦
Eduardo Escorel,爱德华多·埃斯科雷尔
Djenane Machado,戴弥娜·马查多
Alexandre Avancini,亞歷山大·阿萬奇尼
Eduardo Tornaghi,爱德华多·托尔纳吉
Domingos Afonso Mafrense,多明戈斯·阿豐索·馬弗倫塞
Geraldo Sarno,傑拉爾多·薩爾諾
Geraldo de Barros,杰拉爾多·德巴羅斯
Gerardo Juraci Campelo Leite,热拉尔多·茹拉西·坎佩洛·莱特
Hélio Bicudo,艾里奧·比古多
Geraldo Carneiro,杰拉尔多·卡内罗
Hungria Hip Hop,Hungria Hip Hop
Hylka Maria,希尔卡·玛利亚
Dorinha Duval,多里·杜瓦尔
Fluvia Lacerda,弗卢维亚·拉塞尔达
Ibsen Pinheiro,易卜生·皮涅羅
Douglas Aguillar,道格拉斯·阿吉拉尔
Eleonor Bruno,爱雷欧诺尔·布鲁诺
Douglas Santos,道格拉斯·桑托斯
Elisa Tolomelli,Elisa Tolomelli
Déa Selva,迪亚·塞尔瓦
Flávio Dino,弗拉维奥·迪诺
Dulce Maria Pereira,杜爾塞·瑪麗亞·佩雷拉
Flávio Bauraqui,弗拉维奥·鲍拉基
Flávio Bolsonaro,弗拉维奥·博尔索纳罗
Dudu Surita,都都·苏里塔
Dudu Pelizzari,杜杜·佩利扎里
Gillray Coutinho,吉尔雷·科蒂尼奥
Irineu Marinho,伊里内乌·马里尼奥
Eloísa Mafalda,埃洛伊莎·马福尔达
Irandhir Santos,伊尼德尔·桑托斯
Dudu Azevedo,杜杜·阿泽维多
Francisco Alves,弗朗西斯科·阿尔维斯
Emílio Eric Surita,埃米里奥·埃里克
Emilio Dantas,埃米利奥·丹塔斯
Glauce Graieb,格拉丝·坎迪多·格拉伊布
Ionei Silva,约涅·席尔瓦
Giuliano Rocco,久利亞諾·羅科
Ernani Moraes,埃内尼·莫赖斯
Erik Marmo,埃里克·马默
Guel Arraes,蓋爾·阿賴斯
Edivaldo Holanda Júnior,Edivaldo Holanda Junior
Emílio Orciollo Netto,埃米利奥·奥西奥洛·内托
Ivan de Sousa Mendes,伊万·德索萨·门德斯
Ivana Jinkings,伊万娜·金金斯
Gustavo Guimarães,古斯塔沃·吉馬良斯
Jakson Follmann,贾克森·弗罗曼
Jair Bolsonaro,雅伊爾·博索納羅
Etiene Medeiros,艾蒂安·梅代罗斯
Guy Loup,盖伊·卢普
Rodrigo Maia,罗德里戈·马亚
José Alvarenga Júnior,小何塞·阿爾瓦倫加
Eucir de Souza,尤西尔·代·苏沙
Evaldo Gouveia,埃瓦尔多·戈维亚
Maurício Farias,毛里西奥·法理亞斯
José Bernardo Cabral,何塞·贝尔纳多·卡布拉尔
Helena Palomanes,海伦娜·帕洛马内斯
Felipe Amorim,费利佩·达·席尔瓦·阿莫里姆
Fabio Faria,法比奥·法里亚
Fabio Mechetti,法比奧·梅凱蒂
Heloísa Millet,赫罗伊沙·米勒
Jerry Adriani,傑里·阿德里亞尼
Fabrício Boliveira,法布里西奥·波利维拉
Henrique Golland Trindade,亨利·戈蘭德-特林達德
Jeferson De,杰斐逊·德
Jilmar Tatto,吉爾馬·塔托
Helton Leite,赫爾頓·萊特
Henri Pagnoncelli,亨利·帕尼翁切利
Felipe Wu,菲利佩·阿尔梅达·吴
Fábio Lago,法比奥·拉戈
Fernanda Andrade,費爾南達·安德拉德
Fernando Alves Pinto,费尔南多·阿尔文斯·品多
Fernando Anitelli,费尔南多·阿尼泰利
José Fernando de Saxe-Coburgo-Gota,約瑟夫·斐迪南
Fábio Porchat,法比奥·波尔夏
Fábio Riodi Yassuda,安田良治
Fernando Bezerra Coelho,费尔南多·贝泽拉·科埃略
Gabriel Azevedo,加布里埃尔·阿泽维多
Joaquim Lopes,乔昆姆·洛佩斯
Fernando Diniz,费尔南多·迪尼兹
Gabriel de Toledo Piza,加布里埃爾·托萊多·比薩
Gabriel Gracindo,加布里埃尔·格拉辛多
José Gomes Temporão,何塞·戈麥斯·滕波朗
José Gomes (bispo),若泽·戈梅斯
José Rubens Chachá,若瑟·胡本斯·查查
José Trassi,何塞·特拉西
José Ivo Sartori,何塞·伊沃·萨托利
José Joffily,何塞·乔菲利
Arthur Aguiar,亚瑟·阿吉拉尔
Joaquim Teotônio Segurado,若阿金·特奧托尼奧·瑟古拉多
José Leonardo,何塞莱昂纳多
José Louzeiro,何塞·洛澤羅
José Loreto,何塞·罗雷托
Hique Gomez,希克·戈麦斯
John Doo,约翰·杜
Geddel Vieira Lima,格德尔·维埃拉·利马
Jonatas Faro,乔纳塔斯·法鲁
Júlio Andrade,胡利奧·安德拉德
Georgiana Góes,乔治亚娜·戈斯
Hugo Calderano,雨果·卡爾德拉諾
Hugo Napoleão do Rego,雨果·拿破仑·雷戈
Hugo Napoleão do Rego Neto,雨果·拿破仑·雷戈·内托
João Acaiabe,若昂·阿卡亚贝
Júlio César Ribeiro de Sousa,胡力奧·塞薩爾·里貝羅·德·索薩
José Mentor,若泽·门托
Luiza Trajano,路易莎·特拉哈诺
Kate Lyra,凯特·莱拉
José Múcio Monteiro,何塞·穆西奥
Luiz de Carvalho,路易斯·德卡瓦略
Lula Carvalho,卢拉·卡瓦略
Karol Conká,卡罗尔·康卡
José Paulo de Andrade,若泽·保罗·德·安德拉德
Marcos Paulo,馬可斯·保羅
Laila Zaid,莱拉·扎伊德
Lan Lan,蓝·蓝
Lana Rodes,拉娜·罗德斯
João Doria,若昂·多里亚
João Castelo,若昂·卡斯特洛
João Carlos Barroso,若昂·卡洛斯·巴罗佐
Lasier Martins,拉西爾·馬丁斯
Marcos Pitombo,马科斯·皮通博
Marcos Prado (cineasta),马可斯·普拉多
Marcus Vinícius Pratini de Moraes,馬可斯·文尼西斯·普拉蒂尼·莫萊斯
Marcélia Cartaxo,馬賽莉亞·卡爾塔索
Larissa Maciel,拉里萨·马西埃尔
Laís Bodanzky,拉意絲·波丹斯基
João Dória,若昂·多里亚
Moacyr de Góes,莫阿西尔·德·戈埃斯
João Jardim,若昂·雅尔丁
João Jorge Saad,约奥·萨阿德
Moacyr Góes,莫阿西尔·戈埃斯
Moisés Lima Magalhães,莫伊塞斯·利马·马加良斯
Lívia Andrade,利維婭·安德拉德
Maria Gladys,瑪麗亞·格拉迪斯
Monique Gardenberg,莫妮克·加登伯格
Mr. Catra,卡特拉先生
Laíla,莱拉
João Luiz Gomes Júnior,若昂·戈麦斯·儒尼奥尔
Maria Gabriela de Orléans e Bragança,瑪麗亞加布里埃拉 (奧爾良-布拉干薩)
Márcia Regina,瑪西婭·里賈納
Maria Helena Sartori,玛丽亚·海伦娜·萨托里
Lúcia Maria Murat de Vasconcelos,露西亞修女·穆拉特
Moacyr Deriquém,莫阿塞尔·德里克姆
Murilo Ribeiro de Almeida,艾美達
João Paulo Adour,若昂·保罗·阿杜尔
João Paulo Cunha,若昂·保罗·库尼亚
Márcio Moreira Alves,马斯奥·莫雷拉·阿尔维斯
Márcia Kubitschek,马西娅·库比契克
Leon Góes,利昂·戈斯
Maria Zilda,玛丽亚·齐尔达·贝特莱姆
Jottapê,MC·乔塔佩
Magno Malta,馬格諾·馬爾托
Manfredo Colassanti,曼弗雷多·科拉桑蒂
Marli Bortoletto,玛莉·波托莱托
Mário Lúcio da Silva Junior,马里奥·卢西奥
Liliane Maestrini,利利安·梅斯特里尼
João Zwetsch,若昂·兹韦茨
Manu Gavassi,曼努·加瓦西
Lisca,利斯卡
Lins Lima de Britto,林斯·利马·德布里托
Marília Gabriela,玛丽莉亚·加布里埃拉
Lourenço Cazarré,洛伦索·卡萨雷
Martinho Lutero Galati de Oliveira,马蒂纽·卢特罗·加拉蒂
Natália Nara,娜塔莉亚·奈良安刚
Nelson Freitas,纳尔逊·弗雷塔斯
Nelson Bornier,尼爾森·博尼爾
Nelson Trad Filho,内尔松·特拉德·菲尔奥
Nei Lisboa,内伊·里斯本
Lu Martan,卢·马坦
Luana Tanaka,卢瓦娜·田中
Juliana Salimeni,朱朱·萨利梅尼
Juliano Cazarré,朱利安诺·卡扎雷
Mary Sheyla,玛丽·谢拉
Lucas Mendes,盧卡斯·曼德斯
Nelson Marchesan,内尔森·若涅尔
Nelson Marchezan Júnior,内尔森·若涅尔
Neuciano Gusmão,赫蘇斯·古斯芒
Mara Carvalho,玛拉·卡瓦略
Luciana Santos,卢西亚娜·桑托斯
Marcella Muniz,马塞拉·莫尼兹
Manuela do Monte,曼努埃拉·多·蒙特
Marcela Temer,馬塞拉·特梅爾
Manuela d'Ávila,曼努埃拉·达阿维拉
Marcelo Henrique dos Santos,馬塞洛·亨里克·多斯桑托斯
Lucy Geisel,露茜·蓋澤爾
Nicolau dos Santos Neto,尼古劳·多斯桑托斯·内图
Nicolas Trevijano,尼古拉斯·特雷维亚诺
Maximira Figueiredo,马克西米拉·菲盖雷多
Maíra Góes,迈拉·戈斯
Luciano do Valle,盧西亞諾·多·瓦萊
Marat Descartes,马拉特·笛卡尔
Noemi Gerbelli,諾埃米·格貝利
Michel Bercovitch,米歇尔·贝科维奇
Nonô Figueiredo,诺诺·菲格雷多
Marcelo Aguiar,马些路·阿吉亚尔
Marcelo Campos,马些路·坎波斯
Nico Nicolaiewsky,尼科·尼古拉耶夫斯基
Nico Puig,路易斯·尼古拉·舒曼·普伊格
Marcelo Rospide,马塞洛·罗斯皮德
Miguel Gustavo,米格尔.古斯塔夫
Michelle Batista,米歇尔·巴蒂斯塔
Marcelo Faria,马塞洛·法利亚
Marcelo Galvão,马些路·加华奥
Luiz Antonio de Assis Brasil,路易斯·安东尼奥·德·阿西斯·巴西
Plácido Cidade Nuvens,普莱西多·西达德·努文斯
Luisa Palomanes,路易莎·帕洛马内斯
Mionzinho,米翁齐尼奥
Luiz Fernando Pongelupe Machado,路易斯·费尔南多
Quinho do Salgueiro,奎诺
Polliana Aleixo,波丽安娜·阿莱绍
PC Siqueira,PC·西凯拉
Otávio Augusto,奥塔维奥·奥古斯托
Older Cazarré,埃尔德·卡扎雷
Olga Savary,歐嘉·薩瓦希
Preto Casagrande,普雷托·卡萨格兰德
Luiz Edson Fachin,埃德森·法欣
Militão Augusto de Azevedo,米莉塔奧古斯丁的阿澤維多
Rafael Greca,拉斐尔·格雷卡
Tai hsuan-an,戴宣安
Raimundo Jinkings,雷蒙多·金金斯
Mike Krieger,麥克·克瑞格
Onyx Lorenzoni,米尔顿·里贝罗
Wallace Cockrane Simonsen,华莱士·科克伦·西蒙森
Rogério Marinho,羅傑里奧·西莫內蒂·馬里尼奧
Patrick Laplan,帕特里克·拉普兰
Luiz Eurico Tejera Lisbôa,路易斯·尤里科·特赫拉·里斯本
Milionário (cantor),米利奥纳里奥
Luiz Fernando Dias Duarte,路易斯·费尔南多·迪亚斯·杜阿尔特
Patrícia de Sabrit,帕特里夏·德·萨布里特
Talita Castro,塔丽塔·卡斯特罗
Olney Cazarré,奥尔尼·卡扎雷
Walter Breda,瓦尔特·布雷达
Tallyta Cardoso,塔莉塔·卡多索
Roney Villela,罗尼·维尔拉
Paula Manga,保拉·曼加
Raimundo Ottoni de Castro Maia,雷蒙多·奧多尼·德·卡斯特羅·瑪雅
Wanda Stefânia,万达·斯特凡尼亚
Ratinho Júnior,拉蒂尼奥·儒尼奥尔
Raul Jungmann,劳尔·容曼
Rosa Weber,羅莎·韋伯
Wellington Lima,韦宁顿·利马
Tatá Guarnieri,塔塔·瓜尔涅里
William Woo,威廉巫
Wendel Bezerra,温德尔·贝塞拉
William César de Oliveira,威廉·塞薩爾·德·奧利維拉
Werner Schumann,沃纳·舒曼
Paulo José Carlos Guedes,保罗·若泽·卡洛斯·格德斯
Thalita Carauta,塔利塔·卡鲁塔
Thiago Costa,蒂亚戈
Tereza Cristina Corrêa da Costa Dias,特雷莎·克里斯蒂娜
William de Oliveira Pottker,威廉·波特克
Tereza Delta,特雷扎·德尔塔
Wilson Braga,威尔逊·布拉加
Thiago Keplmair,蒂亚戈·凯普莱米尔
Renato Master,雷纳托·马斯特
Paulo Gracindo,保罗·格拉辛多
Renato Góes,雷纳托·戈埃斯
Rui Palmeira,鲁·帕尔梅拉
Thelmo Fernandes,塞尔莫·费尔南德斯
Thaís Garayp,塔伊斯·加雷普
Renata Sayuri,雷娜塔·小百合
Sacha Amback,萨莎·安巴克
