Dudon de Saint-Quentin,聖·昆汀杜多
Caroline Bonaparte,卡羅琳·波拿巴
Kiki de Montparnasse,蒙巴纳斯的吉吉
Iannis Xenakis,伊阿尼斯·泽纳基斯
Louis Réard,路易斯·雷德
Djimi Traoré,吉米·特劳雷
Gabrielle de Polignac,勃利夫人
Valery Larbaud,瓦莱里·拉尔博
Aurore Clément,奧蘿爾·克來蒙
Jean-Louis-Ébénézer Reynier,让-路易-埃贝内泽·雷尼耶
Guillaume II de Ponthieu,威廉四世，蓬蒂厄伯爵
Marie Bashkirtseff,玛丽·巴什基尔采夫
Anne-Marie David,安娜-玛丽·达维
Enguerrand de Marigny,昂盖朗·德·马里尼
Inès Armand,伊內莎·艾爾曼
Charles VIII,查理八世
Mélissa Theuriau,梅丽莎·特里奥
Virginie Ledoyen,維吉尼亞·莉朵嫣
Pierre-Emerick Aubameyang,皮埃尔-埃默里克·奥巴梅扬
Jean-Claude Trichet,让-克洛德·特里谢
Éric Tié Bi,蒂埃·比·比泰爾
Geoffrey Dernis,热奥弗鲁瓦·代尔尼斯
Thierry Omeyer,迪爾里·奥梅耶
Olivier Toussaint,奥利维尔·杜桑
Jacques Miller,雅克·米勒
Simone Simon,西蒙娜·西蒙
Saint-John Perse,圣琼·佩斯
Danielle Darrieux,达妮埃尔·达里厄
Marie-Louise O'Murphy,玛丽-路易斯·奥墨菲
Georges Auric,乔治·奥里克
Federico Sanseverino,費德廉·迪·聖賽維里諾
Sabrina Viguier,萨布丽娜·维吉耶
Marie Dorin-Habert,玛丽·多兰·阿贝尔
Hucbald de Saint-Amand,胡克白
Patrick Baudry,帕特里克·鮑德雷
Marguerite d'Écosse,法國王太子妃瑪格麗特
Lila Kedrova,麗拉·柯卓娃
Matt Moussilou,馬特·莫斯魯
György Cziffra,齐夫拉·乔治
Louis VII,路易七世
Charles IX,查理九世
Colette Besson,科莱特·贝松
Simone Renant,西蒙尼·雷南
Luis Federico Leloir,卢伊斯·弗德里科·莱洛伊尔
Paul Cornu,保罗·科尔尼
Guillaume Pepy,紀堯姆·佩皮
Jean Perrin,让·佩兰
Simon Ier de Montfort,西蒙一世·德蒙特福
Dominique Aury,安娜·德克洛
Marie d’Agoult,玛丽·达古尔特
Madame Guyon,盖恩夫人
Maria de Medeiros,玛丽亚·德·梅黛洛
Fréhel,弗蕾埃尔
Violette Szabo,維歐蕾特·薩博
Nicole Fontaine,妮科尔·方丹
Corinne Hermès,科琳娜·愛馬仕
Hélène Cixous,埃莱娜·西克苏
Flora Tristan,弗洛拉·特里斯坦
Hélène Grimaud,埃萊娜·格里莫
Séverine Beltrame,塞維琳·布雷蒙德·貝爾特拉姆
Yo-Yo Ma,馬友友
Michèle Morgan,蜜雪兒·摩根
Youssef Adnane,约瑟夫·阿德纳尼
Cédric Cambon,塞德里克·康邦
Julie Clary,茱麗·克拉里
Paulette Dubost,寶蓮·杜柏絲
Mélanie Laurent,梅蘭妮·洛宏
Jules Alfred Pierrot-Deseilligny,儒勒·阿尔弗雷德·皮埃罗·德塞利尼
Florent Manaudou,弗洛朗·馬納杜
Tamatoa Wagemann,韋基文
Àstrid Bergès-Frisbey,阿斯特丽德·伯格斯·弗瑞斯贝
Frida Boccara,弗里达·博卡拉
Wissam Ben Yedder,維薩姆·本耶德爾
Karina Lombard,卡莉娜·倫芭
Jeanne de Chantal,聖方濟加·尚達爾
Nathalie Paley,娜塔莉亞·帕夫諾芙娜·帕雷
Constantin Brâncuși,康斯坦丁·布朗庫西
Karine Ruby,卡琳·吕比
Julie Coin,朱莉·科恩
Emmanuelle Seigner,艾玛纽尔·塞尼耶
Florence Baverel-Robert,弗洛朗丝·巴弗雷尔-罗贝尔
Séraphine de Senlis,桑利斯的萨贺芬
Cécilia Attias,瑟西莉雅·亞提亞斯
Christian Karembeu,克里斯蒂安·卡伦布
Jean Le Rond d'Alembert,让·勒朗·达朗贝尔
Christine de Pizan,克里斯蒂娜·德·皮桑
Marielle Goitschel,玛丽耶勒·古瓦切尔
Charles de Choiseul-Praslin,夏尔·德·舒瓦瑟尔-普拉兰
Marguerite Duras,玛格丽特·杜拉斯
Miss Kittin,米斯·基廷
Roger Lemerre,罗杰·勒梅尔
Casey Legler,凯西·莱格勒
Olympe Mancini,奧林匹娅·曼奇尼
Natalya Lisovskaya,娜塔莉婭·莉索芙斯卡婭
Émile Vuillermoz,埃米尔·维耶尔莫
Lucile Hadzihalilovic,露西尔·哈吉哈利洛维奇
Michèle Mouton,米歇尔·穆顿
Émile Vaudremer,約瑟夫·奧古斯特·埃米爾·沃德默
Émile Veinante,埃米尔·韦南特
Camille Muffat,卡蜜爾·莫法特
Jeanne Ire d'Auvergne,奥弗涅女爵乔安娜一世
Marguerite de France,法兰西的玛格丽特 (英格兰王后)
Émile Waldteufel,埃米尔·瓦尔德退费尔
Adolphe d'Ennery,阿道夫·德恩纳里
Paul Celan,保罗·策兰
Laure Manaudou,洛尔·马诺杜
Coco Chanel,可可·香奈尔
Claudine de Brosse,布羅斯的克勞丁
Lucien Tesnière,吕西安·泰尼埃
Isabelle de France,法蘭西的伊莎貝拉
Aristide Maillol,阿里斯蒂德·马约尔
Isabeau de Bavière,巴伐利亚的伊莎贝拉
Jean Arp,让·阿尔普
Sébastien Grosjean,塞巴斯蒂安·格罗斯让
Micheline Bernardini,米歇莲·贝尔纳迪尼
Steevy Chong Hue,斯蒂维-张
Cédric Séguin,塞德里克·塞甘
Georges Braque,喬治·布拉克
Bonne de Luxembourg,博讷
Teddy Chevalier,泰迪·舍瓦利耶
Athina Onassis,雅典娜·奧納西斯·魯塞爾·德米蘭達
Marguerite-Marie Alacoque,玛加利大
Yvonne Loriod,伊雯·羅里奧
Raoul Dufy,劳尔·杜飞
István Nyers,伊斯特萬·奈爾斯
Marx Dormoy,马克思·多尔穆瓦
Thérésa Tallien,泰蕾莎·塔利安
Jean Bruce,让布鲁斯
Claudie Haigneré,克洛迪·艾涅尔
Yves Klein,伊夫·克莱因
Gabriel Marcel,加布里埃爾·馬塞爾
Émilie Lefel,埃米莉·拉菲尔
Jeanne Hébuterne,珍妮·赫布特尼
Leonor Varela,蕾奧娜·華莉拉
Ludovic Obraniak,奧布拉尼亞克
Chrétien-Louis-Joseph de Guignes,小德金
Marie Trintignant,瑪麗·特蘭蒂尼昂
Marguerite de France,法兰西的玛格丽特
Renée de France,法蘭西的胡妮
Rokia Traoré,若奇雅·特勞瑞
Émile de Girardin,埃米爾·德·吉拉丹
Émile de Najac,埃米尔·德纳雅克
Capucine,嘉寶仙
Inès de La Fressange,伊娜絲·德·拉·弗拉桑热
Maurice André,莫里斯·安德烈
Louis Anquetin,路易·安克坦
Marie Touchet,玛丽·图谢
Bruno Massot,布鲁诺·马索
Arletty,阿尔莱蒂
Alix de France,法蘭西之阿利克斯
Jean-Hilaire Aubame,让-伊莱尔·奥巴姆
Stephanie Szostak,史黛芬妮·紹姿塔克
Jacques Maritain,雅克·马里顿
Michel Fourniret,米歇尔·富尔尼雷
Joseph-Louis Gay-Lussac,约瑟夫·路易·盖-吕萨克
Georges Charpak,乔治·夏帕克
Soko,史蒂芬妮·索科林斯基
Maxime Vachier-Lagrave,马克西姆·瓦谢尔-拉格拉夫
Albert Fert,阿尔贝·费尔
Juliette Récamier,雷加米埃夫人
Frédéric Mitterrand,弗雷德里克·密特朗
Bertrand Delanoë,贝特朗·德拉诺埃
Marcel Pagnol,馬瑟·巴紐
Jacques Delors,雅克·德洛爾
Émile Augier,奥日埃
Jean-Jacques Annaud,讓-雅克·阿諾
Jeanne de France,法蘭西的讓娜
Marie de France,香檳伯爵夫人法蘭西的瑪格麗特
Émile Borel,埃米尔·博雷尔
Louise-Henriette de Bourbon,路易絲·亨麗埃特·德·波旁
Louise d'Artois,法國的路易絲·瑪麗泰蕾絲
Maryse Alberti,瑪麗絲·阿爾貝蒂
Françoise Dorléac,弗朗索瓦丝·多莱亚克
Marie Myriam,玛丽·米里亚姆
Guillaume de Tonquédec,約翰·彼得斯
Sandrine Bailly,桑德里娜·巴伊
Clara Morgane,克拉拉·摩根
Willy Kurant,威利·寇蘭特
Éric Aumonier,依列·奧蒙涅爾
Thierry Henry,蒂埃里·亨利
Éric-Emmanuel Schmitt,埃里克-埃马纽埃尔·施米特
Éric Andrieu,埃里克·安德里厄
Alice Miller,愛麗絲·米勒
Joseph-Antoine Poniatowski,约泽夫·波尼亚托夫斯基
Pascal Collasse,帕斯科·科拉斯
Jean-Yves Berteloot,让-伊夫·贝特鲁
Émilienne d'Alençon,艾蜜莉·戴隆松
Georges Maspero,喬治·馬伯樂
Yolande de Bourgogne,勃艮第的約蘭德
Érard de Brienne-Ramerupt,布瑞涅-兰伯特的艾拉德
Philippe Léotard,菲利普·萊奧塔爾
Eugène de Beauharnais,欧仁·德·博阿尔内
Cécile Chaminade,塞西莉·夏米娜德
Victor Vasarely,维克多·瓦沙雷
Hélène Dutrieu,埃莱娜·迪特里厄
Nathalie Péchalat,娜塔莉·佩扎拉特
Bathilde d'Orléans,巴蒂爾德 (奧爾良郡主)
Érard II de Brienne,埃拉尔二世
Man Ray,曼·雷
Victor Maurel,维克多·莫雷尔
Élodie Bouchez,愛露蒂·寶芝
Dora Maar,朵拉·瑪爾
Roger de Barbarin,罗歇·德巴尔巴兰
Léopold Sédar Senghor,利奥波德·塞达尔·桑戈尔
Daniel Sangouma,达尼埃尔·桑古马
Jean Rostand,让·罗斯丹
Éric Briffard,埃里克·布里法尔
Éric Buffetaut,艾力克·巴菲陶特
Louis Néel,路易·奈耳
Jean Bernard Jauréguiberry,贝尔纳·若雷吉贝里
Louise Labé,路易丝·拉贝
Max Ernst,马克斯·恩斯特
Robert Doisneau,罗伯特·杜瓦诺
Madeleine de Scudéry,史居里女勳爵
Odilon Redon,奥迪隆·雷东
Léon Jouhaux,莱昂·儒奥
Isabelle de France,伊莎贝尔
Amélie d'Orléans,埃米利亞 (奧爾良)
Jean-Louis Fousseret,让-路易·富塞雷
Patrick Lapeyre,派屈克·拉佩爾
Pi Hongyan,皮红艳
Gnassingbé Eyadema,纳辛贝·埃亚德马
François Arago,弗朗索瓦·阿拉戈
Théodore Dubois,提奥多·杜布瓦
Carole Montillet,卡萝勒·蒙蒂耶
Sandrine Testud,桑德琳·泰斯圖德
Éric Demarsan,艾瑞克·德瑪頌
Alessandra Martines,亚历桑德拉·马提尼斯
Catherine de Navarre,凱撒琳
Germaine de Foix,富瓦的日爾曼妮
Louis François Jean Chabot,路易·夏博
André Derain,安德烈·德兰
Arthur Morin,阿蒂尔·莫兰
Sofia Boutella,索菲亚·波多拉
Edgar Degas,埃德加·德加
Sophie Calle,蘇菲·卡爾
Lorie,萝莉
Louis-Alexandre Berthier,路易斯·亚历山大·贝尔蒂埃
Patrick Vieira,帕特里克·维埃拉
Philippe d'Orléans,腓力二世
Henri Rousseau,亨利·盧梭
Juliette Gréco,朱丽叶·格雷科
Corinne Cléry,科琳·克莱里
Deanna Durbin,狄安娜·竇萍
Yvonne Prévost,海倫·普雷沃斯特
Caroline Garcia,卡罗琳·加西亚
Louis-Claude de Saint-Martin,路易·克勞德·聖-馬丁
Pierre Boulez,皮埃尔·布莱兹
Julien Benda,朱利安·班達
Éric Elmosnino,埃里克·埃尔莫斯尼诺
Éric Fottorino,埃里克·福托里诺
Éric Gautier,埃里克·高蒂尔
Pierre Ballester,皮埃尔·巴莱斯特
Jeanne de Penthièvre,龐蒂耶夫的讓娜
Georges Rouault,乔治·鲁奥
Marie-Claire Alain,玛丽-克莱尔·阿兰
Isabelle de Lorraine,伊莎貝拉 (洛林)
Ivan Bounine,伊凡·阿列克谢耶维奇·蒲宁
Max Jacob,馬克斯·雅各布
Pierre Bourdieu,皮耶·布迪厄
Anne de Pisseleu,安娜·德·皮斯勒·代伊
Christine de Lorraine,克里斯蒂娜·洛林
Éric Millot,艾瑞克·米洛特
Éric Navet,埃里克·纳韦
Éric Poulat,艾瑞克·普拉特
Marie Anne de Bourbon,"Marie Anne,Conti公主"
Valérie Lemercier,瓦莱丽·勒梅西埃
Jules Goux,朱尔·古
Catherine de Valois-Courtenay,瓦盧瓦的凱瑟琳
Marc Boegner,马克·布埃尼耶
Alison Moyet,艾莉森·莫耶
Éric Caravaca,埃里克·卡拉瓦卡
Fred Vargas,弗雷德·瓦格斯
Madame de Lafayutte,拉斐特夫人
Amaury Vassili,阿莫里·瓦西里
Andrée Joly,安德烈·布吕内
Éric Woerth,埃里克·沃尔特
André Gide,安德烈·紀德
Romain Rolland,罗曼·罗兰
Éric Zemmour,埃里克·泽穆尔
Éric de Rothschild,埃里克·罗斯柴尔德
Guillaume Rufin,基雷姆·魯芬
Éric Di Meco,埃里克·迪梅科
Marie NDiaye,玛丽·恩迪亚耶
La Goulue,拉·古留
Arsène Wenger,阿尔塞纳·温格
Jorge Semprún,豪爾赫·森普倫
Marie de Bourgogne,勃艮第的瑪麗
Yann Tiersen,扬·提尔森
Henri Cartier-Bresson,亨利·卡蒂尔-布雷松
Georges Perec,喬治·佩雷克
Marquise de Sévigné,塞维涅夫人
Henri Padé,恩利·巴德
Lucien Febvre,呂西安·費夫爾
Mathilda May,玛蒂尔达·梅
Éric Rabésandratana,埃里克·拉贝桑德拉塔纳
Marie Françoise Élisabeth de Savoie,薩伏依的瑪麗亞·法蘭西絲卡
Blanche de Valois,瓦盧瓦的布朗歇
Françoise-Marie de Bourbon,弗朗索瓦絲·瑪麗·德·波旁
Marc Bloch,馬克·布洛克
Linda Maria Baros,琳达·馬利亞·巴洛斯
Clémentine d'Orléans,克萊芒蒂娜公主 (奧爾良)
Pierre Mauroy,皮埃尔·莫鲁瓦
Éric Hélary,埃里克·西拉里
Bruno Walter,布鲁诺·瓦尔特
Sonia Rykiel,桑麗卡·里基耶
Eunice Barber,尤妮斯·巴贝尔
Suzanne Valadon,蘇珊·瓦拉東
Éric de Moulins-Beaufort,依列·德穆兰-博福尔
György Kurtág,库塔格·捷尔吉
Eugénie de Montijo,歐仁妮·德·蒙蒂荷
Adélaïde de France,法蘭西的阿德萊德
Ernest Renan,埃内斯特·勒南
Hélène d'Orléans,伊蓮娜 (奧爾良公主)
Marie Walewska,玛丽·瓦莱夫斯卡
Étienne-Gabriel Morelly,摩莱里
Nancy Huston,南希·休斯頓
Sébastien Vieilledent,塞巴斯蒂安·维埃耶当
Charlotte Marguerite de Montmorency,夏綠蒂·瑪格莉特·德·蒙莫朗西
Adolphe Crémieux,阿多尔夫·克雷米厄
Paul Durin,保罗·迪兰
Marie-Antoinette,玛丽·安托瓦内特
Mathilde Bonaparte,瑪蒂爾德·波拿巴，聖多納托王妃
Madeleine Renaud,马德莱娜·雷诺
Mathilde Kschessinska,玛蒂尔达·克舍辛斯卡娅
Laura Flessel-Colovic,劳拉·弗莱塞尔-科维克
Bernard Gravier,贝尔纳·格拉维耶
Gaël Givet,盖尔·吉韦
Tessa Worley,特萨·沃利
Louise de Coligny,路易斯·德·科利尼
Claire Denis,克萊兒·德尼
Alexa Davalos,艾莉克莎·黛沃洛斯
Mathilde Seigner,玛蒂尔德·瑟妮
Benoît Delhomme,班奈·德洪
Assia Djebar,阿西娅·杰巴尔
Francis Picabia,弗朗西斯·毕卡比亚
Cécile Aubry,塞西爾·奧布里
Étienne François de Choiseul,艾蒂安·弗朗索瓦 (舒瓦瑟尔公爵)
Isabelle d'Orléans,伊莎貝爾 (奧爾良公主)
Alphonsine Plessis,玛丽·迪普莱西
Fernand Léger,费尔南·莱热
Nicolas-Charles Oudinot,尼古拉·夏尔·乌迪诺
Albert Schweitzer,阿尔贝特·施韦泽
Marivaux,皮耶·德·馬里沃
Alexandra Rosenfeld,亚历山德拉·罗森菲尔德
Valentina Vargas,凡倫提亞·瓦哥斯
Marcel Marceau,馬歇·馬叟
Georges Feydeau,乔治·费多
François Darlan,弗朗索瓦·达尔朗
Charles V de Lorraine,查理五世
René Fonck,勒內·豐克
Romain Gary,罗曼·加里
Étienne Bacrot,艾蒂安·巴克洛
Éric Valli,艾瑞克·瓦利
Catherine Breillat,凱特琳·布蕾亞
Bernadette Lafont,贝尔纳黛特·拉丰
Alberto Giacometti,阿爾伯托·賈科梅蒂
Surya Bonaly,蘇利亞·包娜麗
Cornelius Castoriadis,科內利烏斯·卡斯托里亞迪斯
Claude-Louis-Hector de Villars,克洛德·路易·埃克托尔·德·维拉尔
Marie-Louise d'Autriche,瑪麗·路易莎
Joris Ivens,尤里斯·伊文思
Étienne Maurice Falconet,艾蒂安·莫里斯·法尔科内
Étienne Maurice Gérard,艾蒂安·莫里斯·热拉尔
Didier Drogba,迪迪埃·德罗巴
Rama Yade,哈玛·亚德
Régine Cavagnoud,雷吉纳·卡瓦诺德
Karen Lancaume,凯伦·兰考姆
Delphine Seyrig,德尔菲娜·塞里格
Charles Lucien Bonaparte,夏尔·吕西安·波拿巴
Isabelle d'Orléans-Bragance,伊莎貝爾公主
Marie-Christine Barrault,玛丽‑克里斯汀·巴洛特
Nikola Karabatic,尼古拉·卡拉巴蒂奇
Vincent Auriol,樊尚·奥里奥尔
René Coty,勒内·科蒂
Paul Henri Balluet d'Estournelles de Constant,保罗-亨利-邦雅曼·德斯图内勒·德康斯坦
Uffie,俄菲
Pascale Arbillot,帕斯卡尔·艾比略特
Jean de La Fontaine,让·德·拉封丹
Elsa Lunghini,埃尔莎·朗基尼
Marguerite Ire de France,瑪格利特一世 (勃艮第女伯爵)
Étienne Eustache Bruix,艾蒂安·厄斯塔什·布吕克斯
Marie-Anne Lenormand,玛丽-安娜·勒诺芒
Jean-Michel Frank,让-米歇尔·弗兰克
François Guizot,弗朗索瓦·基佐
Louis-Gaston de Sonis,路易斯-加斯顿·德·索尼斯
René Boulanger,勒内·布朗热
Marie Laforêt,玛丽·拉福莱
Sheila,希拉
Jacqueline de Romilly,雅克琳娜·德·罗米莉
Robert Estienne,罗伯特·司提反
Isabelle Carré,伊莎貝‧卡蕾
Étienne Becker,埃蒂安·贝克尔
Étienne Bazeries,艾蒂安·巴澤里
Étienne Boileau,厄特讓·布瓦洛
Étienne-Jules Marey,艾蒂安-朱尔·马雷
Étienne-Louis Boullée,艾蒂安-路易·布雷
Jules Dassin,朱爾斯·達辛
Chantal Akerman,香特尔·阿克曼
Elena Poniatowska,艾莉娜·波尼亞沃斯卡
Robert II d'Artois,阿图瓦的罗伯特二世
Charlotte Bonaparte,夏洛特·波拿巴
Valerie Harper,薇樂莉·哈波
Louis-Nicolas Davout,路易·尼古拉·达武
Étienne Brûlé,艾蒂安·布鲁尔
Étienne Cabet,埃蒂耶纳·卡贝
Marguerite de Blois,布卢瓦的玛格丽特
Marie-Josée Croze,瑪麗·喬絲·克魯茲
Étienne-René Potier de Gesvres,斯德望-雷納圖斯·博天·德·熱斯夫雷
Étienne Bally,艾蒂安·巴利
Étienne Balibar,艾蒂安·巴里巴尔
Simone Weil,西蒙娜·韦伊
Albert Lebrun,阿尔贝·勒布伦
Pauline Parmentier,寶林·芭蒙蒂亞
Alfred Chanzy,安托万·尚齐
Marie-Caroline de Bourbon-Siciles,兩西西里公主瑪麗亞·卡洛麗娜
Patrice de Mac Mahon,帕特里斯·麦克马洪
Pierre de Ronsard,皮埃尔·德·龙萨
Hortense Mancini,奥尔唐斯·曼奇尼
Roger Nimier,罗歇·尼米耶
Christian Dior,克里斯汀·迪奧
Cléopâtre Darleux,克莱奥帕特·达勒
Robert Nivelle,罗贝尔·尼维勒
Blaise de Vigenère,布莱斯·德·维吉尼亚
Marina Anissina,瑪莉娜·阿妮西娜
Julie Dreyfus,朱莉·德赖弗斯
Monique Wittig,維蒂格
Étienne Chatiliez,艾汀·夏帝耶
Étienne-Charles de Loménie de Brienne,艾蒂安·夏尔·德·洛梅尼·德·布里耶纳
Étienne Chicot,伊什尼·齐科特
Henri Lehmann,亨利·萊曼
Agnès Jaoui,艾格妮絲夏薇依
Louise Bourgeois,路易丝·布儒瓦
Albert Ier,阿爾伯特一世
Mylène Demongeot,米琳娜·德蒙若
sœur Emmanuelle,以馬內利修女
Daniel François Esprit Auber,达尼埃尔·奥柏
Charlotte-Aglaé d'Orléans,奧爾良的夏洛特·埃德利
Hugues Aufray,于格·奥弗雷
Sandrine Kiberlain,桑特琳娜·基貝蘭
Marie de Bourbon-Montpensier,蒙特庞谢公爵夫人玛丽·德·波旁
Hélène Ségara,伊莲娜·西嘎贺
Steve Houanard,史蒂夫·霍安纳德
Jean Monnet,让·莫内
Étienne Fouvry,艾蒂安·福维
Ferdinand Zecca,费迪南·齐卡
Anne Golon,安妮·戈隆
Tsugouharu Foujita,藤田嗣治
Emmanuelle Arsan,埃马纽埃尔·阿山
Édouard Vuillard,爱德华·维亚尔
Adhémar de Monteil,勒皮主教阿希马尔
Pierre Clostermann,皮埃爾·克洛斯特曼
François-René de Chateaubriand,弗朗索瓦-勒内·德·夏多布里昂
Julie Depardieu,茱莉·德帕迪约
Louis Couperin,路易·庫普蘭
Louise Françoise de Bourbon,路易絲·弗朗索瓦絲·德·波旁
Christian Herter,克里斯蒂安·赫脱
Georges Courteline,乔治·库特利纳
Nicolas Oudinot,查爾斯·奧迪諾
Denise Perrier,德妮丝·佩里耶
Marie d'Orléans,玛丽，符騰堡公爵夫人
Marion Josserand,玛丽昂·若斯朗
André Rigaud,安德烈·里戈
Zacharie Astruc,澤卡利·亞斯楚克
Alice Guy,爱丽丝·居伊-布拉切
François Magendie,弗朗索瓦·馬根迪
Jean Renoir,讓·雷諾阿
Étienne Clavière,艾蒂安·克拉維埃
Étienne Daho,伊天·達荷
Pascal Bonitzer,巴斯可·波尼茨
Henriette de Nevers,訥韋爾的亨麗埃特
Étienne-François Geoffroy,艾蒂安·弗朗索瓦·若弗魯瓦
César Franck,塞萨尔·弗兰克
Marie-France Pisier,玛丽·弗朗丝·皮西尔
Joann Sfar,尤安·史法
Adolphe Marbot,阿道夫·马尔博
François Couperin,弗朗索瓦·库普兰
Éric Rohmer,伊力·盧馬
Paul Mauriat,保罗·莫里哀
Édith Auffray,伊迪絲Auffray
Patricia Kaas,派翠西亚·凯丝
Richard Clayderman,理查德·克莱德曼
Marcellin Marbot,马塞兰·马尔博
Allan Kardec,阿朗·卡尔代克
Joseph Louis Proust,约瑟夫·普鲁斯特
Danielle Rousseau,達妮艾爾·盧梭
Paul Le Guen,保羅·勒岡
Lucie Décosse,露西·德科斯
Julia Kristeva,茱莉亞·克莉斯蒂娃
Marie-Laure Brunet,玛丽-洛尔·布吕内
Jacques Tati,賈克·大地
Marie Casimire Louise de La Grange d'Arquien,玛利亚·卡西米尔
Michèle Torr,蜜雪兒托爾
Roger Garaudy,罗杰·加洛蒂
Raymond Aron,雷蒙·阿隆
Marie-Louise-Élisabeth d'Orléans,瑪麗-路易絲-伊莉莎白
Yohann Rivière,约翰·里维埃
Étienne Gilson,埃基安·吉尔森
Étienne Jeaurat,艾蒂安·热拉
Sylvie Vartan,雪兒薇·瓦丹
Marina Vlady,玛丽那·维拉迪
Jean-Claude Pecker,讓-克勞德·派克
Gaston Rébuffat,加斯东·雷比法
Bertrand Gille,贝特朗·吉勒
Françoise Dürr,弗朗索瓦絲·杜爾
Louis Leroy,路易·樂華
Peter Brook,彼得·布魯克
Louis XVII,路易十七
Olivier Blanchard,奧利維爾·布蘭查德
Étienne Marie Antoine Champion de Nansouty,艾蒂安·德·南苏蒂
Ossip Zadkine,奥西普·扎德金
Henri Michaux,亨利·米肖
Étienne Mattler,艾蒂安·馬特勒
Marlène Harnois,馬琳·哈諾伊斯
Chaïm Soutine,柴姆·苏丁
Étienne Périer,西安娜·佩里尔
Louise d'Épinay,德皮奈夫人
Gilbert Bécaud,吉尔贝·贝科
Mathé Altéry,馬瑟·阿爾泰里
Xavier Tartakover,萨维利·塔塔科维
Horace Vernet,奥拉斯·韦尔内
Christa Ludwig,克里絲塔·路德維希
