"Фоменко, Анатолий Тимофеевич",阿纳托利·季莫费耶维奇·福缅科
"Садова, Наталья Ивановна",纳塔利娅·萨多娃
"Гордеева, Екатерина Александровна",叶卡捷琳娜·戈蒂耶娃
"Уствольская, Галина Ивановна",加琳娜·乌斯特沃尔斯卡娅
"Дьяченко, Виталия Анатольевна",維塔莉婭·蒂雅琴科
"Кондакова, Елена Владимировна",叶莲娜·孔达科娃
"Онуфриенко, Юрий Иванович",尤里·奥努夫里恩科
"Алексеев, Евгений Владимирович",叶夫根尼·弗拉基米罗维奇·阿列克谢耶夫
Наташа Королёва,娜塔莎·科罗廖娃
"Власов, Виктор Алексеевич",维克托·弗拉索夫
"Полещук, Александр Фёдорович",亚历山大·波列修克
"Варенников, Валентин Иванович",瓦连京·瓦连尼科夫
"Бураго, Юрий Дмитриевич",尤里·布拉戈
"Корзун, Валерий Григорьевич",瓦列里·科尔尊
"Гасанбеков, Ибрагим Гасанбекович",伊布拉希姆·佳森别科夫
"Овчаренко, Артём Вячеславович",阿尔乔姆·奥夫查连科
"Зеляева, Валентина Андреевна",瓦伦蒂娜·赞亚娃
"Голикова, Татьяна Алексеевна",塔季扬娜·戈利科娃
"Пахмутова, Александра Николаевна",亚历珊德拉·巴赫慕托娃
"Живаневская, Нина Александровна",尼娜·日瓦涅夫斯卡娅
"Авдеева, Юлианна Андреевна",尤利安娜·阿夫杰耶娃
"Тарелкин, Евгений Игоревич",叶夫根尼·塔列尔金
"Эстес, Евгения Викторовна",叶夫根尼娅·埃斯蒂斯
"Мухина, Елена Вячеславовна",埃琳娜·穆希娜
"Зуева, Марина Олеговна",瑪麗娜·祖耶娃
"Фридзон, Виталий Валерьевич",維塔利·弗里德佐恩
"Цой, Анита Сергеевна",阿妮塔·崔
"Заславская, Татьяна Ивановна",塔季扬娜·扎斯拉夫斯卡娅
"Плисецкая, Майя Михайловна",瑪雅·普利謝茨卡婭
"Родина, Евгения Сергеевна",葉芙戈尼亞·羅迪娜
"Ильина, Вера Сергеевна",维拉·伊莲娜
"Любимов, Юрий Петрович",尤里·彼得罗维奇·柳比莫夫
"Коваль, Жорж Абрамович",乔治·科瓦尔
Орига,Origa
"Николаева, Татьяна Петровна",塔季扬娜·尼古拉耶娃
"Дзюба, Артём Сергеевич",阿尔乔姆·久巴
"Голованов, Владимир Семёнович",弗拉基米尔·戈洛瓦诺夫
"Лихачёв, Дмитрий Сергеевич",德米特里·利哈乔夫
"Перминова, Наталья Андреевна",娜塔莉亚·佩米诺娃
"Маврина, Татьяна Алексеевна",塔季扬娜·玛芙丽娜
"Ледяхов, Игорь Анатольевич",伊戈尔·列迪亚霍夫
"Бажина, Надежда Валерьевна",娜傑日達·巴任娜
"Никифоров, Юрий Валерьевич",尤里·尼基福罗夫
"Кукушкин, Михаил Александрович",米哈伊爾·庫庫什金
"Патрикеев, Юрий Николаевич",尤里·帕特里克耶夫
"Манкиев, Назир Юнузович",纳济里·曼基耶夫
"Митрохин, Василий Никитич",瓦西里·米特罗欣
"Федотов, Юрий Викторович",尤里·维克托罗维奇·费多托夫
"Пивоварова, Александра Игоревна",萨莎·皮沃瓦罗娃
"Евстюхина, Надежда Александровна",娜杰日达·叶夫斯秋欣娜
"Каширина, Татьяна Юрьевна",塔季扬娜·卡希林娜
"Демченко, Альберт Михайлович",阿爾伯特·傑姆琴科
"Пресняков, Игорь Витальевич",伊戈尔·普列斯尼亚科夫
"Пейчинович, Неманья",內馬尼亞·佩伊西諾維奇
"Сухоруков, Александр Николаевич",亚历山大·苏霍鲁科夫
"Сураев, Максим Викторович",马克西姆·苏拉耶夫
"Дмитриев, Артур Валерьевич",阿圖爾·德米特里耶夫
"Урубко, Денис Викторович",丹尼斯·纽博克
"Леонов, Евгений Павлович",叶夫根尼·列昂诺夫
"Брежнева, Виктория Петровна",维多利亚·勃列日涅娃
"Строкоус, Дарья Владимировна",黛莉雅·斯托寇思
"Рыжиков, Сергей Викторович",谢尔盖·维克托罗维奇·雷日科夫
"Черенков, Фёдор Фёдорович",费奥多尔·切连科夫
"Айвазян, Артур Суренович",阿尔图尔·艾瓦江
"Удальцов, Сергей Станиславович",谢尔盖·乌达利佐夫
"Силаев, Иван Степанович",伊万·西拉耶夫
"Козак, Дмитрий Николаевич",德米特里·科扎克
"Чаплин, Всеволод Анатольевич",弗谢沃洛德·卓别林
"Накаряков, Сергей Михайлович",謝爾蓋·納卡里亞科夫
"Турей, Эмилия Халсбериевна",叶米利娅·图雷
"Улицкая, Людмила Евгеньевна",柳德米拉·烏利茨卡婭
"Забелинская, Ольга Сергеевна",奥莉加·扎别林斯卡娅
"Фесикова, Анастасия Валерьевна",阿纳斯塔西娅·费西科娃
"Намчылак, Сайнхо",珊蔻·娜赤娅克
"Мустафина, Алия Фархатовна",阿莉娅·穆斯塔芬娜
"Захарова, Светлана Юрьевна",斯韋特蘭娜·扎哈羅娃
"Образцова, Елена Васильевна",葉連娜·奧布拉兹佐娃
"Строев, Егор Семёнович",伊戈尔·斯特罗耶夫
"Тарасова, Татьяна Анатольевна",塔季扬娜·塔拉索娃
"Линичук, Наталья Владимировна",納塔利婭·林伊丘克
"Бутырская, Мария Викторовна",玛丽亚·布特尔斯卡娅
"Панова, Татьяна Юрьевна",塔提亞娜·帕諾娃
"Журова, Светлана Сергеевна",斯韦特兰娜·茹罗娃
"Хейдиз, Лена Алексеевна",莉娜·哈得斯
"Самойлова, Татьяна Евгеньевна",塔季扬娜·萨莫伊洛娃
"Романова, Вера Константиновна",薇拉·康斯坦丁諾芙娜·(1906-2001)
"Гриньков, Сергей Михайлович",谢尔盖·格林科夫
"Губарев, Алексей Александрович",阿列克谢·古巴列夫
"Глазков, Юрий Николаевич",尤里·格拉兹科夫
"Березовой, Анатолий Николаевич",阿纳托利·别列佐沃伊
"Шахин, Рамазан",拉马赞·沙欣
"Качанов, Роман Абелевич",羅曼·卡察諾夫
"Железняков, Александр Борисович",亚历山大·鲍里索维奇·热列兹尼亚科夫
"Грачёв, Денис Валерьевич",丹尼斯·格拉切夫
"Петров, Денис Алексеевич",丹尼斯·佩特诺夫
"Осипов, Денис Андреевич",丹尼斯·奥西波夫
"Шафран, Даниил Борисович",丹尼尔·夏弗朗
"Нагибин, Юрий Маркович",尤里·纳吉宾
"Гафурзянова, Камилла Юсуфовна",卡米拉·加富尔贾诺娃
"Шмелёва, Дарья Михайловна",达里娅·什梅廖娃
"Дериглазова, Инна Васильевна",因娜·德里格拉佐娃
"Черкесов, Виктор Васильевич",维克多·切尔科索夫
"Солопов, Игорь",伊戈尔·索洛波夫
"Тютин, Игорь Викторович",伊戈尔·秋京
"Шанаева, Аида Владимировна",艾达·恰纳耶娃
"Манский, Виталий Всеволодович",维塔利·弗谢沃洛多维奇·曼斯基
"Оганесян, Юрий Цолакович",尤里·奥加涅相
"Суслина, Инна Евгеньевна",因娜·苏斯林娜
"Сорокина, Валерия Михайловна",瓦莱里亚·索罗金娜
"Виноградов, Павел Владимирович",帕维尔·维诺格拉多夫
"Лиознова, Татьяна Михайловна",塔季扬娜·丽奥兹诺娃
"Титов, Владимир Георгиевич (космонавт)",弗拉基米尔·季托夫
"Табаков, Олег Павлович",奥列格·塔巴科夫
"Шарифов, Шариф Наидгаджавович",沙里夫·沙里福夫
"Чухрай, Григорий Наумович",格里戈里·丘赫莱伊
"Тищенко, Елизавета Ивановна",伊丽莎韦塔·蒂什申科
"Косинцева, Татьяна Анатольевна",塔季扬娜·科辛采娃
"Косинцева, Надежда Анатольевна",娜杰日达·科辛采娃
"Таривердиев, Микаэл Леонович",米卡埃尔·塔里弗迪夫
"Доброскок, Дмитрий Михайлович",德米特里·多布罗斯科克
"Соловьёв, Дмитрий Владимирович",德米特里·索洛维耶夫
"Семёнов, Юлиан Семёнович",尤利安·谢苗诺夫
"Кондратьев, Дмитрий Юрьевич",德米特里·孔德拉季耶夫
"Рослякова, Влада",弗拉達·洛絲亞珂娃
"Штыров, Вячеслав Анатольевич",维亚切斯拉夫·什特罗夫
"Джанибеков, Владимир Александрович",弗拉基米尔·贾尼别科夫
"Зыкина, Людмила Георгиевна",柳德米拉·泽金娜
"Галлямова, Алиса Михайловна",阿莉莎·加里亚莫娃
