Beijing,北京
Shichang Linchang,石场林场
Shibapancun,十八盘村
Shenquansi,神泉寺
Shenjingzicun,深井子村
Shenjiadiancun,后申家店
Shengli,胜利
Shenglicun,胜利村
Shaozihecun,哨子河村
Shangzhi Shi,尚志市
Shangyi Xian,尚义县
Shangkuli,上库力乡
Shangji,上集镇
Shangdu Xian,商都
Shalan,沙兰镇
Shahukoucun,杀虎口村
Huailai,怀来
Sanzhancun,三站村
Sansuotongcun,三梭通村
Sanshancun,三山
Sanhezhancun,三合站村
Sanhe,三合
Sandaoliangcun,三道梁
Sandaogoucun,三道沟村
Sanchakou,三岔口
Fuyu,扶余
Saihan Tal,Saihantala
Renmin,任民
Raohe Xian,饶河县
Quanxiaocun,全孝村
Qiyahe,奇雅河
Qixingpao Nongchang,七星泡
Qiumuzhuangcun,秋木庄村
Qingyuan Manzu Zizhixian,清原
Qingshilacun,青石砬村
Qingshancun,青山村
Qinglongqiao,青龙桥
Qinglong Manzu Zizhixian,青龙
Qinglong,青龙
Qinghei Shan,青黑山
Qinghe,清河街道
Qinggang Xian,青冈县
Qingbaikou,青白口
Qing’an Xian,庆安县
Qijiazicun,七家子
Qifengcha,崎峰茶
Qiaotou,桥头
Qianxi Xian,迁西县
Guta,古塔
Qian Gorlos Mongol Zu Zizhixian,前郭尔罗斯
Qian’an Xian,乾安县
Qian’an Shi,迁安
Qahar Youyi Zhongqi,察哈尔右翼中旗
Qahar Youyi Qianqi,察哈尔右翼前旗
Qahar Youyi Houqi,察哈尔右翼后旗
Pohubucun,破虎堡村
Pingyang,平阳
Pingquan Xian,平泉县
Pingquan,平泉
Pinggu,平谷
Pihecun,琵河
Pianlingcun,偏岭村
Panshi Shi,磐石市
Panshan Xian,盘山县
Pan Shan,盘山
Oupu,鸥浦
Oroqen Zizhiqi,鄂伦春
Ongniud Qi,翁牛特旗
Nong’an Xian,农安
Niuxindingcun,牛心顶村
Ningcheng Xian,宁城县
Ning’an Shi,宁安
Ning’an,宁安市
Nenjiang County,嫩江县
Nehe Shi,讷河市
Naodahan,闹达罕
Nanshuangdongcun,南双洞村
Nanhutou Jingyingsuo,南湖头经营所
Gushanzicun,孤山子村
Nangoucun,南沟村
Nanfencun,南芬
Naitou,奶头村
Naiman Qi,奈曼旗
Mutoudeng,木头凳
Muling Shi,穆棱市
Muleng,穆棱
Mulan Xian,木兰
Morin Dawa Daurzu Zizhiqi,莫力达瓦达斡尔族
Mo’er Daoga,莫尔道嘎
Mohe,漠河
Moguqi,蘑菇气镇
Miyun Xian,密云县
Miyun,密云
Mishan Shi,密山市
Minzhucun,民主
Minjiacun,闵家村
Mingshui Xian,明水
Miaofeng Shan,妙峰山
Mianduhe,免渡河
Meixi,美溪
Meihekou Shi,梅河口
Mayan,马延乡
Maqiaohe,马桥河镇
Manzhoupocun,满洲坡
Manzhouli Shi,满洲里市
Manjingcun,满井村
Manggetucun,莽格吐村
Malianqucun,马连渠
Maquancun,马圈
Majiagangcun,马家岗村
Madidacun,马滴达村
Luotuogoucun,骆驼沟
Luojiawacun,罗家洼
Luobei Xian,萝北县
Luguocun,芦果村
Ludaocun,鹿道村
Luanping Xian,滦平县
Longzhuagoucun,龙爪沟村
Longshuicun,龙水村
Longjing Shi,龙井市
Longjiang Xian,龙江
Longjiang Hu,龙江湖
Longhua Xian,隆化
Erdaogangcun,二道岗
Longchuancun,龙船
Liushuhe Linchang,柳树河子村
Liuhekoucun,柳河口
Lisui,李遂
Lishu Xian,梨树
Linxi Xian,林西
Linkou Xian,林口县
Linhe Qu,临河区
Lingyuan Shi,凌源市
Ling Shan,东灵山
Lindian Xian,林甸
Lindian,林甸
Lijiacun,李家村
Lihuacun,里化村
Liaozhong Xian,辽中县
Liaoyang County,辽阳县
Liaodong Wan,遼東灣
Lianhuacun,莲花村
Liangjiazhuangcun,梁家庄村
Liangcheng Xian,凉城县
Laozhazicun,老栅子
Laoye Ling,老爷岭
Laogugoucun,老古沟村
Laocheng,老城
Lanxi Xian,兰西
Langwogoucun,狼窝沟
Lahaigoucun,拉海沟村
Kuandian Manzu Zizhixian,宽甸满族自治县
Kuancheng Manzu Zizhixian,宽城满族自治县
Keshan Xian,克山县
Keshan Nongchang,克山农场
Keshan,克山
Keluo,科洛
Kedong Xian,克东
Kaoshancun,靠山村
Kangping Xian,康平县
Kangjin,康金
Kangbao Xian,康保县
Kaiyuan Shi,开原市
Kailu Xian,开鲁县
Kaidaocun,开道
Juyongguan,居庸关
Juqiangcun,拒墙村
Jubaoshancun,巨宝山村
Jubaocun,聚宝
Jixian Xian,集贤
Ji Xian,蓟州区
Jiuzhanbucun,旧站堡村
Jiutai Shi,九台市
Jiudaohecun,九道河村
Jirin Gol,吉仁高勒
Linghai Shi,凌海
Fendou,金山屯区
Jinlin,金林
Jining Qu,集宁区
Jingyu,靖宇
Jingxing,景星
Jidong Xian,鸡东县
Jiayin Xian,嘉荫县
Jiaohe Shi,蛟河市
Ji’an Shi,集安
Jianping Xian,建平县
Jianchang Xian,建昌县
Jarud Qi,扎鲁特旗
Jalaid Qi,扎赉特
Inder,Yinde’er
Huzhong,呼中镇
Hure Qi,库伦
Huo’erqincun,霍尔沁
Huolonggoucun,火龙沟
Hunchun Shi,珲春市
Huma Xian,呼玛县
Hulin Shi,虎林
Hulan Qu,呼兰区
Hujia Buzicun,胡家堡子村
Huinan Xian,辉南县
Huashancun,花山
Huanren Manzu Zizhixian,桓仁满族自治县
Huangyaguancun,黄崖关村
Huangjiuguancun,黄酒馆
Huanghuacheng,黄花城
Huanan Xian,桦南县
Huairou,怀柔
Huairou,怀柔
Huailai Xian,怀来县
Huai’an Xian,怀安县
Huadian Shi,桦甸市
Huade Xian,化德县
Huachuan Xian,桦川县
Housuobucun,后所堡
Horqin Zuoyi Zhongqi,科左中
Horqin Zuoyi Houqi,科尔沁
Horqin Youyi Zhongqi,科尔沁右翼中旗
Horqin Youyi Qianqi,科尔沁
Hongxing,红星
Hongtuya,红土崖
Hongshilacun,红石砬
Hongshilacun,红石砬
Hongshicao,红石槽
Hongluoxian,虹螺岘
Dongwoniutucun,东卧牛吐
Gaotoucun,后高头
Laikecun,小来克
Wanfacun,万发
Shuangfacun,双发村
Shiyingou,石尹村
Wanbaogangcun,万宝岗村
Xiapaicun,下排村
Wanlongcun,万隆村
Sihugou,四湖沟
Xiaowenzigou,小文字沟
Bangcencun,邦岑
Neicuocun,内厝
Qianpucun,前埔村
Tu’ancun,土安村
Jiatangcun,加塘村
Pancuocun,潘厝村
Tingdingcun,亭顶
Zengdaicun,曾埭村
Ganshicun,柑市村
Junbingcun,菌柄
Jin’oucun,金瓯村
Longxiacun,永坑
Hutoucun,湖头
