Portugal,葡萄牙
relações entre Japão e Portugal,日本－葡萄牙关系
Associação Desportiva de Oeiras,奥埃拉什足球俱乐部
Supertaça Cândido de Oliveira de 2005–06,2006年葡萄牙超級盃
Supertaça Cândido de Oliveira de 2006–07,2007年葡萄牙超級盃
Espinho,埃斯皮尼奧
Air Luxor,盧克索航空
Faculdade de Ciências e Tecnologia da Universidade NOVA de Lisboa,新里斯本大学
Taveirense,泰維倫斯
Embaixada da Polónia em Lisboa,波蘭駐葡萄牙大使館
Primeira Liga de 2013–14,2013–14葡超
município de Portugal,葡萄牙市镇
ATP de Estoril,埃斯托里尔公开赛
Confederação da Indústria Portuguesa,葡萄牙工业联合会
Governo Regional dos Açores,亞速爾地區政府
Cidadela de Cascais,卡斯凱什城堡
Taça de Portugal de 2002–03,2002年至2003年葡萄牙盃
Segunda Liga 2013/2014,2013–14葡乙
Campeonato Nacional de Seniores,葡萄牙足球錦標聯賽
Estádio João Cardoso,若昂·卡多佐體育場
Supertaça Cândido de Oliveira de 2002–03,2003年葡萄牙超級盃
Parque Florestal de Monsanto,蒙三托賽道
Ilha do Porto Santo,圣港岛
Taça de Honra da AF Lisboa (1ª Divisão),里斯本荣誉杯
LIVRE,自由/行動時刻
relações entre Bangladesh e Portugal,孟加拉国－葡萄牙关系
Esquadra 504,葡萄牙空军第504中队
Supertaça Cândido de Oliveira de 2013,2013年葡萄牙超級盃
temporada do Sport Lisboa e Benfica de 2013–14,2013年至2014年葡萄牙超級足球聯賽
Cronologia dos descobrimentos portugueses,葡萄牙歷史
Copa do Mundo FIFA de 2030,2030年國際足協世界盃
Associação Desportiva Oliveirense,奥利维拉人
Clube Desportivo de Cinfães,辛方伊體育俱樂部
Paços do Concelho de Lisboa,里斯本市政廳
eleições presidenciais portuguesas de 2016,2016年葡萄牙總統選舉
Portugal no Campeonato do Mundo de Futebol,世界杯足球赛葡萄牙队
Conselho de Ministros,葡萄牙部长会议
Monte Real e Carvide,蒙蒂雷亞爾和卡維德
Estação Cais do Sodré,索德雷碼頭車站
Primeira Liga de 2014–15,2014/15球季葡葡牙超級足球聯賽
Beiras e Serra da Estrela,贝拉斯和塞拉的埃斯特雷拉地方
eleições legislativas regionais na Madeira em 2015,2015年馬德拉地方選舉
Portugal no Campeonato do Mundo de Futebol de 2014,2014年世界杯足球赛葡萄牙队
Web Summit,网络峰会
Arte mudéjar,穆德哈爾藝術
Arroios,阿羅約斯區
Amadora BD,阿馬多拉國際漫畫節
Polícia Judiciária,葡萄牙司法警察
Taça de Portugal de 2013–14,2013年至2014年葡萄牙盃
Hospital Dr. Nélio Mendonça,尼尼羅門多薩醫師醫院
Lista de património edificado em Portugal,葡萄牙建築遺產列表
Vitória de Guimarães B,維多利亞甘馬雷斯B隊
Clube Desportivo da Cova da Piedade,派達德足校會
Viaduto do Corgo,科尔戈高架桥
Singularidades de uma Rapariga Loura,金髮奇女子
cidade de Portugal,葡萄牙城市
Portugal no Festival Eurovisão da Canção 2014,想成为你的伴侣
Embaixada da Suécia em Lisboa,瑞典駐葡萄牙大使館
Coligação PSD/CDS,葡萄牙前進
Eleições presidenciais portuguesas de 1935,1935年葡萄牙总统选举
Eleições presidenciais portuguesas de 1942,1942年葡萄牙总统选举
eleições portuguesas em 1951,1951年葡萄牙總統選舉
eleições presidenciais portuguesas de 1928,1928年葡萄牙总统选举
Igreja de Miranda do Douro,杜羅河畔米蘭達主教座堂
Mosteiro dos Jerónimos e Torre de Belém,里斯本的哲罗姆派修道院和贝伦塔
Museu CR7,CR7博物館
Circuito Internacional de Vila Real,雷阿尔城赛道
Segunda Liga de 2014–15,2014/15球季葡葡牙甲組足球聯賽
Portugal nos Jogos Olímpicos de Inverno de 2014,2014年冬季奧林匹克運動會葡萄牙代表團
eleições parlamentares europeias de 2014 em Portugal,詳情
Fanny Owen,芬妮·歐玟
Beira Baixa,下贝拉地方
Revolta dos Faitiões,十·八慘案
eleições legislativas regionais nos Açores em 2016,2016年亞速地方選舉
Segunda Liga de 2015–16,2015/16球季葡葡牙甲組足球聯賽
Banco Português do Atlântico,葡萄牙第一銀行
Temporada do Sport Lisboa e Benfica de 2015–16,2015年至2016年葡萄牙超級足球聯賽
relações entre Uruguai e Portugal,葡萄牙－烏拉圭關係
relações entre Canadá e Portugal,加拿大－葡萄牙关系
Convento de Nossa Senhora da Arrábida,阿拉碧達修道院
Terras de Trás-os-Montes,山后地方
eleições legislativas portuguesas de 2015,2015年葡萄牙立法選舉
Requisitos de visto para cidadãos portugueses,葡萄牙公民簽證要求
relações entre México e Portugal,墨西哥－葡萄牙关系
Serradura,木糠布甸
West Sea,西海造船
Cruz Vermelha de Macau,澳門紅十字會
Relações entre Andorra e Portugal,安道尔－葡萄牙关系
Embaixada da Noruega em Lisboa,挪威駐葡萄牙大使館
Tâmega e Sousa,塔梅加和索薩
Algarve Cup 2015,2015年阿爾加夫盃
Rivalidade Cristiano Ronaldo–Messi,梅罗之争
A Bola TV,球电视
Primeira Liga de 2015–16,2015年至2016年葡萄牙超級足球聯賽
Taça da Liga de 2015–16,2015年至2016年葡萄牙聯賽盃
"Nós, Cidadãos!",我們，公民！
Partido Unido dos Reformados e Pensionistas,退休及領取養老金人員聯合黨
título nobiliárquico português,葡萄牙贵族头衔
Taça de Portugal de 2016–17,2016年至2017年葡萄牙盃
Póvoa de Santa Iria e Forte da Casa,波瓦桑德圣伊里娅
vila de Portugal,葡萄牙城镇
Juntos pelo Povo,共同為人民
Alentejo,阿連特茹地區
TAP Express,TAP快運航空
deputado da Assembleia da República,葡萄牙共和國議會議員
lista de ministros dos Negócios Estrangeiros de Portugal,葡萄牙外交部長
2016 em Portugal,2016年葡萄牙
XXI Governo Constitucional de Portugal,第21届
Lista de goles de Cristiano Ronaldo pela Seleção Portuguesa de Futebol,克里斯蒂亞諾·羅納度國際賽進球列表
Segunda Liga de 2017–18,2017―18赛季葡萄牙足球甲级联赛
embaixador em Portugal,驻葡萄牙大使
2018 em Portugal,2018年葡萄牙
XX Governo Constitucional de Portugal,第20届
Instituto Politécnico de Tomar,托马尔理工学院
Direção-Geral do Património Cultural,文化遺產總局
Região de Leiria,雷利亚地方
Ministério da Comunicação Social,葡萄牙社會傳播部
Portugal nos Jogos Olímpicos de Inverno de 2018,2018年冬季奧林匹克運動會葡萄牙代表團
Taça do Algarve 2016,2016年阿爾加維盃
relações entre Taiwan e Portugal,中華民國與葡萄牙關係
Cemitério Britânico do Funchal,豐沙爾英國公墓
Tekever,泰克弗
lista de regentes de Portugal,葡萄牙攝政列表
Lista de precursores do cargo de chefe de governo de Portugal,葡萄牙國務大臣
Presidente da Assembleia da República Portuguesa,葡萄牙议会议长
Portugal no Festival Eurovisão da Canção 2018,2018年葡萄牙在歐洲歌唱大賽的表現
Supertaça Cândido de Oliveira de 2017,2017年葡萄牙超級盃
Ordem Militar de Avis,歐維士軍團勳章
Incêndio florestal de Pedrógão Grande de 2017,2017年葡萄牙森林大火
eleições legislativas regionais na Madeira em 2019,2019年馬德拉地方選舉
embaixador de Portugal em França,葡萄牙驻法国大使
"Museu de Arte, Arquitetura e Tecnologia",藝術、建築與科技博物館
Comunidade Intermunicipal do Médio Tejo,中塔霍地方
Estação Reboleira,雷博萊拉站
Algarve Cup de 2017,2017年阿尔加夫杯
entidade Intermunicipal de Portugal,城際共同體
Segunda Liga de 2016–17,2016―17赛季葡萄牙足球甲级联赛
Temporada do Sport Lisboa e Benfica de 2016–17,2016年至2017年葡萄牙超級足球聯賽
eleições legislativas portuguesas de 2019,2019年葡萄牙立法選舉
Liga NOS de 2016–17,2016年至2017年葡萄牙超級足球聯賽
Supertaça Cândido de Oliveira de 2016,2016年葡萄牙超級盃
Portugal nos Jogos Olímpicos de Inverno de 2022,2022年冬季奥林匹克运动会葡萄牙代表团
Real Barraca,皇家營帳
Festival Eurovisão da Canção 2018,2018年歐洲歌唱大賽
cidadão da União Europeia ou do Espaço Económico Europeu,歐盟/EEA公民
eleições parlamentares europeias de 2019 em Portugal,2019年歐洲議會選舉
estrada europeia 90 em Portugal,欧洲E90公路葡萄牙段
Portugal no Campeonato do Mundo de Futebol de 2018,2018年世界盃足球賽葡萄牙代表隊
Iniciativa Liberal,自由倡议
Final da Liga dos Campeões da UEFA de 2019–20,2020年歐洲冠軍聯賽決賽
Fase final da Liga das Nações da UEFA de 2018–19,2019年歐洲國家聯賽總決賽
Associação Recreativa e Cultural de Oleiros,ARC奥莱罗斯
Extinction Rebellion,反抗滅絕
Ataíde,阿塔伊迪
lista de regiões de Portugal por IDH,葡萄牙各區人类发展指数列表
Temporada do Sporting Clube de Portugal de 2017–18,葡萄牙体育足球俱乐部2017―18赛季
Portugal nos Jogos Olímpicos de Verão de 2020,2020年夏季奥林匹克运动会葡萄牙代表团
eleições presidenciais portuguesas de 2021,2021年葡萄牙总统选举
Final da Liga das Nações da UEFA de 2019,2019年欧洲国家联赛决赛
Sport Lisboa e Benfica (Futebol Feminino),里斯本與本菲卡體育女子足球隊
Belenenses SAD,比蘭倫斯SAD
Regimento de Infantaria N.º 11,葡萄牙第11團步兵團
Portugal no Festival Eurovisão da Canção Júnior 2018,2018年葡萄牙在歐洲青少年歌唱大賽之表現
Final da Liga dos Campeões da UEFA de 2020–21,2021年欧洲冠军联赛决赛
estrada europeia 1 em Portugal,欧洲E1公路葡萄牙段
Algarve Cup 2019,2019年阿爾加維盃
2019 em Portugal,2019年葡萄牙
Primeira Liga de 2018–19,2018–19球季葡萄牙足球超級聯賽
Jornada Mundial da Juventude de 2023,2023年世界青年日
Hotel Solaris,索拉瑞斯酒店
Challenger Cup de Voleibol Masculino de 2018,2018年FIVB男子排球挑戰盃
Voo Air Astana KC1388,阿斯塔納航空1388號班機
Cabo Espichel,埃什皮谢尔角
Embaixada dos Estados Unidos em Portugal,美國駐葡萄牙大使館
acidente de autocarro na Ilha da Madeira em 2019,2019年馬德拉巴士意外
Taça da Liga de 2019–20,2019–20年葡萄牙聯賽盃
CHEGA,够了
Portugal no Festival Eurovisão da Canção Júnior 2017,2017年葡萄牙在歐洲青少年歌唱大賽之表現
eleições legislativas regionais nos Açores em 2020,2020年亞速地方選舉
ilha de Portugal,葡萄牙岛屿
Portugal nos Jogos Olímpicos de Verão de 2024,2024年夏季奥林匹克运动会葡萄牙代表团
Presidente da Câmara Municipal de Lisboa,里斯本市长
Ministro da Justiça,葡萄牙司法部长
Primeira Liga de 2019–20,2019–20赛季葡萄牙足球超级联赛
"Igreja de Nossa Senhora da Misericórdia, matriz de Belas, incluindo o património móvel integrado e o adro","Igreja de Nossa Senhora da Misericórdia, matriz de Belas, incluindo o património móvel integrado e o adro"
Futsal do Sport Lisboa e Benfica,里斯本與本菲卡體育
Supertaça Cândido de Oliveira de 2019,2019年葡萄牙超級盃
Futsal do Sporting Clube de Portugal,葡萄牙士砵亭俱樂部
Tobis Portuguesa S.A.,托比斯公司
"Edifício Pedro Álvares Cabral, antigos Armazéns Frigoríficos do Bacalhau, actual Museu do Oriente",東方博物館
Taça da Liga Feminina,葡萄牙女子足球聯賽盃
OGMA - Indústria Aeronáutica de Portugal,葡萄牙航空工业
Miróbriga,米罗布里加
Palácio Hotel do Buçaco,布薩庫宮
Temporada do Sporting Clube de Portugal de 2019–20,葡萄牙体育俱乐部2019–20赛季
Conímbriga,科英布里加遗址
eleições parlamentares europeias de 2024,2024年歐洲議會選舉
pandemia de COVID-19,2019冠狀病毒病疫情
Portugal no Festival Eurovisão da Canção Júnior 2019,2019年葡萄牙在歐洲青少年歌唱大賽之表現
eleições legislativas portuguesas de 2022,2022年葡萄牙立法选举
pandemia de COVID-19 na Europa,2019冠状病毒病欧洲疫情
Volt Portugal,Volt葡萄牙
Eleições legislativas regionais na Madeira em 2023,2023年馬德拉地方選舉
Primeira Liga de 2020–21,2020–21年葡萄牙超級足球聯賽
Eleições autárquicas portuguesas de 2021,2021 年葡萄牙地方選舉
Palácio dos Duques de Lafões,格里罗宫
pandemia de COVID-19 em Portugal,2019冠狀病毒病葡萄牙疫情
Supertaça Cândido de Oliveira de 2020,2020年葡萄牙超級盃
Grande Prêmio de Portugal de 2020,2020年葡萄牙大奖赛
Taça da Liga de 2020–21,2020–21年葡萄牙聯賽盃
Ponte 516 Arouca,阿羅卡516吊橋
prato,盘
embaixada da China em Portugal,中国驻葡萄牙大使馆
Ho Livro de Nycolao Veneto,《尼古劳·威尼托之书》
Planisfério “Cantino” (réplica),《平面图) (副本)
"Planisfério, Lopo Homem (réplica)",世界地图(副本)
"Carta do Cabo da Boa Esperança à Ásia Oriental, in Grupo de 4 cartas universais (réplica)",地图：从好望角到东亚某四幅世界地图组其中一幅(副本)
arca altar-portátil,祭台箱 (手提式)
Biombo Namban (réplica),南蛮屏风 (副本)
"casula, estolas, luvas e sapatilhas","天主教小礼服, 披肩, 手套 和 鞋"
Thomas Pereyra,徐日升
Terceira Liga,葡萄牙足球乙级联赛
General Vasco Rocha Vieira,韦奇立将军
bandeira portuguesa,葡国旗
bandeja,托盘
2022 em Portugal,2022年葡萄牙
42,School 42
The Walt Disney Company Portugal,葡萄牙福斯傳媒集團
euro digital,欧洲数字
Feira Internacional de Lisboa,里斯本展覽會議中心
2021 em Portugal,2021年葡萄牙
Portugal no Festival Eurovisão da Canção Júnior 2021,2021年葡萄牙在歐洲青少年歌唱大賽之表現
Grande Prémio do Algarve de Motovelocidade,阿爾加維摩托車大獎賽
eleições legislativas portuguesas de 2024,2024年葡萄牙立法选举
Grande Prémio de Portugal de 2021,2021年葡萄牙大奖赛
surto de varíola dos macacos em 2022,2022年猴痘爆发
Onda de calor na Europa em 2022,2022年歐洲熱浪
Segunda Liga de 2022–23,2022–23年葡萄牙甲級足球聯賽
Primeira Liga de 2022–23,2022–23年葡萄牙超級足球聯賽
Surto de hepatite aguda grave em crianças em 2022,2022年不明病因儿童肝炎流行事件
Primeira Liga de 2023–24,2023–24年葡萄牙超級足球聯賽
Portugal no Festival Eurovisão da Canção Júnior 2022,葡萄牙在2022年歐洲青少年歌唱大賽之表現
Teatro Nacional D. Maria II,玛丽亚二世国家剧院
Teatro Nacional São João,聖若昂國家劇院
Conselho da Diáspora Portuguesa,葡萄牙侨民委员会
2023 em Portugal,2023年葡萄牙
