日本の元号,日本年號
雛祭り,雛祭
長浜市,長濱市
立川北駅,立川北站
牛久市,牛久市
原町市,原町市
芦別市,蘆別市
柏崎刈羽原子力発電所,柏崎刈羽核能發電廠
1964年東京オリンピックの陸上競技,1964年夏季奧林匹克運動會田徑比賽
KAGRA,KAGRA
芦屋市,蘆屋市
附属池田小事件,附屬池田小學事件
芦屋町,蘆屋町
ジャパン・ニュース・ネットワーク,日本新聞網·(TBS)
五円硬貨,五日圓硬幣
相馬中村藩,相馬中村藩
海津市,海津市
小山町,小山町
講談社,讲谈社
茅野駅,茅野站
岡山県,岡山縣
西武多摩川線,多摩川線
神風特別攻撃隊,特別攻擊隊
大正,大正
福井県,福井縣
長崎空港,長崎機場
鹽竈神社,鹽竈神社
淀藩,淀藩
関西空港駅,關西機場站
鷲宮駅,鷲宮站
東京ディズニーランド,東京迪士尼樂園
飫肥城,飫肥城
神戸市営地下鉄海岸線,海岸線·(神戶市營地下鐵)
本巣市,本巢市
青柳駅,青柳站
上諏訪駅,上諏訪站
中津川市,中津川市
伊江島,伊江島
弘前城,弘前城
新潟県,新潟县
テレビせとうち,瀨戶內電視台
サンテレビジョン,SUN電視台
金剛生駒紀泉国定公園,金剛生駒紀泉國定公園
下伊那郡,下伊那郡
埴科郡,埴科郡
菊川市,菊川市
平戸市,平戶市
伊勢崎市,伊勢崎市
オリンピックの日本選手団,奧林匹克運動會日本代表團
京都市営地下鉄,京都市營地下鐵
龍ケ崎市,龍崎市
飯塚市,飯塚市
阿波池田駅,阿波池田站
蒔田駅,蒔田站
三河安城駅,三河安城車站
吉野町駅,吉野町站
下永谷駅,下永谷車站
東区・(名古屋市),東區·(名古屋市)
六甲アイランド,六甲人工島
岩出市,岩出市
日本サッカー協会,日本足球協會
宝塚歌劇団,寶塚歌劇團
養和,養和
1958年アジア競技大会,1958年亚洲运动会
逗子駅,逗子站
1994年アジア競技大会,1994年亚洲运动会
東福生駅,東福生站
的場駅,的場站
笠幡駅,笠幡站
金子駅,金子站
北戸田駅,北戶田站
南与野駅,南與野站
本郷台駅,本鄉台車站
与野本町駅,與野本町站
日進駅・(埼玉県),日進站·(埼玉縣)
箱根ケ崎駅,箱根崎站
南古谷駅,南古谷站
小宮駅,小宮站
北八王子駅,北八王子站
大分県,大分县
北赤羽駅,北赤羽站
戸田駅・(埼玉県),戶田站·(埼玉縣)
洋光台駅,洋光台車站
浮間舟渡駅,浮間舟渡站
蘇我駅,蘇我站
中浦和駅,中浦和站
北与野駅,北與野站
市川塩浜駅,市川鹽濱站
西川越駅,西川越站
玉城町,玉城町
飛騨木曽川国定公園,飛驒木曾川國定公園
龍安寺,龍安寺
東京工業大学,東京工業大學
清瀬市,清瀨市
釜石市,釜石市
伊予富田駅,伊予富田站
大阪城北詰駅,大阪城北詰站
大館市,大館市
岩国市,岩國市
柳川市,柳川市
裏日本,裏日本
双日,双日
1998年長野オリンピックのメダル受賞数一覧,1998年冬季奥林匹克运动会奖牌榜
戸田公園駅,戶田公園站
第38回衆議院議員総選挙,第38屆日本眾議院議員總選舉
指扇駅,指扇站
新杉田駅,新杉田車站
海上自衛隊,海上自衛隊
瀬戸駅,瀨戶站
港南台駅,港南台車站
東映アニメーション,东映动画
1972年札幌オリンピックのメダル受賞数一覧,1972年冬季奥林匹克运动会奖牌榜
文久,文久
さつま町,薩摩町
片倉駅,片倉車站
相原駅,相原車站
総社駅,總社站
中山駅・(神奈川県),中山站·(神奈川縣)
十日市場駅・(神奈川県),十日市場站·(神奈川縣)
成瀬駅,成瀨車站
津山駅,津山站
センター南駅,中心南車站
伯備線,伯備線
倉敷駅,倉敷站
吉備線,吉備線
新見駅,新見站
矢部駅,矢部車站
古淵駅,古淵車站
霞が関ビルディング,霞關大樓
鴨居駅,鴨居車站
八王子みなみ野駅,八王子南野車站
宮家,宮家
淵野辺駅,淵野邊車站
相模原駅,相模原車站
鳥取県,鳥取縣
国立市,國立市
国立霞ヶ丘競技場陸上競技場,國立霞丘陸上競技場
東池袋駅,東池袋站
江戸川橋駅,江戶川橋站
銀座一丁目駅,銀座一丁目站
辰巳駅,辰巳站
新富町駅,新富町站
ILLUSION・(ゲームブランド),ILLUSION
弥富市,彌富市
護国寺駅,護國寺站
麹町駅,麴町站
横浜ランドマークタワー,橫濱地標大廈
ようこう,阳光号卫星
北海道コンサドーレ札幌,北海道札幌岡薩多
さいたま市,埼玉市
高知県,高知县
京都旭丘中学事件,京都旭丘中學事件
伊自良川,伊自良川
中部地方,中部地方
国道382号,國道382號
日本の地理,日本地理
日本銀行,日本银行
国道5号,國道5號·(日本)
川上村・(長野県),川上村·(長野縣)
勾玉,勾玉
東京電力ホールディングス,東京電力
摂関政治,攝關政治
余呉町,余吳町
成城大学,成城大學
大住駅,大住站
片倉町駅,片倉町車站
新大久保駅,新大久保站
有珠山,有珠山
桑園駅,桑園車站
縄文杉,繩文杉
三ツ沢下町駅,三澤下町站
岸根公園駅,岸根公園車站
本庄駅,本庄站·(埼玉縣)
深谷駅,深谷站
イーエスピー,ESP吉他
桶川駅,桶川站
代々木駅,代代木站
松任市,松任市
西明石駅,西明石車站
称名滝,稱名瀑布
鳩山由紀夫内閣,鳩山由紀夫內閣
ソニー・ミュージックエンタテインメント・(日本),日本索尼音樂娛樂
天塩国,天鹽國
野田村,野田村
1964年東京オリンピックのバレーボール競技,1964年夏季奥林匹克运动会排球比赛
用土駅,用土站
1997年世界男子ハンドボール選手権,1997年世界男子手球錦標賽
上田市,上田市
北藤岡駅,北藤岡站
小川町駅・(埼玉県),小川町站·(埼玉縣)
集英社,集英社
阿蘇山,阿蘇山
阿蘇市,阿蘇市
門真南駅,門真南站
大阪ビジネスパーク駅,大阪商務園區站
大縣神社,大縣神社
田辺駅,田邊站
西寺,西寺
角川学園小説大賞,角川學園小說大賞
今福鶴見駅,今福鶴見站
本格ミステリ大賞,本格推理大獎
高千穂鉄道,高千穗鐵道
住友化学,住友化學
中央区・(熊本市),中央區·(熊本市)
FIFAクラブワールドカップ2012,2012年國際足協世界冠軍球會盃
東京湾アクアライン,東京灣跨海公路
行政区,行政區·(日本)
武蔵境駅,武藏境站
かぶき者,傾奇者
京都大学,京都大学
鹿児島大学,鹿兒島大學
湯島天満宮,湯島天滿宮
熊野速玉大社,熊野速玉大社
根津神社,根津神社
阿武隈川,阿武隈川
伊丹市,伊丹市
信濃町駅,信濃町站
広島テレビ放送,廣島電視台
北九州空港,北九州機場
戸沢村,戶澤村
渋谷,澀谷
二本松城,二本松城
インターコンチネンタルカップ・(サッカー)1996,1996年洲際盃
深谷市,深谷市
鴻巣市,鴻巢市
成田駅,成田站
高崎経済大学,高崎經濟大學
北陸先端科学技術大学院大学,北陸先端科學技術大學院大學
草加市,草加市
藤枝市,藤枝市
伊勢原市,伊勢原市
信濃川,信濃川
八代市,八代市
鶴見緑地駅,鶴見綠地站
横堤駅,橫堤站
駒川中野駅,駒川中野站
阿倍野駅,阿倍野站
CLAMP,CLAMP
小田急小田原線,小田原線
平野駅・(Osaka・Metro),平野站·(大阪市高速電氣軌道)
北越急行ほくほく線,北北線
臼杵市,臼杵市
在日ベトナム人,在日越南人
選抜高等学校野球大会,選拔高等學校棒球大會
群馬藤岡駅,群馬藤岡站
スカパーJSAT,完美天空JSAT集團
明石海峡,明石海峽
浜通り,濱通
東鷲宮駅,東鷲宮車站
山城多賀駅,山城多賀車站
木更津市,木更津市
高槻市,高槻市
阿武火山群,阿武火山群
室町時代,室町时代
SIEジャパンスタジオ,索尼互動娛樂日本工作室
高島市,高島市
串間市,串間市
田村市,田村市
皇居外苑,皇居外苑
柏レイソル,柏雷素爾
鶴岡市,鶴岡市
海老名市,海老名市
米沢市,米澤市
神保原駅,神保原站
宮原駅,宮原站
籠原駅,籠原站
吹上駅・(埼玉県),吹上站·(埼玉縣)
尾久駅,尾久車站
北鴻巣駅,北鴻巢站
北本駅,北本站
北上尾駅,北上尾站
新町駅,新町站·(群馬縣)
武蔵野音楽大学,武藏野音樂大學
岡部駅,岡部站
越生駅,越生站
児玉駅,兒玉站
折原駅,折原站
竹沢駅,竹澤站
松久駅,松久站
毛呂駅,毛呂站
行田駅,行田站
丹荘駅,丹莊站
コーエー,光荣·(企业)
明覚駅,明覺站·(日本)
宜野湾市,宜野灣市
EIZO,藝卓
2014・FIFAワールドカップ・アジア4次予選,2014年國際足協世界盃外圍賽·–·亞洲區第四圈
1964年東京オリンピックの競泳競技,1964年夏季奧林匹克運動會游泳比賽
灘駅,灘站
吉野川市,吉野川市
仙北郡,仙北郡
東京ドーム,東京巨蛋
東北電力,東北電力
小矢部市,小矢部市
恵庭市,惠庭市
FIFAクラブワールドカップ2007,2007年國際足協世界冠軍球會盃
FIFAクラブワールドカップ2006,2006年國際足協世界冠軍球會盃
瀬底島,瀨底島
RWE,莱茵集团
元服,日本元服礼
FIFAクラブワールドカップ2008,2008年國際足協世界冠軍球會盃
FIFAクラブワールドカップ2011,2011年國際足協世界冠軍球會盃
西新宿駅,西新宿站
豊橋市,豐橋市
宗谷・(船),宗谷號巡視船
高崎市,高崎市
日本ペンクラブ,日本笔会
今山駅,今山站
西田井駅,西田井站
最上川,最上川
富士川,富士川
諫早市,諫早市
福島県立医科大学,福島縣立醫科大學
第一生命保険,第一生命保險
キティ・フィルム,Kitty·film
志摩市,志摩市
ファジアーノ岡山FC,岡山綠雉
粉河寺縁起絵巻,粉河寺緣起繪卷
上七軒,上七軒
テレビ東京,東京電視台
藤岡市,藤岡市
御殿場市,御殿場市
本山町,本山町
スカイマーク,天馬航空
下北沢,下北澤
川口駅,川口車站
熊谷駅,熊谷站
放送大学学園,放送大學學園
プロダクション・アイジー,Production·I.G
笠間市,笠間市
宇和島市,宇和島市
東武日光線,日光線·(東武鐵道)
葛生駅,葛生站
女子美術大学,女子美术大学
鉄道博物館・(さいたま市),鐵道博物館·(埼玉市)
関東鉄道,關東鐵道
相模鉄道,相模鐵道
神社,神社
国立音楽大学,國立音樂大學
日本中央競馬会,日本中央競馬會
東京湾,東京灣
公文教育研究会,公文式
磐梯町,磐梯町
2010年バンクーバーオリンピックの日本選手団,2010年冬季奧林匹克運動會日本代表團
ラ・サール会,喇沙會
禁門の変,禁門之變
沖大東島,沖大東島
2006年トリノオリンピックの日本選手団,2006年冬季奧林匹克運動會日本代表團
神田・(千代田区),神田·(千代田區)
水俣病,水俁病
東急世田谷線,世田谷線
女木島,女木島
ACCESS・(企業),愛可信
K-1,K-1
第41回世界卓球選手権,1991年世界乒乓球錦標賽
フィリピン海プレート,菲律宾海板块
四天王寺,四天王寺
びわ湖毎日マラソン,琵琶湖马拉松
坂祝町,坂祝町
北名古屋市,北名古屋市
寿永,壽永
PASMO,PASMO
珠洲市,珠洲市
奥多摩町,奧多摩町
仙台城,仙台城
隠岐郡,隱岐郡
朝日町・(三重県),朝日町·(三重縣)
第15回参議院議員通常選挙,第15屆日本參議院議員通常選舉
日本の仏教,日本佛教
札幌市営地下鉄,札幌市營地下鐵
五反田駅,五反田站
津和野城,津和野城
和紙,和紙
高岡郡,高岡郡
鳥獣人物戯画,鳥獸戲畫
2004年アテネオリンピックの日本選手団,2004年夏季奥林匹克运动会日本代表团
尾花沢市,尾花澤市
諏訪市,諏訪市
かほく市,河北市
大宰府,大宰府
星雲賞,星雲獎·(日本)
座間市,座間市
船岡山,船岡山
カトリック大阪高松大司教区,天主教大阪暨高松總教區
座間味村,座間味村
2012年ロンドンオリンピックの日本選手団,2012年夏季奧林匹克運動會日本代表團
近江八景,近江八景
座間味島,座间味岛
2008年北京オリンピックの日本選手団,2008年夏季奧林匹克運動會日本代表團
代々木公園駅,代代木公園站
乃木坂駅,乃木坂站
京橋駅・(東京都),京橋站·(東京都)
稲荷町駅・(東京都),稻荷町站·(東京都)
末広町駅・(東京都),末廣町站·(東京都)
桶狭間の戦い,桶狹間之戰
虎ノ門駅,虎之門站
阿寒郡,阿寒郡
湖西線,湖西線
源氏,源氏
音威子府村,音威子府村
平林寺・(宝塚市),平林寺·(寶塚市)
頂法寺,頂法寺
1980年モスクワオリンピックの柔道競技,1980年夏季奥林匹克运动会柔道比赛
ミノルタ,美能達
安達太良山,安達太良山
コニカ,柯尼卡
シグマ・(カメラ),適馬
関川駅,關川站
沖縄本島,沖繩島
廿日市市,廿日市市
清荒神駅,清荒神車站
鎌倉幕府,镰仓幕府
SANAA,SANAA
治承・寿永の乱,源平合戰
安貞,安貞
天理教,天理教·(日本)
埼玉新都市交通伊奈線,伊奈線
エピックレコードジャパン,日本史诗唱片
2003年の日本シリーズ,2003年日本大賽
相鉄いずみ野線,泉野線
相鉄本線,相鐵本線
2006年の日本シリーズ,2006年日本大賽
奏者番,奏者番
芝山千代田駅,芝山千代田站
上信電鉄上信線,上信線
キトラ古墳,龜虎古墳
二俣川駅,二俁川站
東成田駅,東成田車站
宮津市,宮津市
三崎口駅,三崎口站
八代駅,八代站
大濠公園,大濠公園
2004年の日本シリーズ,2004年日本大賽
末森城・(尾張国),末森城
カルビー,卡樂B
ネット右翼,網路右翼
南栗橋駅,南栗橋站
東京佼成ウインドオーケストラ,東京佼成管樂團
栗橋駅,栗橋車站
国立民族学博物館,國立民族學博物館·(日本)
青森市,青森市
宮古郡,宮古郡
泊発電所,泊核能發電廠
HOYA,豪雅
武佐駅・(北海道),武佐車站·(北海道)
下徳富駅,下德富車站
大和村,大和村
成蹊大学,成蹊大學
クール・ビズ,清涼商務
家紋,家紋
筑後市,筑後市
東大垣駅,東大垣站
文化服装学院,文化服装学院
奈良国立博物館,奈良国立博物馆
国道167号,國道167號
京都国立博物館,京都國立博物館
Jリーグカップ,日本聯賽盃
新発田市,新發田市
赤穂城,赤穗城
赤坂見附駅,赤坂見附站
五條市,五條市
青山一丁目駅,青山一丁目站
銀座駅,銀座站·(日本)
田野畑村,田野畑村
平野神社,平野神社
ガンバ大阪,大阪飛腳
由利本荘市,由利本莊市
唐津市,唐津市·(日本)
吉田郡,吉田郡
日伯関係,巴西—日本關係
仙北市,仙北市
風蓮湖,風蓮湖
江ノ島駅,江之島車站
知床国立公園,知床國立公園
福岡タワー,福岡塔
新庄藩,新庄藩
亀田藩,龜田藩
名城大学,名城大學
国府駅・(兵庫県),國府車站·(兵庫縣)
2007年の日本シリーズ,2007年日本大賽
上山藩,上山藩
