上皇后美智子,美智子上皇后
白鳥敏夫,白鸟敏夫
井伊直弼,井伊直弼
朝原宣治,朝原宣治
孫正義,孫正義
角田覚治,角田覺治
田中哲司,田中哲司
松重豊,松重豐
石井萌々果,石井萌萌果
藤原ここあ,藤原可可亞
高良健吾,高良健吾
水野美紀,水野美紀
風吹ジュン,風吹純
樹木希林,樹木希林
浅丘ルリ子,浅丘琉璃子
東郷茂徳,东乡茂德
小室眞子,小室真子
椎名悦三郎,椎名悅三郎
石崎琴美,石崎琴美
小日向文世,小日向文世
柄本明,柄本明
井川遥,井川遙
岸部一徳,岸部一德
光石研,光石研
安田成美,安田成美
完顔阿骨打・(漫画家),完颜阿骨打·(漫画家)
木村沙織,木村沙織
道重さゆみ,道重沙由美
朴璐美,朴璐美
栗山千明,栗山千明
向井千秋,向井千秋
村主章枝,村主章枝
後藤真希,後藤真希
田部井淳子,田部井淳子
渡瀬悠宇,渡瀨悠宇
矢沢あい,矢澤愛
文武天皇,文武天皇
順徳天皇,順德天皇
仲恭天皇,仲恭天皇
雄略天皇,雄略天皇
弘文天皇,弘文天皇
三条天皇,三條天皇
仁賢天皇,仁賢天皇
高倉天皇,高倉天皇
杏さゆり,杏小百合
甘利虎泰,甘利虎泰
荻野久作,荻野久作
田中陽子・(サッカー選手),田中陽子
松坂慶子,松坂慶子
村上真紀,村上真紀
田中久一,田中久一
盛一大,盛一大
橋本由衣,橋本由衣
川内倫子,川内倫子
鈴木えみ,鈴木惠美
小松左京,小松左京
小野大輔,小野大輔
畑中健二,畑中健二
松本白鸚・(2代目),松本白鸚·(第二代)
櫛田胅之扶,櫛田胅之扶
米田功,米田功
洲崎綾,洲崎綾
保科洋,保科洋
塚原直也,塚原直也
中野大輔,中野大辅
山田ユギ,山田靫
怕尼芝,怕尼芝
上戸彩,上戶彩
沢尻エリカ,澤尻英龍華
宇多田ヒカル,宇多田光
竹下佳江,竹下佳江
広末涼子,廣末涼子
浅田真央,淺田真央
椎名林檎,椎名林檎
土御門天皇,土御門天皇
清寧天皇,清寧天皇
坂本真綾,坂本真绫
斉明天皇,皇极天皇
アンジェラ・アキ,安潔拉亞季
KOTOKO,KOTOKO
林忠四郎,林忠四郎
本因坊秀策,本因坊秀策
野口聡一,野口聪一
高永ひなこ,高永雏子
菊池正士,菊池正士
藤崎一郎,藤崎一郎
森﨑浩司,森崎浩司
藤田義明,藤田義明
原由実,原由實
里見浩太朗,里见浩太朗
秦佐八郎,秦佐八郎
羽田憲司,羽田憲司
上祐史浩,上祐史浩
渡辺大輔・(俳優),渡邊大輔
西塚泰美,西塚泰美
藤原璋子,藤原璋子
樋口真嗣,樋口真嗣
片山東熊,片山東熊
長谷川明子,長谷川明子
黒瀬真奈美,黑瀨真奈美
シルバー・サムライ,銀武士
兒玉遥,兒玉遙
寺田寅彦,寺田寅彥
久住小春,久住小春
宮間あや,宫间绫
原節子,原節子
高橋尚子,高橋尚子
元正天皇,元正天皇
伊藤みどり,伊藤绿
桐野夏生,桐野夏生
大西瀧治郎,大西瀧治郎
黒川紀章,黑川紀章
遠藤幸雄,遠藤幸雄
豊田喜一郎,豐田喜一郎
置塩信雄,置盐信雄
鈴木鎮一,鈴木鎮一
ローラ・シギハラ,劳拉·鴫原
岸田文雄,岸田文雄
藤原忠実,藤原忠實
大橋のぞみ,大橋望美
岡田克也,岡田克也
浜渦正志,滨涡正志
藤原頼長,藤原賴長
岡田吉夫,岡田吉夫
千葉進歩,千葉進步
内柴正人,内柴正人
親鸞,親鸞
市川雷蔵・(8代目),市川雷藏·(第八代)
筒井康隆,筒井康隆
三木眞一郎,三木真一郎
小室哲哉,小室哲哉
荒木飛呂彦,荒木飛呂彥
前田剛,前田剛
檀臣幸,檀臣幸
飯島直子,飯島直子
地井武男,地井武男
津田美波,津田美波
結城アイラ,結城愛良
藤原彰子,藤原彰子
大山鎬則,大山鎬則
髙嶋政宏,高嶋政宏
大久保瑠美,大久保瑠美
内藤玲,內藤玲
恒松あゆみ,恒松步
阪口周平,阪口周平
髙嶋政伸,高嶋政伸
藤原道雅,藤原道雅
高階貴子,高阶贵子
中村太亮,中村太亮
津田左右吉,津田左右吉
伊波普猷,伊波普猷
早水リサ,早水理沙
吉本ばなな,吉本芭娜娜
野口みずき,野口水木
北川景子,北川景子
小清水亜美,小清水亞美
島谷ひとみ,岛谷瞳
倉木麻衣,倉木麻衣
OLIVIA・(日本の歌手),奧麗維亞·(日本歌手)
桑島法子,桑岛法子
樋野まつり,樋野茉理
絢香,絢香
福原愛,福原爱
足利義教,足利义教
甘粕正彦,甘粕正彥
大山巌,大山巖
塩崎恭久,盐崎恭久
中原麻衣,中原麻衣
土屋アンナ,土屋安娜
伊藤由奈,伊藤由奈
光井愛佳,光井愛佳
田中理恵・(声優),田中理惠·(配音員)
小笠原満男,小笠原滿男
大黒将志,大黑将志
津田梅子,津田梅子
渡辺省三,渡邊省三
九条忠基,九条忠基
井上佳子・(レスリング選手),井上佳子
高橋有紀子,高桥有纪子
土田和歌子,土田和歌子
松田直樹,松田直树
三都主アレサンドロ,三都主
山本聖子,山本聖子
小野伸二,小野伸二
柳沢敦,柳澤敦
内田光子,內田光子
平野綾,平野绫
葉鳥ビスコ,葉鳥螺子
浅越しのぶ,淺越忍
矢野貴章,矢野贵章
塩野七生,鹽野七生
一条和矢,一條和矢
中西香爾,中西香爾
新島襄,新島襄
織田裕二,織田裕二
攝津正,攝津正
水谷豊,水谷丰
早石修,早石修
泰勇気,泰勇氣
柳宗悦,柳宗悅
小形満,小形滿
内藤克俊,内藤克俊
安里安恒,安里安恒
良弁,良弁
伊東大貴,伊东大贵
細田守,細田守
田畑智子,田畑智子
星野仙一,星野仙一
後藤沙緒里,後藤沙緒里
中川秀直,中川秀直
上杉憲政,上杉憲政
片倉重長,片倉重長
乙一,乙一
安江仙弘,安江仙弘
蒲生氏郷,蒲生氏鄉
西周・(啓蒙家),西周·(启蒙家)
山本隆弘,山本隆弘
長谷川等伯,長谷川等伯
菊川凱夫,菊川凱夫
遠藤大由,遠藤大由
大関行江,大关行江
関正子,关正子
岩政大樹,岩政大树
八重樫茂生,八重樫茂生
勝新太郎,勝新太郎
古川勝,古川胜
山﨑雅人,山崎雅人
旭富士正也,旭富士正也
高岡寿成,高冈寿成
中丸忠雄,中丸忠雄
浅井忠,浅井忠
沖田杏梨,沖田杏梨
麻田剛立,麻田刚立
武者小路公共,武者小路公共
中村剛也,中村剛也
上野亮,上野亮
中嶋宏,中島宏
和泉式部,和泉式部
皆川裕史,皆川裕史
華原朋美,華原朋美
上川徹,上川彻
柴田亜衣,柴田亞衣
穂積雅子,穗积雅子
谷亮子,谷亮子
岸本聖史,岸本圣史
鈴木隆行,铃木隆行
中山雅史,中山雅史
顕宗天皇,顯宗天皇
宮尾登美子,宮尾登美子
源田実,源田实
仲田歩夢,仲田步夢
渋沢小哉芳,澀澤小哉芳
中山彰規,中山彰規
Toshl,Toshl
臼井儀人,臼井儀人
鈴木雅之・(歌手),鈴木雅之
早川賢一,早川賢一
三波春夫,三波春夫
吉田竜夫,吉田龍夫
金子一馬,金子一馬
三条実美,三条实美
栗原文音,栗原文音
笹原正三,笹原正三
浅香守生,淺香守生
北一輝,北一辉
金田康正,金田康正
衣笠貞之助,衣笠贞之助
南條愛乃,南條愛乃
早川徳次・(シャープ),早川德次·(夏普)
小笠原長時,小笠原長時
菊池志穂,菊池志穗
長島圭一郎,长岛圭一郎
和宮親子内親王,和宮親子內親王
岸義人,岸義人
新海征治,新海征治
森光子,森光子
本多陽子,本多陽子
眞鍋かをり,真鍋薰
黒田孝高,黑田孝高
安閑天皇,安闲天皇
豊崎愛生,豐崎愛生
高屋奈月,高屋奈月
田中真弓,田中真弓
朝潮太郎・(3代),朝潮太郎·(第三代)
藤原里華,藤原里華
元ちとせ,元千歲
高橋和希,高橋和希
西脇順三郎,西脇順三郎
松元惠,松元惠
ひと美,一美
堺雅人,堺雅人
明坂聡美,明坂聰美
藤川球児,藤川球兒
横光利一,橫光利一
亀山天皇,龟山天皇
松山ケンイチ,松山研一
鈴木春信,鈴木春信
浅倉大介,淺倉大介
藤原顕輔,藤原顯輔
梶井基次郎,梶井基次郎
吉田兼倶,吉田兼俱
百武晴吉,百武晴吉
谷口ジロー,谷口治郎
渡辺信一郎・(アニメ監督),渡边信一郎
夏焼雅,夏燒雅
山下敦弘,山下敦弘
大和・(野球),前田大和
柳生宗厳,柳生宗嚴
畑亜貴,畑亞貴
舞の海秀平,舞之海秀平
木谷實,木谷实
道昭,道昭
清浦夏実,清浦夏實
ささきのぞみ,佐佐木望·(女配音員)
吹石一恵,吹石一惠
丹羽長重,丹羽長重
今川氏親,今川氏親
滝川クリステル,瀧川克里斯特爾
近衛忠煕,近衛忠熙
豊臣国松,豐臣國松
長嶋茂雄,長嶋茂雄
家永三郎,家永三郎
津軽為信,津輕為信
長尾為景,長尾為景
大内義興,大內義興
沖佳苗,沖佳苗
野村萬斎,野村萬齋
鈴木早智子,鈴木早智子
森永理科,森永理科
髙田周平,高田周平
高峰譲吉,高峰讓吉
堀田正睦,堀田正睦
本仮屋ユイカ,本假屋唯香
本間雅晴,本間雅晴
安康天皇,安康天皇
花山天皇,花山天皇
朱雀天皇,朱雀天皇
古川登志夫,古川登志夫
水嶋ヒロ,水嶋斐呂
監物永三,監物永三
星奈津美,星奈津美
相葉雅紀,相葉雅紀
支倉常長,支仓常长
チャールズ・ペダーセン,查尔斯·佩德森
荻生徂徠,荻生徂徠
行定勲,行定勳
近衛基通,近卫基通
長岡春一,長岡春一
近衛信尹,近衛信尹
牧野富太郎,牧野富太郎
中村修二,中村修二
須田芳正,須田芳正
伊吹文明,伊吹文明
野口遵,野口遵
高平小五郎,高平小五郎
DAIGO,DAIGO
九鬼嘉隆,九鬼嘉隆
牧野伸顕,牧野伸顯
須田剛一,須田剛一
きゃりーぱみゅぱみゅ,凯莉葩缪葩缪
分島花音,分島花音
谷本歩実,谷本步實
河邉千恵子,越智千惠子
森理世,森理世
竹内順子,竹內順子
荒木絵里香,荒木繪里香
上野雅恵,上野雅惠
木村拓哉,木村拓哉
二宮和也,二宮和也
はらたいら,原平·(漫画家)
大野智,大野智
天野明,天野明
東洲斎写楽,東洲齋寫樂
渡辺喜美,渡邊喜美
森田成一,森田成一
臼井甕男,臼井甕男
谷川流,谷川流
宮野真守,宮野真守
黛敏郎,黛敏郎
井出樹里,井出树里
中山紀子,中山紀子
渡邉一成,渡边一成
大塚芳忠,大塚芳忠
平山優・(バドミントン選手),平山優
植野恵美子,植野惠美子
大前研一,大前研一
野間宏,野间宏
上村彦之丞,上村彥之丞
足利直義,足利直義
田沼意次,田沼意次
佐藤尚武,佐藤尚武
工藤公康,工藤公康
山本昌,山本昌
橋本萬太郎,桥本万太郎
遠山えま,遠山繪麻
川﨑宗則,川崎宗則
以心崇伝,以心崇傳
青木宣親,青木宣親
中村繪里子,中村繪里子
水鳥寿思,水鸟寿思
隈研吾,隈研吾
小西克幸,小西克幸
車田正美,车田正美
黒田清輝,黑田清輝
徳川和子,德川和子
松平春嶽,松平春嶽
田中将大,田中將大
常陸宮正仁親王,常陸宮正仁親王
岩男潤子,岩男潤子
中野友加里,中野友加里
天野こずえ,天野梢
源頼朝,源赖朝
田畑真紀,田畑真纪
中村藍子,中村藍子
大隈重信,大隈重信
濱田耕作,滨田耕作
明菴栄西,荣西
藤原道兼,藤原道兼
池田行彦,池田行彦
横井軍平,橫井軍平
宇佐美定満,宇佐美定滿
徳川家宣,德川家宣
徳川家継,德川家繼
天野博江,天野博江
毛利衛,毛利衛
宇佐美貴史,宇佐美貴史
湯木博恵,湯木博惠
外海良基,外海良基
中松義郎,中松義郎
新城幸也,新城幸也
田中達也・(1982年生のサッカー選手),田中達也
中裕司,中裕司
猪谷千春,猪谷千春
川本泰三,川本泰三
山路修,山路修
林玉緒,林玉緒
冲方丁,冲方丁
徳川治紀,德川治紀
佐藤かよ,佐藤佳代
金炳植,金炳植
狩野亜由美,狩野亚由美
古谷徹,古谷徹
安井曾太郎,安井曾太郎
田口芳五郎,田口芳五郎
神山雄一郎,神山雄一郎
門川大作,門川大作
芦原英幸,蘆原英幸
金田伊功,金田伊功
中村中,中村中
真島俊夫,真島俊夫
土井辰雄,土井辰雄
杉本博司,杉本博司
平岡宏章,平岡宏章
藤川孝幸,藤川孝幸
松山博明,松山博明
五十嵐和也,五十嵐和也
田口禎則,田口禎則
宇野沢祐次,宇野澤祐次
秋葉忠宏,秋葉忠宏
佐々木博和,佐佐木博和
石末龍治,石末龍治
西村琢磨,西村琢磨
西沢立衛,西澤立衛
一条実経,一條實經
一条兼定,一條兼定
光田康典,光田康典
一条教房,一條教房
入交昭一郎,入交昭一郎
糸洲安恒,糸洲安恒
上田拓馬,上田拓馬
坂茂,坂茂
豊田四郎,豐田四郎
松本人志,松本人志
門之園恵美,門之園惠美
Phew,Phew
小笠原歩,小笠原步
東国原英夫,東國原英夫
里脇浅次郎,里脇淺次郎
稲船敬二,稻船敬二
鴨下一郎,鸭下一郎
天野尚,天野尚
山村浩二,山村浩二
池田秀一,池田秀一
中上健次,中上健次
近藤信竹,近藤信竹
佐久川寛賀,佐久川寬賀
田中正彦,田中正彥
麻宮騎亜,麻宮騎亞
東浩紀,東浩紀
枝野幸男,枝野幸男
青沼英二,青沼英二
賀川豊彦,賀川豐彥
近衛篤麿,近衛篤麿
宗祇,宗祇
福田己津央,福田己津央
近衛家熙,近衛家熙
鷹司信房,鷹司信房
近衛基熙,近衛基熙
笛真人,笛真人
久高友雄,久高友雄
岩井厚裕,岩井厚裕
後藤太郎,後藤太郎
江川重光,江川重光
杉山誠,杉山誠
皆本勝弘,皆本勝弘
本島等,本島等
小野喬,小野喬
中村優一,中村優一
絲山秋子,絲山秋子
太田誠一,太田誠一
小林優美・(ファッションモデル),小林優美·(模特兒)
卜部兼好,吉田兼好
鈴木恒夫,鈴木恆夫
林文子,林文子
川上眉山,川上眉山
新藤義孝,新藤義孝
大石良雄,大石良雄
永井荷風,永井荷風
円仁,圆仁
石原忍,石原忍
尾崎南,尾崎南
神野卓哉,神野卓哉
広瀬治,廣瀨治
久保竜彦,久保龍彥
礒貝洋光,礒貝洋光
嶋谷征四郎,嶋谷征四郎
古川好男,古川好男
近衛信尋,近衛信尋
山口智・(サッカー選手),山口智
藤原師通,藤原師通
伊東マンショ,伊東滿所
西竹一,西竹一
菊地直哉,菊地直哉
藤田俊哉,藤田俊哉
福田正博,福田正博
清武弘嗣,清武弘嗣
青木真也,青木真也
林幹雄,林幹雄
奥井雅美,奧井雅美
辻希美,辻希美
斉藤鉄夫,齊藤鐵夫
岡村天斎,岡村天齋
青山真治,青山真治
村上幸史,村上幸史
若松孝二,若松孝二
西大伍,西大伍
北条早雲,北條早雲
笠谷幸生,笠谷幸生
鷹司輔煕,鷹司輔熙
森岡茂,森岡茂
江尻篤彦,江尻篤彥
池田太,池田太
渡邉一平,渡邊一平
古俣健次,古俣健次
水内猛,水内猛
澤入重雄,澤入重雄
小杉敏之,小杉敏之
戸田和幸,戶田和幸
添田豪,添田豪
安藤政信,安藤政信
金坂克子,金坂克子
近衛天皇,近衛天皇
伏見天皇,伏見天皇
村上天皇,村上天皇
三浦淳寛,三浦淳寬
大石隆夫,大石隆夫
長谷部恭男,長谷部恭男
池ノ上俊一,池之上俊一
淀殿,淀殿
宮澤ミシェル,宮澤米歇爾
冨嶋均,冨嶋均
美濃部直彦,美濃部直彥
高橋真一郎,高橋真一郎
内田康哉,内田康哉
手島和希,手島和希
田所あずさ,田所梓
後一条天皇,後一條天皇
円融天皇,圓融天皇
四条天皇,四条天皇
冷泉天皇,冷泉天皇
淳和天皇,淳和天皇
六道神士,六道神士
玉河恒夫,玉河恒夫
国木田独歩,國木田獨步
正宗白鳥,正宗白鳥
久米田康治,久米田康治
柏原正樹,柏原正樹
佐藤正治・(声優),佐藤正治
杉本雅央,杉本雅央
源義朝,源义朝
若山牧水,若山牧水
都築龍太,都築龍太
藤本淳吾,藤本淳吾
平山相太,平山相太
砂田貴裕,砂田貴裕
蝉丸,蝉丸
武藤敬司,武藤敬司
藤原興風,藤原興風
坂田大輔,坂田大輔
茂庭照幸,茂庭照幸
島卓視,島卓視
小泉淳嗣,小泉淳嗣
武田亘弘,武田亘弘
吉田麻也,吉田麻也
米倉誠,米倉誠
大野敏隆,大野敏隆
遠藤彰弘,遠藤彰弘
和田一浩,和田一浩
赤井孝美,赤井孝美
森下広一,森下广一
KAN,Kan·(歌手)
内藤直樹,內藤直樹
大熊朝秀,大熊朝秀
高乃麗,高乃麗
星出彰彦,星出彰彥
小林まこと,小林誠·(漫畫家)
若田光一,若田光一
黒島伝治,黑島傳治
中田秀夫,中田秀夫
松井咲子,松井咲子
古屋兎丸,古屋兔丸
相田裕,相田裕
田島直人,田岛直人
山本美香,山本美香
八木弘和,八木弘和
榎本武揚,榎本武揚
小梅けいと,小梅京人
神戸清雄,神户清雄
琴欧洲勝紀,琴歐洲勝紀
田口信教,田口信教
伊藤誠・(経済学者),伊藤诚·(经济学家)
平沢進,平澤進
塚原直貴,塚原直貴
田中一成,田中一成
磯光雄,磯光雄
平知盛,平知盛
小林昭七,小林昭七
葉山嘉樹,葉山嘉樹
荻原健司,荻原健司
式子内親王,式子內親王
蘇我入鹿,蘇我入鹿
清水宏保,清水宏保
渡辺捷昭,渡边捷昭
森敦彦,森敦彦
野田知,野田知
大場健史,大場健史
古橋一浩,古橋一浩
坂本龍馬,坂本龙马
杉基イクラ,杉基鮭魚子
野原みさえ,野原美冴
和田昌裕,和田昌裕
藤原定家,藤原定家
島田貴裕,島田貴裕
橋本雄二,橋本雄二
廣長優志,廣長優志
田中雍和,田中雍和
大友克洋,大友克洋
欣子内親王,欣子內親王
山谷えり子,山谷惠里子
こうの史代,河野史代
猪口邦子,豬口邦子
浦野弥生,浦野弥生
牧美也子,牧美也子
武井宏之,武井宏之
中山恭子,中山恭子
石原立也,石原立也
