George Washington,ジョージ・ワシントン
Miloš Forman,ミロス・フォアマン
James Ivory,ジェームズ・アイヴォリー
Brad Delson,ブラッド・デルソン
George Roy Hill,ジョージ・ロイ・ヒル
John Huston,ジョン・ヒューストン
John Tsang,曽俊華
Zara Nelsova,ザラ・ネルソヴァ
Subrahmanyan Chandrasekhar,スブラマニアン・チャンドラセカール
Morris Kirksey,モリス・カークシー
DeHart Hubbard,ウィリアム・デハート・ハバード
Howard Hawks,ハワード・ホークス
William Friedkin,ウィリアム・フリードキン
Dave Farrell,デイヴ・ファーレル
Minnie Bruce Pratt,ミニー・ブルース・プラット
LL Cool J,LL・クール・J
Mike Shinoda,マイク・シノダ
Indiana Jones,インディアナ・ジョーンズ
Otto E. Neugebauer,オットー・ノイゲバウアー
Inge Morath,インゲ・モラス
Fritz Lang,フリッツ・ラング
Edgar Rice Burroughs,エドガー・ライス・バローズ
James Euringer,ジミー・ユーリン
Ida Lupino,アイダ・ルピノ
Bob Gordon,ボブ・ゴードン
RZA,RZA
Ricky Paull Goldin,リッキー・ポール・ゴールディン
Emma Stone,エマ・ストーン
Pat Buchanan,パット・ブキャナン
Mike Grell,マイク・グレル
Josh Duhamel,ジョシュ・デュアメル
Henry Lehrman,ヘンリー・レアマン
Jim Grabb,ジム・グラブ
Jon Moxley,ジョナサン・グッド
Dilshad Vadsaria,ディルシャッド・ヴァザリア
Bibi Besch,ビビ・ベッシュ
Karl Herzfeld,カール・ヘルツフェルト
Chester Bennington,チェスター・ベニントン
Michael Dante DiMartino,マイケル・ダンテ・ディマーティノ
Maximilian Berlitz,マキシミリアン・ベルリッツ
Josef Hoffmann,ヨーゼフ・ホフマン
Richard Neutra,リチャード・ニュートラ
Wilhelm Reich,ヴィルヘルム・ライヒ
Lizard,リザード
Maya Angelou,マヤ・アンジェロウ
Albert Pujols,アルバート・プホルス
Jack Benny,ジャック・ベニー
Bill Anders,ウィリアム・アンダース
Maxine Hong Kingston,マキシーン・ホン・キングストン
Ruth Teitelbaum,ルース・タイテルバウム
Bob Beamon,ボブ・ビーモン
Franz Planer,フランツ・プラナー
Karol Rathaus,カロル・ラートハウス
Herbert J. Gans,ハーバート・J・ガンズ
Maria Altmann,マリア・アルトマン
Basil Bennett,バジル・ベネット
Frances Spence,フランシス・スペンス
Heidemarie Stefanyshyn-Piper,ハイディマリー・ステファニション＝パイパー
Christopher Cassidy,クリストファー・キャシディ
Elmer McCollum,エルマー・ヴァーナー・マッカラム
George Nakashima,ジョージ・ナカシマ
Norman Taber,ノーマン・テーバー
Carl Johnson,カール・ジョンソン
Lew Rockwell,ルー・ロックウェル
Audrey Niffenegger,オードリー・ニッフェネガー
Parry O'Brien,パリー・オブライエン
Al Oerter,アル・オーター
Robert L. Bernstein,ロバート・バーンスタイン
Justin Raimondo,ジャスティン・レイモンド
Medea Benjamin,メディア・ベンジャミン
Zeppo Marx,ゼッポ・マルクス
Jesse Owens,ジェシー・オーエンス
Gene Havlick,ジーン・ハヴリック
Walter Munk,ウォルター・ムンク
James Gleick,ジェイムズ・グリック
Steve Jobs,スティーブ・ジョブズ
Gene Hackman,ジーン・ハックマン
Edwin Moses,エドウィン・モーゼス
Bob Mathias,ボブ・マサイアス
George Carlin,ジョージ・カーリン
Paul A. Weiss,ポール・ワイス
Victor L. Berger,ヴィクター・L・バーガー
Bernard Rudofsky,バーナード・ルドフスキー
Kurt Roger,クルト・ロゲール
Margaret Stonborough-Wittgenstein,マルガレーテ・ストーンボロー＝ウィトゲンシュタイン
Al Gore,アル・ゴア
Harriet Williams Russell Strong,ハリエット・ラッセル・ストロング
Dale Dye,デイル・ダイ
James Rector,ジェームズ・レクター
Lukas Ligeti,ルーカス・リゲティ
Bryan Konietzko,ブライアン・コニーツコ
Herb Gardner,ハーブ・ガードナー
Mena Grabowski Trott,ミーナ・グラボウスキー・トロット
Sherry Turkle,シェリー・タークル
Ray Ewry,レイ・ユーリー
Tommie Smith,トミー・スミス
Marta Bohn-Meyer,マータ・ボーン＝マイヤー
Cynthia Breazeal,シンシア・ブリジール
Joe Pesci,ジョー・ペシ
Hilde Bruch,ヒルデ・ブルック
Ernest Dichter,アーネスト・ディックター
Muggsy Bogues,マグシー・ボーグス
Shawn Kemp,ショーン・ケンプ
Tracy Austin,トレーシー・オースチン
Colin Powell,コリン・パウエル
Grant Shaud,グラント・シャウド
Vanessa Brown,バネッサ・ブラウン
Rudolph Schildkraut,ルドルフ・シルドクラウト
John Banner,ジョン・バナー
Johnny Weissmuller,ジョニー・ワイズミュラー
Alfred Schild,アルフレート・シルト
Gottfried Reinhardt,ゴットフリード・ラインハルト
Jon Bon Jovi,ジョン・ボン・ジョヴィ
Wolfgang Stolper,ウォルフガング・ストルパー
Peter J. Katzenstein,ピーター・カッツェンスタイン
Joseph Urban,ジョセフ・アーバン
Herman F. Mark,ハーマン・マーク
Maria Franziska von Trapp,マリア・フランツィスカ・フォン・トラップ
Mike Park,マイク・パク
Clark Gregg,クラーク・グレッグ
Duke Nalon,デューク・ナロン
Barry N. Malzberg,バリイ・N・マルツバーグ
Barbara O'Neil,バーバラ・オニール
Eberhard Hopf,E.ホップ
Danny Ferry,ダニー・フェリー
J. K. Simmons,J・K・シモンズ
Charles Vidor,チャールズ・ヴィダー
Mahani Teave,マハニ・ティーブ
Edwin Conklin,エドウィン・コンクリン
Alicia Ostriker,アリシア・オストライカー
Tracy Caldwell Dyson,トレイシー・コールドウェル
John Friedmann,ジョン・フリードマン
Leo Birinski,レオ・ビリンスキー
Frank R. Paul,フランク・R・パウル
Madison Brengle,マディソン・ブレングル
Louise Brough,ルイーズ・ブラフ
Frankie Yankovic,フランキー・ヤンコヴィック
Dorothy Day,ドロシー・ディ
Otto Preminger,オットー・プレミンジャー
Dylan McDermott,ディラン・マクダーモット
Norman Shetler,ノーマン・シェトラー
Lois Nettleton,ロイス・ネットルトン
Miguel d'Escoto Brockmann,ミゲル・デスコト・ブロックマン
Josephine Cochrane,ジョセフィン・コクラン
Pauline Betz,ポーリーン・ベッツ
James Blake,ジェームズ・ブレーク
Lady Gaga,レディー・ガガ
Jim DeMint,ジム・デミント
Lindsey Graham,リンジー・グレアム
Frederick John Kiesler,フレデリック・キースラー
Lilia Skala,リリア・スカラ
Yasmine Bleeth,ヤスミン・ブリーズ
Don Budge,ドン・バッジ
Jack Antonoff,ジャック・アントノフ
George Marshall,ジョージ・マーシャル
Janice E. Voss,ジャニス・E・ヴォス
Michael Morhaime,マイケル・モーハイム
Roy Lichtenstein,ロイ・リキテンスタイン
Bob Bryan,ボブ・ブライアン
Mike Bryan,マイク・ブライアン
Michael Chang,マイケル・チャン
Dorothy Cheney,ドロシー・バンディ
Eric Butorac,エリック・ブトラック
Carole Caldwell Graebner,キャロル・コールドウェル・グレーブナー
Paul Bunyan,ポール・バニヤン
Arthur Ashe,アーサー・アッシュ
Rockwell Kent,ロックウェル・ケント
Janel Moloney,ジャネル・モロニー
Kurt Kasznar,カート・カズナー
Dave Stryker,デイヴ・ストライカー
Rudi Gernreich,ルディ・ガーンライヒ
Joseph DeCamp,ジョセフ・デキャンプ
Charles Dana Gibson,チャールズ・タナ・ギブソン
Amy Klobuchar,エイミー・クローブシャー
John S. Mosby,ジョン・モスビー
Scott Glenn,スコット・グレン
Martin Klebba,マーティン・クレバ
Karl H. Pribram,カール・プリブラム
Larry Semon,ラリー・シーモン
Joseph O'Neill,ジョセフ・オニール
Ken Liu,劉宇昆
Martin A. Nowak,マーティン・ノヴァク
Christopher Buchholz,クリストファー・ブッフホルツ
Kevin Curren,ケビン・カレン
Karl Birnbaum,カール・ビルンバウム
Viktor Hamburger,ヴィクトル・ハンブルガー
Ilse Bing,イルゼ・ビング
Ernst B. Haas,エルンスト・B・ハース
Gustav Bergmann,グスタフ・ベルクマン
Adolph Baller,アドルフ・バラー
Ernst G. Straus,エルンスト・G・シュトラウス
Onondaga Nation,オノンダーガ族
Porter Robinson,ポーター・ロビンソン
Nadine Strossen,ナディーン・ストロッセン
Sandy Carter,サンディー・カーター
Kirstie Alley,カースティ・アレイ
Meredith Colket,メレディス・コルケット
Maureen Connolly,モーリーン・コノリー
Dana Perino,デイナ・ペリーノ
John Osteen,ジョン・オスティーン
Matthew Fontaine Maury,マシュー・フォンテーン・モーリー
Martin Kierszenbaum,マーティン・キールセンバウム
Valerie Thomas,ヴァレリー・トーマス
Kat Graham,カテリーナ・グレアム
Jimmy Connors,ジミー・コナーズ
Jim Courier,ジム・クーリエ
Taylor Dent,テーラー・デント
Steve Denton,スティーブ・デントン
John Doeg,ジョン・ドエグ
Jerome Bruner,ジェローム・ブルーナー
Dan Morgenstern,ダン・モルゲンシュテルン
Reginald Le Borg,レジナルド・ル・ボルグ
Katharine Burr Blodgett,キャサリン・ブロジェット
Don L. Anderson,ドン・アンダーソン
Rod Blagojevich,ロッド・ブラゴジェビッチ
Peter Stephan Jungk,ピーター・ステファン・ユンク
Josephine Baker,ジョセフィン・ベーカー
Caitlyn Taylor Love,ケイトリン・テイラー・ラブ
Martin Kosleck,マーティン・コスレック
C. W. Kahles,C・W・カーレス
Rudolf Bing,ルドルフ・ビング
Leonhard Hess Stejneger,レオナード・ヘス・ステイネガー
Frederic Morton,フレデリック・モートン
August Zirner,アウグスト・ツィルナー
Ernst Fraenkel,エルンスト・フレンケル
Richard Erdoes,リチャード・アードス
Trude Fleischmann,トルーデ・フライシュマン
John H. Herz,ジョン・ハーツ
Helmut Landsberg,ヘルムート・ランズベルク
Giorgos Papandreou,ゲオルギオス・アンドレアス・パパンドレウ
Gerhard Neumann,ゲルハルト・ノイマン
Hans Heinrich von Twardowski,ハンス・ハインリッヒ・フォン・トワルドフスキー
Maria Cantwell,マリア・キャントウェル
Claire McCaskill,クレア・マカースキル
Paul Kohner,ポール・コーナー
George Froeschel,ジョージ・フローシェル
John Kerry,ジョン・フォーブズ・ケリー
Mardy Fish,マーディ・フィッシュ
Dwight Filley Davis Sr.,ドワイト・フィリー・デービス
Lauren Davis,ローレン・デービス
Bob Falkenburg,ボブ・ファルケンバーグ
Mary Joe Fernández,メアリー・ジョー・フェルナンデス
Ariana Grande,アリアナ・グランデ
Aida Turturro,アイダ・タートゥーロ
Susan Collins,スーザン・コリンズ
Thomas A. Curran,トーマス・A・カラン
Alexander Calder,アレクサンダー・カルダー
Phil Niekro,フィル・ニークロ
Huntress,ハントレス
Kirsten Gillibrand,カーステン・ギリブランド
Robert Gomer,ロバート・ゴマー
Margaret Osborne duPont,マーガレット・オズボーン・デュポン
Carl Esmond,カール・エスモンド
Hede Massing,ヘーデ・マッシング
Moritz Borman,モリッツ・ボーマン
Swedish Americans,スウェーデン系アメリカ人
Sammy Angott,サミー・アンゴット
Reggie Geary,レジー・ゲーリー
Dakota Fanning,ダコタ・ファニング
Herta Herzog,ハータ・ヘルツォーク
N.O.R.E.,ノリ
Althea Gibson,アリシア・ギブソン
Laura Bush,ローラ・ブッシュ
Leonard Bernstein,レナード・バーンスタイン
Tom Savini,トム・サヴィーニ
James Fauntleroy II,ジェイムス・フォントルロイ
John Michael Kohler,ジョン・マイケル・コーラー
Peter Francis James,ピーター・フランシス・ジェームズ
Alessandra Ambrosio,アレッサンドラ・アンブロジオ
Maurice Bloomfield,モーリス・ブルームフィールド
Scott O'Dell,スコット・オデール
Fritz Mahler,フリッツ・マーラー
Bill Goldberg,ビル・ゴールドバーグ
Jerry Brown,ジェリー・ブラウン
Shawn Ryan,ショーン・ライアン
Robert Brout,ロベール・ブルー
Donald Trump,ドナルド・トランプ
Sherri Martel,シェリー・マーテル
Lex Luger,レックス・ルガー
Michael S. Hart,マイケル・S・ハート
Vitas Gerulaitis,ビタス・ゲルレイティス
Nicole Gibbs,ニコル・ギブス
Nicolas Berggruen,ニコラス・バーグルエン
Fritz Zwicky,フリッツ・ツビッキー
David Geffen,デヴィッド・ゲフィン
Tim Jensen,ティム・ジェンセン
Melville S. Green,メルヴィル・S・グリーン
Robby Ginepri,ロビー・ジネプリ
Alexa Glatch,アレクサ・グラッチ
Helen Jacobs,ヘレン・ジェイコブス
Bill Johnston,ビル・ジョンストン
Liberty Hyde Bailey,リバティ・ハイド・ベイリー
William Sadler,ウィリアム・サドラー
Chris Pine,クリス・パイン
Frank Pastore,フランク・パストーレ
Jack Finney,ジャック・フィニイ
Theodor W. Adorno,テオドール・アドルノ
Ron Canada,ロン・カナダ
"Kenny Roberts, Jr.",ケニー・ロバーツ・ジュニア
George Tabori,ジョージ・タボリ
Darlene Hard,ダーリーン・ハード
Ryan Harrison,ライアン・ハリソン
Michael Netzer,マイケル・ネッツァー
Liezel Huber,リーゼル・フーバー
John Isner,ジョン・イスナー
Othmar Ammann,オスマール・アンマン
Pancho Gonzales,パンチョ・ゴンザレス
Carly Gullickson,カーリー・ガリクソン
Peter B. Neubauer,ピーター・B・ヌーバウアー
Taylor Lautner,テイラー・ロートナー
Henry Wadsworth Longfellow,ヘンリー・ワーズワース・ロングフェロー
Mary Landrieu,メアリー・ランドリュー
