Campinas,カンピーナス
Santarém,サンタレン
Liga Mundial de Voleibol de 2008,2008年バレーボール・ワールドリーグ
Arena das Dunas,アレーナ・ダス・ドゥーナス
Estádio Mané Garrincha,エスタジオ・ナシオナル・デ・ブラジリア
Cotia,コチア
Paralelo 5 N,北緯5度線
Sinop Futebol Clube,シノプFC
Rio Grande da Serra,リオグランデ・ダ・セッラ
Campeonato Sul-Americano de Voleibol Masculino de 1958,1958年バレーボール男子南米選手権
Ribeirão Grande,ヒベイラン・グランジ
Parque Nacional do Jaú,ジャウー国立公園
Vila Velha,ヴィラ・ヴェーリャ
Amparo,アンパロ
Estádio Governador João Castelo,カステロン (マラニョン州)
Imigração no Brasil,ブラジルへの移民
Baía de Todos-os-Santos,諸聖人の湾
Eisenbahn,アイゼンバーン
Ilha Grande do Gurupá,グルパ島
Acidente Ferroviário de Aracaju,アラカジュ鉄道事故
Partido Socialismo e Liberdade,社会自由党
Visconde do Rio Branco,ヴィスコンデ・ド・リオ・ブランコ
Oliveira,オリヴェイラ
Central Única dos Trabalhadores,中央統一労働組合
Campeonato Tocantinense de Futebol,カンピオナート・トカンチネンセ
Partido da Social Democracia Brasileira,ブラジル社会民主党
Os Mutantes,ムタンチス
Operário Futebol Clube,オペラリオFC
povos indígenas no Brasil,ブラジルの先住民
Campeonato Mundial de Voleibol Masculino de 1990,1990年バレーボール男子世界選手権
Campeonato Mundial de Judo de 2007,2007年世界柔道選手権大会
Miss Universo 2011,ミス・ユニバース2011
Palmas,パルマス
América Futebol Clube,アメリカFC (ミナスジェライス州)
Academia Brasileira de Letras,ブラジル文学アカデミー
Campeonato Goiano de Futebol,カンピオナート・ゴイアーノ
Campeonato Brasileiro de Futebol - Série D,カンピオナート・ブラジレイロ・セリエD
Mairiporã,マイリポラン
Avaí Futebol Clube,アヴァイFC
Aeródromo de Gavião Peixoto,ガヴィアン・ペイショート空港
Engesa,エンゲーザ
Estádio do Canindé,エスタジオ・ドトール・オズワルド・テイシェイラ・ドゥアルテ
Chuí,シュイ
Antaquífero Guarani,グアラニ帯水層
Bozano,ボザノ
Billboard Brasil,ビゥボアルヂ・ブラジル
Rio Tavares,タバレス川
Manchete Futebol Clube do Recife,マンシェーチFCレシフェ
Centro de Investigação e Prevenção de Acidentes Aeronáuticos,航空事故調査・防止センター
NDCC Garcia D'Avila,"ガルシア・ダヴィラ」（NDCC ''Garcia D'Avila'', G-29）"
Fórum de Governança da Internet,インターネットガバナンスフォーラム
Arena Pernambuco,アレナ・ペルナンブーコ
Iguatu,イグアトゥ
Morumbi,モルンビー
Tucuruí,トゥクルイ
Transnordestina Logística,ノルデステ鉄道会社
Jussiape,ジュシアペ
Associação Atlética Rodoviária,AAロドヴィアリア
Nova Esperança,ノヴァ・エスペランサ
Eliminatórias da Copa do Mundo FIFA de 2014 - América do Sul,2014 FIFAワールドカップ・南米予選
Gavião Peixoto,ガヴィアン・ペイショート
Copa do Mundo FIFA de Futebol de Areia de 2007,2007 FIFAビーチサッカーワールドカップ
Campeonato Paulista de Futebol,カンピオナート・パウリスタ
Matis,マティス族
Voo Gol 1907,ゴル航空1907便墜落事故
Adolfo,アドルフォ
Andradas,アンドラダス
Formação Adamantina,アダマンティナ・フォーメーション
Brasil na Copa do Mundo FIFA de 2002,2002 FIFAワールドカップブラジル代表
Manhuaçu,マニュアス
Campeche,カンペチェ
Vale-tudo,バーリトゥード
Paragominas,パラゴミナアス
TRIP Linhas Aéreas,TRIP航空
VASP,VASP航空
Colinas,コリナス (マラニョン州)
Neo Química Arena,アレーナ・デ・サンパウロ
Acidente de Alcântara,ブラジルロケット爆発事故
Poá,ポアー
ditadura militar brasileira,ブラジルの軍政
Estrada de Ferro Amapá,アマパー鉄道
Estrada de Ferro Carajás,カラジャス鉄道
Estrada de Ferro Campos do Jordão,カンポス・ド・ジョルドン鉄道
Estrada de Ferro Central do Brasil,ブラジル中央鉄道
Estádio Raulino de Oliveira,エスタジオ・ラウリーノ・デ・オリヴェイラ
Estádio Durival Britto e Silva,エスタジオ・ドゥリヴァル・ブリット・エ・シウヴァ
Sociedade Esportiva Tupan,SEトゥパン
Rodeio Bonito,ホデイオ・ボニート
Lourdes,ルルジズ
Alfenas,アルフェナス
Linhares,リニャレス
Corrente do Brasil,ブラジル海流
Partido Pirata do Brasil,海賊党 (ブラジル)
Campeonato Mundial de Basquetebol Masculino de 1954,1954年バスケットボール世界選手権
Peixoto de Azevedo,ペイショート・デ・アゼヴェド
Colatina,コラティナ
Ypiranga Futebol Clube,イピランガFC
Sociedade Esportiva do Gama,SEガマ
Praia Clube,プライア・クルーベ
Copa Rio Branco,コパ・リオ・ブランコ
Ressacada,エスタジオ・アデルバル・ラモス・ダ・シウヴァ
Américo Brasiliense,アメリコ・ブラジリエンセ
Caatinga,カーチンガ
Estádio Adelmar da Costa Carvalho,エスタジオ・アデウマール・ダ・コスタ・カルヴァーリョ
Estadio Paulo Constantino,エスタジオ・パウロ・コンスタンチーノ
Estádio Municipal João Havelange,エスタジオ・ムニシパウ・パルケ・ド・サビア
Estádio Orlando Scarpelli,エスタディオ・オルランド・スカルペーリ
Estádio Estadual Jornalista Edgar Augusto Proença,エスタジオ・オリンピコ・ド・パラー
Estádio Olímpico Monumental,オーリンピコ・モヌメンタウ競技場
Estádio Palestra Itália,エスタジオ・パレストラ・イタリア
Ressurreição de Cristo,キリストの復活
Mirangaba,ミランガーバ
Votorantim,ヴォトランチン
Sapucaia do Sul,サプカイア・ド・スル
Museu Paulista,パウリスタ博物館
Hipódromo da Gávea,ガベア競馬場
Ilhéus,イリェウス
Rio Verde,リオ・ベルデ
Exaltasamba,エザルタサンバ
Barreiras,バレイラス
Associação Atlética Caldense,AAカウデンセ
Rio Preto Esporte Clube,リオ・プレトEC
Brasil nos Jogos Paralímpicos de Verão de 2008,2008年北京パラリンピックのブラジル選手団
Ponte Rio-Niterói,リオ・ニテロイ橋
Jijoca de Jericoacoara,ジジョーカ・デ・ジェリコアコアラ
Ilha Grande,グランデ島
Garça,ガルサ (サンパウロ州)
Paralelo 31 S,南緯31度線
Sport Club Rio Grande,SCリオ・グランデ
Krisiun,クリジウン
Paralelo 22 S,南緯22度線
Paralelo 27 S,南緯27度線
Paralelo 11 S,南緯11度線
Paralelo 14 S,南緯14度線
Paralelo 25 S,南緯25度線
Riachão,リアション (マラニョン州)
Cruzeiro do Sul,クルゼイロ・ド・スル
Itapetininga,イタペティニンガ
Uberaba,ウベラーバ
Sociedade Brasileira para o Progresso da Ciência,ブラジル科学振興協会
Aeroporto Internacional de Viracopos/Campinas,ヴィラコッポス国際空港
Passo do Sobrado,パッソ・ド・ソブラード
Meridiano 66 W,西経66度線
Lábrea,ラブレア
Campeonato Brasileiro de Basquete Masculino,カンペオナート・ブラジレイロ・バスケット
Paralelo 9 S,南緯9度線
Paralelo 26 S,南緯26度線
Paralelo 3 S,南緯3度線
Paralelo 33 S,南緯33度線
Paralelo 21 S,南緯21度線
Paralelo 1 S,南緯1度線
Villa Nova Atlético Clube,ヴィラ・ノヴァAC
Clube Atlético Vila Rica,CAヴィラ・リカ
Parque Nacional da Serra da Canastra,カナストラ山地
Armação dos Búzios,アルマサン・ドス・ブージオス
Paralelo 30 S,南緯30度線
Paralelo 8 S,南緯8度線
Paralelo 19 S,南緯19度線
Paralelo 13 S,南緯13度線
Paralelo 16 S,南緯16度線
Jutaí,ジュタイー
Além Paraíba,アレン・パライバ
Sumaré,スマレ
Jaguarão,ジャグアラン
TAM Linhas Aéreas,ラタム・ブラジル
Voo Varig 254,ヴァリグ・ブラジル航空254便墜落事故
Aeroporto de Barra,バーハ空港
Embraer Legacy 500,エンブラエル レガシー450
Estádio Moisés Lucarelli,エスタジオ・モイゼス・ルカレッリ
São Simão,サンシモン (ゴイアス州)
M20 Armored Utility Car,M20装甲車
Santa Luzia,サンタ・ルジア
São Borja,サン・ボルジャ
Aeroporto Internacional de São Paulo-Guarulhos,グアルーリョス国際空港
Treze Futebol Clube,トレーゼFC
Paralelo 10 S,南緯10度線
Iguatama,イグアタマ
Garibaldi,ガリバルジ
Rio Grande,リオグランデ川
Dom Cavati,ドン・カヴァティ
Rio Javari,ジャバリ川
Vacaria,バカリア
Gramado,グラマド
Estádio Walmir Campelo Bezerra,エスタジオ・バウミル・カンペロ・ベゼーラ
vaqueiro,ヴァケイロ
Tunguska brasileiro,1930年クルサー川の事象
Ferroban,フェロバン
Ferrovia Novoeste S.A.,ノヴォエステ
Ferrovia Paulista S/A,サンパウロ州鉄道公社（FEPASA）
Aeroporto Internacional do Recife,レシフェ/グアララペス・ジルベルト・フレイレ国際空港
São Leopoldo,サン・レオポルド
Brasil na Copa do Mundo FIFA de 2006,2006 FIFAワールドカップブラジル代表
Campos dos Goytacazes,カンポス・ドス・ゴイタカゼス
Paralelo 24 S,南緯24度線
Paralelo 15 S,南緯15度線
Paralelo 29 S,南緯29度線
Paralelo 28 S,南緯28度線
Paralelo 6 S,南緯6度線
Itambé,イタンベ
Chamonix Indústria e Comércio,シャモニー (自動車)
Minas Tênis Clube,ジェルダウ・ミナス
Medeiros,メデイロス
Calouros do Ar Futebol Clube,カロウロス・ド・アルFC
Ferronorte,フェロノルテ
Festa Literária Internacional de Paraty,パラチー国際文学フェスタ
Fibria,フィブリア
Trinta e Três Orientais,33人の東方人
São Paulo Athletic Club,サンパウロ・アスレティック・クラブ
Paralelo 17 S,南緯17度線
Bob's,Bob's
Nacional Esporte Clube Ltda,ナシオナルEC
1957 no Brasil,1957年のブラジル
Fed Cup de 1984,フェデレーションカップ1984
São Gabriel da Cachoeira,サン・ガブリエウ・ダ・カショエイラ
Mossoró,モソロー
CNH Global,CNHグローバル
Arroio Chuí,チュイ川 (ブラジル)
Ilhabela,イリャベラ
Monte Sião,モンテシオン (ミナスジェライス州)
Metrô do Distrito Federal,メトロ・デ・ブラジリア
Gol Transportes Aéreos,ゴル航空
Seleção Brasileira de Handebol Feminino,ハンドボールブラジル女子代表
Festival de Gramado,グラマード映画祭
Partido Democrático Trabalhista,民主労働党
quilombo,キロンボ
Região Metropolitana de São Paulo,大サンパウロ都市圏
Paralelo 32 S,南緯32度線
Paralelo 7 S,南緯7度線
Paralelo 5 S,南緯5度線
Paralelo 18 S,南緯18度線
Paralelo 12 S,南緯12度線
Campeonato Sul-Americano de Voleibol Feminino de 1983,1983年バレーボール女子南米選手権
Eliminatórias da Copa do Mundo FIFA de 1950,1950 FIFAワールドカップ・予選
campas,アシャニンカ
WebJet Linhas Aéreas,ウェブジェット
Paraíso,パライソ (サンタカタリーナ州)
Leme,レメ
Areado,アレアド
Marginal Tietê,マージナルチエテ
Laranjeiras,ラランジェイラス
Felixlândia,フェリクスランジア
Associação Desportiva Jaraguá,ADジャラグア
Companhia Siderúrgica Nacional,ナシオナル製鉄
1970 no Brasil,1970年のブラジル
1977 no Brasil,1977年のブラジル
BrasilSat A1,ブラジルサットA1
Guararema,グアラレマ
Campeonato Sul-Americano de Futebol Feminino de 1991,1991 スダメリカーノ・フェメニーノ
Akan,アカン人
Organização dos Estados Ibero-americanos,イベロアメリカ諸国機構
1961 no Brasil,1961年のブラジル
Promissão,プロミッソン
Telêmaco Borba,テレマコ・ボルバ
Parque Nacional de Anavilhanas,アナヴィリャナス国立公園
Agrale,アグラレ
Carmo do Rio Claro,カルモ・ド・リオ・クラオ
Rio+20,国連持続可能な開発会議
Campeonato Mundial de Basquetebol Feminino de 1957,1957年女子バスケットボール世界選手権
Biblioteca Nacional do Brasil,ブラジル国立図書館
Literatura de cordel,コルデル文学
Itaú Unibanco,イタウ・ウニバンコ
complexo geoeconômico do Brasil,ブラジルの社会地理的区分
Estádio Vasco da Gama,エスタディオ・ヴァスコ・ダ・ガマ
1994 no Brasil,1994年のブラジル
Eliminatórias da Copa do Mundo FIFA de 2014 - África,2014 FIFAワールドカップ・アフリカ予選
Goiás,ゴイアス
Rio Preto da Eva,プレトダエヴァ川
Museu de Arte Moderna do Rio de Janeiro,MAMリオ
Aeroporto Internacional de Navegantes,ナヴェガンテス
Aeroporto Internacional de Porto Alegre,サルガド・フィーリョ国際空港
Fundação Nacional do Índio,国立先住民保護財団
Campeonato Mineiro de Futebol,カンピオナート・ミネイロ
Comando Militar da Amazônia,アマゾン軍
Ajuricaba,アジュリカーバ
Carmo de Minas,カルモ・デ・ミナス
Advocacia-Geral da União -AGU,総弁護庁
Sabará,サバラ
Clube Sociedade Esportiva,クルーベ・ソシエダージ・エスポルチーヴァ
Teatro Amazonas,テアトロ・アマゾナス
Folha de S.Paulo,フォーリャ・ジ・サンパウロ
Congresso Nacional do Brasil,国民会議
Jussara,ジュッサーラ
Rio Acima,リオアシマ
tariana,タリアナ語
Vivo,ヴィーヴォ
Floresta ombrófila mista,ナンヨウスギ林
Aeroporto Internacional de Foz do Iguaçu,フォス・ド・イグアス国際空港
Criciúma,クリシューマ
Ituiutaba,イトゥイウタバ
favelas no brasil,ファヴェーラ
Gravataí,グラヴァタイー
Paralelo 20 S,南緯20度線
Altamira,アルタミラ (パラー州)
Unibanco,ウニバンコ
Grêmio Esportivo Brasil,GEブラジウ
NET,NETセルビソス
Caldo de cana,サトウキビ果汁
Doresópolis,ドレソポリス
Pouso Alegre,ポウゾ・アレグレ
Paulista,パウリスタ
Nambiquaras,ナムビクワラ族
Passabém,パッサベーム
Parada do orgulho LGBT de São Paulo,サンパウロ・ゲイ・プライドパレード
Transbrasil,トランス・ブラジル航空
Lagoa Rodrigo de Freitas,ロドリゴ・デ・フレイタス湖
Mobilização Nacional,国民動員党
Bacabal Esporte Clube,バカバウEC
Brasil na Copa do Mundo FIFA de 2010,2010 FIFAワールドカップブラジル代表
Rio Abunã,アブナ川
Estrada de Ferro Madeira-Mamoré,マデイラ・マモレ鉄道
Serra Tumucumaque,トゥムクマケ山地
Paulista Futebol Clube,パウリスタFC
Grand Prix Brasil de motociclismo,ブラジルグランプリ
Itabuna,イタブーナ
Itaguaí,イタグアイ
Social Futebol Clube,ソシアルFC
