Leandro Damião,レアンドロ・ダミアン・ダ・シウバ・ドス・サントス
Petros (futebolista),ペトロス・マテウス・ドス・サントス・アラウージョ
César Dutra,セーザル・ベルナルド・ドゥトラ
Cazuo Matsumoto,カズオ・マツモト
Douglas Coutinho,ドウグラス・コウチーニョ・ゴメス・ジ・ソウザ
Diego Carlos,ジエゴ・カルロス・サントス・シウヴァ
Samir,サミル・カエターノ・デ・ソウザ・サントス
Sérgio Paese,セルジオ・ペイジ
Nathan (futebolista),ナタン・アラン・デ・ソウザ
Sandro Meira Ricci,サンドロ・リッチ
Cícero Moraes,シセロ・モラエス
Fabiano Leismann,ファビアーノ・レイスマン
Gabriel Xavier,ガブリエル・アウグスト・シャビエル
Jemerson,ジェメルソン・ジ・ジェズス・ナシメント
Malcom (futebolista),マウコム・フィリペ・シウヴァ・デ・オリヴェイラ
Arthur Caíke,アルトゥール・カイキ・ド・ナシメント・クルス
Ederson Santana de Moraes,エデルソン・サンタナ・ジ・モライス
Régis Augusto Salmazzo,ヘギス・アウグスト・サウマッゾ
Lucas Pedro de Lima,ルーカス・ペドロ・アルヴェス・デ・リマ
Debinha,デビーニャ
Carlos Júnior,カルロス・アウベルト・カルヴァーリョ・ダ・シウヴァ・ジュニオール
Leo Cittadini,レオナルド・シッタジーニ
Thiago Martins (futebolista),チアゴ・マルチンス・ブエーノ
Sérgio Ricardo dos Santos Júnior,セルジオ・リカルド・ドス・サントス・ジュニオール
Anderson Lopes,アンデルソン・ジョゼ・ロペス・デ・ソウザ
João Pedro Maturano dos Santos,ジョアン・ペドロ・マトゥラーノ・ドス・サントス
Bruno Caboclo,ブルーノ・カボクロ
Fernando Henrique da Conceição,フェルナンド・エンリケ・ダ・コンセイソン
Pablo Felipe Teixeira,パブロ・フィリペ・テイシェイラ
Matheus Pereira,マテウス・フェリペ・コスタ・ペレイラ
Maurício Borges,マウリシオ・シウバ
Leandro Pereira,レアンドロ・マルコス・ペルチェナ・ペレイラ
Lucas Cândido,ルーカス・カンジド・シウヴァ
Otávio Henrique Passos Santos,オタヴィオ・エンリケ・パソス・サントス
Juninho Souza,ジュニオール・アパレシド・ギマロ・デ・ソウザ
Gabriel Boschilia,ガブリエウ・ボシリア
Rafael Forster,ハファエウ・フォルステル
Renato Augusto Santos Júnior,ヘナト・アウグスト・サントス・ジュニオール
Luan Guilherme de Jesus Vieira,ルアン・ギリェルメ・デ・ジェズス・ヴィエイラ
Abner (futebolista),アブネル・フェリペ・ソウザ・ジ・アウメイダ
Vanderley Dias Marinho,ヴァンデルレイ・ジアス・マリーニョ
Júlio César Godinho Catole,ジュリオ・セザール・ゴディーニョ・カトーレ
Charles Chibana,チャールズ・チバナ
Marlon Santos (futebolista),マルロン・サントス・ダ・シウヴァ・バルボーザ
Ailton Ferreira Silva,アイウトン・フェレイラ・シウヴァ
Giovanni Palmieri dos Santos,ジオヴァンニ・パルミエリ・ドス・サントス
Wanderson Maciel,ヴァンデルソン・マシエウ・ソウザ・カンポス
Thiago Maia,チアゴ・マイア・アレンカル
Maurício Antônio,マウリシオ・デ・カルヴァーリョ・アントニオ
Natanael (futebolista),ナタナエウ・バチスタ・ピメンタ
Nathan Cardoso,ナタン・ラファエル・ペラエ・カルドーゾ
Keno (futebolista),マルコス・ダ・シルバ・フランス
Thiago Mendes,チアゴ・エンヒキ・メンデス・ヒベイロ
Alex Pereira,アレックス・ペレイラ
Marçal (futebolista),フェルナンド・マルサウ・オリヴェイラ
Rafael Thyere,ラファエウ・ティエリ・ジ・アルブケルケ・マルケス
Lincoln Henrique Oliveira dos Santos,リンコウン・エンヒキ・オリヴェイラ・ドス・サントス
Hudson (futebolista),ウジソン・ホドリゲス・ドス・サントス
Antonio Carlos Júnior,アントニオ・カルロス・ジュニオール
Luciano da Rocha Neves,ルシアーノ・ダ・ホーシャ・ネヴェス
Felipe Gedoz,フェリピ・ジェドス・ダ・コンセイソン
Sérgio Antônio Soler de Oliveira Júnior,セルジオ・アントニオ・ソレール・デ・オリヴェイラ・ジュニオール
Everaldo Stum,エヴェラウド・ストゥン
Everton Cebolinha,エヴェルトン・ソウザ・ソアレス
Thomas Almeida,トーマス・アルメイダ
Tiago Pagnussat,チアゴ・パグヌサット
Uilson,ウイルソン・ペドラジ・デ・オリベイラ
Rafael Longuine,ラファエウ・ヴィニシウス・カルヴァーリョ・ロンギーネ
Luiz Dórea,ルイス・カルロス・ドレア
Jennifer Maia,ジェニファー・マイア
Maurício Souza,マウリシオ・ソウザ
Tuca (cantora),トゥッカ
Thiago Galhardo,チアゴ・ガリャルド・ド・ナシメント・ロシャ
Lívia Renata Souza,リヴィア・ヘナタ・ソウザ
Hérica Tibúrcio,エリカ・チブリシオ
Walace,ワラシ・ソウザ・シウヴァ
Victor Luis,ヴィクトル・ルイス・シュアブ・ザンブラウスカス
Dener Assunção Braz,デネル・アスンソン・ブラス
Everaldo Pierrotti,ジョゼ・エヴェラウド・トマゾッティ・ピエロッティ
Léo Bonatini,レオナルド・ボナチーニ・ローネル・マイア
Victor Penalber,ビクトル・ペナルベル
Ferrugem (futebolista),ウェベルトン・アルメイダ・サントス
Warlley Alves,ワーレイ・アウヴェス
Wilton Pereira Sampaio,ウィルトン・サンパイオ
Thales Hoss,タレス・オス
Thiago Marreta,チアゴ・サントス
Marcos Pezão,マルコス・ホジェリオ・デ・リマ
Judivan,ジュディヴァン・フロル・ダ・シウヴァ
Gerson Santos da Silva,ジェルソン・サントス・ダ・シウヴァ
Clayson,クレイソン・ヘンリケ・ダ・シルバ・ヴィエイラ
Rodrigo Dourado,ホドリゴ・ドゥラード・クーニャ
Samuel Portugal,サムエウ・ポルトゥガウ・リマ
Rafael Vitti,ラファエル・ヴィッティ
Pedro Munhoz (lutador),ペドロ・ムニョス
Wellington Daniel Bueno,ウェリントン・ダニエル・ブエノ
Alexandre Gama (treinador de futebol),アレシャンドレ・ガマ
Felipe Fraga,フェリペ・フラガ
Larissa Pacheco,ラリッサ・パシェコ
Auro,アウロ・アウヴァロ・ダ・クルス・ジュニオル
Alef dos Santos Saldanha,アレフ・ドス・サントス・サウダーニャ
Luiz Eduardo dos Santos Gonzaga,ルイス・エドゥアルド・ドス・サントス・ゴンザガ
Dankler,ダンクレー・ルイス・デ・ジェズス・ペドレイラ
Eduardo Henrique,エドゥアルド・エンヒキ・ダ・シウヴァ
Zé Rafael,ジョゼ・ハファエウ・ヴィヴィアン
Edigar Junio,エジガル・ジュニオ・テイシェイラ・リマ
Vitor Hugo Franchescoli de Souza,ヴィトール・ウーゴ・フランシェスコリ・ジ・ソウザ
Macris Carneiro,マクリス・カルネイロ
Richarlison,リシャルリソン・デ・アンドラーデ
Jonathan Cafu,ジョナタン・ヘナト・バルボーザ
Bruno Henrique,ブルーノ・エンヒキ・ピント
Eduardo Bauermann,エドゥアルド・ガブリエウ・ドス・サントス・バウエルマン
Vina (futebolista),ヴィニシウス・ゴエス・バルボーザ・ジ・ソウザ
Milton Mendes,ミルトン・メンデス
Vitor Bueno,ヴィトール・フレザリン・ブエノ
Marcos Danilo Padilha,マルコス・ダニーロ・パジーリャ
Jean Paulo Fernandes Filho,ジェアン・パウロ・フェルナンデス・フィーリョ
Odair Souza,オダイル・ソウザ
Elosman Euller Silva Cavalcanti,シウヴァ・カヴァウカンチ・エロスマン・エウレー
Marco da Silva Ignácio,マルコ・ダ・シウヴァ・イグナシオ
Raúl Silva,ハウー・ミシェウ・メロ・ダ・シウヴァ
Ricardo Lopes,リカルド・ロペス・ペレイラ
Lucas Gomes,ルーカス・ゴメス・ダ・シウヴァ
Jailson Marcelino dos Santos,ジャイウソン・マルセリーノ・ドス・サントス
Cauly,カウリ・オリヴェイラ・ソウザ
Raoni Barcelos,ラオーニ・バルセロス
Roni (futebolista),ホネイ・グレイソン・ホドリゲス・ドス・ヘイス
Wanderson de Jesus Martins,ワンデルソン・デ・ジェズス・マルチンス
Danilo Barbosa,ダニーロ・バルボーザ・ダ・シウヴァ
Dyego Sousa,ジエゴ・ヴィウヴェルソン・フェレイラ・ソウザ
Sidcley,シジクレイ・フェヘイラ・ペレイラ
Leo Pereira,レオナルド・ペレイラ
Sérgio Sette Câmara,セルジオ・セッテ・カマラ
Hernani Azevedo Junior,エルナニ・アゼヴェド・ジュニオル
John Teixeira,ジョン・マカパ
Felipe Pires,フェリペ・アウグスト・ロドリゲス・ピレス
Tiquinho Soares,フランシスコ・ダス・シャガス・ソアレス・ドス・サントス
Alex Oliveira (lutador),アレックス・オリベイラ・(格闘家)
Geferson,ジェフェルソン・セルケイラ・テレス
Rosamaria Montibeller,ロザマリア・モンチベレル
Augusto Sakai,アウグスト・サカイ
Wesley Moraes,ウェズレイ・モラエス・フェレイラ・ダ・シウヴァ
Guilherme Arana,ギリェルミ・アントニオ・アラーナ・ロペス
Alisson Becker,アリソン・ラムセス・ベッカー
Rafael da Silva,ラファエル・ダ・シルバ
Andrei Girotto,アンドレイ・ジロット
Pedro Henrique Pereira da Silva,ペドロ・エンヒキ・ペレイラ・ダ・シウヴァ
Kalindra Faria,カリンドラ・ファリア
Pedro Rocha Neves,ペドロ・ホーシャ・ネーヴェス
Bruna Honório,ブルーナ・オノリオ
Luís Henrique Farinhas Taffner,ルイス・エンリケ・ファリニャス・タフネル
Erik Nascimento Lima,エリキ・ナシメント・デ・リマ
Carlos Eduardo Ferreira de Souza,カルロス・エドゥアルド・フェヘイラ・ジ・ソウザ
Rodrigo Pinho,ホドリゴ・クーニャ・ペレイラ・ジ・ピーニョ
Joelinton,ジョエリントン・カッシオ・アポリナリオ・デ・リラ
Jorge Marco de Oliveira Moraes,ジョルジ・マルコ・デ・オリベイラ・モラエス
Yoandy Leal,イオアンディ・レアル
Rafael Carvalho,ハファエル・カルバーリョ
Luiz Felipe do Nascimento (futebolista),ルイス・フェリペ・ド・ナシメント・ドス・サントス
Thiago Santos (futebolista),チアゴ・ドス・サントス・(1989年生のサッカー選手)
Lucas Veríssimo,ルーカス・ベリッシモ・ダ・シルバ
Raquel Kochhann,ラケル・コシャン
Mina Klabin Warchavchik,ミナ・クラビン・ワルチャブチク
Sergio Moro,セルジオ・モロ
Mateus Vital,マテウス・ダ・シウヴァ・ヴィタウ・アスンプソン
Douglas Augusto,ドウグラス・アウグスト・ソアレス・ゴメス
Naiane Rios,ナイアネ・リオス
Gustavo Henrique Sousa,グスタヴォ・エンヒキ・ダ・シウヴァ・ソウザ
Kim Kataguiri,キム・カタギリ
Allan (futebolista),アラン・ロドリゲス・デ・ソウザ
José Carlos Ferreira Júnior,ジョゼ・カルロス・フェレイラ・ジュニオール
José Alves Neto,ホゼ・ネト
André Sergipano,アンドレ・ムニス
Igor Coronado,イゴーリ・カイケ・コロナド
Bernardo Fernandes da Silva Junior,ベルナルド・フェルナンデス・ダ・シルバ・ジュニオール
Léo Jardim,レオナルド・セザル・ジャルディム
João Victor Santos Sá,ジョアン・ヴィクトール・サントス・サ
Neris (futebolista),ウエグロ・ドス・サントス・ネリス
Gustavo Scarpa,グスタヴォ・エンヒキ・フルタード・スカルパ
Gabriel Jesus,ガブリエウ・フェルナンド・ジ・ジェズス
Kaio Mendes,カイオ・シウヴァ・メンデス
Lenora de Barros,レノラ・デ・バロス
Maycon de Andrade Barberan,マイコン・ジ・アンドラージ・バルベラン
Matheus Pereira da Silva,マテウス・ペレイラ・ダ・シウヴァ
Lyanco,リャンコ・エヴァンジェリスタ・シウヴェイラ・ネヴェス・ヴォイノヴィッチ
David Moura,ダビド・モウラ
William de Asevedo Furtado,ウィリアム・ジ・アゼヴェード・フルタード
Moisés Ribeiro,モイゼス・リベイロ・サントス
Douglas Tanque,ドウグラス・ウィリアン・ダ・シルバ・ソウザ
Léo Pelé,レオナルド・ピニェイロ・ダ・コンセイソン
Felipe Garcia,フェリペ・ガルシア・ゴンサウヴェス
Felipe Vizeu,フェリペ・ドス・ヘイス・ペレイラ・ヴィゼウ・ド・カルモ
Pabllo Vittar,パブロ・ヴィター
Gimenez (futebolista),ギリェルメ・ジメネス・ジ・ソウザ
Renê Rodrigues Martins,ヘネ・ホドリゲス・マルチンス
Melody (cantora),メロディー・(ブラジルの歌手)
Matheus Nicolau,マテウス・ニコラウ
Bruno Viana,ブルーノ・ヴィアナ・ヴィレメン・ダ・シウヴァ
Claudinho (futebolista),クラウジオ・ルイス・ホドリゲス・パリシ・レオネウ
Douglas Souza,ドウグラス・ソウザ
Jair Rodrigues Júnior,ジャイル・ホドリゲス・ジュニオール
Caio César da Silva Silveira,カイオ・セザール・ダ・シウヴァ・シウヴェイラ
Charles Luis Reiter,シャルレス・ルイス・ヘイテル
Raphael Claus,ラファエウ・クラウス
Marlon Rodrigues Xavier,マルロン・ロドリゲス・シャヴィエル
Ayrton Lucas,アイルトン・ルーカス・ダンタス・ジ・メデイロス
Alex Santana (futebolista),アレックス・パウロ・メネゼス・サンターナ
Lucas Perri,ルーカス・エステラ・ペリ
Rony (futebolista),ホニエルソン・ダ・シルバ・バルボサ
Caio Henrique,カイオ・エンヒキ・オリヴェイラ・シウヴァ
Lucas Mineiro,ルーカス・ダ・シウヴァ・イジドロ
Tchê Tchê,ダニーロ・ダス・ネヴェス・ピニェイロ
Vicente Luque,ビセンテ・ルケ
Marília Mendonça,マリリア・メンドンサ
Ariane Lipski,アリアネ・リプスキ
Léo Santos,レオナルド・ホドリゲス・ドス・サントス
Glaico França,グライコ・フランサ
Haline Scatrut,アリニ・スカトルト
Alexandre Pantoja,アレッシャンドリ・パントージャ
Renato Carneiro,ヘナート・モイカノ
Robson Bambu,ホブソン・アウヴェス・ジ・バロス
Cleiton Schwengber,クレイトン・シヴェングベル
Elias Martello Curzel,エリアス・マルテーロ・クルゼウ
Domilson Cordeiro dos Santos,ドミウソン・コルデイロ・ドス・サントス
Luiza Campos,ルイザ・カンポス
Victor Hugo Santana Carvalho,ヴィクター・ウーゴ・サンタナ・カルヴァーリョ
Márcio Stambowsky,マルシオ・スタンボスキ
Diego Pituca,ディエゴ・クリスティアーノ・エヴァリスト
Raphinha,ハファエウ・ジアス・ベローリ
Marcus Wendel Valle da Silva,マルコス・ヴェンデウ・ヴァーレ・ダ・シウヴァ
Jailson Marques Siqueira,ジャイウソン・マルケス・シケイラ
Pedro Henrique (futebolista),ペドロ・エンヒキ・ヒベイロ・ゴンサウヴェス
Marquinhos Trad,マルキーニョス・トラッド
Pedro Perotti,ペドロ・エンリケ・ペロッチ
Pedro Victor Delmino da Silva,ペドロ・ヴィクトル・デウミノ・ダ・シウバ
Vinícius Júnior,ヴィニシウス・ジョゼ・パイション・デ・オリヴェイラ・ジュニオール
Murilo Cerqueira,ムリロ・セルケイラ・パイム
Iury Castilho,イウリ・リーリオ・フレイタス・デ・カスティーリョ
Zé Ricardo (treinador),ジョゼ・リカルド・マナリーノ
Osman Júnior,オスマン・ジ・メネゼス・ヴェナンシオ・ジュニオール
Michel Ferreira dos Santos,ミシェウ・フェレイラ・ドス・サントス
Enzo Fittipaldi,エンツォ・フィッティパルディ
Luiz Felipe,ルイス・フェリペ・ラモス・マルチ
Luiz Araújo,ルイス・ジ・アラウージョ・ギマランイス・ネト
Leo Duarte,レオナルド・カンポス・ドゥアルチ・ダ・シウヴァ
Fabrício Bruno,ファブリシオ・ブルーノ・ソアレス・ジ・ファリア
Felipe Drugovich,フェリペ・ドルゴヴィッチ
Luiz Otávio da Silva Santos,ルイス・オタヴィオ・ダ・シウヴァ・サントス
Zé Ivaldo,ジョゼ・イヴァウド・アウメイダ・シウヴァ
Brenner,ブレンネル・ソウザ・ダ・シウヴァ
Brenner Marlos Varanda de Oliveira,ブレネー・マルロス・ヴァランダ・デ・オリヴェイラ
Ketlen Vieira,ケトレン・ヴィエラ
Douglas Silva de Andrade,ダグラス・シウバ・ジ・アンドラージ
Douglas Luiz,ドウグラス・ルイス・ソアレス・デ・パウロ
Eric Takabatake,エリキ・タカバタケ
Sinoê,シノエ
Wagner da Silva Souza,ワグネル・ダ・シウヴァ・ソウザ
Alan Empereur,アラン・ペレイラ・エンペレウル
Leandro Higo,レアンドロ・イーゴ
Matheus Fernandes (futebolista),マテウス・フェルナンデス・シケイラ
Bruno Tabata,ブルーノ・ヴィニシウス・ソウザ・ハモス
Jandrei,ジャンドレイ・シトリーナ・カルニエウ
José Coelho de Souza,ジョゼ・クエルオ・デ・ソウザ
Gabriel Costa França,ガブリエウ・コスタ・フランサ
Raphael Veiga,ハファエウ・カヴァウカンチ・ヴェイガ
Gabriel Magalhães,ガブリエウ・ドス・サントス・マガリャンイス
Flávio Gualberto,フラビオ・グアルベルト
Fábio Carille,ファビオ・ルイス・カリーレ・デ・アラウージョ
Cezar Bononi,セザル・ボノーニ
Carlos Vinícius,カルロス・ヴィニシウス・ダ・ポーズ・アウヴェス・モライス
Beatriz Souza,ベアトリス・ソウザ
Matheus Cunha,マテウス・サントス・カルネイロ・ダ・クーニャ
Caíque Santos,カイケ・ルイス・サントス・ダ・プリフィカソン
Daniel Cargnin (judoca),ダニエル・カルグニン
Matheus Rossetto,マテウス・ホゼット
Marcos do Nascimento Teixeira,マルコス・ド・ナシメント・テイシェイラ
Emerson Santos,エメルソン・ハイムンド・サントス
Matheusinho,マテウス・レオナルド・サレス・カルドソ
Adalberto Jardim,アダルベルト・ジャルディム
Lucas Paquetá,ルーカス・トレンティーノ・コエーリョ・ジ・リマ
Leonardo Gomes (futebolista),レオナルド・ゴメス・ダ・コンセイソン・シウヴァ
Vinícius Moreira de Lima,ヴィニシウス・モレイラ・ジ・リマ
Evander da Silva Ferreira,エヴァンデル・ダ・シウヴァ・フェレイラ
Arthur Gomes,アルトゥール・ゴメス・ロウレンソ
David Neres,ダヴィド・ネレス・カンポス
Gleison Bremer,グレイソン・ブレーメル・シウヴァ・ナシメント
"Paulinho (futebolista, 2000)",パウロ・エンヒキ・サンパイオ・フィーリョ
Paulo Borrachinha,パウロ・コスタ
Wenderson Galeno,ヴェンデルソン・ホドリゲス・ド・ナシメント・ガレーノ
Emerson Royal,エメルソン・アパレシド・レイテ・デ・ソウザ・ジュニオール
Rodrygo Goes,ロドリゴ・シウバ・デ・ゴエス
Arthur Melo,アルトゥール・エンヒキ・ハモス・ジ・オリヴェイラ・メロ
Richard Candido Coelho,ヒシャルジ・カンジド・コエーリョ
Yuri Alberto,ユーリ・アウベルト・モンテイロ・ダ・シウヴァ
Carlos Augusto,カルロス・アウグスト・ゾポラト・ネヴェス
Jean Pyerre,ジャン・ピエール・カーザグランジ・シウヴェイラ・コヘア
Éder Militão,エデル・ガブリエウ・ミリトン
Artur Victor,アルトゥール・ヴィクトル・ギマリャンイス
Pedro Guilherme Abreu dos Santos,ペドロ・ギリェルミ・アブレウ・ドス・サントス
Eike Duarte,アイケ・ドゥアルテ
Mauro Júnior,マウロ・ジャケソン・ジュニオール・フェレイラ・ドス・サントス
Andrew Parsons,アンドリュー・パーソンズ
Naomi Munakata,宗像直美
Domingos Chohachi Nakamura,ドミンゴス中村長八
Marquinhos Cipriano,マルコス・ロブソン・シプリアーノ
Júnior Brumado,ジョゼ・フランシスコ・ドス・サントス・ジュニオール
Renan Lodi,レナン・ロディ
Fernando dos Santos Pedro,フェルナンド・ドス・サントス・ペドロ
Ricardo Graça,リカルド・ケイロス・ジ・アレンカストロ・グラッサ
Lincoln Corrêa dos Santos,リンコン・コレア・ドス・サントス
Gustavo Nonato,グスタヴォ・ノナト・サンターナ
Iago Borduchi,イアゴ・アマラウ・ボルドゥシ
Márcio Almeida de Oliveira,マルシオ・アウメイダ・ジ・オリヴェイラ
Matheus Henrique,マテウス・エンヒキ・ジ・ソウザ
Deiveson Figueiredo,デイブソン・フィゲイレード
Jean Lucas (futebolista),ジェアン・ルーカス・ジ・ソウザ・オリヴェイラ
Hamilton Mourão,アミルトン・モウラン
Paulo André Camilo,パウロ・アンドレ・デ・オリベイラ
Matheus Thuler,マテウス・ソアレス・トゥーレル
Virna Jandiroba,ビルナ・ジャンジロバ
"Guga (futebolista, 1998)",クラウジオ・ホドリゲス・ゴメス
Thiago Seyboth Wild,チアゴ・ザイボチ・ヴィウチ
Patrick Teixeira,パトリック・テシェイラ
Pepê (futebolista),エドゥアルド・ガブリエウ・アキノ・コッサ
Thonny Anderson,トニー・アンデルソン・ダ・シウヴァ・カルヴァーリョ
Adryelson,アドリエウソン・シャヴァン・リマ・シウヴァ
Tiago Nunes,チアゴ・レトズラフ・ヌネス
Léo Ortiz,レオナルド・ヘシ・オルチス
Rodrigo Becão,ロドリゴ・ナシメント・フランサ
Matheuzinho,マテウス・フランサ・シウヴァ
Matheus Dantas,マテウス・ジ・ジェズス・ダンタス
Hugo Moura,ウーゴ・モウラ・アフーダ・ダ・シウヴァ
Guilherme Nunes,ギリェルミ・ヌネス・ダ・シウヴァ
Roger Ibañez,ロジェール・イバニェス・ダ・シウヴァ
Ezequiel Santos da Silva,エゼキエウ・サントス・ダ・シウヴァ
Kaio Jorge,カイオ・ジョルジ・ピント・ラモス
Davi Ramos,ダヴィ・ハモス
Daniel Fuzato,ダニエル・セラントゥラ・フザト
"Danilo (futebolista, 1999)",ダニーロ・ペレイラ・ダ・シウヴァ
Gabriel Menino,ガブリエウ・ヴィニシウス・メニーノ
Tetê (futebolista),マテウス・カルドーソ・レモス・マルチンス
Vitão (futebolista),ヴィトール・エドゥアルド・ダ・シウヴァ・マトス
Michael Richard Delgado de Oliveira,ミシャエウ・ヒシャルジ・デウガド・ジ・オリヴェイラ
Mayhara da Silva,メイハラ・フランチーニ
Marcos Antônio (futebolista),マルコス・アントニオ・シウヴァ・サントス
Itsuo Takayama,イツオ・タカヤマ
Marielle Franco,マリエル・フランコ
Richardson Fernandes dos Santos,ヒシャルジソン・フェルナンデス・ドス・サントス
Bruno Guimarães,ブルーノ・ギマランイス・ホドリゲス・モウラ
Arthur Cabral,アルトゥール・メンドンサ・カブラウ
Luan Vinícius da Silva Santos,ルアン・ヴィニシウス・ダ・シウヴァ・サントス
Éderson José dos Santos Lourenço da Silva,エデルソン・ジョゼ・ドス・サントス・ロウレンソ・ダ・シウヴァ
Lucas Halter,ルーカス・アウテル
Igor Fraga,イゴール・フラガ
Gabriel Brazão,ガブリエウ・ナシメント・ヘセンジ・ブラゾン
João Klauss de Mello,ジョアン・クラウス・ジ・メロ
Júnior Santos,ホセ・アントニオ・ドス・サントス・ジュニオール
Rose Volantê,ローズ・ボランテ
Mayany de Souza,マヤニー・ソウザ
Matheus Peixoto,マテウス・ヴィエイラ・カンポス・ペイショット
Reinier,ヘイニエル・ジェズス・カルヴァーリョ
Hugo Souza,ウーゴ・ジ・ソウザ・ノゲイラ
Rayssa Leal,ライッサ・レアウ
Rodrigo Nestor,ホドリゴ・ネストル・ベルタリア
"Paulinho (futebolista, 1995)",パウロ・ヴィクトル・ダ・シウヴァ
Cacá (futebolista de 1999),カルロス・デ・メネセス・ジュニオール
Antony Matheus dos Santos,アントニー・マテウス・ドス・サントス
Khellven,ケウヴェン・ドウグラス・シウヴァ・オリヴェイラ
Gabriel Martinelli,ガブリエウ・テオドロ・マルティネッリ・シウヴァ
Sandry Roberto,サンドリ・ホベルト・サントス・ゴエス
Johnny Walker,ジョニー・ウォーカー・(格闘家)
Talles Magno,ターレス・マグノ・バセラール・マルチンス
Wesley Ribeiro Silva,ヴェズレイ・ヒベイロ・シウヴァ
Vitor Hugo Naum dos Santos,ヴィトール・ウーゴ・ナウム・ドス・サントス
Erick Luis Conrado Carvalho,エリッキ・ルイス・コンラード・カルヴァーリョ
João Lucas (futebolista),ジョアン・ルーカス・ジ・アウメイダ・カルヴァーリョ
Lorenne Teixeira,ロレンネ・テイシェイラ
Tuta (futebolista nascido em 1999),ルーカス・シウバ・メロ
Nino (futebolista),マルシリオ・フロレンシオ・モタ・フィーリョ
Pedro Raul,ペドロ・ハウル・ガライ・ダ・シルバ
João Pedro Junqueira Jesus,ジョアン・ペドロ・ジュンケイラ・ジ・ジェズス
"Fábio Gomes (futebolista, 1997)",ファビオ・ロベルト・ゴメス・ネット
Alan Souza,アラン・ソウザ
Bruno Tubarão,ブルーノ・ヌネス・ジ・バホス
Milka Marcília,ミルカ・マルシリア
Igor Paixão,イゴール・ギリェルメ・バルボザ・ダ・パイション
Bruno Fuchs,ブルーノ・ジ・ララ・フッシシュ
Brenno,ブレンノ・オリヴェイラ・フラガ・コスタ
Rick (futebolista),リッキ・ジョナタン・リマ・モライス
Abner Vinícius,アブネル・ヴィニシウス・ダ・シウヴァ・サントス
Lucas Esteves,ルーカス・エステヴェス・ソウザ
Francisca Celsa dos Santos,フランシスカ・セルサ・ドス・サントス
Wellington Rato,ウェリントン・ソアレス・ダ・シウヴァ
Ângelo Gabriel,アンジェロ・ガブリエル・ボルヘス・ダマセノ
Breno Lopes,ブレーノ・エンヒキ・ヴァスコンセロス・ロペス
Thiago Moisés,ティアゴ・モイゼス
Rafael Navarro,ハファエウ・ナヴァーホ・レアウ
Johnny Cardoso,ジョニー・カルドーゾ
Pedro Gabriel Pereira Lopes,ペドロ・ガブリエウ・ペレイラ・ロペス
Ivan Quaresma da Silva,イヴァン・クアレスマ・ダ・シウヴァ
Igor Jesus Maciel da Cruz,イゴール・ジェズス・マシエウ・ダ・クルス
Natália Araújo,ナタリア・アラウージョ
Michel Pereira,ミシェル・ペレイラ
Roberto Satoshi Souza,ホベルト・サトシ・ソウザ
Junior Messias,ジュニオール・ウォルター・メシアス
Matheus Pato,マテウス・アントニオ・ソウザ・ドス・サントス
Marina Rodriguez,マリナ・ロドリゲス
Viviane Araújo (lutadora),ビビアン・アラウジョ
Francisco Evanilson de Lima Barbosa,フランシスコ・エヴァニウソン・ジ・リマ・バルボーザ
"Danilo (futebolista, 2001)",ダニーロ・ドス・サントス・ジ・オリヴェイラ
Leonardo Marques,レオナルド・マルケス・(ミュージシャン)
Igor Thiago,イゴーリ・チアゴ・ナシメント・ホドリゲス
Juan Santos da Silva,ジュアン・サントス・ダ・シウヴァ
Luan Patrick,ルアン・パトリキ・ヴィエドタウペル
Christian Roberto Alves Cardoso,クリスチアン・ホベルト・アウヴェス・カルドーゾ
Marcos Leonardo,マルコス・レオナルド・サントス・アウメイダ
Bento Matheus Krepski,ベント・マテウス・クレプスキ
Yan Couto,ヤン・ブエノ・コウト
Gabriel Veron,ガブリエウ・ヴェロン・フォンセカ・ジ・ソウザ
João Peglow,ジョアン・ガブリエウ・マルチンス・ペグロウ
Amanda Ribas,アマンダ・ヒバス
Patrick de Paula,パトリキ・ジ・パウラ・カヘイロ
Lázaro Vinícius,ラザロ・ヴィニシウス・マルケス
Pyong Lee,ピョン・リー
Lucão (futebolista),ルーカス・アレシャンドリ・ガウジーノ・ジ・アゼヴェド
Matheus Babi,マテウス・バルセロス・ダ・シウヴァ
Diego Costa (futebolista),ジエゴ・エンヒキ・コスタ・バルボーサ
João Gomes (futebolista),ジョアン・ヴィクトル・ゴメス・ダ・シウヴァ
Matheus Nascimento,マテウス・ナシメント・ジ・パウラ
Gabriela Chibana,ガブリエラ・チバナ
Renan Victor da Silva,ヘナン・ヴィクトル・ダ・シウヴァ
Tai Santos,タイナラ・サントス
Rogério Bontorin,ホジェリオ・ボントリン
Júlia Bergmann,ジュリア・バーグマン
"André (futebolista, 2001)",アンドレ・トリンダージ・ダ・コスタ・ネト
Sávio Moreira de Oliveira,サヴィオ・モレイラ・ジ・オリヴェイラ
"Morato (futebolista, 2001)",フェリペ・ロドリゲス・ダ・シウヴァ
Wesley David,ウェズレイ・ダヴィド・デ・オリヴェイラ・アンドラーデ
Luiz Henrique André Rosa da Silva,ルイス・エンヒキ・アンドレ・ホサ・ダ・シウヴァ
Eduardo Barrichello,エドゥアルド・バリチェロ
Delio Venturotti,デリオ・ベントゥロッティ
