Angela Merkel,アンゲラ・メルケル
Ernst I. (Sachsen-Gotha-Altenburg),エルンスト1世・(ザクセン＝ゴータ＝アルテンブルク公)
Rudolf Schlechter,ルドルフ・シュレヒター
Gustav Bauer,グスタフ・バウアー
Frits Clausen,フリッツ・クラウゼン
Dorothee Sölle,ドロテー・ゼレ
Ernst Wilhelm Bohle,エルンスト・ヴィルヘルム・ボーレ
Günther Pancke,ギュンター・パンケ
Martin Luther (Unterstaatssekretär),マルティン・ルター・(外交官)
Henry Maske,ヘンリー・マスケ
Ingrid Mickler-Becker,イングリット・ベッカー
Mathilde von Sachsen,マティルデ・フォン・ザクセン
René Kollo,ルネ・コロ
Otto Sander,オットー・ザンダー
Hermann Uhde (Sänger),ヘルマン・ウーデ
Johann Hartwig Ernst von Bernstorff,ヨハン・ハルトヴィヒ・エルンスト・フォン・ベルンシュトルフ
Ulrike Gräßler,ウルリケ・グレッスラー
Eleonore d’Olbreuse,エレオノール・ドルブリューズ
Carl Troll,カール・トロール
Eugen Johann Christoph Esper,オイゲン・ヨハン・クリストフ・エシュペル
Godfrey Kneller,ゴドフリー・ネラー
Emil Leeb,エミール・レープ
Harald Welte,ハラルト・ヴェルテ
Wolfgang Petersen,ウォルフガング・ペーターゼン
Gottfried Wagner (Regisseur),ゴットフリート・ワーグナー
Kurt Christoph von Schwerin,クルト・クリストフ・フォン・シュヴェリーン
Paul Levi,パウル・レヴィ
Ferdinand Schörner,フェルディナント・シェルナー
Sepp Dietrich,ヨーゼフ・ディートリヒ
Paul Hausser,パウル・ハウサー
Matthias Sammer,マティアス・ザマー
Eugen d’Albert,オイゲン・ダルベール
Alfred Bohrmann,アルフレート・ボーアマン
Ferdinand Sauerbruch,フェルディナント・ザウアーブルッフ
Werner Schroeter,ヴェルナー・シュレーター
Magda Goebbels,マクダ・ゲッベルス
Paul von Lettow-Vorbeck,パウル・フォン・レットウ＝フォルベック
Peter Müller (Ministerpräsident),ペーター・ミュラー・(政治家)
Ulrich Plenzdorf,ウルリヒ・プレンツドルフ
Hans von Seeckt,ハンス・フォン・ゼークト
Georg von Oldenburg,ゲオルク・フォン・オルデンブルク
Hermann II. (Thüringen),ヘルマン2世・(テューリンゲン方伯)
Alexander Wendt (Politikwissenschaftler),アレクサンダー・ウェント
Zé Roberto,ジョゼ・ロベルト・ダ・シウヴァ・ジュニオル
Adolf Galland,アドルフ・ガーランド
Hermann Kesten,ヘルマン・ケステン
Gustav Fröhlich,グスタフ・フレーリッヒ
Andreas von Bechtolsheim,アンディ・ベクトルシャイム
Paul Cassirer,パウル・カッシーラー
Carl Friedrich von Weizsäcker,カール・フリードリヒ・フォン・ヴァイツゼッカー
Kevin Mirocha,ケビン・ミロチャ
Margarete von der Pfalz,マルガレーテ・フォン・デア・プファルツ
Otto Heinrich (Pfalz-Sulzbach),オットー・ハインリヒ・(プファルツ＝ズルツバッハ公)
Georg von Küchler,ゲオルク・フォン・キュヒラー
Franz Halder,フランツ・ハルダー
Hans Rademacher,ハンス・ラーデマッヘル
Ralf Waldmann,ラルフ・ウォルドマン
Ernst Witt,エルンスト・ヴィット
Hans Albert,ハンス・アルバート
Didi Senft,悪魔おじさん
Carl Dahlhaus,カール・ダールハウス
Senta Berger,センタ・バーガー
Anneliese Rothenberger,アンネリーゼ・ローテンベルガー
Jonas Kaufmann,ヨナス・カウフマン
Erwin Stresemann,エルヴィン・シュトレーゼマン
Lena Valaitis,リナ・ワライティス
Herta Däubler-Gmelin,ヘルタ・ドイブラー＝グメリン
Dieter Zetsche,ディーター・ツェッチェ
Otto Weidt,オットー・ヴァイト
Walter Buch,ヴァルター・ブーフ
August (Pfalz-Sulzbach),アウグスト・(プファルツ＝ズルツバッハ公)
Christoph Schneider,クリストフ・シュナイダー
Ludwig Beck (General),ルートヴィヒ・ベック
Erhard Milch,エアハルト・ミルヒ
Herbert Kroemer,ハーバート・クレーマー
Walter Rethel,ヴァルター・レーテル
Erich I. (Sachsen-Lauenburg),エーリヒ1世・(ザクセン＝ラウエンブルク公)
August Wilhelm (Braunschweig-Wolfenbüttel-Bevern),アウグスト・ヴィルヘルム・(ブラウンシュヴァイク＝ヴォルフェンビュッテル＝ベーヴェルン公)
Lothar Bisky,ロタール・ビスキー
Gundi Busch,ガンディ・ブッシュ
Carl Herzog von Württemberg,カール・フォン・ヴュルテンベルク
Tobias Unger,トビアス・ウンガー
Severin Freund,ゼヴェリン・フロイント
Viola Bauer,ヴィオラ・バウアー
Hermann Sudermann,ヘルマン・ズーダーマン
Willy Rampf,ウィリー・ランプ
Horst Ludwig Störmer,ホルスト・ルートヴィヒ・シュテルマー
Robert Ritter,ロベルト・リッター
Bernd Pischetsrieder,ベルント・ピシェッツリーダー
Wolfgang Preiss,ヴォルフガング・プライス
Kati Winkler,カティ・ウィンクラー
Maria Jakobäa von Baden,マリア・ヤコベア・フォン・バーデン
Lothar Thoms,ロター・トムス
Walter Blume (SS-Mitglied),ヴァルター・ブルーメ
Theodor Hänsch,テオドール・ヘンシュ
Friedrich Blume (Musikwissenschaftler),フリードリヒ・ブルーメ
Béla Barényi,ベラ・バレニー
Heinrich Nordhoff,ハインリヒ・ノルトホフ
Ernst II. Leopold (Hessen-Rotenburg),エルンスト2世・レオポルト・(ヘッセン＝ローテンブルク方伯)
Werner von Blomberg,ヴェルナー・フォン・ブロンベルク
Hugo Ball,フーゴ・バル
Ralph Baer,ラルフ・ベア
Artur Fischer,アルトゥール・フィッシャー
Manfred von Ardenne,マンフレート・フォン・アルデンヌ
Claude Dornier,クラウディウス・ドルニエ
Erich Hartmann (Jagdflieger),エーリヒ・ハルトマン
Moritz Schlick,モーリッツ・シュリック
Joachim Peiper,ヨアヒム・パイパー
Wilhelm List,ヴィルヘルム・リスト
Arthur Arno Wachmann,アルノ・ヴァハマン
Gottfried Kirch,ゴットフリート・キルヒ
Rudolf Lehmann (Richter),ルドルフ・レーマン・(法律家)
Constantin Carathéodory,コンスタンティン・カラテオドリ
Hermann Paul (Germanist),ヘルマン・パウル
Thomas Ostermeier,トーマス・オスターマイアー
Erik Charell,エリック・シャレル
Stefan George,シュテファン・ゲオルゲ
Hans Adolf Krebs,ハンス・クレブス
Hans Lewy (Mathematiker),ハンス・レヴィー
Gerhard Domagk,ゲルハルト・ドーマク
Karin Dor,カリン・ドール
Katja Riemann,カッチャ・リーマン
Rudolf-Christoph von Gersdorff,ルドルフ＝クリストフ・フォン・ゲルスドルフ
Sophie von der Pfalz,ゾフィー・フォン・デア・プファルツ
Andreas Hinkel,アンドレアス・ヒンケル
Kurt Meyer (SS-Mitglied),クルト・マイヤー
Marion Gräfin Dönhoff,マリオン・G・デーンホフ
Wolfgang Paul (Physiker),ヴォルフガング・パウル
Sabine Bergmann-Pohl,ザビーネ・ベルクマン＝ポール
Nikolaus von Falkenhorst,ニコラウス・フォン・ファルケンホルスト
Tom Tykwer,トム・ティクヴァ
Sigmund Jähn,ジークムント・イェーン
Johann Friedrich Gmelin,ヨハン・フリードリヒ・グメリン
Juan Linz,ホアン・リンス
Ferdinand Leitner,フェルディナント・ライトナー
Walther Rauff,ヴァルター・ラウフ
Dana Vávrová,ダーナ・ヴァヴロヴァ
Theodor Blank,テオドール・ブランク
Peter Altmaier,ペーター・アルトマイヤー
Johann Kasimir (Pfalz-Simmern),ヨハン・カジミール・(プファルツ＝ジンメルン公)
Ernst Baier,エルンスト・バイアー
Wilhelm (Jülich-Kleve-Berg),ヴィルヘルム5世・(ユーリヒ＝クレーフェ＝ベルク公)
Wilhelm der Jüngere (Braunschweig-Lüneburg),ヴィルヘルム・デア・ユンゲレ・(ブラウンシュヴァイク＝リューネブルク公)
Walther Funk,ヴァルター・フンク
Johannes Blaskowitz,ヨハネス・ブラスコヴィッツ
Ernst Bloch,エルンスト・ブロッホ
Niklas Luhmann,ニクラス・ルーマン
Hertha Bothe,ヘルタ・ボーテ
Manuel Reuter,マヌエル・ロイター
Manuela Henkel,マヌエラ・ヘンケル
Alex Wright,アレックス・ライト
Oskar von Hutier,オスカー・フォン・フーチェル
Karl Abraham,カール・アーブラハム
Max Kalbeck,マックス・カルベック
Hans Georg Anscheidt,ハンス＝ゲオルグ・アンシャイト
Eberhard von Danckelman,エーバーハルト・フォン・ダンケルマン
Karen Horney,カレン・ホーナイ
Ernst Ruska,エルンスト・ルスカ
Klaus von Klitzing,クラウス・フォン・クリッツィング
Heike Drechsler,ハイケ・ドレクスラー
Hans Modrow,ハンス・モドロウ
Wendelin Wiedeking,ヴェンデリン・ヴィーデキング
Beatrix von Bayern (1344–1359),ベアトリクス・フォン・バイエルン
Elsa Einstein,エルザ・アインシュタイン
Hermann Muhs,ヘルマン・ムース
Klaus Hänsch,クラウス・ヘンシュ
Josias von Heeringen,ヨシアス・フォン・ヘーリンゲン
Heinz Tietjen,ハインツ・ティーティエン
Michael Lippert,ミヒャエル・リッペルト
Emil Haussmann,エミール・ハウスマン
Wolfgang Rolff,ヴォルフガンク・ロルフ
Maurizio Gaudino,マウリツィオ・ガウディーノ
Karl (Hessen-Kassel),カール・(ヘッセン＝カッセル方伯)
Alexander von Falkenhausen (General),アレクサンダー・フォン・ファルケンハウゼン
Johann Wilhelm (Sachsen-Eisenach),ヨハン・ヴィルヘルム・(ザクセン＝アイゼナハ公)
Matthias Pintscher,マティアス・ピンチャー
Hans Furler,ハンス・フルラー
Anton Günther Herzog von Oldenburg,アントン・ギュンター・フォン・オルデンブルク
Graciano Rocchigiani,グラシアノ・ロッシジャーニ
Rudolf August (Braunschweig-Wolfenbüttel),ルドルフ・アウグスト・(ブラウンシュヴァイク＝ヴォルフェンビュッテル公)
Maria Sibylla Merian,マリア・ジビーラ・メーリアン
Ernst Zermelo,エルンスト・ツェルメロ
Wilhelm Bittrich,ヴィルヘルム・ビットリヒ
Paul Hindemith,パウル・ヒンデミット
Amalie zu Solms-Braunfels,アマーリエ・フォン・ゾルムス＝ブラウンフェルス
Ulf Timmermann,ウルフ・ティンマーマン
Heinrich Aldegrever,ハインリヒ・アルデグレーファー
Reinhold Roth (Rennfahrer),ラインハルト・ロス
August Thienemann,アウグスト・ティーネマン
Philipp II. (Baden-Baden),フィリップ2世・(バーデン＝バーデン辺境伯)
Cora Stephan,アンネ・シャプレ
Sizzo von Schwarzburg,ジッツォ・フォン・シュヴァルツブルク
Hugo Gressmann,フーゴー・グレスマン
August Apel,ヨハン・アウグスト・アーペル
Margrit Kennedy,マルグリット・ケネディ
Jens Müller (Rennrodler),イェンス・ミューラー
Wolf Erlbruch,ヴォルフ・エァルブルッフ
Erwin Blask,エルヴィン・ブラスク
Konstantin Prinz von Bayern,コンスタンティン・フォン・バイエルン
Wolfgang Schneiderhan (General),ヴォルフガング・シュナイダーハン・(軍人)
Josef Rufer,ヨーゼフ・ルーファー
Richard Freitag,リヒャルト・フライターク
Alfred Saalwächter,アルフレート・ザールヴェヒター
Matthias Kleinheisterkamp,マティアス・クラインハイスターカンプ
Hans Apel,ハンス・アーペル
Josef Kammhuber,ヨーゼフ・カムフーバー
Ralph Kronig,ラルフ・クローニッヒ
Richard zu Sayn-Wittgenstein-Berleburg,リヒャルト・ツー・ザイン＝ヴィトゲンシュタイン＝ベルレブルク
Arthur Nikisch,アルトゥール・ニキシュ
Hasso von Manteuffel,ハッソ・フォン・マントイフェル
Gotthard Heinrici,ゴットハルト・ハインリツィ
Jean-Pol Martin,ジャン＝ポール・マーティン
Violante Beatrix von Bayern,ヴィオランテ・ベアトリーチェ・ディ・バヴィエーラ
Oskar Kummetz,オスカー・クメッツ
Wolfram Sievers,ヴォルフラム・ジーヴァス
Heike Makatsch,ハイケ・マカチュ
Werner Maihofer,ウェルナー・マイホーファー
James Last,ジェームス・ラスト
Traudl Junge,トラウデル・ユンゲ
Heinz London,ハインツ・ロンドン
Alfred Schlemm,アルフレート・シュレム
Georg Alexander Herzog zu Mecklenburg,ゲオルク・アレクサンダー・ツー・メクレンブルク
Jürgen Möllemann,ユルゲン・メレマン
Richard Reinhard Emil Schorr,リヒャルト・ショール
Ralf Rocchigiani,ラルフ・ロッシジャーニ
Erhard Krack,エアハルト・クラック
Boris Groys,ボリス・グロイス
Kai-Uwe von Hassel,カイ＝ウヴェ・フォン・ハッセル
Walter Riester,ヴァルター・リースター
Karl Rathgen,カール・ラートゲン
Karl Larenz,カール・ラーレンツ
Hans Pietsch (Go-Spieler),ハンス・ピーチ
Elisabeth von Bayern (1383–1442),エリーザベト・フォン・バイエルン・(1383-1442)
Wolfgang Egger,ヴォルフガング・エッガー
Eduard Seler,エドゥアルト・ゼーラー
Friedrich Tuta,フリードリヒ・トゥタ
Georg Johann I. (Pfalz-Veldenz),ゲオルク・ヨハン1世・(プファルツ＝フェルデンツ公)
Hans Jonas,ハンス・ヨナス
Anneliese Michel,アンネリーゼ・ミシェル
Otto Kretschmer (Marineoffizier),オットー・クレッチマー
Albert Göring,アルベルト・ゲーリング
Friedrich von Baden-Durlach,フリードリヒ・フォン・バーデン＝ドゥルラハ
Melchior Hofmann,メルキオール・ホフマン
Erich von dem Bach-Zelewski,エーリヒ・フォン・デム・バッハ＝ツェレウスキー
Balthasar Hubmaier,バルタザール・フープマイヤー
Wilhelm II. (Württemberg),ヴィルヘルム2世・(ヴュルテンベルク王)
Elisabeth Schwarzkopf,エリーザベト・シュヴァルツコップ
Ulrich Mühe,ウルリッヒ・ミューエ
Walter Baade,ウォルター・バーデ
Erich Mielke,エーリッヒ・ミールケ
Hans-Gert Pöttering,ハンス＝ゲルト・ペテリング
Robert Michels,ロベルト・ミヒェルス
Volker Schlöndorff,フォルカー・シュレンドルフ
Gustav Lombard,グスタフ・ロンバルト
Gebhard Müller,ゲブハルト・ミュラー
Karl Hermann Frank,カール・ヘルマン・フランク
Joschka Fischer,ヨシュカ・フィッシャー
Volker Beck,フォルカー・ベック・(政治家)
