Diego Velázquez,ディエゴ・ベラスケス
Joaquín Torres García,ホアキン・トレス・ガルシア
Sergio Ballesteros,セルヒオ・マルティネス・バジェステロス
César Cruchaga,セサル・クルチャガ
Wellington Silva,ウェリントン・アウヴェス・ダ・シウバ
Melchor Cano,メルチョル・カノ
Nando Muñoz,ナンド・ムニョス
Jimmy Jump,ジミー・ジャンプ
Rubén de la Red,ルベン・デ・ラ・レー
Adolfo Suárez,アドルフォ・スアレス
Tommy Robredo,トミー・ロブレド
Haimar Zubeldia,アイマル・スベルディア
Jonathan Soriano,ホナタン・ソリアーノ・カサス
Enrique Vila-Matas,エンリーケ・ビラ＝マタス
Conde-duque de Olivares,ガスパール・デ・グスマン
Pedro Munitis,ペドロ・ムニティス
Victoria Padial,ビクトリア・パディアル
Carlos de Borbón-Dos Sicilias,カルロス・デ・ボルボン＝ドス・シシリアス
Carlos Luis de Borbón y Braganza,カルロス・ルイス・デ・ボルボン・(モンテモリン伯)
Héctor Barberá,エクトル・バルベラ
Ricardo Madrazo,リカルド・デ・マドラーソ
David Canal,ダビド・カナル
Vicente del Bosque,ビセンテ・デル・ボスケ
Antonio Fabrés,アントニオ・ファブレス
Miguel Palanca,ミゲル・パランカ
Javier Flaño,ハビエル・フラーニョ
Poli Rincón,イポリト・リンコン
Miguel Linares,ミゲル・リナレス
Francisco de Orellana,フランシスコ・デ・オレリャーナ
Manu Chao,マヌ・チャオ
Luis Royo,ルイス・ロヨ
Adolfo Nicolás Pachón,アドルフォ・ニコラス
Rafael Martín Vázquez,マルティン・バスケス
Domingo Báñez,ドミンゴ・バニェス
Federico Chueca,フェデリコ・チュエカ
Carlos Arias Navarro,カルロス・アリアス・ナバーロ
Oriol Lozano,オリオル・ロサーノ
Francisco Molinero,フランシスコ・モリネーロ
Faustino Rupérez,ファウスティノ・ルペレス
Javi Rodríguez Nebreda,ハビ・ロドリゲス
José Ortiz Bernal,ホセ・オルティス・ベルナル
Fernando Varela Ramos,フェルナンド・バレラ
Mikel Lasa,ミケル・ラサ
Andreu Fontàs,アンドレウ・フォンタス
Joseba Llorente,ホセバ・ジョレンテ
María de las Mercedes de Orleans,マリア・デ・ラス・メルセデス・デ・オルレアンス
Anabel Medina,アナベル・メディナ・ガリゲス
Vicente Blasco Ibáñez,ビセンテ・ブラスコ・イバニェス
Luis de Góngora,ルイス・デ・ゴンゴラ
Pío Baroja,ピオ・バローハ
Leonor de Borbón,レオノール・デ・ボルボン
Victorio Unamuno,ビクトリオ・ウナムノ
Rodrigo Moreno Machado,ロドリゴ・モレノ・マチャド
Albert Riera Ortega,アルベルト・リエラ
Tomás Luis de Victoria,トマス・ルイス・デ・ビクトリア
Stephen Sunday,ステファン・サンデー
Pablo Andújar,パブロ・アンドゥハル
Francisco Hernández de Córdoba (fundador de Nicaragua),フランシスコ・エルナンデス・デ・コルドバ・(ニカラグアの創設者)
Antonio Buero Vallejo,アントニオ・ブエロ・バリェホ
Aitor Karanka,アイトール・カランカ
José Luis Núñez,ホセ・ルイス・ヌニェス
José Pesarrodona,ホセ・ペサロドナ
Ernesto Halffter,エルネスト・アルフテル
Pedro María Artola,ペドロ・アルトラ
Adrián Escudero,アドリアン・エスクデロ
Adrián Colunga,アドリアン・コルンガ
Vicente Martín y Soler,ビセンテ・マルティーン・イ・ソレル
Riki (futbolista),イバン・サンチェス・リコ・ソト
Iñaki Sáez,イニャキ・サエス
Juanfran García,フアン・フランシスコ・ガルシア
Tayseer Allouni,タイシール・アッルーニー
Juan Luis Mora,フアン・ルイス・モラ
Antonio González Velázquez,アントニオ・ゴンサレス・ベラスケス
Angelino Soler,アンヘリノ・ソレル
Xavier Montsalvatge,ハビエル・モンサルバーチェ
Francisco Rufete,フランシスコ・ルフェテ
Manteca Martínez,セルヒオ・ダニエル・マルティネス
Diego de Austria,ディエゴ・デ・アウストリア
Pablo Alfaro,パブロ・アルファロ
Alejandro Gálvez,アレックス・ガルベス
Jordi Mollà,ジョルディ・モリャ
Quique Álvarez,キケ・アルバレス
Serafín Zubiri,セラフィン・スビリ
Pablo Pinillos,パブロ・ピニジョス
Francisco Hernández de Toledo,フランシスコ・エルナンデス・デ・トレド
Francisco Rizi,フランシスコ・リシ
Sergio Corino,セルヒオ・コリーノ
Juan Ginés de Sepúlveda,フアン・ヒネス・デ・セプルベダ
Edmundo Suárez de Trabanco,エドムンド・スアレス
Alejandro Agag,アレハンドロ・アガグ
Adriana Ugarte,アドリアーナ・ウガルテ
Ikechukwu Uche,イケチュク・ウチェ
Cristóbal Halffter,クリストバル・アルフテル
Alberto Moncayo,アルベルト・モンカヨ
Bernardo Atxaga,ベルナルド・アチャーガ
Jeb Bush,ジェブ・ブッシュ
Luis Enrique Martínez García,ルイス・エンリケ
Dani Jarque,ダニエル・ハルケ
Tito Vilanova,フランセスク・ビラノバ
Santiago Bernabéu,サンティアゴ・ベルナベウ
Jacinto Verdaguer,ジャシン・バルダゲー
Julio Llamazares,フリオ・リャマサーレス
Luis Prieto,ルイス・プリエト
David López García,ダビ・ロペス・ガルシア
Iñaki Isasi,イニャキ・イサシ
Joan Horrach,ホアン・オラチ
Antoni Ramallets,アントニ・ラマレッツ
Jorge López Montaña,ホルヘ・ロペス・モンターニャ
Jesús España,ヘスス・エスパニャ
Jesús María Zamora,ヘスス・マリア・サモラ
Gerardo García León,ヘラルド・ガルシア・レオン
Jacinto Quincoces,ジャシント・キンコセス
Iago Herrerín,イアゴ・エレリン
José Ángel Iribar,ホセ・アンヘル・イリバル
Markel Irizar,マルケル・イリサール
Juanito Gutiérrez,フアン・グティエレス・モレノ
Andoni Zubizarreta,アンドニ・スビサレッタ
Míchel Salgado,ミチェル・サルガド
Roberto Soldado,ロベルト・ソルダード
Koldo Álvarez,コルド・アルバレス
Miguel López-Alegría,マイケル・ロペス＝アレグリア
Adrián González Morales,アドリアン・ゴンサレス
Santiago Acasiete,サンティアゴ・アカシエテ
Alonso Cano,アロンソ・カーノ
Sergio Gadea,セルヒオ・ガデア
Romà Forns,ローマ・フォルンス
Julen Aguinagalde,ユレン・アギナガルデ
Azahara Muñoz,アサアラ・ムニョス
Mariano Salvador Maella,マリアーノ・サルバドール・マエラ
Emilio Alzamora,エミリオ・アルサモラ
Juan Cala,フアン・トーレス・ルイス
Felipe I de Parma,フィリッポ1世・(パルマ公)
Manuel Roxas,マニュエル・ロハス
Feliciano López,フェリシアーノ・ロペス
Xisco Nadal,シスコ・ナダル
Roberto Solozábal,ロベルト・ソロサバル
Loren Juarros,ロレンソ・フアーロス・ガルシア
Ivan Benito,イバン・ベニート
Juan de Mesa,フアン・デ・メサ
Javier Cámara,ハビエル・カマラ
Juan Ramón López Caro,フアン・ラモン・ロペス・カロ
Carlos Hugo de Borbón-Parma,カルロス・ウゴ・デ・ボルボン＝パルマ
Pompeu Fabra,プンペウ・ファブラ
Quini,エンリケ・カストロ・ゴンサレス
David Belenguer,ダビド・ベレンゲル
Gustavo César Veloso,グスタボ・セサル
María Cristina de Habsburgo-Lorena,マリア・クリスティーナ・フォン・エスターライヒ・(1858-1929)
Roberto Fernández Alvarellos,ロベルト・フェルナンデス・アルバジェロス
Juan Velasco Damas,フアン・ベラスコ
Enrique Romero,エンリケ・ロメロ
Virginia Ruano,ビルヒニア・ルアノ・パスクアル
María Luisa de Orleans,マリー・ルイーズ・ドルレアン
María Luisa de Parma,マリア・ルイサ・デ・パルマ
María Luisa de Borbón,マリア・ルドヴィカ・フォン・シュパーニエン
Bernardino de Sahagún,ベルナルディーノ・デ・サアグン
Pedro Salinas,ペドロ・サリーナス
Juan Prim,フアン・プリム
Mariano Fortuny,マリアノ・フォルトゥーニ
Mikel Laboa,ミケル・ラボア
María Vladímirovna Románova,マリヤ・ウラジーミロヴナ・ロマノヴァ
María Luisa Gabriela de Saboya,マリア・ルイーザ・ディ・サヴォイア
Isabel Farnesio,エリザベッタ・ファルネーゼ
María Isabel López,マリア・イサベル
Manolo «el del Bombo»,マヌエル・カセレス・アルテセーロ
Ignasi Miquel,イグナシ・ミケル
Armando Lozano,アルマンド・ロサーノ
Julián Estéban,ジュリアン・エステバン
Sisi (futbolista),シシーニョ・ゴンサレス・マルティネス
Carla Suárez,カルラ・スアレス・ナバロ
Elsa Pataky,エルサ・パタキー
María José Martínez,マリア・ホセ・マルティネス・サンチェス
Roger García Junyent,ロジェール・ガルシア
Carmen Polo,カルメン・ポロ
Quim Gutiérrez,キム・グティエレス
Chiquito de la Calzada,チキト・デ・ラ・カルサーダ
Andy Soucek,アンディ・ソウセック
Luis Roldán Ibáñez,ルイス・ロルダン
Toni Elías,トニ・エリアス
José Antonio Aguirre,ホセ・アントニオ・アギーレ
Antonio de Torres,アントニオ・デ・トーレス
Xavier Zubiri,ハビエル・スビリ
José María Gil-Robles y Gil-Delgado,ホセ・マリア・ヒル＝ロブレス・イ・ヒル＝デルガド
José Antonio Hermida,ホセ・アントニオ・エルミダ
Soraya Arnelas,ソラーヤ・アルネラス
Javier Fesser,ハビエル・フェセル
Geraldine Chaplin,ジェラルディン・チャップリン
Cristina de Borbón,クリスティナ・デ・ボルボーン・イ・デ・グレシア
Alicia de Larrocha,アリシア・デ・ラローチャ
Mireia Belmonte,ミレイア・ベルモンテ
Isabel Coixet,イザベル・コイシェ
Natalia Oreiro,ナタリア・オレイロ
Belinda (cantante),ベリンダ・(歌手)
María Isabel de Braganza,マリア・イサベル・デ・ブラガンサ
Fran Ventoso,フランシスコ・ベントソ
Javier Cercas,ハビエル・セルカス
Fernando Trueba,フェルナンド・トルエバ
Conchita Martínez,コンチタ・マルティネス
Ramón Menéndez Pidal,ラモン・メネンデス・ピダル
José María Romero Poyón,ホセ・マリア・ロメロ・ポジョン
José Ángel Gómez Marchante,ホセ・アンヘル・ゴメス・マルチャンテ
Juan Antonio Bardem,フアン・アントニオ・バルデム
David Cañada,ダビ・カニャダ
Mariana Victoria de Borbón,マリアナ・ビクトリア・デ・ボルボーン
Bárbara de Braganza,バルバラ・デ・ブラガンサ
Fabiola de Mora y Aragón,ファビオラ・デ・モラ・イ・アラゴン
Felipe IV de España,フェリペ4世・(スペイン王)
Victoria de los Ángeles,ビクトリア・デ・ロス・アンヘレス
María de Jesús de León y Delgado,マリア・デ・レオン
Carlota Joaquina de Borbón,カルロッタ・ジョアキナ・デ・ボルボン
Teresa Berganza,テレサ・ベルガンサ
María Luisa de Borbón (1782-1824),マリーア・ルイーザ・ディ・スパーニャ
Àstrid Bergès-Frisbey,アストリッド・ベルジュ＝フリスベ
Severo Ochoa,セベロ・オチョア
Miguel Pallardó,ミゲル・パジャルド
Germán Colón,ジェルマ・コロン
Sergi Roberto,セルジ・ロベルト
Alonso Álvarez de Pineda,アロンソ・アルバレス・デ・ピネダ
Salva Ballesta,サルバ・バジェスタ
David García de la Cruz,ダビド・ガルシア・デ・ラ・クルス
Marc Torrejón,マルク・トレホン
Antonio Tauler,トニ・タウレル
María Antonia Fernanda de Borbón,マリーア・アントニア・ディ・スパーニャ
Lucía Pérez,ルシーア・ペレス
María Teresa Rafaela de España,マリー＝テレーズ＝ラファエル・ド・ブルボン
Ferrante I Gonzaga,フェランテ1世・ゴンザーガ
Luis García Berlanga,ルイス・ガルシア・ベルランガ
Cristóbal Balenciaga,クリストバル・バレンシアガ
David de la Fuente,ダビ・デ・ラ・フエンテ
Víctor Muñoz,ビクトル・ムニョス
José Joaquín Rojas,ホセ・ホアキン・ロハス
Alberto Zapater,アルベルト・サパテル
Frank Braña,フランク・ブラナ
Joaquín Domínguez Bécquer,ホアキン・ドミンゲス・ベッケル
Rubén Iván Martínez Andrade,ルベン・マルティネス
Manolo Beltrán,マヌエル・ベルトラン
Carlos Garaikoetxea,カルロス・ガライコエチェア
Amaia Montero,アマイア・モンテロ
Manu Fernández,マヌ・フェルナンデス
Alejandro de Bournonville,アレクサンドル・ド・ブルノンヴィル
Felipe Próspero de Austria,フェリペ・プロスペロ・デ・アウストリア
Rebeca Linares,レベッカ・リナレス
María Isabel de Borbón,マリーア・イザベッラ・ディ・スパーニャ
Catalina Micaela de Austria,カタリーナ・ミカエラ・デ・アウストリア
Chimo Bayo,チモ・バヨ
Fele Martínez,フェレ・マルティネス
Sergi López,セルジ・ロペス
Jaime Mayor Oreja,ハイメ・マジョール・オレハ
Fadrique Álvarez de Toledo y Enríquez de Guzmán,ファドリケ・アルバレス・デ・トレド
Ana de Armas,アナ・デ・アルマス
María Francisca de Braganza,マリア・フランシスカ・デ・アシス・デ・ブラガンサ
María Zambrano,マリア・サンブラーノ
María de las Mercedes de Borbón y Orleans,マリア・デ・ラス・メルセデス・デ・ボルボーン＝ドス・シシリアス
Leonor Watling,レオノール・ワトリング
Maribel Verdú,マリベル・ベルドゥ
Remedios Varo,レメディオス・バロ
Nuria Llagostera,ヌリア・リャゴステラ・ビベス
Carmen Maura,カルメン・マウラ
María Josefa Amalia de Sajonia,マリア・ホセファ・デ・サホニア
Lobo Carrasco,フランシスコ・ホセ・カラスコ
Pedro Fages,ペドロ・ファヘス
Francisco de Montejo "El Adelantado",フランシスコ・デ・モンテーホ
Bernardo de Gálvez,ベルナルド・デ・ガルベス
Felip Ortiz,フェリプ・オルティス
Paz Vega,パス・ベガ
María Antonia de Nápoles,マリア・アントニア・デ・ナポレス・イ・シシリア
Carlos Sainz Jr.,カルロス・サインツJr.
Vicente Aranda,ビセンテ・アランダ
Félix Candela,フェリックス・キャンデラ
Ramón Franco,ラモン・フランコ
