España,스페인
Banco de Aragón,Banco de Aragón
Estadi Johan Cruyff,에스타디 요한 크라위프
presidente del Tribunal Supremo,스페인 대법원장
El Genio de Andalucía,El Genio de Andalucía
Copa del Rey 2017-18,코파 델 레이 2017-18
Patio del castillo de Vélez Blanco,벨레즈 블랑코 성의 베란다
Segunda División de España 2017-18,세군다 디비시온 2017-18
Supercopa de España de Fútbol 2017,수페르코파 데 에스파냐 2017
Abejar,Abejar
Declaración unilateral de independencia de Cataluña de 2017,카탈루냐 독립선언
Autovía de Tabernas,오토비아 데 타베르나스 (스페인)
Ciudad de Zaragoza,사라고사시
iglesia de Nuestra Señora de la Encarnación,Iglesia de Nuestra Señora de la Encarnación
crisis constitucional española de 2017-2018,2017년 스페인 헌정위기
atentados en Cataluña en 2017,2017년 바르셀로나 테러
Operación Anubis,아누비스 작전
España en los Juegos Olímpicos de Tokio 2020,2020년 하계 올림픽 스페인 선수단
Copa del Rey de fútbol 2018-19,코파 델 레이 2018-19
Federación Canaria de Fútbol,Federación Canaria de Fútbol
Final de la Copa del Rey de fútbol 2017-2018,2018 코파 델 레이 결승전
elecciones generales de España de abril de 2019,2019년 스페인 총선거
Europa del suroeste,남서유럽
Primera División de España 2018-19,라리가 2018-19
Supercopa de España de Fútbol 2018,수페르코파 데 에스파냐 2018
Base de datos de libros editados en España,스페인에서 출판된 도서 데이터베이스
Copa Eva Duarte 1950-51,코파 에바 두아르테 1951
embajada de Corea del Sur en España,주스페인 대한민국 대사관
embajada de Arabia Saudita en España,주 스페인 사우디아라비아 대사관
Segunda División de España 2018-19,세군다 디비시온 2018-19
Autopista del Cantábrico,오토비아 델 칸타브리코 (스페인)
XX Congreso del PP,제20차 국민당 전국대표대회(스페인)
Final de la Copa del Rey de fútbol 2018-2019,2019 코파 델 레이 결승전
Club de Fútbol Huracán Moncada,CF 우라칸 몬카다
provincia histórica de España,스페인의 옛 도
Religión en Canarias,religion in the Canary Islands
Consulado General de la República Popular China en Barcelona,주바르셀로나 중화인민공화국 대사관
Copa del Rey de fútbol 2019-20,코파 델 레이 2019-20
director del Museo del Prado,프라도 미술관장
Extinction Rebellion,멸종에의 반란
Supercopa de España de Fútbol 2019,2020년 수페르코파 데 에스파냐
PortAventura Park,포르트아벤투라
embajada de Corea del Norte en España,주스페인 조선민주주의인민공화국 대사관
Primera División de España 2019-20,라리가 2019-20
Partido Comunista de los Trabajadores de España,에스파냐 노동공산당
Segunda División de España 2019-20,세군다 디비시온 2019-20
elecciones generales de España de noviembre de 2019,2019년 11월 스페인 총선거
ruta jacobea en España,산티아고 순례길 스페인 구간
Más País,마스 파이스
registro de autoridades BNE,BNE 전거 파일
Primera División de España 2020-21,라리가 2020-21
Final de la Copa del Rey de fútbol 2019-20,2020 코파 델 레이 결승전
pandemia de COVID-19 en España,스페인의 코로나19 범유행
Elecciones generales de España de 2023,2023년 스페인 총선거
pandemia de COVID-19,코로나바이러스감염증-19 유행
Biblioteca del Parlamento de las Illes Balears,발레아레스 제도 의회 도서관 및 문서 서비스
epidemia de enfermedad por coronavirus de 2019-2020 en Europa,유럽의 코로나바이러스감염증-19 유행
final de la Liga Europea de la UEFA 2021-22,2022 UEFA 유로파리그 결승전
Supercopa de España de Fútbol 2021,수페르코파 데 에스파냐 2020-21
Copa del Rey 2020-21,코파 델 레이 2020-21
LaLiga Smartbank 2020/21,세군다 디비시온 2020-21
Real Madrid Femenino,레알 마드리드 페메니노
Primera Federación,프리메라 디비시온 RFEF
Final de la Copa del Rey de fútbol 2020-21,2021 코파 델 레이 결승전
Team Heretics,팀 헤레틱스
Segunda Federación,세군다 페데라시온
Tercera Federación,테르세라 페데라시온
Batalla de El Trocadero,트로카데로 전투
embajada de Gambia en España,주스페인 감비아 대사관
Segunda División de España 2021-20,세군다 디비시온 2021-22
Catalunya-Aliverti-Kookai 2003,Catalunya-Aliverti-Kookai 2003
Supercopa de España de Fútbol 2022,수페르코파 데 에스파냐 2021-22
región de España,스페인의 지방
Primera División de España 2021-22,라리가 2021-22
Villarreal Club de Fútbol Femenino,비야레알 CF
www.museodelprado.es,www.museodelprado.es
Real Madrid Club de Fútbol "B",레알 마드리드 B 페메니노
Copa del Rey 2021-22,코파 델 레이 2021-22
Teatro Real,왕립극장
formación de gobierno en España (2019-2020),2019-2020년 스페인 정부 구성
"Mapa Topográfico Nacional MTN 25. Hoja 970-IV, Pedro Martínez","국가 지형도 MTN 25. Sheet 970-IV, Pedro Martínez"
O Gran Camiño,그란 카미뇨
Palencia CF SAD,팔렌시아 CF
Final de la Copa del Rey de fútbol 2021-22,2022 코파 델 레이 결승전
Primera División de España 2022-23,라리가 2022-23
Vuelta a Andalucía 2022,2022 Vuelta a Andalucía
Copa del Rey de fútbol 2022-23,코파 델 레이 2022-23
Autopista Navarra-Guipúzcoa,나바라-귀푸스코아 고속도로 (스페인)
Rey de Navarra,나바라 국왕
Reino de Navarra,나바라 왕국
Supercopa de España de Fútbol 2023,수페르코파 데 에스파냐 2023
Autovía de Leizarán,레이차란 고속도로 (스페인)
KOI,코이 (e스포츠)
título del monarca de España,스페인 군주의 직함
Frente Obrero,노동자전선
Epidemia Internacional de Viruela de Mono del 2022,2022년 원숭이두창 유행
jefe de Estado de España,스페인의 국가원수
Segunda División de España 2022-23,세군다 디비시온 2022-23
Cúpula Regina Martirum,레지나 마르티룸
Anexo:Gran Premio de España de 2023,2023년 스페인 그랑프리
Primera División de España 2023-24,라리가 2023-24
La Última Cena,최후의 만찬
IGN España,IGN 스페인
Copa del Rey de fútbol 2023-24,코파 델 레이 2023-24
Final de la Copa del Rey de fútbol 2022-23,2023 코파 델 레이 결승전
Teatre Nacional de Catalunya,카탈루냐 국립극장
Vuelta a España 2024,2024 부엘타 아 에스파냐
Festival de la Canción de Eurovisión Junior 2024,주니어 유로비전 송 콘테스트 2024
