Aachener Dom,아헨 대성당
U-Bahnhof Französische Straße,프란최지셰 슈트라세역
U-Bahnhof Güntzelstraße,귄첼슈트라세역
U-Bahnhof Bundestag,분데스타크역
U-Bahnhof Museumsinsel,무제움스인젤역
U-Bahnhof Nürnberger Platz,뉘른베르거 플라츠역
U-Bahnhof Osthafen,오스트하펜역
Bahnhof Berlin-Lichtenberg,베를린 리히텐베르크역
Bahnhof Berlin Brandenburger Tor,베를린 브란덴부르거 토어역
Hamburger Stadtbahnanschluss,함부르크선 도심연결선
Bahnstrecke Berlin-Schönholz–Kremmen,크레멘선
S-Bahn Dresden,드레스덴 S반
Bahnhof Berlin Savignyplatz,베를린 사비니플라츠역
Bahnhof Berlin-Tiergarten,베를린 티어가르텐역
Bahnhof Basdorf,바스도르프역
Bahnhof Berlin Bellevue,베를린 벨뷔역
Bahnhof Berlin Hackescher Markt,베를린 하케셔 마르크트역
Bahnhof Berlin-Karow,베를린 카로역
Bahnhof Berlin-Staaken,베를린 슈타켄역
Neumarkt in der Oberpfalz,노이마르크트인데어오버팔츠
S-Bahn Stuttgart,슈투트가르트 S반
S-Bahn Köln,쾰른 S반
Regio-S-Bahn Bremen/Niedersachsen,레기오 S반 브레멘/니더작센
S-Bahn München,뮌헨 S반
Regio-S-Bahn Donau-Iller,레기오 S반 도나우일러
Breisgau-S-Bahn,브라이스가우 S반
S-Bahn Mittelelbe,중부엘베 S반
S-Bahn Rhein-Neckar,라인네카어 S반
S-Bahn Hannover,하노버 S반
S-Bahn Rhein-Ruhr,라인루르 S반
S-Bahn Nürnberg,뉘른베르크 S반
S-Bahn Rhein-Main,라인마인 S반
S-Bahn Hamburg,함부르크 S반
Betriebsstellenverzeichnis,독일의 철도 정거장 코드
Karl-Schwarzschild-Medaille,카를 슈바르츠실트 메달
Deutsche Geophysikalische Gesellschaft,독일 지구물리학회
Preisklasse,독일의 철도역 운임등급
Bahnhof Hamburg-Altona,함부르크 알토나역
Bahnhof Berlin Landsberger Allee,베를린 란츠베르거 알레역
Bahnhof Berlin-Halensee,베를린 할렌제역
Bahnhof Berlin Treptower Park,베를린 트레프토어 파르크역
Bahnhof Berlin Prenzlauer Allee,베를린 프렌츨라우어 알레역
Bahnhof Berlin Hohenzollerndamm,베를린 호엔촐레른담역
Bahnhof Berlin Julius-Leber-Brücke,베를린 율리우스레버브뤼케역
Bahnhof Berlin Greifswalder Straße,베를린 그라이프스발더 슈트라세역
Bahnhof Berlin Storkower Straße,베를린 슈토르코어 슈트라세역
Bahnhof Berlin Beusselstraße,베를린 보이셀슈트라세역
Bahnhof Berlin-Westend,베를린 베스트엔트역
Bahnhof Berlin Messe Süd,베를린 메세 쥐트역
Bahnhof Berlin Pichelsberg,베를린 피헬스베르크역
Bahnhof Berlin-Stresow,베를린 슈트레소역
Bahnhof Berlin Olympiastadion,베를린 올림피아슈타디온역
Bahnhof Berlin Bornholmer Straße,베를린 보른홀머 슈트라세역
Bahnhof Berlin Heerstraße,베를린 헤어슈트라세역
Bahnhof Berlin Westkreuz,베를린 베스트크로이츠역
Bahnhof Berlin Ostkreuz,베를린 오스트크로이츠역
Bahnhof Berlin Südkreuz,베를린 쥐트크로이츠역
Bahnhof Singen (Hohentwiel),징겐 (호엔트빌)역
U-Bahnhof Schwartzkopffstraße,슈바르츠코프슈트라세역
U-Bahnhof Birkenstraße,비르켄슈트라세역
Jestetten,예슈테텐
Bahnhof Berlin-Schöneberg,베를린 쇠네베르크역
Lottstetten,로트슈테텐
Potsdam Hauptbahnhof,포츠담 중앙역
U-Bahnhof Blaschkoallee,블라슈코알레역
U-Bahnhof Weinmeisterstraße,바인마이스터슈트라세역
Bahnhof Rendsburg,렌츠부르크역 (독일)
Bahnhof Berlin-Charlottenburg,베를린 샤를로텐부르크역
Bahnhof Jestetten,예슈테텐역
Hochrheinbahn,호흐라인선
U-Bahnhof Kurfürstendamm,쿠르퓌르스텐담역
PCK Raffinerie,PCK 정유공장
Bahnhof Lindau-Insel,린다우 인젤역
Bahnhof Lindau-Reutin,린다우 로이틴역
Bahnhof Görlitz,괴를리츠역
Berlin Görlitzer Bahnhof,베를린 괴를리츠역
Bahnhof Hennigsdorf (b Berlin),헤니히스도르프역
Bahnhof Berlin-Heiligensee,베를린 하일리겐제역
Bahnhof Berlin Eichborndamm,베를린 아이히보른담역
Panke,팡케강
Bahnhof Berlin-Schulzendorf,베를린 슐첸도르프역
Bahnhof Berlin-Tegel,베를린 테겔역
Burg Eltz,엘츠성
Marksburg,막스부르크성
Bahnhof Berlin Alt-Reinickendorf,베를린 알트라이니켄도르프역
Bahnhof Berlin-Schönholz,베를린 쇤홀츠역
Bahnhof Berlin-Wilhelmsruh,베를린 빌헬름스루역
Bahnhof Berlin Wollankstraße,베를린 볼랑크슈트라세역
Usedomer Bäderbahn,우제도머 베더반
BVG-Baureihe J,BVG J
BVG-Baureihe JK,BVG JK
Hochschule für Bildende Künste Dresden,드레스덴 예술대학교
Bahnhof Berlin Oberspree,베를린 오버슈프레역
Bahnhof Berlin-Spindlersfeld,베를린 슈핀들러스펠트역
Bahnhof Teltow Stadt,텔토 슈타트역
Bahnhof Berlin-Friedenau,베를린 프리데나우역
Bahnhof Berlin Feuerbachstraße,베를린 포이어바흐슈트라세역
Vietnamesen,비엣족
Bahnhof Berlin-Lichterfelde West,베를린 리히터펠데 베스트역
Bahnhof Berlin Botanischer Garten,베를린 보타니셔 가르텐역
MediaMarktSaturn,메디아마르크트자투른
Bahnhof Berlin Mexikoplatz,베를린 멕시코플라츠역
Bahnhof Berlin Sundgauer Straße,베를린 준트가우어 슈트라세역
Delitzsch,델리치 (독일)
Unglück bei der Loveparade 2010,러브 퍼레이드 압사 사고
Spvgg 05 Frankfurt-Oberrad,SpVgg 05 오버라드
Bonner SC,보너 SC
Inter Leipzig,인터 라이프치히
FC Eilenburg,FC 아일렌부르크
Lufthansa-Airport-Express,루프트한자 공항급행
SC Viktoria Griesheim,SC 빅토리아 06 그리스하임
Landwehrkanal,란트베어 운하
Gliederung des Heeres (Bundeswehr),독일 연방방위군 육군의 부대 및 편성 목록
Justizvollzugsanstalt Tegel,테겔 교도소
Justizvollzugsanstalt Moabit,모아비트 교도소
Justizvollzugsanstalt Plötzensee,플뢰첸제 교도소
Kreis Dithmarschen,디트마르셴
Bahnstrecke Almelo–Salzbergen,알멜로-잘츠베르겐선
Deutsches Schifffahrtsmuseum,독일 해양박물관
Münchner Sicherheitskonferenz,뮌헨 안보회의
AECOM,AECOM
J. G. Anschütz,J. G. 안슈츠
Feinwerkbau,파인베르크바우
Max-Planck-Institut für Wissenschaftsgeschichte,막스 플랑크 과학사 연구소
Kriegsverbrechergefängnis Spandau,슈판다우 교도소
Olympische Sommerspiele 1936/Fußball,1936년 하계 올림픽 축구
Deutsche Mathematiker-Vereinigung,독일 수학회
Max-Planck-Institut für Mathematik in den Naturwissenschaften,막스 플랑크 과학 수학 연구소
Gesellschaft für Angewandte Mathematik und Mechanik,응용수학 및 역학 학회
TSV Dachau 1865,TSV 1865 다하우
KSV Baunatal,KSV 바우나탈
Max-Planck-Institut für Astrophysik,막스 플랑크 천체물리학 연구소
FC Remscheid,FC 렘샤이트
Berlin-Charlottenburg,샤를로텐부르크
Türkgücü München,튀르크귀쥐 뮌헨
Kühne Logistics University,퀴네 물류 대학
Großenkneten,그로셍크네텐
FC Viktoria 09 Urberach,FC 빅토리아 09 우르베라흐
Eintracht Trier,SV 아인트라흐트 트리어 05
Norddeutschland,북독일
Transfermarkt.de,트랜스퍼마크트
Fichtelgebirge,피히텔산맥
Répertoire International des Sources Musicales,국제음악원전기구
KZ Flossenbürg,플로센부르크 강제 수용소
VfB Marburg,VfB 마르부르크
Borussia Fulda,보루시아 풀다
Malchower SV,말초워 SV
BMW-Vierzylinder,BMW 본사 빌딩
Sozialistische Reichspartei,독일 사회주의국가당
Otterberg,오테베르크
MHPArena,MHP아레나
Fußball-Bundesliga 2023/24,분데스리가 2023-24
SV Elversberg,SV 엘페르스베르크
Womanizer (Marke),우머나이저 (기업)
W. Kordes’ Söhne,W. 코르데스 죄네
Flugzeugkollision von Überlingen,2002년 위버링겐 공중 충돌 사고
FV Bonn-Endenich,FV 본-엔데니히 1908
Astronomische Gesellschaft,독일 천문학회
Würzburger Kickers,뷔르츠부르거 키커스
Fußball-Regionalliga Südwest,레기오날리가 쥐트베스트
Codex Manesse,마네세 법전
Panzerspähwagen Sd.Kfz. 234,Sd.Kfz. 234
Heeresversuchsanstalt Peenemünde,페네뮌데 육군 연구소
DeepL,DeepL
Wegeleben,베겔레벤
Hückelhoven,휘켈호벤
Reeperbahn,리퍼반
Universität Stuttgart,슈투트가르트 대학교
GameStar,게임스타
Auschwitzprozesse,프랑크푸르트 아우슈비츠 재판
Deutsche Taekwondo Union,독일 태권도 연맹
Moskauer Vertrag,모스크바 조약 (1970년)
Kochel am See,코헬
Discover Airlines,디스커버 항공
DIN 1421,ISO 2145
Deutsch-polnischer Grenzvertrag,독일-폴란드 국경 조약
Grenzmark Posen-Westpreußen,포젠-서프로이센
Pascha (Köln),파샤 (매춘소)
Level 3 Communications,레벨 3 커뮤니케이션스
Schwarze Schar,슈바르체 샤르
Lohmar,로마르
Rechtsextremismus in der Bundesrepublik Deutschland,독일의 극우 정치
Nero AG,네로 AG
Beethoven-Haus,베토벤 하우스
Mercedes-Benz Group,메르세데스-벤츠 그룹 AG
Summer World University Games 2025,2025년 FISU 하계 세계 대학 경기 대회
Landessternwarte Heidelberg-Königstuhl,하이델베르크 천문대
Mannheimer Sternwarte,만하임 천문대
Kurzgesagt,한눈에 보는 세상 – Kurzgesagt
Europäisches Raumflugkontrollzentrum,유럽우주운용센터
EUMETSAT,EUMETSAT
Sammlung Philippi,필리피 컬렉션
Europäische Agentur für Flugsicherheit,유럽 연합 항공 안전청
Kirkel,키르켈
Heddesheim,헤데스하임
Max-Planck-Institut für evolutionäre Anthropologie,막스 플랑크 진화 인류학 연구소
Max-Planck-Institut für extraterrestrische Physik,막스 플랑크 외계 물리학 연구소
Odenwald,오덴발트산맥
Stiefelhöhe,슈티펠회헤산
Rhein-Neckar-Kreis,라인네카어군
Weinheim,바인하임
Wuppertaler SV,부퍼탈러 SV
École pour l’informatique et les nouvelles technologies,에피텍
Vector Informatik,벡터 인포매틱
Nationalsozialistischer Untergrund,국가사회주의 지하조직
Tölzer Knabenchor,퇼처 소년 합창단
Marktredwitz,마르크트레트비츠
World Wind Energy Association,세계풍력에너지협회
Deutsches Spionagemuseum,베를린 스파이 박물관
Bahnhof Berlin-Schöneweide,베를린 쇠네바이데역
Bahnhof Berlin Köllnische Heide,베를린 쾰니셰 하이데역
Bahnhof Berlin-Baumschulenweg,베를린 바움슐렌베크역
Sedo,Sedo
Bahnhof Berlin-Hermsdorf,베를린 헤름스도르프역
Bahnhof Berlin-Frohnau,베를린 프로나우역
Bahnhof Berlin-Blankenburg,베를린 블랑켄부르크역
Bahnhof Berlin-Pankow-Heinersdorf,베를린 팡코하이너스도르프역
Technische Universität Braunschweig,브라운슈바이크 공과대학교
Bahnhof Berlin-Waidmannslust,베를린 바이트만슬루스트역
Swinging Hannover,스윙잉 하노버
Bahnhof Berlin-Schlachtensee,베를린 슐라흐텐제역
Bahnhof Berlin Plänterwald,베를린 플렌터발트역
Bahnhof Berlin-Zehlendorf,베를린 첼렌도르프역
Bahnhof Berlin-Nikolassee,베를린 니콜라스제역
Bahnhof Berlin Nöldnerplatz,베를린 뇔드너플라츠역
Bahnhof Potsdam Griebnitzsee,포츠담 그리브니츠제역
Bahnhof Potsdam-Babelsberg,포츠담 바벨스베르크역
Bahnhof Berlin-Grunewald,베를린 그루네발트역
Bahnhof Flughafen BER,BER 공항역
Bahnhof Berlin-Wannsee,베를린 반제역
Bundeskunstsammlung,분데스쿤스트삼름룽
Englischer Garten (München),영국 정원
Fraktion (Bundestag),독일 연방의회 교섭단체
Bündnis Sahra Wagenknecht,자라 바겐크네히트 동맹
Bahnhof Berlin Attilastraße,베를린 아틸라슈트라세역
Bahnhof Berlin-Marienfelde,베를린 마리엔펠데역
Bahnhof Berlin Priesterweg,베를린 프리스터베크역
Bahnhof Berlin Buckower Chaussee,베를린 부코어 쇼세역
Bahnhof Berlin Schichauweg,베를린 시하우베크역
Bahnhof Berlin Südende,베를린 쥐트엔데역
Bahnhof Berlin-Lankwitz,베를린 랑크비츠역
Bahnhof Berlin-Lichtenrade,베를린 리히텐라데역
Altana,알타나
Deutschlandticket,도이칠란트티켓
Bahnhof Berlin-Johannisthal,베를린 요하니스탈역
Bahnhof Berlin-Altglienicke,베를린 알트글리니케역
Bahnhof Waßmannsdorf,바스만스도르프역
Bahnhof Berlin Grünbergallee,베를린 그륀베르크알레역
Bahnhof Berlin-Adlershof,베를린 아들러스호프역
Bahnhof Schönefeld (bei Berlin),쇠네펠트역
DFB-Pokal 2023/24,DFB-포칼 2023-24
Bahnhof Zeuthen,초이텐역
Bahnhof Eichwalde,아이히발데역
Bahnhof Wildau,빌다우역
Bahnhof Berlin-Lichterfelde Süd,베를린 리히터펠데 쥐트역
Bahnhof Blankenfelde (Kr Teltow-Fläming),블랑켄펠데역
Bahnhof Mahlow,말로역
Bahnhof Berlin Osdorfer Straße,베를린 오스도르퍼 슈트라세역
Bahnhof Berlin-Lichterfelde Ost,베를린 리히터펠데 오스트역
Religionen in Deutschland,독일의 종교
Zentralstelle für das Auslandsschulwesen,독일해외학교관리처
Bravo (deutsche Zeitschrift),브라보 (잡지)
Bahnhof Bernau (b Berlin),베르나우 바이 베를린역
Bahnhof Berlin-Buch,베를린 부흐역
Bahnhof Bernau-Friedenstal,베르나우 프리덴스탈역
Bahnhof Röntgental,뢴트겐탈역
Bahnhof Zepernick (b Bernau),체퍼니크역
Bahnhof Mühlenbeck-Mönchmühle,뮐렌베크묀히뮐레역
Bahnhof Schönfließ,쇤플리스역
Jettingen-Scheppach,예팅겐
Deutschland Cup,도이칠란트컵
Bahnhof Bergfelde,베르크펠데역
Bahnhof Birkenwerder (b Berlin),비르켄베르더역
Bahnhof Hohen Neuendorf (b Berlin),호엔 노이엔도르프역
Bahnhof Berlin Sonnenallee,베를린 조넨알레역
Bahnhof Borgsdorf,보르크스도르프역
Bahnhof Lehnitz,레니츠역
Bahnhof Berlin-Albrechtshof,베를린 알브레히트스호프역
Bahnhof Oranienburg,오라니엔부르크역
Stunde Null,0시 (1945년)
U-Bahnhof Jakob-Kaiser-Platz,야코프카이저플라츠역
AbeBooks,AbeBooks
Stuttgarter Kickers,슈투트가르터 키커스
Schmidt %26 Bender,슈미트 앤드 벤더
Stadtbahn Duisburg,뒤스부르크 슈타트반
Prenzlau,프렌츨라우
Landkreis Uckermark,우커마르크군
Frauenkirche (München),프라우엔키르헤
Affenpocken-Ausbruch 2022,2022~2023년 엠폭스 유행
European Air Transport Leipzig,유러피안 에어 트랜스포트 라이프치히
Weimarer Klassik,바이마르 고전주의
Karlsruher Kongress,카를스루에 회의
Fürstenberg/Havel,퓌르스텐베르크/하펠
Kernkraftwerk Greifswald,그라이프스발트 원자력 발전소
Lufthansa City Airlines,루프트한자 시티항공
InnoGames,이노게임스
Preußen Münster,SC 프로이센 뮌스터
Süddeutschland,남독일
Alte Buchenwälder und Buchenurwälder der Karpaten und anderer Regionen Europas,카르파티아 및 유럽의 기타 지역에 생육하는 고대 및 원시 너도밤나무 숲
"Mein Gott, hilf mir, diese tödliche Liebe zu überleben","신이시여, 이 죽음에 이르는 사랑 속에서 우리를 살아남게 하소서"
Haidhausen,하이트하우젠
Waldfriedhof (München),뮌헨 발트프리트호프
Olympische Sommerspiele 2024/Teilnehmer (Deutschland),2024년 하계 올림픽 독일 선수단
