Pioneer plaque,先驅者鍍金鋁板
Vietnamese people,京族
Internet Engineering Task Force,互联网工程任务组
North American Plate,北美洲板塊
A Time for Choosing,抉择时刻·(演说)
"Camden, Illinois",康登·(伊利諾伊州)
"Delta County, Colorado",德爾塔縣·(科羅拉多州)
"Hickory Grove, South Carolina",希科里树丛·(南卡罗来纳州)
Province Island,普羅文斯島
"Green Township, Madison County, Indiana",格林鎮區·(印地安納州麥迪遜縣)
"Lafayette County, Wisconsin",拉法葉縣·(威斯康辛州)
Columbus Crew,哥倫布機員足球會
"Morgan County, Colorado",摩根縣·(科羅拉多州)
"Park County, Colorado",帕克縣·(科羅拉多州)
Liberty Island,自由島
"Simi Valley, California",西米谷
Northrop Grumman,诺斯洛普·格鲁门
"James City County, Virginia",詹姆斯城县
Accolade (company),Accolade
Adirondack Mountains,阿第倫達克山脈
Imgur,Imgur
"Masaryktown, Florida",馬薩里克敦·(佛羅里達州)
Adirondack Park,阿迪朗达克公园
Boeing Rotorcraft Systems,波音旋翼機系統
"Pinedale, Wyoming",派恩戴爾·(懷俄明州)
Treasurer of the United States,美国财政部司库
"Allen County, Kansas",艾倫縣·(堪薩斯州)
"Pawnee County, Kansas",波尼縣·(堪薩斯州)
PR Newswire,美通社
Aerojet,洛克达因航太控股公司
New Hollywood,美國新好萊塢電影
"Solana Beach, California",索拉纳比奇
AFI's 100 Years...100 Movie Quotes,AFI百年百大电影台词
Foothill Freeway,210号州际公路和210号加利福尼亚州州道
Interstate 280 (California),280號州際公路·(加利福尼亞州)
Peace Corps,和平队
Amlia,阿米利亞島
"Amsterdam, New York",阿姆斯特丹·(纽约州)
U.S. Route 12,12号美国国道
U.S. Route 21,21号美国国道
U.S. Route 35,35号美国国道
U.S. Route 7,7号美国国道
"Wayne County, Ohio",韋恩縣·(俄亥俄州)
"Polk County, Georgia",波爾克縣·(喬治亞州)
"Waupaca County, Wisconsin",沃帕卡縣·(威斯康辛州)
"Waushara County, Wisconsin",沃沙拉县·(威斯康星州)
"Lincoln County, Oregon",林肯縣·(俄勒岡州)
"Lincoln Township, Emmet County, Iowa",林肯鎮區·(愛荷華州埃米特縣)
MagicJack (WPS),神奇傑克
Petrified Forest National Park,石化林國家公園
"Deerfield, Massachusetts",迪尔菲尔德·(马萨诸塞州)
"Kingman County, Kansas",金曼縣·(堪薩斯州)
"Sheridan County, Kansas",謝里敦縣·(堪薩斯州)
"Clark County, Kansas",克拉克縣·(堪薩斯州)
"Republic County, Kansas",里帕布利克縣·(堪薩斯州)
"Chatham County, North Carolina",查塔姆縣·(北卡羅萊納州)
"Taylor County, Florida",泰勒縣·(佛羅里達州)
"Clay County, Florida",克萊縣·(佛羅里達州)
"Crenshaw County, Alabama",克伦肖县
"Yakutat, Alaska",亞庫塔特
"Clay County, South Dakota",克莱县·(南达科他州)
"Marshall County, Oklahoma",馬歇爾縣·(奧克拉荷馬州)
"Garden County, Nebraska",加登縣
"Yellowstone County, Montana",黃石縣
"Appomattox County, Virginia",阿波馬托克斯縣·(維吉尼亞州)
"Hudson County, New Jersey",哈德遜縣
"Lewis County, Idaho",劉易斯縣·(愛達荷州)
"Madison County, Idaho",麥迪遜縣·(愛達荷州)
"Meagher County, Montana",馬爾縣
"Culver City, California",卡尔弗城
"McIntosh County, Georgia",麥金托什縣·(喬治亞州)
United States Forces Korea,駐韓美軍
"Crawford County, Pennsylvania",克勞福德縣·(賓夕法尼亞州)
"Venango County, Pennsylvania",韋南戈縣·(賓夕法尼亞州)
"Jefferson County, Idaho",傑佛遜縣·(愛達荷州)
"St. Lucie County, Florida",圣卢西亚县·(佛罗里达州)
"Carson, California",卡森·(加利福尼亚州)
"Clark County, Wisconsin",克拉克縣·(威斯康辛州)
"Henderson County, Tennessee",亨德森縣·(田納西州)
"Wayne County, West Virginia",韋恩縣·(西維吉尼亞州)
"Webster County, West Virginia",韋伯斯特縣·(西維吉尼亞州)
"Beaufort County, North Carolina",博福特縣·(北卡羅萊納州)
BMI Film %26 TV Awards,BMI獎
"Cherokee County, North Carolina",切羅基縣·(北卡羅萊納州)
"Arroyo, Puerto Rico",阿羅約·(波多黎各)
"Hallettsville, Texas",哈利茨維爾·(德克薩斯州)
"Homewood Township, Franklin County, Kansas",霍姆伍德鎮區·(堪薩斯州富蘭克林縣)
"Hoopeston, Illinois",胡普斯頓·(伊利諾伊州)
Robbins Reef Light,罗宾斯礁灯塔
"Clermont County, Ohio",克萊蒙縣
"Holmes County, Ohio",霍爾姆斯縣·(俄亥俄州)
"Marion County, Iowa",馬里昂縣·(愛阿華州)
"Agency, Iowa",埃根西·(愛荷華州)
"Dunklin County, Missouri",鄧克林縣·(密蘇里州)
"Shelby County, Indiana",謝爾比縣·(印地安納州)
"Clark County, Kentucky",克拉克縣·(肯塔基州)
"Guthrie County, Iowa",加斯里縣·(愛阿華州)
Altamont Corridor Express,阿尔塔蒙特走廊特快
AltaVista,AltaVista
"Sycamore, Illinois",錫卡莫爾·(伊利諾伊州)
"Delaware County, Indiana",特拉華縣·(印第安納州)
"Ouachita Parish, Louisiana",沃希托堂区·(路易斯安那州)
"Altha, Florida",奥尔萨·(佛罗里达州)
Ogallala Aquifer,奥加拉拉蓄水层
"Houston County, Georgia",候斯敦县·(佐治亚州)
"Jo Daviess County, Illinois",喬戴維斯縣·(伊利諾伊州)
"Boyle County, Kentucky",博伊爾縣·(肯塔基州)
"Livingston County, New York",利文斯頓縣·(紐約州)
"Bethalto, Illinois",貝塔爾托·(伊利諾伊州)
"Northwest (Washington, D.C.)",西北区·(华盛顿哥伦比亚特区)
"Pickaway County, Ohio",匹克威县·(俄亥俄州)
"Reeder Township, Anderson County, Kansas",里德鎮區·(安德森縣)
"San Carlos, California",圣卡洛斯·(加利福尼亚州)
"Carlisle, Iowa",卡萊爾·(愛荷華州)
Gibson Islands,吉布森群島
"Lazy Acres, Colorado",萊茲阿克雷斯·(科羅拉多州)
Nevada statistical areas,內華達州統計區
Black Chamber,黑室·(美国)
"Leeds, Utah",利兹·(犹他州)
"Smithfield, Utah",史密斯菲尔德·(犹他州)
"South Ogden, Utah",南奥格登·(犹他州)
"Western Township, Henry County, Illinois",西鎮區·(伊利諾伊州亨利縣)
"Greene County, Indiana",格林縣·(印地安納州)
"Wabash County, Indiana",沃巴什縣·(印地安納州)
"Ajo, Arizona",阿荷
U.S. Route 40,40号美国国道
U.S. Route 53,53号美国国道
U.S. Route 58,58号美国国道
U.S. Route 65,65号美国国道
U.S. Route 74,74号美国国道
U.S. Route 82,82号美国国道
U.S. Route 89,89号美国国道
Akan people,阿坎族
"Cannonville, Utah",佳能威尔·(犹他州)
"Henrieville, Utah",亨利维尔·(犹他州)
"Hurricane, Utah",哈里肯·(犹他州)
"Marriott-Slaterville, Utah",马里奥特-斯莱特维尔·(犹他州)
"Cedar Fort, Utah",雪松堡·(犹他州)
"East Carbon, Utah",东卡本·(犹他州)
"Ophir, Utah",阿斐·(犹他州)
"South Weber, Utah",南韦伯·(犹他州)
"Clearfield, Utah",克利尔菲尔·(犹他州)
"Wharton County, Texas",霍頓縣·(德克薩斯州)
"Hancock County, Iowa",漢考克縣·(愛阿華州)
"Ottawa County, Ohio",渥太華縣·(俄亥俄州)
"Winneshiek County, Iowa",温纳希克县·(艾奥瓦州)
"Cannon County, Tennessee",坎農縣·(田納西州)
"Franklin County, Tennessee",富蘭克林縣·(田納西州)
"Mitchell County, Iowa",米切爾縣·(愛阿華州)
"Worth County, Georgia",沃思縣·(喬治亞州)
"Camden County, New Jersey",康登縣·(新澤西州)
"Furnas County, Nebraska",富爾納斯縣·(內布拉斯加州)
"Vernon County, Missouri",弗農縣·(密蘇里州)
"Charlevoix County, Michigan",夏利華縣·(密歇根州)
"Henry County, Kentucky",亨利县·(肯塔基州)
Crips,瘸幫
"Pierce County, Georgia",皮爾斯縣·(喬治亞州)
"Pope County, Minnesota",波普縣·(明尼蘇達州)
"Pomona, California",波莫纳·(加利福尼亚州)
"Roosevelt County, New Mexico",羅斯福縣·(新墨西哥州)
"Harlan County, Kentucky",哈倫縣·(肯塔基州)
"Yukon–Koyukuk Census Area, Alaska",育空-科尤庫克人口普查區
"Hawaii County, Hawaii",夏威夷縣
"Oswego County, New York",奧斯威戈縣·(紐約州)
American Airlines Center,美國航空中心
American Association (1882–1891),美國協會·(19世紀)
American Enterprise Institute,美国企业研究院
Rockwell Collins,罗克韦尔柯林斯
United Airlines Flight 585,聯合航空585號班機空難
2012 American League Division Series,2012年美國聯盟分區賽
California State Route 14,14号加利福尼亚州州道
Maryland Route 36,36號馬里蘭州州道
"Glendale, Utah",格伦代尔·(犹他州)
"Lynndyl, Utah",林迪尔·(犹他州)
"Pleasant View, Utah",普莱森特维尤·(犹他州)
American exceptionalism,美國例外論
American Federation of Labor,美国劳工联合会
American Forces Network,美国军中广播
American Nazi Party,美國納粹黨
American Psychological Association,美国心理学会
"Bacon County, Georgia",培根縣·(喬治亞州)
"Butler County, Pennsylvania",巴特勒縣·(賓夕法尼亞州)
"Keith County, Nebraska",基斯縣·(內布拉斯加州)
"Beaver County, Oklahoma",比佛縣·(奧克拉荷馬州)
"Fruit Heights, Utah",水果高地·(犹他州)
"Grantsville, Utah",格兰茨维尔·(犹他州)
American Society of Cinematographers,美国电影摄影师协会
American Society of Overseas Research,美国东方研究学会
"Cherryland, California",徹里蘭·(加利福尼亞州)
"Texas County, Missouri",德克薩斯縣·(密蘇里州)
"Hitchcock County, Nebraska",希奇科克縣·(內布拉斯加州)
"Tallahatchie County, Mississippi",塔拉哈奇縣·(密西西比州)
"Deschutes County, Oregon",德舒特縣
"Scofield, Utah",斯科菲尔德·(犹他州)
"Wellington, Utah",惠灵顿·(犹他州)
"Glendale, California",格倫代爾·(加利福尼亞州)
"Grant County, Oklahoma",格蘭特縣·(奧克拉荷馬州)
East Side (Manhattan),曼哈顿东城
"Pulaski County, Georgia",普瓦斯基縣·(喬治亞州)
West Side (Manhattan),曼哈顿西城
"Marshall County, Tennessee",馬歇爾縣·(田納西州)
"Richmond, California",列治文·(加利福尼亞州)
Billboard Music Awards,公告牌音乐奖
"Columbiana County, Ohio",哥倫比亞納縣
National Entertainment Collectibles Association,国家娱乐收藏品协会
New York Shipbuilding Corporation,紐約造船廠
"Holt County, Nebraska",霍爾特縣·(內布拉斯加州)
"McClain County, Oklahoma",麥克萊恩縣·(奧克拉荷馬州)
57th Academy Awards,第57届奥斯卡金像奖
"Pearl City, Illinois",珀爾城·(伊利諾伊州)
Very Large Array,甚大天线阵
OpenVMS,OpenVMS
"Musselshell County, Montana",馬瑟爾謝爾縣·(蒙大拿州)
"Yadkin County, North Carolina",亞德金縣
"Annabella, Utah",安娜贝拉·(犹他州)
"Elmo, Utah",埃尔莫·(犹他州)
"Eureka, Utah",尤里卡·(犹他州)
"Shannon County, Missouri",香農縣·(密蘇里州)
"Webster County, Missouri",韋伯斯特縣·(密蘇里州)
"Aurora County, South Dakota",奧羅拉縣·(南達科他州)
Cheetos,奇多
"Elko County, Nevada",埃爾科縣
"Cheyenne County, Nebraska",夏延縣·(內布拉斯加州)
"Ochiltree County, Texas",奧希爾特里縣·(德克薩斯州)
"Anderson County, Kentucky",安德森縣·(肯塔基州)
"Barren County, Kentucky",巴倫縣·(肯塔基州)
"Caroline County, Maryland",加羅林縣·(馬里蘭州)
"Jackson County, Wisconsin",傑克遜縣·(威斯康辛州)
"Rock County, Wisconsin",羅克縣·(威斯康辛州)
"Cocke County, Tennessee",科克縣·(田納西州)
"Gulf County, Florida",灣縣·(佛羅里達州)
"Logan County, Illinois",洛根縣·(伊利諾伊州)
"Rock Island County, Illinois",羅克艾蘭縣·(伊利諾伊州)
"Warren County, Georgia",沃倫縣·(喬治亞州)
"Warren County, Illinois",沃倫縣·(伊利諾伊州)
"Kent County, Maryland",肯特县·(马里兰州)
"Moore County, Tennessee",穆爾縣·(田納西州)
"Pickett County, Tennessee",皮克特縣·(田納西州)
"Hancock County, Tennessee",漢考克縣·(田納西州)
"Trempealeau County, Wisconsin",特倫珀洛縣·(威斯康辛州)
"Hunterdon County, New Jersey",亨特登縣
"Lewis County, Tennessee",劉易斯縣·(田納西州)
"Tioga County, Pennsylvania",泰奧加縣·(賓夕法尼亞州)
"Turner County, South Dakota",特納縣·(南達科他州)
"Hanson County, South Dakota",漢森縣·(南達科他州)
"Idaho Falls, Idaho",爱达荷福尔斯
"Polk County, Nebraska",波爾克縣·(內布拉斯加州)
"Rosebud County, Montana",羅斯布德縣
"Valley County, Montana",瓦利縣·(蒙大拿州)
"Emmet County, Michigan",埃米特縣·(密西根州)
"Grand Traverse County, Michigan",大特拉弗斯縣·(密歇根州)
"Oconto County, Wisconsin",奧康托縣·(威斯康辛州)
"Bibb County, Georgia",比伯县·(佐治亚州)
"Oceanside, California",歐申賽德·(加利福尼亞州)
"Scott County, Mississippi",斯科特縣·(密西西比州)
"Story County, Iowa",斯托里縣·(愛阿華州)
"Broomfield, Colorado",布隆菲·(科羅拉多州)
"Franklin County, Kentucky",富蘭克林縣·(肯塔基州)
"Cumberland County, Pennsylvania",坎伯蘭縣·(賓夕法尼亞州)
"Etowah County, Alabama",埃托瓦县
"Braxton County, West Virginia",布拉克斯頓縣·(西維吉尼亞州)
"Broward County, Florida",布劳沃德县
"Campbell County, Tennessee",坎貝爾縣·(田納西州)
"Fullerton, California",富勒顿·(加利福尼亚州)
FedEx Office,联邦快递金考
Greenback Party,绿背党
Kent State shootings,肯特州立大学枪击事件
"Murray, Utah",穆雷·(犹他州)
Super Bowl XXII,第二十二届超级碗
"Bear River City, Utah",熊河市·(犹他州)
"Millville, Utah",米尔维尔·(犹他州)
Walmart,沃尔玛
"Guadalupe County, New Mexico",瓜達盧佩縣·(新墨西哥州)
"San Marcos, California",聖馬可斯·(加利福尼亞州)
"York County, Virginia",約克縣·(維吉尼亞州)
"Huntington County, Indiana",亨廷頓縣·(印地安納州)
"Natchitoches Parish, Louisiana",纳基托什堂区
"St. Mary Parish, Louisiana",聖瑪麗堂區
"Juniata County, Pennsylvania",朱尼亞塔縣
"Todd County, Kentucky",托德縣·(肯塔基州)
"Unicoi County, Tennessee",尤尼科伊縣·(田納西州)
"Cumberland County, North Carolina",坎伯蘭郡·(北卡羅萊納州)
National grassland,美国国家草原
New York City Fire Museum,纽约市消防博物馆
"St. Mary's County, Maryland",聖瑪麗斯縣·(馬里蘭州)
"Franklin Parish, Louisiana",富兰克林堂区·(路易斯安那州)
"Spencer County, Kentucky",斯潘塞縣·(肯塔基州)
"LaSalle County, Illinois",拉薩爾縣·(伊利諾伊州)
"Plymouth County, Iowa",普利茅斯縣·(愛荷華州)
Christie's,佳士得
"Laurel County, Kentucky",勞雷爾縣·(肯塔基州)
"Three Saints Bay, Alaska",三圣徒湾
"Forest County, Wisconsin",福雷斯縣·(威斯康辛州)
"Pierce County, Wisconsin",皮爾斯縣·(威斯康辛州)
"Lincoln County, Minnesota",林肯縣·(明尼蘇達州)
"Meigs County, Ohio",梅格斯縣·(俄亥俄州)
Samsung Ativ S,三星ATIV·S
"Lee County, Mississippi",李縣·(密西西比州)
"Lowndes County, Mississippi",朗茲縣·(密西西比州)
"Morgan County, Ohio",摩根縣·(俄亥俄州)
"Steele County, Minnesota",斯蒂爾縣·(明尼蘇達州)
"White County, Illinois",懷特縣·(伊利諾伊州)
"Iberville Parish, Louisiana",伊贝维尔堂区·(路易斯安那州)
"Socorro, New Mexico",索科羅·(新墨西哥州)
"Dooly County, Georgia",杜利县·(佐治亚州)
"Grady County, Georgia",格雷迪縣·(喬治亞州)
"Centralia, Pennsylvania",森特勒利亞·(賓夕法尼亞州)
"Greene County, Alabama",格林縣·(阿拉巴馬州)
"Merrick County, Nebraska",梅里克縣·(內布拉斯加州)
"Platte County, Nebraska",普拉特縣·(內布拉斯加州)
Census-designated place,普查规定居民点
Haleakalā,哈莱阿卡拉火山
Nationals Park,國民球場
University of Denver,丹佛大學
"Morgan County, Illinois",摩根縣·(伊利諾伊州)
"Vinton County, Ohio",文頓縣·(俄亥俄州)
"Coral Springs, Florida",科勒爾斯普林斯
"Mitchell County, North Carolina",米切爾縣·(北卡羅萊納州)
"Lyman, Utah",莱曼·(犹他州)
"Spanish Fork, Utah",西班牙福克·(犹他州)
"West Point, Utah",西点·(犹他州)
"Marion, Illinois",馬里昂·(伊利諾伊州)
"Mascoutah, Illinois",馬斯庫塔·(伊利諾伊州)
"Zeigler, Illinois",齊格勒·(伊利諾伊州)
2002 Winter Paralympics,2002年冬季残疾人奥林匹克运动会
Cycling at the 1996 Summer Olympics,1996年夏季奥林匹克运动会自行车比赛
"Martinsdale, Montana",马丁斯代尔
"Westport, Connecticut",韦斯特波特·(康涅狄格州)
"Dyer County, Tennessee",戴爾縣·(田納西州)
"Stewart County, Georgia",斯圖爾特縣·(喬治亞州)
1969–70 NBA season,1969-70·NBA賽季
"Belleview Precinct, Calhoun County, Illinois",貝爾維尤縣區·(伊利諾伊州卡爾霍恩縣)
Kluane / Wrangell–St. Elias / Glacier Bay / Tatshenshini-Alsek,克盧恩/蘭格爾-聖埃利亞斯/冰川灣/塔琴希尼-阿爾塞克
"Woodbury, Connecticut",伍德伯里·(康乃狄克州)
"Stanley County, South Dakota",斯坦利縣·(南達科他州)
"Stephens County, Oklahoma",斯蒂芬斯縣·(奧克拉荷馬州)
"Wheatland County, Montana",惠特蘭縣·(蒙大拿州)
"Prosser, Washington",普羅瑟·(華盛頓州)
"Springfield, South Carolina",斯普林菲尔德·(南卡罗来纳州)
"Ankeny, Iowa",安克尼·(愛荷華州)
"Stoddard County, Missouri",斯托達德縣·(密蘇里州)
"Edmonson County, Kentucky",埃德蒙森縣·(肯塔基州)
"Montauk, New York",蒙托克
"Jasper County, Illinois",贾斯珀县·(伊利诺伊州)
"Scioto County, Ohio",賽歐托縣·(俄亥俄州)
"Ansonia, Connecticut",安索尼亚·(康涅狄格州)
"Bristol, Florida",布里斯托尔·(佛罗里达州)
Digital Domain,數字王國3.0
"Front Royal, Virginia",弗兰特罗亚尔·(弗吉尼亚州)
"St. John the Baptist Parish, Louisiana",施洗者圣约翰堂区·(路易斯安那州)
