Григорий Яковлевич Перельман,グリゴリー・ペレルマン
Константин Юрьевич Хабенский,コンスタンチン・ハベンスキー
Алексей Балабанов,アレクセイ・バラバノフ
Алиса Клейбанова,アリサ・クレイバノワ
Александр Степанович Викторенко,アレクサンドル・ヴィクトレンコ
"Масорин, Владимир Васильевич",ウラジーミル・マソリン
Кристиан Рамирес,クリスティアン・ラミレス
Иван Андреевич Ургант,イヴァン・ウルガント
Бруно Фрейндлих,ブルーノ・フレインドリフ
"Ибрагимов, Магомед Абдулмуминович",マゴメド・イブラギモフ
Татьяна Жук,タチヤナ・ジュク
"Луганский, Николай Львович",ニコライ・ルガンスキー
Лев Зиновьевич Копелев,レフ・コペレフ
Максим Сергеевич Афиногенов,マキシム・アフィノゲノフ
Эдуард Николаевич Артемьев,エドゥアルド・アルテミエフ
Егор Кузьмич Лигачёв,エゴール・リガチョフ
Дмитрий Викторович Васильев,ディミトリ・ヴァシリエフ
"Светланов, Евгений Фёдорович",エフゲニー・スヴェトラーノフ
Юлия Олеговна Волкова,ユーリャ・ヴォルコワ
Ярослава Вячеславовна Шведова,ヤロスラワ・シュウェドワ
Алла Николаевна Баянова,アッラー・バヤノワ
"Роговин, Вадим Захарович",ヴァディム・ロゴヴィン
Павел Брутт,パヴェル・ブルット
Елена Сергеевна Катина,リェーナ・カーチナ
Игорь Северянин,イーゴリ・セヴェリャーニン
"Ягич, Игнатий Викентьевич",ヴァトロスラヴ・ヤギッチ
Анна Джамбулиевна Чакветадзе,アンナ・チャクベタゼ
Галина Павловна Вишневская,ガリーナ・ヴィシネフスカヤ
Ольга Сергеевна Кузенкова,オリガ・クゼンコワ
Александр Александрович Волков,アレクサンドル・ヴォルコフ
Егор Ильич Титов,イェーゴリ・チトフ
"Файзулин, Виктор Игоревич",ヴィクトル・ファイズリン
"Караев, Руслан Савельевич",ルスラン・カラエフ
"Мичурин, Иван Фёдорович",イワン・ヒョードリッヒ・ミチューリン
Алексей Марков,アレクセイ・マルコフ
Юрий Владимирович Матиясевич,ユーリ・マチャセビッチ
Николай Антонович Доллежаль,ニコライ・アントノヴィッチ・ドレジャリ
"Ханафеева, Гульфия Раифовна",グルフィヤ・ハナフェエワ
"Москалец, Светлана Владимировна",スヴェトラーナ・モスカレッツ
"Замолодчикова, Елена Михайловна",エレーナ・ザモロドチコワ
"Кузнецов, Эдуард Самойлович",エドゥアルド・クズネツォフ
Виктор Кресс,ヴィクトル・クレス
Александр Фёдорович Полещук,アレクサンドル・ポレシチューク
Дмитрий Сергеевич Лихачёв,ドミトリー・リハチョフ
Дмитрий Конышев,ディミトリ・コニシェフ
"Ласков, Иван Антонович",イヴァン・ラスコフ
Владимир Васильевич Устинов,ウラジーミル・ウスチノフ
Борис Павлович Бугаев,ボリス・ブガーエフ
Анна Цуканова-Котт,アン・ツカノワ
Марат Хуснуллин,マラト・フスヌリン
Юрий Маркович Нагибин,ユーリー・ナギビン
Эмин Джабраил оглы Махмудов,マフムドフ
"Керн, Ольга Владимировна",オルガ・ケルン
"Москвина, Тамара Николаевна",タマラ・モスクビナ
"Клюгин, Сергей Петрович",セルゲイ・クリュギン
Сергей Владимир,セルゲイ・ウラジミール
Татьяна Васильевна Казанкина,タチアナ・カザンキナ
"Душевина, Вера Евгеньевна",ベラ・ドゥシェビナ
Юрий Николаевич Афанасьев,ユーリ・アファナーシェフ
"Шафран, Даниил Борисович",ダニイル・シャフラン
Валерий Григорьевич Корзун,ワレリー・コルズン
Валентин Иванович Варенников,ヴァレンティン・ヴァレンニコフ
Александр Владимирович Волков,アレクサンドル・ボルコフ
"Лаврова, Наталья Александровна",ナタリア・ラブロワ
