Polska,波蘭
Bargłów Kościelny,巴格武夫-科希切尔内乡
Krynki,克倫基
Mistrzostwa Europy U-19 w Piłce Nożnej 2006,2006年歐洲U-19足球錦標賽
Ruś Czerwona,紅俄羅斯
Uniwersytet Warszawski,华沙大学
Nowe Skalmierzyce,新斯卡爾梅日采
TVP2,波兰电视二台
Raków Częstochowa,琴斯托霍瓦足球俱乐部
Śnieżka,斯涅日卡山
Skoki,斯科基
Cedynia,塞德尼亚市
Ogólnopolskie Porozumienie Związków Zawodowych,全波蘭協議工會
Zamek Grodziec,格羅策城堡
Mniejszość Niemiecka,德意志少數民族
Gdańsk Główny,格但斯克火車總站
Krzeszowice,克熱紹維采
Malbork,马尔堡
Drobin,德罗宾乡
Raciąż,拉瓊日
hymn Polski,波兰没有灭亡
Getto radomskie,拉多姆隔都
Synagoga pod Białym Bocianem,白鸛猶太會堂
TVN,TVN
Chojnów,霍伊努夫
Tczew,特切夫
Nagroda Fundacji im. Kościelskich,科西尔斯基奖
Raba,拉巴河 (維斯瓦河支流)
Płaska,普瓦斯卡乡
Nowinka,诺温卡乡
Ryn,雷恩
wypadek kolejowy pod Szczekocinami,2012年什切科齐内火车相撞事故
Zgorzelec,茲戈熱萊茨
Adwentystyczna Organizacja Pomocy i Rozwoju,安泽国际救援协会
Krwawy poniedziałek w Częstochowie,琴斯托霍瓦屠殺
Zambrów,贊布魯夫
Dolne Łużyce,下劳希茨
Diecezja bielsko-żywiecka,天主教别尔斯科–日维茨教区
Polsat Warsaw Open,Orange电信波兰公开赛
AZS Koszalin,AZS科沙林
powiat moniecki,蒙基縣
powiat gryficki,格雷菲采縣
Polski Fiat,波兰菲亚特
powiat myśliborski,梅希利布日縣
powiat szczecinecki,什切齊內克縣
Dobra,多布拉
Lipiany,利皮亞內
Kaszuby,卡舒布
powiat koszaliński,科沙林縣
Sztabin,什塔宾乡
Olszyna,奧爾希納
"Pałac Biskupi, Wiślna 12 w Krakowie",主教宫
Park Narodowy „Ujście Warty”,瓦塔國家公園
Gorczański Park Narodowy,戈爾塞國家公園
Jelenia Góra,耶萊尼亞古拉
Jezioro Żarnowieckie,扎爾諾維茨湖
Bóbr,布布爾河
województwo kieleckie,凱爾采省
Góry Stołowe,斯托武韋山
Cieszeniewo,切谢涅沃
Super Express,超级快报
Ruciane-Nida,魯恰內尼達
Lubsko,盧布斯科
Żarki,札基
Lębork,倫堡
Jastarnia,亞斯塔爾尼亞
Skawina,斯卡維納
Zgromadzenie Narodowe w Polsce,国民大会 (波兰)
Poręba,波倫巴
Rawa Mazowiecka,馬佐夫舍地區拉瓦
Zawiercie,扎维尔切
Żary,扎雷
Wodzisław Śląski,希隆斯克地區沃濟斯瓦夫
Port lotniczy Lublin,盧布林機場
Krosno Odrzańskie,奧得河畔克羅斯諾
Biała Rawska,比亞瓦拉夫斯卡
Prosna,普羅斯納河
Lotnisko Białystok-Krywlany,比亞韋斯托克-克里瓦尼機場
Woliński Park Narodowy,沃林國家公園
Wigierski Park Narodowy,威格里國家公園
Ruch Chorzów,羅切霍茹夫足球俱樂部
Warszawski Uniwersytet Medyczny,华沙医科大学
Bazylika katedralna Świętych Michała i Floriana w Warszawie,圣弥额尔圣福里安圣殿主教座堂
Resko,雷斯科
Uniejów,烏涅尤夫
Frombork,弗龙堡
Grzędy,康雷德斯瓦尔道
powiat policki,波利采縣
Trzcińsko-Zdrój,奇欽斯科-茲德魯伊
Darłowo,達爾沃沃
Kolej Dolnośląsko-Marchijska,下西里西亚－马尔基施铁路
Most Kierbedzia,科伊勒倍嘉橋
Ozimek,奧濟梅克
Nizina Środkowoeuropejska,北歐平原
Annopol,安諾波爾
Uniwersytet Wrocławski,弗羅茨瓦夫大學
Rega,雷加河
Starogard Gdański,格但斯克舊城
powiat niżański,尼斯科縣
Winnica,温尼察
Strzelce Opolskie,斯切爾采奧波萊斯基
Bisztynek,比什蒂內克
Park Narodowy Gór Stołowych,桌山國家公園
Ojcowski Park Narodowy,奧伊楚夫國家公園
Kampinoski Park Narodowy,坎皮諾斯國家公園
Lotnisko Biała Podlaska,比亞瓦-波德拉斯卡機場
Górale,波蘭高原民族
Frysztak,弗里史塔克
Roztoczański Park Narodowy,羅茲托切國家公園
Bolimów,博利穆夫
Gniew,格涅夫
Szczekociny,什切科齊內
Kcyninka,克齊寧卡河
Łomazy,沃玛兹
Sudety,蘇台德山脈
Narwiański Park Narodowy,納雷夫國家公園
Magurski Park Narodowy,馬古拉國家公園
Poleski Park Narodowy,波列斯國家公園
Pieniński Park Narodowy,皮耶尼內國家公園
województwo,波兰省份
Rzeź Woli,沃拉大屠殺
powiat oleśnicki,奧萊希尼察縣
Wierzbno,維日布諾站
Westerplatte,西盤半島
Wolin,沃林島
Międzyzdroje,緬濟茲德羅耶
Jordanów,約爾達努夫
Karkonoski Park Narodowy,克爾科諾謝國家公園
Policja,波蘭警察
Puck,普茨克
Ozorków,奧佐爾庫夫
Ratusz w Opolu,奧波萊市政廳
Zamek Chojnik,喬伊尼克城堡
Bobolice,博博利采
Stolpersteine,绊脚石
Płoty,普沃蒂
Brody,布罗迪
powiat świebodziński,希維博津縣
powiat żagański,扎甘縣
Ziemia dobrzyńska,多布任地區
Polski Związek Piłki Nożnej,波蘭足球協會
Getto krakowskie,克拉科夫猶太人區
Obóz zagłady w Treblince,特雷布林卡灭绝营
Obóz zagłady w Sobiborze,索比布尔集中营
Andrzejki,聖安德魯日
Góry Świętokrzyskie,聖十字山脈
powiat wschowski,弗斯霍瓦縣
powiat zielonogórski,綠山城縣
Narodowe Siły Zbrojne,国家武装部队
Wyszogród,維紹格魯德
Serock,塞羅茨克
powiat gorzowski,戈茹夫縣
powiat krośnieński,奧得河畔克羅斯諾縣
Opołonek,奧波洛涅克山
powiat międzyrzecki,緬濟熱奇縣
powiat nowosolski,新蘇爾縣
dialekt śląski języka niemieckiego,西里西亞語
Trawniki,特拉夫尼基
Ambasada Rosji w Polsce,俄羅斯駐波蘭大使館
Umschlagplatz w Warszawie,集合场
Województwo leszczyńskie,萊什諾省
trasa europejska E28,欧洲E28公路
Powódź tysiąclecia,1997年中欧洪水
Siedlce,謝德爾采
Gubin,古賓
Praszka,普拉什卡
Ustka,乌斯特卡
Metro w Warszawie,华沙地铁
Riese,巨人計畫
Cieszyn,切申
Soldau,索爾道集中營
powiat głogowski,格沃古夫縣
getto warszawskie,華沙猶太區
Krasnystaw,克拉斯內斯塔夫
Muzeum Narodowe w Warszawie,華沙國家博物館
Parowozownia Pilska,皮拉车库小组
Łęknica,文克尼察
Trzciel,奇切爾
Zamek w Kórniku,庫爾尼克城堡
powiat słubicki,斯武比采縣
Armia Krajowa,波蘭家鄉軍
Sobibór,索比堡
powiat strzelecko-drezdenecki,斯切爾采-德雷茲登科縣
powiat sulęciński,蘇倫欽縣
Mistrzostwa Świata w Short Tracku 2003,2003年世界短道速滑锦标赛
Marsz Żywych,生者之旅
Nidzica,尼濟察
Księstwo legnicko-brzeskie,萊格尼察公爵
Armia Ludowa,人民军
Działoszyce,賈沃希采
Proszowice,普羅紹維采
Brzesko,布熱斯科
powiat kutnowski,庫特諾縣
powiat łęczycki,文奇察縣
Synagoga Chewra Lomdei Misznajot w Oświęcimiu,奧斯威辛猶太會堂
Beskid Śląski,西里西亞貝斯基德
Łask,瓦斯克
Politechnika Wrocławska,弗罗茨瓦夫理工大学
Sępólno Krajeńskie,森普爾諾-克拉延斯凱
Staszów,斯塔舒夫
lista najwyższych budynków w Warszawie,華沙摩天大樓列表
Licheń Stary,老利亨
Pm3,德意志国铁路03.10型蒸汽机车
Wrzeszcz,澤茲斯卡茲
powiat żarski,扎雷縣
Oblężenie Westerplatte,西盤半島戰役
Europejskie Centrum Solidarności,欧洲团结工会中心
Kętrzyn,肯琴
Biłgoraj,比烏戈拉伊
Muzeum Powstania Warszawskiego,華沙起義博物館
Żagań,萨根
Platforma Obywatelska,公民纲领党
Zamek Cesarski w Poznaniu,波茲南皇宮
Warmia,瓦尔米亚
Puławy,普瓦維
Prawo i Sprawiedliwość,法律與公正黨
Państwowe Muzeum Archeologiczne w Warszawie,國家考古學博物館
powiat jaworski,亞沃爾縣
Siemianowice Śląskie,希隆斯克地區謝米亞諾維采
Wilczy Szaniec,狼穴
Nowa Sól,新蘇爾
Muzeum Sztuki i Techniki Japońskiej „Manggha”,日本美术技术博物馆漫画馆
Polska Akcja Humanitarna,波兰人道主义组织
Hostynne,霍司廷
Limanowa,利馬諾瓦
Dąbrowa Tarnowska,塔爾努夫的棟布羅瓦
Województwo kaliskie,卡利什省
powiat bolesławiecki,博萊斯瓦維茨縣
Wąbrzeźno,翁布熱伊諾
Brzeziny,布札希尼
Bitwa pod Tannenbergiem,坦能堡戰役
Obóz pracy w Trawnikach,特拉夫尼基集中营
Miedwie,梅德維湖
Radziejów,拉傑尤夫
Suchowola,蘇霍沃拉
Zbrodnia w Hucie Pieniackiej,胡塔皮耶尼亞茨卡大屠杀
polsko-niemiecki traktat o dobrym sąsiedztwie,德波睦鄰條約
powiat chojnicki,霍伊尼采縣
Poddębice,波德登比采
Wieruszów,維魯舒夫
PZL-130 Orlik,PZL-130小鷹教練機
Kostrzyn nad Odrą,奥得河畔科斯琴
Kłobuck,克沃布茨克
Żnin,日寧
Bolesławiec,博萊斯瓦維茨
Hala Stulecia,百年廳
Pierwotne karpackie lasy bukowe i stare lasy bukowe w Niemczech,喀爾巴阡山脈原始山毛櫸森林和德國古山毛櫸森林
Bug,西布格河
powiat kamiennogórski,卡緬納古拉縣
powiat kłodzki,克沃茲科縣
Ruch Autonomii Śląska,西里西亚自治运动
Tomaszów Mazowiecki,馬佐夫舍地區托馬舒夫
Rypin,雷平
Golub-Dobrzyń,戈盧布-多布任
Korytarz polski,波兰走廊
Piotrków Trybunalski,彼得庫夫-特雷布納爾斯基
Park Mużakowski,穆斯考爾公園
pałac Staszica,斯塔西茨宮
Pajęczno,帕延奇諾
Trzebiatów,切比亞圖夫
Zatoka Pomorska,波美拉尼亚湾
Myślenice,梅希萊尼采
Mogilno,莫吉爾諾
Jasna Góra,光明山修道院
Jaworzno,亚沃日诺
Więzienie Montelupich,Montelupich監獄
Łęczyca,文奇察
bazylika archikatedralna św. Stanisława i św. Wacława w Krakowie,瓦维尔主教座堂
powiat karkonoski,耶萊尼亞古拉縣
powiat dzierżoniowski,傑爾若紐夫縣
powiat górowski,古拉縣
Radomsko,拉多姆斯科
Bieruń,別倫
Aleksandrów Kujawski,庫亞維地區亞歷山德魯夫
Ziemia michałowska,米哈沃佛
Rospuda,羅斯普達河
Opawa,奧帕瓦河
Międzychód,缅济胡德乡
Polska Zjednoczona Partia Robotnicza,波兰统一工人党
Stokłosy,斯托克沃瑟站
powiat żniński,日寧縣
Nowa synagoga w Ostrowie Wielkopolskim,新猶太會堂
Natolin,納託林站
Politechnika,理工大學站
Racławicka,拉茨瓦維茨卡站
Oborniki,奧博爾尼基
Bełchatów,貝烏哈圖夫
Świętokrzyska,圣十字站
Ursynów,烏爾瑟努夫站
Młociny,莫茨尼站
Słodowiec,斯沃多維茨站
Imielin,伊梅林站
Tour de Pologne,環波蘭自行車賽
Węgliniec,文格利涅茨
Puńsk,普恩斯克
Pabianice,帕比亞尼采
Piekary Śląskie,希隆斯克地區佩卡雷
Tuchola,圖霍拉
Drawsko Pomorskie,波莫瑞地區德拉夫斯科
Pułtusk,普乌图斯克乡
Śląsk Wrocław,弗羅茨瓦克足球俱樂部
Goleniów,戈萊紐夫
Wysokie Mazowieckie,馬佐夫舍地區維索凱
Grajewo,格拉耶沃
Stębark,斯泰巴克
Słupca,斯武普察
Międzyrzecz,緬濟熱奇
Marymont,瑪麗蒙特站
Wawrzyszew,瓦夫日舍夫站
Ratusz Arsenał,兵工廠市政廳站
Stęszew,斯滕謝夫
Plac Konstytucji,憲法廣場站
Bystra,比斯特扎尼
Choszczno,霍什奇诺
Muranów,穆拉諾夫站
Pole Mokotowskie,莫科托夫廣場站
Centrum,中央站 (华沙地铁)
trasa europejska E75,欧洲E75公路
Lipno,利普諾
Miechów,梅胡夫
Kleszczele,克萊什切萊
Sztab Generalny Wojska Polskiego,波兰总参谋部
Tarnowskie Góry,塔爾諾夫斯凱古雷
Szumsk,舒木斯克
Powszechna Kasa Oszczędności Bank Polski,PKO BP銀行
Plac Wilsona,威爾遜廣場站
Kabaty,卡巴迪站
powiat gryfiński,格雷菲諾縣
trasa europejska E40,欧洲E40公路
Dębno,登布諾
Rusyfikacja,俄羅斯化
Kwidzyn,克维曾
Bytów,貝圖夫
Medyka,梅迪卡鄉
Pomorze Wschodnie,東波美拉尼亞
Stutthof,斯圖特霍夫集中營
Stare Bielany,舊別拉內站
trasa europejska E30,欧洲E30公路
Groß-Rosen,格羅斯-羅森集中營
niemiecki obóz zagłady w Bełżcu,贝尔赛克灭绝营
Obóz zagłady w Chełmnie nad Nerem,海乌姆诺灭绝营
KL Lublin,迈丹尼克集中营
V3,V-3炮
granica na Odrze i Nysie Łużyckiej,奧德河-尼斯河線
Dzień Kolejarza,鐵道之日
Order Odrodzenia Polski,波蘭復興十字勳章
Sztum,什圖姆
Kartuzy,卡爾圖濟
Myślibórz,梅希利布日
Człuchów,奇武胡夫
Radymno,拉迪姆诺
Ropczyce,羅普奇采
Dukla,杜克拉
Ćmielów,奇梅盧夫
Pustków,普斯特科夫
Pałac Na Wyspie w Warszawie,瓦津基宮
Łazienki Królewskie w Warszawie,瓦金基公园
Polsko-Ukraiński Batalion Sił Pokojowych,波兰-乌克兰和平部队营
Dzierzgoń,傑日貢
Pelplin,格米納佩爾普林
Starogard Gdański,格但斯克旧城乡
Bitwa pod Kockiem,科克戰役
Złotoryja,茲沃托雷亞
Leśna,萊希納
"Kościół Świętych Apostołów Piotra i Pawła, Grodzka 52a w Krakowie",圣伯多禄圣保禄堂
Kosakowo,科薩科沃鄉
Łapy,瓦佩
bazylika archikatedralna św. Jakuba w Szczecinie,圣雅各伯圣殿总主教座堂
Acta Astronomica,天文学学报
ŁKS Łódź,羅茲體育俱樂部
Łasin,瓦辛
Nowe Warpno,新瓦爾普諾
Kamień Pomorski,波莫瑞地區卡緬
Żukowo,茹科夫
Braniewo,布拉涅沃
Białogard,比亞沃加德
Plaszow,克拉科夫-普拉佐集中营
Chełmno,海烏姆諾
Kopiec Kościuszki w Krakowie,柯斯丘什科丘
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Pelplinie,佩尔普林圣母升天圣殿主教座堂
Szczyrk,什切爾克
Czeladź,切拉季
Port lotniczy Kraków-Balice,克拉科夫
Złota,茲沃塔河
Sławno,斯瓦夫諾
Wda,弗達河
Kępno,肯普諾
Ostrzeszów,奧斯切舒夫
Maraton Warszawski,華沙馬拉松
Jabłonowo Pomorskie,波莫瑞地區亞布沃諾沃
Łaziska Górne,上瓦濟斯卡
Łazy,瓦濟
Morskie Oko,海洋之眼
Połaniec,波瓦涅茨乡
Teatr Śląski,西里西亚剧院
I liga polska w piłce nożnej,波蘭足球乙級聯賽
powiat bieszczadzki,別什恰迪縣
Mysłowice,梅斯沃維采
Pieńsk,片斯克
Nowe,諾韋
Iłowa,伊沃瓦
Solec Kujawski,庫亞維地區索萊茨
1 Dywizja Pancerna,波蘭第一裝甲師
Konfederacja warszawska,華沙聯盟協約
Łebsko,韋巴湖
Osiek,奥谢克乡
Uniwersytet im. Adama Mickiewicza w Poznaniu,波茲南市亞當·密茨凱維奇大學
Pomnik Adama Mickiewicza w Krakowie,亚当·米茨凯维奇纪念碑
Pomnik Adama Mickiewicza w Warszawie,亚当·密茨凯维奇纪念碑 (华沙)
Instytut Adama Mickiewicza,密茨凯维奇学院
Łabiszyn,瓦比申
Łagów,拉戈夫
Radzionków,拉濟翁科夫
ORP Błyskawica,閃電號驅逐艦
Brzeźnicka Węgorza,布熱伊察文戈扎河
Chałupki,查乌普基
Wągrowiec,翁格羅維茨
Uniwersytet Zielonogórski,綠山城大學
Czarna Woda,黑水鎮
powiat brodnicki,布羅德尼察縣
Łobżenica,沃布熱尼察
Łochów,沃胡夫
Bitwa pod Koronowem,科罗诺沃战役
powiat nakielski,納克沃縣
Dworzec PKP Gliwice,格利维采車站
Brenna,布伦纳乡
Garwolin,加爾沃林
Województwo pomorskie,濱海省
Rail Baltica,波羅的海鐵路
Łeba,韋巴
Łańcut,萬楚特
Ty5,德意志国铁路50型蒸汽机车
Czarna Białostocka,黑比亞沃斯托茨卡
Skarżysko-Kamienna,斯卡日斯科-卡緬納
Prusice,普魯西采
Belweder w Warszawie,美景宮
Szlak Orlich Gniazd,鹰巢之路
Chęciny,亨齐内乡
Reprezentacja Polski w piłce nożnej,波蘭國家足球隊
Fort VII w Poznaniu,七號堡壘
bitwa nad Bzurą,布楚拉戰役
Rządza,容扎河
Mazowsze,马佐夫舍
powiat jarosławski,雅羅斯瓦夫縣
Kolej dużych prędkości w Polsce,波兰高速铁路
Szprotawa,什普羅塔瓦
TKt1,普鲁士T14型蒸汽机车
Kruszwica,克魯什維察
Pałac Biskupów Krakowskich w Kielcach,凱爾采克拉科夫主教宮
Brenna,布伦纳
powiat legnicki,萊格尼察縣
Bądków,班德库夫
Cybinka,齐宾卡乡
Ożarów,奥扎鲁夫乡
Żywiec,日維茨
powiat toruński,托倫縣
Nowy Dwór Mazowiecki,馬佐夫舍地區新莊園車站
Atlas Tower,千禧廣場
Mińsk Mazowiecki,馬佐夫舍地區明斯克
archidiecezja częstochowska,天主教琴斯托霍瓦总教区
Sobór metropolitalny Świętej Równej Apostołom Marii Magdaleny w Warszawie,抹大拉的馬利亞主教座堂
Superpuchar Ekstraklasy S.A.,波蘭超級盃
bazylika archikatedralna św. Jana Chrzciciela w Warszawie,圣若翰洗者圣殿总主教座堂
Elma,埃爾馬河
Jasienica,亞西尼卡
powiat wieruszowski,維魯舒夫縣
Wel,韋爾河 (德爾文察河支流)
Sanna,桑納河 (維斯瓦河支流)
Czerwieńsk,切爾維延斯克
Polsko-niemiecki traktat graniczny,德波邊界條約
Mały Młyn w Gdańsku,格但斯克小磨坊
Polski hydraulik,波蘭水電工
Narewka,那雷夫卡
Korona Kielce,凱爾采科羅納足球俱樂部
Wołosaty,沃沃薩蒂河
Olsztyn,奥尔什丁
Inowrocław,伊诺弗罗茨瓦夫
Sieniawa,谢尼亚瓦
Muzeum Lotnictwa Polskiego w Krakowie,波兰航空博物馆
Ok1,普鲁士P8型蒸汽机车
Legionowo,萊吉奧諾沃
Ostrowiec Świętokrzyski,聖十字地區奧斯特羅維茨
Wyżyna Krakowsko-Częstochowska,克拉科夫-琴斯托霍瓦高地
Biała Chorwacja,白克羅埃西亞
Małaszewicze,马拉舍维奇
Olimpia Grudziądz,奧林匹亞格魯瓊茲足球會
Brynica,布琳妮卡河
Teatr Wielki,華沙大劇院
Kościoły Pokoju,亞沃爾和希維德尼察的和平教堂
Polska Akademia Nauk,波蘭國家科學院
Dzierżoniów,傑爾若紐夫
Piastów,皮亞斯圖夫
Stomil Olsztyn (piłka nożna),奥尔什丁1945
Kościół św. Antoniego w Łodzi,聖安東尼教堂
Mszana Dolna,下姆沙納
Jawor,亚沃尔
Głuchów,格武库夫
Myszków,梅什库夫
Narodowy Bank Polski,波蘭國家銀行
Jedlnia,耶得尼亞
Pałac Myślewicki w Warszawie,梅希萊維茨基宮
Ziemia lubuska,萊布斯領地
Ośno Lubuskie,奥希诺-卢布斯卡乡
Poczta Polska,波蘭郵政
Gryfice,格雷菲采
Zawadzkie,扎瓦茲凱
Plac Żelaznej Bramy,铁门广场
Trójmiasto,三聯市
Stare Miasto,克拉科夫老城
Śródka,希罗德卡
powiat gołdapski,戈烏達普縣
Zbąszyń,茲邦申
cmentarz Powązkowski w Warszawie,波瓦茲基墓園
Zbąszynek,兹邦希内克
Port lotniczy Gdańsk im. Lecha Wałęsy,格但斯克
Łaszczów,瓦什丘夫乡
Cieszanów,切沙努夫
Kościół Świętej Trójcy w Warszawie,聖三一教堂
Pałac Kultury i Nauki,华沙科学文化宫
województwo nowosądeckie,新松奇省
Zawisza Bydgoszcz,比得哥什足球俱樂部
Kańczuga,坎丘加
Brzozów,布若祖夫
Zduny,茲杜內
Stadion im. Zdzisława Krzyszkowiaka,茲齊斯瓦夫·克日什科維亞克體育場
Czerwieńsk,切尔维延斯克 乡
granica polsko-rosyjska,波兰-俄罗斯边境
powiat janowski,盧布林地區亞努夫縣
powiat garwoliński,加爾沃林縣
Iwonicz-Zdrój,伊沃尼奇-茲德魯伊
Gryfici,格里芬家族
Oława,奧瓦瓦
powiat ostrowiecki,奧斯特羅維茨縣
Zawidów,扎維杜夫
Pałac Biskupów Krakowskich w Warszawie,克拉科夫主教宮
Krwawa niedziela,血腥星期日
Rymanów,雷马努夫乡
Stadion Cracovii,元帥約瑟夫·畢蘇斯基體育館
Oberek,奧貝雷克
powiat ciechanowski,切哈努夫縣
Bzura,布楚拉河
Radymno,拉迪姆诺铁路车站
Gąsawka,貢薩夫卡河
Ceranów,切拉努夫乡
Książ,克雄日城堡
Grodzisk Mazowiecki,馬佐夫舍地區格羅濟斯克
Choroszcz,霍羅什奇
Lechia Gdańsk,格但斯克萊吉亞足球俱樂部
Wielki Młyn w Gdańsku,格但斯克大磨坊
Fontanna Neptuna w Gdańsku,海神喷泉
Hrubieszów,赫魯別舒夫
Nowe Miasto Lubawskie,盧巴瓦新城
burmistrz,市長
powiat lipski,利普斯科縣
GKS Katowice,卡托維治採礦運動俱樂部
Krzanowice,克扎諾維采
Turek,圖雷克
Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,盧布林若望保祿二世天主教大學
Skrwa,斯克爾瓦河
Wybory prezydenckie w Polsce w 2000 roku,2000年波兰总统选举
miasto na prawach powiatu,擁有縣權力的市
Przedbórz,普熱德布日
Jedlicze,耶德利切
Radlin,拉德林
Szklarska Poręba,什克拉爾斯卡-波倫巴
Biełsat TV,白俄罗斯卫视
Kancelaria Prezydenta Rzeczypospolitej Polskiej,总统办公厅主任
Gryfino,格雷菲諾
Mauzoleum Hindenburga,坦能堡纪念碑
Trasa W-Z w Warszawie,华沙 WZ 路线
Mistrzostwa Europy w Piłce Siatkowej Mężczyzn 2013,2013年歐洲男子排球錦標賽
obrona Warszawy,華沙圍城戰
godło Polski,波蘭國徽
Litwini,立陶宛人
Zduńska Wola,茲敦斯卡沃拉
Krzna,克日納河
powiat strzeliński,斯切林縣
Dołhobyczów,多乌霍贝丘夫
Brok,布羅克
BMC Racing,CCC车队
granice Polski,波蘭邊界
Chojnice,霍伊尼采
Imielin,伊梅林
Asseco Gdynia,阿爾卡格丁尼亞
Okrągły Stół,波兰圆桌会议
