François Hollande,フランソワ・オランド
Angélique Kidjo,アンジェリーク・キジョー
Jacques Monod,ジャック・モノー
Marie-Adélaïde de Savoie,マリー・アデライード・ド・サヴォワ
Marie d'Anjou,マリー・ダンジュー
Didier Drogba,ディディエ・ドログバ
Odilon Redon,オディロン・ルドン
François Arago,フランソワ・アラゴ
Claire Keim,クレール・ケーム
Jules Bianchi,ジュール・ビアンキ
Marie-Amélie de Bourbon-Siciles,マリー・アメリー・ド・ブルボン
Marie Leszczynska,マリー・レクザンスカ
Otar Iosseliani,オタール・イオセリアーニ
Benjamin Brou Angoua,ベンジャミン・アングア
Marguerite de France (1158-1197),マルグリット・ド・フランス・(1158-1197)
Jeanne II de Bourgogne,ジャンヌ2世・(ブルゴーニュ女伯)
Isabelle d'Angoulême,イザベラ・オブ・アングレーム
Florent Schmitt,フローラン・シュミット
Frédéric IV de Salm-Kyrbourg,フリードリヒ4世・ツー・ザルム＝キルブルク
Henry Scheffer,アンリ・シェフェール
Joanny-Philippe Lagrula,ジョアニー＝フィリップ・ラグルーラ
Moïse Kisling,モイズ・キスリング
Raïs M'Bolhi,ライス・エンボリ
Jules Blanchard,ジュール・ブランシャール
Philippe Rousseau,フィリップ・ルソー
Yves Klein,イヴ・クライン
Athina Onassis,アシーナ・オナシス・デ・ミランダ
Claude Gensac,クロード・ジェンサック
Pierre Louis Dulong,ピエール・ルイ・デュロン
Xavier Boisselot,グザヴィエ・ボワスロ
Robert Nivelle,ロベール・ニヴェル
Pierre Clostermann,ピエール・クロステルマン
Albert Schweitzer,アルベルト・シュヴァイツァー
Émile Borel,エミール・ボレル
Joseph-Antoine Poniatowski,ユゼフ・ポニャトフスキ
Jeanne de Bourbon (1338-1378),ジャンヌ・ド・ブルボン
Victor Vasarely,ヴィクトル・ヴァザルリ
Marie Cavallier,マリー・カヴァリエ
Anne-Marie-Louise d'Orléans,アンヌ・マリー・ルイーズ・ドルレアン
Agnès Sorel,アニェス・ソレル
Marie de Luxembourg (1305-1324),マリー・ド・リュクサンブール
Anna Karina,アンナ・カリーナ
Jean-Baptiste Debret,ジャン＝バティスト・デブレ
Charles Andler,シャルル・アンドレール
Jules Breton,ジュール・ブルトン
Nicolas de Préville,ニコラ・ドゥ・プレヴィユ
Djamel Abdoun,ジャメル・アブドゥン
Jean-Alain Boumsong,ジャン＝アラン・ブームソン
Eugène Atget,ウジェーヌ・アジェ
Robert Granjon,ロベール・グランジョン
Georges Feydeau,ジョルジュ・フェドー
Marivaux,ピエール・ド・マリヴォー
Léopold Sédar Senghor,レオポール・セダール・サンゴール
Jean de La Fontaine,ジャン・ド・ラ・フォンテーヌ
Jean-Jacques Annaud,ジャン＝ジャック・アノー
Valeria Bruni Tedeschi,ヴァレリア・ブルーニ・テデスキ
Nathalie Gontcharova,ナタリア・ゴンチャロワ・(画家)
Robert Doisneau,ロベール・ドアノー
Louise-Élisabeth d'Orléans,ルイーズ・エリザベート・ドルレアン
Louise de La Vallière,ルイーズ・ド・ラ・ヴァリエール
Nathalie Tauziat,ナタリー・トージア
Basil Zaharoff,バジル・ザハロフ
Maurice Schumann,モーリス・シューマン
André Chastel,アンドレ・シャステル
Michel Corneille le Jeune,ミシェル・コルネイユ・(子)
Chiara Mastroianni,キアラ・マストロヤンニ
Eugène Bigot (musicien),ウジェーヌ・ビゴー
Alfred Giard,アルフレッド・マチュー・ジアール
Moritz Moszkowski,モーリッツ・モシュコフスキ
Paul Delaroche,ポール・ドラローシュ
Lucien Péraire,ルシアン・ペレール
Marie Skobtsova,母マリヤ
Pierre de Ronsard,ピエール・ド・ロンサール
François-René de Chateaubriand,フランソワ＝ルネ・ド・シャトーブリアン
Peter Brook,ピーター・ブルック
Louis XVII,ルイ17世
Jean Gallon,ジャン・ギャロン
Max Ernst,マックス・エルンスト
Julien Benda,ジュリアン・バンダ
Suzanne Lenglen,スザンヌ・ランラン
Maria Malibran,マリア・マリブラン
Gnassingbé Eyadéma,ニャシンベ・エヤデマ
Léon Jouhaux,レオン・ジュオー
René Cassin,ルネ・カサン
Clémence Poésy,クレマンス・ポエジー
Jacqueline Robin,ジャクリーヌ・ロバン
Elliott Erwitt,エリオット・アーウィット
Inconnue de la Seine,セーヌ川の身元不明少女
Jacques Ellul,ジャック・エリュール
François Couperin,フランソワ・クープラン
Louis Couperin,ルイ・クープラン
Adhémar de Monteil,アデマール・ド・モンテイユ
Zacharie Astruc,ザカリー・アストリュク
Jean Renoir,ジャン・ルノワール
Louis Leroy,ルイ・ルロワ
Eugène de Beauharnais,ウジェーヌ・ド・ボアルネ
Philippe d'Orléans (1674-1723),フィリップ2世・(オルレアン公)
César Franck,セザール・フランク
Philippe Léotard,フィリップ・レオタール
Paul Mauriat (musicien),ポール・モーリア
Éric Rohmer,エリック・ロメール
Benjamin Péret,バンジャマン・ペレ
Colette Besson,コレット・ベッソン
Louis de Lorraine (1575-1621),ルイ・ド・ロレーヌ・(1575-1621)
Madame de Lamballe,ランバル公妃マリー・ルイーズ
Tatiana Golovin,タチアナ・ゴロビン
Christine Arron,クリスティーン・アーロン
Sonia Delaunay,ソニア・ドローネー
Marie Laurencin,マリー・ローランサン
Louise Renée de Penancoët de Keroual,ルイーズ・ケルアイユ
Max Jacob,マックス・ジャコブ
Sandrine Bonnaire,サンドリーヌ・ボネール
Louis Néel,ルイ・ネール
Louis-Alexandre Berthier,ルイ＝アレクサンドル・ベルティエ
Pierre Boulez,ピエール・ブーレーズ
Georges Rouault,ジョルジュ・ルオー
Lila Kedrova,リラ・ケドロヴァ
Ginette Neveu,ジネット・ヌヴー
Arielle Dombasle,アリエル・ドンバール
Jacques Eléonor Rouxel de Grancey,ジャック・エレオノール・ルーセル・ド・グランシー
Antoinette Nana Djimou,アントワネット・ナナ・ジムー
Grégoire Colin,グレゴワール・コラン
Maurice Rollet de l'Isle,モーリス・ロレ・ド・リル
Henri-Robert de La Marck,アンリ＝ロベール・ド・ラ・マルク
André Weil,アンドレ・ヴェイユ
Michel Rolle,ミシェル・ロル
Stephan Eicher,ステファン・イーチャー
Thomas Fersen,トマ・フェルセン
Vanessa Paradis,ヴァネッサ・パラディ
Marcellin Marbot,マルセラン・マルボ
Adolphe Marbot,アドルフ・マルボ
Gaston Julia,ガストン・ジュリア
Antoine-Augustin Cournot,アントワーヌ・オーギュスタン・クールノー
Charles Léandre,シャルル・レアンドル
Xavier Leroux,グザヴィエ・ルルー
Georges Dandelot,ジョルジュ・ダンドロー
Hugues II de Châtillon,ユーグ2世・(ブロワ伯)
Alfred Dehodencq,アルフレッド・デオダンク
Henri Cernuschi,エンリコ・チェルヌスキ
Charles-Théodore Frère,シャルル＝テオドール・フレール
Karl Girardet,カール・ジラルデ
Nicolas Charles Oudinot,ニコラ・ウディノ
André Derain,アンドレ・ドラン
Henri Rousseau,アンリ・ルソー
Pierre Bourdieu,ピエール・ブルデュー
Élisabeth-Charlotte d'Orléans,エリザベート・シャルロット・ドルレアン
Inès Armand,イネッサ・アルマンド
Jeannie Longo,ジャニー・ロンゴ
Ludivine Sagnier,リュディヴィーヌ・サニエ
Marie-Adélaïde de Bourbon,ルイーズ・マリー・ド・ブルボン＝パンティエーヴル
Marguerite Long,マルグリット・ロン
Joseph Paul-Boncour,ジョゼフ・ポール＝ボンクール
Émile Henriot (écrivain),エミール・アンリオ
Émile Guimet,エミール・ギメ
Pierre-Gabriel Buffardin,ピエール＝ガブリエル・ビュファルダン
Jean Robin (botaniste),ジャン・ロバン・(植物学者)
Henri Félix Emmanuel Philippoteaux,アンリ・フェリックス・エマニュエル・フィリッポトー
Mark Andre,マーク・アンドレ
François Cavanna,フランソワ・カヴァナ
François Truffaut,フランソワ・トリュフォー
Alberto Giacometti,アルベルト・ジャコメッティ
Yann Tiersen,ヤン・ティルセン
Émile Schuffenecker,エミール・シェフネッケル
Émile Senart,エミール・スナール
Emmanuelle Seigner,エマニュエル・セニエ
Julie Coin,ジュリー・クワン
Maurice Halbwachs,モーリス・アルブヴァクス
Christian Karembeu,クリスティアン・カランブー
Léon Gautier,レオン・ゴーティエ
Jacques Tati,ジャック・タチ
Roman Polanski,ロマン・ポランスキー
Josselin Ier d'Édesse,ジョスラン1世・(エデッサ伯)
Pierre Mauroy,ピエール・モーロワ
Juliette Gréco,ジュリエット・グレコ
Charles de Foucauld,シャルル・ド・フーコー
Marcel Carné,マルセル・カルネ
Henri Cartier-Bresson,アンリ・カルティエ＝ブレッソン
Charles Nicolle,シャルル・ジュール・アンリ・ニコル
Bruno Walter,ブルーノ・ワルター
François Darlan,フランソワ・ダルラン
Charles V de Lorraine,シャルル5世・(ロレーヌ公)
Marie-Louise O'Murphy,マリー＝ルイーズ・オミュルフィ
Constance de Bretagne,コンスタンス・ド・ブルターニュ
Miou-Miou,ミウ＝ミウ
Marie de Bourgogne,マリー・ド・ブルゴーニュ
Eugénie de Montijo,ウジェニー・ド・モンティジョ
Àstrid Bergès-Frisbey,アストリッド・ベルジュ＝フリスベ
Luis Federico Leloir,ルイ・ルロワール
Danielle Darrieux,ダニエル・ダリュー
Suzanne Valadon,シュザンヌ・ヴァラドン
Marc Bloch,マルク・ブロック
Lucien Febvre,リュシアン・フェーヴル
Jorge Semprún,ホルヘ・センプルン
Pierre-Jean de Béranger,ピエール＝ジャン・ド・ベランジェ
Paul Winter,ポール・ウィンテール
Émile Mâle,エミール・マール
Émile Lemoine,エミール・ルモワーヌ
Karina Lombard,カリーナ・ロンバード
Gabrielle de Polignac,ポリニャック公爵夫人ヨランド・ド・ポラストロン
Lucien Lévy-Bruhl,リュシアン・レヴィ＝ブリュール
Pierre-Alexis Pessonneaux,ピエール＝アレクシス・ペソノ
Philippe Sollers,フィリップ・ソレルス
Charles XIV Jean,カール14世ヨハン・(スウェーデン王)
Ernest Renan,エルネスト・ルナン
Jean-Luc Godard,ジャン＝リュック・ゴダール
Oscar Ier,オスカル1世・(スウェーデン王)
Christine de Pizan,クリスティーヌ・ド・ピザン
Émile Pessard,エミール・ペサール
Lubin Baugin,リュバン・ボージャン
Émile Ollivier (homme politique),エミール・オリヴィエ
Yannick Jauzion,ヤニック・ジョジオン
Émile Paladilhe,エミール・パラディール
Enrico Macias,エンリコ・マシアス
Claude Ballon,クロード・バロン
Axel Kahn,アクセル・カーン
Émile Picard,エミール・ピカール
Émile Prudent,エミール・プリューダン
Émile Reynaud,シャルル・エミール・レイノー
Émile Sauret,エミール・ソーレ
Fernand Léger,フェルナン・レジェ
Mélanie Laurent,メラニー・ロラン
Marcel Marceau,マルセル・マルソー
Jeanne de Chantal,ジャンヌ・ド・シャンタル
Virginie Ledoyen,ヴィルジニー・ルドワイヤン
Émilie Simon,エミリー・シモン
Mélissa Theuriau,メリッサ・テュリオ
Frank Horvat,フランク・ホーヴァット
Pierre Drieu la Rochelle,ピエール・ドリュ＝ラ＝ロシェル
Balthus,バルテュス
Vittorio De Sica,ヴィットリオ・デ・シーカ
Francis Picabia,フランシス・ピカビア
Romain Gary,ロマン・ガリー
Simone Weil,シモーヌ・ヴェイユ・(哲学者)
Georges Perec,ジョルジュ・ペレック
Yo-Yo Ma,ヨーヨー・マ
Michèle Morgan,ミシェル・モルガン
Assia Djebar,アシア・ジェバール
Corinne Hermès,コリンヌ・エルメス
Madame Guyon,ギュイヨン夫人
Hélène Cixous,エレーヌ・シクスー
Thomas Couture,トマ・クチュール
Anthony Knockaert,アントニー・クノッカール
Émile Vaudremer,エミール・ヴォードルメール
Émile Waldteufel,エミール・ワルトトイフェル
Alfred Roll,アルフレッド・ロル
Françoise Hardy,フランソワーズ・アルディ
Stanislas Leszczynski,スタニスワフ・レシチニスキ
François Guizot,フランソワ・ピエール・ギヨーム・ギゾー
Marie-Louise d'Autriche,マリア・ルイーザ・(パルマ女公)
Henri-Georges Clouzot,アンリ＝ジョルジュ・クルーゾー
René Clair,ルネ・クレール
Charles-Lucien Bonaparte,シャルル・リュシアン・ボナパルト
Maria de Medeiros,マリア・デ・メデイロス
Louis Nicolas Davout,ルイ＝ニコラ・ダヴー
Arletty,アルレッティ
Jeanne Ire d'Auvergne,ジャンヌ1世・(オーヴェルニュ女伯)
Julie Clary,ジュリー・クラリー
Paulette Dubost,ポーレット・デュボスト
Émilienne d'Alençon,エミリエンヌ・ダランソン
Alix de France (1150-1197),アリックス・ド・フランス・(1150-1195)
Adélaïde Labille-Guiard,アデライド・ラビーユ＝ギアール
Marie Trintignant,マリー・トランティニャン
Éric Di Meco,エリック・ディ・メコ
Désiré François Laugée,デジレ・フランソワ・ロージェ
Jean-Baptiste Troppmann,ジャン＝バティスト・トロップマン
Michel Bréal,ミシェル・ブレアル
Jean Borotra,ジャン・ボロトラ
Louis Malle,ルイ・マル
Robert Bresson,ロベール・ブレッソン
Séraphine de Senlis,セラフィーヌ・ルイ
Cécilia Attias,セシリア・アティヤス
Natalya Lisovskaya,ナタリア・リソフスカヤ
René Coty,ルネ・コティ
Vincent Auriol,ヴァンサン・オリオール
Nikola Karabatic,ニコラ・カラバティッチ
Daniel-François-Esprit Auber,ダニエル＝フランソワ＝エスプリ・オベール
Jean Vigo,ジャン・ヴィゴ
Henri Verneuil,アンリ・ヴェルヌイユ
Jacques Tourneur,ジャック・ターナー・(映画監督)
Cornelius Castoriadis,コルネリュウス・カストリアディス
Albert Lebrun,アルベール・ルブラン
Claude Louis Hector de Villars,クロード・ルイ・エクトル・ド・ヴィラール
Andreï Kontchalovski,アンドレイ・コンチャロフスキー
Claude Chabrol,クロード・シャブロル
Jacques Becker,ジャック・ベッケル
Max Ophüls,マックス・オフュルス
Bernadette Soubirous,ベルナデッタ・スビルー
Yvonne Loriod,イヴォンヌ・ロリオ＝メシアン
Bonne de Luxembourg,ボンヌ・ド・リュクサンブール
