Angela Merkel,앙겔라 메르켈
Faissal Ebnoutalib,파이살 에브누탈리프
Emil Walter (Fußballspieler),에밀 발터
Felix Wiedwald,펠릭스 비드발트
Klaus Glahn,클라우스 글란
Rolf Zacher,롤프 차허
Bodo Illgner,보도 일그너
Lutz Wanja,루츠 바냐
Martin Hyun,마르틴 현
Daniel Schuhmacher,다니엘 슈마허
Ladislaus von Bortkewitsch,라디슬라우스 보르트키에비치
Magneto (Comicfigur),매그니토
Marc Hornschuh,마크 호언슈어
Kevin Akpoguma,케빈 아크포구마
Sara Däbritz,자라 데브리츠
Walter Harzer,발터 하르처
Martin Odersky,마틴 오더스키
Michael Jurack,미하엘 유라크
David Wagner,다비트 바그너
Birge Schade,비르게 샤데
Jonas Hector,요나스 헥토어
Regina Weber,레기나 베버
Peter Hermann (Schauspieler),피터 허먼
Olga Nemes,올가 네메스
Jürgen Heuser,위르겐 호이저
Chhunly Pagenburg,훈리 파겐부르크
Peter Draisaitl,페터 드라이자이틀
Heinrich Berger (Musiker),헨리 버거
Charles Willoughby,찰스 A. 윌로우비
Liu Xia (Künstlerin),류샤 (작가)
Carsten Haitzler,카르스텐 하이츨러
Daniel Günther,다니엘 귄터
Christian Drosten,크리스티안 드로스텐
Carmen-Maja Antoni,카르멘마야 안토니
Christoph Kramer,크리스토프 크라머
Christine Schorn,크리스틴 쇼른
Christoph Schwöbel,크리스토퍼 슈뵈벨
Clemens Schick,클레멘스 시크
Christian Friedel,크리스티안 프리에델
Christoph Letkowski,크리스토프 레트코브스키
Friedrich August Joseph von Nauendorf,"프리드리히 요제프, 나우엔도르프 백작"
Christiane Rücker,크리스티아네 뤼커
Gretl Braun,그레틀 브라운
Jodocus Trutfetter,요도쿠스 트루트페터
Christina Fischer,크리스티나 피셔
Sven Tippelt,스벤 티펠트
Claudia Hempel,클라우디아 헴펠
Peter Lehel,페터 레헬
Maximilian Arnold,막시밀리안 아르놀트
Lena Lauzemis,레나 라우제미스
Sara Doorsoun,사라 두르순
Constantin von Jascheroff,콘스탄틴 폰 야셰로프
Claudia Michelsen,클라우디아 미헬센
Dieter Puppe,디터 푸페
Dietmar Schacht,디트마르 샤흐트
Dietrich Hollinderbäumer,디트리히 홀린더보이머
Dimitrij Nazarov,디미트리 나자로프
Dorothea von Ertmann,도로테아 폰 에르트만
Denis Kudla (Ringer),데니스 쿠들라 (레슬링 선수)
Stefan Kapičić,스테판 카피치치
Dmitri Wladimirowitsch Wrubel,드미트리 브루벨
Detlef Bothe,데틀레프 보테
Peri Baumeister,페리 바우마이스터
Alicia von Rittberg,알리치아 폰 리트베르크
Stefan Konarske,슈테판 코나르스케
Dominique Heintz,도미니크 하인츠
Henrike Fehrs,헨리케 페어스
Nadeshda Brennicke,나데슈다 브레니케
Frank Reicher,프랭크 레이처
Franz Osterroth,프란츠 오스터로트
Nilam Farooq,닐람 파루크
Elisa Schlott,엘리자 슐로트
Aline Rotter-Focken,알리네 로터포켄
Erich Zeller,에리히 첼러
Nico Schulz,니코 슐츠
Erwin Helmchen,에르빈 헬름센
Ernst-Georg Schwill,에른스트게오르크 슈빌
Felicio Brown Forbes,펠리시오 브라운 포브스
Helmut Schön,헬무트 쇤
Torben Liebrecht,토르벤 리브레히트
Wolfgang Capito,볼프강 카피토
Fabian Holland,파비안 홀란트
Elise Barensfeld,엘리제 바렌스펠트
Petrus van Mastricht,페트루스 판 마스트리흐트
Frank Stäbler,프랑크 슈테블러
Roger Schmidt,로거 슈미트
Nadia Hilker,나디아 힐커
Sarah Engels,자라 엥겔스
Benedikt Wagner,베네딕트 바그너
Karoline Schuch,카롤리네 슈흐
Florence Kasumba,플로렌스 카숨바
Franziska Petri,프란치스카 페트리
Franziska Knuppe,프란치스카 크누페
Florian Panzner,플로리안 판츠너
Maria Dragus,마리아빅토리아 드라구스
Katharina Marie Schubert,카타리나 M. 슈베르트
Ruby O. Fee,루비 O. 피
Gerd B. Achenbach,게르트 B. 아헨바흐
Gerd Bonk,게르트 봉크
Gerd Antes,게르트 안테스
Gereon Krahforst,게레온 크라포르스트
Gabriele Oettingen,가브리엘레 외팅겐
Richard von Schirach,리하르트 폰 시라흐
Gerhard Roth (Biologe),게르하르트 로스 (생물학자)
Gudrun Ritter,구드런 리터
Steffen Weinhold,슈테펜 바인홀트
Godehard Giese,고데하르트 기제
Gottfried Stiehler,고트프리트 슈틸러
Isolde Barth,이솔데 바스
Gottfried Weimann,고트프리트 바이만
Otto Weber (Theologe),오토 베버
Han Ying (Tischtennisspielerin),한잉
Rainer Basedow,라이너 바제도
Heinrich Vogel (Theologe),하인리히 포겔
Jørn Andersen,예른 안데르센
Hannes Beckmann (Musiker),하네스 벡만
Peter Kurth (Schauspieler),페터 쿠르트
Hans Peter Korff,한스 피터 코르프
Hans-Michael Rehberg,한스미하엘 레베르크
Hans Schumm (Schauspieler),한스 슘
Saskia Rosendahl,자스키아 로젠달
Helge Braun,헬게 브라운
Henning Schröer,헤닝 슈뢰어
Hermann Heidegger,헤르만 하이데거
Susanne Wolff,주자네 볼프
Nina Franoszek,니나 프라노젝
Alexander Leipold,알렉산더 라이폴트
Horst Mittelstaedt (Biologe),호르스트 미텔슈테트
Alexander Gauland,알렉산더 가울란트
Rudolf Mang,루돌프 망
Hubertus von Grünberg,후버투스 폰 그륀버그
Imogen Kogge,이모겐 코게
Konstanze von Schulthess,콘스탄체 폰 슐테스
Ina Weisse,이나 바이세
Alexandra Finder,알렉산드라 파인더
Martin Zawieja,마르틴 차비에야
Isabel Kerschowski,이자벨 케르쇼프스키
Jenny Apolant,제니 아폴란트
Igor Jovanović,이고르 요바노비치
Jella Haase,옐라 하제
Jan-Lennard Struff,얀레나르트 슈트루프
Ill-Young Kim,김일영
Jack Nasher,잭 내셔
Lisa Vicari,리자 비카리
Joachim Hossenfelder,요아킴 호센펠더
Janine Wissler,야니네 비슬러
Ronald Zehrfeld,로날트 체르펠트
Johann Kuene van Franckenberg,요한 쿠에네 판 프랑켄베르크
Johannes Strate,요하네스 슈트라테
Joseph M’Barek,요제프 음바레크
Martin Brambach,마르틴 브람바흐
Paul Kluckhohn,파울 클루크혼
Judith Kaufmann,유디트 카우프만
Jorinde Voigt,요린데 포크트
Karoline Eichhorn,카롤리네 에이크혼
Karin Maag,카린 마아그
Norbert Walter-Borjans,노르베르트 발터-보르얀스
Vincenzo Grifo,빈첸초 그리포
Kornelia Greßler,코르넬리아 그레슬러
Katy Karrenbauer,카티 카렌바우어
Kevin Müller,케빈 뮐러
Kralle Krawinkel,게르트 크라빙켈
Leonie Maier,레오니 마이어
Kurt Bock,쿠르트 보크
Lisa Tomaschewsky,리사 토마셰브스키
Leslie Malton,레슬리 말톤
Albrecht Schuch,알브레히트 슈흐
Riem Hussein,리엠 후세인
Lars Rudolph,라르스 루돌프
Liv Lisa Fries,리브 리자 프리스
C418,C418
Ludwig Trepte,루트비히 트렙테
Lars Eidinger,라르스 아이딩거
Lavinia Wilson,라비니아 빌손
Louis Hofmann,루이스 호프만
Marc Hosemann,마르크 호제만
Loy Hering,로이 헤링
Maximilian Mauff,막시밀리안 마우프
Marek Harloff,마레크 하를로프
Maria Ehrich,마리아 에를리히
Max von der Groeben,맥스 본 더 그로벤
Marianne Hettinger,마리안 헤팅어
Mark Zak,마르크 차크
Martin Wölfel,마틴 뵐펠
Melanie Leupolz,멜라니 로이폴츠
Nairy Baghramian,나이리 바그라미안
Heinz Ziegler,하인츠 치글러
Max Emanuel Herzog in Bayern,막스에마누엘 헤어초크 폰 바이에른
Onel Hernández,오넬 에르난데스
Michael Brandner (Schauspieler),미하엘 브란트너
Navíd Akhavan,나비드 아카반
Nikola Kastner,니콜라 카스트너
Nina Kunzendorf,니나 쿤첸도르프
Nikolaus van Bueren,니콜라우스 판 부에렌
Peter Behrens (Schlagzeuger),페터 베렌스 (음악가)
Milena Tscharntke,밀레나 차른트케
Peter Beyerhaus,페터 바이어하우스
Helena von Schleswig-Holstein-Sonderburg-Glücksburg,헬레네 아델하이트 빅토리아 마리 폰 슐레스비히홀슈타인존더부르크글뤽스부르크
Paula Beer,파울라 베어
Simon Episcopius,시몬 에피스코비우스
Carl Wilhelm Freund Walther,카를 발터
Red Skull,레드 스컬
Peter Fitz,페터 피츠
Oliver Masucci,올리버 마수치
Ralf Kellermann,랄프 켈레르만
Stephan Weil,슈테판 바일
Birgit Fischer (Kanutin),비르기트 피셔
Nur Fettahoğlu,누르 페타홀루
Johannes Geis,요하네스 가이스
Tobias Rieder,토비아스 리더
Stephan Grossmann,슈테판 그로스만
Ruth Landshoff,루트 란츠호프
Stephan Remmler,슈테판 렘러
Theodor Undereyck,테오도르 운데어아익
Vladimir Lossky,블라디미르 로스키
Thomas Limpinsel,토마스 림핀젤
Thomas Heinze,토마스 하인체
Sebastian Blomberg,제바스티안 블롬베르크
Thomas Kemmerich,토마스 켐머리히
Tobias A. Schliessler,토비아스 A. 슐리슬러
Uğur Şahin,우우르 샤힌
Ulrike Krumbiegel,울리케 크룸비겔
Valeria Eisenbart,발레리아 아이젠바르트
Vicky Krieps,비키 크립스
Ursula Haverbeck,우르줄라 하페르베크
Max Wünsche,막스 뷘셰
Volker Bruch,볼커 브루흐
Vinzenz Kiefer,빈첸츠 키퍼
Wilhelm Emrich,빌헬름 엠리히
Alexander Allerson,알렉산더 알레슨
Willi Orban,빌리 오르반
Alexander S. Kekulé,알렉산더 케쿨레
Cosima Shaw,코시마 쇼
Hedwig Potthast,헤트비히 포타스트
Friedrich-Georg Eberhardt,프리드리히게오르크 에버하르트
Christian Günter,크리스티안 귄터
Alice Dwyer,앨리스 드바이어
Fabian Schnellhardt,파비안 슈넬하르트
Werner Koch (Softwareentwickler),워너 코흐
Lina Heydrich,리나 하이드리히
Gerhard Engel (General),게르하르트 엥겔
Jeremy Toljan,예레미 톨리안
Edmund Roßmann,에드문트 로스만
Hans Andersag,한스 안데르자크
Julian Brandt,율리안 브란트
Kaan Ayhan,카안 아이한
Fritz Klingenberg,프리츠 클링겐베르크
Erich Redman,에리히 레트만
Gustav Rau (Leichtathlet),구스타프 라우
Sophie Charlotte (Schauspielerin),소피 샤를로치
Wulff-Dieter Heintz,울프-디터 하인츠
Helmut Kunz,헬무트 쿤츠
Anni Rehborn,아니 레보른
Adrienne McQueen,에이드리언느 맥퀸
Marian Sarr,마리안 자어
Marc Stendera,마르크 슈텐데라
Alexandré Pölking,알렉산드레 푈킹
Falk Hentschel,팔크 헨첼
Ernst von Freyberg,에른스트 폰 프라이베르크
Susanne König,주자네 쾨니히
Fritz Albrecht (General),프리츠 알브레히트
Mark Uth,마르크 우트
Branko Tomović,브랑코 토모빅
Timo Werner,티모 베르너
Gennadi Vengerov,겐나디 벤게로브
Laura Dahlmeier,라우라 달마이어
Greta Meyer,그레타 마이어
Lee Kohlmar,리 콜마
Walter Christaller,발터 크리스탈러
Hanni Rehborn,하니 레보른
Max Meyer (Fußballspieler),막스 마이어
Knut Berger,크누트 베르거
Ilse Braun,일제 브라운
Philipp Grubauer,필리프 그루바워
Jürgen Damm,위르겐 담
Peter Leibing,페터 라이빙
Jannik Bandowski,야닉 반도프스키
Dolkun Isa,돌쿤 이사
Paul Koslo,폴 코슬로
Nursel Köse,누르셀 쾨세
Sergei Wladimirowitsch Taborizki,세르게이 타보리츠키
Thomas Röhler,토마스 뢸러
Justin Eilers,저스틴 아일러스
Julius Rehborn,율리우스 레보른
Karl Herzog (General),카를 헤어초크
Sandy Helberg,샌디 헬버그
Frauke Petry,프라우케 페트리
Louis Adlon (Schauspieler),루이스 아들론
Dennis Schröder,데니스 슈뢰더
Sven Beckert,스벤 베커트
Niklas Süle,니클라스 쥘레
Arlissa,아를리사
Lukas Raeder,루카스 레더
Wolfgang Kroll,볼프강 크롤
Victor Beaumont,빅터 보몬트
Linda Hesse,린다 헤세
Levin Öztunali,레빈 외즈투날르
Thorsten Kaye,토르스텐 카이에
Jürgen Hinzpeter,위르겐 힌츠페터
Christoph Harting,크리스토프 하르팅
"Georg von Waldersee (Offizier, 1860)",게오르크 폰 발더제
Hendrik Bonmann,헨드릭 본만
Nicole Hansen,니콜 한슨
Torsten Voges,토르스텐 포게스
Davie Selke,다비 젤케
Burak Karan,부라크 카란
Ernst Hermann Himmler,에른스트 헤르만 힘러
Gebhard Ludwig Himmler,게프하르트 루트비히 힘러
Alexander Zverev,알렉산더 즈베레프
Jost Gippert,요스트 기퍼트
Jonathan Tah,조나탕 타
Julian Green,줄리언 그린
Lina Larissa Strahl,리나 라리사 슈트랄
Joshua Kimmich,요주아 키미히
Thomas Lemke (Soziologe),토마스 렘케
Leon Draisaitl,레온 드라이자이틀
Hans Kremer,한스 크레머
Yannick Gerhardt,야니크 게르하르트
Stanislaw Iljutschenko,스타니슬라프 일류첸코
Melvyn Lorenzen,멜빈 로렌즌
Friederike Becht,프레데리케 베흐트
Robin Gosens,로빈 고젠스
Sanny van Heteren,자니 판헤테렌
Katrin Gebbe,카트린 게베
Christian Wunderlich (Mediziner),크리스티안 분더리히 (1806년)
Hieronymus Wilhelm Ebner von Eschenbach,히에로니무스 빌헬름 에브너 폰 에센바흐
Aenne Schwarz,에네 슈바르츠
Fabian Wagner,파비안 바그너
Ihlas Bebou,이흘라스 베부
Sinja Dieks,시냐 디크스
Marianne Stewart,마리앤 스튜어트
Hagen Reinhold,하겐 라인홀트
Patrick Mainka,파트리크 마인카
Klaus Schormann,클라우스 쇼르만
Kenan Karaman,케난 카라만
Philipp Max,필리프 막스
Erwin Bowien,에르빈 요하네스 보비엔
Julian Weigl,율리안 바이글
Lena Klenke,레나 클렝케
Robin Schulz,로빈 슐츠
Lukas Klostermann,루카스 클로스테르만
Maximilian Philipp (Fußballspieler),막시밀리안 필리프
Franz Rogowski,프란츠 로고프스키
Svenja Jung,스베냐 융
Lea Schüller,레아 쉴러
Virtual Riot,버추얼 라이엇
Römer %2B Römer,뢰머%2B뢰머
John Keogh (Schauspieler),존 키오
Leroy Sané,리로이 자네
Lea van Acken,레아 판아켄
Gianluca Gaudino,잔루카 가우디노
Daniel Jasinski,다니엘 야신스키
Alexander Schwolow,알렉산더 슈볼로브
Stefanie Giesinger,슈테파니 기징거
Pascal Stenzel,파스칼 슈텐첼
Peter Kohl (Unternehmer),페터 콜
Marnon Busch,마르논 부슈
Kim Riedle,킴 리들레
Clara-Jumi Kang,클라라 주미 강
Mahmoud Dahoud,마흐무드 다후드
Teesy,티지 (가수)
Marius Wolf,마리우스 볼프
Maximilian Eggestein,막시밀리안 에게슈타인
Janek Sternberg,야네크 슈테른베르크
Erwin Fehlberg,에르빈 펠베르크
Lisa Unruh,리자 운루흐
Christoph Zimmermann (Fußballspieler),크리스토프 치머만
Donis Avdijaj,도니스 아브디야이
Rochus Leonhardt,로후스 레온하르트
Stefan Baumeister,슈테판 바우마이스터
Fabian Benko,파비안 벤코
Robert Bauer (Fußballspieler),로베르트 바우어
Narges Rashidi,나르게스 라시디
Felix Jaehn,펠릭스 옌
Franziska Giffey,프란치스카 기파이
Daniel Lindemann,다니엘 린데만
Anna Ewers,아나 에베르스
August Wittgenstein,아우구스트 비트겐슈타인
Nadiem Amiri,나딤 아미리
Ann Sophie,앤 소피
Felix Götze,펠릭스 괴체
Luca Waldschmidt,루카 발트슈미트
Eva Umlauf,에바 움라우프
Jessy Ares,제시 아레스
Ulrich Spiesshofer,울리히 스피어스호퍼
Emma Bading,에마 바딩
Robert Andrich,로베르트 안드리히
Dennis Mojen,데니스 모옌
Namika,나미카
Vitalij Lux,비탈리 룩스
Thilo Kehrer,틸로 케러
Luise Befort,루이제 베포르트
Oliver Blume (Manager),올리버 블루메
Felix Passlack,펠릭스 파슬라크
Jochen Küpper,요헨 퀴퍼
Johannes Eggestein,요하네스 에게슈타인
Alexander Nübel,알렉산더 뉘벨
Grischa Prömel,그리샤 프뢰멜
Lilith Stangenberg,릴리트 슈탕겐베르크
Bibi Bourelly,비비 보릴리
Benjamin Henrichs (Fußballspieler),베냐민 헨릭스
Alexander Dreymon,알렉산더 드레이먼
Julian Nagelsmann,율리안 나겔스만
Çağla Korkmaz,찰라 코르크마즈
Mariama Jamanka,마리아마 야망카
Andreas Winkelmann,안드레아스 빙켈만
Cebio Soukou,세비오 수쿠
Jennifer Teege,예니퍼 티에게
Vinzenz Geiger,빈첸츠 가이거
Magda Staudinger,마그다 슈타우딩거
Malina Weissman,멀리나 와이스먼
Emma Drogunova,엠마 드로구노바
Jamie-Lee Kriewitz,제이미리 크리비츠
Waldemar Anton,발데마르 안톤
Kristin Pudenz,크리스틴 푸덴츠
Salih Özcan,살리흐 외즈잔
Kwasi Okyere Wriedt,콰시 오키어 브리트
Robin Koch,로빈 코흐
Zazie Beetz,자시 비츠
Henri Junghänel,헨리 융헤넬
Jannes Horn,야네스 호른
Shirin David,시린 다비드
Reinhold Hanning,라인홀트 하닝
Uisenma Borchu,위센마 보르추
Florian Wellbrock,플로리안 벨브로크
Pol Lirola,폴 리롤라
TheFatRat,더팻랫
Kai Havertz,카이 하베르츠
Florian Neuhaus,플로리안 노이하우스
Josef Gangl (Offizier),요제프 강글
Martina Barta,마르티나 바르타
Alice Weidel,알리스 바이델
Joachim Frank (Biologe),요아힘 프랑크
Lucie Jones,루시 존스
Domenico Tedesco,도메니코 테데스코
Jordan Torunarigha,요르단 토루나리가
David Raum,다비트 라움
Martin Schumacher (Statistiker),마틴 슈마허
Marcel Barthel,루디윅 카이저
Alice Merton,앨리스 머튼
Levina,레비나
Daniel Farke,다니엘 파르케
Lukas Nmecha,루카스 은메차
Mohamed Dräger,모하메드 드래거
Youssoufa Moukoko,유수파 무코코
Bella Dayne,벨라 데인
Yann Aurel Bisseck,얀 아우렐 비세크
Dora Richter,도라 리히터
Tino Chrupalla,티노 흐루팔라
Ridle Baku,리들레 바쿠
Chris Führich,크리스 퓌리히
Gideon Adlon,기디언 애들론
Fiete Arp,얀피에테 아르프
Juju (Rapperin),유유 (래퍼)
Lennard Maloney,레너드 말로니
Wilhelm Heinrich Neuser,빌헬름 하인리히 노이저
Florian Munteanu,플로리안 문테아누
Deniz Undav,데니스 운다브
Kevin Behrens,케빈 베렌스
Timo Hübers,티모 휘버스
Anna-Maria Wagner,아나마리아 바그너
Karim Adeyemi,카림 아데예미
Au/Ra,Au/Ra
Adrian Fein,아드리안 파인
Keven Schlotterbeck,케벤 슐로터베크
Nora Fingscheidt,노라 핑샤이트
Bettina Heinen-Ayech,베티나 하이넨아이예흐
Nico Schlotterbeck,니코 슐로터베크
Armel Bella-Kotchap,아르멜 벨라코차프
Adeline Rudolph,아델린 루돌프
Helena Zengel,헬레나 쳉겔
Josip Stanišić,요시프 스타니시치
Edin Terzić,에딘 테르지치
Maduka Okoye,마두카 오코예
Hannah Neise,하나 나이제
Meltem Kaptan,멜템 카프탄
Felix Nmecha,펠릭스 은메차
Ismail Jakobs,이스마일 야콥스
Angry German Kid,독일초딩
Heinrich XIII. Prinz Reuß,하인리히 로이스
Malick Thiaw,말릭 티아우
Maximilian Beier,막시밀리안 바이어
Lazar Samardžić,라자르 사마르지치
Florian Wirtz,플로리안 비르츠
Eduard Trippel,에두아르트 트리펠
Özlem Türeci,외즐렘 튀레지
Jamal Musiala,자말 무시알라
Kevin Schade,케빈 샤데
Ye-One Rhie,이예원 (정치인)
Lorena Brandl,로레나 브란들
Marcel Hopp,마르셀 호프
Ela Aydin,엘라 아이딘
Assan Ouédraogo,아산 우웨드하우구
Ivana Rudelić,이바나 루델리치
Jasmin Selberg,재스민 셀버그
Yusuf Kabadayı,유수프 카바다이
Noah Darvich,노아 다르위시
