Polska,波兰
Pogrom w Wąsoszu,翁索什反犹骚乱
Synagoga w Zamościu,扎莫希奇猶太會堂
Łęg Rokietnicki,文格羅凱特尼察河
Drewniane cerkwie w polskim i ukraińskim regionie Karpat,喀爾巴阡地區木質教堂
Ulica Świętokrzyska w Warszawie,圣十字街·(华沙)
Auditorium Maximum Uniwersytetu Warszawskiego,講義廳大樓
2 Korpus Polski (PSZ),波兰第2军
Żurawianka (dopływ Płonki),茹拉維安卡河
Bazylika Najświętszego Serca Jezusowego w Warszawie,耶稣圣心圣殿·(华沙)
Bazylika Wniebowzięcia Najświętszej Maryi Panny w Rzeszowie,圣母升天圣殿·(热舒夫)
Bazylika Najświętszej Maryi Panny Anielskiej w Dąbrowie Górniczej,天神之后圣殿·(栋布罗瓦古尔尼恰)
Bazylika Narodzenia Najświętszej Marii Panny i Sanktuarium Pana Jezusa w Więzieniu w Gorlicach,圣母圣诞圣殿·(戈尔利采)
Bazylika Wniebowzięcia Najświętszej Maryi Panny w Koronowie,圣母升天圣殿·(科罗诺沃)
Ambasada Chińskiej Republiki Ludowej w Polsce,中国驻波兰大使馆
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny we Włocławku,圣母升天圣殿主教座堂·(弗沃茨瓦韦克)
Bazylika katedralna Narodzenia Najświętszej Maryi Panny w Tarnowie,圣母圣诞圣殿主教座堂·(塔尔努夫)
Bazylika archikatedralna Świętej Rodziny w Częstochowie,圣家圣殿总主教座堂
Bazylika jasnogórska,光明山修道院圣殿
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Kielcach,圣母升天圣殿主教座堂·(凯尔采)
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Sosnowcu,圣母升天圣殿主教座堂·(索斯诺维茨)
Bazylika archikatedralna Wniebowzięcia Najświętszej Maryi Panny w Białymstoku,圣母升天圣殿总主教座堂
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny i św. Mikołaja w Łowiczu,圣母升天圣尼各老圣殿主教座堂·(沃维奇)
Biuro Przedstawicielskie Tajpej w Polsce,駐波蘭臺北代表處
Bazylika konkatedralna Matki Bożej Królowej Polski w Stalowej Woli,斯塔洛瓦沃拉圣母波兰女王圣殿共主教座堂
Bazylika kolegiacka św. Małgorzaty w Nowym Sączu,圣玛加利大圣殿·(新松奇)
Bazylika św. Ludwika Króla i Wniebowzięcia Najświętszej Maryi Panny w Katowicach,圣王路易圣母升天圣殿·(卡托维兹)
Bazylika kolegiacka św. Jerzego w Kętrzynie,圣乔治圣殿·(肯琴)
Bazylika na Świętej Górze,圣山圣殿
Bazylika kolegiacka Wniebowzięcia Najświętszej Maryi Panny w Kaliszu,圣母升天圣殿·(卡利什)
Bazylika konkatedralna Świętej Trójcy w Chełmży,海乌姆扎天主圣三圣殿共主教座堂
Bazylika św. Stanisława Biskupa Męczennika w Lublinie,圣达尼老圣殿·(卢布林)
Bazylika św. Mikołaja w Bochni,圣尼各老圣殿·(博赫尼亚)
Bazylika św. Wincentego a Paulo w Bydgoszczy,圣文生圣殿·(比得哥什)
Ambasada Stanów Zjednoczonych w Warszawie,美國駐波蘭大使館
Biała (dopływ Dunajca),比亞瓦河·(杜納耶茨河支流)
Ulica Kanonicza w Krakowie,咏祷司铎街
Nowy Świat-Uniwersytet,新世界大学站
Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk,波兰科学院哥白尼天文中心
Cerkiew Świętych Cyryla i Metodego we Wrocławiu,圣济利禄圣默多狄堂·(弗罗茨瓦夫)
Chipolbrok,中波轮船股份公司
Gmach główny Uniwersytetu Wrocławskiego,弗罗茨瓦夫大学主楼
Dworzec autobusowy w Kielcach,凱爾采巴士總站
Hotel Pod Orłem w Bydgoszczy,鹰之下酒店
Gostynia,戈斯蒂尼亞河
Fontanna Potop,洪水喷泉
Grajcarek,格拉伊卡雷克河
Gaładuś,加瓦杜希湖
Ratusz w Częstochowie,琴斯托霍瓦市政厅
Rzecznik Praw Dziecka,兒童權利監察使
Sosnówka (zbiornik),索斯諾夫卡湖
Sacrum Profanum,聖俗音樂節
Ropa (dopływ Wisłoki),羅帕河
Rusałka (Szczecin),魯薩烏卡湖·(什切青)
Ruż,魯日河
Wikimedia Polska,波蘭維基媒體協會
Stosunki polsko-litewskie,立陶宛—波兰关系
Figura Matki Boskiej z Dzieciątkiem i św. Jana Nepomucena we Wrocławiu,圣母和臬玻穆的若望雕像
Ulica Floriańska w Krakowie,圣福里安街
Sąpólna,松普爾納河
Synagoga w Nasielsku,納謝爾斯克猶太會堂
Stryszawka,斯特雷沙夫卡河
Słudwia (rzeka),斯武德維亞河
TVP Rozrywka,波蘭電視台娛樂頻道
Stronnictwo Pracy (1989),波蘭工黨
Trześniówka (dopływ Wisły),切希紐夫卡河
Ulica Grójecka w Warszawie,格罗耶茨卡街
Tyśmienica (dopływ Wieprza),蒂希梅尼察河·(維普日河支流)
Ulica Sienna w Krakowie,干草街·(克拉科夫)
Walki o Dęblin i Mińsk Mazowiecki (1920),登布林和马佐夫舍地区明斯克战役
Wilga (rzeka w województwie małopolskim),維爾加河·(克拉科夫)
Piasek (wyspa),沙岛·(弗罗茨瓦夫)
Województwo rzeszowskie (1975–1998),熱舒夫省
Zagożdżonka,扎戈日季翁卡河
Wieża Braniborska,布拉尼博爾斯卡塔
Zamek cesarski we Wrocławiu,弗罗茨瓦夫皇帝城堡
Zamek w Gołuchowie,哥勞疇城堡
Zamek Królewski w Niepołomicach,涅波沃米采城堡
Wydział Nauk Politycznych i Studiów Międzynarodowych Uniwersytetu Warszawskiego,华沙大学政治科学与国际研究学院
Wieża Wilkanowska,俾斯麦塔·(格鲁恩贝格)
Łydynia,維迪尼亞河
Zamek na Ostrowie Tumskim we Wrocławiu,座堂岛城堡
Zamek w Bytowie,貝圖夫城堡
Zalew Słup,斯武普湖
Wieża matematyczna Uniwersytetu Wrocławskiego,数学塔
Łuczniczka (pomnik w Bydgoszczy),弓箭手·(比得哥什)
Zamek w Kwidzynie,克維曾城堡
Wątok,翁托克河
Wąsosze (jezioro),翁索謝湖
Wszystkie Mazurki Świata,全球瑪祖卡音樂節
Łada (rzeka),瓦達河
"Bazylika Matki Bożej Nieustającej Pomocy, św. Marii Magdaleny i św. Stanisława Biskupa w Poznaniu",永援圣母暨玛利亚玛达肋纳圣殿·(波兹南)
Dobrzynka (dopływ Neru),多布任卡河
GameDesire (przedsiębiorstwo),盖尼米德公司
Dzielnica Czterech Świątyń,四教派区
Muzeum II Wojny Światowej w Gdańsku,第二次世界大战博物馆
Polska na Letniej Uniwersjadzie 2011,2011年夏季世界大学生运动会波兰代表团
Gościcina,戈希齊齊納河
Drwinka (dopływ Wisły),德爾溫卡河
Filharmonia Narodowa,华沙国家爱乐音乐厅
Elbląg (stacja kolejowa),艾布隆格車站
Dworce kolejowe w Polsce,波蘭最繁忙的鐵路車站列表
Polsko-Japońska Akademia Technik Komputerowych,波蘭-日本資訊科技學院
Jasień (dopływ Neru),亞先河
Bazylika Najświętszego Zbawiciela i Wszystkich Świętych w Dobrym Mieście,圣救主暨诸圣圣殿·(多布雷城)
Bazylika Nawiedzenia Najświętszej Maryi Panny w Tuchowie,圣母往见圣殿·(图胡夫)
Bazylika Najświętszego Serca Pana Jezusa w Dąbrowie Górniczej,耶稣圣心圣殿·(栋布罗瓦古尔尼恰)
Katedra św. Marcina i Mikołaja w Bydgoszczy,圣玛尔定圣尼各老主教座堂·(比得哥什)
Katedra Zmartwychwstania Pańskiego i św. Tomasza Apostoła w Zamościu,扎莫希奇主教座堂
Katedra św. Stanisława i św. Wacława w Świdnicy,希維德尼察主教座堂
Jezioro Pątnowskie,蓬特努夫湖
Kamienica przy placu Wolności 1 w Bydgoszczy,自由广场1号公寓
Jezioro Licheńskie,利海亨斯克湖
Kamienica Ernsta Bartscha w Bydgoszczy,格但斯克街·(比得哥什)
Jezioro Mikorzyńskie,米科任湖
Jezioro Ślesińskie,希萊辛湖
Kielce Główne,凱爾采車站
Jezioro Bukowskie (Lubawka),布庫夫卡湖
Jezioro Zdworskie,茲德沃爾斯克湖
Kamienice Jaś i Małgosia we Wrocławiu,漢賽爾與葛麗特·(弗次瓦夫)
Konkatedra św. Bartłomieja i Opieki Najświętszej Bogurodzicy w Gdańsku,圣巴尔多禄茂圣母庇荫主教座堂
Karpina (struga),卡爾皮納河
Kościół Narodzenia Najświętszej Maryi Panny w Warszawie,聖母誕生教堂·(華沙)
Bazylika św. Brygidy w Gdańsku,圣彼济达圣殿·(格但斯克)
Knajka,克納伊卡河
Kościół św. Franciszka w Warszawie,聖方濟各教堂·(華沙)
Kościół św. Jakuba w Częstochowie,圣雅各伯堂·(琴斯托霍瓦)
Bazylika kolegiacka Przemienienia Pańskiego w Brzozowie,布若祖夫主显圣容圣殿
Kolegiata Świętego Krzyża i św. Bartłomieja we Wrocławiu,圣十字堂·(弗罗茨瓦夫)
Bazylika św. Jana Chrzciciela w Szczecinie,圣若翰洗者圣殿·(什切青)
Kościół Wszystkich Świętych w Warszawie,諸聖教堂·(華沙)
Kościół św. Marcina we Wrocławiu,圣玛尔定堂·(弗罗茨瓦夫)
Kościół Bożego Ciała we Wrocławiu,基督圣体堂·(弗罗茨瓦夫)
Bazylika św. Józefa i klasztor karmelitów bosych w Poznaniu,波兹南圣若瑟圣殿及跣足加尔默罗会修道院
Kościół św. Józefa Oblubieńca Najświętszej Marii Panny w Lublinie,聖若瑟教堂·(盧布林)
Kościół Klarysek Wniebowzięcia Najświętszej Maryi Panny w Bydgoszczy,贫穷修女会教堂·(比得哥什)
Kościół św. Jana Bożego w Warszawie,天主的若望教堂
Bazylika św. Mikołaja w Gdańsku,圣尼各老圣殿·(格但斯克)
Kościół Świętych Apostołów Piotra i Pawła w Bydgoszczy,圣伯多禄圣保禄堂·(比得哥什)
Kompleks budynków Sejmu Rzeczypospolitej Polskiej,波蘭國會建築群
Bazylika Matki Boskiej Królowej Męczenników w Bydgoszczy,诸为义致命之后圣殿·(比得哥什)
Kościół św. Józefa w Krakowie (Podgórze),圣若瑟堂·(克拉科夫)
"Kościół św. Stanisława, św. Doroty i św. Wacława we Wrocławiu",圣女多罗德堂
Kurier Polski (1957–1999),波蘭信使報
Kościół św. Wincentego à Paulo w Krakowie,圣文生堂·(克拉科夫)
Kościół św. Augustyna w Warszawie,聖奧古斯汀教堂·(華沙)
Kościół św. Antoniego z Padwy w Warszawie (Śródmieście),圣安多尼堂·(华沙)
Bella Skyway Festival,貝拉天際節
Muzeum Początków Państwa Polskiego w Gnieźnie,波兰国家起源博物馆
Muzeum Sztuki Współczesnej w Krakowie MOCAK,克拉科夫當代藝術博物館
Malta Festival Poznań,馬爾他戲劇節
Morzycko,莫日茨科湖
Orla (dopływ Baryczy),奧爾拉河·(巴雷奇河支流)
Narodowy Instytut Fryderyka Chopina,弗雷德里克·蕭邦學會
Muzeum Archidiecezjalne we Wrocławiu,弗罗茨瓦夫总教区博物馆
Muzeum Archidiecezjalne w Gnieźnie,格涅兹诺总教区博物馆
Muzeum Czynu Zbrojnego w Krakowie,武装行动博物馆
Muzeum Dobranocek w Rzeszowie,热舒夫睡前卡通博物馆
Obozy hitlerowskie w Szebniach,舍布涅集中营
Oratorium Muzyczne,音乐厅·(弗罗茨瓦夫大学)
PolskiBus.com,波兰人巴士
Przemyśl Główny,普熱梅希爾火車總站
Pomnik Obrońców Poczty Polskiej w Gdańsku,波兰邮局保卫者纪念碑
Pomnik króla Jana III Sobieskiego w Gdańsku,扬三世·索别斯基纪念碑
Pomnik Amora na Pegazie,骑着珀伽索斯的丘比特
Plac Grzybowski w Warszawie,格日博夫斯基广场
Plac Wolności w Bydgoszczy,自由广场·(比得哥什)
Planetarium w Olsztynie,奧爾什丁天文館
Plac Zbawiciela w Warszawie,救世主广场
Ratusz Staromiejski w Szczecinie,什切青老城市政厅
Pałac biskupa Floriana z Mokrska w Krakowie,弗洛里安·莫克尔斯基宫
Biała Przemsza,比亞瓦普熱姆沙河
Prądnik,普龍德尼克河
Plac Nowy Targ we Wrocławiu,新市场广场·(弗罗茨瓦夫)
Mistrzostwa Świata w Piłce Siatkowej Mężczyzn 2014 (eliminacje strefy AVC),2014年世界男子排球錦標賽亞洲區資格賽
Polska na Mistrzostwach Świata w Lekkoatletyce 2013,2013年世界田径锦标赛波兰代表团
Stary dworzec kolejowy w Katowicach,卡托维兹老车站
Tauron Arena Kraków,克拉科夫塔倫體育館
Twój Ruch,你们运动
Wybory do Parlamentu Europejskiego w Polsce w 2014 roku,2014年歐洲議會選舉·(波蘭)
Płociczna,普沃齊奇納河
Reska Węgorza,雷斯卡文戈扎河
Światowe Dni Młodzieży 2016,2016年世界青年日
Wrześnica (rzeka),弗熱希尼察河
Dom Trzech Kaznodziei w Gdańsku,三教士之家
Q22,Q22·(建筑)
Jednostki NUTS w Polsce,波蘭地域統計單位命名法
Stosunki polsko-izraelskie,以色列—波蘭關係
Plac im. Marii Konopnickiej w Suwałkach,玛丽亚·科诺普尼茨卡广场
PreZero Arena Gliwice,格利維采體育館
"Konferencja Narodów Zjednoczonych w sprawie Zmian Klimatu, Warszawa 2013",2013年联合国气候变化大会
Rzeczyca (dopływ Sołokii),里奇齊亞河·(索洛基亞河支流)
Zamek w Leśnicy,丽莎城堡
Universal Music Polska,波兰环球音乐
Wydział Polonistyki Uniwersytetu Warszawskiego,华沙大学波兰研究学院
Stosunki polsko-tajwańskie,中華民國—波蘭關係
Ruch Narodowy,民族运动·(波兰)
Linia M1 metra w Warszawie,华沙地铁1号线
BBC Brit,BBC·Brit
Wybory prezydenckie w Polsce w 2015 roku,2015年波蘭總統選舉
Mistrzostwa Europy U-21 w Piłce Nożnej 2017,2017年欧洲U-21足球锦标赛
Mistrzostwa Europy w Piłce Siatkowej Mężczyzn 2017,2017年歐洲男子排球錦標賽
Mistrzostwa Świata w Piłce Ręcznej Mężczyzn 2023,2023年世界男子手球錦標賽
Konsulat Generalny Chińskiej Republiki Ludowej w Gdańsku,中国驻革但斯克总领事馆
Wybory parlamentarne w Polsce w 2015 roku,2015年波蘭議會選舉
Plac Solny we Wrocławiu,盐市广场
Polska Grupa Zbrojeniowa,波兰军备集团
Mistrzostwa Świata Juniorów w Lekkoatletyce 2016,2016年世界U20田径锦标赛
Pomnik Poległym w Obronie Ojczyzny w Częstochowie,琴斯托霍瓦保卫祖国阵亡者纪念碑
Plac Tadeusza Kościuszki we Wrocławiu,塔德乌什·柯斯丘什科广场
Polska na Letnich Igrzyskach Olimpijskich 2016,2016年夏季奧林匹克運動會波蘭代表團
Pogrom w Szczuczynie,什丘琴反犹骚乱
Cracovia (piłka nożna),克拉科維亞足球俱樂部
Nowa Nadzieja (polska partia polityczna),共和国复兴—自由与希望联盟
Pomnik Wikipedii w Słubicach,维基百科纪念雕像
Small Planet Airlines Poland,波兰小星球航空
Mistrzostwa Świata U-20 w Piłce Nożnej 2019,2019年國際足協U-20世界盃
Zjednoczona Lewica (Polska),联合左翼·(波兰)
Wybory parlamentarne w Polsce w 2019 roku,2019年波蘭議會選舉
Lewica Razem (partia),左翼一起
Pomnik Syreny w Warszawie (Stare Miasto),華沙美人魚雕像·(老城區)
Złoty pociąg (legenda),納粹黃金列車
Liga Światowa w Piłce Siatkowej 2016,2016年世界排球聯賽
Zamek Ogrodzieniec,奧格羅傑涅茨城堡
European Journal of Ecology,欧洲生态学杂志
Varso,華沙塔
Plac Teatralny we Wrocławiu,剧院广场·(弗罗茨瓦夫)
Plac Uniwersytecki we Wrocławiu,大学广场·(弗罗茨瓦夫)
Przesmyk suwalski,蘇瓦烏基峽
Wojska Obrony Terytorialnej,波蘭國土防衛部隊
Ekoregion bałtyckich lasów mieszanych,波羅的混合林
Ekoregion środkowoeuropejskich lasów mieszanych,中歐混合林
Pałac arcybiskupi we Wrocławiu,弗罗茨瓦夫总主教宫
Short Waves Festival,短波電影節
Polska na Zimowych Igrzyskach Olimpijskich 2018,2018年冬季奥林匹克运动会波兰代表团
Dom Oppenheimów we Wrocławiu,奥本海姆之家
Pomnik św. Jana Nepomucena na Ostrowie Tumskim,座堂岛臬玻穆的若望纪念碑
Wybory prezydenckie w Polsce w 2020 roku (drugie),2020年波蘭總統選舉
Muzeum Poczty Polskiej w Gdańsku,但泽波兰邮局博物馆
Igrzyska Europejskie 2023,2023年歐洲運動會
Mistrzostwa Świata w Kolarstwie Torowym 2019,2019年世界場地單車錦標賽
Czerwiec 1976,六月抗爭·(1976年)
Porozumienie,協議黨
Polska na Zimowych Igrzyskach Olimpijskich 2022,2022年冬季奥林匹克运动会波兰代表团
Mistrzostwa Europy w Piłce Siatkowej Kobiet 2019,2019年歐洲女子排球錦標賽
Polska na Letniej Uniwersjadzie 2017,2017年夏季世界大學運動會波蘭代表團
Muzeum Miniaturowej Sztuki Profesjonalnej Henryk Jan Dominiak w Tychach,亨利克-扬-多米尼亚克微缩模型博物馆
Polska na Letnich Igrzyskach Olimpijskich 2020,2020年夏季奧林匹克運動會波蘭代表團
Buzz (linie lotnicze),巴茲航空·(瑞安航空)
Bitwa pod Grunwaldem (inscenizacja),格倫瓦德模擬戰
Plac Katedralny we Wrocławiu,主教座堂广场·(弗罗茨瓦夫)
Muzeum Uniwersytetu Wrocławskiego,弗罗茨瓦夫大学博物馆
Plac Kościelny we Wrocławiu,教堂广场
Stosunki polsko-południowokoreańskie,波蘭—韓國關係
Extinction Rebellion,反抗滅絕
Wybory do Parlamentu Europejskiego w Polsce w 2019 roku,2019年歐洲議會選舉·(波蘭)
Wiosna (partia polityczna),春天·(政党)
Strefa wolna od ideologii LGBT,无LGBT区
Konfederacja Wolność i Niepodległość,自由与独立联盟
Mistrzostwa Świata w Piłce Siatkowej Kobiet 2022,2022年世界女子排球錦標賽
Mistrzostwa Świata w Półmaratonie 2020,2020年世界半程馬拉松錦標賽
World Athletics Relays 2021,2021年世界接力赛
Lewica (2019),左翼·(波兰)
Konfederacja Korony Polskiej,波兰王室联合会
Pandemia COVID-19,2019冠状病毒病疫情
Bukaresztańska Dziewiątka,布加勒斯特九国
Mistrzostwa Europy w Piłce Siatkowej Mężczyzn 2021,2021年欧洲男子排球锦标赛
Pandemia COVID-19 w Polsce,2019冠状病毒病波兰疫情
Wybory parlamentarne w Polsce w 2023 roku,2023年波蘭議會選舉
Nowa Lewica,新左翼·(波兰)
Fontanna Niedźwiadek we Wrocławiu,熊泉
Deepspot,Deepspot
Judo na Igrzyskach Europejskich 2023,2023年欧洲运动会柔道比赛
Poland Open,波兰网球公开赛
Eksplozja rakiety w Przewodowie,2022年導彈擊中波蘭事件
Katastrofa ekologiczna na Odrze,2022年奥得河环境污染事件
Teatr Śląski im. Stanisława Wyspiańskiego w Katowicach,西里西亚剧院
Badminton na Igrzyskach Europejskich 2023,2023年歐洲運動會羽毛球比賽
Referendum w Polsce w 2023 roku,2023年波蘭公投
Karate na Igrzyskach Europejskich 2023,2023年欧洲运动会空手道比赛
Plażowa piłka ręczna na Igrzyskach Europejskich 2023,2023年欧洲运动会沙滩手球比赛
Padel na Igrzyskach Europejskich 2023,2023年欧洲运动会笼式网球比赛
Trzecia Droga (Polska),第三條路·(波蘭)
Pakt senacki,參議院協議
Poland Open 2023,2023年华沙网球公开赛
