Angela Merkel,アンゲラ・メルケル
Gunther Plüschow,グンター・プリュショフ
Dietmar Haaf,ディートマール・ハーフ
Michael Kühnen,ミヒャエル・キューネン
Elisabeth von Hohenzollern-Nürnberg,エリーザベト・フォン・ニュルンベルク
Hansi Müller,ハンジ・ミュラー
Theo Waigel,テオドール・ヴァイゲル
Hans-Josef Kapellmann,ユップ・カペルマン
Adam Lonitzer,アダム・ロニチェル
Hans von Mangoldt,ハンス・カール・フリードリヒ・フォン＝マンゴルト
Yuri Manin,ユーリ・マニン
Bruno Frank,ブルーノ・フランク
Leo August Pochhammer,レオ・オーギュスト・ポッホハマー
Erich Kähler,エーリッヒ・ケーラー
Richard Brauer,リヒャルト・ブラウアー
Theodor Wisch,テオドール・ヴィッシュ
Richard Wilhelm,リヒアルト・ヴィルヘルム
Friedrich August,フリードリヒ・アウグスト
Ludwig Biermann,ルードヴィッヒ・ビーアマン
Inge Borkh,インゲ・ボルク
Anna Henriette von Pfalz-Simmern,アンヌ・ド・バヴィエール
Karl Elmendorff,カール・エルメンドルフ
Wilhelm Barthlott,ヴィルヘルム・バルトロット
Lorenz Christoph Mizler,ローレンツ・クリストフ・ミツラー
Volker Strassen,フォルカー・シュトラッセン
Robert Wartenberg,ロバート・ワーテンベルグ
Fritz Gunst,フリッツ・グンスト
Andreas Peter von Bernstorff,アンドレアス・ペーダー・ベアンストーフ
Hermann von Stein,ヘルマン・フォン・ステイン
Elly Ney,エリー・ナイ
Ludwig IV.,ルートヴィヒ4世
Heinz Prüfer,ハインツ・プリューファー
Kurt Reidemeister,クルト・ライデマイスター
Joachim Sauer,ヨアヒム・ザウアー
Hermann Grädener,ヘルマン・グレーデナー
Adolf,アドルフ
Klaus-Peter Thaler,クラウス＝ペーター・ターラー
Karl Decker,カール・デッカー
Franz Schlegelberger,フランツ・シュレーゲルベルガー
Dorothee Sölle,ドロテー・ゼレ
Günther Pancke,ギュンター・パンケ
Ernst Wilhelm Bohle,エルンスト・ヴィルヘルム・ボーレ
Lilian Harvey,リリアン・ハーヴェイ
Otto Meissner,オットー・マイスナー
Horst Köppel,ホルスト・ケッペル
Johann Lorenz von Mosheim,ヨハン・ローレンツ・フォン・モースハイム
Bernd Knipperdolling,ベルント・クニッパードリング
Richard Cassels,リチャード・カースルズ
Oswald Spengler,オスヴァルト・シュペングラー
Gustav Witt,カール・グスタフ・ヴィット
Hans Eichel,ハンス・アイヒェル
Jens Todt,イェンス・トット
Heinrich Bleichrodt,ハインリヒ・ブライヒロート
Friedrich Wilhelm von Erdmannsdorff,フリードリヒ・ヴィルヘルム・フォン・エルトマンスドルフ
Rudolf Lehmann,ルドルフ・レーマン
Hermann Paul,ヘルマン・パウル
Walther Reinhardt,ヴァルター・ラインハルト
Rolf Dieter Brinkmann,ロルフ・ブリンクマン
Georg Heinrich von Görtz,ゲオルク・ハインリヒ・フォン・ゲルツ
Otto M. Stern,オットー・シュテルン
Hansjörg Jäkle,ハンスイェルク・イエックレ
Fritz Walter,フリッツ・ヴァルター
Christian Pampel,クリスティアン・パンペル
Stephan Letter,ステファン・レッテル
Stefan Aust,シュテファン・アウスト
Götz Werner,ゲッツ・ヴェルナー
Karl Koch,カール・コッホ
Philipp Lenard,フィリップ・レーナルト
Oskar von Hindenburg,オスカー・フォン・ヒンデンブルク
Herta Heuwer,ヘルタ・ホイヴァー
Josef Priller,ヨーゼフ・プリラー
Karl Helfferich,カール・ヘルッフェリヒ
Nelly Sachs,ネリー・ザックス
Jörg Zander,ヨルグ・ザンダー
Jutta Bauer,ユッタ・バウアー
Helmut Kickton,ヘルマット・キックトン
Erich Weinert,エーリヒ・ヴァイネルト
Ottheinrich,オットー・ハインリヒ
Bruno Bräuer,ブルーノ・ブロイアー
Monika Treut,モニカ・トロイト
Siegfried Günter,ジークフリート・ギュンター
Daniel Ernst Jablonski,ダニエル・エルンスト・ヤブロンスキー
Michael Kunze,ミヒャエル・クンツェ
Sexy Cora,キャロライン・バーガー
Franz Xaver Gabelsberger,フランツ・クサフェア・ガベルスベルガー
Natalia Wörner,ナタリア・ヴェルナー
Constantin Carathéodory,コンスタンティン・カラテオドリ
Andreas von Bechtolsheim,アンディ・ベクトルシャイム
Rolf Rendtorff,ロルフ・レントルフ
Oliver Lieb,オリバー・リーブ
Wilhelm Wien,ヴィルヘルム・ヴィーン
Anna von Kleve,アン・オブ・クレーヴズ
Albrecht Kossel,アルブレヒト・コッセル
Jürgen Klinsmann,ユルゲン・クリンスマン
Sigmund Rascher,ジクムント・ラッシャー
Friedrich III.,フリードリヒ3世
Hans Sennholz,ハンス・ゼンホルツ
Julius von Soden,ユリウス・フォン・ゾーデン
Sabine Leutheusser-Schnarrenberger,ザビーネ・ロイトホイサー＝シュナレンベルガー
Martin Keller,マルティン・ケラー
Heinz Berggruen,ハインツ・ベルクグリューン
Maximilian von Hessen-Kassel,マクシミリアン・フォン・ヘッセン＝カッセル
Charlotte Sophie von Sachsen-Coburg-Saalfeld,シャルロッテ・ゾフィー・フォン・ザクセン＝コーブルク＝ザールフェルト
Georg Friedrich von Baden,ゲオルク・フリードリヒ (バーデン・デュルラッハ辺境伯)
Maximilian Friedrich von Königsegg-Rothenfels,マクシミリアン・フリードリヒ・フォン・ケーニヒスエッグ＝ローテンフェルス
Werner Peters,ヴェルナー・ペータース
Johannes Stark,ヨハネス・シュタルク
Helmut Sick,ヘルムート・ジック
Elias Holl,エリアス・ホル
Hermann Finsterlin,ヘルマン・フィンステルリン
Johann IV.,ヨハン4世 (メクレンブルク公)
Agnes Miegel,アグネス・ミーゲル
Wilhelm Canaris,ヴィルヘルム・カナリス
Heinrich Thyssen,ハインリヒ・ティッセン
Carl Troll,カール・トロール
Eleonore d’Olbreuse,エレオノール・ドルブリューズ
Kurt Neumann,クルト・ノイマン
Cilly Aussem,シリー・アウセム
Erich Ollenhauer,エーリッヒ・オレンハウアー
Otto Weidt,オットー・ヴァイト
Hans Bernd Gisevius,ハンス・ベルント・ギゼヴィウス
Kurt von Schleicher,クルト・フォン・シュライヒャー
Ernst Ising,エルンスト・イジング
Dirk Galuba,ダーク・ガルバ
Maria Goeppert-Mayer,マリア・ゲッパート＝メイヤー
Frits Clausen,フリッツ・クラウゼン
Johann Adolf II.,ヨハン・アドルフ2世 (ザクセン＝ヴァイセンフェルス公)
Hans Prinzhorn,ハンス・プリンツホルン
Hilde Sperling,ヒルデ・スパーリング
Hans Günter Winkler,ハンス・ギュンター・ヴィンクラー
Robert Stieglitz,ロベルト・ステイグリッツ
Karl Münchinger,カール・ミュンヒンガー
Timothy Chandler,ティモシー・チャンドラー
Georg Deuter,ドイター
Kuno von Praeneste,クーノ・フォン・プラエネステ
Peter Grünberg,ペーター・グリューンベルク
Godfrey Kneller,ゴドフリー・ネラー
Wolfgang Petersen,ウォルフガング・ペーターゼン
Jens Lehmann,イェンス・レーマン
Claire Waldoff,クレーレ・ヴァルドルフ
Georg Lunge,ゲオルク・ルンゲ
Hans-Ulrich Rudel,ハンス・ウルリッヒ・ルーデル
Otto Meyerhof,オットー・マイヤーホフ
Franz Georg von Schönborn,フラング・ゲオルク・フォン・シェーンボルン
Ludwig zu Mecklenburg,ルートヴィヒ・ツー・メクレンブルク＝シュヴェリーン
Hans von der Groeben,ハンス・フォン・デア・グローベン
Egon Bahr,エゴン・バール
Erich von Manstein,エーリッヒ・フォン・マンシュタイン
Ernst Ulrich von Weizsäcker,エルンスト・ウルリッヒ・フォン・ヴァイツゼッカー
Diane Kruger,ダイアン・クルーガー
Rudolf Kittel,ゲールハルト・キッテル
Georg Spalatin,シュパラティン
Walter Buch,ヴァルター・ブーフ
Horst Feistel,ホルスト・ファイステル
Andreas Tölzer,アンドレアス・テルツァー
Eberhard I.,エーバーハルト1世
Barthold Heinrich Brockes,バルトルト・ハインリヒ・ブロッケス
Athanasius Schneider,アタナシウス・シュナイダー
Albrecht V.,アルブレヒト5世 (メクレンブルク公)
Artur Dinter,アルトゥール・ディンター
Ole Scheeren,オーレ・シェーレン
Wolfgang von Hessen,ヴォルフガング・フォン・ヘッセン
Tiana Lemnitz,ティアナ・レムニッツ
Gustav Albrecht zu Sayn-Wittgenstein-Berleburg,グスタフ・アルブレヒト・ツー・ザイン＝ヴィトゲンシュタイン＝ベルレブルク
Heinz Stücke,ハインツ・シュトゥッケ
Ferdinand von Schirach,フェルディナント・フォン・シーラッハ
Dimitri Peters,ディミトリ・ペータース
Heinrich XVI.,ハインリヒ16世
Magdalena Sibylla von Hessen-Darmstadt,マグダレーナ・ジビュラ・フォン・ヘッセン＝ダルムシュタット
Karl Fischer,カール・フィッシャー
Elisabeth Renata von Lothringen,エリーザベト・フォン・ロートリンゲン
Dr. Ring-Ding,Dr.リング＝ディング
Georg Leber,ゲオルク・レーバー
Friedrich VII. Magnus,フリードリヒ7世・マグヌス (バーデン＝ドゥルラハ辺境伯)
Theodor Curtius,テオドール・クルチウス
Hans Klenk,ハンス・クレンク
Johann Ludwig Graf Schwerin von Krosigk,ヨハン・ ルートヴィヒ・グラーフ・シュヴェリン・フォン・クロージク
Sideris Tasiadis,シデリス・タジアディス
Karl Hofer,カール・ホーファー
Werner Ostendorff,ヴェルナー・オステンドルフ
Walther Wever,ヴァルター・ヴェーファー
Johann Anton Weinmann,ヨハン・アントン・ヴァインマン
Gerhard Roßbach,ゲルハルト・ロスバッハ
Peter Harry Carstensen,ペーター・ハリー・カルステンゼン
Peter Struck,ペーター・シュトルック
Eike Immel,アイケ・インメル
Alfred Dregger,アルフレート・ドレッガー
Rudolf Wolters,ルドルフ・ヴォルタース
Paul Cassirer,パウル・カッシーラー
August von Pfalz-Sulzbach,アウグスト
Johann Ernst II.,ヨハン・エルンスト2世 (ザクセン＝ヴァイマル公)
Reinhard Suhren,ラインハルト・ズーレン
Johann Peter Uz,ヨハン・ペーター・ウッツ
Lena Valaitis,リナ・ワライティス
Hermann Sudermann,ヘルマン・ズーダーマン
Georg Leibbrandt,ゲオルク・ライプブラント
Lotte Jacobi,ロッテ・ヤコビ
Gustav Mie,グスタフ・ミー
Alexander Beyer,アレクサンダー・バイヤー
Anna Schäffer,アンナ・シェーファー
Andrea Schöpp,アンドレア・シェップ
Adam Heinrich von Steinau,アダム・ハインリヒ・フォン・シュタイナウ
Paul Rostock,パウル・ロストック
Rudi Altig,ルディ・アルティヒ
Rudolf Havenstein,ルドルフ・ハーヴェンシュタイン
Karl Otto Götz,カール・オットー・ゲッツ
Hanna Reitsch,ハンナ・ライチュ
Hermann Hoth,ヘルマン・ホト
Ernst Busch,エルンスト・ブッシュ
Wenzel Jaksch,ヴェンツェル・ヤークシュ
Gregor Braun,グレゴール・ブラウン
Ewald von Kleist,エヴァルト・フォン・クライスト
Walther von Brauchitsch,ヴァルター・フォン・ブラウヒッチュ
Timo Hildebrand,ティモ・ヒルデブラント
Michael Fassbender,マイケル・ファスベンダー
Hanna Schwarz,ハンナ・シュヴァルツ
Cacau,カカウ
Thomas Hitzlsperger,トーマス・ヒッツルスペルガー
Erich von Falkenhayn,エーリッヒ・フォン・ファルケンハイン
Hermann Müller,ヘルマン・ミュラー
Herta Däubler-Gmelin,ヘルタ・ドイブラー＝グメリン
Peter-Erich Cremer,ペーター＝エーリッヒ・クレーマー
Robert Ochsenfeld,ロベルト・オクゼンフェルト
Carl Friedrich von Weizsäcker,カール・フリードリヒ・フォン・ヴァイツゼッカー
Anderl Heckmair,アンデルル・ヘックマイヤー
Ludwig Beck,ルートヴィヒ・ベック
Georg von Küchler,ゲオルク・フォン・キュヒラー
Poppo von Osterna,ボッホ・フォン・オステルナ
Konrad von Wallenrode,コンラート・フォン・ヴァレンローデ
Dieter Zetsche,ディーター・ツェッチェ
Marcus Popp,マルクス・ポップ
Peter van Pels,ペーター・ファン・ペルス
Dietrich von Landsberg,ディートリヒ
Christian Ludwig,クリスティアン・ルートヴィヒ
Richard Reinhard Emil Schorr,リヒャルト・ショール
Daniela Schadt,ダニエラ・シャット
Hermann Muthesius,ヘルマン・ムテジウス
Maik Bullmann,マイク・ブルマン
Helmuth von Pannwitz,ヘルムート・フォン・パンヴィッツ
Max Abraham,マックス・アブラハム
Franz Josias,フランツ・ヨシアス
Volker Kauder,フォルカー・カウダー
Otto I.,オットー
John Henry Mackay,ジョン・ヘンリー・マッケイ
Christian August von Schleswig-Holstein-Gottorf,クリスティアン・アウグスト・フォン・シュレースヴィヒ＝ホルシュタイン＝ゴットルプ
Rudolf Heinze,ルドルフ・ハインツェ
Erich Zeigner,エーリヒ・ツァイグナー
Klaus Kleinfeld,クラウス・クラインフェルド
Jörg Berger,ヨルク・ベルガー
Friedrich Merkel,フリードリヒ・メルケル
Hannes Wader,ハネス・ヴァーダー
Rainer Stahel,ライナー・シュタヘル
Gustav Bauer,グスタフ・バウアー
Christian Abt,クリスチャン・アプト
Rudolf Buchheim,ルドルフ・ブーフハイム
Werner Tübke,ヴェルナー・テュブケ
Jakob von Uexküll,ヤコブ・フォン・エックスキュール
Friedrich I.,フリードリヒ1世
Björn Andrae,ビョルン・アンドレ
Alfred Wünnenberg,アルフレート・ヴェンネンベルク
Sibylle von Jülich-Kleve-Berg,ジビュレ・フォン・ユーリヒ＝クレーフェ＝ベルク
Barbara Rittner,バルバラ・リットナー
Gerhard Stoltenberg,ゲルハルト・シュトルテンベルク
Björn Engholm,ビョルン・エングホルム
Kelly Trump,ケリー・トランプ
Rudolf Schlechter,ルドルフ・シュレヒター
Christoph Schneider,クリストフ・シュナイダー
Erhard Milch,エアハルト・ミルヒ
René Kollo,ルネ・コロ
Martin Franz Julius Luther,マルティン・ルター
Luise von Brandenburg-Schwedt,ルイーゼ・フォン・ブランデンブルク＝シュヴェート
