Diego Velázquez,委拉斯開茲
Requena Nozal,雷克纳·诺撒勒
Clara Azurmendi,克拉拉·阿苏尔门迪
Lucas Hernández,盧卡斯·埃爾南德斯
Federico Corriente Córdoba,费德里科·科里恩特·科尔多瓦
José Ángel Pozo,荷西·普素
Sandro Ramírez,辛度·拉美利斯
Dani Olmo,達尼·奧爾默
Conchi Paredes,康塞普西翁·帕雷德斯
Bisila Bokoko,比西拉·博科科
Ángel Fernández Pérez,安赫尔·费尔南德斯·佩雷斯
Álvaro Odriozola,阿尔瓦罗·奥德里奥索拉
Andrés Herzog,安德烈斯·赫爾佐格
Rodrigo Germade,罗德里戈·赫尔马德
Josep Clarós,优斯普·克拉鲁斯
Aleix García,阿歷斯·加西亞
Aurelio Campa,奥雷利奥·坎帕
Nadia Calviño,纳迪娅·卡尔维尼奥
Rayderley Zapata,拉伊德萊·薩帕塔
Sergi Guardiola,沙治·哥迪奧拿
Sergi Canós,塞爾吉·卡諾斯
Nicolás García Boissier,尼古拉斯·加西亚·博伊西尔
Álex Remiro,阿萊克斯·雷米洛
Rodri Hernández,罗德里
Álvaro Soler,艾拉羅
Angeliño,安赫利尼奥
Mario Hermoso,马里奥·埃尔莫索
Paula Leitón,保拉·莱顿
Carles Aleñá,卡萊斯·阿萊尼亞
Antonio Oviedo,安东尼奥·奥维耶多
Marcos Llorente,馬科斯·略倫特
Antonio Otegui,安東尼奧·奧特古
Meritxell Mas,梅丽特克塞尔·马斯
José Arnaiz,荷西·阿尼斯
José Manuel Botella Crespo,何塞·曼努埃尔·博特利亚·克雷斯波
Beatriz Ortiz,比阿特丽斯·奥尔蒂斯
Serafín Vegas,塞拉芬·贝加斯
Rafa Mir,拉法·米尔
Mikel Oyarzabal,米克尔·奥亚尔萨瓦尔
Irene Montero,伊雷内·蒙特罗
Pablo Maffeo,柏保·馬菲奧
Álex de Miñaur,亚历克斯·德米纳尔
Antonio Fernández-Rañada,安东尼奥·费尔南德斯-拉尼亚达
Sandra Sánchez,桑德拉·桑切斯
Alejandra Silva,亚历杭德拉·席尔瓦
Pablo Fornals,柏保路·科奴斯
Manu García Alonso,馬努·加西亞
Pablo Fernández Santos,巴勃罗·费尔南德斯·桑托斯
Mathías Olivera,马蒂亚斯·奥利韦拉
Carlos Taberner,卡洛斯·塔韦内
Joan Mir,霍安·米尔
Abel Azcona,亚伯·阿兹科纳
Igor Zubeldia,伊戈爾·蘇比迪亞
Fran Villalba,弗兰·比利亚尔瓦
Alberto Rodríguez Rodríguez,阿尔维托·罗德里格斯·罗德里格斯
Marc Cucurella,馬克·古古雷亞
Gonzalo Echenique,贡萨洛·埃切尼克
Barei,芭芮
Miguel Herrán,米蓋爾·赫爾南
Unai Simón,烏奈·西蒙
Carles Pérez,卡莱斯·佩雷斯
Arkaitz Ruiz,艾卡迪斯·雷斯
Yaki Yen,殷亞吉
César Hidalgo,凯撒·伊达尔戈
José García Buitrón,何塞·加西亚·布伊特龙
Fátima Diame,法蒂玛·迪亚梅
África Zamorano,阿非莉加·萨莫拉诺
Sergio Reguilón,沙治奧·列基朗
José Luis Escrivá,何塞·路易斯·埃斯克里瓦
Laura Quevedo,劳拉·克韦多
Álvaro Fernández Llorente,阿爾瓦羅·費爾南德斯·略倫特
Millie Bobby Brown,米莉·芭比·布朗
Óscar Arribas,奥斯卡·阿里巴斯
Jonás Trueba,荷納斯·楚巴
Hugo González de Oliveira,乌戈·冈萨雷斯
Enrique Briones,恩里克·布里奥内斯
Carlos Falcó,第五代格里尼翁侯爵卡洛斯·法尔科
Rebeka Masarova,雷贝卡·马萨洛娃
Dafne Keen,達芙妮·金
Abraham García Aliaga,阿伯拉罕·加西亞
Youssef En-Nesyri,優素福·恩尼斯里
Álvaro Nadal,阿尔瓦罗·纳达尔
Moisés Arrimadas Esteban,莫伊塞斯·阿里马达斯·埃斯特万
Gonzalo Portillo,波爾的里奧
Marcus Cooper Walz,马库斯·瓦尔茨
Cristian Toro,克里斯蒂安·托罗
David Valero,戴维·巴莱罗
David Vega Hernández,戴维·维加·埃尔南德斯
Jon Rahm,喬恩·拉姆
Alejandro Pozo,亞歷杭德羅·波索
Carlos Soler,卡路士·蘇拿
Marc Roca,马克·罗卡
Luis Enrique Peñalver,路易斯·恩里克·佩纳尔弗
Óscar Rodríguez Arnaiz,奧斯卡·羅德里格斯
Oriol Paulo,奧瑞歐·保羅
Belén Garijo,葛丽鹤
Fran Beltrán,弗朗·貝爾川
Damián Quintero,达米安·金特罗
Teodoro García Egea,特奥多罗·加西亚·埃赫亚
Aitana Bonmatí,艾塔娜·邦马蒂
Javier Sánchez-Toril,哈维尔·桑切斯
Francisco Amat Fontanals,弗朗西斯科·阿马特
Mariano Moya,马里亚诺·莫亚
Jaime Amat Fontanals,海梅·阿马特
Daniel Moro,丹尼尔·莫罗
Enrique González de Castejón,恩里克·冈萨雷斯·德卡斯特洪
Ferrán Solé,费兰·索莱
Paloma García Ovejero,帕洛瑪·加西亞·奧韋赫羅
Mapi León,瑪碧·萊昂
Adrià Figueras,阿德里亚·菲格拉斯
Ana Mena,安娜·梅纳
Brahim Díaz,卜拉欣·迪亞斯
José Alcázar Pérez,何塞·阿尔卡萨
Jaime Escudé,海梅·埃斯库德
Achraf Hakimi,阿什拉夫·哈基米
Marc Navarro,馬克·納瓦羅
Federico Melendro Gutiérrez,梅耿光
Vinícius Júnior,维尼修斯
Juan Antonio Bolea Foradada,胡安·安东尼奥·博莱亚
Rosalía (cantante),罗莎莉亚·(歌手)
Iván Villar,伊万·比利亚尔
Éder Militão,埃德爾·米利唐
María Pérez García,玛丽亚·佩雷斯
Oriol Busquets,奧里奧·布斯克茲
Pedro Tedde de Lorca,佩德罗·特德·德洛尔卡
Carla Simón,卡拉·西蒙
Abel Ruiz,阿貝爾·魯伊斯
Miguel Cruz Hernández,米格尔·克鲁斯·埃尔南德斯
Jimena Pérez Blanco,希梅娜·佩雷斯
Hugo Guillamón,雨果·吉拉蒙
Sergio Gómez Martín,塞爾吉奧·戈麥斯
Aleix Gómez,亚历克斯·戈麦斯
Raúl Guti,勞爾·古蒂
Brais Méndez,布萊斯·門德斯
Juan Miranda González,胡安·米蘭達
Arsenio Lope Huerta,阿塞尼奥·洛佩·韦尔塔
Rodrigo Lozano de la Fuente,罗德里戈·洛萨诺·德拉富恩特
Alicia García-Herrero,艾西亚·加西亚·埃雷罗
Pau Torres,保·托雷斯
Hugo Duro,曉高·杜羅
Jesús Fernández Vaquero,赫苏斯·费尔南德斯·巴克罗
Luis María Moreno,路易斯·马里亚·莫雷诺
Ferran Torres,費蘭·托雷斯
Rodrygo Goes,羅德里戈·德戈埃斯
Fernando Molina Castillo,费尔南多·莫利纳
José María de Marco,何塞·马里亚·德马尔科·佩雷斯
Alberto Molina Castillo,阿尔韦托·莫利纳
Dionisio Redondo,迪奥尼西奥·雷东多·冈萨雷斯
Jaime Uriarte,海梅·乌里亚特·加西亚
Alejandro Moya Giné,亚历杭德罗·莫亚
José Manuel Cañete,何塞·曼努埃尔·卡涅特
Víctor Llorente,维克托·略伦特
José Crespo Hidalgo,何塞·克雷斯波·(赛艇运动员)
Antonio Elizalde Aldabaldetrecu,安东尼奥·埃利萨尔德
Pedro Olasagasti,佩德罗·奥拉萨加斯蒂·阿鲁蒂
Luis Arteaga León,路易斯·阿特亚加·莱昂
Carlos Muniesa,卡洛斯·穆涅萨
Eulogio Génova,欧洛希奥·赫诺瓦
José Antonio Expósito Sánchez,何塞·安东尼奥·埃克斯波西托·桑切斯
Javier Puertas Cabezudo,哈维尔·普埃尔塔斯·卡韦苏多
Francisco Goicoechea,弗朗西斯科·戈伊科切亚·加西亚
Berta Ferreras,贝尔塔·费雷拉斯
Pedro Porro,佩德罗·波罗
Manu Ríos,曼諾·瑞亞斯
Alejandro Davidovich Fokina,亚历杭德罗·达维多维奇·福基纳
Nuria Párrizas,努里亚·帕里萨斯·迪亚斯
Georgina Rodríguez,佐治娜·洛迪古絲
María Pedraza,瑪麗亞·佩卓薩
Aquilino Bocos Merino,阿基利諾·博科斯·梅里諾
Cecilia Castro Burgos,塞西利娅·卡斯特罗
Román Escolano,罗曼·埃斯科拉诺
Bernabé Zapata Miralles,贝尔纳韦·萨帕塔·米拉列斯
Saúl Ordóñez,萨乌尔·奥多涅斯
Javier Pérez Polo,哈維爾·佩雷斯·(跆拳道運動員)
Raúl Martínez García,勞爾·馬丁內斯·(跆拳道運動員)
Félix Sánchez Bas,菲利克斯·桑切斯
Pedro Martínez Portero,佩德罗·马丁内斯·(网球运动员)
Teresa Ribera,特雷莎·里韦拉
Dolores Delgado,多洛雷斯·德尔加多
Reyes Maroto,雷耶斯·马罗托
Riqui Puig,里基·普吉
Isabel Díaz Ayuso,伊莎贝尔·迪亚斯·阿尤索
José Manuel Rodríguez Uribes,何塞·曼努埃尔·罗德里格斯·乌里韦斯
María Teresa de Borbón-Parma,玛丽亚·特蕾莎·德·波旁-帕尔马
David Andújar Jiménez,大卫·安杜哈尔
Gaspar Ventura,加斯帕尔·本图拉
Elena Sánchez González,埃莱娜·桑切斯
Álex Collado,亞歷克斯·卡拉多
Concha García Zaera,孔查·加西亞·賽拉
Robert Sánchez,羅伯特·桑切斯
Jaime Lorente,海梅·洛倫特
Ramón Laguarta,龙嘉德
Gonzalo Villar,貢薩洛·比利亞爾·德爾弗賴萊
Adrián Vicente Yunta,阿德里安·比森特
Iris Tió,伊丽丝·蒂奥
Sara Saldaña,萨拉·萨尔达尼亚
Blanca Toledano,布兰卡·托莱达诺
Javi Puado,哈維·普阿多
Emma García García,埃玛·加西亚
Óscar Gil Regaño,奧斯卡·吉爾·(1998年)
Adrián Bernabé,阿德里安·贝尔纳贝
Omar Ayuso,歐瑪·艾又索
Usman Garuba,乌斯曼·加鲁巴
Robert Navarro,羅伯特·納瓦羅
Arón Piper,艾朗·皮坡
Bruno Guimarães,布魯諾·吉馬良斯
Bryan Gil,布莱恩·希尔
Eric García,艾利克·加西亞
Cristina Bucșa,克里斯蒂娜·布克沙
Bernat Erta,贝尔纳特·埃尔塔
Ester Expósito,艾斯特·爱珀斯托
Itzan Escamilla,伊贊·伊斯卡米迪亞
Pablo Moreno,巴勃罗·莫雷诺
Miguel Cordero del Campillo,米格尔·科尔德罗·德尔坎皮略
Irene González López,伊雷妮·冈萨雷斯
Álvaro Robles,阿尔瓦罗·罗夫莱斯
Tomás Vives Antón,托马斯·比维斯·安东
Rodrigo Zalazar,羅德里戈·薩拉薩爾
José Gragera Amado,荷西·加格拿
Ansu Fati,安蘇·法蒂
Martín Zubimendi,馬丁·蘇維門迪
Josep Martínez,何塞普·馬丁內斯
Salvador Illa,萨尔瓦多·伊利亚
Mariano García García,马里亚诺·加西亚
Alberto Ginés,阿爾貝托·吉內斯·洛佩斯
Carlos Arévalo López,卡洛斯·阿雷瓦洛
Jorge de Frutos Sebastián,豪爾赫·德·弗魯托斯
Ilaix Moriba,伊莱克斯·莫里巴
Georgina Amorós,喬黎娜·阿莫羅斯
Iñaki Peña,伊尼亚基·佩尼亚
Pedri,佩德里
Adrián Abadía García,阿德里安·阿瓦迪亚
María Xiao,肖瑶茜
Arnau Tenas,阿爾瑙·特納斯
Carlos Alcaraz,卡洛斯·阿尔卡拉斯
Carmen Arrufat,卡門·阿魯法特
Nicolás Rodríguez (regatista),尼古拉斯·罗德里格斯
Manuel Sánchez de la Peña,马努·桑切斯
Miguel Gutiérrez Ortega,米格尔·古铁雷斯·(2001年)
José María Loizaga Viguri,何塞·马里亚·洛伊萨加·比吉里
Rafael Gómez Nieto,拉斐尔·戈麦斯·涅托
Julio Peña Fernández,胡立歐·佩納
Aurelio Desdentado,奥雷略·德斯登塔多
Carmen Mola,卡門·莫拉·(作家)
Joan Cardona Méndez,霍安·卡多纳·门德斯
Saturnino de la Fuente García,薩圖尼諾·德拉富恩特
Santos Hu,胡文賢
Maria Branyas Morera,瑪麗亞·布拉尼亞斯·莫雷拉
Ilia Topuria,伊利亚·托普里亚
Claudia Salas,克勞蒂亞·薩拉斯
Luka Romero,盧卡·羅美路
Fran García,弗兰·加西亚
Yéremi Pino,耶雷米·皮諾
Nico Williams,尼科·威廉斯
Adriana Cerezo,阿德里安娜·塞雷索
Nicole Wallace,妮可·华莱士·(演员)
Mohamed Katir,穆罕默德·卡蒂尔
Gabri Veiga,加比·維加
Sergio Arribas,塞尔希奥·阿里瓦斯
Clara Galle,克拉拉·加列
Alejandro Balde,亚历杭德罗·巴尔德
Óscar Mingueza,奥斯卡·明格萨
Alejandro Garnacho,亚历杭德罗·加纳乔
Nico Serrano,尼科·塞拉諾
Asier Martínez,阿谢尔·马丁内斯
María Dueñas (violinista),瑪麗婭·杜埃尼亞思
María de Valdés,玛丽亚·德巴尔德斯
Alisa Ozhogina,阿莉萨·奥若吉娜
Gavi (futbolista),加維·(足球運動員)
Bryan Zaragoza,布萊恩·薩拉戈薩
Elena Ruiz,埃莱娜·鲁伊斯
Daniel Castro Barcala,丹尼爾·卡斯特羅
Taz Skylar,塔茲·史蓋勒
Marcos Ruiz Velasco,马科斯·鲁伊斯
Iñaki Cañal,伊尼亚基·卡尼亚尔
Lamine Yamal,拉明·亞馬爾
Martín Landaluce,马丁·兰达卢塞
Fermín López Marín,费尔明·洛佩斯
Tiburcio Rodríguez y Muñoz,蒂伯西奥·罗德理
Pablo Torre,巴勃羅·托雷
Stefan Bajčetić,斯特凡·巴伊塞蒂奇
Joaquín Duato,杜安卿
Antonio Gómez-Carreño Escalona,安东尼奥·戈麦斯-卡雷尼奥·埃斯卡洛纳
Pau Cubarsí,保·库瓦尔西
