Россия,俄罗斯
Артёмовск (Россия),阿爾喬莫夫斯克·(俄羅斯)
Артёмовский,阿爾喬莫夫斯基
Кизляр,基茲利亞爾
Опочка,奧波奇卡
Пушкинский район (Санкт-Петербург),普希金區
Василеостровский район,瓦西里島區
Пелым (река),佩雷姆河
Салаирский кряж,薩萊爾山脈
Асбест (город),阿斯别斯特
Нерчинск,尼布楚
Селижаровка,謝利扎羅夫卡河
Европейский маршрут E38,欧洲E38公路
Вулкан Сарычева,萨雷切夫火山
Ока (приток Ангары),奧卡河·(西伯利亞)
Шумиха (город),舒米哈
"Северный (остров, Новая Земля)",謝韋爾內島
Щигры,希格雷
Альфа (спецподразделение),阿爾法小組
Суперкубок России по футболу,俄羅斯超級盃
Луза (город),盧扎·(基洛夫州)
Лукоянов,盧科亞諾夫
Русский Север (национальный парк),俄羅斯北方國家公園
Бабушкин (Бурятия),巴布什金
Царь-колокол,沙皇钟
Барабинск,巴拉賓斯克
Барыш (город),巴雷什
Бежецк,別熱茨克
Батайск,巴泰斯克
Кочковский район,科奇基區
Бисерть,比谢尔季
Пижма (приток Вятки),皮日馬河·(維亞特卡河支流)
Звёздная (станция метро),明星站
Евровидение-2009,2009年歐洲歌唱大賽
Зимние Олимпийские игры 2014,2014年冬季奥林匹克运动会
Царицыно (дворцово-парковый ансамбль),察里津公園
Царскосельская железная дорога,皇村鐵路
Царь-пушка,沙皇炮
Дворцовый мост,宫廷桥
Албано-российские отношения,阿爾巴尼亞—俄羅斯關係
Кубок Кремля,克里姆林杯
St. Petersburg Open,聖彼得堡公開賽
Единая Россия,統一俄羅斯
Балабаново,巴拉巴諾沃
Бой у Шталлупёнена,斯塔卢波嫩战役
Ялуторовск,亞盧托羅夫斯克
Бавлы,巴夫雷
Багратионовск,巴格拉季奧諾夫斯克
Байкальск,貝加爾斯克
Баймак,拜馬克
Краснодар (футбольный клуб),克拉斯诺达尔足球俱乐部
Россия на «Евровидении»,俄罗斯在欧洲歌唱大赛之历年表现
Баксан (город),巴克桑
Бакал,巴卡爾
2x2,2×2·(电视频道)
Кулундинский район,庫倫達區
Вилегодский район,維列戈茨科耶區
Алроса,埃罗莎
Андреев день,聖安德魯日
Лакинск,拉金斯克
Остров Сибирякова (Красноярский край),西比里亞科夫島
ТАСС,塔斯社
Сунженский район (Ингушетия),孫扎區
Шовгеновский район,紹夫格諾夫區
Московский энергетический институт,莫斯科动力学院
Буддизм в Бурятии,布里亞特佛教
Большой Черемшан,大切列姆尚河
Оять,奧亞季河
Курагино (посёлок городского типа),库拉吉诺
Майминский район,邁馬區
Чемпионат России по футболу 2008,2008年俄羅斯足球超級聯賽
Кёнигсбергский собор,柯尼斯堡主教座堂
Таймырский Долгано-Ненецкий район,泰梅爾多爾干-涅涅茨區
Узбекский язык,乌孜别克语
Абаканский хребет,阿巴坎山
Кировск (Мурманская область),基洛夫斯克·(摩爾曼斯克州)
Ачинск,阿钦斯克
Азербайджанский язык,阿塞拜疆语
Бабаево,巴巴耶沃
Аша,阿沙
Берингов пролив,白令海峡
Русская кухня,俄羅斯飲食
Балашиха,巴拉希哈
Балахна,巴拉赫納
Балаково,巴拉科沃
Киржач,基爾扎奇
Флаг Крыма,克里米亞國旗
Второй Курильский пролив,第二千島海峽
Хантайское (озеро),漢泰湖
"Суна (река, впадает в Онежское озеро)",蘇納河
Олонецкий район,奧洛涅茨區
Казанский район (Тюменская область),卡贊斯科耶區
Киреевск,基列耶夫斯克
Киренск,基廉斯克
Кинешма,基涅什马
Операция «Искра»,伊斯卡拉行动
Менделеевская (станция метро),門捷列夫站
Флаг Кабардино-Балкарии,卡巴爾達-巴爾卡爾共和國國旗
Мессояха,梅索亞哈河
Софийский собор (Великий Новгород),圣索菲亚主教座堂·(诺夫哥罗德)
Нерская,涅爾斯卡亞河
Нарышкино,纳雷什基诺·(奥廖尔州)
Курган (город),库尔干·(库尔干州)
Башкирский язык,巴什基尔语
Белово,別洛沃
Белинский (город),別林斯基·(奔薩州)
Белозерск,別洛焦爾斯克
Климовск,克利莫夫斯克
Белогорск (Амурская область),别洛戈尔斯克
Княгинино,克尼亞吉尼諾
Клин (город),克林·(莫斯科州)
Клинцы,克林齊
Горномарийский район,戈爾諾馬里區
Поволжские немцы,伏尔加德意志人
Прогресс (космический корабль),进步号飞船
Удмуртский язык,乌德穆尔特语
Нанайский язык,赫哲语
Южноэстонское наречие,南爱沙尼亚语
Колтта-саамский язык,斯科爾特薩米語
Ульчский язык,烏爾奇語
Белая Холуница,白霍盧尼察
Белебей,別列別伊
Сонково,松科沃
Мокшанский язык,莫克沙語
Белая Калитва,白卡利特瓦
Киселёвск,基謝廖夫斯克
Луга (река),盧加河
Оредеж (река),奧列傑日河
Выборг,维堡·(列宁格勒州)
Кирсанов,基爾薩諾夫
Белёв,別廖夫
Кирс,基爾斯·(基洛夫州)
Кисловодск,基斯洛沃茨克
Белый (город),別雷
Белоярский (город),別洛亞爾斯基·(漢特-曼西自治區)
Белоусово (город),别洛乌索沃·(卡卢加州)
Восточный административный округ,东行政区·(莫斯科)
Центральный архив Министерства обороны Российской Федерации,苏联国防部中央档案馆
Финский залив,芬蘭灣
Белорецк,別洛列茨克
Беломорск,白海城
Белое озеро (Гатчина),別洛耶湖·(列寧格勒州)
"Белые ночи (турнир, бадминтон)",白夜羽毛球賽
Ледовое побоище,楚德湖战役
Орешек (крепость),什利謝利堡要塞
Бокситогорск,博克西托戈爾斯克
Пикалёво,皮卡廖沃
Автономная область Российской Федерации,俄罗斯自治州
Ковылкино,科維爾基諾
Ковдор,科夫多爾
Волосово,沃洛索沃
Волхов,沃爾霍夫河
Национал-большевистская партия,民族布尔什维克党
Российский футбольный союз,俄羅斯足球總會
Камни преткновения,绊脚石·(艺术项目)
Дружба (нефтепровод),友谊输油管道
Европейский маршрут E28,欧洲E28公路
Бердск,別爾茨克
Волхов (город),沃爾霍夫
Северная Кельтма,北克利特馬河
Большой Московский государственный цирк,莫斯科国家马戏团
Братья Стругацкие,斯特魯伽茨基兄弟
Березники,别列兹尼基
Берёзовский (Кемеровская область),別廖佐夫斯基·(克麥羅沃州)
"Берёзовский (город, Свердловская область)",別廖佐夫斯基·(斯維爾德洛夫斯克州)
Когалым,科加雷姆
Кодинск,科金斯克
Козельск,科澤利斯克
Кирха памяти королевы Луизы,加里寧格勒木偶劇場
Катынь,卡廷
Европейский маршрут E22,欧洲E22公路
МГИМО,莫斯科國立國際關係學院
Боспорское царство,博斯普鲁斯王国
Ивангород,伊万哥罗德
Всеволожск,弗謝沃洛日斯克
Высоцк,維索茨克
Бикин (город),比金·(俄罗斯)
Билибино,比利比诺
Кингисепп,金吉谢普
Каменногорск,卡緬諾戈爾斯克
Беслан,别斯兰
Колпашево,科爾帕舍沃
Колпино,科爾皮諾
Комсомольск (Ивановская область),共青城·(伊万诺沃州)
