"Достоевский, Фёдор Михайлович",フョードル・ドストエフスキー
"Плющенко, Евгений Викторович",エフゲニー・プルシェンコ
"Ефимкин, Александр Сергеевич",アレクサンドル・エフィムキン
"Галимзянов, Денис Рамильевич",デニス・ガリムジャノフ
"Соловьёв, Анатолий Яковлевич",アナトリー・ソロフィエフ
"Мухортова, Мария Владимировна",マリア・ムホルトワ
"Обертас, Юлия Николаевна",ユリア・オベルタス
"Курочкина, Юлия Александровна",ユリア・クロチュキナ
"Шабалин, Максим Андреевич",マキシム・シャバリン
"Мастеркова, Светлана Александровна",スベトラーナ・マステルコワ
"Прохоров, Михаил Дмитриевич",ミハイル・プロホロフ
"Быкова, Тамара Владимировна",タマラ・ブイコワ
"Роднина, Ирина Константиновна",イリーナ・ロドニナ
"Хоркина, Светлана Васильевна",スベトラーナ・ホルキナ
"Зимятов, Николай Семёнович",ニコライ・ジミャトフ
"Зиновьев, Александр Александрович",アレクサンドル・ジノビエフ
"Токарев, Валерий Иванович",ワレリー・トカレフ
"Старостин, Сергей Анатольевич",セルゲイ・スタロスティン
"Луганский, Николай Львович",ニコライ・ルガンスキー
"Шостакович, Максим Дмитриевич",マクシム・ショスタコーヴィチ
"Лигачёв, Егор Кузьмич",エゴール・リガチョフ
"Артемьев, Эдуард Николаевич",エドゥアルド・アルテミエフ
"Федоренко, Николай Трофимович",ニコライ・フェドレンコ
"Любимов, Алексей Борисович",アレクセイ・リュビモフ
"Никитин, Сергей Яковлевич",セルゲイ・ニキーチン
"Сафина, Динара Мубиновна",ディナラ・サフィナ
"Мухамадиев, Мухсин Муслимович",ムフシン・ムハマディエフ
"Прилепин, Захар",ザハール・プリレーピン
"Чистякова, Галина Валентиновна",ガリナ・チスチャコワ
"Шейк, Ирина",イリーナ・シェイク
"Ким, Нелли Владимировна",ネリー・キム
"Валова, Елена Александровна",エレーナ・ワロワ
"Северянин, Игорь",イーゴリ・セヴェリャーニン
"Матиясевич, Юрий Владимирович",ユーリ・マチャセビッチ
"Марков, Алексей Михайлович",アレクセイ・マルコフ
"Винницкая, Анна Валерьевна",アンナ・ヴィニツカヤ
"Васильев, Дмитрий Викторович",ディミトリ・ヴァシリエフ
"Арапов, Борис Александрович",ボリス・アラポフ
"Онуфриенко, Юрий Иванович",ユーリー・オヌフリエンコ
"Боос, Георгий Валентинович",ゲオルギー・ボース
"Екимов, Алексей Иванович",アレクセイ・エキモフ
"Остер, Григорий Бенционович",グリゴリー・オステル
"Афанасьев, Валерий Павлович",ワレリー・アファナシエフ
"Помошников, Сергей Михайлович",セルゲイ・ポモシュニコフ
"Коблова, Валерия Сергеевна",ワレリア・コブロワ
"Давыдов, Сергей Сергеевич (футболист)",セルゲイ・ダヴィドフ・(1985年生のサッカー選手)
"Рыжков, Владимир Александрович",ウラジーミル・ルイシコフ
"Гацалов, Хаджимурат Солтанович",ハジムラト・ガツァロフ
"Рыбкин, Иван Петрович",イワン・ルイプキン
"Чиркунов, Олег Анатольевич",オレグ・チルクノフ
"Потапов, Леонид Васильевич",レオニード・ポタポフ
"Ивашко, Владимир Антонович",ウラジーミル・イワシコ
"Котова, Татьяна Владимировна",タチアナ・コトワ
"Форшева, Олеся Александровна",オレシャ・クラスノモベツ
"Комова, Виктория Александровна",ビクトリア・コモワ
"Гризодубова, Валентина Степановна",ヴァレンティナ・グリゾドゥボワ
"Романова, Елена Николаевна",エレーナ・ロマノワ
"Вознесенский, Андрей Андреевич",アンドレイ・ヴォズネセンスキー
"Черенков, Фёдор Фёдорович",フョードル・チェレンコフ
"Маринин, Максим Викторович",マキシム・マリニン
"Рыжиков, Сергей Викторович",セルゲイ・リジコフ・(サッカー選手)
"Удальцов, Сергей Станиславович",セルゲイ・ウダルツォフ
"Гачинский, Артур Андреевич",アルトゥール・ガチンスキー
"Силаев, Иван Степанович",イワン・シラーエフ
"Воевода, Алексей Иванович",アレクセイ・ヴォエヴォダ
"Козак, Дмитрий Николаевич",ドミトリー・コザク
"Смирнова, Тамара Михайловна",タマラ・スミルノワ
