François Hollande,弗朗索瓦·奥朗德
Henriette d'Angleterre,英格兰的亨利埃塔公主
Caribert II,查理贝尔特二世
Louis Ier de Bourbon-Condé,路易一世·德·波旁-孔代
Philippe Starck,菲利普·斯塔克
Louis Malle,路易·馬盧
Robert Bresson,羅伯特·布列松
Claude Chabrol,克勞德·夏布洛
Jacques Becker,雅克·贝克
Marie-Amélie de Bourbon-Siciles,瑪麗亞·艾瑪莉亞·德·波旁-西西里
Marie d'Anjou,安茹的瑪麗
Marie-Adélaïde de Savoie,瑪麗-阿德萊德·(薩伏伊)
Jeanne de Bourbon (1338-1378),波旁的让娜
Anne-Marie-Louise d'Orléans,安娜·玛丽·路易丝·德·奥尔良
Jeanne II de Bourgogne,讓娜二世·(勃艮第)
Isabelle d'Angoulême,昂古萊姆的伊莎貝爾
Aristide Maillol,阿里斯蒂德·马约尔
Isabeau de Bavière,巴伐利亚的伊萨博
Jean Vigo,讓·維果
Max Ophüls,馬克思·歐弗斯
Bernadette Soubirous,伯尔纳德·苏比鲁
Inconnue de la Seine,塞納河的無名少女
Charles de Freycinet,夏尔·德·弗雷西内
Nicolas Mahut,尼古拉·馬俞
Marcel Aymé,马塞尔·埃梅
Ginette Neveu,吉娜特·內弗
Marc Allégret,马克·阿莱格雷
Gabriel Marcel,加布里埃爾·馬塞爾
Athina Onassis,雅典娜·奧納西斯·魯塞爾·德米蘭達
Cédric Seguin,塞德里克·塞甘
Jean Arp,让·阿尔普
Yves Klein,伊夫·克莱因
Odilon Redon,奥迪隆·雷东
Georges Braque,喬治·布拉克
Paul Celan,保罗·策兰
Lucien Petit-Breton,呂西安·小布列塔尼
Michel Chasles,米歇尔·沙勒
Henri Giraud (militaire),亨利·吉罗
Françoise Hardy,馮絲華·哈蒂
Edme Mariotte,埃德姆·马略特
Pierre Savorgnan de Brazza,皮埃尔·萨沃尼昂·德·布拉柴
Nathalie Tauziat,納塔莉·托齊亞
Mathilde Johansson,瑪蒂爾德·約翰森
Jacques Monod,賈克·莫諾
Suzanne Lenglen,苏珊·朗格伦
Marcel Perrot,马塞尔·佩罗
Basil Zaharoff,巴希尔·扎哈罗夫
Adrien Languillat,郎怀仁
Jean-Alain Boumsong,让-阿兰·布姆松
Élisabeth Jacquet de La Guerre,伊麗莎白·賈給·德·拉格
Franz Joseph Gall,弗朗兹·约瑟夫·加尔
Eugène de Beauharnais,欧仁·德·博阿尔内
Léon Jouhaux,莱昂·儒奥
Marie Leszczynska,玛丽·莱什琴斯卡
François Arago,弗朗索瓦·阿拉戈
Gaston Dron,加斯东·德龙
Elliott Erwitt,埃利奥特·厄威特
Alain Boublil (auteur),阿蘭·鮑伯利
Sylvia Bongo Ondimba,希維婭·邦戈·翁丁巴
René Faye,勒内·费伊
Émile Borel,埃米尔·博雷尔
Joseph-Antoine Poniatowski,约瑟夫·波尼亚托夫斯基
Chiara Mastroianni,齊雅拉·馬斯楚安尼
Tchéky Karyo,傑奇·卡尤
Casimir Perier,卡西米尔·皮埃尔·佩里埃
Simon Vouet,西蒙·武埃
Charles de France (1686-1714),查理·(貝里公爵)
Anna Karina,安娜·卡里娜
Marie Cavallier,瑪麗王妃·(丹麥)
Agnès Sorel,阿涅丝·索雷尔
Luigi Lucheni,路易吉·盧切尼
Jean-Dominique Bauby,讓-多米尼克·鮑比
Abderrahmane Farès,阿布德-拉赫曼·法雷斯
Edgar Morin,埃德加·莫林
Louise-Élisabeth d'Orléans,路易絲·伊麗莎白·德·奧爾良
Louise de La Vallière,露易丝·德·拉瓦利埃尔
Nathalie Gontcharova,纳塔莉亚·冈察洛娃
François Furet,弗朗索瓦·傅勒
Émile Mâle,埃米尔·马勒
André Maginot,安德烈·馬奇諾
Guillaume Brune,纪尧姆·布律纳
Jean-Antoine Houdon,让-安托万·乌东
Joseph Paul-Boncour,约瑟夫·保罗-邦库尔
Hugues II de Châtillon,于格二世·(沙蒂永)
Émile Grumiaux,埃米尔·格吕米奥
René Primevère Lesson,勒内-普里梅韦勒·莱松
Samy Naceri,沙米·納西利
Léon Flameng,莱昂·弗拉芒
Boris Diaw,伯利斯·迪奥
Hugues de Saint-Victor,聖維克托的休格
Safet Sušić,萨费特·苏西奇
Abel Goumba,阿貝爾·貢巴
Jeannie Longo,珍妮·隆戈
Marguerite Long,瑪格麗特·朗
Marie-Adélaïde de Bourbon,路易絲·瑪麗·阿德萊德·德·波旁
Sandrine Bonnaire,桑德琳·波奈兒
Sonia Delaunay,索尼婭·德勞內
Émile Mercier (tir à l'arc),埃米尔·梅西耶
Émile Mathieu,埃米尔·李奥纳多·马蒂厄
André Martinet,马蒂内·安德烈
Stanislas Leszczynski,斯坦尼斯瓦夫一世
Jean Ferrat,让·费拉
Jacques Delors,雅克·德洛爾
Steevy Chong Hue,斯蒂维·张
Georges Bizet,乔治·比才
Léa Seydoux,蕾雅·瑟杜
Constance d'Arles,阿爾勒的康斯坦絲
Victor Vasarely,维克多·瓦沙雷
Anne de Foix,安妮·德·富瓦
Léopold Sédar Senghor,利奥波德·塞达尔·桑戈尔
Jean-Jacques Annaud,让-雅克·阿诺
François de Sales,聖方濟各·沙雷氏
Robert Doisneau,罗伯特·杜瓦诺
Valeria Bruni Tedeschi,瓦萊麗雅·布魯尼-特德斯奇
Edgard Varèse,埃德加·瓦雷兹
Andry Rajoelina,安德里·拉乔利纳
Alfred Döblin,阿尔弗雷德·德布林
Gnassingbé Eyadéma,纳辛贝·埃亚德马
Julien Benda,朱利安·班達
Ismaïl Omar Guelleh,伊斯梅尔·奥马尔·盖莱
Max Ernst,马克斯·恩斯特
René Cassin,勒内·卡森
Clémence Poésy,克蕾曼絲·波西
Bidzina Ivanichvili,比济纳·伊万尼什维利
Louis Néel,路易·奈爾
Marie Laurencin,瑪麗·羅蘭珊
Georges Rouault,乔治·鲁奥
Sébastien Bassong,塞巴斯蒂安·巴松
Madame de Lamballe,瑪麗·特蕾絲·路易絲·(朗巴勒親王妃)
Tatiana Golovin,塔季扬娜·戈洛温
Christine Arron,克里斯蒂娜·阿龙
Louise Renée de Penancoët de Keroual,樸次茅斯女公爵路易絲·德·克魯阿爾
Louis-Alexandre Berthier,路易-亚历山大·贝尔蒂埃
Gad Elmaleh,蓋得·艾馬勒
Alexandre Koyré,亞歷山大·夸黑
Jérémie Aliadière,杰雷米·阿利亚迭雷
Lila Kedrova,麗拉·柯卓娃
Michèle Alliot-Marie,米谢勒·阿利奥-玛丽
Jean-Baptiste Biot,让-巴蒂斯特·毕奥
Philippe d'Orléans (1674-1723),奥尔良公爵菲利普二世
Émile Guimet,艾米尔·艾蒂安·吉美
Le Pétomane,派托曼
Alexis Bouvard,亚历克西·布瓦尔
Pierre d'Ailly,皮埃尔·戴伊
Colette Besson,科莱特·贝松
Émile Parisien,艾密爾·巴里西安
Émile Ollivier (homme politique),埃米尔·奥利维耶
Émile Picard,埃米尔·皮卡
Henri Dutilleux,亨利·杜替耶
Louis XII,路易十二
André Derain,安德烈·德兰
Pierre Bourdieu,皮埃尔·布迪厄
Philippe Ier (roi des Francs),腓力一世·(法兰西)
Pierre Boulez,皮埃尔·布莱兹
Max Jacob,馬克斯·雅各布
Luis Federico Leloir,卢伊斯·弗德里科·莱洛伊尔
Charles Fabry,夏尔·法布里
Émile Reynaud,埃米尔·雷诺
Émile Senart,埃米尔·塞纳尔
Henri Cartier-Bresson,亨利·卡蒂尔-布雷松
Charles Nicolle,夏尔·尼科勒
Marc Bloch,馬克·布洛赫
Souphanouvong,苏发努冯
Milan Rastislav Štefánik,米兰·拉斯蒂斯拉夫·什特凡尼克
Benjamin Nivet,本杰明·尼韦
René Hamel (cyclisme),勒内·阿梅尔
Lucien Choury,吕西安·舒里
Nicolas Charles Oudinot,尼古拉·夏尔·乌迪诺
Inès Armand,伊涅萨·阿曼德
Henri Rousseau,亨利·盧梭
Emma de Caunes,愛瑪·迪·可力
Élisabeth-Charlotte d'Orléans,伊麗莎白·夏洛特·德·奧爾良
Ludivine Sagnier,露德温·塞尼耶
Pierre Mauroy,皮埃尔·莫鲁瓦
Bruno Walter,布鲁诺·瓦尔特
Suzanne Valadon,苏珊·瓦拉东
Jacques Thibaud,雅克·蒂博
Adamántios Koraïs,阿扎曼蒂奥斯·科莱斯
Àstrid Bergès-Frisbey,阿斯特丽德·伯格斯·弗瑞斯贝
Danielle Darrieux,丹妮爾·黛麗尤
Christian Karembeu,克里斯蒂安·卡伦布
Émile Waldteufel,埃米尔·瓦尔德退费尔
Émilie Lefel,埃米莉·拉菲尔
Chrétien-Louis-Joseph de Guignes,小德金
Jorge Semprún,豪尔赫·森普伦
Marie de Bourgogne,勃艮第的瑪麗
Lucien Febvre,呂西安·費夫爾
François Darlan,弗朗索瓦·达尔朗
Charles V de Lorraine,洛林公爵查理五世
Georges Maspero,喬治·馬伯樂
Roger de Barbarin,罗歇·德巴尔巴兰
Pascal Collasse,帕斯科·科拉斯
Bruno Massot,布鲁诺·马索
Constance de Bretagne,布列塔尼女公爵康斯坦丝
Gabrielle de Polignac,勃利夫人
Jean-Christophe Bahebeck,巴赫贝克
Georges Perec,乔治·佩雷克
Yann Tiersen,扬·提尔森
Étienne Capoue,埃蒂尼·卡波埃
Serge Aurier,沙治·奧利亞
Christine de Pizan,克里斯蒂娜·德·皮桑
Assia Djebar,阿西娅·杰巴尔
Moussa Sissoko,穆沙·施素高
Mélanie Laurent,梅蘭妮·蘿倫
Mélissa Theuriau,梅丽莎·特里奥
Alessandra Martines,亚历桑德拉·马提尼斯
Éric Di Meco,埃里克·迪梅科
Virginie Ledoyen,维尔日妮·勒杜瓦扬
Nicolas Douchez,尼古拉·杜謝
Eugénie de Montijo,歐仁妮·德·蒙提荷
Simone Weil,西蒙娜·韦伊
Vassily Kandinsky,瓦西里·康定斯基
Victoire de Saxe-Cobourg-Gotha,維多利亞公主·(薩克森-科堡-哥達)
Zinaïda Hippius,季娜依达·吉皮乌斯
Frédéric-Armand de Schomberg,第一代紹姆貝格公爵弗雷德里希·紹姆貝格
Stéphanie de Beauharnais,史蒂芬妮·德·博阿爾內
Marie-Louise d'Autriche,瑪麗·路易絲·(帕爾馬女公爵)
Louis Brière de l'Isle,波里也
Érard II de Brienne,埃拉爾二世·(布列訥)
Yolande de Bourgogne,勃艮第的約蘭德
Jeanne Ire d'Auvergne,讓娜一世·德·奧弗涅
Marguerite de France (1279-1318),法兰西的玛格丽特·(英格兰王后)
Bonne de Luxembourg,盧森堡的邦妮
Fernand Léger,费尔南·莱热
Ernest Renan,歐內斯特·勒南
Emmanuelle Seigner,艾曼纽·塞涅
Alberto Giacometti,阿爾伯托·賈科梅蒂
Marcel Marceau,馬歇·馬叟
Yo-Yo Ma,馬友友
Michèle Morgan,蜜雪兒·摩根
Éric Briffard,埃里克·布里法尔
Christian Dior,克里斯汀·迪奧
André Weil,安德烈·韦伊
Michel Rolle,米歇尔·罗尔
Éric Navet,埃里克·纳韦
Charles-Lucien Bonaparte,夏尔·吕西安·波拿巴
Daniel-François-Esprit Auber,达尼埃尔·奥柏
Cléopâtre Darleux,克莱奥帕特·达勒
Julie Clary,茱麗·克拉里
Natalya Lisovskaya,娜塔莉娅·利索夫斯卡娅
François de Cuvilliés l'Ancien,弗朗索瓦·德·居维利埃
Friedrich Burgmüller,弗里德里希·布格繆勒
Karl-Heinz Förster,卡尔海因茨·弗尔斯特
René Coty,勒内·科蒂
Vincent Auriol,樊尚·奥里奥尔
Claudie Haigneré,克洛迪·艾涅尔
Nikola Karabatic,尼古拉·卡拉巴蒂奇
Cornelius Castoriadis,科内利乌斯·卡斯托里亚迪斯
Albert Lebrun,阿尔贝·勒布伦
Claude Louis Hector de Villars,克洛德·路易·埃克托尔·德·维拉尔
Francis Picabia,弗朗西斯·畢卡比亞
Éric Zemmour,埃里克·澤穆爾
François Guizot,弗朗索瓦·基佐
Romain Gary,罗曼·加里
Djamel Abdoun,查美爾·艾當
Robert Granjon,罗贝尔·格朗容
Florent Schmitt,弗洛朗·施米特
Madame Guyon,盖恩夫人
Hélène Cixous,愛蓮·西蘇
Séraphine de Senlis,塞拉菲娜·路易
Maria de Medeiros,玛丽亚·德·梅黛洛
Cécilia Attias,瑟西莉雅·亞提亞斯
Otar Iosseliani,奧達·伊奧塞里安尼
Jean Monnet,让·莫内
Marguerite de France (1523-1574),瑪格麗特·德·法蘭西·(1523年—1574年)
Raïs M'Bolhi,賴斯·麥保希
Frédéric IV de Salm-Kyrbourg,弗里德里希四世·(薩爾姆-基爾堡)
Marguerite-Marie Alacoque,瑪加利大·瑪利亞·亞拉高
Renée de France,芮內·德·法蘭西
Étienne Maurice Falconet,艾蒂安·莫里斯·法尔科内
Étienne Maurice Gérard,艾蒂安·莫里斯·热拉尔
Catherine Breillat,凯瑟琳·布雷亚
Moritz Moszkowski,莫里茨·莫什科夫斯基
Paul Delaroche,保罗·德拉罗什
Henri Peslier,亨利·佩斯利耶
Jean-François Copé,让-弗朗索瓦·科佩
Louis Nicolas Davout,路易·尼古拉·达武
Jean-Pierre Raffarin,让-皮埃尔·拉法兰
Henri-Gatien Bertrand,亨利-加蒂安·贝特朗
Patrice de Mac Mahon,帕特里斯·麦克马洪
Louise Bourgeois (plasticienne),路易丝·布儒瓦
Arletty,阿尔莱蒂
Albert Ier (prince de Monaco),阿爾貝一世·(摩納哥)
Jeanne Hébuterne,珍妮·赫布特尼
Franck Riester,弗蘭克·里斯特
Éric Serra,艾瑞克·塞拉
Étienne-Gabriel Morelly,埃蒂耶纳-加百利·摩莱里
Vencelas Dabaya,旺斯拉·达巴亚
Johann Karl Burckhardt,约翰·卡尔·布尔克哈特
Étienne-Jules Marey,艾蒂安-朱尔·马雷
Étienne-François de Choiseul,艾蒂安·弗朗索瓦·(舒瓦瑟尔公爵)
Étienne Bacrot,艾蒂安·巴克洛
Élodie Bouchez,艾羅蒂·布雪
Dora Maar,朵拉·瑪爾
Étienne Balibar,埃蒂安·巴利巴尔
Patricia Kaas,派翠西亚·凯丝
Étienne-Louis Boullée,艾蒂安-路易·布雷
Chaïm Soutine,柴姆·苏丁
Wanda Landowska,旺达·兰多芙丝卡
Prosper Mérimée,普羅斯佩·梅里美
Jeanne de France (1464-1505),讓娜·德·法蘭西·(1464年)
Joseph Louis Proust,约瑟夫·普鲁斯特
Julia Kristeva,茱莉亞·克莉斯蒂娃
Jacques Ellul,雅克·埃吕尔
Henriette de Nevers (1542-1601),尼維爾的亨麗埃特
Hector-Martin Lefuel,赫克托尔·勒菲埃尔
Cécile Chaminade,塞西尔·夏米娜德
Alice Miller,愛麗絲·米勒
Juliette Récamier,朱丽叶·雷卡米耶
Louise d'Artois,阿圖瓦的路易絲
Marcel Pagnol,馬瑟·巴紐
Charles-Maurice de Talleyrand-Périgord,夏尔·莫里斯·德塔列朗-佩里戈尔
Louise-Henriette de Bourbon-Conti,路易絲·亨麗埃特·德·波旁
Hélène Dutrieu,埃莱娜·迪特里厄
Clara Morgane,克拉拉·摩根
Sandrine Bailly,桑德里娜·巴伊
Catherine de Navarre,卡特琳·德·納瓦拉
Étienne Cabet,埃蒂耶纳·卡贝
Étienne-Charles de Loménie de Brienne,艾蒂安·夏尔·德·洛梅尼·德·布里耶纳
Antoine-Augustin Cournot,安托万·奥古斯丁·古诺
Humbert de Moyenmoutier,宏伯特
Annette Kolb,安妮特·柯爾伯
Clément Janequin,克莱门特·雅内坎
Mireille Mathieu,米蕾耶·瑪蒂厄
Germaine de Foix,日爾曼妮·德·富瓦
Étienne Gilson,艾蒂安·吉尔森
Marion Josserand,玛丽昂·若斯朗
Amélie d'Orléans,奧爾良的阿美莉
Henri Michaux,亨利·米肖
Michel Tournier,米歇尔·图尼埃
Roger Garaudy,罗杰·加洛蒂
Raymond Aron,雷蒙·阿隆
Deanna Durbin,狄安娜·窦萍
Jean-Jacques-Régis de Cambacérès,让-雅克·雷吉斯·德·康巴塞雷斯
Pierre-Augustin Caron de Beaumarchais,皮埃爾·博馬舍
Julia Dietze,茱莉亚·迭泽
Alfred Kastler,阿尔弗雷德·卡斯特勒
Charles VI (roi de France),查理六世·(法兰西)
Lucien Lévy-Bruhl,吕西安·列维-布留尔
François Cavanna,弗朗索瓦·卡万纳
Fred Vargas,弗雷德·瓦格斯
Madame de La Fayette,拉斐特夫人
Étienne Marie Antoine Champion de Nansouty,艾蒂安·德·南苏蒂
Francis Cabrel,弗朗西斯·凯布洛
Pierre-Jean de Béranger,皮埃尔-让·德·贝朗瑞
Philippe Sollers,菲利普·索莱尔斯
Charles Koechlin,夏尔·凯什兰
Louis Aloÿs de Hohenlohe-Waldenbourg-Bartenstein,路德維希·阿洛伊斯·(霍恩洛厄-瓦爾登堡-巴滕施泰因)
Lucas Digne,盧卡斯·迪尼
Louise d'Orléans (1812-1850),路易絲-瑪麗·德·奧爾良
Napoléon-Louis Bonaparte (1804-1831),拿破仑·路易·波拿巴
Jean Dufay,让·迪费
Paul Reynaud,保罗·雷诺
Guillaume Rufin,基雷姆·魯芬
Étienne de La Vaissière,魏義天
Marie-Françoise-Élisabeth de Savoie,瑪麗-法蘭索瓦絲-伊莉莎白
Linda Maria Baros,琳达·馬利亞·巴洛斯
Henri Lefebvre,亨利·列斐伏尔
Étienne Pierre Ventenat,艾蒂安·皮埃尔·旺特纳
Madame de Sévigné,塞维涅夫人
Isabelle Ire de Lorraine,伊莎貝拉·德·洛林
Clémentine d'Orléans,克蕾曼汀·德·奧爾良
David Fray,大衛·弗萊
Hans van Helden,汉斯·范赫尔登
Horace Vernet,奥拉斯·韦尔内
Xavier Tartakover,萨维利·塔塔科维
Cédric Pioline,塞德里克·皮奥林
André Breton,安德烈·布勒東
Louise Labé,路易丝·拉贝
Paul Winter,保罗·温特
Étienne de Silhouette,艾提恩·德·西魯耶特
Étienne de La Boétie,艾蒂安·德·拉博埃西
Bruno Faidutti,布魯諾·法伊杜蒂
Carole Merle,卡萝勒·梅尔
Eugène Richez,欧仁·里谢
Cécile Corbel,賽西兒·柯貝爾
Georges Berthet,乔治·贝尔泰
Adélaïde de France (1732-1800),阿德萊德·德·法蘭西
Frank Lebœuf,弗兰克·勒伯夫
Inés Sastre,伊莉絲·莎特莉
Louise de Coligny,路易絲·德科利尼
Sonia Rykiel,桑麗卡·里基耶
Claire Denis,克萊兒·德尼
Katherine Pancol,凱特琳·彭歌
Anne Fontaine (réalisatrice),安妮·芳婷
Évariste Lévi-Provençal,埃瓦里斯特·莱维-普罗旺萨尔
Évariste Huc,古伯察
Thomas Couture,托马·库蒂尔
Aurélien Chedjou,奧利連·捷祖
Georges Enesco,乔治·埃内斯库
Benoît Assou-Ekotto,伯努瓦·阿苏-埃科托
Romy Schneider,罗密·施奈德
Maurice Halbwachs,莫里斯·哈布瓦赫
Pierre Drieu la Rochelle,皮埃爾·德里厄·拉羅謝爾
Gustave de Beaumont,古斯塔夫·德·博蒙
Daniel Cohn-Bendit,丹尼爾·孔-本迪
Alexandre Grothendieck,亚历山大·格罗滕迪克
Hermann Mayer Salomon Goldschmidt,赫尔曼·戈尔德施密特
Marie-Josèphe de Saxe (1731-1767),萨克森的玛丽·约瑟芬·(1731年–1767年)
François Gérard,弗朗索瓦·热拉尔
Marguerite Yourcenar,玛格丽特·尤瑟纳尔
Hélène Ségara,伊蓮·西嘉賀
Henri Cartan,亨利·嘉当
Joris Ivens,尤里斯·伊文思
Elsa Lunghini,艾勒莎
Paul Henri Balluet d'Estournelles de Constant,保罗-亨利-邦雅曼·德斯图内勒·德康斯坦
Richard Coudenhove-Kalergi,理查德·尼古拉斯·冯·康登霍维-凯勒奇
Ernst Rüdiger Starhemberg,恩斯特·吕迪格·施塔海姆贝格
Pierre Louis Moreau de Maupertuis,皮埃爾·莫佩爾蒂
Wendelin Werner,文德林·維爾納
Paul Sérusier,保羅·塞律西埃
Axel Kahn,阿克塞尔·卡恩
Pierre de Fermat,皮埃爾·德·費馬
Jean Debuf (haltérophilie),让·德比夫
Pierre Adam (cyclisme),皮埃尔·亚当
Frank Horvat,弗兰克·霍瓦特
Serge Blusson,塞尔日·布吕松
Balthus,巴尔蒂斯
Jean-Bedel Bokassa,让-贝德尔·博卡萨
Maurice de Saxe (1696-1750),莫里斯·德·薩克斯
Sophie Marceau,苏菲·玛索
Jean Filliozat,讓·菲約扎
Alexa Davalos,艾莉克莎·黛沃洛斯
Sébastien Japrisot,塞巴斯蒂安·雅普瑞索
Françoise-Marie de Bourbon,弗朗索瓦絲·瑪麗·德·波旁
Nora Arnezeder,諾拉·艾妮詹德
Michel Joseph Maunoury,米歇尔·约瑟夫·莫努里
Louis Charles Vincent Le Blond de Saint-Hilaire,路易-樊尚-约瑟夫·圣伊莱尔
Henri Poincaré,亨利·龐加萊
Jean-Baptiste Dumas (chimiste),讓-巴蒂斯特·杜馬
Stéphane Hessel,斯特凡·埃塞爾
Joseph-Louis Lagrange,约瑟夫·拉格朗日
Affaire Marie-Louise Giraud,瑪麗-路易絲·吉羅
Virginie Arnold,维尔日妮·阿诺尔德
Jacques Prévert,賈克·普維
Pierre Emmanuel,皮埃尔·埃马纽埃尔
René Thom,勒内·托姆
Jacques Hadamard,雅克·阿达马
Pauline Parmentier,保琳·巴曼迪耶
Édouard Vuillard,爱德华·维亚尔
Olga Kurylenko,歐嘉·柯瑞蘭寇
Chantal Akerman,香特尔·阿克曼
Rama Yade,拉玛·亚德
Gaston Darboux,讓·加斯東·達布
Mathilde Kschessinska,玛蒂尔德·克谢辛斯卡
Mylène Demongeot,米琳娜·德蒙若
Charles-Augustin Coulomb,夏尔·库仑
Sœur Emmanuelle,以馬內利修女
Louise-Françoise de Bourbon (1673-1743),路易絲·弗朗索瓦絲·德·波旁
Christopher Tolkien,克里斯托夫·托爾金
François Mauriac,弗朗索瓦·莫里亚克
Michel Bréal,米歇尔·布雷亚尔
Sara Forestier,莎拉·弗里斯提
ERikm,埃里克姆
Élodie Yung,艾洛蒂·袁
Louis VIII le Lion,路易八世·(法兰西)
Edgar Faure,埃德加·富尔
Jean XXII,若望二十二世
Laura Flessel,劳拉·弗莱塞尔-科洛维奇
Valerie Harper,瓦莱丽·哈珀
Jean de Lattre de Tassigny,讓·德·拉特爾·德·塔西尼
Émile Fayolle,埃米爾·法約勒
Pascale Cossart,帕斯卡莱·科萨尔
Lise de la Salle,麗莎·德勒沙爾
Marion Maréchal,玛丽昂·马雷夏尔
François Achille Bazaine,弗朗索瓦·阿希尔·巴赞
Tristane Banon,特里斯塔娜·巴农
Jean Borotra,让·博罗特拉
Emmanuel-Joseph Sieyès,埃马努埃尔-约瑟夫·西哀士
Gustave Le Bon,古斯塔夫·勒庞
Jean-François de La Pérouse,拉彼鲁兹伯爵让-弗朗索瓦·德·加洛
Jean-Pierre Wintenberger,让-皮埃尔·温唐贝热
Georges Valiron,乔治·瓦利隆
Louis Jacques Thénard,路易·雅克·泰纳尔
Antoinette Murat,安東妮·繆拉
Agnès Jaoui,艾格妮絲·夏薇依
Marie-Laure Brunet,玛丽-洛尔·布吕内
Allan Kardec,阿朗·卡尔代克
Virginie Despentes,维吉妮·德庞特
Camille Flammarion,卡米耶·弗拉马里翁
Jean de Joinville,让·德·茹安维尔
Ségolène Royal,塞格琳·羅雅爾
Jacques-Bénigne Bossuet,雅克-貝尼涅·博須埃
Louis VI le Gros,路易六世·(法兰西)
Lautréamont,洛特雷阿蒙
Guy de Lusignan (roi de Jérusalem),吕西尼昂的居伊
