Joachim Heinrich Wilhelm Wagener,勒夫海因里希·威廉·瓦格納
Jimi Blue Ochsenknecht,吉米·布鲁·奥森耐特
Marie Luise Kaschnitz,玛丽·路易斯·卡施尼茨
Gottfried Kirch,戈特弗里德·科奇
Ulrich Plenzdorf,烏爾里希·普倫茨多夫
Christl Cranz,克丽斯特尔·克兰茨
Kai-Uwe von Hassel,凱-烏韋·馮·哈塞爾
Klaus von Klitzing,克劳斯·冯·克利青
Hannes Aigner,汉内斯·艾格纳
Johannes von Hanstein,约翰内斯·馮·汉施坦
Hasso Plattner,哈索·普拉特納
Otto-Wilhelm Förster,奧托·威廉·福斯特
Jürgen Klinsmann,尤尔根·克林斯曼
Philipp Lenard,菲利普·莱纳德
Paula Riemann,宝拉·里曼
Albrecht Konrad Finck von Finckenstein,阿爾博雷希特·康拉德·芬克·馮·芬克斯坦
Johann Zahn,约翰·察恩
Georg Alexander Herzog zu Mecklenburg,格奥尔格·亚历山大
Friedrich Zimmermann,佛烈德利赫·齊麥曼
Paul Bäumer,保罗·鲍默
Sigbert Josef Maria Ganser,西格贝特·约瑟夫·马里亚·甘泽
Richard Reinhard Emil Schorr,里夏德·朔尔
Annette Kolb,安妮特·柯爾伯
Johannes Stark,约翰内斯·斯塔克
Harald Ringstorff,哈拉爾德·林斯托夫
Rudolf Augstein,鲁道夫·奥格斯坦
WestBam,韦斯特巴姆
Lutz D. Schmadel,卢茨·D·施耐德
Thomas Brdarić,托马斯·布尔达里奇
Sebastian Brendel,賽巴斯汀·布蘭多
Dana Vávrová,达娜·瓦罗娃
Josias von Heeringen,喬西亞斯·馮·赫林根
Rebecca Harms,瑞貝卡
Tron,鲍里斯·佛罗瑞斯克
Mark Medlock,馬克·米洛克
Michaele Schreyer,米夏爾·施雷爾
Robert Pilger,罗伯特·克努兹·弗里德里希·皮尔格
Christian Henrich Heineken,克萊斯頓·海瑞克·海尼根
Wolfgang Butzkamm,沃夫刚·布兹坎姆
Sebastian Leitner,瑟巴斯坦·萊特納
Peter Altmaier,彼得·阿爾特邁爾
Friedrich zu Wied,弗里德里希
Johann Gramann,約翰內斯·格羅曼
Herbert Hainer,赫伯特·海纳
Jochen Pietzsch,约亨·皮奇
Georg von Oldenburg,格奥尔格 (奥尔登堡)
Maria Goeppert-Mayer,玛丽亚·格佩特-梅耶
Oskar Heinroth,奧斯卡·海因洛特
Karl Larenz,卡尔·拉伦茨
Eric Weil,艾瑞克·怀尔
Günther Jauch,金特·尧赫
Christian I.,克里斯蒂安一世
Heinrich (VI.) der Jüngere von Braunschweig,海因里希六世
Hans Apel,漢斯·阿貝爾
Friedrich Anton Ulrich,腓特烈·安東·烏爾里希
Heinrich (V.) der Ältere von Braunschweig,莱茵河的帕拉丁伯爵海恩里希五世
Arthur Crispien,阿圖爾·克里斯皮恩
Anton Fugger,安東·富格爾
Hermann II.,赫爾曼二世
Camillo Karl Schneider,卡米洛·卡爾·施奈德
Heinz London,海因茨·倫敦
Alfred Schlemm,阿爾弗雷德·施勒姆
Manuel Fischer,曼努埃爾·菲舍爾
Marco di Carli,馬可·迪卡利
Philipp Ludwig II.,菲利普·路德維希二世
Frank Wörndl,弗兰克·韦恩德尔
Hans Zenker,漢斯·曾克爾
Hans Pietsch,汉斯·皮奇
Karl Rathgen,那特硁
Claus Roxin,克勞斯·羅可辛
Bernd Dittert,贝恩德·迪特尔特
Annette Klug,安妮特·克卢格
Konstantin Prinz von Bayern,巴伐利亞的康斯坦丁
Oskar von Hutier,奥斯卡·冯·胡蒂尔
Emilie Schindler,埃米莉·辛德勒
Frédéric Lichtenberg,弗雷德里克·馮·安哈爾特
Heinrich Schëuch,海因里希·舒爾契
Otto Meyerhof,奧托·邁爾霍夫
Hans-Ulrich Rudel,汉斯-乌尔里希·鲁德尔
Marion Gräfin Dönhoff,瑪莉昂·德霍夫
Wolfgang Schneiderhan,沃爾夫岡·施奈德漢
Frank Farian,弗兰克·法里恩
Kerstin Stegemann,克斯汀·斯特格曼
Carl Herzog von Württemberg,卡尔二世
Severin Freund,泽韦林·弗罗因德
Viola Bauer,维奥拉·鲍尔
Martina Strutz,玛蒂娜·斯特鲁茨
Theodor Blank,特奧多·安東·布蘭克
Günter Wächtershäuser,根特·維奇特蕭瑟
Werner Maihofer,维尔纳·迈霍弗
Wilhelm der Jüngere,威廉五世
Johann Kasimir,約翰·卡西米爾
Jens Lehmann,延斯·莱曼
Walther von Brauchitsch,瓦尔特·冯·布劳希奇
Diane Kruger,黛安·克魯格
Ehrenfried Patzel,埃伦弗里德·帕策尔
Bruno Beger,布魯諾·貝格爾
Kurt Goldstein,库特·古尔德斯坦
Matthias Kleinheisterkamp,馬帝亞斯·克萊因海斯特康普
Ralph Kronig,拉爾夫·克羅尼希
Holger Stanislawski,霍尔格·斯坦尼斯拉夫斯基
Kurt von Schleicher,庫爾特·馮·施萊謝爾
Peter Grünberg,彼得·格林贝格
Ewald von Kleist,埃瓦尔德·冯·克莱斯特
Sascha Rösler,萨沙·罗斯勒
Andre Begemann,安德烈·碧加文
Meike Babel,梅克·巴别尔
Max Mutzke,马克西米利安·马茨克
Josef Kammhuber,约瑟夫·卡姆胡伯
Ernst Schwarz,恩斯特·施瓦兹
Albrecht Kossel,阿尔布雷希特·科塞尔
Ernst Baier,恩斯特·拜尔
Alfred Saalwächter,阿尔弗雷德·扎尔韦希特尔
Dietrich Tiedemann,迪特里奇·泰德曼
Andreas Hillgruber,安德烈亞斯·希爾格魯貝爾
Anna von Kleve,克莱沃的安娜
Beatrix von Bayern,巴伐利亞的碧翠絲
Prinz Albert von Sachsen,阿爾布萊希特·約瑟夫
Hans-Gerhard Creutzfeldt,漢斯·庫茲菲德
Juan Linz,胡安·林茲
Johann Ludwig Graf Schwerin von Krosigk,魯茨·格拉夫·什未林·馮·科洛希克
Stefan Mücke,斯特凡·米克
Leopold Wilhelm von Baden-Baden,利奧波德·威廉
Michael Fassbender,麥克·法斯賓達
Sizzo von Schwarzburg,西佐
Elisabeth von Bayern,巴伐利亞的伊莉莎白 (1383-1442)
Hieronymus David Gaub,希羅尼米斯·戴維·高比烏斯
Erich von Manstein,埃里希·冯·曼施坦因
August Apel,奥古斯特‧阿贝尔
Timo Hildebrand,蒂莫·希尔德布兰
Cacau,卡考
Martin Winterkorn,文德恩
Karl Hugo Strunz,凱尔·雨果·施特龍茨
Carl-Uwe Steeb,卡尔-乌韦·斯蒂勃
Wilhelm Canaris,威廉·卡纳里斯
Emil Benecke,埃米尔·贝内克
Erich II.,埃里希二世
Josef Rufer,约瑟夫·鲁弗
Philipp II.,腓力二世
Wilhelm Röpke,威廉·洛卜克
Friedrich von Ingenohl,腓特烈·馮·英格諾爾
Hannah Stockbauer,汉娜·施托克鲍尔
Max Kalbeck,卡爾貝克
Marcus Becker,马库斯·贝克尔
Erich von Falkenhayn,埃里希·馮·法金漢
Alexander Gerst,亚历山大·格斯特
Thomas Hitzlsperger,托马斯·希策尔斯佩格
Julius Neubronner,尤里烏斯·諾伊布龍納
Hermann Hoth,赫爾曼·霍特
Ernst Busch,恩斯特·布施
Herwig Schopper,赫维希·朔佩尔
Ludwig Beck,路德维希·贝克
Georg von Küchler,格奧爾格·馮·屈希勒
Rumold Mercator,魯莫德·墨卡托
Charlotte von Mahlsdorf,夏洛特·冯·马尔斯多夫
Hermann Müller,赫爾曼·穆勒
Hanna Reitsch,漢娜·瑞奇
Kurt von der Chevallerie,库尔特·冯·德·谢瓦莱里
Katina Schubert,卡蒂娜·舒伯特
Friedrich Wilhelm III.,腓特烈·威廉三世 (薩克森-阿爾滕堡)
Annika Becker,安妮卡·贝克尔
Charlotte von Liegnitz-Brieg-Wohlau,萊格尼察-布熱格-沃武夫的夏洛特
Johann,約翰
Gustav Bauer,古斯塔夫·鲍尔
Oskar Kummetz,奧斯卡·庫梅茲
Adolf Galland,阿道夫·加兰德
Zé Roberto,泽·罗伯托
Jürgen Röber,于尔根·略伯尔
Gunter Sachs,根達·薩克斯
Karl,查理一世
Erich Raeder,埃里希·雷德尔
Ferdinand Leitner,费迪南德·莱特纳
Wendelin Wiedeking,溫德林·維德金
Wilhelm Souchon,威廉·蘇雄
Walther Rauff,瓦爾特·勞夫
Gottlieb von Haeseler,戈特利布·馮·海斯勒
Arnold Fanck,阿諾德·弗朗克
Heinrich II.,海因里希二世
Walter Reppe,瓦尔特·雷佩
Hans Steinhoff,汉斯·斯泰因霍夫
Rüdiger Kauf,吕迪格·考夫
Ludwig Curtius,路德维希·库尔蒂乌斯
Rudolf August,魯道夫·奧古斯特
Hans Furler,汉斯·富勒
Erich Hartmann,埃里希·哈特曼
Monika Ertl,莫妮卡·埃特尔
Marie Euphrosine von Pfalz-Zweibrücken-Kleeburg,瑪麗·歐芙洛緒涅
Henriette Marie von der Pfalz,普法爾茨的亨麗埃特·瑪麗
Moritz Schlick,摩里茲·石里克
Richard Freitag,里夏德·弗赖塔格
Christoph Schneider,克里斯托夫·施奈德
Erhard Milch,艾爾哈德·米爾希
Frank Luck,弗兰克·卢克
Uwe Rosenberg,乌维·罗森伯格
Alexander von Falkenhausen,亚历山大·冯·法肯豪森
Christina Ackermann,克里斯蒂娜·盖格尔
Richard zu Sayn-Wittgenstein-Berleburg,第六代塞恩-维特根斯泰因-貝勒堡親王理查
Hans von Seeckt,汉斯·冯·塞克特
Manuela Henkel,曼努埃拉·亨克尔
Ernst Tugendhat,恩斯特·图根哈特
Rainer Strecker,萊納·施特雷克
Otto Sander,奥托·桑德
Matthias Sammer,马蒂亚斯·萨默尔
Wilhelm V. von Kleve,威廉 (於利希-克里維斯-貝格)
Hertha Bothe,赫尔塔·波特
Manuel Reuter,曼努埃尔·罗伊特
Balthasar Hubmaier,胡伯邁爾
Friedrich von Baden-Durlach,弗里德里希·冯·巴登-迪拉克
Paul Hausser,保羅·豪塞爾
Brigitte Hamann,布丽吉特·哈曼
Amalie zu Solms-Braunfels,所羅門-布朗費爾斯的艾瑪莉亞
Anton Günther Herzog von Oldenburg,安东-京特尔
Dennis Bauer,登尼斯·鲍尔
Wolfram Sievers,沃爾弗拉姆·西弗斯
Heike Makatsch,希琪·麥嘉芝
Reinhold Platz,莱茵霍德·普拉茨
Matthias Pintscher,馬賽厄斯·平茨徹
Graciano Rocchigiani,格拉西亚诺·罗基贾尼
Thomas Endres,托马斯·恩德雷斯
Hans Lewy,漢斯·盧伊
Dietrich Dörner,迪特里希·多纳
Gustav Fehn,古斯塔夫·費恩
Horst von Mellenthin,霍斯特·馮·梅倫廷
Antje Buschschulte,安特耶·布施舒尔特
Wilhelm Keppler,威廉·克普勒
Götz Aly,古茨·阿莱
Wolfgang Schwanitz,沃尔夫冈·施万尼茨
Bernhard Walther,伯恩哈德·沃爾瑟
Rudi Ball,鲁迪·巴尔
Volker Zerbe,福尔克尔·策尔贝
Friedrich Blume,弗里德里希·布盧姆
Ernst II. Leopold,恩斯特·利奧波德
Maria Sibylla Merian,瑪麗亞·西碧拉·梅里安
Georg Meier,格奥尔格·迈尔
Bert Hellinger,伯特·海灵格
Johann Wilhelm,約翰·威廉 (薩克森-艾森納赫)
Ferdinand Schörner,费迪南德·舍纳尔
Eugen d’Albert,欧根·达尔伯特
Horst P. Horst,霍斯特P.霍斯特
Kurt Kuschela,库尔特·库舍拉
Elisabeth Auguste Sofie von der Pfalz,伊莉莎白·奧古斯塔·索菲
Michael Ballhaus,麥克·鮑豪斯
Joachim Ernst von Anhalt,约阿希姆·恩斯特
Sophie Charlotte von Oldenburg,奥尔登堡女大公索非亚·夏洛特
Gudrun Burwitz,古德隆·希姆莱
Frank Biela,法蘭克·比拉
Dietmar Hopp,迪特马尔·霍普
Gert-Dietmar Klause,格特-迪特马尔·克劳泽
Andreas Voßkuhle,安德烈亞斯·福士屈勒
Marika Kilius,玛丽卡·基柳斯
Arthur Korn,亞瑟·柯恩
Jens Müller,延斯·米勒
Sandro Cortese,桑德羅·科蒂斯
Wilhelm Erb,威廉·海因里希·歐勃
Leo Koenigsberger,利奥·格尼斯伯格
Eugen Netto,歐根·尼托
Hans Rademacher,汉斯·拉代马海尔
Ernst Witt,恩斯特·維特
Gotthard Heinrici,哥特哈德·海因里希
Arthur Nikisch,尼基施·阿图尔
Friedrich Georg Houtermans,弗里茨·豪特曼斯
Philip Agee,费利佩·阿吉
Harald Quandt,哈羅德·匡特
Engelbert Zaschka,安格尔贝特·扎施卡
Wilhelm List,威廉·利斯特
Joachim Peiper,约阿希姆·派佩尔
Theodor Schneider,西奧多·施奈德
Sepp Dietrich,約瑟夫·迪特里希
Traudl Junge,特劳德尔·容格
Andreas Hinkel,安德烈亚斯·欣克尔
Alexander Wendt,亚历山大·溫特
Franz Halder,弗朗茲·哈爾德
Paul von Lettow-Vorbeck,保羅·馮·萊托-福爾貝克
Magda Goebbels,玛格塔·戈培尔
Peter Schöffer,彼得·舍費爾
Dirk Raudies,德克·劳迪斯
Hans-Jürgen Bäumler,汉斯-于尔根·博伊姆勒
Carl Neuberg,卡尔·纽伯格
Paul Bachmann,保羅·巴赫曼
Grete Hermann,葛瑞特·賀爾曼
Eduard Study,愛德華·斯圖迪
Gerhard Domagk,格哈德·多馬克
Hans Adolf Krebs,汉斯·阿道夫·克雷布斯
Hermann Foertsch,赫爾曼·福爾奇
Christian Friedrich Lautenschlager,克里斯蒂安·劳滕施拉格尔
Johannes Stöffler,理查德·布羅德斯
Martin Löb,马丁·洛布
Stefan George,斯特凡·格奥尔格
Albert Betz,阿爾伯特·貝茲
Robert Förstemann,罗伯特·弗尔斯特曼
Johann Fabricius,約翰內斯·法布里丘斯
Melchior Hofmann,梅爾基奧爾·霍夫曼
Albert Göring,阿尔贝特·戈林
Christian August von Sachsen-Zeitz,克里斯蒂安·奧古斯特
Tobias Arlt,托比亞斯·阿爾特
Willy Rampf,韋利·蘭普夫
Kurt Meyer,庫爾特·邁爾
Sophie von der Pfalz,索菲娅
Werner Heyde,维尔纳·海德
Christian Gille,克里斯蒂安·吉勒
Sebastian Bachmann,塞巴斯蒂安·巴赫曼
Nicole Reinhardt,妮科尔·赖因哈特
Miriam Welte,米丽亚姆·威尔特
Herbert Albert,赫伯特·阿尔贝特
Johann Philipp von Schönborn,約翰·菲力普·馮·匈保
Jürgen Kocka,於爾根·柯卡
Rudolph Dirks,魯道夫·德克斯
Otto von Stülpnagel,奥托·冯·施蒂普纳格尔
Josef Fendt,约瑟夫·芬特
Franz Xaver Kugler,弗朗茨·克萨韦尔·库格勒
Theodor Tolsdorff,西奧多·多斯多夫
Friedrich Christian,腓特烈·克里斯蒂安 (紹姆堡-利珀)
Friedrich Ludwig Bauer,弗里德里希·L·鮑爾
Harald Schmidt,哈拉尔-施密特
Aaron Burkart,阿隆·柏卡特
Vitali Tajbert,维塔利·泰贝尔特
Maria Jakobäa von Baden,巴登-斯彭海姆的瑪麗
Lothar Thoms,洛塔尔·汤姆斯
Justus Georg Schottelius,贾斯特斯·格奥尔格·舍利斯
Alfred Hegar,恩斯特·路德维希·阿尔弗雷德·海格
Nikolaus von Falkenhorst,尼古拉斯·馮·法爾肯霍特
Johannes Blaskowitz,約翰內斯·布拉斯科維茨
Sigmund Jähn,西格蒙德·雅恩
Ernst Zermelo,恩斯特·策梅洛
Paul Hindemith,保羅·欣德米特
Johann Ernst,約翰·恩斯特
Erich I.,埃里克一世（薩克森—勞恩堡）
August Wilhelm,布伦瑞克—贝文公爵
Veronica Carstens,維羅尼卡·卡斯滕斯
Wolfgang Paul,沃尔夫冈·保罗
Albert Leo Schlageter,阿尔伯特·莱奥·施拉格特
Dita Parlo,蒂塔·保洛
Albrecht Brandi,阿爾布雷希特·布蘭迪
Kati Winkler,卡蒂·温克勒
James Last,詹姆斯·拉斯特
Hasso von Manteuffel,哈索·冯·曼陀菲尔
Stephan Vuckovic,斯特凡·武奇科维奇
Ludwig I.,路德維希一世 (普法爾茨-茨魏布呂肯)
Gustav Lombard,古斯塔夫·隆巴德
Gustav Samuel Leopold,古斯塔夫
Marie Luise von Hessen-Kassel,黑森-卡塞爾的瑪麗·路易絲
Egon Eiermann,埃貢·艾爾曼
Karl III. Philipp,普法尔茨选帝候卡尔三世菲利普
Johann II.,約翰二世
Sven Schmid,斯文·施密德
Sven Schipplock,斯文·席普洛克
Sabine Bergmann-Pohl,萨宾娜·伯格曼-普尔
Frank Ullrich,弗兰克·乌尔里希
Tom Tykwer,汤姆·提克威尔
Tobias Wendl,托比亞斯·文德爾
Georg Johann I.,格奧爾格·約翰一世
Wolfgang Preiss,沃夫剛·普雷斯
Walter Blume,華特·布盧姆
Johann Friedrich Gmelin,约翰·弗里德里希·格梅林
Hermann-Bernhard Ramcke,赫曼-柏恩哈特·雷姆克
Otto Kretschmer,奧托·克瑞奇米爾
Wilhelm Bittrich,威廉·毕特利希
Ulf Timmermann,乌尔夫·蒂默曼
Hannelore Kohl,漢內洛爾·科爾
Franziska Weber,弗兰齐斯卡·韦伯
Hans Tropsch,汉斯·托罗普施
Hans Modrow,汉斯·莫德罗
August Diehl,奥古斯特·迪尔
Albert von Thurn und Taxis,阿爾貝一世
Ernst Bloch,恩斯特·西蒙·布洛赫
Bastian Steger,巴斯蒂安·斯特格
Julius Friedrich Cohnheim,尤利烏斯·佛烈德利赫·孔海姆
Marc Acardipane,马克·特劳纳
Hans von Beseler,漢斯·哈特維希·馮·貝塞勒
Hermann Becker-Freyseng,赫爾曼·貝克－弗雷森
Wolfgang Egger,沃夫岡·艾格
Heike Drechsler,海克·德雷克斯勒
Max Raabe,马克思·拉贝
Sarah Hecken,萨拉·赫克恩
Rüdiger Gamm,吕迪格尔·加姆
Natja Brunckhorst,娜娅·布鲁克霍斯特
Annegret Kramp-Karrenbauer,安内格瑞特·克兰普-卡伦鲍尔
"Prinz Berthold, Markgraf von Baden",贝托尔德
Herbert Gille,赫爾柏特·吉勒
Gerhard Barkhorn,格爾哈德·巴克霍隆
Helmuth Weidling,黑尔姆特·魏德林
Bernhard Rensch,伯恩哈德·伦施
Dietrich von Saucken,迪特里希·馮·紹肯
Richard Glücks,理查德·格吕克斯
Woldemar Voigt,沃爾德馬爾·沃伊特
Kuno von Westarp,庫諾·馮·韋斯塔普
Liesel Westermann,莉泽尔·韦斯特曼
Sven Ottke,斯文·奥特克
Johann Andreas von Segner,约翰·安德烈亚斯·塞格纳
Josef Kentenich,约瑟夫·肯特尼
Johann von Leers,约翰·冯·莱斯
Johann Abraham Ihle,亞伯拉罕·依勒
Hans Jonas,汉斯·约纳斯
Anneliese Michel,安内利泽·米歇尔
Eugen Bolz,尤根·玻茲
Burchard von Worms,沃爾姆斯之布爾查德
Dietrich Stobbe,迪特里希·斯滔布
Günter Sawitzki,君特·萨维茨基
Paul Löbe,保罗·勒伯
Georg Keppler,喬治·克普勒
Franz-Peter Tebartz-van Elst,方濟各·伯多祿·特巴茲-凡·埃爾斯特
Stipe Erceg,斯坦奇·艾塞克
Violante Beatrix von Bayern,巴伐利亚的维奥兰特·贝娅特丽克丝
Efim Bogoljubow,葉菲姆·巴格寥夫
Robert Michels,羅伯特·米契爾斯
Erol Sander,艾羅爾·桑德斯
Niklas Luhmann,尼克拉斯·卢曼
Maurizio Gaudino,毛里齊奧·高迪洛
Olga Oelkers,奥尔加·厄尔克斯
Reinhard Genzel,萊因哈德·根舍
Ferdinand Maximilian von Baden-Baden,斐迪南·馬克西米連
Eberhard Jäckel,埃伯哈德·杰克尔
Aslı Bayram,阿斯莉·拜拉姆
Henning Voscherau,亨寧·福舍勞
Heinz Leymann,海因茨·莱曼
Walther Funk,瓦尔特·冯克
Moritz Fürste,莫里茨·菲尔斯特
Karl Jordan,卡爾·喬丹
Wilhelm Ernst,威廉·恩斯特公爵
Klaus Thunemann,克劳斯·图内曼
Leo Kirch,美國空軍第53測試評估大隊
Ferdinand von Bredow,費迪南·馮·貝里多
Erich von dem Bach-Zelewski,埃里希·馮·丹姆·巴赫－瑟留斯基
Walter Zimmermann,瓦尔特·齐默尔曼
Franz-Paul Decker,弗朗茨－保罗·德克尔
Adolf Meyer,阿道夫·梅耶
Hans Herrmann,汉斯·赫尔曼
Elisabeth Röhm,伊莉莎白·盧姆
Wilhelm II.,威廉二世
Yasmin K.,亚斯敏·K
Friedrich Tuta,邁森藩侯弗雷德里克·圖塔
Alex Wright,亚历克斯·赖特
Wilhelm Fließ,醫生
Klaus-Dieter Sieloff,克劳斯-迪特·希洛夫
Carl von Gontard,卡尔·冯·贡塔德
Jacob Balde,雅科布·巴尔德
Gottfried Benn,戈特弗里德·贝恩
Otto Deßloch,奧圖·戴斯洛赫
Stefanie Zweig,斯蒂芬妮·茨威格
Axel Zwingenberger,阿克塞尔·茨温根伯格
Marco Kreuzpaintner,马可·克罗伊茨派因特纳
Walter Krüger,瓦爾德·庫魯格
Uwe Schmidt,烏維·施密特
Hermann Helmer,赫爾曼·赫爾默
Britta Steffen,布丽塔·斯特芬
Ermanno Wolf-Ferrari,艾曼诺·沃尔夫-费拉里
Peter Duesberg,彼得·迪斯贝格
Klaus von Dohnanyi,克劳斯·冯·多赫南伊
Ludwig Müller,路德维希·穆勒
Freya von Moltke,芙蕾雅·馮·毛奇
Harry Schwarz,哈里·施瓦茨
Elsa Einstein,愛爾莎·洛文塔爾
Benno von Arent,本诺·冯·阿伦特
Georg Wenzeslaus von Knobelsdorff,格奥尔格·文策斯劳斯·冯·克诺贝尔斯多夫
Bernhard Grzimek,伯恩哈德·格日梅克
Volker Schlöndorff,沃克·施隆多夫
Karl Rahner,卡爾·拉納
Karl Allgöwer,卡尔·阿尔戈韦
Daniel Becke,达尼埃尔·贝克
Thomas de Maizière,托马斯·德梅齐埃
Ernst August I.,恩斯特·奧古斯都
Hans Pfitzner,汉斯·普菲茨纳
Erich Mielke,埃里希·梅尔克
Wilhelm Furtwängler,威廉·富特文格勒
Elisabeth Schwarzkopf,伊丽莎白·施瓦茨科普夫
Hans-Gert Pöttering,汉斯-格特·珀特林
Ludwig II.,路德維希二世 (普法爾茨-茨魏布呂肯)
Gunther von Hagens,冈瑟·冯·海根斯
Lothar von Trotha,冯·特罗塔
Christa Wolf,克里斯塔·沃尔夫
Friedrich August III.,弗里德里希·奥古斯特三世
Volker Beck,福尔克尔·贝克
Lale Andersen,拉莉·安德森
Antje Traue,安婕·特拉乌
Jost Vacano,约斯特·瓦卡诺
Gustav Noske,古斯塔夫·諾斯克
Georg Friedrich Prinz von Preußen,格奥尔格·弗里德里希
Mieczysław Pemper,米特克·彭帕
Georg Meissner,乔治·迈斯纳
Stella Goldschlag,施特拉·戈德施拉格
Ulrich Mühe,乌尔里希·穆埃
Walter Baade,沃尔特·巴德
Claire Goll,克莱尔·戈尔
Otfried Höffe,奥特弗利德·赫费
Henry Thode,亨利·托德
Emil Haussmann,埃米爾·豪斯曼
Alexander Gazsi,亚历山大·加兹西
Charlie Bauerfeind,查理·鮑爾芬德
Ernst Casimir,恩斯特·卡西米尔一世
Hans Wolfgang Singer,汉斯·辛格
Karl-Jesco von Puttkamer,卡尔-耶斯科·冯·普特卡默
Sophie Hedwig von Braunschweig-Wolfenbüttel,索菲亞·海薇格
Anna Charlotte Amalie von Nassau-Dietz-Oranien,安娜·夏洛特·阿马莉·冯·拿骚-迪茨-奥兰治
Fritz Thyssen,弗里茲·蒂森
Hermann Muhs,赫尔曼·穆斯
Wolfgang Rolff,沃尔夫冈·罗尔夫
Walter Lassally,沃特·莱斯利
Johann VI.,約翰六世
"Wilhelm Ludwig, Graf von Nassau-Dillenburg",威廉·路德维克 (拿骚-迪伦堡)
Rudolf Caracciola,鲁道夫·卡拉乔拉
Joachim Fest,約阿希姆·費斯特
Karl Hermann Frank,卡爾·赫曼·法蘭克
Günter Wand,君特·汪德
Hermann Gunkel,赫爾曼·龔克爾
Joschka Fischer,约施卡·菲舍尔
Kurt Maetzig,库尔特·马茨格
Hape Kerkeling,哈沛·科可林
Olaf Heukrodt,奥拉夫·霍伊克罗特
Marco Kurz,马尔科·库尔茨
