"Гройс, Борис Ефимович",鮑里斯·格羅伊斯
Валентина Евгеньевна Артемьева,瓦伦蒂娜·阿尔捷米耶娃
Евгений Юрьевич Томашевский,叶夫根尼·托马舍夫斯基
Светлана Андреевна Светикова,斯韦特兰娜·斯维蒂科瓦
"Пономарёв, Борис Николаевич",鮑里斯·尼古拉耶維奇·波諾馬廖夫
Татьяна Хашимовна Никитина,达吉雅娜·尼基丁
Людвиг Дмитриевич Фаддеев,路德維希·法捷耶夫
"Манагарова, Юлия Анатольевна",尤莉婭·馬娜加羅娃
Фёдор Владимирович Емельяненко,费奥多尔·叶梅利亚年科
"Погребняк, Павел Викторович",帕维尔·波格列布尼亚克
Миша Зильберман,米沙·西尔伯曼
Анатолий Николаевич Березовой,瓦連京·列別傑夫
Алексей Александрович Губарев,阿列克谢·古巴列夫
Иван Николаевич Шаповалов,伊凡·沙波瓦羅夫
Александр Яковлевич Розенбаум,亞歷山大·羅森鮑姆
"Худорошкина, Ирина Александровна",伊琳娜·胡多罗什金娜
Евгений Александрович Кафельников,耶夫格尼·卡费尔尼科夫
Николай Антонович Доллежаль,尼古拉·安东诺维奇·多列扎利
"Москалец, Светлана Владимировна",斯韦特兰娜·莫斯卡列茨
Владимир Александрович Рыжков,弗拉基米爾·雷日科夫扎
"Ускова, Яна Викторовна",扬娜·乌斯科娃
Александр Ираклиевич Метревели,亞歷克斯·梅特雷維里
Сергей Владимирович Михалков,谢尔盖·米哈尔科夫
Алексей Владимирович Березуцкий,阿列克謝·別列祖茨基
Юлия Станиславовна Савичева,尤利亚·萨维舍瓦
Константин Рауш,康斯坦丁·劳施
"Кунаков, Юрий Александрович",尤里·库纳科夫
Авет Тертерян,阿韦特·捷尔捷良
Керим Керимов,克里姆·阿利耶維奇·克里莫夫
Евгений Фёдоров,叶夫根尼·尤里耶维奇·费奥多罗夫
Григорий Наумович Чухрай,格里戈里·丘赫萊伊
Анатолий Алексеевич Логунов,阿纳托利·洛古诺夫
Андрей Владимирович Колесников,安德烈·弗拉基米罗维奇·科列斯尼科夫
Наталья Владимировна Комарова,纳塔利娅·科马罗娃
Дарья Владимировна Домрачева,達荷亞·多姆拉切娃
Олег Павлович Табаков,奧列格·塔巴科夫
Павел Владимирович Виноградов,帕维尔·维诺格拉多夫
"Шарифов, Шариф Наидгаджавович",沙里夫·沙里福夫
Сергей Николаевич Игнашевич,塞爾吉·伊格納舍維奇
Иван Иванович Бодюл,伊万·鲍久尔
Светлана Николаевна Подобедова,斯韦特兰娜·波多别多娃
"Кузнецов, Эдуард Самойлович",爱德华·库兹涅佐夫
Виктор Кресс,维克托·克列斯
"Керн, Ольга Владимировна",歐嘉·肯恩
"Москвина, Тамара Николаевна",塔瑪拉·莫斯科維娜
"Клюгин, Сергей Петрович",谢尔盖·克柳金
Кирилл Юрьевич Лавров,里爾·拉夫羅夫
"Китаенко, Дмитрий Георгиевич",德米特里·基塔延科
Николай Александрович Анненков,尼古拉·亚历山德罗维奇·安年科夫
Владимир Всеволодович Крайнев,克萊涅夫
Екатерина Александровна Сысоева,叶卡捷琳娜·索索娃
Алиса Клейбанова,阿麗莎·克萊班諾娃
Людмила Постнова,柳德米拉·波斯诺娃
Александр Степанович Викторенко,亚历山大·维克托连科
Татьяна Михайловна Лиознова,塔季扬娜·丽奥兹诺娃
"Титов, Владимир Георгиевич",弗拉基米尔·格奥尔基耶维奇·季托夫
Владимир Яковлевич Шаинский,弗拉基米爾·沙因斯基
Екатерина Сергеевна Андрюшина,叶卡捷琳娜·安德留申娜
"Пунтов, Михаил Александрович",米哈伊爾·亞歷山德羅維奇·蓬托夫
Юрий Николаевич Афанасьев,尤里·尼古拉耶维奇·阿法纳西耶夫
Сергей Карякин,谢尔盖·卡尔亚金
Владислав Витальевич Крутских,弗拉迪斯拉夫·維塔利耶維奇·克魯茨基赫
Алексей Борисович Миллер,阿列克谢·鲍里索维奇·米勒
Пётр Викторович Буслов,彼得·布斯洛夫
"Филонов, Павел Николаевич",帕维尔·菲洛诺夫
"Скрынник, Елена Борисовна",叶莲娜·斯克伦尼克
Алиса Михайловна Галлямова,阿莉莎·加里亚莫娃
"Образцова, Елена Васильевна",艾蓮娜·奧布拉茨索娃
Олег Григорьевич Макаров,奥列格·格里戈里耶·马卡罗夫
Владимир Евгеньевич Морозов,弗拉基米尔·莫罗佐夫
Николай Ефимович Андрианов,尼库莱·安德里亚诺夫
"Иванов, Николай Владимирович",尼古拉·伊万诺夫
Юрий Николаевич Озеров,尤里·奥泽罗夫
Рамзан Кадыров,拉姆赞·卡德罗夫
Сергей Чернецкий,谢尔盖·切尔涅茨基
Михаил Михайлович Южный,米哈伊爾·尤日尼
Наташа Королёва,娜塔莎·科罗列娃
Владимир Александрович Джанибеков,弗拉基米尔·扎尼别科夫
Михаил Сергеевич Галустян,米克哈尔·加拉斯蒂恩
Сулейман Абусаидович Керимов,苏莱曼·克里莫夫
"Седов, Артём Анатольевич",阿尔特姆·谢多夫
Иван Андреевич Ургант,伊万·乌尔甘特
Аркадий Аркадьевич Бабченко,阿尔卡季·巴布琴科
Илья Петрович Воробьёв,伊利亞·沃羅比耶夫
Ярослава Вячеславовна Шведова,雅羅斯拉娃·施韋多娃
Юлия Олеговна Волкова,尤莉亚·欧列伽芙娜·沃尔科娃
Рене Фазель,勒内·法斯尔
Владимир Александрович Котельников,弗拉基米爾·科捷利尼科夫
Иван Владимирович Дыховичный,伊萬·杜霍維奇恩伊
"Черенчиков, Иван Андреевич",伊凡‧切倫奇柯夫
"Кузнецов, Евгений Владимирович",叶夫根尼·库兹涅佐夫
"Симонов, Михаил Петрович",米哈伊尔·佩特罗维奇·西蒙诺夫
Леонид Васильевич Потапов,列昂尼德·波塔波夫
Иван Петрович Рыбкин,伊万·雷布金
Олег Анатольевич Чиркунов,奥列格·阿纳托利耶维奇·奇尔库诺夫
"Ельцова, Марина Алексеевна",埃特索娃
"Лаврик, Андрей Иванович",安德烈‧拉夫里克
Аркадий Никитич Воробьёв,阿尔卡季·沃罗比约夫
"Гусаров, Геннадий Александрович",根納季·亞歷山大羅維奇·古薩羅夫
Николай Платонович Патрушев,尼古拉·帕特魯舍夫
"Ибрагимов, Магомед Абдулмуминович",穆罕默德·阿卜杜勒穆米诺维奇·易卜拉欣莫夫
Владимир Антонович Ивашко,弗拉基米尔·安东诺维奇·伊瓦什科
Юрий Каспарян,尤里·卡斯帕良
Юрий Бондарев,尤里·瓦西里耶维奇·邦达列夫
Анатолий Яковлевич Соловьёв,阿纳托利·索洛维约夫
Юлия Обертас,尤利娅·欧博塔斯
"Мухортова, Мария Владимировна",穆科霍托娃
"Кулакова, Галина Алексеевна",加林娜·庫拉寇娃
Елена Николаевна Батурина,叶连娜·巴图林娜
"Рожков, Михаил Викторович",米凱爾‧羅茲科夫
Алексей Маратович Орлов,阿列克赛·奥尔洛夫 (政治家)
Людмила Георгиевна Зыкина,柳德米拉·格奥尔基耶芙娜·泽金娜
Станислав Саламович Черчесов,斯塔尼斯拉夫·切尔切索夫
"Якунин, Владимир Иванович",弗拉基米尔·伊万诺维奇·亚库宁
Валентина Зеляева,瓦伦蒂娜·赞亚娃
Артём Вячеславович Овчаренко,阿尔乔姆·奥夫查连科
Ибрагим Гасанбекович Гасанбеков,伊布拉希姆·佳森别科夫
Дмитрий Евгеньевич Галковский,德米特里·加爾科夫斯基
Елена Сергеевна Катина,列娜·谢尔盖耶芙娜·卡其娜
Андрей Донатович Синявский,安德烈·陀纳妥维奇·西尼亚夫斯基
Светлана Иосифовна Аллилуева,斯维特兰娜·阿利卢耶娃
"Черток, Борис Евсеевич",鲍里斯·切尔托克
Геннадий Михайлович Стрекалов,根纳季·斯特列卡洛夫
"Филиппов, Алексей Фёдорович",阿列克謝·費奧多羅維奇·費力波夫
Арсен Липаритович Аветисян,阿辛·艾維迪斯恩
"Ле Таллек, Дамьен",達米安·拿泰歷
Виктор Фёдорович Аристов,維克·阿利斯托夫
