код игры Riot Pixels,Riot Pixels遊戲識別碼
колтта-саамский язык,斯科爾特薩米語
Горномарийский район,戈爾諾馬里斯基區
Поволжские немцы,伏尔加德意志人
Козельск,科澤利斯克
СКА,羅斯托夫陸軍俱樂部
Кочковский район,科奇科夫斯基區
Абаканский хребет,阿巴坎山
Торопецко-Холмская операция,庫姆包圍戰
Когалым,科加雷姆
Кодинск,科金斯克
автономная область Российской Федерации,俄罗斯自治州
Прогресс,進步號太空船
Кола,科拉
Кологрив,科洛格里夫
буддизм в Бурятии,布里亞特佛教
Кондопога,孔多波加
Конаково,科納科沃
Кунцево,孔策沃区
Большой Черемшан,大切列姆尚河
МЭИ,莫斯科动力学院
Сунженский район,孫任斯基區
Курган,库尔干
Торпедо,莫斯科鱼雷足球俱乐部
Росгартенские ворота,羅斯加滕門
Никольское,尼科利斯科耶
Лодейное Поле,洛傑伊諾耶波列
Любань,柳班
башкирский язык,巴什基尔语
Колпино,科爾皮諾
Бокситогорск,博克西托戈爾斯克
Национал-большевистская партия,国家布尔什维克党
Колпашево,科爾帕舍沃
Белые ночи,白夜羽毛球賽
Пикалёво,皮卡廖沃
Российский футбольный союз,俄羅斯足球聯會
Белое озеро,別洛耶湖 (列寧格勒州)
Каменногорск,卡緬諾戈爾斯克
Кингисепп,金吉谢普
Ивангород,伊万哥罗德
Шлиссельбург,什利謝利堡
Ледовое побоище,楚德湖战役
Орешек,什利谢利堡
Козловка,科茲洛夫卡
Козьмодемьянск,科茲莫傑米揚斯克
Боспорское царство,博斯普鲁斯王国
Европейский маршрут E22,欧洲E22公路
Московский международный кинофестиваль 1965,第4屆莫斯科國際電影節
Катынь,卡廷
Тосно,托斯諾
Новая Ладога,新拉多加
Ладожское озеро,拉多加湖
Суздаль,苏兹达尔
Высоцк,維索茨克
Северная Кельтма,北克利特馬河
Большой Московский Государственный цирк,莫斯科国家马戏团
Институт востоковедения РАН,俄罗斯科学院东方学研究所
Копейск,科佩伊斯克
Сертолово,謝爾托洛夫
Сланцы,斯蘭齊
Всеволожск,弗謝沃洛日斯克
Российский государственный педагогический университет им. А. И. Герцена,赫爾岑大學
МГИМО,莫斯科國立國際關係學院
Кирха памяти королевы Луизы,加里寧格勒木偶劇場
Светогорск,斯韋托戈爾斯克
Приморск,普里莫爾斯克
Европейский маршрут E40,欧洲E40公路
Ваеньга,瓦延加河
Кичменьга,基奇緬加河
Кольчугино,科利丘吉諾
Комсомольск,共青城
Кубок России по футболу,俄罗斯杯
Подпорожье,波德波羅日耶
Апшеронск,阿普歇倫斯克
Армавир,阿尔马维尔
Отрадное,奧特拉德諾耶
Яблоко,亚博卢党
Дружба,友谊输油管道
Горбачёв-Фонд,戈尔巴乔夫基金会
Голиаф,歌利亚发射机
Тихвин,季赫溫
Сосновый Бор,索斯諾維博爾
Белореченск,別洛列琴斯克
Коркино,科尔基诺
Тазовская губа,塔茲河口
Динамо,莫斯科迪纳摩足球俱乐部
Кореновск,科列諾夫斯克
Кропоткин,克魯泡特金
Сихотэ-Алинь,锡霍特山脉
Лабинск,拉賓斯克
Королёв,科羅廖夫
Оборона Севастополя,塞瓦斯托波爾圍城戰
Линия Маннергейма,曼纳海姆防线
Красновишерск,克拉斯諾維舍爾斯克
Корожечна,科羅熱奇納河
Абинск,阿宾斯克
Красное Село,紅村
яйцо Фаберже,法貝熱彩蛋
Анапа,阿纳帕
Корсаков,科尔萨科夫
Красногорск,克拉斯諾戈爾斯克
Новороссийск,新罗西斯克
Темрюк,捷姆留克
Коряжма,科里亞日馬
Костерёво,科斯捷列沃
Кондрово,孔德羅沃
Константиновск,康斯坦丁諾夫斯克
Восточный Маныч,東馬內奇河
Котлас,科特拉斯
Томь,托木斯克汤姆足球俱乐部
Котово,科托沃
Котовск,科托夫斯克
Плесецк,普列谢茨克航天发射场
Лукойл,卢克石油
Геленджик,格連吉克
Золотые горы Алтая,阿爾泰金山
Кохма,科赫馬
Звёздный городок,星城
Южно-Сахалинская апостольская префектура,天主教南薩哈林斯克宗座監牧區
Шантарские острова,尚塔尔群岛
Шахматная олимпиада 1998,第33届国际象棋奥林匹克
Листвянка,利斯特維揚卡
Котельнич,科捷利尼奇
Среднесибирское плоскогорье,中西伯利亞高原
Кораблино,科拉布利諾
Туруханск,圖魯漢斯克
Калининградский полуостров,桑比亚半岛
Первый канал,第一頻道
Нижегородский метрополитен,下諾夫哥羅德地鐵
ОКБ имени Яковлева,雅科夫列夫
Чудско-Псковское озеро,楚德湖
Первоуральск,第一烏拉爾斯克
Брянская областная Дума,布良斯克州杜马
Тихоокеанское вулканическое огненное кольцо,环太平洋火山带
история Москвы,莫斯科歷史
Серпуховская,謝爾普霍夫站
Нальчик,納爾奇克機場
Янаульский район,亞納烏爾區
медаль ордена «За заслуги перед Отечеством»,祖国功勋奖章
Остров Брайса,布賴薩島
Котельниково,科捷利尼科沃
Костомукша,科斯托穆克沙
Котельники,科捷利尼基
МММ,MMM騙局
Сердце Чечни,艾哈邁德-卡德羅夫清真寺
Ахмат-Арена,捷列克体育场
Ленинский район,列寧區
Ахтанг,阿赫坦格火山
Кремёнки,克列苗恩基 (卡卢加州)
Кронштадт,喀琅施塔得
Эльбрусский район,埃利布魯斯基區
Анжи,马哈奇卡拉安郅足球俱乐部
Краснозаводск,克拉斯諾扎沃茨克
Краснознаменск,紅茲納緬斯克
грузины,喬治亞人
Краснокаменск,克拉斯諾卡緬斯克
Краснокамск,克拉斯诺卡姆斯克
Гулькевичи,古利克維奇
Малый Чембар,小切姆巴爾河
Крымск,克雷姆斯克
Курганинск,庫爾加寧斯克
Краснознаменск,克拉斯諾茲納緬斯克
Подольск,波多利斯克
Октябрьск,十月鎮
керекский язык,克列克語
Международный аэропорт Гагарин,加加林國際機場
Новошахтинск,新沙赫京斯克
Великая река,韋利卡亞河
Горгиппия,高爾基比亞
Государственный Совет Республики Коми,科米共和国国家议会
Забайкальск,外貝加爾斯克
Красноармейск,红军城
Красавино,克拉薩維諾
Красноармейск,紅軍城
Таймырская впадина,泰梅爾盆地
Главное адмиралтейство в Санкт-Петербурге,海军部大厦 (圣彼得堡)
Шешма,舍什馬河
Куйбышев,古比雪夫
Кулебаки,庫列巴基
Луч,安拿吉耶
Чапаев,蘇俄彈戲
Антропово,安图罗波夫
Краснослободск,克拉斯諾斯洛博茨克
Капша,卡普沙河
Ахтуба,阿赫圖巴河
Ахты,阿幹提
Ахтырский,阿赫特尔斯基
Кстово,克斯托沃
Кубинка,庫賓卡
Белинский район,別林斯基區
Симферополь,辛菲罗波尔
Краснослободск,克拉斯諾斯洛博茨克
Краснотурьинск,克拉斯诺图林斯克
Красноуральск,克拉斯諾烏拉爾斯克
Российская академия музыки имени Гнесиных,格涅辛音乐学院
Чадобец,恰多別茨河
Удачная,乌达齐纳亚矿场
Набережные Челны,卡马河畔切尔尼
Маттиас Варниг,马蒂亚斯·沃尼格
Российско-финляндские отношения,芬蘭－俄羅斯關係
Острог,俄罗斯营垒
Кунгур,昆古爾
Красноуфимск,克拉斯諾烏菲姆斯克
Красный Кут,紅庫特
Магнитогорск,马格尼托哥尔斯克
