Paris,巴黎
Poiseul-lès-Saulx,普瓦瑟勒莱索
euro,歐元
Voudenay,武德奈
Asnan,阿南
Arleuf,阿尔勒夫
Vonges,翁日
Dissangis,迪桑吉
Gemeaux,热莫
Kindwiller,金德维莱尔
Lelling,莱兰
Saales,萨勒
Geudertheim,热代尔坦
Courtoin,库尔图万
Villaines-les-Prévôtes,维莱讷莱普雷沃特
Kolbsheim,科尔布桑
Frœschwiller,弗勒什维莱尔
Vosne-Romanée,沃讷-罗马内
Les Essarts-le-Roi,莱塞萨尔勒鲁瓦
Forstheim,福斯泰姆
Kriegsheim,克里耶格桑
Beire-le-Châtel,贝尔勒沙泰勒
Villadin,维拉丹
Arceau,阿尔索
Domecy-sur-le-Vault,多姆西叙勒沃
Chassignelles,沙西涅勒
Beaumont-sur-Vingeanne,万雅讷河畔博蒙
Aulne,欧讷河
Tour Part-Dieu,里昂信贷银行大厦
cité internationale de Lyon,国际城
Authiou,欧蒂乌
Gertwiller,热尔特维莱
Villars-et-Villenotte,维拉尔和维勒诺特
plateau de Saclay,萨克雷高地
Paisy-Cosdon,派西科东
cathédrale Sainte-Cécile d'Albi,阿尔比主教座堂
Wasselonne,瓦斯洛讷
Dannemoine,达讷穆瓦讷
Bèze,贝兹
Cocheren,科什伦
Blagny-sur-Vingeanne,万雅讷河畔布拉尼
Oberdorff,奥贝尔多尔
Schœnbourg,申堡
Belleneuve,贝勒讷沃
Vernot,韦尔诺
Keffenach,克费纳克
Grandfontaine,格朗方丹
Breitenbach,布雷唐巴克
Heidolsheim,艾多尔赛姆
Chevillon,谢维隆
Cuiserey,屈斯雷
Hœnheim,厄奈姆
Schweighouse-sur-Moder,莫代尔河畔什韦古斯
Alligny-Cosne,阿利尼科讷
Saint-Pierre,圣皮埃尔
Gougenheim,古格奈姆
Bézouotte,贝祖奥特
Chambeugle,尚伯格勒
Jancigny,让西尼
La Vancelle,拉旺塞勒
Hegeney,埃热内
Charmes,沙尔姆
Kesseldorf,克塞尔多尔
Garonne,加龍河
Brive-la-Gaillarde,布里夫拉盖亚尔德
Gottesheim,戈特赛姆
Armes,阿尔姆
flamand occidental,西佛蘭德語
funiculaire de Montmartre,蒙马特缆车
funiculaire de Pau,波城缆车
funiculaire du pic du Jer,热尔顶缆车
funiculaire de Thonon-les-Bains,托农莱班缆车
Mirebeau-sur-Bèze,贝兹河畔米尔博
Soufflenheim,苏夫勒奈姆
Magny-Saint-Médard,马尼圣梅达尔
Niedervisse,尼代尔维斯
Cheney,舍内
Uberach,于伯拉赫
Heiligenstein,埃利让斯坦
Volmerange-les-Mines,沃尔默朗日莱米讷
Collan,科朗
Diges,迪日
Coupe du monde de football 1998,1998年世界盃足球賽
Gottenhouse,戈特努斯
Cheuge,舍日
Coulangeron,库朗日龙
Ottrott,奥特罗特
Krautergersheim,克罗泰尔热尔桑
Bischwiller,比什维莱尔
championnat de France de rugby à XV,法国橄榄球冠军联赛
championnat de France de rugby à XV de 2e division,法国橄榄球乙级联赛
Kienheim,基奈姆
Sarlat-la-Canéda,萨拉拉卡内达
pont George-V,喬治五世大橋
pente d'eau de Montech,蒙泰克水坡
funiculaire du Havre,勒阿弗尔缆车
Forstfeld,福斯特费尔德
Boussenois,布斯努瓦
département français,省
Avignon,亞維農
Lauterbourg,洛泰堡
Fouday,富代
Champagne-sur-Vingeanne,万雅讷河畔香槟
Sacquenay,萨克奈
Noiron-sur-Bèze,贝兹河畔努瓦龙
Montpellier,蒙彼利埃
Provence,普罗旺斯
Troyes,特鲁瓦
Parti pirate,海盗党
Pays basque français,北巴斯克地区
porte Noire,黑门 (贝桑松)
viaduc de Millau,米約高架橋
Renève,勒内沃
Bertrange,贝尔特朗日
Freyming-Merlebach,弗雷曼-梅尔勒巴克
Mittelbergheim,米泰尔贝尔甘
Tanay,塔奈
Kirchheim,基尔沙伊姆
Vernois-lès-Vesvres,韦尔努瓦莱韦夫尔
Trochères,特罗谢尔
Entzheim,恩赛姆
Riedseltz,里耶德塞尔特
Gingsheim,京赛姆
Chazeuil,沙泽伊
Oisilly,瓦西伊
Goetzenbruck,格岑布吕克
Failly,法伊
Keskastel,凯斯卡斯泰勒
Véronnes,韦罗讷
Séfarade,塞法迪犹太人
Foncegrive,丰斯格里沃
Selongey,瑟隆热
Léman,萊芒湖
Savolles,萨沃勒
Orville,奥维尔
Meistratzheim,迈斯特拉蔡姆
Viévigne,维耶维涅
Orléans,奥尔良
Breidenbach,布赖登巴赫
prise de la Bastille,攻占巴士底狱
Révolution française,法国大革命
Libourne,利布爾訥
Neustrie,紐斯特里亞
Memmelshoffen,梅默尔索芬
Auguste et Louis Lumière,盧米埃兄弟
Narbonne,纳博讷
kali'na,卡利纳語
angevin,安茹法语
Glatigny,格拉蒂尼
Brulange,布吕朗日
Voulpaix,武尔派
mur de l'Atlantique,大西洋壁壘
Barst,巴尔斯特
Tupigny,蒂皮尼
Deuxième République,法蘭西第二共和國
Pontivy,蓬蒂维
Morsbronn-les-Bains,莫尔斯布龙莱班
Bettelainville,贝特兰维尔
Occitanie,奥克西塔尼亚
Breistroff-la-Grande,大布雷斯特罗
Bérig-Vintrange,贝里格-万特朗日
Calais,加来
Eckartswiller,埃卡茨维莱尔
Saint-Pierre-Bois,圣皮埃尔布瓦
Hellimer,埃利梅尔
Périgueux,佩里格
Altrippe,阿尔特里普
Obenheim,奥伯奈姆
Première République française,法兰西第一共和国
Haspelschiedt,阿斯珀尔希特
Monarchie de Juillet,七月王朝
Reichshoffen,赖什索芬
musée maritime fluvial et portuaire de Rouen,鲁昂海事、内河航运和港口博物馆
Diffembach-lès-Hellimer,迪方巴克莱埃利梅
Forcalquier,福卡尔基耶
Juigné-sur-Sarthe,萨尔特河畔瑞涅
Carcassonne,卡尔卡松
Cléry-sur-Somme,索姆河畔克莱里
Diesen,迪森
Schwindratzheim,什温德拉蔡姆
Camblain-Châtelain,康布兰沙特兰
Soultz-les-Bains,苏尔茨莱班
Agen,阿让
Saint-Martial-de-Valette,圣马夏尔德瓦莱特
Cipières,锡皮耶尔
Poitiers,普瓦捷
théâtre de la Commune,市镇剧场
Vannes,瓦讷
Charte européenne des langues régionales ou minoritaires,歐洲區域或少數民族語言憲章
Odratzheim,奥德拉蔡姆
Niederhausbergen,尼德奥斯贝根
Mothern,莫泰恩
Contay,孔泰
route européenne,欧洲高速公路
Pfaffenhoffen,普法弗诺芬
Wilwisheim,维尔维赛姆
Mittelschaeffolsheim,米泰尔斯沙埃福尔桑
canton de Condé-en-Brie,布里地区孔代县
communauté de Taizé,泰澤團體
Pfalzweyer,普法尔兹韦埃
Combles,孔布勒
Trimbach,特里姆巴克
Betting,贝坦
Contalmaison,孔塔尔迈松
Sarcelles,萨塞勒
Cerbère,塞贝尔
cuisine française,法國飲食文化
Wittersheim,维泰尔桑
Ammertzwiller,阿梅尔茨维莱尔
Synchrotron Soleil,法国SOLEIL同步辐射加速器
famille Bonaparte,波拿巴王朝
Strasbourg,斯特拉斯堡
Oberbronn,奥伯布龙
prix Médicis,美第西斯奖
Chépy,谢皮
Steenvoorde,斯滕福德
Condé-Folie,孔代福利
Reutenbourg,勒唐布尔
cathédrale Notre-Dame d'Amiens,亚眠主教座堂
Anjou,安茹
Le Perthus,勒佩尔蒂斯
histoire de la mode en France,法國時尚
Garons,加龙
Ipsen,益普生基金會
Ebersheim,埃伯赛姆
Monswiller,蒙斯维莱
Cizancourt,锡藏库尔
Saint-Avold,聖阿沃爾德
Coincy,宽西
Wintzenheim-Kochersberg,温策奈姆-科克斯贝格
Citerne,锡泰尔讷
Fegersheim,费格赛姆
Phénix,鳳凰號
château d'Azay-le-Rideau,阿宰勒里多城堡
Sessenheim,塞瑟奈姆
paix d'Amiens,亞眠和約
Trophée des champions 2012,2012年法国超级杯
La Chavatte,拉沙瓦特
droit numérique,數位權利
ligne de Thionville à Apach,蒂永维尔－阿帕克铁路
Coisy,夸西
Chirmont,希尔蒙
Mommenheim,莫默奈姆
Citroën,雪铁龙
Russ,吕斯
Schwobsheim,斯克沃布桑
Chuignolles,许尼奥勒
Gries,格里斯
Mézilhac,梅济亚克
Perpignan,佩皮尼昂
Steige,斯泰日
Saint-Cyr-l'École,圣西尔莱科勒
Reynès,雷内斯
Céret,塞雷
Champien,尚皮安
Renault,雷诺
Rott,罗特
Hindisheim,因迪赛姆
Union astronomique internationale,國際天文聯會
Furdenheim,菲尔德奈姆
Ingolsheim,英戈尔赛姆
Singrist,辛格里斯特
Griesheim-près-Molsheim,莫尔塞姆附近格里赛姆
Collorec,科洛雷克
Coigneux,夸尼厄
Conteville,孔特维尔
Plouray,普卢赖
Contoire,孔图瓦尔
Franxault,弗朗克索
Mai 68,五月風暴
Rittershoffen,里泰尔索方
Peugeot,標緻汽車
Reinhardsmunster,雷纳尔德斯曼斯泰
Rosières-en-Santerre,桑泰尔地区罗西耶尔
Ringendorf,林根多夫
Solbach,索尔巴克
Cocquerel,科克雷勒
Chuignes,许涅
Chaulnes,绍讷
Herrlisheim,埃尔利赛姆
Chaussoy-Epagny,绍苏瓦埃帕尼
Authion,欧蒂永河
Rigaud,里戈
pic du Canigou,卡尼古峰
Coustouges,库斯图日
Berliet,贝利埃
Dijon,第戎
Banyuls-sur-Mer,滨海巴纽尔斯
Epfig,埃普菲格
Ebersmunster,埃伯斯明斯特
boutifarre,米血糕
Innenheim,伊讷奈姆
Lyons-la-Forêt,里昂斯拉福雷
Bièvres,比耶夫尔
Chipilly,希皮利
natation aux Jeux olympiques d'été de 1900,1900年夏季奥林匹克运动会游泳比赛
canton de Muret,米雷县
Beauce,博斯平原（Beauce）
Rapa,小拉帕島
Chilly,希利
Lalaye,拉莱
Ruminghem,吕曼盖姆
Fitou,菲图
Pagny-le-Château,帕尼堡
championnats du monde de patinage artistique 1952,1952 巴黎
Commandement des actions spéciales - Terre,法國陸軍特種部隊指揮部
canton de Castanet-Tolosan,卡斯塔内托洛桑县
Goxwiller,戈克斯维莱尔
catalan,加泰罗尼亚语
Corsavy,科尔萨维
Contre,孔特尔
Vaucouleurs,沃库勒尔
Huttenheim,于特奈姆
Aigues-Vives,艾格维沃
Cusy,屈西
championnat de France de football 1974-1975,1974–75 法甲
Frasne-le-Château,弗拉讷堡
Huttendorf,于滕多夫
Niedersteinbach,涅代尔斯坦巴克
Clairy-Saulchoix,克莱里-索尔舒瓦
Schaffhouse-près-Seltz,塞尔茨附近沙富斯
Seebach,塞埃巴克
Lembach,朗巴克
La Chaumusse,拉绍米斯
Issenhausen,伊瑟瑙森
Amélie-les-Bains-Palalda,阿梅利莱班-帕拉尔达
Maisonsgoutte,迈松古特
Taillet,塔耶特
Eckwersheim,埃克韦尔桑
Challans,沙朗
Schirmeck,希尔梅克
Messas,梅萨
Niedersoultzbach,涅代尔苏尔特兹巴克
Mittelhausen,米特劳森
Melsheim,梅尔赛姆
Offendorf,奥芬多夫
Niederlauterbach,尼德劳特巴克
Montferrer,蒙费雷
Elsenheim,埃尔瑟奈姆
Moreuil,莫勒伊
Puig Neulós,内乌洛斯峰
La Chaussée-Tirancourt,拉绍塞蒂朗库尔
Aigues-Juntes,艾格然特
Minversheim,曼韦尔桑
Friesenheim,弗里瑟奈姆
Erckartswiller,埃尔卡尔特斯维莱
Ingwiller,英维莱尔
Saint-Éloi-de-Fourques,圣埃卢瓦德富尔克
Marseilles-lès-Aubigny,马赛莱索比尼
Marville,马尔维尔
arc de Germanicus,日耳曼门
Ilévia,里爾城市公共交通Ilevia
Magistrale européenne,欧洲中轴线
bataille de Varaville,瓦拉維爾戰役
Gouraincourt,古兰库尔
Gresswiller,格雷斯维莱尔
Colincamps,科兰康
Bonaparte franchissant le Grand-Saint-Bernard,跨越阿尔卑斯山圣伯纳隘道的拿破仑
L'Aiguillon,莱吉永
Furchhausen,菲尔绍森
Cuy,屈伊
Fleury-devant-Douaumont,弗勒里德旺杜欧蒙
Wangenbourg-Engenthal,旺根堡-恩根塔勒
Kuttolsheim,屈托尔赛姆
Alliat,阿利亚
Bourguignon-lès-Conflans,布吉尼翁莱孔夫朗
Varennes-en-Argonne,阿戈讷地区瓦雷讷
Ottwiller,奥特维莱尔
L'Île-d'Yeu,利勒迪约
Vadelaincourt,瓦德兰库尔
Mangiennes,芒日耶讷
Chichery,希什里
Ohnenheim,奥讷奈姆
Rosoy-en-Multien,米尔蒂安地区罗苏瓦
canton du Grand-Quevilly,大克维伊县
Oms,奥姆斯
Souffelweyersheim,苏弗尔韦耶赛姆
Hurtigheim,于尔蒂盖姆
équipe de France de football à la Coupe du monde 2002,2002年世界杯足球赛法国队
Coulours,库卢尔
Sorbey,索尔贝
Bouc-Bel-Air,布克贝莱尔
Niederhaslach,涅德拉斯拉克
Aleu,阿勒
Nouillonpont,努永蓬
Censy,桑西
Dommary-Baroncourt,多马里-巴龙库尔
Alos,阿洛
Domats,多马
Villers-lès-Mangiennes,维莱莱芒日耶讷
Wisches,维什
néerlandais,荷蘭語
Friedolsheim,弗里多尔赛姆
Albiès,阿尔比耶斯
Herbitzheim,埃比蔡姆
Maureillas-las-Illas,莫雷亚斯-拉西亚斯
Ranrupt,朗吕
Calmeilles,卡尔梅耶
Marmoutier,马尔穆捷
Wingen,温根
Saint-André-en-Barrois,巴鲁瓦地区圣安德烈
Sarrebourg,萨尔堡
Florange,弗洛朗日
Toulouse,圖盧茲
Erstein,埃尔什泰因
Allières,阿利耶尔
Forest-Montiers,福雷蒙捷
Menchhoffen,门绍芬
Senon,瑟农
Lemmes,莱姆
Wiwersheim,维韦尔桑
archipel de la Société,社會群島
stade Francis-Turcan,弗朗西斯·蒂尔康球场
Sarrewerden,萨尔韦登
Boulay-Moselle,布莱摩泽尔
Rupt-sur-Othain,奥坦河畔吕
Reichstett,赖什泰特
Hinsingen,因辛根
Jeux olympiques de 1900,1900年夏季奥林匹克运动会
Saint-Pierrevillers,圣皮埃尔维莱
Rouvrois-sur-Othain,奥坦河畔鲁夫鲁瓦
Renazé,勒纳泽
Eckbolsheim,埃克博尔赛姆
Champs-sur-Yonne,约讷河畔尚
Arte,Arte
Rigney,里涅
Duzey,迪泽
Dardilly,达尔迪伊
Fromezey,弗罗默泽
Arles-sur-Tech,泰克河畔阿尔勒
Étricourt-Manancourt,埃特里库尔-马南库尔
Oullins,乌兰
Wissembourg,维桑堡
Dalhunden,达伦登
Auxelles-Bas,下欧克塞勒
Rupt-devant-Saint-Mihiel,吕德旺圣米耶勒
canton de Chelles,谢勒县
Lergue,萨拉古河
Windstein,万德斯坦
Saint-Hilaire-en-Woëvre,瓦夫尔地区圣伊莱尔
Wingersheim,温格赛姆
Albé,阿尔贝
Illkirch-Graffenstaden,伊尔基什-格拉芬什塔登
Jeurre,热尔
rue de la République,共和国街
rue Victor-Hugo,雨果街
basilique Saint-Bonaventure,圣文德堂
église Saint-Nizier de Lyon,圣尼济耶教堂
Presqu'île,半岛
Les Brotteaux,莱布罗托
Brumath,布吕马特
Grand Prix automobile de France,法國大獎賽
La Confluence,拉孔夫吕昂斯
Petit Trianon,小特里亚农宫
Ringeldorf,林格尔多夫
Schiltigheim,希尔蒂盖姆
Tille,蒂爾河
Ételfay,埃泰尔费
Wintzenbach,温岑巴赫
Ostwald,奥斯特瓦尔德
Saint-Amand-sur-Ornain,奥尔南河畔圣阿芒
Saulxures,索叙尔
économie de la France,法國經濟
Abainville,阿班维尔
Flaucourt,弗洛库尔
Engwiller,恩维莱尔
Grand Trianon,大特里亚农宫
Véry,韦里
Spincourt,斯潘库尔
Vézère,韦泽尔谷
Barguelonne,巴格洛訥河
Racing 92,上塞纳省橄榄球俱乐部
canton de Brienon-sur-Armançon,阿尔芒松河畔布列农县
tramway du Havre,勒阿弗爾電車
palais de la Bourse,證交所宮
Jeux olympiques d'été de 1924,1924年夏季奥林匹克运动会
Kutzenhausen,屈特泽诺桑
Geispolsheim,盖斯波尔赛姆
Rupt-aux-Nonains,吕欧诺南
Apach,阿帕克
Sarreguemines,萨尔格米讷
Villers-le-Sec,维莱勒塞克
Montiers-sur-Saulx,索河畔蒙捷
Ménilmontant,梅尼尔蒙唐站
Éterpigny,埃泰尔皮尼
Dalem,达朗
Billy-sous-Mangiennes,比伊苏芒日耶讷
Schaffhouse-sur-Zorn,佐尔恩河畔斯沙富斯
palais des sports de Lyon,热尔朗体育公园
Tournoi de tennis de Lyon,里昂公開賽
Open de Montpellier,法國南部公開賽
Ferrières,费里耶尔
Blanche-Église,布朗什埃格利斯
Porte d'Orléans,奧爾良門站
musée des Confluences,汇流博物馆
Saint-Jean-lès-Buzy,圣让莱比济
Thionville,蒂永维尔
Ottersthal,奥特斯塔勒
Dives,迪沃河
canton de Villefranche-de-Rouergue,鲁埃格自由城县
Makatea,馬卡泰阿島
passage de l'Argue,白银廊街
passage Pommeraye,波默海耶廊街
musée d'Art contemporain de Lyon,里昂當代藝術博物館
Centre d'histoire de la résistance et de la déportation,抵抗运动史和流放史中心
Plauzat,普洛扎
Neuviller-la-Roche,讷维莱尔拉罗什
Sparsbach,斯帕尔斯巴克
boulevard périphérique de Lyon,里昂环城大道
Grand Parc de Miribel-Jonage,米里贝勒-若纳日大公园
Gadagne,加达涅博物馆
Dieuze,迪约兹
Forbach,福尔巴克
canal de Jonage,若纳日运河
centrale hydroélectrique de Cusset,屈塞水电站
Rumont,吕蒙
guerre de Vendée,旺代戰爭
fort de Bron,布龙城堡
lycée du Parc,公园中学
Parc Olympique lyonnais,盧米埃爾球場
Saint-Aubin-sur-Aire,艾尔河畔圣欧班
Fieffes-Montrelet,菲耶弗蒙勒莱
canton d'Hérouville-Saint-Clair,埃鲁维尔圣克莱尔县
Monts du Lyonnais,里昂山
Embreville,昂布勒维尔
Vieux Lyon,里昂老城
bateau-mouche,蒼蠅船
île Barbe,巴尔布岛
rue du Bœuf,牛街
rue Saint-Jean,圣若望街
palais de justice historique de Lyon,里昂正義宮
Hoffen,奥芬
Offwiller,奥夫维莱尔
Roscanvel,罗斯康韦勒
Fescamps,费斯康
Leutenheim,勒伊特奈姆
Xivray-et-Marvoisin,克西夫赖和马尔瓦桑
Mittelhausbergen,米泰约斯贝尔让
Loison,卢瓦松
Championnat d'Europe de Formule 3,國際汽車聯盟歐洲三級方程式盃
Sepvigny,塞普维尼
Amel-sur-l'Étang,阿梅勒叙莱唐
Favières,法维耶尔
Saint-Jean-Pla-de-Corts,圣让普拉德科尔
Vaudoncourt,沃东库尔
La Sortie de l'usine Lumière à Lyon,离开工厂
jardin botanique de Lyon,里昂植物園
jardin Rosa Mir,罗莎米尔花园
Mietesheim,米特赛姆
Oermingen,厄尔明根
24 Heures du Mans 1994,1994年勒芒24小时耐力赛
Saint-Florent-le-Vieil,旧圣弗洛朗
Salenthal,萨伦塔勒
Bletterans,布莱特朗
Bouligny,布利尼
Rexingen,雷克辛根
Saint-Laurent-sur-Othain,奥坦河畔圣洛朗
collège-lycée Ampère,安培中学
Corentin Cariou,科朗坦·卡里乌站
aéroport de Moorea,茉莉亞機場
Merkwiller-Pechelbronn,梅尔克维莱佩谢尔布龙
Arrancy-sur-Crusnes,克吕讷河畔阿朗西
montée du Gourguillon,古尔吉永斜坡
église Saint-Bruno des Chartreux,圣勃伦诺堂
Université catholique de Lyon,里昂天主教大學
Étalon,埃塔隆
Estrées-sur-Noye,努瓦河畔埃斯特雷
yiddish,意第緒語
Le Boulou,勒布卢
montée de la Grande-Côte,大岸坡道
Molsheim,莫尔塞姆
tour Incity,城市大廈
temple du Change,交易所教堂
La Croix-Rousse,红十字山
Matzenheim,马策奈姆
Haguenau,阿格诺
Bindernheim,班代尔南
Niederschaeffolsheim,尼德谢福尔赛姆
Domremy-la-Canne,栋雷米拉卡讷
Lampertsloch,朗佩尔特斯洛克
Obernai,奥贝奈
Hettange-Grande,大埃唐日
tramway de Brest,布雷斯特有轨电车
Saint-Germain-sur-Meuse,默兹河畔圣日耳曼
basque,巴斯克語
Transports en commun lyonnais,里昂公共交通
traité de Versailles,凡尔赛条约
OpenSkies,開放天空
L'Étoile,莱图瓦勒
Warcq,瓦尔克
Saint-Jean-Saverne,圣让萨韦尔讷
Fay,费村
arménien,亞美尼亞語
Kanfen,坎芬
Landersheim,朗代尔桑
Dompierre-sur-Mer,滨海栋皮埃尔
Niedernai,尼代奈
Saverne,萨韦尔讷
Sélestat,塞莱斯塔
Richtolsheim,里什托尔赛姆
Metz,梅斯
Ichtratzheim,伊克特拉特赞
Muzeray,米泽赖
Algrange,阿尔格朗日
Meyenheim,梅埃南
Landser,朗德塞
Fienvillers,菲安维莱尔
Montbolo,蒙博洛
Cabestany,卡贝斯塔尼
Famechon,法姆雄
Valdieu-Lutran,瓦尔迪约-吕特朗
Salmbach,萨尔姆巴克
Valence,瓦朗斯
Bitche,比奇
canton de Murat,米拉县
Laroque-des-Albères,阿尔贝拉地区拉罗克
Traenheim,特雷奈姆
Nordhouse,诺尔杜斯
Étain,埃坦
Cérizols,塞里佐尔
Lorentzen,洛伦岑
police nationale,國家警察 (法國)
Château-Salins,萨兰堡
Conseil de l'Europe,欧洲委员会
Bouxwiller,布克斯维莱尔
Metzeral,梅泽拉尔
Bonnet,博内
Manspach,芒斯帕克
Rupt-en-Woëvre,瓦夫尔地区吕
Étréjust,埃特雷瑞斯特
Logelheim,洛格莱姆
Éclusier-Vaux,埃克吕谢沃
Montigny-lès-Metz,蒙蒂尼莱梅斯
Saint-Chamarand,圣沙马朗
Crécy-en-Ponthieu,克雷西昂蓬蒂约
Niederbronn-les-Bains,尼德布龙莱班
Schwenheim,什韦奈姆
Nouilly,努伊
Jeux olympiques d'hiver de 1968,1968年冬季奥林匹克运动会
Scy-Chazelles,锡-沙泽勒
Osthoffen,奥斯托芬
Grande mosquée de Lyon,里昂大清真寺
manécanterie de Lyon,里昂唱经学校
canton de Maurs,莫尔斯县
Grands Magasins du Louvre,羅浮宮百貨公司
canton de Mauriac,莫里亚克县
Cressy-Omencourt,克雷西-奥芒库尔
luxembourgeois,卢森堡语
Petersbach,佩泰尔斯巴克
Crouy-Saint-Pierre,克鲁伊-圣皮埃尔
Montesquieu-des-Albères,蒙泰斯基厄代阿尔贝雷
musée africain de Lyon,里昂非洲博物馆
opéra de Lyon,里昂新歌劇院
parc de Lacroix-Laval,拉克鲁瓦-拉瓦勒公园
parc des Hauteurs,高地公园
passage Thiaffait,蒂亚费廊街
place Saint-Jean,圣若翰广场
place de la Trinité,圣三广场
place des Célestins,策肋定广场
Étinehem,埃蒂南
Mertzen,梅尔岑
rue des Archers,射手街
Hilsenheim,伊尔瑟奈姆
Pillon,皮永
Feuquières-en-Vimeu,维默地区弗基耶尔
Coullemelle,库勒梅勒
Bischoffsheim,比绍夫赛姆
Siewiller,锡维莱尔
Français,法兰西人
Morschwiller,莫什维莱尔
Duttlenheim,迪特勒奈姆
Sermersheim,塞尔梅尔桑
Herbsheim,埃尔布桑
Spicheren,斯皮什伦
Boulouparis,布卢帕里
Vionville,维永维尔
Wœrth,沃尔特
L'Échelle-Saint-Aurin,莱谢勒圣欧兰
Courcelette,库尔瑟莱特
Lingolsheim,林戈尔赛姆
Barr,巴尔
Croix-Moligneaux,克鲁瓦莫利尼欧
Courcelles-au-Bois,库尔塞勒欧布瓦
Jeux olympiques d'hiver de 1992,1992年冬季奥林匹克运动会
Roppenheim,罗珀奈姆
Curchy,屈尔希
Altenheim,阿尔特奈姆
Dangolsheim,当戈尔桑
Reipertswiller,赖佩尔茨维莱尔
Bélep,贝莱普
Crémery,克雷姆里
Lagny-sur-Marne,马恩河畔拉尼
Croixrault,克鲁瓦罗
Vieux-Ferrette,旧费雷特
Cramont,克拉蒙
Adamswiller,阿当斯维莱
Faverolles,法沃罗勒
Dancourt-Popincourt,当库尔-波潘库尔
Bernardvillé,贝尔纳尔德维莱
Fins,凡村
Léguer,莱盖尔河
