Douglas Adams,道格拉斯·亚当斯
Oliver Colvile,奧利佛·科爾維爾
Damian Collins,達米安·科林斯
Thérèse Coffey,特蕾丝·科菲
Henry Norris (businessman),亨利·諾里斯
"James Hamilton, 3rd Duke of Abercorn",第三代亞伯科恩公爵詹姆斯·漢密爾頓
Max Perutz,马克斯·佩鲁茨
W. H. Auden,威斯坦·休·奥登
Anna Freud,安娜·弗洛伊德
David Gilmour,大衛·吉爾摩
Marin Alsop,馬林·阿爾索普
Venetia Burney,威妮夏·伯尼
Emma Thomas,艾玛·托马斯
"Marie-Chantal, Crown Princess of Greece",瑪麗-珊圖·米勒
Geoffrey Cox (British politician),喬弗利·科克斯
Justine Greening,簡意寧
John Buchan,約翰·布肯
Dominic Grieve,多米尼克·格里夫
Philip Hammond,夏文達
Stephen Hammond,史提芬·哈蒙德
Liz Smith (actress),莉兹·史密斯
David Crausby,大衛·克勞比
Stephen Crabb,史蒂芬·克拉布
Arthur Koestler,阿瑟·库斯勒
Cecilia Colledge,塞西莉亚·科莱奇
Jean Pickering,琼·皮克林
Kate Beckinsale,凱特·貝琴薩
David Eddy (badminton),大衛·艾迪
Julian Huxley,朱利安·赫胥黎
Peter Mansfield,彼得·曼斯菲尔德
A. J. Ayer,阿尔弗雷德·朱尔斯·艾耶尔
John Cryer,約翰·克萊爾
Stella Creasy,斯特拉·克雷西
Jon Cruddas,喬恩·克魯達斯
Tracey Crouch,特蕾西·克劳奇
Jim Cunningham (politician),吉姆·卡寧漢姆
Alex Cunningham,亞歷山大·坎寧安
Ernst Gombrich,恩斯特·贡布里希
Otto Erich Deutsch,奧托·埃里希·多伊奇
A. J. Cronin,A·J·克朗寧
Andy Dawson,安迪·道森
Enoch Powell,以諾·鮑威爾
Peter Robinson (Northern Ireland politician),彼德·羅賓遜·(政治人物)
"John Simon, 1st Viscount Simon",第一代西蒙子爵约翰·西蒙
Hilaire Belloc,希莱尔·贝洛克
David Owen,大衛·歐文
Selwyn Lloyd,塞爾文·勞埃
Paddy Ashdown,艾思定
Walter Scott,沃尔特·司各特
Emma Goldman,埃玛·戈尔德曼
Margaret Leighton,玛格丽特·莱顿
Edward Elgar,爱德华·埃尔加
Benedict Cumberbatch,班奈狄克·康柏拜區
"Archibald Primrose, 5th Earl of Rosebery",第五代羅斯伯里伯爵阿奇博爾德·普里姆羅斯
Draco Malfoy,德拉科·马尔福
Vince Cable,温斯·凯博
Peter Hain,韓培德·(英國政治人物)
Rhodri Morgan,洛蒂·摩根
David Icke,大卫·沃恩·艾克
Peter Shilton,彼德·希尔顿
Ross Turnbull,罗斯·特恩布尔
Nic Dakin,尼克·達金
Simon Danczuk,西門·丹朱克
Princess Theodora of Greece and Denmark (born 1983),希臘的狄奧多拉·(1983年)
McDonald Bailey,麦克唐纳·贝利
"Tony Hall, Baron Hall of Birkenhead",博肯海德的霍尔男爵托尼·霍尔
Elias Canetti,埃利亞斯·卡內蒂
"Danny Wilson (footballer, born 1960)",丹尼·威爾遜·(1960年)
Christopher Lee,克里斯多福·李
Charles Bugbee,查尔斯·巴格比
Giovanni Belzoni,乔瓦尼·巴蒂斯塔·贝尔佐尼
Dev Patel,戴夫·帕特尔
Boris Johnson,鲍里斯·约翰逊
Aneurin Barnard,阿奈林·巴納德
Mark Delaney (footballer),马克·德莱尼
M (James Bond),M·(詹姆斯·邦德)
Dmitri Hvorostovsky,德米特里·赫沃羅斯托夫斯基
"Bob Wilson (footballer, born 1941)",鮑勃·威爾遜
Christine Truman,克丽丝廷·杜鲁门
Tulisa,图丽莎
Iain Macleod,伊安·麥克勞德
Arthur Greenwood,亞瑟·格林伍德
Hermione Gingold,赫米奥娜·金戈尔德
"Michael Keane (footballer, born 1993)",迈克尔·基恩
Julianne Moore,茱莉安·摩爾
James Chadwick,詹姆斯·查德威克
Roger Waters,罗杰·沃特斯
Paul Lambert,保罗·兰伯特
John Ruddy,约翰·鲁迪
"Princess Alice, Duchess of Gloucester",愛麗斯王妃·(告羅士打公爵夫人)
Damien Hirst,达米恩·赫斯特
Henry Ian Cusick,亨利·伊安·库斯克
William Bligh,威廉·布莱
"Norman Birkett, 1st Baron Birkett",第一代伯基特男爵諾曼·伯基特
Reginald Maudling,雷金納·麥德寧
Nick Herbert,尼克·赫伯特
Andrew Mitchell,安德魯·米切爾
Andrew Lansley,安德鲁·兰斯利
Patrick McLoughlin,帕特里克·麦克洛克林
"John Anderson, 1st Viscount Waverley",第一代威瓦利子爵約翰·安德森
Karl Popper,卡尔·波普尔
Peter Crouch,彼得·克劳奇
"Prince Philip, Duke of Edinburgh",爱丁堡公爵菲利普亲王
John Gurdon,约翰·格登
Andrew Lloyd Webber,安德鲁·劳埃德·韦伯
Agyness Deyn,艾潔妮絲·迪恩
Banesh Hoffmann,巴涅希·霍夫曼
Ryan Shawcross,瑞安·肖克洛斯
Donald Nicol,唐纳德·尼科尔
Richie Wellens,理查德·维尔伦斯
"Edward Wood, 1st Earl of Halifax",第一代哈利法克斯伯爵愛德華·伍德
Aldous Huxley,奥尔德斯·赫胥黎
Peter Finch,彼得·芬奇
Steve McManaman,史蒂夫·麦克马纳曼
Adewale Akinnuoye-Agbaje,艾德瓦利·亞肯努耶-阿嘉巴傑
Tom Stoppard,湯姆·斯托帕德
Brian Josephson,布赖恩·约瑟夫森
Vivian Woodward,维维安·伍德沃德
Patrick Kennedy (actor),帕特里克·肯尼迪·(演员)
Julie Christie,茱莉·姬絲蒂
Stephen Butterworth,史蒂芬·巴特沃斯
John Templeton,約翰·坦伯頓
Menzies Campbell,孟席斯·坎貝爾
Peter Caruana,彼得·卡鲁阿纳
Frederick Forsyth,弗雷德里克·福赛思
Jay Sean,杰伊·尚恩
Malcolm MacDonald,馬爾科姆·麥克唐納
Eric Pickles,埃瑞克·皮克爾斯
Lennox Lewis,伦诺克斯·刘易斯
Stephen Hendry,史蒂芬·亨得利
Alan Milburn,苗易彬
John Higgins,约翰·希金斯
H. A. L. Fisher,H·A·L·费舍尔
Robert Maxwell,罗伯特·麦克斯韦
"John Reid, Baron Reid of Cardowan",韋俊安
Oliver Letwin,奥利弗·莱特温
Malcolm Rifkind,馬爾科姆·里夫金德
Edith Tolkien,伊迪絲·托爾金
Christopher Tolkien,克里斯托夫·托爾金
J. M. Barrie,J·M·巴里
Francis Xavier Morgan,弗朗西斯·泽维尔·摩根
Rudolf Abel,魯道夫·阿貝爾
Ray Milland,雷·米倫
Ronald Colman,羅納·考爾門
Richard Armitage (actor),李察·阿米塔吉
Arthur Hailey,阿瑟·黑利
Alfred Enoch,阿爾弗雷德·伊諾奇
G. E. Moore,乔治·爱德华·摩尔
Gerard Lander,倫義華
Julian Barnes,朱利安·巴恩斯
Jeremy Hunt,杰里米·亨特
Michael Portillo,博文高
"Stanley Clinton-Davis, Baron Clinton-Davis",克林顿-戴维斯男爵斯坦利·克林顿-戴维斯
C. P. Snow,C·P·斯诺
Leo Amery,里奧·艾默里
Henry Cavill,亨利·卡維爾
Nicky Butt,尼基·巴特
David Mundell,戴维·蒙戴尔
Sam Worthington,山姆·沃辛頓
Tim Tolkien,提姆·托爾金
Simon Tolkien,賽門·托爾金
Ian Fleming,伊恩·佛萊明
Cliff Richard,奇里夫·李察
John Galsworthy,约翰·高尔斯华绥
Rab Butler,拉布·巴特勒
David Niven,大衛·尼文
Anthony Kenny,安東尼·肯尼
Rex Harrison,雷克斯·哈里遜
Jeannette Altwegg,珍奈特·阿爾特韋格
Caroline Flint,卡罗琳·弗林特
Alex Pettyfer,亞歷克斯·帕蒂弗
Rodney Robert Porter,羅德尼·羅伯特·波特
Scott Carson,史葛·卡臣
Joseph Conrad,约瑟夫·康拉德
Gilbert Taylor,吉爾伯特·泰勒
Jessica Tandy,潔西卡·坦迪
John Gummer,约翰·格默
Chloe Smith,克洛伊·史密斯
Gordon Marsden,戈登·馬斯登
David Laws,大衛·勞斯
Reginald McKenna,雷金纳德·麦克纳
Keith Joseph,基思·约瑟夫
Jim Murphy,吉姆·墨菲
Alistair MacLean,阿利斯泰尔·麦克林
Lee Child,李·查德
Neil Parish,尼爾·帕里什
Betty Boothroyd,龐碧婷
George Arliss,喬治·亞利斯
David Dowson,大衛·當臣
Glenda Jackson,格蘭達·傑克遜
Paul di Resta,保罗·迪·雷斯塔
Tom Hiddleston,汤姆·希德勒斯顿
Tom Hooper,汤姆·霍伯
Lee Ryan,李·瑞安
Ioan Gruffudd,艾恩·古福特
Roy Hattersley,韓素利
Robbie Coltrane,罗彼·考特拉尼
Louis Kurihara,栗原類
Cary Grant,加里·格兰特
Johnnie Jackson,莊尼·積遜
Greer Garson,葛麗·嘉遜
Cynthia Lennon,辛西娅·列侬
William Morris,威廉·莫里斯
Chris Eagles,克里斯·伊格尔斯
Imre Lakatos,拉卡托什·伊姆雷
Alfred Molina,阿尔弗雷德·莫里纳
Ryan Bertrand,赖恩·伯特兰德
Kim Philby,金·費爾比
"Luke Young (footballer, born 1979)",盧克·楊格
John Terry,約翰·泰利
John Redwood,約翰·里德伍德
"Paul Murphy, Baron Murphy of Torfaen",馬偉輝
Gary Oldman,加里·奧德曼
Lee Cattermole,李·卡特摩尔
Susan Boyle,蘇珊·波伊爾
Gilbert Walker (physicist),吉尔伯特·沃克
Kathleen McKane Godfree,凱斯琳·麥克凱恩·戈弗瑞
Rod Stewart,罗德·斯图尔特
Cheryl Gillan,謝麗爾·基蘭
Ian Paisley,伊恩·佩斯利
"Danny Murphy (footballer, born 1977)",丹尼·梅菲
Jermaine Pennant,杰梅恩·彭南特
Bryan Robson,布莱恩·罗布森
George Sanders,乔治·桑德斯·(演员)
Ignaz Trebitsch-Lincoln,释照空
Klaus Roth,克勞斯·羅特
"William Whitelaw, 1st Viscount Whitelaw",威廉·怀特洛
Michael Gove,高文浩
"Edward Short, Baron Glenamara",愛德華·肖特
"Danny Rose (footballer, born 1990)",丹尼·路斯
Keith Newton (prelate),基夫·牛頓
Wes Brown,韦斯·布朗
Margaret Bondfield,瑪格麗特·邦德菲爾德
Eddie Izzard,埃迪·伊扎德
John Hutchinson (botanist),约翰·哈钦松
G. K. Chesterton,吉爾伯特·基思·卻斯特頓
Russell Brand,羅素·布蘭德
Jermaine Jenas,杰梅恩·耶纳斯
Jonathan Woodgate,乔纳森·伍德盖特
Glenn Hoddle,格伦·霍德尔
Alistair Darling,戴理德
Francis Maude,麥浩德
Richard Borcherds,理查德·博赫兹
Simon Donaldson,西蒙·唐纳森
David Mumford,戴维·芒福德
Slobodan Jovanović,斯洛博丹·約萬諾維奇
Alexander Litvinenko,亞歷山大·利特維年科
Clive Owen,克萊夫·歐文
David Attenborough,大卫·爱登堡
Alfred North Whitehead,阿爾弗雷德·諾思·懷特黑德
Catherine Tate,凯瑟琳·塔特
Anthony Gardner,安東尼·加特拿
Lizzie Deignan,莉齐·戴格南
Jack Rodwell,杰克·罗德威尔
Vinnie Jones,維尼·瓊斯
David TC Davies,大衛·T·C·戴維斯
Wayne David,韋恩·大衛
Ed Davey,愛德·戴維
Rachel Roberts (actress),蕾切尔·罗伯茨
Sadiq Khan,簡世德
Geraint Davies (Labour politician),杰兰特·戴维斯
"Richard Haldane, 1st Viscount Haldane",理查德·霍爾丹
Chaudhry Sarwar,喬杜里·穆罕默德·薩爾瓦
Andrew Lincoln,安德魯·林肯
Martin Hairer,马丁·海雷尔
Fred Hoyle,弗雷德·霍伊尔
George Meredith,乔治·梅瑞狄斯
Yaya Touré,耶耶·托尼
Joanna Lumley,喬安娜·拉姆利
Naomi Scott,娜歐蜜·史考特
Barry Gibb,巴里·吉布
Gemma Arterton,杰玛·阿特登
Leona Lewis,利昂娜·刘易斯
"Derick Heathcoat-Amory, 1st Viscount Amory",德里克·希思科特·艾默里
Andrew Smith (British politician),安德魯·史密斯·(英國國會議員)
Kelly Brook,凯莉·布鲁克
Vanessa Bell,瓦妮莎·贝尔
"Lucy, Lady Duff-Gordon",达夫-戈登夫人露西
Peter Thorneycroft,彼得·霍尼戈夫
Maria Miller,玛利亚·米勒
John G. F. Francis,约翰·G·F·弗朗西斯
Stephen R. Bourne,史蒂夫·伯恩
Humphrey Carpenter,汉弗莱·卡彭特
Patrick Blackett,帕特里克·布莱克特
Glyn Davies (politician),格林·戴維斯
Freddie Highmore,費迪·夏摩亞
Maurice Gibb,莫里斯·吉布
Jamie Bell,占美·比爾
Ed Westwick,艾德·威斯維克
"Hugh Cecil, 1st Baron Quickswood",休·塞西尔
Edgar F. Codd,埃德加·科德
"Princess Alexandra, 2nd Duchess of Fife",第二代法夫女公爵亚历山德拉公主
Andrew Wiles,安德魯·懷爾斯
Jeremy Brett,杰里米·布雷特
Vashti Bunyan,瓦什蒂·班扬
Philippa Foot,菲利帕·福特
Leopold Stokowski,利奥波德·斯托科夫斯基
Tamsin Egerton,塔姆辛·艾格登
Jodhi May,乔迪·梅
John Hicks,约翰·希克斯
Robert Grosseteste,罗伯特·格罗斯泰斯特
G. H. Hardy,戈弗雷·哈罗德·哈代
Jane March,珍·玛奇
Karen Armstrong,凱倫·阿姆斯壯
"Michael Forsyth, Baron Forsyth of Drumlean",霍司富
Denis Pritt,丹尼斯·普里特
William Sealy Gosset,威廉·戈塞
Margo MacDonald,瑪戈·麥克唐納
Gareth Bale,加雷斯·贝尔
Jane Goodall,珍·古道尔
Robin Milner,罗宾·米尔纳
Paul Graham (programmer),保罗·格雷厄姆
Tony Hoare,東尼·霍爾
Geoffrey Hinton,杰弗里·辛顿
David Marr (neuroscientist),大卫·马尔
Joe Cole,祖·高爾
Kevin Phillips (English footballer),凯文·菲利普斯
Princess Patricia of Connaught,康諾的帕特麗西婭公主
Fergus Millar,弗格斯·米勒
Frances Shand Kydd,法蘭西絲·尚德·基德
Bronisław Malinowski,布罗尼斯拉夫·马林诺夫斯基
Jim Broadbent,吉姆·布勞德本特
Gary Caldwell,加里·卡尔德威尔
Matthew Etherington,马修·埃瑟林顿
Nicholas Hoult,尼古拉斯·霍尔特
Anton Ferdinand,安东·费迪南德
Lillie Langtry,莉莉·兰特里
Sam Allardyce,萨姆·阿勒代斯
Derek Jacobi,德雷克·雅可比
Clint Mansell,克林特·曼塞爾
Tony Pulis,東尼·佩利斯
Richard Hammond,理查德·哈蒙德
David Moyes,大衛·莫耶斯
David Waddington,華德偉
Edward Garnier,愛德華·加尼爾
Jimmy Greaves,吉米·格雷夫斯
Simon Hughes,西門·休斯
"John McFall, Baron McFall of Alcluith",約翰·麥克福爾男爵
"Edmund Allenby, 1st Viscount Allenby",第一代艾伦比子爵埃德蒙·艾伦比
Steven Reid,史提芬·列特
"Julian Byng, 1st Viscount Byng of Vimy",朱利安·拜恩
"Arthur Tedder, 1st Baron Tedder",第一代泰德男爵亚瑟·泰德
John Hannah (actor),約翰·漢納
Sylvia Pankhurst,埃斯特爾·西爾維亞·潘克斯特
Jay Spearing,傑·斯皮林
Michael Sheen,米高·辛
Tim Rice,蒂姆·赖斯
Peter Landin,彼得·兰丁
Simon Peyton Jones,西蒙·佩頓·瓊斯
Christopher J. Date,克里斯托佛·达特
Olivia Newton-John,奧莉維亞·紐頓-約翰
Glen Johnson,格連·莊臣
Gary Moore,盖瑞·摩尔
Ouida,奥维达
Jayne Torvill,珍·托維爾
Lindsay Anderson,林赛·安德森
Oliver Sacks,奧利佛·薩克斯
Annabelle Wallis,安娜貝爾·瓦莉絲
Melvyn Greaves,梅尔文·格里夫斯
Nigel Adams,奈傑爾·亞當斯
Nadine Dorries,娜汀·多里斯
Noël Coward,诺埃尔·科沃德
Chelsea Manning,切爾西·曼寧
Joy Adamson,乔伊·亚当森
James Tavernier,占士·達華尼亞
Kenneth O. Morgan,肯尼思·O·摩根
Douglas Alexander,道格拉斯·亞歷山大
Ann Jones (tennis),安·琼斯
Gurinder Chadha,古莉·查夏
Nadhim Zahawi,纳齐姆·扎哈维
Michael Adams (chess player),迈克尔·亚当斯·(棋手)
Michael Ventris,迈克尔·文特里斯
Colin Renfrew,科林·伦福儒
Lionel Robbins,莱昂内尔·罗宾斯
"John Vereker, 6th Viscount Gort",第六代戈特子爵約翰·維里克
Clive Barker,克里夫·巴克
Rudolf Kompfner,魯道夫·康夫納
"John Jellicoe, 1st Earl Jellicoe",第一代傑利科伯爵約翰·傑利科
"Hastings Ismay, 1st Baron Ismay",黑斯廷斯·伊斯梅
"David Beatty, 1st Earl Beatty",第一代貝蒂伯爵戴維·貝蒂
"William Slim, 1st Viscount Slim",第一代斯利姆子爵威廉·斯利姆
Pippa Funnell,皮帕·芬内尔
Mika (singer),米卡·(歌手)
Bob Hope,鲍勃·霍普
Jonathan Bowen,乔纳森·鲍文
Christopher Strachey,克里斯托弗·斯特雷奇
Simon Tatham,西蒙·泰瑟姆
Armen Sarkissian,阿尔缅·萨尔基相
Eleanor Farjeon,艾莉娜·法瓊
Mark Knopfler,马克·诺弗勒
Arnold J. Toynbee,阿诺德·J·汤因比
Roy Carroll,萊·卡路爾
Michael York,麥可·約克
Dirk Bogarde,狄·保加第
Michael Gough,麥可·高福
Rufus Sewell,盧夫斯·塞維爾
"Peter Carington, 6th Baron Carrington",第六代卡靈頓男爵彼得·卡靈頓
William Beveridge,威廉·贝弗里奇
James Boswell,詹姆斯·博斯韦尔
John Julius Norwich,约翰·朱利叶斯·诺威奇
"Jeffery Amherst, 1st Baron Amherst",第一代阿默斯特男爵杰弗里·阿默斯特
Princess Michael of Kent,根德米高王妃
Ben Reeves,本·里維斯
"Ben Davies (footballer, born 1993)",賓·戴維斯·(1993年)
Luke Shaw,魯克·梳爾
Mike Myers,麥克·邁爾斯
Peter Aldous,彼得·奧爾德斯
Hugh Trevor-Roper,休·特雷弗-羅珀
Nigel Lawson,尼格爾·勞森
"Thomas Bruce, 7th Earl of Elgin",第七代額爾金伯爵湯瑪斯·布魯斯
"Alexander Cambridge, 1st Earl of Athlone",第一代阿斯隆伯爵亚历山大·坎博里奇
Glenn Murray,格連·梅利
Leslie Valiant,莱斯利·瓦利安特
Otto Robert Frisch,奥托·弗里施
Kieron Dyer,基隆·代尔
"Eric Drummond, 7th Earl of Perth",埃里克·德拉蒙德
"Claude Bowes-Lyon, 14th Earl of Strathmore and Kinghorne",第十四代斯特拉斯莫爾和金霍恩伯爵克勞德·鮑斯-雷昂
Nicholas Kaldor,尼古拉斯·卡爾多
"George Mountbatten, 2nd Marquess of Milford Haven",第二代米爾福德黑文侯爵喬治·蒙巴頓
Alan Bullock,艾倫·布洛克
Graham Coxon,葛拉罕·卡克森
"Edward Grey, 1st Viscount Grey of Fallodon",第一代法罗顿的格雷子爵爱德华·格雷
Jemma McKenzie-Brown,簡瑪·麥肯茲-布朗
Claire Foy,克萊兒·芙伊
Jim Al-Khalili,吉姆·艾尔-哈利利
Danny Alexander,丹尼·亞歷山大
Tony Adams,托尼·亚当斯
B. H. Liddell Hart,B·H·李德哈特
John Middleton (cyclist),约翰·米德尔顿
Ernie Mills (cyclist),厄尼·米尔斯
Olivia de Havilland,奥丽维亚·德哈维兰
Joe Hart,乔·哈特
Kenny Dalglish,肯尼·达格利什
Albert Hill (athlete),艾伯特·希尔
Joan Fontaine,瓊·芳登
Howard Webb,侯活·韋比
Graham Allen (politician),格拉漢姆·阿倫
Rebecca Clarke (composer),丽贝卡·克拉克
David Amess,顏敏時
"Nadejda Mountbatten, Marchioness of Milford Haven",米爾福德黑文侯爵夫人娜傑達·蒙巴頓
Stuart Andrew,斯圖爾特·安德魯
Sandra Douglas,桑德拉·道格拉斯
Allison Fisher,艾利森·費雪
Michelle Dockery,米歇尔·道克瑞
Duff Cooper,达夫·库珀
"George Villiers, 4th Earl of Clarendon",第四代克拉伦登伯爵乔治·维利尔斯
Philip Davies,菲利普·戴维斯
Halford Mackinder,哈尔福德·麦金德
Greg Rusedski,格雷格·鲁塞德斯基
"Antony Armstrong-Jones, 1st Earl of Snowdon",第一代斯诺登伯爵安东尼·阿姆斯特朗-琼斯
Martin Rees,马丁·里斯
Brian Sibley,布萊恩·希伯理
Carol Reed,卡洛·李
Tom Shippey,湯姆·希比
Andrew Flintoff,安德魯·弗林托夫
Aaron Cook (taekwondo),亚伦·库克·(跆拳道运动员)
Stanley Unwin (publisher),史坦利·昂溫
Rayner Unwin,雷納·昂溫
Ginny Weasley,金妮·衛斯理
"George Young, Baron Young of Cookham",楊佐義
Leighton Baines,莱顿·巴恩斯
John Disley,约翰·迪斯利
Adrian Bailey,阿德里安·拜利
Jonathan Ashworth,喬納森·阿什沃斯
Ian Austin,伊恩·奧斯丁
Willie Bain,威利·貝恩
Linsey Dawn McKenzie,琳賽·達恩·麥肯齊
David Davis (British politician),戴德偉
Nancy Mitford,南希·米特福德
Caroline Dinenage,卡罗琳·戴恩内奇
Thomas Docherty (politician),托馬斯·多赫提
Nigel Dodds,尼格爾·多茲
Brian Donohoe,布萊恩·唐納荷
Frank Doran (British politician),弗蘭克·多蘭
Jeffrey Donaldson,傑福瑞·唐納森
Jonathan Djanogly,喬納森·嘉諾格里
John Denham (politician),鄧俊安
Pat Doherty (Northern Ireland politician),帕特·杜赫提
"Nicholas Stern, Baron Stern of Brentford",尼古拉斯·斯特恩
Gemma Doyle (politician),傑瑪·多伊爾
Stephen Dorrell,斯蒂芬·多雷尔
"Hugh FitzRoy, 11th Duke of Grafton",第十一代葛拉夫頓公爵休·斐茲洛伊
Pauline Baynes,波琳·拜恩斯
Ronald Ross,罗纳德·罗斯
Ronald Coase,罗纳德·科斯
William Sharpey,威廉·沙培
Danny Welbeck,丹尼·维尔贝克
Robin Gibb,羅賓·吉布
Ed Balls,埃德·鮑斯
Harriett Baldwin,哈莉特·鲍德温
Steve Baker (politician),史提夫·貝克
Jeremy Wright,杰里米·赖特
Kevin Barron,凱文·巴倫
Steve Barclay,史提芬·巴克萊
Don Finlay,唐·芬利
Iain Wright,伊恩·萊特·(英國政治人物)
Gavin Barwell,加文·巴維爾
Aaron Hughes,艾朗·曉士
"Mark Davies (footballer, born 1988)",马克·戴维斯·(足球运动员)
"Mark Hudson (footballer, born 1982)",马克·哈德森
Richard Drax,理查·德拉克斯
Michael Dugher,邁克爾·杜格
Jack Dromey,傑克·德羅米
James Duddridge,詹姆斯·達德里奇
"Maurice Hankey, 1st Baron Hankey",第一代汉基男爵莫里斯·汉基
"Thomas Galbraith, 2nd Baron Strathclyde",托馬斯·加爾布雷思
"Frederick Lindemann, 1st Viscount Cherwell",弗雷德里克·林德曼
Alan Lee (illustrator),阿兰·李·(插画家)
Francis William Aston,弗朗西斯·阿斯顿
Herbert C. Brown,赫伯特·布朗
Thom Yorke,湯姆·約克
Sebastian Coe,塞巴斯蒂安·柯伊
Derek Barton,德里克·巴顿
Sarah Stevenson,萨拉·史蒂文森
