Diego Velázquez,디에고 벨라스케스
Adrià Arnaus,아드리아 아르나우스
Greta Fernández,그레타 페르난데스
Luis Gil y Ranz,루이스 길 이 란스
Aihen Muñoz,아이엔 무뇨스
Gerardo Ortega,헤라르도 오르테가
Bryan Gil Salvatierra,브리안 힐
Eric García,에릭 가르시아
Carolina Yuste,카롤리나 유스테
Pol Monen,폴 모넨
Ander Barrenetxea Muguruza,안데르 바레네체아
Alonso Guerrero Pérez,알론소 게레로 페레즈
Carlos Manuel García Carbayo,카를로스 가르시아 카르바요
Andrew Pinder,앤드류 파인더
Martín Zubimendi,마르틴 수비멘디
Daniel Vivian,다니엘 비비안
Salvador Illa Roca,살바도르 이야
José Manuel Albares,호세 마누엘 알바레스
Macarena Olona Choclán,마카레나 올로나 초클란
Ilaix Moriba,일라시 모리바
Rosa Vicens Mas,로사 비센스 마스
Robert Moreno González,로베르트 모레노
Begoña Vargas,베고냐 바르가스
Sergi Cardona,세르지 카르도나
Lois Patiño,로이스 파티뇨
Catalina Coll,카탈리나 콜
León Olalquiaga,레온 올랄키아가
Oihan Sancet,오이안 산세트
Pedri González,페드리
Iñaki Peña,이냐키 페냐
Rodrigo Riquelme Reche,로드리고 리켈메
Laura Escanes,라우라 에스카네스
Roberto Encinas,로베르토 엔시나스
Anssumane Fati,안수 파티
Esteban Ahn,에스테반 안
Paula Usero,파울라 우세로
Fran Navarro,프란 나바로
Georgina Amorós,조르지나 아모로스
Sybilla,시빌라
Olivia Delcán,올리비아 델칸
Jesús Barreda,예수 바레다
Pedro Rebollo Soria,페드로 레볼로 소리아
Luis Fernández,루이스 페르난데스
Joaquín Ibáñez de Jesús y María,호아킨 이바녜스 데 헤수스 이 마리아
Álvaro Valles,알바로 바예스
Isabel Fernández Avanthay,이사벨 페르난데스 아반타이
José García Corral,호세 가르시아 코랄
Javier Palazón,하비에르 팔라손
Arnau Tenas,아르나우 테나스
Chanel,차넬 테레로
Unai Vencedor,우나이 벤세도르
Rodri Martín,로드리 마틴
Agustín Cerezales Laforet,아구스틴 세레살레스
Carlos Alcaraz,카를로스 알카라즈
Miguel Gutiérrez,미겔 구티에레스
Estela Perez-Somarriba,에스텔라 페레스소마리바
Athenea del Castillo,아테네아 델카스티요
Lola Rodríguez,롤라 로드리게스 디아스
Ane Mintegi,아네 민테히
Irene Burillo Escorihuela,이레네 부리요 에스코리우엘라
Alejandro Baena Rodríguez,알렉스 바에나
José Manuel Pérez Tornero,호세 마누엘 페레스 토르네로
Luka Romero,루카 로메로
Francisco José García Torres,프란 가르시아
Maria Branyas Morera,마리아 브라냐스 모레라
Jon Morcillo,혼 모르시요
Javier López Carballo,하비 로페스
Marvin Park,마빈 박
Natalia Regás,나탈리아 레가스
Bruna Vilamala Costa,브루나 빌라말라
Yeremi Pino,예레미 피노
Gabriel Veiga Novas,가브리 베이가
Maya Escolar,Maya Escolar
Francisco Berges,프란시스코 베르헤스
Nico Williams,니코 윌리암스
Óscar Mingueza,오스카르 밍게사
Alejandro Balde,알레한드로 발데
Adriana Cerezo Iglesias,아드리아나 세레소
Miguel Juan Marqués,후안 마르케스
Eva Armisén,에바 알머슨
Sebastián Romero,세바스티안 로메로
Aysha Daraaui,아이샤 다라우이
Almudena Amor,알무데나 아모르
Nicolás González Iglesias,니코 곤살레스
Abde Ezzalzouli,압데 에잘줄리
Luis Bernardo Jalón,루이스 베르나르도 할론
David Beriáin,다비드 베리아인
Alberto Moleiro,알베르토 모레이로
Pablo Martín Páez Gavira,파블로 가비
Francisco Portería,프란시스코 포르테리아
José Lanuza,호세 라누사
José María Benedito Vives,José María Benedito Vives
Mikecrack,마이크크랙
Taz Skylar,태즈 스카일러
Francisco Berge,프란시스코 베르헤
Adolfo Moreno,아돌포 모레노
Bryan Zaragoza,브리안 사라고사
Lola Ruiz Picasso,롤라 루이스 피카소
Álvaro Fernández Carreras,알바로 페르난데스
Javier Guerra Moreno,하비 게라
Estibaliz Urresola Solaguren,에스티발리스 우레솔라 솔라구렌
José Ángel Martinchique,호세 앙헬 마르틴치케
Nico Paz,니코 파스
Gerónimo Lozano Apolo,제로니모 로자노 아폴로
Ramiro Marra,라미로 마라
Alejandro Garnacho,알레한드로 가르나초
Blanca Paloma,블랑카 팔로마
Stefan Bajcetic,스테판 바이체티치
Dean Huijsen,딘 하위선
María del Carmen Zaldivar Melero,María del Carmen Zaldivar Melero
Joan González,조안 곤잘레스
Manuel Corao,마누엘 코라오
Jorge Aguirre de Céspedes,호르헤 아귀레
Iván Fresneda,이반 프레스네다
Lamine Yamal,라민 야말
Ana Buenaventura,아나 부에나벤투라
Sofía Otero,소피아 오테로
Pau Cubarsí,파우 쿠바르시
Cesáreo Bustillo Iturralde,세사레오 부스티요 이투랄데
Antonio Sambola,안토니오 삼볼라
Miguel Gómez Fernández,미겔 고메스 페르난데스
Elena Huelva,엘레나 우엘바
Anthony Ham,Anthony Ham
Fermín López Marín,페르민 로페스
Jang Min,장민
Yenesi,예네시
Pello Otxandiano,펠로 오찬디아노
