Figueras,菲格拉斯
Prats de Llusanés,普拉特斯德柳斯萨内斯
San Vicente de la Barquera,圣比森特德拉瓦尔克拉
Masegoso,马塞戈索
Campeonato Mundial de Atletismo de 1999,1999年世界田徑錦標賽
San Hipólito de Voltregá,桑特伊波利特德沃尔特雷加
Sant Bartomeu del Grau,桑特瓦尔托梅乌德尔格劳
Sant Boi de Llusanés,桑特沃伊德柳斯桑埃斯
Zarzalejo,萨尔萨莱霍
línea 3 del Metro de Barcelona,巴塞隆拿地鐵3號線
Arco de Gibraltar,直布羅陀弧
Lupiana,卢皮亚纳
Marcha Real,皇家進行曲
Benalúa,贝纳卢阿
Calicasas,卡利卡萨斯
Santo Domingo de las Posadas,桑托多明戈德拉斯波萨达斯
Alpujarra de la Sierra,阿尔普哈拉德拉谢拉
Beas de Guadix,贝亚斯德瓜迪斯
Almonacid de Toledo,阿尔莫纳西德托莱多
San Rafael del Río,滨河圣拉斐尔
Cájar,卡哈尔
Benalúa de las Villas,贝纳卢阿-德拉斯比利亚斯
Cútar,库塔尔
Mango,芒果服饰
Lucillo,卢西略
Almarza de Cameros,阿尔马尔萨德卡梅罗斯
Estadio Benito Villamarín,贝尼托·比拉马林球场
Museo de Bellas Artes de Bilbao,毕尔巴鄂美术馆
Capileira,卡皮莱拉
Parque natural de la Bahía de Cádiz,加的斯湾自然公园
Cueva de Candamo,坎达莫洞
Castilléjar,卡斯蒂列哈尔
Museo Lázaro Galdiano,拉扎罗·加尔迪亚诺博物馆
World Architecture Festival,世界建築節
Castril,卡斯特里尔
Santa Cecilia de Voltregá,圣塞西利亚德沃尔特雷加
Bugedo,布赫多
San Quirico de Besora,桑特基尔塞德韦索拉
San Saturnino de Osormot,桑特萨杜尔尼多索尔莫尔特
Santa María de Ordás,圣马里亚德奥尔达斯
Cuadros,夸德罗斯
Cueva del Pindal,宾达尔洞
Cueva de Covalanas,科瓦拉纳洞
Cáñar,卡尼亚尔
San Julián de Vilatorta,桑特胡利亚德维拉托尔塔
San Martín del Bas,桑特马尔蒂达尔瓦尔斯
San Vicente de Torelló,圣维森特-德托雷略
Santa Eugenia de Berga,圣欧亨尼娅-德贝尔加
Cueva de Altamira,阿尔塔米拉洞
Torrejón el Rubio,托雷霍内尔鲁维奥
Santa Fe,圣菲
Parlamento de Cataluña,加泰罗尼亚议会
Anexo:Temporada 2009-10 del Fútbol Club Barcelona,巴塞罗那2009–10赛季
Anexo:Temporada 2011-12 del Fútbol Club Barcelona,巴塞罗那足球俱乐部2011–12赛季
Anexo:Temporada 2010-11 del Fútbol Club Barcelona,巴塞罗那2010–11赛季
Lardero,拉尔德罗
Sora,索拉
Taradell,塔拉德利
NUTS de España,西班牙地域統計單位命名法
Pesoz,佩索斯
Seva,塞瓦
Sobremunt,索夫雷蒙特
Quintana del Marco,金塔纳德尔马尔科
San Millán de los Caballeros,圣米良德洛斯卡瓦列罗斯
Ribas del Sil,里瓦斯德西尔
El Diablo - El tren de la mina,El Diablo
Cogollos de la Vega,科戈略斯维加
Colomera,科洛梅拉
Cimanes de la Vega,西马内斯德拉韦加
Cebrones del Río,塞夫罗内斯德尔里奥
Vidrá,比德拉
Viladrau,比拉德劳
Primera División de España 1982/83,1982年至1983年西班牙足球甲级联赛
Chauchina,乔奇纳
alcázar,阿尔卡萨尔
Monasterio de la Sierra,莫纳斯特里奥德拉谢拉
Cenes de la Vega,塞内斯德拉维加
Cástaras,卡斯塔拉斯
Garrafe de Torío,加拉费德托里奥
Cubillas de Rueda,库维利亚斯德鲁埃达
Cea,塞亚
Zúñiga,苏尼加
Caniles,卡尼莱斯
Anís del Mono,猴子八角
Bédar,贝达尔
El Bodón,埃尔沃东
Alcázar de Segovia,塞哥维亚城堡
Monte Oiz,奧茲山
Monte Gorbea,戈爾比亞山脈
Vic,比克
Villamiel de la Sierra,比利亚米耶尔德拉谢拉
Pulianas,普利亚纳斯
San Esteban de Litera,圣埃斯特万德利特拉
Primera División de España 1955/56,1955年至1956年西班牙足球甲级联赛
el Montmell,埃尔蒙特梅利
Torelló,托雷略
Santa Cruz del Comercio,圣克鲁斯德尔科梅尔西奥
Sorvilán,索尔维兰
Tona,托纳
Tabérnolas,塔韦尔诺莱斯
Tavertet,塔韦尔特特
provincia de Lérida,莱里达省
Vilanova de Sau,比拉诺瓦德绍
Armañanzas,阿尔马尼扬萨斯
Vilanova de Segrià,比拉诺瓦德塞格里亚
Carrocera,卡罗塞拉
Murias de Paredes,穆里亚斯德帕雷德斯
Purullena,普鲁列纳
Soportújar,索波尔图哈尔
Salar,萨拉尔
Fuentealbilla,丰特阿尔维利亚
Alcántara,阿尔坎塔拉
Alberite de San Juan,阿尔韦里特德圣胡安
Monasterio de Sant Cugat,圣库加特修道院
Badía del Vallés,巴迪亚德尔瓦列斯
Barberá del Vallés,巴尔韦拉德尔瓦列斯
Gallifa,加利法
Matadepera,马塔德佩拉
Catedral de Pamplona,潘普洛纳主教座堂
Ahillones,阿伊略内斯
Villapalacios,比利亚帕拉西奥斯
Villaverde de Guadalimar,瓜达利马尔河畔比利亚韦德
Grajal de Campos,格拉哈尔德坎波斯
Santa María de la Isla,圣马里亚德莱斯拉
Palau-solità i Plegamans,帕劳-索利泰普莱加曼斯
Moncada y Reixach,蒙卡达和雷沙克
L'Esquirol,圣马里亚德科尔科
Cogollos de Guadix,科戈略斯德瓜迪斯
Santa María de Besora,圣马里亚德韦索拉
Santa Eulalia de Riuprimer,圣欧拉利娅-德留普里梅尔
Rioseco de Tapia,里奥塞科德塔皮亚
Santa Cristina de Valmadrigal,圣克里斯蒂娜-德瓦尔马德里加尔
Villamuelas,比利亚穆埃拉斯
Matilla de los Caños del Río,马蒂利亚德洛斯卡尼奥斯德尔里奥
Almansa,阿尔曼萨
Rellinars,雷利纳尔斯
Batalla de Villaviciosa,比利亞維西奧薩戰役
Campeonato Europeo de Baloncesto Masculino de 2007,2007年歐洲籃球錦標賽
Palacios de la Valduerna,帕拉西奥斯德拉瓦尔杜埃尔纳
Castrocalbón,卡斯特罗卡尔翁
Llamas de la Ribera,利亚马斯德拉里韦拉
Riello,列略
ocupación de Melilla,征服梅里利亞
Expansión,拓展报（西班牙）
Ganekogorta,加內科戈爾塔山
Churriana de la Vega,丘里亚纳德拉维加
La Calahorra,拉卡拉奥拉
ruta europea E07,欧洲E7公路
Algarinejo,阿尔加里内霍
Pozuelo del Páramo,波苏埃洛德尔帕拉莫
Prado de la Guzpeña,普拉多德拉古斯佩尼亚
Castellar del Vallés,卡斯特利亚尔德尔瓦列斯
Castellbisbal,卡斯特利维斯瓦尔
Sardañola del Vallés,萨尔达尼奥拉-德尔巴列斯
Polinyá,波利尼亚
Agaete,阿盖特
Somport,松波尔特
Micieces de Ojeda,米希耶塞斯德奥赫达
Primera División de España 1963/64,1963年至1964年西班牙足球甲级联赛
Duranguesado,杜兰加尔
Rubite,鲁维特
Dólar,多拉尔
Agulo,阿古洛
Salvatierra,萨尔瓦铁拉
Cuevas del Campo,库埃瓦斯德尔坎波
Cortes y Graena,科尔特西格赖纳
Dúdar,杜达尔
Alcadozo,阿尔卡多索
Alatoz,阿拉托斯 (市镇)
Pajares de los Oteros,帕哈雷斯德洛索特罗斯
San Pedro Bercianos,圣佩德罗韦尔西亚诺斯
Alcalá del Júcar,阿尔卡拉德尔胡卡尔
Funicular de Montjuïc,蒙特惠奇山缆车
diócesis de Solsona,天主教索爾索納教區
Chimeneas,奇梅内亚斯
Rubí,鲁维
Copa del Rey de fútbol 2011-12,2011年至2012年西班牙国王杯足球赛
Baños árabes de Palma de Mallorca,阿拉伯浴室 (帕尔马)
Cortes de Baza,科尔特斯德巴萨
Ripollet,里波列特
San Lorenzo Savall,桑特略伦斯斯萨瓦利
Tarrasa,塔拉萨
Campo de Villavidel,坎波德维利亚维德尔
Crémenes,克雷梅内斯
Deifontes,德丰特斯
Escúzar,埃斯库萨尔
Cúllar,库利亚尔
Villasexmir,比利亚塞斯米尔
Real Sociedad Gimnástica de Torrelavega,托雷拉韦加体操足球俱乐部
Vacarisses,巴卡里塞斯
Viladecaballs,比拉德卡瓦利斯
Agüimes,阿圭梅斯
Bilbao Arena,毕尔巴鄂竞技场
Villavaliente,比利亚瓦连特
Villatoya,比利亚托亚
Santa Perpetua de Mogoda,圣佩尔佩图阿德莫戈达
Tiebas-Muruarte de Reta,铁瓦斯-穆鲁阿尔特德雷塔
República Catalana,加泰隆尼亞共和國
Aceuchal,阿塞乌查尔
Sant Quirze del Vallès,桑特基尔塞德尔瓦列斯
San Cugat del Vallés,圣库加特-德尔巴列斯
Cimanes del Tejar,西马内斯德尔特哈尔
Castilfalé,卡斯蒂尔法莱
Cebanico,塞瓦尼科
Santa Marina del Rey,圣马丽娜-德尔雷伊
Dehesas de Guadix,德埃萨斯德瓜迪斯
Matanza de los Oteros,马坦萨
Instituto de los Hermanos de las Escuelas Cristianas,喇沙會
Escalona,埃斯卡洛纳
Puebla de Don Fadrique,唐法德里克镇
Puenteareas,蓬特亚雷亚斯
Cubel,库韦尔
Senmanat,森特梅纳特
Ullastrell,乌利亚斯特雷利
Villatobas,比利亚托瓦斯
Ciudad Real Madrid,皇家马德里城
Mendaza,门达萨
Estadio de Chamartín,查马丁球场
Santa Eugenia,圣欧亨尼娅
Museo del Fútbol Club Barcelona,巴塞羅那足球俱樂部博物館
España en los Juegos Olímpicos de Pekín 2008,2008年夏季奧林匹克運動會西班牙代表團
Quintana del Castillo,金塔纳德尔卡斯蒂略
Campazas,坎帕萨斯
Cubillas de los Oteros,库维利亚斯德洛索特罗斯
Mansilla Mayor,大曼西利亚
occitano,奥克语
Tajo,塔霍河
Santurde de Rioja,桑图尔德德里奥哈
Batalla de Sagrajas,萨拉卡战役
Air Nostrum,諾斯特姆航空
Alborea,阿尔沃雷亚
Albatana,阿尔瓦塔纳
Haro,阿罗
Air Madrid,馬德里航空
San Emiliano,圣埃米利亚诺
Maraña,马拉尼亚
Grado,格拉多
Valle del Zalabí,巴列德尔萨拉维
Bañalbufar,巴尼亚尔武法尔
Icazteguieta,伊卡斯特吉耶塔
Vallés Occidental,西巴列斯
árabe,阿拉伯语
Partido Socialista Obrero Español,西班牙工人社会党
Esteríbar,埃斯特里瓦尔
RWE,莱茵集团
Albuñuelas,阿尔武纽埃拉斯
Bolsa de Madrid,馬德里證券交易所
La Lapa,拉拉帕
Alhendín,阿尔恩丁
Duero,杜罗河
Agüero,阿圭罗
Andosilla,安多西利亚
Partido de la Sierra en Tobalina,帕尔蒂多德拉谢赖恩托瓦利纳
Alcaraz,阿尔卡拉斯 (阿尔瓦塞特省)
Alpera,阿尔佩拉
Zahara de los Atunes,萨阿拉
Santa Colomba de Somoza,圣科隆瓦德索莫萨
Zahara de la Sierra,萨阿拉德拉谢拉
Júcar,胡卡爾河
patriarcado de las Indias Occidentales,西屬西印度群島宗主教
Ribamontán al Mar,里瓦蒙塔纳尔马尔
Trofeo Ramón de Carranza,拉蒙德卡蘭薩杯
Santiago de Compostela,圣地亚哥-德孔波斯特拉
Tazacorte,塔萨科尔特
Estopiñán del Castillo,埃斯托皮尼扬德尔卡斯蒂略
Bronces de Botorrita,阿斯科利铜牌
Zafra,萨夫拉
Vegas del Genil,维加斯德尔赫尼尔
Golada,阿戈拉达
maderada,木材漂流
Agua de cebada,大麥汁
Aguilar de Campoo,阿吉拉尔德坎波奥
Dílar,迪拉尔
Darro,达罗
Turón,图龙
Torvizcón,托尔维斯孔
Gordaliza del Pino,戈尔达利萨德尔皮诺
Castrillo de la Valduerna,卡斯特里略德拉瓦尔杜埃尔纳
El Valle,埃尔瓦列
Guadalquivir,瓜达尔基维尔河
Regueras de Arriba,雷格拉斯德亚里瓦
Luyego,卢伊埃戈
Abengibre,阿文希夫雷
La Taha,拉塔阿
Santiponce,桑蒂蓬塞
Diócesis de Barbastro-Monzón,天主教巴瓦斯特羅-蒙松教區
Paderne,帕德尔内
Moraleda de Zafayona,莫拉莱达-德萨法约纳
Trevélez,特雷韦莱斯
Isla de León,莱昂岛
Valdefresno,巴尔德夫雷斯诺
Alcover,阿尔科韦尔
Donhierro,东耶罗
Casasbuenas,卡萨斯武埃纳斯
Aldeire,阿尔德雷
Albuñán,阿尔武尼扬
Gusendos de los Oteros,古森多斯德洛索特罗斯
Chozas de Abajo,乔萨斯德亚瓦霍
Río Noya,阿諾亞河
Herrera de Pisuerga,埃雷拉德皮苏埃尔加
Universidad Nacional de Educación a Distancia,国立远程教育大学
Auñón,奥尼翁
Gordoncillo,戈尔东西略
San Esteban de Nogales,圣埃斯特万德诺加莱斯
Alfacar,阿尔法卡尔
Cueva de Las Monedas,莫内达斯洞
Albondón,阿尔翁东
nacionalismo andaluz,安達魯西亞獨立運動
Albuñol,阿尔武尼奥尔
Mérida,梅里達
Castrotierra de Valmadrigal,卡斯特罗铁拉德瓦尔马德里加尔
Magaz de Cepeda,马加斯德塞佩达
Santa María la Real de Nieva,圣马里亚拉雷亚尔德涅瓦
Observatorio IRAM Pico Veleta,IRAM 30米望遠鏡
Zafarraya,萨法拉亚
Referéndum de autodeterminación de Cataluña,加泰隆尼亞自決公投
Albatera,阿尔瓦特拉
"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",伊比利亚-美洲国家组织
río Guadiana,瓜地亞納河
Ducado de Gandía,甘迪亞公爵
Undués de Lerda,温杜埃斯德莱尔达
Vallés Oriental,东巴列斯
Santa Cruz de Tenerife,圣克鲁斯-德特内里费
Antena 3,天线3
Oviedo,奥维耶多
Agencia Europea para la Seguridad y la Salud en el Trabajo,歐洲工作安全與健康局
Familia Thyssen-Bornemisza,蒂森家族
Diócesis de Tortosa,天主教托爾托薩教區
La Albuera,拉尔武埃拉
Válor,巴洛尔
Torre-Cardela,托雷-卡尔德拉
Landete,兰德特
Concejo de la Mesta,梅斯塔荣誉会
Campeonato Mundial de Piragüismo en Eslalon de 1999,1999年世界輕艇激流錦標賽
Coria,科里亚
Alcolecha,阿尔科莱哈
Tren cremallera de Montserrat,蒙塞拉特齒軌鐵路
Puerta del Sol,太阳门
Estación de Barcelona-La Sagrera,巴塞隆拿薩格雷拉車站
Aguas de Busot,艾格斯
Torre Mapfre,邁普福雷塔
Mirinda,美年达
Complejo de Comunicaciones de Espacio Profundo de Madrid,馬德里深太空聯絡設施
Alfafara,阿尔法法拉
Alpeñés,阿尔佩涅斯
Dúrcal,杜尔卡尔
Vitoria,維多利亞
Zaidín,赛丁
Quéntar,肯塔尔
Zara,颯拉
España en los Juegos Olímpicos de Londres 2012,2012年夏季奥林匹克运动会西班牙代表团
Matadeón de los Oteros,马塔德翁德洛索特罗斯
Castrillo de Cabrera,卡斯特里略德卡夫雷拉
Facheca,法切卡
Albolote,阿尔沃洛特
Club Getafe Deportivo,赫塔费体育俱乐部
Icod de los Vinos,伊科-德洛斯比诺斯
Macotera,马科特拉
catedral de Jaén,哈恩主教座堂
Logroño,洛格罗尼奥
Ansó,安索
Colegio de San Gregorio,聖格雷戈里奥學校
Batalla de Fuentes de Oñoro,奧尼奧羅戰役
Línea de Alta Velocidad Madrid-Extremadura-Frontera portuguesa,里斯本-马德里高速铁路
Albalat de Taronchers,阿尔瓦拉特德尔斯塔龙赫尔斯
Aeropuerto de Murcia-San Javier,穆爾西亞
bandera de Cataluña,令旗
Convergència i Unió,加泰羅尼亞會合聯盟
Casa de Campo,田園之家站
Cantabrana,坎塔夫拉纳
Escamilla,埃斯卡米利亚
Teruel,特鲁埃尔
Yeste,耶斯特
Adsubia,阿德苏维亚
Gallur,加柳尔
Bello,贝略
Zas,萨斯 (拉科鲁尼亚省)
Amoroto,阿莫罗托
"Real Academia de Ciencias Exactas, Físicas y Naturales",西班牙皇家科学院
Salobreña,萨洛夫雷尼亚
El Maderal,埃尔马德拉尔
Código postal español,西班牙邮政编码列表
Línea Barcelona-Mataró-Massanet-Massanas,巴塞罗那–马塔罗–马萨内特-马萨内斯铁路
Teror,特罗尔
Calvarrasa de Arriba,卡尔瓦拉萨德亚里瓦
Alfaz del Pi,拉尔法斯德尔皮
Alcocer de Planes,阿尔科塞尔德普拉内斯
Roperuelos del Páramo,罗佩鲁埃洛斯德尔帕拉莫
SuperWASP,超廣角尋找行星
Universidad de Jaén,哈恩大學
Honrubia,翁鲁维亚
Roa,罗阿
Bocairente,博凯伦特
Jarafuel,哈拉富埃尔
Los Palacios y Villafranca,洛斯帕拉西奥西维利亚夫兰卡
Partit Socialista Unificat de Catalunya-Viu,现存的加泰罗尼亚统一社会党
Anquela del Ducado,安克拉德尔杜卡多
Ibaizábal,伊拜薩巴河
Asón,阿松河
Miera,美亚拉河
Pas,帕斯河 (西班牙)
Zújar,苏哈尔
Víznar,比斯纳尔
Geroa Bai,對未來說是
Avilés,阿维莱斯
río Sil,錫爾河 (西班牙)
Támega,塔梅加河
Invencible Inglesa,英格兰舰队
Zamudio,萨穆迪奥
Calamocha,卡拉莫查
Anguita,安吉塔
Alarilla,阿拉里利亚
Majadahonda,马哈达翁达
Aldea del Obispo,阿尔德亚德洛维斯波
Tauste,陶斯特
Paradela,帕拉德拉
Hayedos primarios de los Cárpatos y otras regiones de Europa,喀爾巴阡山脈原始山毛櫸森林和德國古山毛櫸森林
Día Once de Septiembre,加泰罗尼亚民族日
El Madroño,埃尔马德罗尼奥
Agrupación Deportiva Parla,帕尔拉体育联合会
Alcañiz,阿尔卡尼伊斯
Nalón,納隆河
Narcea,納爾塞阿河
río Navia,納維亞河
Escatrón,埃斯卡特龙
Alcalalí,阿尔卡拉利
Villanueva de las Torres,托雷斯新镇
Abánades,阿瓦纳德斯
Almoguera,阿尔莫格拉
Vuelo 5022 de Spanair,西班牙航空5022号班机空难
Pirámides de Güímar,瑰瑪金字塔
Villanueva Mesía,梅西亚新镇
Vélez de Benaudalla,贝莱斯德韦瑙达利亚
La Zubia,拉苏维亚
Alar del Rey,阿拉尔德尔雷
Sendero Europeo E-4,E4欧洲长距离徒步路径
Estadio José Zorrilla,新何塞·索里利亞球場
Sella,塞利亞河
Río Lérez,萊雷斯河
río Miño,米尼奧河
Antequera,安特克拉
Saja,薩哈河
Besaya,贝萨亚河
Deva,德瓦河
Alustante,阿卢斯坦特
Alcolea del Pinar,阿尔科莱亚德尔皮纳尔
Zarauz,萨劳斯
Estelada,星旗
Fuente Dé,德山
Hospital de los Reyes Católicos,天主教双王酒店
Batalla de Somosierra,索莫谢拉山战役
Bidasoa,比達索阿河
Nervión,內維翁河
Euskotren Trena,巴斯克鐵路列車
Iniciativa per Catalunya Verds,争取加泰罗尼亚倡议绿党
Esquerra Republicana de Catalunya,加泰隆尼亞共和左翼
Sabor,薩博爾河
río Águeda,阿圭達河
Primera División de España 1952/53,1952年至1953年西班牙足球甲级联赛
Árabes cristianos,阿拉伯基督徒
Arabayona de Mógica,阿拉瓦伊奥纳德莫希卡
Destiny Tour,Destiny巡回演唱会
Perosillo,佩罗西略
Galera,加莱拉
Gójar,戈哈尔
Navarrés,纳瓦雷斯
Ferreira,费雷拉
Freila,弗雷拉
Gobernador,戈韦尔纳多尔
Tormes,托爾梅斯河
Cordillera Litoral,加泰羅尼亞海岸山脈
Junta General del Principado de Asturias,审议会
Gestalgar,赫斯塔尔加尔
Puebla de San Miguel,普埃夫拉德圣米格尔
río Eo,埃奧河
Tambre,坦布雷河
río Ulla,烏利亞河
Río Eume,欧梅河
río Cea,塞阿河
Órbigo,奧爾維戈河
Huebra,韋夫拉河
Premio Goya a la mejor interpretación femenina de reparto,戈雅奖最佳女配角
Castellón de la Plana,卡斯特利翁-德拉普拉納
Puntallana,蓬塔利亚纳
San Andrés y Sauces,圣安德烈斯和绍塞斯
Capilla Real de Granada,皇家礼拜堂
Himno a León,莱昂颂歌
Castillo de Santa Bárbara,聖芭芭拉城堡
Balazote,巴拉索特
Casas de Juan Núñez,卡萨斯德胡安努涅斯
Villamena,比利亚梅纳
Almoradí,阿尔莫拉迪
Santa Cruz de La Palma,圣克鲁斯-德拉帕尔马
Alcolea de las Peñas,阿尔科莱亚德拉斯佩尼亚斯
Algueña,阿尔格尼亚
Primera batalla de Algeciras,第一次阿爾赫西拉斯海戰
Esquerra Unida i Alternativa,联合和选择左翼
Lérida,莱里达
Primera División de España 2005/06,2005年至2006年西班牙足球甲级联赛
Ablanque,阿夫兰克
Beniarrés,贝尼亚雷斯
Pisuerga,皮苏埃加河
Carrión,卡里翁河
Benejama,贝内克萨马
Breña Alta,上布雷尼亚
Corporación Mondragon,蒙德拉貢公司
Conferencia Internacional de Algeciras,阿爾赫西拉斯會議
Fonelas,福内拉斯
Las Gabias,拉斯加维亚斯
Altea,阿尔特亚
Serie 103 de Renfe,西班牙国铁103型电力动车组
Bandera de las Islas Baleares,巴利阿里群島區旗
Barlovento,巴尔洛文托
Arlanzón,阿尔兰松河谷
Río Esla,埃斯拉河
Alta Velocidad Española,AVE
Altafulla,阿尔塔富利亚
Alquería de Aznar,拉尔克里亚达斯纳尔
Alhóndiga,阿尔翁迪加
Cuenca,昆卡
Los Cerralbos,洛斯塞拉尔沃斯
Tarragona,塔拉戈纳
Altorricón,阿尔托里孔
Altos Hornos De Vizcaya,比斯开高炉
Columnas de Hércules,海格力斯之柱
Banyeres de Mariola,巴涅雷斯
Algora,阿尔戈拉
Adobes,阿多韦斯
Puerta de la Macarena,马卡雷纳门
Estadio Santiago Bernabéu,伯纳乌球场
Camp Nou,魯營球場
españoles,西班牙人
Barcelonés,巴塞罗那县
Bajo Llobregat,下略布雷加特
Telefónica,西班牙電信
Palos de la Frontera,帕洛斯-德拉弗龙特拉
Nuevo Estadio de Los Cármenes,新洛斯卡門斯球場
Foix,福什河
Fuente Vaqueros,丰特瓦克罗斯
Alcoroches,阿尔科罗切斯
Aldeanueva de Guadalajara,阿尔德亚努埃瓦德瓜达拉哈拉
Garafía,加拉菲亚
Breña Baja,下布雷尼亚
Fuencaliente de La Palma,丰卡连特-德拉帕尔马
Carcelén,卡尔塞伦
Gor,戈尔
Algar de Mesa,阿尔加尔德梅萨
Alcocer,阿尔科塞尔
