Kazimierz III Wielki,卡齐米日三世
Miłosz Bernatajtys,米沃什·贝尔纳塔伊蒂斯
Dariusz Brzozowski,德雷
Adam Kersten,亚当·克斯滕
Łukasz Koszarek,盧卡斯·科斯薩里科
Samuel Pisar,塞繆爾·皮薩爾
Paweł Rańda,帕维乌·兰达
Waldemar Kita,沃爾德瑪·基塔
Andrzej Paczkowski,安杰伊·帕兹科夫斯基
Jerzy Szacki,杰日·萨基
Jerzy Rutkowski,耶日·鲁特科夫斯基
Jan Młodożeniec,扬·莫洛多尼采克
Adam Skorek,亚当 斯科雷克
Jerzy Przybylski,耶日·普日比尔斯基
Ryszard Szymczak,理夏德·希姆恰克
Jerzy Kraska,耶日·克拉斯卡
Marian Ostafiński,马里安·奥斯塔芬斯基
Joachim Marx,约阿希姆·马克思
Adam Tomasiak,亚当·托马夏克
Adolf Hyła,阿道夫·海拉
Jan Maria Gisges,扬·吉斯盖斯
Jan Kwapiński,扬·克瓦平斯基
Jerzy Wiatr,耶日·維亞特爾
Jan Stanisławski,扬·斯坦尼斯瓦夫斯基
Jerzy Kłoczowski,耶日·克沃茨基
Jerzy Michalski,耶日·米哈尔斯基
Marcin Starzak,马辛·斯塔扎克
Czesław Wołłejko,切斯瓦夫·沃乌韦科
Henryk Iwański,亨利克·伊万斯基
Janusz Liberkowski,亞努什·利貝爾科夫斯基
Janina Broniewska,雅尼娜·布罗涅夫斯卡
Weronika Rosati,維羅妮卡·羅薩蒂
Tadeusz Klimecki,塔德乌什·克里马基
Adam Wiśniewski,亚当·维希涅夫斯基
Ewa Dałkowska,埃娃·达乌科夫斯卡
Jarosław Boberek,雅罗斯瓦夫·波贝雷克
Adam Nieniewski,亚当·涅涅夫斯基
Adam Smelczyński,亚当·斯梅尔琴斯基
Jankiel Wiernik,扬凯尔·维尔尼克
Agnieszka Arnold,阿格涅什卡·阿诺德
Agnieszka Brzeżańska,阿格涅希卡·布热赞斯卡
Joanna Leszczyńska,约安娜·莱什琴斯卡
Paweł Piskorski,帕維爾·皮斯科爾斯基
Izabela Dylewska,伊莎贝拉·迪莱夫斯卡
Agnieszka Skrzypulec,阿格涅什卡·斯克日普莱茨
Agnieszka Warchulska,阿格尼斯·瓦丘尔斯卡
John Kent,約翰·A·肯特
Joanna Łochowska,乔安娜·洛克维斯卡
Joanna Żółkowska,乔安娜·佐尔科夫斯卡
Janusz Tazbir,雅努什·塔兹比尔
Janusz Piechociński,雅努什·皮耶霍欽斯基
Agnieszka Kotulanka,阿格奈斯卡·科图兰卡
Tomasz Dąbal,托马斯·冬巴尔
Aleksander Jeljaszewicz,亞歷山大·傑爾賈斯朱維奇
Aaron Cel,阿隆·塞爾
Jolanta Szczypińska,约兰塔·什奇平斯卡
Agata Szymczewska,阿加塔·希姆切夫斯卡
Agnieszka Wagner,阿格尼斯卡·瓦格纳
Aldona Wos,阿尔多纳·沃斯
Julia Kolberger,朱莉娅·科尔伯格
Kazimierz Wyka,卡齐米日·维卡
Julia Brystiger,茱莉亞·布萊斯泰格
Teodor Morawski,特歐多爾・莫拉夫斯基
Paweł Olkowski,帕維爾·奥爾科夫斯基
Jerzy Borejsza,耶日·波列伊沙
Agnieszka Krukówna,阿格奈斯卡·克鲁科纳
Agnieszka Czopek,阿格涅什卡·乔佩克
Etel Szyc,埃特尔·席克
Jerzy Domaradzki,耶日·多马拉兹斯基
Paweł Waloszek,帕維爾·瓦洛塞克
Aleksander Narbutt-Łuczyński,纳巴特-鲁兹尼斯基
Alfred Miodowicz,苗多维奇
Józef Boguski,约瑟夫·博古斯基
Alfred Kałuziński,阿尔弗雷德·卡武津斯基
Alexandra Nice,亚历山德拉·尼斯
Alfons Flisykowski,阿爾馮斯·弗里斯科維斯基
Piotr Dumała,皮奥特·杜马拉
Florian Ziemiałkowski,弗洛里安·齊米亞寇斯基
Włodzimierz Pietrzak,沃齐米日·彼恰克
Piotr Piątek,彼得·皮安泰克
Elżbieta Zającówna,埃尔日别塔·扎永楚夫娜
Ewa Ziętek,伊娃·兹代克
Dorota Zięciowska,多罗塔·泽西沃斯卡
Alina Cała,阿里那·卡拉
Józef Trenkwald,约瑟夫·特伦克瓦尔德
Andrzej Biernat,安傑伊·比爾納特
Piotr Zieliński,彼得·傑林斯基
Piotr Polk,皮尔·波尔克
Alojzy Wir-Konas,阿洛伊齐·威尔－科纳斯
Kajetan Broniewski,卡耶坦·布罗涅夫斯基
Adam Idźkowski,亚当·伊兹科夫斯基
Andrzej Targowski,安德鲁·塔戈夫斯基
Andrzej Bednarz,安迪施積·比納斯
Andrzej Gronowicz,安杰伊·格罗诺维奇
Andrzej Gołaś,安杰伊·玛丽亚·戈拉斯
Andrzej Markowski,安傑伊·馬爾科夫斯基
Ryszard Galla,理夏德·蓋拉
Karol Linetty,卡羅爾·利内蒂
Włodzimierz Słobodnik,沃齐米日·斯沃博德尼克
Maciej Musiał,麥欽·穆蕭爾
Małgorzata Izabela Czartoryska,瑪格扎塔·伊莎貝拉·恰爾托雷斯卡
Włodzimierz Sokorski,沃齐米日·索科尔斯基
Karol Kuryluk,卡罗尔·库雷卢克
Katarzyna Herman,卡翠娜·赫尔曼
Eugeniusz Kamiński,欧根纽什·卡明斯基
Lucjan Szenwald,卢茨扬·申瓦尔德
Andrzej Kunert,安德烈·庫納特
Andrzej Pieczyński,安德烈泽杰·皮克齐因斯基
Kazimierz Kelles-Krauz,卡西米尔·凯勒斯-克劳斯
Alina Kaszlinska,阿林娜·卡什琳斯卡娅
Andrzej Nowicki,安杰伊·诺维茨基
Karol Ziemski,卡罗尔·杰姆斯基
Rafał Bruski,拉法乌·布鲁斯基
Karolina Kucharczyk,卡罗利娜·库哈尔奇克
Andrzej Przeworski,安杰伊·普沃斯基
Kazimierz Andrzej Jaworski,卡齐米日·安杰伊·亚沃尔斯基
Kazimierz Barcikowski,卡齐米日·巴尔奇科夫斯基
Rafał Janicki,拉法爾·雅尼基
Andrzej Strug,安德烈·斯特鲁格
Bronisław Troński,布罗尼斯瓦夫·特隆斯基
Rafał Kujawa,拉法·库贾瓦
Andrzej Wawrzyk,安德烈泽杰·沃瑞兹克
Katarzyna Wilk,卡塔日娜·瓦西克
Kasia Popowska,卡西亚·波波夫斯卡
Andrzej Szejna,安杰伊·舍伊纳
Anna Cymmerman,安娜·菜梅曼
Kazimierz Kaczor,卡齐米日·卡采索
Anna Romantowska,安娜·罗曼拖拉斯卡
Anna Gornostaj,安娜·戈尔诺斯塔伊
Anna Borkowska,伯特兰达修女
Kazimierz Piwarski,卡齐米日·皮瓦尔斯基
Anna Kalata,安娜·卡拉塔
Aneta Todorczuk,阿内塔·托多丘克-佩尔丘奇
Aneta Szczepańska,阿内塔·什切潘斯卡
Kazimierz Mijal,卡齐米日·米雅尔
Robert Smolańczuk,羅伯特·斯莫蘭楚克
Robert Lewin,罗伯特·列文
Aleksander Bednarz,亚历山大·贝德纳茨
Kazimierz Zakrzewski,卡齐米日·扎科泽夫斯基
Kazimierz Vetulani,卡齐米日·维图拉尼
Kazimierz Wajda,卡齊米日·華依達
Krystyna Krupa,克雷斯蒂娜·克鲁帕
Krystyna Jakubowska,克雷斯蒂娜·雅库博夫斯卡
Krystyna Kobylańska,克里斯蒂娜·科比蘭斯卡
Jerzy Zarzycki,耶日·扎日茨基
Krystyna Ostromęcka,克雷斯蒂娜·奥斯特罗门茨卡
Maciej Zembaty,马切伊·泽巴蒂
Krzysztof Globisz,克里斯多夫·古罗比斯基
Krzysztof Głowacki,克日斯托夫·格洛瓦茨基
Rudolf Prich,鲁道夫·普利希
Krzysztof Ratajski,克尔兹斯托夫·拉塔杰斯基
Ryszard Bosek,理夏德·博塞克
Ryszard Reiff,雷扎德·里夫
Ryszard Stadniuk,理夏德·斯塔德纽克
Krzysztof Majchrzak,克兹佐夫·马扎克
Roman Wapiński,罗曼·沃平斯基
Zofia Korbońska,佐菲亚·科邦斯卡
Kuba Ka,库巴·卡
Krzysztof Zalewski,克尔兹斯托夫·扎列夫斯基
Aleksander Ihnatowicz,亚历山大·伊纳托维奇
Leonard Danilewicz,莱昂纳多·丹尼莱维茨
Sebastian Radzio,塞巴斯蒂安·瑞茨欧
Lech Kuropatwiński,莱赫·库罗帕特温斯基
Lesław Bartelski,列斯拉夫·巴特尔斯基
Stanisław Marzyński,斯坦尼斯瓦夫·馬爾欽斯基
Leszek Gondek,莱谢克·贡德克
Sławomir Grünberg,斯瓦沃米尔·格林贝格
Aleksander Labuda,亚历山大·拉巴达
Leszek Podhorodecki,莱谢克·波德赫罗德茨基
Leopold Moczygemba,利奧波德·莫奇根巴
Leopold Łabędź,利奧波德·拉培兹
Leopold Lewin,利奥波德·列文
Lidia Chmielnicka-Żmuda,利迪娅·赫梅尔尼茨卡-日穆达
Andrzej Barański,安德烈·巴拉恩斯基
Stanisław Dubois,斯坦尼斯瓦夫·杜博伊斯
Stanisław Jędryka,斯坦尼斯瓦夫·耶德里卡
Stanisław Wawrzecki,斯坦尼斯瓦夫·瓦兹卡奇
Stanisław Wróblewski,斯坦尼斯瓦夫·弗鲁布莱夫斯基
Jacek Bromski,雅采克·博朗姆斯基
Mieczysław Mackiewicz,米齊斯瓦夫·麥基維奇
Marek Obertyn,马雷克·奥别尔京
Stanisław Klimecki,斯坦尼斯瓦夫·克利梅斯基
Stanisław Kutrzeba,斯坦尼斯瓦夫·库特热巴
Zuzanna Bijoch,蘇珊娜·碧約
Konrad Nałęcki,康拉德·纳莱茨基
Lucjan Kydryński,卢茨扬·基德林斯基
Lucyna Andrysiak,盧西納·安德里斯亞克
Stanisław Miedza-Tomaszewski,斯坦尼斯瓦夫·梅扎-托马谢夫斯基
Stanisław Musiał,斯坦尼斯瓦夫·穆西亚夫
Stanisław Ostoja-Chrostowski,斯坦尼斯瓦夫·奥斯托亚·赫洛托夫斯基
Maciej Freimut,马切伊·弗雷穆特
Maciej Gajos,馬切伊·加諾斯
Maciej Stachowiak,馬切伊·斯塔霍維亞克
Stefan Kapłaniak,斯特凡·卡普瓦尼亚克
Stefan Kiedrzyński,斯特凡·基耶真斯基
Stefan Kopeć,斯特凡·科佩奇
Stefan Szlaszewski,斯蒂凡·施拉舍夫斯基
Maksymilian Ciężki,马克西米利安·切斯基
Maksymilian Horwitz,马克西米利安·瓦雷基
Stanisława de Karłowska,斯坦尼斯拉瓦的卡洛維
Aleksander Ładoś,亚历山大·瓦多什
Stefan Flukowski,斯特凡·弗鲁科夫斯基
Eugeniusz Priwieziencew,欧根纽什·普里维耶泽切夫
Marcin Rogacewicz,马尔辛·罗加塞维茨
Sylwester Braun,塞尔韦斯特·布劳恩
Marcin Kubiak,馬爾欽·庫比亞克 (天文學家)
Sylwia Parys,时维娅佩诗
Aleksandra Lisowska,亚历山德拉·利索斯卡
Marceli Struszyński,马赛利·斯特鲁申斯基
Aleksandra Gietner,亚历山德拉·盖特纳
Marek Zając,马雷克·扎亚茨
Marcin Wolski,马钦·沃尔斯基
Marek Brodzki,馬雷克·布羅茲基
Szymon Marciniak,西蒙·馬克切尼亞克
Tadeusz Trojanowski,塔德乌什·特罗扬诺夫斯基
Aleksandra Popławska,亚历山德拉·波夫斯卡
Maria Niklińska,玛丽亚·尼克林斯卡
Tadeusz Śliwiak,塔德乌什·希利维亚克
Marek Rocki,馬雷克·洛基
Marek Witkowski,马雷克·维特科夫斯基
Maria Śliwka,玛丽亚·希利夫卡
Waldemar Kazanecki,沃尔德玛·卡扎涅吉
Waldemar Kikolski,瓦尔德马·基科尔斯基
Wacław Gajewski,瓦茨瓦夫·加耶夫斯基
Maria Golimowska,玛丽亚·戈利莫夫斯卡
Wacław Struszyński,瓦茨瓦夫·斯特鲁申斯基
Wacław Micuta,瓦茨瓦夫·米祖塔
Alfons Ślusarski,阿尔方斯·希卢萨尔斯基
Filip Sulimierski,菲利普·苏利米尔斯基
Mariusz Rybicki,马里乌什·里比茨基
Tomasz Beksiński,湯瑪斯·貝克辛斯基
Tadeusz Sulimirski,塔德乌什·苏利米尔斯基
Wiesław Gawlikowski,维斯瓦夫·加夫利科夫斯基
Marian Tałaj,马里安·塔瓦伊
Tomasz Jasiński,托马斯·亚辛斯基
Teresa Marczewska,特蕾莎·玛索丝嘉
Tomasz Karolak,托马兹·卡罗拉克
Tomasz Kamusella,托马什·卡穆塞拉
Wincenty Okołowicz,文岑蒂·奧科沃維奇
Witold Bieńkowski,威托德·比恩科夫斯基
Wanda Wiecha-Wanot,万达·维哈
Tomasz Kędziora,托馬什·科奇奧拉
Wanda Sieradzka de Ruig,万达西拉兹卡
Mateusz Kościukiewicz,马特乌什·科希丘凯维奇
Witold Lesiewicz,維托爾德·列謝維奇
Alfred Schütz,阿尔弗雷德·许兹
Tomasz Tomiak,托马什·托米亚克
Wiktor Zborowski,威克多·泽伯拉斯基
Tomasz Sapryk,托马什·萨普里克
Mateusz Zachara,马特乌什·扎恰拉
Wojciech Kurpiewski,沃伊切赫·科爾皮斯基
Wincenty Baranowski,温森蒂·巴拉诺夫斯基
Witold Dzierżykraj-Morawski,维托尔德·齐尔日克拉伊-莫拉夫斯基
Małgorzata Socha,玛戈扎塔·索莎
Małgorzata Bartyzel,馬烏戈熱塔·巴特佐
Maria Wojciechowska,玛丽亚·沃伊切霍斯卡
Barbara Winiarska,巴尔巴拉·温尼亚斯卡
Tomasz Zieliński,托马什·杰林斯基
Max Marcin,馬克斯·馬爾欽
Małolat,Małolat
Wojciech Jankowski,沃伊切赫·扬科夫斯基
Kazimierz Bąbiński,卡齐米日·邦宾斯基
Władysław Cyganiewicz,瓦迪克·茲比史可
Jerzy Ziarnik,耶日·扎爾尼克
Witold Giersz,維托爾德·蓋爾斯
Alicja Wyszyńska,艾莉西亚·维申斯卡
Wojciech Klata,胡契克·卡勒塔
Małgorzata Książkiewicz,马乌戈热塔·克西翁日凯维奇
Małgorzata Dłużewska,马乌戈热塔·德乌热夫斯卡
Anna Bikont,安娜·比孔特
Michał Cieślak,米哈乌·切希拉克
Izabella Wilczyńska-Szalawska,伊扎贝拉·维尔琴斯卡-萨劳斯卡
Alicja Sapryk,艾丽嘉·萨普里克
Małgorzata Kidawa-Błońska,马乌戈热塔·基达瓦-布翁斯卡
Michał Zaleski,米切尔·扎列斯基
Michał Zadara,米哈乌·扎达拉
Władysław Czapliński,瓦迪斯瓦夫·恰普林斯基
Michał Szpak,米侯·舒巴克
Michał Janiszewski,雅尼舍夫斯基
Michał Pulkowski,普爾科夫斯基
Michal Wisniowski,米歇尔·维斯尼奥斯
Władysław Karaś,瓦迪斯瓦夫·卡拉希
Włodzimierz Brus,弗拉基米尔·布鲁斯
Władysław Kozaczuk,瓦迪斯瓦夫·科萨丘克
Władysław Szuszkiewicz,瓦迪斯瓦夫·舒什凯维奇
Michał Szpakowski,米哈乌·什帕科夫斯基
Abradab,阿布拉达布
Mieczysław Klimaszewski,米奇斯瓦夫·克里曼斯谢夫斯基
Władysław Wejtko,瓦迪斯瓦夫·韦特科
Władysław Zieliński,瓦迪斯瓦夫·杰林斯基
Adam Bauman,亚当·鲍曼
Wojciech Wiszniewski,沃杰西奇·威斯妮斯基
Jerzy Bossak,耶日·波薩克
Zbigniew Kwiatkowski,兹比格涅夫·克维亚特科夫斯基
Anna Ciepielewska,安娜·齐皮勒夫斯卡
Włodzimierz Stefański,沃齐米日·斯特凡斯基
Zbigniew Paleta,兹比格涅夫·帕莱塔
Mirosław Zbrojewicz,米洛斯拉夫·兹布罗邹维奇
Mirosław Rzepkowski,米罗斯瓦夫·热普科夫斯基
Anatol Mühlstein,阿納托爾·穆赫爾斯泰因
Wilhelm Orlik-Rückemann,威廉·奥利克·吕克曼
Józef Kustroń,约瑟夫·库斯特龙
Zdzisław Spieralski,兹齐斯瓦夫·斯皮拉尔斯基
Zbigniew Zarzycki,兹比格涅夫·扎日茨基
Zbigniew Lubiejewski,兹比格涅夫·卢别耶夫斯基
Zofia Baniecka,佐菲亚·班尼叶卡
Andrzej Arendarski,阿倫達爾斯基
Norbert Barlicki,诺尔贝尔茨·巴尔利茨基
Natalia Maliszewska,娜塔莉亚·马利谢夫斯卡
Natalia Karp,娜塔莉亞·卡普
Aleksandra Jordan,奧拉·喬丹
Patrycja Soliman,帕特里克贾·索利曼
Andrzej Bryg,安德烈·布赖格
Patrycja Wyciszkiewicz-Zawadzka,帕特蕾恰·维齐什凯维奇
Patryk Dobek,帕特里克·多貝克
Zofia Kirkor-Kiedroniowa,佐菲亚·格拉布斯卡
Zofia Leśniowska,苏菲娅·莱斯妮奥斯卡
Stefan Jędrychowski,斯特凡·英德里霍夫斯基
Łukasz Różycki,武卡什·罗佐基
Adam Hutyra,亚当·胡提拉
Łukasz Kamiński,乌卡什·卡明斯基
Osman Achmatowicz,歐斯曼·阿奇瑪托維奇
Pascal Brodnicki,百事高
Andrzej Chudy,安德雷·楚迪
Adam Wielomski,亞當·維洛姆斯基
Andrzej Cofalik,安杰伊·措法利克
Andrzej Domalik,安德烈·多马利克
Andrzej Dycha,迪哈
Adam Krylik,亚当·克里克
Łukasz Skorupski,盧卡什·斯科魯普斯基
Witold Łokuciewski,Witold Łokuciewski
Janusz Pawłowski,雅努什·帕夫沃夫斯基
Andrzej Duda,安杰伊·杜达
Jacek Odrowąż,聖雅青
Zbigniew Mitzner,兹比格涅夫·米兹纳
Adam Sikora,亚当·斯考拉
Eugeniusz Molczyk,尤金纽斯·莫尔奇克
Andrzej Grembowicz,安德烈·格伦博维奇
Andrzej Halicki,安杰伊·哈利茨基
Artur Janusiak,阿尔图尔·贾努西亚克
Bronisława Dłuska,布洛尼斯拉娃·杜斯卡
Dobiesław Damięcki,杜別斯瓦·达米克基
Andrzej Tomecki,安杰伊·托梅茨基
Adam Strzembosz,亚当
Mirosława Dubrawska,米罗斯瓦娃·杜布拉夫斯卡
Artur Nogal,阿尔图尔·诺加尔
Artur Młodnicki,阿图尔·莫德尼基
Andrzej Kotkowski,安德热·科他科斯基
Andrzej Wojciechowski,安德热·沃希裘维斯基
Adam Woronowicz,亚当·沃诺维茨
Andrzej Krauze,安德烈·克劳兹
Stanisław Herbst,斯坦尼斯瓦夫·赫布斯特
Konstanty Hegel,康斯坦蒂·黑格爾
Adolf Henryk Silberschein,亚伯拉罕·希尔波斯凯恩
Włodzimierz Haupe,維洛茲米爾茲·霍普
Asja Łamtiugina,阿斯娅·拉姆蒂乌吉娜
Barbara Bursztynowicz,Barbara Bursztynowicz
Anna Apostolakis,安娜·阿波斯托拉基斯
Adrian Ochalik,阿德里安·奥查利克
Barbara Labuda,芭芭拉·拉巴达
Agnieszka Fajlhauer,阿格涅斯卡·法伊尔豪尔
Andrzej Poniedzielski,安德烈·波尼德斯基
Barbara Sass,芭芭拉·萨斯
Agnieszka Kunikowska,Agnieszka Kunikowska
Barbara Pec-Ślesicka,芭芭拉·佩奇-莱斯莱卡
Bronisław Tusk,布罗尼斯瓦夫·图斯克
Agnieszka Kaczorowska,阿格奈斯卡·卡克佐罗斯卡
Agnieszka Kobus,阿格涅什卡·科布斯-扎沃伊斯卡
Anna Kalczyńska,安娜·卡尔钦斯卡
Agnieszka Korneluk,阿格涅希卡·卡科莱瓦斯卡
Agnieszka Suchora,阿格尼斯卡·萨奇沃拉
Agnieszka Pilaszewska,阿格涅什卡·皮拉谢夫斯卡
Agnieszka Żulewska,阿格涅斯卡·茹乌列夫斯卡
Agnieszka Podsiadlik,Agnieszka Podsiadlik
Bartosz Porczyk,巴尔托什·波尔奇克
Bartosz Such,巴托茲·沙赫
Brygida Turowska,布吕吉达·图洛夫斯卡
Anna N. Żytkow,安娜·祖特闊夫
Anna Omielan,安娜·奧米蘭
Anna Oberc,安娜·奥伯克
Anna Powierza,安娜·波维莎
Cezary Studniak,切扎里·斯图德尼亚克
Anna Wendzikowska,安娜·温兹科沃斯卡
Elżbieta Kopocińska,Elżbieta Kopocińska
Cyprian Odorkiewicz,西普里安·奥多尔基耶维奇
Anna Zalewska,安娜·扎列夫斯卡
Grzegorz Drojewski,格热哥兹·德罗耶夫斯基
Grzegorz Czelej,格热戈什•柴莱伊
Bernard Hanaoka,伯纳德·花冈
Emil Wojtaszek,埃米尔·沃伊塔谢克
Bernard Błaszczyk,布拉斯吉克
Grzegorz Kuczeriszka,格热戈日·库切里什卡
Bodo Kox,博多·考克斯
Grzegorz Piechowiak,皮丘沃克
Grzegorz Marek Poznański,格尔泽格斯·马雷克·波兹南斯基
Grzegorz Miecugow,格雷戈尔·米库久夫
Grzegorz Warchoł,格热戈日·沃霍尔
Antoni Olszewski,安东尼·奥尔谢夫斯基
Damian Czykier,達米安·茨基爾
Grzegorz Łomacz,格热戈日·沃马奇
Damian Kulig,達米安·庫利格
Eugeniusz Malinowski,欧根纽什·马利诺夫斯基
Bogumił Godfrejów,博格米尔·戈弗雷乔
Danuta Stachow,达努塔·斯塔霍夫
Hanna Chrzanowska,汉娜·赫扎诺夫斯基
Halina Skoczyńska,哈利娜·斯戈贞斯加
Hanna Kinder-Kiss,汉娜·金德-基斯
Ewa Audykowska,伊娃·奥迪科夫斯卡
Bogusław Leśnodorski,博古斯瓦夫·列斯诺多尔斯基
Dariusz Jemielniak,达留斯·耶米尔尼阿克
Ewa Durska,埃娃·杜尔斯卡
Dariusz Jakubowski,達里烏斯·雅庫博夫斯基
Halina Wyrodek,哈利娜·维罗德克
Dariusz Pender,达里乌斯·潘德
Arkadiusz Janiczek,Arkadiusz Janiczek
Arkadiusz Jakubik,阿卡迪乌斯·雅库比克
Ewa Kuzyk-Florczak,伊娃·库兹克-弗洛尔扎克
Dariusz Siastacz,达留斯·西亚斯塔茨
Dariusz Odija,达里乌斯·奥迪亚
Dawid Ogrodnik,达维德·奥格罗德尼克
Dawid Konarski,大衛·康納爾斯基
Ewa Telega,伊娃·特莱加
Dawid Dryja,達維德·德里亞
Ewa Łętowska,埃娃·桑托夫斯卡
Fabian Drzyzga,法比安·德爾奇佳
Rafał Trzaskowski,拉法·特扎斯科夫斯基
Donatan,多娜坦
Feliks Perl,费利克斯·佩尔
Bolesław Leitgeber,博莱斯瓦夫·莱特盖贝尔
Rajmund Andrzejczak,拉杰蒙德·安杰伊恰克
Dorota Naruszewicz,多罗塔·纳鲁谢维奇
Dorota Terakowska,多萝塔·特雷科斯卡
Rena Rolska,雷娜·罗尔斯卡
Bolesław Michałek,博萊斯瓦夫·米哈萊克
Robert Górski,罗伯特·戈尔斯基
Franciszek Duszeńko,弗朗齐谢克·杜申科
Robert Wabich,罗伯特·瓦比希
Edward Kajdański,爱德华·卡伊丹斯基
Robert Telus,罗伯特·泰卢斯
Jarosław Duda,鐸達
Franciszek Ząbecki,弗兰西舍克·赞别斯基
Franciszek Wójcicki,弗朗西謝克·沃西基
Stanisława Gierek,斯坦尼斯洛娃·盖莱克
Radosław Piwowarski,拉多斯拉夫·皮沃瓦斯基
Rafał Cieszyński,拉法尔·切申斯基
Rafał Brzozowski,拉法夫·布罗佐夫斯基
Rafał Bujnowski,Rafał Bujnowski
Roman Łągwa,罗曼·沃伊采霍维奇·隆格瓦
Romuald Lipko,罗穆亚尔德·利普科
Rafał Maserak,拉法尔·马塞拉克
Tadeusz Reger,塔德烏什·雷格
Stefan Olszowski,斯特凡·奥尔绍夫斯基
Wacław Kaźmierczak,瓦茨瓦夫·卡茲米爾查克
Stefan Wilkanowicz,斯特凡·維爾卡諾維奇
Stanisław Karczewski,斯坦尼斯瓦夫·卡尔切夫斯基
Stefania Wilczyńska,斯蒂芬妮娅·维尔钦斯基
Sylwester Chęciński,沙瓦特·趣肯斯金
Sylwester Czopek,塞尔韦斯特·乔佩克
Waldemar Barwiński,瓦尔德玛·巴尔维斯基
Stanisław Kostarski,郭泰基
Waldemar Dziki,瓦尔德玛·德齐基
Ryszard Nawrocki,理夏德·纳夫罗茨基
Ryszard Petru,理夏德·彼得魯
Stanisław Kuźnik,斯塔尼斯拉夫·库茨尼克
Stanisław Lenartowicz,斯坦尼斯拉夫·萊納托維奇
Waldemar Obłoza,瓦尔德玛·奥布洛萨
Szymon Hołownia,霍兰西亚·希蒙
Ryszard Terlecki,特勒斯基
Szymon Romać,希蒙·羅馬奇
Teresa Janina Kierocińska,特雷莎·雅尼娜·凯罗钦斯卡
Ryszard Zatorski,里萨德·扎托尔斯
Stanisław Mrozowski,斯坦尼斯瓦夫·罗佐斯基
Tomasz Borkowy,托马斯·博科维
Sławomir Holland,斯拉沃米尔·荷兰德
Tomasz Bednarek,托马斯·贝德纳雷克
Tom Swoon,多利安·多馬夏克
Tomasz Dedek,托马斯·戴德克
Stanisław Petkiewicz,斯坦尼斯瓦夫·佩特凯维奇
Witold Waszczykowski,维托尔德·瓦什奇科夫斯基
Tadek Marek,塔德克·馬雷克
Wojciech Birek,沃依切赫·博雷克
Tomasz Kozłowicz,托马斯·科兹洛维奇
Tomasz Marzecki,托马什·马热茨基
Wojciech Duryasz,沃伊切赫·杜里亚斯
Tomasz Mandes,托马斯·曼德斯
Wojciech Ferens,沃伊切赫·費倫斯
Stanisław Salmonowicz,斯坦尼斯瓦夫·萨尔莫诺维奇
Wojciech Grochowski,沃西切赫·格罗霍夫斯基
Tomasz Oskar Sosnowski,托馬斯·奧斯卡·索斯諾夫斯基
Tadeusz Bradecki,塔德乌什·布拉德基
Tomasz Posadzki,朴拖馬
Stanisław Staszewski,斯坦尼斯拉夫·斯塔舍夫斯基
Tadeusz Chomicki,塔德乌什·霍米茨基
Wojciech Krzemiński,沃伊切赫·克热明斯基
Wojciech Lamentowicz,拉曼托維奇
Tomasz Tyndyk,托马斯斯·泰迪克
Tomasz Steciuk,托马斯·斯蒂乔克
Wojciech Malajkat,Wojciech Malajkat
Tomasz Wiszniewski,托马斯·维兹涅夫斯基
Wojciech Mecwaldowski,沃伊切赫·麦克瓦尔达斯基
Wojciech Machnicki,沃西切·马赫尼基
Wojciech Nowak,沃杰特克·诺瓦克
Wojciech Nowicki,沃伊切赫·诺维茨基
Wojciech Paszkowski,沃西切·帕斯科夫斯基
Tytus Woyciechowski,蒂图斯·沃伊切霍夫斯基
Tymoteusz Karpowicz,蒂蒙图斯·卡波维兹
Stanisław Wilczyński,斯坦尼斯瓦夫·维尔钦斯基
Wojciech Sadurski,沃伊切赫·薩杜爾斯基
Wojciech Solarz,沃伊切赫·索拉兹
Wincenty Mieczysław Zawadzki,梅齐斯瓦夫·扎瓦斯基
Włodzimierz Niderhaus,沃兹米泽·尼德豪斯
Wincenty Szymborski,文岑蒂·申博尔斯基
Wincenty Okoń,文岑蒂·奥孔
Wojciech Zieliński,沃伊切赫·杰林斯基
Wojciech Włodarczyk,沃伊切赫·沃達雷茲克
Wojciech Zajączkowski,赛熙军
Wit Apostolakis-Gluziński,威特·阿波斯托拉基斯-格卢津斯基
Włodzimierz Wiszniewski,弗拉基米尔· 维兹涅夫斯基
Andrzej Wrona,安德烈·弗羅納
Zygmunt Chajzer,齐格蒙特·查泽尔
Anna Cieślak,安娜·切希拉克
Witold Jabłoński,夏伯龍
Zygmunt Frankiewicz,齊格蒙特·弗朗基維茨
Witold Rodziński,韦托德·罗津斯基
Antoni Pawlicki,安东尼·鲍里克基
Grzegorz Heromiński,格熱戈日·海羅明斯基
Grzegorz Pawlak,格热戈日·帕夫拉克
Bartosz Opania,巴托斯·奥帕尼奥
Barbara Ślizowska,芭尔芭拉·希利佐夫斯卡
Władysław Kowalski,瓦迪斯瓦夫·科瓦爾斯基
Zygmunt Zieliński,齊格蒙特·齊林斯基
Zbigniew Konopka,兹比格涅夫·科诺普卡
Łukasz Garlicki,鲁卡兹·加里克奇
Borys Budka,博雷斯·布德卡
Ignacy Hercok,伊格纳西·赫尔柯克
Łukasz Krawczuk,武卡什·克拉夫丘克
Ida Nowakowska,愛達·諾瓦科沃斯卡
