Idioma catalán,加泰罗尼亚语
Rioseco de Tapia,里奥塞科德塔皮亚
Santa Cristina de Valmadrigal,圣克里斯蒂娜-德瓦尔马德里加尔
Beas de Guadix,贝亚斯德瓜迪斯
Almegíjar,阿尔梅希哈尔
Atarfe,阿塔尔费
Arenas del Rey,阿雷纳斯德尔雷伊
Armilla,阿米利亚
Cabra del Campo,卡夫拉德尔坎普
Constantí,康斯坦蒂
Escudo de Carlos I de España,神圣罗马皇帝查理五世的纹章
Acuerdo Tripartito de Madrid,馬德里協定·(1975年)
Palomas (Badajoz),帕洛马斯
Miravete de la Sierra,米拉韦特德拉谢拉
Idioma árabe,阿拉伯语
Tórtola de Henares,托尔托拉德埃纳雷斯
Portugalete,波图加莱特
Llamas de la Ribera,利亚马斯德拉里韦拉
Cuadros,夸德罗斯
Riello (León),列略
Tébar,特瓦尔
Tarazona de la Mancha,塔拉索纳德拉曼查
Tinajas (Cuenca),蒂纳哈斯
Castrocalbón,卡斯特罗卡尔翁
Palacios de la Valduerna,帕拉西奥斯德拉瓦尔杜埃尔纳
Villalgordo del Júcar,比利亚尔戈尔多德尔胡卡尔
Tejadillos,特哈迪略斯
Batzarre,大会·(政党)
Valencia de Don Juan,巴伦西亚德唐胡安
El Manzano (España),埃尔曼萨诺
Carrocera,卡罗塞拉
Polícar,波利卡尔
Píñar,皮尼亚尔·(西班牙)
El Pinar (Granada),埃尔皮纳尔
Cáñar,卡尼亚尔
Benalúa de las Villas,贝纳卢阿-德拉斯比利亚斯
Lardero,拉尔德罗
Pesoz,佩索斯
Cádiar,卡迪亚尔
Cájar,卡哈尔
Tajo,塔霍河
Forcarey,福尔卡雷
Manzanal del Barco,曼萨纳尔德尔瓦尔科
Parque natural de la Bahía de Cádiz,加的斯湾自然公园
Capileira,卡皮莱拉
Castril,卡斯特里尔
Duero,杜罗河
Cástaras,卡斯塔拉斯
Cenes de la Vega,塞内斯德拉维加
Alcázar de Segovia,塞哥维亚城堡
Mañón,马尼翁
Villafranca de los Barros,巴罗斯自由镇
Baliarrain,巴利亚赖恩
Alcudia,阿尔库迪亚
NUTS de España,西班牙地域統計單位命名法
Esguevillas de Esgueva,埃斯格维利亚斯德埃斯格瓦
Cútar,库塔尔
Matanza de los Oteros,马坦萨
Santo Domingo de las Posadas,圣多明各-德拉斯波萨达斯
Benamaurel,贝纳毛雷尔
Bubión,布维翁
Cacín,卡辛·(格拉纳达省)
Bérchules,贝尔丘莱斯
Monasterio de la Sierra,莫纳斯特里奥德拉谢拉
Busquístar,布斯基斯塔尔
Puerto Lumbreras,普埃托伦布雷拉斯
Vallés Oriental,东巴列斯
Guadiana,瓜地亞納河
Caniles,卡尼莱斯
Castilléjar,卡斯蒂列哈尔
Guadalquivir,瓜达尔基维尔河
San Pedro Bercianos,圣佩德罗韦尔西亚诺斯
Santa Marina del Rey,圣马丽娜-德尔雷伊
Cebanico,塞瓦尼科
Gordaliza del Pino,戈尔达利萨德尔皮诺
Chauchina,乔奇纳
Toma de Melilla,征服梅里利亞
Ganekogorta,加內科戈爾塔山
Pozuelo del Páramo,波苏埃洛德尔帕拉莫
Prado de la Guzpeña,普拉多德拉古斯佩尼亚
Castrillo de la Valduerna,卡斯特里略德拉瓦尔杜埃尔纳
Idioma occitano,奥克语
Quintana del Castillo,金塔纳德尔卡斯蒂略
Pajares de los Oteros,帕哈雷斯德洛索特罗斯
Partido Socialista Obrero Español,西班牙工人社会党
Línea 3 (Metro de Barcelona),巴塞隆拿地鐵3號線
Benalúa,贝纳卢阿
Júcar,胡卡爾河
Santa María la Real de Nieva,圣马里亚拉雷亚尔德涅瓦
España en los Juegos Olímpicos de Pekín 2008,2008年夏季奧林匹克運動會西班牙代表團
Observatorio IRAM Pico Veleta,IRAM·30米望遠鏡
Alquife,阿尔基费
Lupiana,卢皮亚纳
Arco de Gibraltar,直布羅陀弧
Santiago de Compostela,聖地亞哥-德孔波斯特拉
Proclamación de la República Catalana de 2017,加泰隆尼亞共和國·(2017年)
Hermanos de las Escuelas Cristianas,喇沙會
Tiebas-Muruarte de Reta,铁瓦斯-穆鲁阿尔特德雷塔
Barrio de La Ribera,里贝拉·(巴塞罗那)
Calicasas,卡利卡萨斯
Moreruela de Tábara,莫雷鲁埃拉德塔瓦拉
El Bodón,埃尔沃东
Bédar,贝达尔
Bugedo,布赫多
Monte Gorbea,戈爾比亞山脈
Copa del Rey de fútbol 2011-12,2011年至2012年西班牙国王杯足球赛
Baños árabes (Palma de Mallorca),阿拉伯浴室·(帕尔马)
Oiz,奧茲山
Chimeneas,奇梅内亚斯
Cortes de Baza,科尔特斯德巴萨
Campazas,坎帕萨斯
RWE,莱茵集团
Cuevas del Campo,库埃瓦斯德尔坎波
Cortes y Graena,科尔特西格赖纳
Almonacid de Toledo,阿尔莫纳西德托莱多
San Rafael del Río,滨河圣拉斐尔
Zafra,萨夫拉
Zafarraya,萨法拉亚
Almarza de Cameros,阿尔马尔萨德卡梅罗斯
Dólar (Granada),多拉尔
Dúdar,杜达尔
Cogollos de Guadix,科戈略斯德瓜迪斯
Colomera,科洛梅拉
Cogollos de la Vega,科戈略斯维加
Vilanova de Segriá,塞格里亚新镇
Armañanzas,阿尔马尼扬萨斯
Pulianas,普利亚纳斯
Zúñiga,苏尼加
La Calahorra,拉卡拉奥拉
Churriana de la Vega,丘里亚纳德拉维加
Santa Fe (Granada),圣菲·(格拉纳达省)
Primera División de España 1982-83,1982–83赛季西班牙足球甲级联赛
Torrejón el Rubio,托雷霍内尔鲁维奥
Puebla de Don Fadrique,唐法德里克镇
San Esteban de Litera,圣埃斯特万德利特拉
Primera División de España 1955-56,1955–56赛季西班牙足球甲级联赛
Matilla de los Caños del Río,马蒂利亚德洛斯卡尼奥斯德尔里奥
Soportújar,索波尔图哈尔
Salar (Granada),萨拉尔·(格拉纳达省)
Logroño,洛格罗尼奥
Alcadozo,阿尔卡多索
Alcaraz,阿尔卡拉斯
Alcalá del Júcar,胡卡尔堡
Alatoz,阿拉托斯·(市镇)
Alpera,阿尔佩拉
Rubite,鲁维特
Primera División de España 1963-64,1963–64赛季西班牙足球甲级联赛
Villatoya,比利亚托亚
Villavaliente,比利亚瓦连特
Villamiel de la Sierra,比利亚米耶尔德拉谢拉
Villapalacios,比利亚帕拉西奥斯
Villaverde de Guadalimar,瓜达利马尔河畔比利亚韦德
Zahara de la Sierra,萨阿拉-德拉谢拉
Zahara de los Atunes,萨阿拉-德洛斯阿图内斯
Santa Cruz de Tenerife,圣克鲁斯-德特内里费
Cubillas de los Oteros,库维利亚斯-德洛斯奥特罗斯
Santa Colomba de Somoza,圣科隆瓦德索莫萨
Mansilla Mayor,大曼西利亚
Fuentealbilla,丰特阿尔维利亚
Montmell,埃尔蒙特梅利
Dúrcal,杜尔卡尔
Darro,达罗
Dílar,迪拉尔
Dehesas de Guadix,德埃萨斯德瓜迪斯
Cúllar,库利亚尔
Alcántara,阿尔坎塔拉
Aldeire,阿尔德雷
Albuñán,阿尔武尼扬
Alhendín,阿尔恩丁
Alfacar,阿尔法卡尔
Albuñuelas,阿尔武纽埃拉斯
Museo del Fútbol Club Barcelona,巴塞羅那足球俱樂部博物館
Oviedo,奥维耶多
Vitoria,維多利亞·(西班牙)
Diócesis de Solsona,天主教索爾索納教區
Alborea,阿尔沃雷亚
Albatana,阿尔瓦塔纳
Mérida (España),梅里達·(西班牙)
Ribas del Sil,里瓦斯德西尔
Ruta europea E7,欧洲E7公路
Villamuelas,比利亚穆埃拉斯
Algarinejo,阿尔加里内霍
Deifontes,德丰特斯
Abengibre,阿文希夫雷
Santa Cruz del Comercio,圣克鲁斯德尔科梅尔西奥
Purullena,普鲁列纳
Sorvilán,索尔维兰
San Esteban de Nogales,圣埃斯特万德诺加莱斯
Gordoncillo,戈尔东西略
Regueras de Arriba,上雷格拉斯
Río Noya,阿諾亞河
Albolote,阿尔沃洛特
Albuñol,阿尔武尼奥尔
Herrera de Pisuerga,埃雷拉德皮苏埃尔加
Mirinda,美年达
Santiponce,桑蒂蓬塞
Alpeñés,阿尔佩涅斯
Cantabrana,坎塔夫拉纳
Escamilla,埃斯卡米利亚
Alberite de San Juan,阿尔韦里特德圣胡安
Escúzar,埃斯库萨尔
Monasterio de San Cugat del Vallés,圣库加特修道院
Mendaza,门达萨
Villatobas,比利亚托瓦斯
Bañalbufar,巴尼亚尔武法尔
Escalona (Toledo),埃斯卡洛纳
Icazteguieta,伊卡斯特吉耶塔
Santurde de Rioja,桑图尔德德里奥哈
Aceuchal,阿塞乌查尔
Ribamontán al Mar,里瓦蒙塔纳尔马尔
Nacionalismo andaluz,安達盧西亞民族主義
Albondón,阿尔翁东
Río Asón,阿松河
Río Pas,帕斯河·(西班牙)
Río Saja,薩哈河
Río Ibaizábal,伊拜薩巴河
Castrillo de Cabrera,卡斯特里略德卡夫雷拉
Gusendos de los Oteros,古森多斯-德洛斯奥特罗斯
Matadeón de los Oteros,马塔德翁-德洛斯奥特罗斯
Batalla de Villaviciosa (1710),比利亞維西奧薩戰役
Campeonato Europeo de Baloncesto Masculino de 2007,2007年歐洲籃球錦標賽
Diócesis de Tortosa,天主教托爾托薩教區
La Lapa,拉拉帕
Bolsa de Madrid,馬德里證券交易所
Calamocha,卡拉莫查
Antequera,安特克拉
Alar del Rey,阿拉尔德尔雷
Icod de los Vinos,伊科-德洛斯比诺斯
Tauste,陶斯特
El Valle (Granada),埃尔瓦列
Torvizcón,托尔维斯孔
Valle del Zalabí,巴列德尔萨拉维
Esteríbar,埃斯特里瓦尔
Grado (Asturias),格拉多·(阿斯图里亚斯)
Turón (Granada),图龙·(格拉纳达省)
Agaete,阿盖特
Micieces de Ojeda,米希耶塞斯德奥赫达
Luyego,卢伊埃戈
Bidasoa,比達索阿河
Nervión,內維翁河
Castrotierra de Valmadrigal,卡斯特罗铁拉德瓦尔马德里加尔
Maraña,马拉尼亚
San Emiliano (León),圣埃米利亚诺
Magaz de Cepeda,马加斯德塞佩达
Catedral de Pamplona (España),潘普洛纳主教座堂
Ahillones,阿伊略内斯
Villasexmir,比利亚塞斯米尔
Teruel,特鲁埃尔
Línea de alta velocidad Madrid-Extremadura,馬德里—埃斯特雷馬杜拉高速鐵路
Macotera,马科特拉
Ansó,安索
Undués de Lerda,温杜埃斯德莱尔达
Cubel,库韦尔
Puenteareas,蓬特亚雷亚斯
Batalla de Sagrajas,萨拉卡战役
Golada,戈拉达
Bello (Teruel),贝略
Aguilar de Campoo,阿吉拉尔德坎波奥
Gallur,加柳尔
Alcañiz,阿尔卡尼斯
Escatrón,埃斯卡特龙
SuperWASP,超廣角尋找行星
Honrubia,翁鲁维亚
Jarafuel,哈拉富埃尔
Bocairente,博凯伦特
Puebla de San Miguel,圣米格尔镇
Gestalgar,赫斯塔尔加尔
Trevélez,特雷韦莱斯
Vegas del Genil,维加斯德尔赫尼尔
Válor,巴洛尔
Torre-Cardela,托雷-卡尔德拉
La Taha,拉塔阿
Adsubia,阿德苏维亚
Aguas de Busot,艾格斯·(西班牙)
Albatera,阿尔瓦特拉
Yeste,耶斯特
Río Miño,米尼奧河
Río Sil,錫爾河·(西班牙)
Corral-Rubio,科拉尔-鲁维奥
Casas-Ibáñez,卡萨斯-伊瓦涅斯
Río Támega,塔梅加河
Zamudio,萨穆迪奥
España en los Juegos Olímpicos de Londres 2012,2012年夏季奥林匹克运动会西班牙代表团
Facheca,法切卡
Agüero (Huesca),阿圭罗·(西班牙)
Agüimes,阿圭梅斯
Coria,科里亚·(卡塞雷斯省)
La Albuera,拉阿尔武埃拉
Valdefresno,巴尔德夫雷斯诺
Huéscar,韦斯卡尔
Río Eume,欧梅河
Río Lérez,萊雷斯河
Río Tambre,坦布雷河
Río Ulla,烏利亞河·(西班牙)
Río Eo,埃奧河
Roperuelos del Páramo,罗佩鲁埃洛斯德尔帕拉莫
Chozas de Abajo,下乔萨斯
Cotillas,科蒂利亚斯
Víznar,比斯纳尔
Huéneja,韦内哈
Pirámides de Güímar,瑰瑪金字塔
Villanueva Mesía,梅西亚新镇
Vélez de Benaudalla,贝莱斯德韦瑙达利亚
La Zubia,拉苏维亚
Agulo,阿古洛
Salvatierra (Álava),萨尔瓦铁拉
Gójar,戈哈尔
Freila,弗雷拉
Río Nalón,納隆河
Río Navia,納維亞河
Río Narcea,納爾塞阿河
Río Sella,塞利亞河
Río Deva,德瓦河
Fuente Vaqueros,丰特瓦克罗斯
Río Foix,福伊克斯河
Gor,戈尔·(格拉纳达省)
Villanueva de las Torres,托雷斯新镇
Zújar,苏哈尔·(格拉纳达省)
Alcalalí,阿尔卡拉利
Ferreira (Granada),费雷拉
Navarrés,纳瓦雷斯
Las Gabias,拉斯加维亚斯
Galera (Granada),加莱拉·(西班牙)
Fonelas,福内拉斯
Balazote,巴拉索特
Gobernador (Granada),戈韦尔纳多尔
Casas de Juan Núñez,卡萨斯德胡安努涅斯
Casas de Lázaro,卡萨斯德拉萨罗
Bienservida,比恩塞尔维达
Carcelén (España),卡尔塞伦
Alfafara,阿尔法法拉
Alcolecha,阿尔科莱哈
Alfaz del Pi,拉尔法斯德尔皮
Alcocer de Planes,阿尔科塞尔德普拉内斯
Invencible Inglesa,英国无敌舰队
Zaidín (Huesca),赛丁
Bilbao Arena,毕尔巴鄂竞技场
Haro,阿罗·(拉里奥哈自治区)
Air Madrid,馬德里航空
Air Nostrum,諾斯特姆航空
"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",伊比利亚-美洲国家组织
Auñón,奥尼翁
Universidad Nacional de Educación a Distancia,国立远程教育大学
Andosilla,安多西利亚
Catedral de la Asunción (Jaén),哈恩主教座堂
Nuevo Estadio de Los Cármenes,新洛斯卡門斯球場
Partido de la Sierra en Tobalina,帕尔蒂多德拉谢赖恩托瓦利纳
Pedrola,佩德罗拉
Derio,德里奥
Los Guájares,洛斯瓜哈雷斯
Gualchos,瓜尔乔斯
Orihuela del Tremedal,奥里韦拉德尔特雷梅达尔
Huélago,韦拉戈
Guadahortuna,瓜达奥尔图纳
Güéjar Sierra,圭哈尔谢拉
Huétor Vega,韦托尔维加
Antigua (Fuerteventura),安蒂瓜
Río Sabor,薩博爾河
Avilés,阿维莱斯
Cenizate,塞尼萨特
Benasque,贝纳斯克
Río Águeda,阿圭達河
Zara,飒拉
Villamena,比利亚梅纳
Almoradí,阿尔莫拉迪
El Ballestero,埃尔瓦列斯特罗
Güevéjar,格韦哈尔
Elche de la Sierra,埃尔切德拉谢拉
Estopiñán del Castillo,埃斯托皮尼扬德尔卡斯蒂略
Tazacorte,塔萨科尔特
Paderne,帕德尔内
Alcolea de las Peñas,阿尔科莱亚德拉斯佩尼亚斯
Alarilla,阿拉里利亚
Algueña,阿尔格尼亚
Abánades,阿瓦纳德斯
Almoguera,阿尔莫格拉
Alhóndiga (Guadalajara),阿尔翁迪加
Anquela del Ducado,安克拉德尔杜卡多
Anguita (Guadalajara),安吉塔
Alustante,阿卢斯坦特
Alcolea del Pinar,阿尔科莱亚德尔皮纳尔
Tormes,托爾梅斯河
Zarauz,萨劳斯
Río Carrión,卡里翁河
Pisuerga,皮苏埃加河
Puerta del Sol,太阳门广场
Amoroto,阿莫罗托
Salobreña,萨洛夫雷尼亚
Quéntar,肯塔尔
"Real Academia de Ciencias Exactas, Físicas y Naturales",西班牙科學院
Diócesis de Barbastro-Monzón,天主教巴瓦斯特羅-蒙松教區
Moraleda de Zafayona,莫拉莱达-德萨法约纳
Landete,兰德特
Concejo de la Mesta,梅斯塔荣誉会
Majadahonda,马哈达翁达
Aldea del Obispo,奥维斯波村
Estelada,星旗
Zas,萨斯·(拉科鲁尼亚省)
Río Cea,塞阿河
Río Órbigo,奧爾維戈河
Río Huebra,韋夫拉河
Río Esla,埃斯拉河
Alcover,阿尔科韦尔
Donhierro,东耶罗
Chinchilla de Montearagón,钦奇利亚-德蒙特阿拉贡
Alquería de Aznar,拉尔克里亚达斯纳尔
Columnas de Hércules,海格力斯之柱
Vuelo 5022 de Spanair,西班牙航空5022号班机空难
Hospital de los Reyes Católicos,天主教双王酒店
Batalla de Somosierra,索莫謝拉戰役
Estadio José Zorrilla,何塞·索里利亚球场
Convergència i Unió,统一与联合
Iniciativa per Catalunya Verds,为了加泰罗尼亚倡议绿党
Esquerra Republicana de Catalunya,加泰罗尼亚共和左翼
Provincia (España),西班牙省份
Primera División de España 1952-53,1952–53赛季西班牙足球甲级联赛
Calvarrasa de Arriba,上卡尔瓦拉萨
Árabes cristianos,阿拉伯基督徒
El Madroño,埃尔马德罗尼奥
Agrupación Deportiva Parla,帕尔拉体育联合会
Cordillera Litoral,加泰羅尼亞海岸山脈
Paradela,帕拉德拉
Esquerra Unida i Alternativa,联合与替代左翼
Casasbuenas,卡萨斯武埃纳斯
Aeropuerto de Murcia-San Javier,莫夕亞-聖哈維爾機場
Albalat de Taronchers,阿尔瓦拉特德尔斯塔龙赫尔斯
Arabayona de Mógica,阿拉瓦伊奥纳德莫希卡
Destiny Tour,Destiny巡回演唱会
Perosillo,佩罗西略
Los Palacios y Villafranca,洛斯帕拉西奥斯和比利亚弗兰卡
Castillo de Santa Bárbara,聖芭芭拉城堡
Capilla Real de Granada,皇家礼拜堂·(格拉纳达)
Partit Socialista Unificat de Catalunya Viu,现存的加泰罗尼亚统一社会党
Fuente Carreteros,丰特卡雷特罗斯
Huétor de Santillán,韦托尔桑蒂良
Bañeres,巴涅雷斯
Benejama,贝内克萨马
Algora,阿尔戈拉
Alcoroches,阿尔科罗切斯
Adobes,阿多韦斯
Aldeanueva de Guadalajara,瓜达拉哈拉新村
Albaicín,阿尔拜辛
Albacete Balompié,阿爾巴塞特足球會
Terrassa Futbol Club,泰拿沙足球會
Vallmoll,巴利莫利
Jaizquíbel,海斯基贝尔山脉
Aduna,阿杜纳
Vélez-Blanco,贝莱斯-夫兰科
Germade,克塞尔马德
Friol,夫里奥尔
Puerta de la Macarena (Sevilla),马卡雷纳门
La Vansa Fornols,拉万赛福尔诺尔斯
Ablanque,阿夫兰克
Teror,特罗尔
Roa,罗阿·(布尔戈斯省)
Día de Cataluña,加泰罗尼亚民族日
Hayedos primarios de los Cárpatos y otras regiones de Europa,喀尔巴阡山脉及欧洲其它地区的原始山毛榉林
Camp Nou,魯營球場
División Azul,蓝色师
Museo del Prado,普拉多博物馆
Telefónica,西班牙電信
Pueblo español,西班牙人
Torrente (Valencia),托伦特·(巴伦西亚省)
Campeonato Mundial de Bádminton de 2006 - Individual femenino,2006年世界羽毛球錦標賽女子單打項目
Cartagena (España),卡塔赫纳·(西班牙)
El Maderal,埃尔马德拉尔
Tarragona,塔拉戈纳
Ciudad Real,雷阿爾城
Castellón de la Plana,卡斯特利翁-德拉普拉納
Corporación Mondragon,蒙德拉貢公司
Primera División de España 2005-06,2005–06赛季西班牙足球甲级联赛
Los Cerralbos,洛斯塞拉尔沃斯
Trévago,特雷瓦戈
Fuerte de San Carlos (Palma de Mallorca),圣卡洛斯城堡
Taboada (Lugo),塔沃阿达
Casar de Cáceres,卡萨尔德卡塞雷斯
Lérida,莱里达
Nogueira de Ramuín,诺盖拉德拉穆伊恩
Sajazarra,萨哈萨拉
Santa Cruz de La Palma,圣克鲁斯-德拉帕尔马
Espadilla,埃斯帕迪利亚
Torreserona,托雷-塞罗纳
Primera División de España 1989-90,1989–90赛季西班牙足球甲级联赛
Cuenca (España),昆卡·(西班牙)
Albacete,阿尔瓦塞特
Conferencia de Algeciras,阿爾赫西拉斯會議
Barcelonés,巴塞罗那县
Bajo Llobregat,下略夫雷加特
La Cuba,拉库瓦
Estadio Santiago Bernabéu,圣地亚哥·伯纳乌球场
Coslada,科斯拉达
Altafulla,阿尔塔富利亚
Alcocer,阿尔科塞尔
Albares (Guadalajara),阿尔瓦雷斯·(瓜达拉哈拉省)
Albalate de Zorita,阿尔瓦拉特德索里塔
Algar de Mesa,阿尔加尔德梅萨
Beniarrés,贝尼亚雷斯
Roncal,龙卡尔
Breña Alta,上布雷尼亚
Barlovento (La Palma),巴尔洛文托
Barbuñales,巴尔武尼亚莱斯
Molvízar,莫尔维萨尔
Colunga,科伦加
Alto Campo,上坎波
Ceánuri,塞阿努里
Priorato (Tarragona),普里奥拉托
Tierra Alta,铁拉阿尔塔
Garafía,加拉菲亚
Escudo de España,西班牙国徽
Puntagorda,蓬塔戈尔达·(加那利群岛)
El Paso (La Palma),埃尔帕索·(加那利群岛)
Piñuécar-Gandullas,皮纽埃卡尔-甘杜利亚斯
Puerto de la Cruz,克鲁斯港
San Lorenzo del Munt,聖洛朗斯德曼山
Sport (periódico),每日體育報
Aldea del Rey,雷伊村·(雷阿尔城省)
Campeonato Mundial Junior de Atletismo de 2012,2012年世界青年田徑錦標賽
Acueducto de les Ferreres,費雷雷斯水道橋
Brenes,布雷内斯
VirusTotal,VirusTotal
Fuencaliente de La Palma,丰卡连特-德拉帕尔马
Tarragonés,塔拉戈纳县
Alto Panadés,上佩内德斯
Breña Baja,下布雷尼亚
Aeropuerto Adolfo Suárez Madrid-Barajas,阿道弗·苏亚雷斯马德里-巴拉哈斯机场
Carballo (La Coruña),卡尔瓦略
Instituto Cervantes,塞萬提斯學院
Tormos (Alicante),托尔莫斯
Muros,穆罗斯·(拉科鲁尼亚省)
Palos de la Frontera,帕洛斯-德拉弗龙特拉
Navalmanzano,纳瓦尔曼萨诺
Festival Internacional de Cine de San Sebastián,聖塞瓦斯蒂安國際電影節
Gastronomía de España,西班牙飲食
Numancia,努曼西亚
Viandar de la Vera,比安达尔德拉贝拉
El Corte Inglés,英格列斯百貨
Anexo:Baloncesto en los Juegos Olímpicos de Barcelona 1992,1992年夏季奥林匹克运动会篮球比赛
Caldas de Montbuy,卡尔德斯-德蒙布伊
Campins,坎平斯
Figaró-Montmany,菲加罗-蒙特马尼
Canovellas,卡诺韦利亚斯
Cánoves y Samalús,卡诺韦斯
Castelltersol,特索尔堡
Castellcir,锡尔堡·(西班牙)
Cardedeu,卡德德乌
Bigas,比加斯
Aiguafreda,艾瓜夫雷达
La Ametlla,拉阿梅特利亚
Anexo:Temporada 2008-09 del Fútbol Club Barcelona,巴塞隆拿足球俱樂部2008年至2009年球季
Virreinato de Nueva España,新西班牙總督轄區
Anexo:Gran Premio de España de 2008,2008年西班牙大奖赛
Circuito urbano de Valencia,巴伦西亚街道赛道
Circuito de Barcelona-Cataluña,巴塞罗那-加泰罗尼亚赛道
Puntallana,蓬塔利亚纳
San Andrés y Sauces,圣安德烈斯和绍塞斯
Urda,乌尔达
Primera División de España 1939-40,1939-40赛季西班牙足球甲级联赛
