Osasco,奥萨斯库
Colombo (Paraná),哥伦布·(巴西)
Parintins,帕林廷斯
São Luís de Montes Belos,圣路易斯-迪蒙蒂斯贝卢斯
Mamanguape,马曼瓜皮
Valença (Bahia),瓦伦萨·(巴伊亚州)
Navegantes,纳韦甘蒂斯
Jussara (Goiás),茹薩拉·(戈亞斯州)
Cristalina,克里斯塔利娜
Xapuri,沙普里
Mato Grosso,马托格罗索州
Estádio Municipal Paulo Machado de Carvalho,帕卡恩布体育场
Presidente Figueiredo,菲格雷多總統鎮
Inhacorá,伊尼亚科拉
Jacareí,雅卡雷伊
Diocese de Irecê,天主教伊雷塞教区
Icaraí de Minas,伊卡拉伊-迪米纳斯
Curimatá,库里马塔
Panambi,帕南比
Pejuçara,佩茹萨拉
Santo Augusto,圣奥古斯图
São Valério do Sul,南圣瓦莱里奥
Acreúna,阿克莱乌纳
Bozano,博薩諾
Espírito Santo (estado),圣埃斯皮里图州
Jardim (Mato Grosso do Sul),雅爾丁·(南馬托格羅索州)
Itaituba,伊泰圖巴
Silva Jardim,席尔瓦-雅尔丁
Corumbiara,科倫比亞拉
Serra (Espírito Santo),塞拉·(聖埃斯皮里圖州)
Ponta Porã,蓬塔波朗
Ribeirão Pires,里贝朗皮里斯
Jussari,茹萨里
Borborema (Paraíba),博博雷马
Belo Horizonte,贝洛奥里藏特
Luverdense Esporte Clube,盧維丹斯體育會
Macaé Esporte Futebol Clube,马卡埃足球俱乐部
Associação Desportiva Recreativa Cultural Icasa,伊卡萨足球俱乐部
Campo Largo (Paraná),坎普拉古
Piranhas (Goiás),皮拉尼亞斯·(戈亞斯州)
Morrinhos (Goiás),莫里紐斯·(戈亞斯州)
Planaltina do Paraná,巴拉那州普拉纳尔蒂纳
Vespasiano (Minas Gerais),韦斯帕夏诺
Erval Velho,旧埃瓦尔
Lajeado (Rio Grande do Sul),拉热阿杜
Lago do Junco,拉戈-杜容科
Barra do Quaraí,巴拉杜夸赖
Paraty,帕拉蒂
Republicanos (partido político),巴西共和黨
Mucurici,穆庫里西
Amélia Rodrigues (Bahia),阿梅利娅罗德里格斯
Treze Tílias,特雷齐蒂利亚斯
Mafra (Santa Catarina),马夫拉·(巴西)
Corupá,科鲁帕
Vargem Grande,大瓦尔任
Piraí,皮拉伊
Timon,蒂蒙
Soure (Pará),索雷·(帕拉州)
São Domingos (Goiás),聖多明戈斯·(戈亞斯州)
Humaitá (Amazonas),烏邁塔·(亞馬遜州)
Mesquita (Minas Gerais),梅斯基塔·(米納斯吉拉斯州)
Lista de municípios de Goiás,戈亞斯州市鎮列表
Jaraguá (Goiás),雅拉瓜
Clube de Regatas Brasil,巴西雷加塔斯俱乐部
Vila Boa (Goiás),博阿镇·(戈亚斯州)
Jussara (Paraná),茹薩拉·(巴拉那州)
Costa Rica (Mato Grosso do Sul),科斯塔里卡·(南馬托格羅索州)
Lista de municípios do Acre,阿克里州市鎮列表
Rondônia,朗多尼亚州
Nova Ramada,新拉马达
Rio Grande do Norte,北里奥格兰德州
Jardim de Piranhas,雅尔丁-迪皮拉尼亚斯
Arena do Grêmio,格雷米奥竞技场
Cumbe,昆貝
Castelândia,卡斯特兰迪亚
Pereira Barreto,佩雷拉巴雷图
Costa Marques,科斯塔馬克斯
Campos Verdes,坎波斯弗迪斯
Emilianópolis,埃米利亚诺波利斯
Palmas (Paraná),帕尔马斯·(巴拉那州)
Atalaia (Alagoas),阿塔拉亞·(阿拉戈斯州)
Elisiário,埃利夏里奥
Inaciolândia,伊纳西奥兰迪亚
Porto dos Gaúchos,加乌舒斯港
Arez (Rio Grande do Norte),阿雷斯·(巴西)
Tupi Football Club,图皮足球俱乐部
Duque de Caxias Futebol Clube,卡希亚斯公爵城足球俱乐部
Nova Aliança,新阿利安萨
Santa Fé do Sul,南圣菲
Campestre da Serra,坎佩斯特里达塞拉
Santa Cruz das Palmeiras,圣克鲁斯-达斯帕尔梅拉斯
Estrela d'Oeste,西埃斯特雷拉
Paulo de Faria,保罗迪法里亚
Ipiguá,伊皮瓜
Hibria,金屬暴龍樂團
Arataca,阿拉塔卡
São Francisco do Conde,圣弗朗西斯科-杜孔迪
Santo Amaro das Brotas,布羅塔斯的聖阿馬魯
Campeonato Mundial de Futebol de Areia de 2001,2001年沙滩足球世界锦标赛
Museu do Ipiranga,圣保罗人博物馆
Avaí (São Paulo),阿瓦伊·(圣保罗州)
Parque Nacional da Amazônia,亞馬遜河國家公園
Pinhal de São Bento,皮尼亚尔-迪圣本图
Ilhéus,伊列乌斯
Aeroporto Internacional de Manaus,马瑙斯-爱德华多·戈梅斯国际机场
Franco da Rocha,弗朗库-达罗沙
Partido dos Trabalhadores,勞工黨·(巴西)
Embaúba (São Paulo),恩巴乌巴
Porto Mauá,毛阿港
Óleo (São Paulo),奥莱奥
Santa Rosa de Goiás,戈亚斯州圣罗莎
Santana do Paraíso,聖安娜-杜帕拉伊索
Santa Terezinha do Tocantins,托坎廷斯州圣特雷济尼亚
Santo Antônio da Platina,圣安东尼奥-达普拉蒂纳
Sirinhaém,锡里尼亚恩
Beija-mão,吻手礼
Catedral Metropolitana de São Paulo,圣保罗主教座堂
Parque Nacional Cavernas do Peruaçu,佩魯瓦蘇洞國家公園
São Gabriel (Rio Grande do Sul),聖加布里埃爾·(南里奧格蘭德州)
Feliz Natal (Mato Grosso),费利斯纳塔尔
Timbaúba,廷巴乌巴
Lajeado Novo,新拉热阿杜
Ipaussu,伊保苏
Neves Paulista,内韦斯保利斯塔
Monte Aprazível,蒙蒂阿普拉齐韦尔
Pindorama (São Paulo),平多拉马
Caçu,卡苏
Ceará Sporting Club,塞阿拉竞技俱乐部
Fernandópolis,费尔南多波利斯
Rubineia,鲁比内亚
Ipeúna,伊佩乌纳
Itatinga,伊塔廷加
Mercês (Minas Gerais),梅尔塞斯
Santo Antônio do Caiuá,圣安东尼奥-杜卡尤阿
São Domingos do Cariri,圣多明戈斯-杜卡里里
Poá,波阿
Américo Brasiliense,阿梅里科布拉西林塞
Paulistânia,保利斯坦尼亚
Guzolândia,古佐兰迪亚
Piratininga,皮拉蒂宁加
Ibitinga,伊比廷加
Pedra Bela,佩德拉贝拉
Lutécia,卢特西亚
Nhandeara,年德阿拉
Olindina,奥林迪纳
Bom Princípio,邦普林西皮奥
Arroio do Sal,阿罗约多萨尔
Zortéa,佐特阿
Nova Palmeira,新帕尔梅拉
Santo Antônio de Lisboa (Piauí),圣安东尼奥-迪里斯本
Araçagi,阿拉萨吉
Wenceslau Braz (Minas Gerais),文塞斯勞布拉斯·(米納斯吉拉斯州)
Conceição da Aparecida,康塞桑-达阿帕雷西达
Balneário Pinhal,巴尔内阿里奥皮尼亚尔
Irará,伊拉拉
Lindolfo Collor (Rio Grande do Sul),林多尔富科卢尔
Roseira,罗塞拉·(巴西)
Alto Alegre do Maranhão,马拉尼昂州上阿莱格雷
Avaí Futebol Clube,阿瓦伊足球俱乐部
Tucuruí,圖庫魯伊
Juarina,茹阿里纳
Serrana,塞拉纳
Guaraqueçaba,瓜拉克萨巴
Ibituruna,伊比图鲁纳
Frederico Westphalen (Rio Grande do Sul),弗雷德里库-韦斯特帕伦
Campeonato Mundial de Basquetebol Masculino de 1954,1954年世界籃球錦標賽
Santarém (Pará),聖塔倫
Brejo (Maranhão),布雷茹
Caatiba,卡蒂巴
Rio de Contas (município),里奥迪孔塔斯
Damião (Paraíba),达米昂
Nuporanga,努波兰加
São Francisco (Paraíba),圣弗朗西斯科·(帕拉伊巴州)
Lavras da Mangabeira,拉夫拉斯-达曼加贝拉
Doutor Ulysses,乌里塞斯博士镇
Pedro do Rosário,佩德罗杜罗萨里奥
Lagoa dos Patos,帕图斯潟湖
Santa Rita d'Oeste,西圣丽塔
Lençóis Paulista,伦索伊斯-保利斯塔
Pradópolis,普拉多波利斯
Santa Clara d'Oeste,西圣克拉拉
Lucianópolis,卢西亚诺波利斯
Matão,马唐·(巴西)
Sales Oliveira,萨利斯奥利韦拉
Santa Rita do Passa Quatro,圣丽塔-杜帕萨夸特鲁
Região Sul do Brasil,巴西南部地区
Happy Science,幸福科學
Marinópolis,马里诺波利斯
Arabutã,阿拉布塔
Medianeira (Paraná),梅迪亚内拉
Santa Rita do Itueto,圣丽塔-杜伊图埃图
Jaguarari,雅瓜拉里
Inundações e deslizamentos de terra no Rio de Janeiro e São Paulo em janeiro de 2010,2010年里約熱內盧洪水和泥石流災害
Satélite Sino-Brasileiro de Recursos Terrestres,资源一号卫星
Casa Grande,大卡萨
Corpo de Fuzileiros Navais,巴西海軍陸戰隊
Nova Granada (São Paulo),新格拉纳达·(圣保罗州)
Nova Odessa,新敖德萨·(巴西)
Lavínia (São Paulo),拉維尼亞·(聖保羅州)
Japonvar,雅蓬瓦尔
Correntina,科伦蒂纳
Eliminatórias da Copa do Mundo FIFA de 2014 - Repescagem intercontinental,2014年國際足協世界盃外圍賽·(跨洲附加賽)
Chapada Diamantina,迪亞曼蒂納高原
Itaí,伊塔伊
Bilac,比拉克·(巴西)
São Sebastião da Grama,圣塞巴斯蒂昂-达格拉马
Potirendaba,波蒂伦达巴
Iacanga,亚坎加
Iaras,亚拉斯
Santa Albertina,圣阿尔贝蒂纳
Nova Luzitânia,新卢齐塔尼亚
Itobi,伊托比
Orindiúva,奥林迪乌瓦
Brotas (São Paulo),布罗塔斯
Jupiá,茹皮亚
Nova Marilândia,新马里兰迪亚
Santo Amaro do Maranhão,马拉尼昂河畔圣阿马鲁
Paralelo 5 N,北纬5度线
Rio Grande da Serra,里奥格兰德-达塞拉
Itainópolis,伊泰诺波利斯
Santa Cecília (Santa Catarina),聖塞西利亞·(聖卡塔琳娜州)
Anori,阿諾里·(亞馬遜州)
Chuí,舒伊·(巴西)
Aramina,阿拉米纳
Amparo (São Paulo),安帕羅·(聖保羅州)
Jogos Pan-Americanos de 2007,2007年泛美運動會
Tamboara,坦博阿拉
Mirador (Paraná),米拉多爾·(巴拉那州)
Iguatu (Ceará),伊瓜圖·(塞阿拉州)
Mairiporã,迈里波朗
Campeonato Brasileiro de Futebol - Série D,巴西足球丁级联赛
Itaú (Rio Grande do Norte),伊塔乌
Santa Maria do Herval,圣玛丽亚-杜埃瓦尔
Bela Vista do Piauí,皮奥伊州贝拉维斯塔
Diocese de Jales,天主教雅利斯教区
Ribeirão Grande,大里贝朗
Diocese de Caratinga,天主教卡拉廷加教区
São Joaquim de Bicas,圣若阿金-迪比卡斯
Brás Pires,巴拉斯皮雷斯
Santana do São Francisco,聖弗朗西斯科的桑塔納
Jaguaré,雅瓜雷
Leopoldo de Bulhões,莱奥波尔多-迪布良伊斯
Uberaba,烏貝拉巴
Jussiape,茹西亚皮
Ponte Octávio Frias de Oliveira,奥克塔维奥·弗里亚斯·德奥利韦拉大桥
Chapadão do Céu,沙帕当-杜塞乌
Paragominas,帕拉戈米納斯
Manhuaçu,马纽阿苏
Colatina,科拉蒂納
Sítio do Mato,锡蒂乌-杜马图
Peixoto de Azevedo,佩绍图-迪阿泽韦杜
Cromínia,克罗米尼亚
Cajapió,卡雅皮奥
Itinga,伊廷加
Coxilha (Rio Grande do Sul),科希利亚
Cotia,科蒂亚
Miss Universo 2011,2011年度環球小姐比賽
Pardinho,帕尔迪纽
São Marcos (Rio Grande do Sul),圣马科斯
Centenário (Rio Grande do Sul),森特纳里乌
Aeroporto Internacional do Recife-Guararapes,累西腓/瓜拉拉皮斯-吉尔贝托·弗雷雷国际机场
Elói Mendes,埃洛伊门迪斯
Pitangueiras (São Paulo),皮坦蓋拉斯·(聖保羅州)
Bom Jardim da Serra,邦雅尔丁-达塞拉
Braganey,布拉加内
Cachoeira de Pajeú,卡舒埃拉-迪帕热乌
Campo Bom,坎普博姆
Diocese de Óbidos,天主教奧比多斯教區
Adolfo (São Paulo),阿多尔福
Nazaré do Piauí,皮奥伊州纳扎雷
Godofredo Viana,戈多夫雷多维亚纳
Boa Vista do Ramos,博阿維斯塔杜拉莫斯
Cabixi,卡比希
Cardoso,卡尔多苏
Indiaporã,因迪亚波拉
Murutinga do Sul,南穆鲁廷加
Jales,雅利斯
Nipoã,尼波昂
Mirante do Paranapanema,巴拉那帕内马河畔米兰蒂
Diocese de Nazaré,天主教纳扎雷教区
Canitar,卡尼塔尔
Assis Chateaubriand (Paraná),阿西斯沙特奥布里延德
Santa Maria do Suaçuí,圣玛丽亚-杜苏阿苏伊
São Borja,圣博尔雅
Laguna Carapã,拉古納卡拉龐
Apuí,阿普伊
Altinópolis,阿尔蒂诺波利斯
Barra do Rio Azul,巴拉杜里约阿祖尔
Potengi,波滕日
Guapiaçu,瓜皮亚苏
Nova Independência,新独立城
Ituverava,伊图韦拉瓦
Itapura,伊塔普拉
Pareci Novo,新帕雷西
Mário Campos,马留坎普斯
Montividiu,蒙蒂维迪乌
Francisco Sá (Minas Gerais),弗朗西斯科萨
Nova Esperança,新埃斯佩兰萨·(巴西)
Pinhão (Paraná),皮尼扬
São José do Bonfim,圣若泽-杜邦芬
General Salgado,萨尔加杜将军镇
Paulicéia,保利塞亚
Ouroeste,欧鲁埃斯特
Glicério (São Paulo),格利塞里乌
Guarantã (São Paulo),瓜兰唐
Mira Estrela,米拉埃斯特雷拉
Santa Salete,圣萨莱蒂
Arquidiocese de Feira de Santana,天主教费拉迪圣安娜总教区
Iguaraçu,伊瓜拉苏
Couto Magalhães (Tocantins),科图马加良伊斯
Toropi,托罗皮
Copa do Mundo FIFA de Futebol de Areia de 2007,2007年國際足協沙灘足球世界盃
Eliminatórias da Copa do Mundo FIFA de 2014 - América do Sul,2014年國際足協世界盃外圍賽·(南美洲區)
Gavião Peixoto,加维奥-培肖特
Paudalho,保达柳
Região Sudeste do Brasil,巴西东南部地区
Santa Rosa de Viterbo (São Paulo),圣罗莎-迪维特布
Cidade de Deus (Rio de Janeiro),上帝之城·(里约热内卢)
Garibaldi (Rio Grande do Sul),加里波第城·(南大河州)
Alhandra (Paraíba),阿兰德拉
Aeroporto Internacional de São Paulo-Guarulhos,聖保羅/瓜魯柳斯-安德烈·弗朗哥·蒙托羅州長國際機場
Lábrea,拉布里亞
Meridiano 66 W,西經66度線
João Pinheiro,若昂皮涅鲁
Mandaguaçu,曼达瓜苏
Ipixuna do Pará,伊皮舒納杜帕拉
Santana do Manhuaçu,圣安娜-杜马纽阿苏
Canarana (Bahia),卡纳拉纳
Iporá,伊波拉·(巴西)
Gado Bravo,加杜布拉武
Lista de municípios do Paraná,巴拉那州市鎮列表
Itamarati,伊塔馬拉蒂
Veranópolis,韦拉诺波利斯
Alagoinha (Pernambuco),阿拉戈伊尼亞·(伯南布哥州)
Jaboticabal,雅博蒂卡巴尔
Reserva do Cabaçal,卡巴萨尔河雷塞尔瓦
Alcântara (Maranhão),阿尔坎塔拉·(巴西)
Palestina de Goiás,戈亚斯州帕莱斯蒂纳
Sátiro Dias,萨蒂鲁迪亚斯
Santa Mercedes,圣梅塞德斯
Jumirim,茹米林
Ilha Solteira,伊利亚索尔泰拉
Espírito Santo do Pinhal,圣埃斯皮里图-皮尼亚尔
Macaubal,马考巴尔
Pinhalzinho (São Paulo),皮尼亚尔齐纽
Guarani d'Oeste,西瓜拉尼
Sebastianópolis do Sul,南塞巴斯蒂亚诺波利斯
Diocese de Osasco,天主教奥萨斯库教区
Microrregião de Natal,納塔爾·(小區)
Getulina,热图利纳
Afuá,阿富阿
Paulo Frontin,保罗弗龙廷
Diocese de Guanhães,天主教瓜尼扬伊斯教区
Gilbués,日尔布埃斯
Alto Paraguai,上巴拉圭
Parque Nacional de Anavilhanas,阿納維利亞納斯國家公園
Porto do Mangue,曼吉港
Telêmaco Borba,特莱马库博尔巴
Curaçá,库拉萨
Boa Ventura (Paraíba),博阿文图拉
Mirangaba,米兰加巴
Porto Alegre do Tocantins,托坎廷斯州阿雷格里港
Ressurreição de Cristo (Rafael),基督复活·(拉斐尔)
Xexéu,谢谢乌
Capão Alto,上卡庞
Microrregião do Litoral Sul (Rio Grande do Norte),南海岸·(北里約格朗德州)
Sananduva,萨南杜瓦
Japoatã,雅波阿唐
Miraselva,米拉塞尔瓦
São José do Vale do Rio Preto,普雷图河畔圣若泽-杜瓦莱
Coluna Prestes,普列斯特斯纵队起义
Salto de Sete Quedas,瓜伊拉瀑布
Cruzeiro do Sul (Acre),南克魯賽羅·(阿克里州)
Nonoai,诺诺阿伊
Tarumã (São Paulo),塔鲁芒
Almirante Tamandaré (Paraná),阿尔米兰特塔曼达雷
Arapongas,阿拉蓬加斯
Nísia Floresta,尼西亚弗洛雷斯塔
Lagoa de São Francisco,拉戈阿-迪圣弗朗西斯科
Represa de Guarapiranga,瓜拉皮蘭加水庫
Miguel Alves,米格尔-阿尔维斯
Passo do Sobrado,帕苏-杜索布拉杜
Oriente (São Paulo),奥连蒂
Corrente do Brasil,巴西洋流
Agudos do Sul,南阿古多斯
Agrolândia,阿格罗朗迪亚
Schroeder,施罗德镇
Agudo,阿古杜
Companhia Siderúrgica Nacional,巴西國家鋼鐵公司
Guararema,瓜拉雷马
Jangada (Mato Grosso),然加达
Santa Leopoldina,聖萊奧波爾迪娜
Alagoa (Minas Gerais),阿拉戈阿
Estrela Velha,旧埃斯特雷拉
Vicentinópolis,维森蒂诺波利斯
Estrela do Norte (Goiás),北埃斯特雷拉
Garça (São Paulo),加尔萨
Rio Verde,里奥韦尔迪
Cândido Godói,坎迪杜-戈多伊
Bandeirante (Santa Catarina),班代兰蒂
Laranjal do Jari,拉兰雅尔杜雅里
Igaraçu do Tietê,伊加拉苏-杜铁特
Nantes (São Paulo),楠蒂斯
Matinha,马蒂尼亚
Rodeio Bonito,罗德尤博尼图
Serra do Mel,塞拉-杜梅尔
Lourdes (São Paulo),盧德
Santana do Jacaré,圣安娜-杜雅卡雷
Aimorés (Minas Gerais),艾莫雷斯
Carlos Chagas (Minas Gerais),卡洛斯-沙加斯
Santa Rita do Sapucaí,圣丽塔-杜萨普卡伊
Pedra Azul,佩德拉阿祖尔
Macatuba,马卡图巴
Itapetininga,伊塔佩蒂宁加
Sapucaia do Sul,南萨普卡亚
Votorantim,沃托兰廷
Vacaria,瓦卡里亚
Rio Javari,雅瓦里河
Vila Flores,维拉弗洛雷斯
Acãs,阿坎族
Ajuricaba,阿茹里卡巴
Santa Terezinha (Paraíba),聖特雷西尼亞·(帕拉伊巴州)
Armação dos Búzios,阿尔马桑多斯布齐奥斯
Diocese de Bagé,天主教巴热教区
Triunfo (Pernambuco),特里溫福·(伯南布哥州)
Anhembi,阿年比
Jaguarão,亞瓜龍
Santa Luzia (Minas Gerais),聖盧西亞·(米納斯吉拉斯州)
Abel Figueiredo,阿貝爾菲格雷多
Estrela do Indaiá,因达亚河畔埃斯特雷拉
Sumaré,蘇馬雷
Carnaubeira da Penha,卡瑙贝拉达佩尼亚
São Vendelino,聖文德利努
São Simão (Goiás),圣西芒
Nova Esperança do Piriá,新埃斯佩蘭薩杜皮里亞
Serra Geral (sul do Brasil),熱拉爾山脈
Companhia Paulista de Trens Metropolitanos,圣保罗都市圈铁路公司
Ourolândia,欧罗兰迪亚
São José do Sul,南圣若泽
Itamaraju,伊塔马拉茹
Vitorino Freire,维托里诺弗赖尔
União Paulista,乌尼昂保利斯塔
Cedral (São Paulo),塞德拉爾·(聖保羅州)
Ilha de Tinharé,蒂尼亞雷島
Santo Antônio do Jardim,圣安东尼奥-杜雅尔丁
Uchoa,乌绍阿
Santo Antônio do Aracanguá,圣安东尼奥-杜阿拉坎瓜
Campestre do Maranhão,马拉尼昂州坎佩斯特里
Cristalândia do Piauí,皮奥伊州克里斯塔兰迪亚
Pedras Grandes,佩德拉斯格兰迪斯
Sangão,桑冈·(巴西)
Ilhabela,伊利亚贝拉
Pratânia,普拉塔尼亚·(巴西)
Santa Cruz do Escalvado,圣克鲁斯-杜埃斯卡尔瓦杜
Sítio Novo (Rio Grande do Norte),新西蒂奧·(北里約格朗德州)
Bondinho do Pão de Açúcar,塔糖山纜車
Copa Libertadores da América de 1960,1960年南美解放者杯
Ilha de Alcatrazes,阿爾卡特拉濟斯島
Copa CONMEBOL de 1998,1998年南美足協盃
Ilha de Guajará-Mirim,蘇亞雷斯島
Tapiratiba,塔皮拉蒂巴
Camaçari,卡馬薩里
Região Nordeste do Brasil,巴西东北部地区
Itaperuna,伊塔佩鲁纳
Ituano Futebol Clube,伊圖諾足球會
Lago Corumbá,科倫巴湖
JBS,JBS股份
Metrô do Rio de Janeiro,里约热内卢地铁
Parque Nacional da Serra do Divisor,迪維索爾山脈國家公園
Guarani Futebol Clube,瓜拉尼足球俱乐部
Trem do Corcovado,駝背山齒軌鐵路
Lista de municípios do Rio Grande do Norte,北里約格朗德州市鎮列表
Aviação Naval Brasileira,巴西海軍航空兵
Praça dos Três Poderes,三權廣場
Lista de municípios de São Paulo,聖保羅州市鎮列表
Iguatemi (Mato Grosso do Sul),伊瓜特米
Promissão,普罗米桑
Poço Redondo,波苏雷东杜·(塞尔希培州)
Paraíso (Santa Catarina),帕拉伊索·(聖卡塔琳娜州)
Goiás (município),戈亞斯市
Senador Georgino Avelino,热奥尔吉努·阿韦利努参议员镇
Diocese de União da Vitória,天主教乌尼昂-达维多利亚教区
Governador Luiz Rocha,卢伊兹·罗沙州长市
ALCO RS-1,RS-1型柴油机车
Serra Azul de Minas,塞拉阿苏尔-迪米纳斯
Alto Horizonte,上奥里藏特
Altamira,阿爾塔米拉·(帕拉州)
Alto Garças,上加尔萨斯
Alta Floresta,上弗洛雷斯塔
Barra Longa,巴拉隆加
Organização dos Estados Ibero-americanos,伊比利亚-美洲国家组织
Leme (bairro do Rio de Janeiro),莱米·(里约热内卢)
Passabém,帕萨本
Parada do Orgulho LGBT de São Paulo,聖保羅同志大遊行
Lagoa Rodrigo de Freitas,羅德里戈·弗雷塔斯潟湖
Brejinho (Pernambuco),布雷日尼奥
Ribeirão Corrente,里贝朗科伦蒂
Barão de Antonina,巴朗-迪安东尼娜
Chiador,希亚尔
Alto Jequitibá,上热基蒂巴
Dois Córregos,多伊斯科雷古斯
Itaquara,伊塔夸拉
Jacaraci,雅卡拉西
Comendador Levy Gasparian,莱维加斯帕里安爵士镇
Brasil nos Jogos Paralímpicos de Verão de 2008,2008年夏季殘疾人奧林匹克運動會巴西代表團
Serranópolis de Minas,塞拉诺波利斯-迪米纳斯
Palmópolis,帕尔莫波利斯
Diocese de Oliveira,天主教奥利韦拉教区
Itambé (Bahia),伊坦貝·(巴伊亞州)
Marmelópolis,马尔梅洛波利斯
Riachão (Maranhão),里亚尚
Cerro Grande do Sul,南大塞罗
Itapiúna,伊塔皮乌纳
Jutaí,茹塔伊
Ladainha,拉代尼亚
Porto Xavier,沙维耶港
Sarandi (Rio Grande do Sul),萨兰迪·(南大河州)
Aeroporto de Barra,巴拉機場·(巴西)
Aguanil,阿瓜尼尔
Riqueza (Santa Catarina),里克扎
