Россия,ロシア
Листвянка (Иркутский район),リストヴャンカ
Футуризм,未来派
"Великая (река, впадает в Псковское озеро)",ヴェリーカヤ川
Кашира,カシーラ
Кемь (город),ケミ・(ロシア)
Томь (футбольный клуб),FCトム・トムスク
Яйца Фаберже,インペリアル・イースター・エッグ
Первый канал (Россия),チャンネル1・(ロシア)
"Луч (футбольный клуб, Владивосток)",FCルチ・ウラジオストク
Большая Байкальская тропа,大バイカル・トレイル
Флаг Крыма,クリミア自治共和国の国旗
Катастрофа Ту-154 в Смоленске,ポーランド空軍Tu-154墜落事故
Линия перемены даты,国際日付変更線
Дербент,デルベント
Кизляр,キズリャル
Опочка,オポーチカ
Нерчинск,ネルチンスク
Ахтуба,アフトゥバ川
Ахмат Арена,アフマド・アレーナ
Остров Брайса,ブライス島
Нальчик (аэропорт),ナリチク国際空港
Бион (космический аппарат),ビオン
Россия на зимних Олимпийских играх 2006,2006年トリノオリンピックのロシア選手団
Хасавюрт,ハサヴユルト
Орочи,オロチ族
Северо-Кавказский федеральный округ,北カフカース連邦管区
Долганы,ドルガン人
Скелетон на зимних Олимпийских играх 2014,2014年ソチオリンピックのスケルトン競技
Бобслей на зимних Олимпийских играх 2014,2014年ソチオリンピックのボブスレー競技
Санный спорт на зимних Олимпийских играх 2014,2014年ソチオリンピックのリュージュ競技
Чемпионат России по футболу среди женщин,ロシア女子サッカーリーグ・プレミアディヴィジョン
Сноуборд на зимних Олимпийских играх 2014,2014年ソチオリンピックのスノーボード競技
Кимры,キームルィ
Кимовск,キモフスク
Международная космическая станция,国際宇宙ステーション
Кинель,キネリ
Главное адмиралтейство,旧海軍省・(サンクトペテルブルク)
Залив Терпения,多来加湾
Административно-территориальное деление Ханты-Мансийского автономного округа — Югры,ハンティ・マンシ自治管区・ユグラの行政区画
Румыны,ルーマニア人
Витим,ヴィティム川
Белушья Губа,ベルーシャ・グバ
Олёкма,オリョークマ川
Подкаменная Тунгуска,ポドカメンナヤ・ツングースカ川
Татарский язык,タタール語
Бой у Шталлупёнена,シュタルペーネンの戦い
Большой Иран,歴史的イラン世界
Урал-Грейт,PBCウラル・グレート
Демянск,デミャンスク
Хабаровск-Новый,ハバロフスク空港
Удачная (кимберлитовая трубка),ウダーチナヤ・パイプ
Стояние на Угре,ウグラ河畔の対峙
Царицыно (дворцово-парковый ансамбль),ツァリツィノ公園
Российская академия музыки имени Гнесиных,グネーシン音楽大学
Анадырь (река),アナディリ川
Котуй,コトゥイ川
Лача,ラチャ湖
Царь-колокол,ツァーリ・コロコル
Царь-пушка,ツァーリ・プーシュカ
Башкиры,バシキール人
Вилюй,ヴィリュイ川
Нижняя Тунгуска,ニジニャヤ・ツングースカ川
Единая Россия,統一ロシア
Аргунь,アルグン川
Оленёк (река),オレニョーク川
Казанка (приток Волги),カザンカ川
Сборная России по теннису в Кубке Билли Джин Кинг,ビリー・ジーン・キング・カップロシア代表
Ассирийцы,アッシリア人
Сокол (станция метро),ソコル駅・(モスクワ地下鉄)
Байкало-Амурская магистраль,バイカル・アムール鉄道
Японское море,日本海
Восточная Азия,東アジア
Лакинск,ラキンスク
NordStar,ノルドスター航空
Киреевск,キレーエフスク
Кинешма,キネシマ
Аэрофлот-Карго,アエロフロート・カーゴ
Катастрофа A310 под Междуреченском,アエロフロート航空593便墜落事故
