室伏広治,무로후시 고지
里脇浅次郎,사토와키 아사지로
東国原英夫,히가시코쿠바루 히데오
滝本竜彦,다키모토 다쓰히코
上杉憲政,우에스기 노리마사
小笠原長時,오가사와라 나가토키
和宮親子内親王,가즈노미야 지카코 내친왕
安江仙弘,야스에 노리히로
乙一,오쓰이치
蒲生氏郷,가모 우지사토
黒田孝高,구로다 요시타카
本多陽子,혼다 요코
山本隆弘,야마모토 다카히로
オーノキヨフミ,오노 기요후미
星野仙一,호시노 센이치
後藤沙緒里,고토 사오리
中西香爾,나카니시 고지
山野車輪,야마노 샤린
一条和矢,이치조 카즈야
中川秀直,나카가와 히데나오
倉本裕基,구라모토 유키
片倉重長,가타쿠라 시게나가
黒田福美,구로다 후쿠미
織田裕二,오다 유지
西周・(啓蒙家),니시 아마네
安閑天皇,안칸 천황
高屋奈月,타카야 나츠키
豊崎愛生,토요사키 아키
田中真弓,타나카 마유미
西沢立衛,니시자와 류에
一条実経,이치조 사네쓰네
光田康典,미쓰다 야스노리
三輪明日美,미와 아스미
大石良雄,오이시 요시오
山岡賢次,야마오카 겐지
新藤義孝,신도 요시타카
山本昌,야마모토 마사
橋本萬太郎,하시모토 만타로
青木宣親,아오키 노리치카
永井荷風,나가이 가후
坂田大輔,사카타 다이스케
茂庭照幸,모니와 데루유키
工藤公康,구도 기미야스
セルヒオ・エスクデロ,세르히오 에스쿠데로 (1964년)
川﨑宗則,가와사키 무네노리
田中将大,다나카 마사히로
澤屋敷純一,사와야시키 준이치
以心崇伝,이신스덴
中村繪里子,나카무라 에리코
穂積雅子,호즈미 마사코
鈴木隆行,스즈키 다카유키
谷亮子,다니 료코
元ちとせ,하지메 지토세
高橋和希,타카하시 카즈키
近衛信尹,고노에 노부타다
荻生徂徠,오규 소라이
近衛基通,고노에 모토미치
難波康子,난바 야스코
藤田俊哉,후지타 도시야
菊地直哉,기쿠치 나오야
藤本淳吾,후지모토 준고
都築龍太,쓰즈키 료타
福田正博,후쿠다 마사히로
清武弘嗣,기요타케 히로시
丹羽長重,니와 나가시게
滝川クリステル,다키가와 크리스텔
豊臣国松,도요토미 구니마쓰
平山相太,히라야마 소타
長尾為景,나가오 다메카게
黒田清輝,구로다 세이키
徳川和子,도쿠가와 마사코
松平春嶽,마쓰다이라 슌가쿠
平野啓一郎,히라노 게이치로
野村萬斎,노무라 만사이
沖佳苗,오키 카나에
吹石一恵,후키이시 카즈에
鈴木早智子,스즈키 사치코
髙田周平,다카다 슈헤이
森永理科,모리나가 리카
カトウ・サトリ,사토리 카토
長嶋茂雄,나가시마 시게오
堀田正睦,홋타 마사요시 (1810년)
本仮屋ユイカ,모토카리야 유이카
桑島法子,쿠와시마 호코
絢香,아야카 (가수)
足利義教,아시카가 요시노리
福原愛,후쿠하라 아이
和泉式部,이즈미 시키부
華原朋美,카하라 토모미
上川徹,가미카와 도루
柴田亜衣,시바타 아이
池田行彦,이케다 유키히코
横井軍平,요코이 군페이
藤原道兼,후지와라노 미치카네
宇佐美貴史,우사미 다카시
徳川家宣,도쿠가와 이에노부
徳川家継,도쿠가와 이에쓰구
松本人志,마쓰모토 히토시
西口彰事件,니시구치 아키라
坂茂,반 시게루
久保竜彦,구보 다쓰히코
円仁,엔닌
家永三郎,이에나가 사부로
大内義興,오우치 요시오키
山口智・(サッカー選手),야마구치 사토시 (1978년)
礒貝洋光,이소가이 히로미쓰
ひと美,히토미 (성우)
明坂聡美,아케사카 사토미
菊池志穂,키쿠치 시호
森光子,모리 미츠코
藤川球児,후지카와 규지
眞鍋かをり,마나베 카오리
横光利一,요코미쓰 리이치
高木仁三郎,다카기 진자부로
山下敦弘,야마시타 노부히로
松元惠,마츠모토 메구미
金子一馬,가네코 가즈마
近衛忠煕,고노에 다다히로 (1808년)
ささきのぞみ,사사키 노조미 (성우)
今川氏親,이마가와 우지치카
畑亜貴,하타 아키
堺雅人,사카이 마사토
津軽為信,쓰가루 다메노부
花村怜美,하나무라 사토미
大谷雅恵,오타니 마사에
森理世,모리 리요
竹内順子,타케우치 준코
上野雅恵,우에노 마사에
きゃりーぱみゅぱみゅ,캬리 파뮤파뮤
谷本歩実,다니모토 아유미
分島花音,와케시마 카논
天野明,아마노 아키라
堀之内聖,호리노우치 사토시
本島等,모토지마 히토시
中村優一,나카무라 유이치 (배우)
卜部兼好,요시다 겐코
鈴木恒夫,스즈키 쓰네오
小野喬,오노 다카시 (체조 선수)
三上寛,미카미 칸
西竹一,니시 다케이치
三浦淳寛,미우라 아쓰히로
久米田康治,구메타 고지
岡田武夫・(司教),오카다 다케오
源義朝,미나모토노 요시토모
琴欧洲勝紀,고토오슈 가쓰노리
式子内親王,쇼쿠시 내친왕
田口信教,다구치 노부타카
清水宏保,시미즈 히로야스
中山さら,나카야마 사라
増田寛也,마스다 히로야
梅崎司,우메사키 쓰카사
大葉健二,오오바 켄지
蘇我入鹿,소가노 이루카
北条氏政,호조 우지마사
ブライアン・ティー,브라이언 티
古谷徹,후루야 토오루
田口芳五郎,다구치 요시고로
遠山えま,도야마 에마
岩男潤子,이와오 준코
中野友加里,나카노 유카리
源頼朝,미나모토노 요리토모
天野こずえ,아마노 코즈에
田畑真紀,다바타 마키
大隈重信,오쿠마 시게노부
藤貴子,후지 타카코
村上天皇,무라카미 천황
安藤政信,안도 마사노부
近衛天皇,고노에 천황
戸田和幸,도다 가즈유키
伏見天皇,후시미 천황
葛西善蔵,가사이 젠조
榎本武揚,에노모토 다케아키
杉本雅央,스기모토 마사오
中田秀夫,나카타 히데오
田島直人,다지마 나오토
松井咲子,마츠이 사키코
塚本晋也,츠카모토 신야
佐久間象山,사쿠마 쇼잔
和田光司,와다 코지
寺山修司,데라야마 슈지
寺島進,테라지마 스스무
佐藤嗣麻子,사토 시마코
是枝裕和,고레에다 히로카즈
細川勝元,호소카와 가쓰모토
池谷薫・(アマチュア天文家),이케야 가오루 (천문학자)
土井辰雄,도이 다쓰오
盧山初雄,노초웅
川本泰三,가와모토 다이조
高平小五郎,다카히라 고고로
牧野伸顕,마키노 노부아키
須田剛一,스다 고이치
青山倫子,아오야마 노리코
支倉常長,하세쿠라 쓰네나가
チャールズ・ペダーセン,찰스 J. 피더슨
佐々木博和,사사키 히로카즈
平岡宏章,히라오카 히로아키 (축구 선수)
藤川孝幸,후지카와 다카유키
松山博明,마쓰야마 히로아키
後一条天皇,고이치조 천황
円融天皇,엔유 천황
四条天皇,시조 천황
冷泉天皇,레이제이 천황
淳和天皇,준나 천황
国木田独歩,구니키다 돗포
神戸清雄,간베 스가오
石原立也,이시하라 타츠야
古屋兎丸,후루야 우사마루
武井宏之,다케이 히로유키
尾形乾山,오가타 겐잔
三上真司,미카미 신지
高倉健,타카쿠라 켄
西脇綾香,아~쨩
鶴巻和哉,츠루마키 카즈야
荒井公三,아라이 고조
東浩紀,아즈마 히로키
愛子内親王,도시노미야 아이코 내친왕
DAIGO,다이고
九鬼嘉隆,구키 요시타카 (센고쿠 시대)
中井洽,나카이 히로시
池田秀一,이케다 슈이치
近藤信竹,곤도 노부타케
福田己津央,후쿠다 미츠오
下平隆宏,시모타이라 다카히로
秋葉忠宏,아키바 다다히로
石末龍治,이시즈에 류지
田口禎則,다구치 요시노리
五十嵐和也,이가라시 가즈야
宇野沢祐次,우노자와 유지
岩井厚裕,이와이 아쓰히로
渡辺淳弥,준야 와타나베
笛真人,후에 마사토
久高友雄,구다카 도모오
皆本勝弘,미나모토 가쓰히로
赤井孝美,아카이 타카미
森下広一,모리시타 고이치
田中路子,다나카 미치코
飛鳥井雅経,아스카이 마사쓰네
足利義晴,아시카가 요시하루
ショー・コスギ,쇼 코스기
内海賢二,우츠미 켄지
藤原基俊,후지와라노 모토토시
加藤条治,가토 조지
後藤太郎,고토 다로
江川重光,에가와 시게미쓰
杉山誠,스기야마 마코토
伊東正義,이토 마사요시
加納孝,가노 다카시
青木幹雄,아오키 미키오
川口信男,가와구치 노부오
尾崎南,오자키 미나미
神野卓哉,진노 다쿠야
広瀬治,히로세 오사무
坂本龍馬,사카모토 료마
野原みさえ,봉미선
藤原定家,후지와라노 사다이에
水口哲也,미즈구치 데쓰야
長谷川テル,하세가와 데루
青木拓矢,아오키 다쿠야
永島昭浩,나가시마 아키히로
佐藤浩市,사토 코이치 (배우)
木村現,기무라 아라와
みちよ,헤이케 미치요
北条早雲,호조 소운
青山真治,아오야마 신지
青木真也,아오키 신야
林幹雄,하야시 모토오
奥井雅美,오쿠이 마사미
辻希美,츠지 노조미
斉藤鉄夫,사이토 데쓰오
西大伍,니시 다이고
小杉敏之,고스기 도시유키
渡邉一平,와타나베 잇페이
水内猛,미즈우치 다케시
澤入重雄,사와이리 시게오
大石隆夫,오이시 다카오
池ノ上俊一,이케노우에 슌이치
淀殿,요도도노
宮澤ミシェル,미야자와 미셸
冨嶋均,도미시마 히토시
高橋真一郎,다카하시 신이치로
美濃部直彦,미노베 나오히코
田中雍和,다나카 야스카즈
大友克洋,오오토모 카츠히로
近衛信尋,고노에 노부히로
近衛篤麿,고노에 아쓰마로
森岡茂,모리오카 시게루
江尻篤彦,에지리 아쓰히코
池田太,이케다 후토시
嶋谷征四郎,시마타니 세이시로
鈴木慶一,스즈키 케이이치
古川好男,후루카와 요시오
高乃麗,타카노 우라라
小林まこと,고바야시 마코토 (만화가)
笠谷幸生,가사야 유키오
源経信,미나모토노 쓰네노부
中島裕希,나카시마 유키 (축구 선수)
塚本泰史,쓰카모토 다이시
浅野忠信,아사노 타다노부
欣子内親王,요시코 내친왕 (1779년)
藤原仲麻呂,후지와라노 나카마로
中井和哉,나카이 카즈야
呉清源,오청원
金城一紀,가네시로 가즈키
田中一成,타나카 카즈나리
二条良基,니조 요시모토
田村恵・(サッカー選手),다무라 메구무
高山右近,다카야마 우콘
松平喜徳,마쓰다이라 노부노리 (1855년)
平沢進,히라사와 스스무
蝉丸,세미마루 (가인)
磯光雄,이소 미츠오
葉山嘉樹,하야마 요시키
藤原興風,후지와라노 오키카제
下川みくに,시모카와 미쿠니
塚原二四三,쓰카하라 니시조
若松孝二,와카마쓰 고지
手島和希,데시마 가즈키
浅利悟,아사리 사토루
内田康哉,우치다 고사이
田所あずさ,타도코로 아즈사
大野敏隆,오노 하루타카
吉田麻也,요시다 마야
武田亘弘,다케다 노부히로 (1965년)
島卓視,시마 다쿠미
千葉直樹,지바 나오키
小泉淳嗣,고이즈미 준지
村上龍,무라카미 류
岩崎弥太郎,이와사키 야타로
平沼騏一郎,히라누마 기이치로
後土御門天皇,고쓰치미카도 천황
パウロ三木,바오로 미키
池田菊苗,이케다 기쿠나에
饗庭篁村,아에바 고손
宇田新太郎,우다 신타로
長谷川治久,하세가와 하루히사
川村美香,카와무라 미카
小林光一,고바야시 고이치 (바둑 기사)
喜撰,기센 (승려)
湯元健一,유모토 겐이치
中村敦夫,나카무라 아츠오
猪熊功,이노쿠마 이사오
宮原厚次,미야하라 아쓰지
友利花,하세 유리나
小堀政一,고보리 마사카즈
足利義栄,아시카가 요시히데
宗良親王,무네요시 친왕
加賀美セイラ,가가미 세이라
百武裕司,햐쿠타케 유지
今井美樹,이마이 미키
佐藤卓哉,사토 다쿠야 (연출가)
遠藤彰弘,엔도 아키히로
和田一浩,와다 가즈히로
内藤直樹,나이토 나오키
米倉誠,요네쿠라 마코토
森敦彦,모리 아쓰히코
野田知,노다 사토루
和田昌裕,와다 마사히로
島田貴裕,시마다 다카히로
橋本雄二,하시모토 유지
廣長優志,히로나가 유지
前田遼一,마에다 료이치
加地亮,가지 아키라
釜本邦茂,가마모토 구니시게
横山裕,요코야마 유
杉山隆一,스기야마 류이치
東伏見宮依仁親王,히가시후시미노미야 요리히토 친왕
小川治兵衛,오가와 지헤
藤原為時,후지와라노 타메토키
米満達弘,요네미쓰 다쓰히로
高橋広樹,타카하시 히로키
大谷秀和,오타니 히데카즈
浅野長晟,아사노 나가아키라
坪田和美,쓰보타 가즈미
峯岸みなみ,미네기시 미나미
岩澤健吉,이와사와 겐키치
龍田直樹,타츠타 나오키
藤原俊成,후지와라노 도시나리
YUI・(歌手),YUI (가수)
寺島宗則,데라시마 무네노리
荒波翔,아라나미 쇼
田中奏一,다나카 소이치
中曽根康弘,나카소네 야스히로
中田浩二・(サッカー選手),나카타 고지
楠木正成,구스노키 마사시게
木村次郎右衛門,기무라 지로에몬
山田尚子,야마다 나오코
冨樫義博,토가시 요시히로
林子平,하야시 시헤이
阿部良則,아베 요시노리
船谷圭祐,후나타니 게이스케
鈴木慎吾,스즈키 신고
相澤貴志,아이자와 다카시
髙萩洋次郎,다카하기 요지로
盛田剛平,모리타 고헤이
森勇介,모리 유스케
水沼宏太,미즈누마 고타
服部公太,핫토리 고타
臼井幸平,우스이 고헤이
阿部敦,아베 아츠시
武藤嘉文,무토 가분
大西忠生,오니시 다다오
ダルビッシュ有,다르빗슈 유
山口眞弓,야마구치 마유미
阿部寛,아베 히로시
谷村美月,타니무라 미츠키
堀井雄二,호리이 유지
丹羽大輝,니와 다이키
鈴木達也・(1982年生のサッカー選手),스즈키 다쓰야 (1982년)
阿部吉朗,아베 요시로
原民喜,하라 다미키
其田秀太,소노다 슈타
高田保則,다카다 야스노리
白井博幸,시라이 히로유키
大熊裕司,오쿠마 유지
賀谷英司,가야 에이지
大野俊三・(サッカー選手),오노 슌조
