George Washington,ジョージ・ワシントン
Ernest Hemingway,アーネスト・ヘミングウェイ
Danny Nucci,ダニー・ヌッチ
Gottfried Haberler,ゴットフリート・フォン・ハーバラー
Severin Roesen,セヴェリン・ローゼン
Stefan Sagmeister,ステファン・サグマイスター
Eric Wolf,エリック・ウルフ・(人類学者)
Karl William Kapp,カール・ウィリアム・カップ
Jacob L. Moreno,ヤコブ・モレノ
Joachim Wach,ヨアヒム・ワッハ
Hans Suess,ハンズ・スース
Mathilde Franziska Anneke,マティルデ・フランツィスカ・アネケ
Hans Lange,ハンス・ランゲ
Eben Alexander (author),エベン・アレグザンダー・(作家)
Bob Lutz (businessman),ボブ・ラッツ
Eddie Hopson,エディ・ホプソン
Jim Gordon (character),ジェームズ・ゴードン
Alex Borstein,アレックス・ボースタイン
Danny Ferry,ダニー・フェリー
Dorothy Day,ドロシー・デイ
Colin Powell,コリン・パウエル
Erika Morini,エリカ・モリーニ
Bill Lawrence (guitar maker),ビル・ローレンス
Ryan Higa,ライアン・ヒガ
John Doeg,ジョン・ドエグ
Rudolf Jaenisch,ルドルフ・イエーニッシュ
Taylor Dent,テーラー・デント
Margaret Osborne duPont,マーガレット・オズボーン・デュポン
Steve Denton,スティーブ・デントン
Edgar Schein,エドガー・シャイン
DeJuan Blair,デュワン・ブレア
Carlos Hernández (boxer),カルロス・エルナンデス・(ボクサー)
Johnny Weissmuller,ジョニー・ワイズミュラー
Jack Antonoff,ジャック・アントノフ
Gene Hackman,ジーン・ハックマン
Kat Graham,カテリーナ・グレアム
Joseph DeCamp,ジョセフ・デキャンプ
Chris Pine,クリス・パイン
George H. W. Bush,ジョージ・H・W・ブッシュ
Mardy Fish,マーディ・フィッシュ
Shirley Fry,シャーリー・フライ
Zina Garrison,ジーナ・ガリソン
Jacob Marschak,ヤコブ・マルシャック
Mary Joe Fernández,メアリー・ジョー・フェルナンデス
Bob Falkenburg,ボブ・ファルケンバーグ
Johnny Simmons,ジョニー・シモンズ・(俳優)
Frank Abagnale,フランク・アバグネイル
Michaela Conlin,ミカエラ・コンリン
Deron Washington,デロン・ワシントン
George C. Marshall,ジョージ・マーシャル
Alexander Calder,アレクサンダー・カルダー
Selena,セレーナ・(歌手)
Roy Lichtenstein,ロイ・リキテンスタイン
Vitas Gerulaitis,ビタス・ゲルレイティス
Althea Gibson,アリシア・ギブソン
Pancho Gonzales,パンチョ・ゴンザレス
Robby Ginepri,ロビー・ジネプリ
Flash Gordon,フラッシュ・ゴードン
Edgar F. Codd,エドガー・F・コッド
Bryan Cranston,ブライアン・クランストン
Nicholas Negroponte,ニコラス・ネグロポンテ
Shane Carwin,シェイン・カーウィン
Wyatt Halliwell,ワイアット・マシュー・ハリウェル
Robert J. Van de Graaff,ロバート・ジェミソン・ヴァン・デ・グラフ
Robert Brout,ロベール・ブルー
Ken Liu,ケン・リュウ
Larry Wall,ラリー・ウォール
Alexey Pajitnov,アレクセイ・パジトノフ
Tommy Haas,トミー・ハース
Carly Gullickson,カーリー・ガリクソン
Jamie Hampton,ジェイミー・ハンプトン
Yoko Ono,オノ・ヨーコ
Jimmy Carter,ジミー・カーター
Doris Hart,ドリス・ハート
Ryan Harrison,ライアン・ハリソン
Darlene Hard,ダーリーン・ハード
Jim Gray (computer scientist),ジム・グレイ
John Carmack,ジョン・D・カーマック
Brian Kernighan,ブライアン・カーニハン
Fred Brooks,フレデリック・ブルックス
John Hay,ジョン・ヘイ
Haskell Curry,ハスケル・カリー
Wiz Khalifa,ウィズ・カリファ
Alessandra Ambrosio,アレッサンドラ・アンブロジオ
Rod Blagojevich,ロッド・ブラゴジェビッチ
George Papandreou,ゲオルギオス・アンドレアス・パパンドレウ
Ariana Grande,アリアナ・グランデ
Larry David,ラリー・デヴィッド
George Clooney,ジョージ・クルーニー
Helen Jacobs,ヘレン・ジェイコブス
John Isner,ジョン・イスナー
Liezel Huber,リーゼル・フーバー
Barbara Jordan (tennis),バーバラ・ジョーダン・(テニス選手)
Josh Lucas,ジョシュ・ルーカス
Steve Johnson (tennis),スティーブ・ジョンソン・(テニス選手)
Bill Johnston (tennis),ビル・ジョンストン
Josh Stewart,ジョシュ・スチュワート
S. E. Hinton,S・E・ヒントン
Douglas Engelbart,ダグラス・エンゲルバート
Wallace Wattles,ウォレス・ワトルズ
Michelle Johnson (actress),ミシェル・ジョンソン
Kirstie Alley,カースティ・アレイ
Mary McDonnell,メアリー・マクドネル
Richard M. Karp,リチャード・カープ
Leslie Lamport,レスリー・ランポート
Jeff Daniels,ジェフ・ダニエルズ
Chord Overstreet,コード・オーバーストリート
Lila Downs,リラ・ダウンズ
John Belushi,ジョン・ベルーシ
Josephine Baker,ジョセフィン・ベーカー
Laura Bush,ローラ・ブッシュ
Andrew Garfield,アンドリュー・ガーフィールド
Paul Baran,ポール・バラン
Rupert Murdoch,ルパート・マードック
Bjarne Stroustrup,ビャーネ・ストロヴストルップ
Richard Hamming,リチャード・ハミング
Andrew S. Tanenbaum,アンドリュー・タネンバウム
Lorin Maazel,ロリン・マゼール
Andy Razaf,アンディー・ラザフ
Missy Franklin,メリッサ・フランクリン
Steve Bullock (American politician),スティーブ・ブロック
Dallas Roberts,ダラス・ロバーツ
Paul W. Richards,ポール・リチャーズ
John Lewis Gaddis,ジョン・ルイス・ギャディス
Tom Savini,トム・サヴィーニ
Liberty Hyde Bailey,リバティ・ハイド・ベイリー
Varvara Lepchenko,ヴァルヴァラ・レプチェンコ
Alice Marble,アリス・マーブル
Caitlyn Taylor Love,ケイトリン・テイラー・ラブ
Kenny Roberts Jr.,ケニー・ロバーツ・ジュニア
George Tabori,ジョージ・タボリ
Ron Canada,ロン・カナダ
Dexter Gordon,デクスター・ゴードン
Jack Kramer,ジャック・クレーマー
Vania King,バニア・キング
Johan Kriek,ヨハン・クリーク
Art Larsen,アーサー・ラーセン
Charles Wilkes,チャールズ・ウィルクス
Leonard Bernstein,レナード・バーンスタイン
Jacques Vallée,ジャック・ヴァレ
John Cocke (computer scientist),ジョン・コック
Shawn Fanning,ショーン・ファニング
Ray Tomlinson,レイ・トムリンソン
Ray Ozzie,レイ・オジー
Robert Tarjan,ロバート・タージャン
Henry Wadsworth Longfellow,ヘンリー・ワズワース・ロングフェロー
William Sadler (actor),ウィリアム・サドラー
Robert Capa,ロバート・キャパ
Anthony Swarzak,アンソニー・スウォーザック
Jared Burton,ジャレッド・バートン
Jessica Pegula,ジェシカ・ペグラ
Alex Burnett,アレックス・バーネット
Marreese Speights,マリース・スペイツ
Don Rosa,ドン・ローザ
Josh Gordon,ジョシュ・ゴードン
Shabazz Napier,シャバズ・ネイピアー
Todd Martin,トッド・マーティン
Sam Querrey,サム・クエリー
Bethanie Mattek-Sands,ベサニー・マテック＝サンズ
Chuck McKinley,チャック・マッキンリー
Bobby Riggs,ボビー・リッグス
John Henry Holland,ジョン・H・ホランド
Brendan Eich,ブレンダン・アイク
Robert Tappan Morris,ロバート・T・モリス
Butler Lampson,バトラー・ランプソン
Robert W. Floyd,ロバート・フロイド
Helen Wills,ヘレン・ウィルス・ムーディ
Christos Papadimitriou,クリストス・パパディミトリウ
Alexa PenaVega,アレクサ・ヴェガ
Jay Rock,ジェイ・ロック
John Demjanjuk,ジョン・デミャニュク
Howard Zinn,ハワード・ジン
Mekhi Phifer,メキ・ファイファー
Irvin Kershner,アーヴィン・カーシュナー
Hans Reiser,ハンス・ライザー・(プログラマー)
Tara Conner,タラ・コナー
Hot Rod Hundley,ホット・ロッド・ハンドリー
Billie Jean King,ビリー・ジーン・キング
Gene Mako,ジーン・マコ
The Boogeyman (wrestler),マーティー・ライト
Jon Postel,ジョン・ポステル
Dan Bricklin,ダン・ブリックリン
Gary Kildall,ゲイリー・キルドール
Fernando J. Corbató,フェルナンド・J・コルバト
Manuel Blum,マヌエル・ブラム
J. P. Morgan,ジョン・モルガン
Betty Hutton,ベティ・ハットン
Brad Renfro,ブラッド・レンフロ
Walt Kuhn,ウォルト・クーン
Brad Johnson (American football),ブラッド・ジョンソン・(アメリカンフットボール)
John B. Gordon,ジョン・B・ゴードン
David Clennon,デヴィッド・クレノン
Juris Hartmanis,ユリス・ハルトマニス
Winona LaDuke,ウィノナ・ラデューク
Theodor W. Adorno,テオドール・アドルノ
Jerry Brown,ジェリー・ブラウン
Keri Hilson,ケリー・ヒルソン
Budge Patty,バッジ・パティー
Sarah Palfrey Cooke,サラ・ポールフリー
Nancy Richey,ナンシー・リッチー
Martina Navratilova,マルチナ・ナブラチロワ
Gardnar Mulloy,ガードナー・ムロイ
Dick Savitt,ディック・サビット
Alison Riske-Amritraj,アリソン・リスク
Andy Roddick,アンディ・ロディック
Ted Schroeder,テッド・シュローダー
Vic Seixas,ビック・セイシャス
Michael Douglas,マイケル・ダグラス
Dean Devlin,ディーン・デヴリン
Edmond O'Brien,エドモンド・オブライエン
Spencer Tunick,スペンサー・チュニック
Louise Brooks,ルイーズ・ブルックス
Audrey Munson,オードリー・マンソン
Amy Acker,エイミー・アッカー
Martha Gellhorn,マーサ・ゲルホーン
Fay Bainter,フェイ・ベインター
Susan Sontag,スーザン・ソンタグ
Thomas E. Ackerman,トーマス・E・アッカーマン
Enid Markey,エニッド・マーキー
Jack Ritchie,ジャック・リッチー
Meat Loaf,ミートローフ・(歌手)
Mike Pence,マイク・ペンス
Eden Sher,イーデン・シェール
Vince Spadea,ビンセント・スペイディア
Stan Smith,スタン・スミス
Jack Sock,ジャック・ソック
Brian Teacher,ブライアン・ティーチャー
Roscoe Tanner,ロスコー・タナー
Jack Dongarra,ジャック・ドンガラ
Martin O'Malley,マーティン・オマリー
Jeanne Tripplehorn,ジーン・トリプルホーン
Meghann Shaughnessy,メガン・ショーネシー
Pam Shriver,パム・シュライバー
Charlie Waters,チャーリー・ウォーターズ
John Barrowman,ジョン・バロウマン
Tony Wroten,トニー・ローテン
Colonel Sanders,カーネル・サンダース
Riki Lindhome,リキ・リンドホーム
Leo Szilard,レオ・シラード
Jack Steinberger,ジャック・シュタインバーガー
Orson Welles,オーソン・ウェルズ
Lindsey Jacobellis,リンゼイ・ジャコベリス
Sloane Stephens,スローン・スティーブンス
Ryan Sweeting,ライアン・スウィーティング
May Sutton,メイ・サットン
Karen Susman,カレン・サスマン
Jonathan Sachs,ジョナサン・ザックス
Walter Savitch,ウォルター・サヴィッチ
David D. Clark,デービッド・ダナ・クラーク
Bruce Perens,ブルース・ペレンズ
John McCarthy (computer scientist),ジョン・マッカーシー
R. Norris Williams,リチャード・ノリス・ウィリアムズ
Sidney Wood,シドニー・ウッド
Valdas Adamkus,ヴァルダス・アダムクス
Scatman John,スキャットマン・ジョン
Ike Nassi,アイク・ナッシ
Kent Beck,ケント・ベック
LeAnn Rimes,リアン・ライムス
John Robert Schrieffer,ジョン・ロバート・シュリーファー
Benny Golson,ベニー・ゴルソン
John Backus,ジョン・バッカス
Fred Niblo,フレッド・ニブロ
Jenna Bush Hager,ジェンナ・ブッシュ
Stephen Sondheim,スティーヴン・ソンドハイム
John Vlissides,ジョン・ブリシディース
Eric Schmidt,エリック・シュミット
Chip Knight,チップ・ナイト
Ralph Johnson (computer scientist),ラルフ・ジョンソン
Doug Hurley,ダグラス・ハーリー
Charles Bolden,チャールズ・ボールデン
Terry Gilliam,テリー・ギリアム
Josiah Willard Gibbs,ウィラード・ギブズ
Michaela McManus,ミカエラ・マクマナス
Michele Merkin,ミケーレ・マーキン
Ben Turpin,ベン・ターピン
Bill Tilden,ビル・チルデン
Tony Trabert,トニー・トラバート
Ellsworth Vines,エルスワース・バインズ
CoCo Vandeweghe,ココ・バンダウェイ
MaliVai Washington,マラビーヤ・ワシントン
Noah Cyrus,ノア・サイラス
Fanny Brice,ファニー・ブライス
Mae Marsh,メエ・マーシュ
Paul Pierce,ポール・ピアース
Vint Cerf,ヴィントン・サーフ
Kurt Weill,クルト・ヴァイル
Jef Raskin,ジェフ・ラスキン
Alonzo Church,アロンゾ・チャーチ
Woody Allen,ウディ・アレン
Alicia Keys,アリシア・キーズ
Alan Kay,アラン・ケイ
Donald Young (tennis),ドナルド・ヤング
Garry Winogrand,ゲイリー・ウィノグランド
Ha Jin,ハ・ジン
Julio Iglesias,フリオ・イグレシアス
Guido Calabresi,グイド・カラブレイジ
Freeman Dyson,フリーマン・ダイソン
Albert Bandura,アルバート・バンデューラ
Barbara Bush (born 1981),バーバラ・ピアース・ブッシュ
Elinor Ostrom,エリノア・オストロム
Ridley Scott,リドリー・スコット
Tim Burton,ティム・バートン
Andrew Weisblum,アンドリュー・ワイスブラム
Vanessa Hudgens,ヴァネッサ・ハジェンズ
Chucky (Child's Play),チャッキー・(映画のキャラクター)
Paul Thomas Anderson,ポール・トーマス・アンダーソン
Robert Altman,ロバート・アルトマン
Kevin Spacey,ケヴィン・スペイシー
Gus Van Sant,ガス・ヴァン・サント
Sunita Williams,スニータ・ウィリアムズ
Meg Whitman,メグ・ホイットマン
Larry Ellison,ラリー・エリソン
Michael Stonebraker,マイケル・ストーンブレーカー
Claude Shannon,クロード・シャノン
Ed Asner,エドワード・アズナー
