Marea Neagră,黑海
Munții Șimleu,希姆萊烏山脈
Curtea Nouă,布加勒斯特瓦拉幾亞親王新宮
Catedrala Mitropolitană din Iași,雅西都主教座堂
Țepu,采普鄉
Albești,阿爾貝什蒂鄉
Poșta Câlnău,波什塔克爾訥烏鄉
Bănișor,伯尼紹爾鄉
Buntești,本泰什蒂鄉
Gălăuțaș,格勒烏察什鄉
Buteni,布泰尼鄉
Albești,阿爾貝什蒂鄉
Glina,格利納鄉
Vadu Crișului,克里什河畔瓦杜鄉
Vadu Moților,瓦杜莫齊洛爾鄉
Cogealac,科賈拉克鄉
Coltău,科爾特烏鄉
Amzacea,安札切亞
Aliman,阿利曼鄉
Arpașu de Jos,下阿爾帕舒鄉
Gorban,戈爾班鄉
Movileni,莫維萊尼鄉
Grăniceri,格勒尼切里鄉
Constantin Daicoviciu,康斯坦丁達伊科維丘鄉
Comloșu Mare,大科姆洛舒鄉
Band,班德鄉
Cotnari,科特納里
Costinești,科斯蒂內什蒂鄉
Dagâța,德格察鄉
Moneasa,莫內亞薩鄉
Variaș,瓦里亞什鄉
Ghilad,吉拉德鄉
Mica,米卡鄉
Darova,達羅瓦鄉
Ghindari,欣達里
Crâmpoia,克倫波亞鄉
Băița,伯伊察鄉
Girișu de Criș,吉里舒德克里什鄉
Bănești,伯内什蒂
Bărbătești,伯爾伯泰什蒂鄉
Curtea,庫爾泰亞鄉
Vânători-Neamț,沃訥托里-尼亞姆茨鄉
Bălțați,伯爾察齊鄉
Chișlaz,基什拉茲鄉
Dobrești,多布雷什蒂鄉
Chirpăr,基爾珀爾鄉
Chiochiș,基奧基什鄉
Copceac,基皮恰克河
Dolhești,多爾海什蒂鄉
Vâlcele,沃爾切萊鄉
Lazuri de Beiuș,拉祖里德貝尤什鄉
Nufăru,努弗魯鄉
Lechința,萊欽察鄉
Vinga,溫加鄉
Laslea,拉斯萊亞鄉
Ocna Șugatag,舒加塔格鹽礦鎮鄉
Leșu,萊舒鄉
Drăgănești,德勒格內什蒂鄉
Lunca Mureșului,倫卡穆列什鄉
Odoreu,奧多雷烏鄉
Lugașu de Jos,下盧加舒鄉
Dumbrava,敦布拉瓦鄉
Olari,奧拉里鄉
Ostrov,奧斯特羅夫鄉
Dudeștii Vechi,舊杜代什蒂鄉
Popești,波佩什蒂鄉
Dioști,迪奧什蒂鄉
Spinuș,斯皮努什鄉
Porumbacu de Jos,下波倫巴庫鄉
Livada,利瓦達鄉
Pietroasa,彼得羅阿薩鄉
Eremitu,埃雷米圖鄉
Ernei,埃爾內鄉
Oșorhei,奧紹爾海伊鄉
Jijila,日日拉鄉
Peregu Mare,大佩雷古鄉
Jugastru,猶加斯楚
Tarna Mare,大塔爾納鄉
Tarcău,塔爾克烏鄉
Tămășeu,特默謝烏鄉
Tătărăști,特特勒什蒂鄉
Macea,馬恰鄉
Prundu,普倫杜鄉
Măicănești,默伊克內什蒂鄉
Măgești,默傑什蒂鄉
Ceahlău,恰赫勒烏鄉
Plauru,普劳鲁
Mădârjac,默德里亞克鄉
Carașova,卡拉紹瓦鄉
Călinești-Oaș,克利內什蒂瓦什鄉
Tulgheș,圖爾蓋什鄉
Traian Vuia,特拉揚武亞鄉
Tufeni,圖費尼鄉
Cermei,切爾梅鄉
Topalu,托帕盧鄉
Cioroiași,喬羅亞希鄉
Plăieșii de Jos,下普勒耶希鄉
Tiream,蒂雷亞姆鄉
Racovița,拉科維察鄉
Tiha Bârgăului,伯爾格烏山麓蒂哈鄉
Baia de Fier,巴亞德菲耶爾鄉
Balaci,伯勒奇鄉
Pișchia,皮什基亞鄉
Albota,阿爾博塔鄉
Aninoasa,阿尼諾阿薩鄉
Almașu,阿爾馬舒鄉
Blăgești,布勒傑什蒂鄉
Beștepe,貝什泰佩鄉
Bilca,比爾卡鄉
Blejești,布萊熱什蒂鄉
Blândești,布倫代什蒂鄉
Brăești,布勒耶什蒂鄉
Bujoreni,布若雷尼鄉
Bulzești,布爾澤什蒂鄉
Bumbești-Pițic,本貝什蒂-皮齊克鄉
Alimpești,阿林佩什蒂鄉
Albești,阿爾貝什蒂鄉
Adunații-Copăceni,阿杜納齊-科珀切尼鄉
Arcani,阿爾卡尼鄉
Arefu,阿雷富鄉
Arsura,阿爾蘇拉鄉
Avrămeni,阿夫勒梅尼鄉
Bolboși,博爾博希鄉
Bolintin-Deal,博林廷-迪亞爾鄉
Boroaia,博羅阿亞鄉
Borăscu,博勒斯庫鄉
Bosanci,博桑奇鄉
Botoroaga,博托羅阿加鄉
Botoșana,博托沙納鄉
Bonțida,邦齐达
Bradu,布拉杜鄉
Bobicești,博比切什蒂鄉
Bogdănești,博格德內什蒂鄉
Bogdănița,博格德尼察鄉
Boișoara,博伊什瓦拉鄉
Urziceni,烏爾濟切尼鄉
Barcea,巴爾恰鄉
Bala,巴拉鄉
Beciu,貝丘鄉
Berceni,貝爾切尼鄉
Șag,沙格鄉
Șandra,尚德拉鄉
Șinteu,欣泰烏鄉
Boțești,博采什蒂鄉
Brabova,布拉博瓦鄉
Bragadiru,布拉加迪魯鄉
Bratovoești,布拉托沃埃什蒂鄉
Uivar,維瓦爾鄉
Șișești,希謝什蒂鄉
Burila Mare,大布里拉鄉
Bustuchin,布斯圖欽鄉
Buzoești,布佐埃什蒂鄉
Bâlteni,伯爾泰尼鄉
Bălcăuți,伯爾克烏齊鄉
Bălești,伯萊什蒂鄉
Băcești,伯切什蒂鄉
Băișoara,拜伊什瓦拉
Bălăceana,伯勒恰納鄉
Rădești,勒代什蒂鄉
Bălteni,伯爾泰尼鄉
Băneasa,伯尼亞薩鄉
Bălțești,伯爾采什蒂鄉
Carpen,卡爾彭鄉
Beuca,貝烏卡鄉
Cozmești,科茲梅什蒂
Corcova,科爾科瓦鄉
Corbi,科爾比鄉
Cordăreni,科爾德雷尼鄉
Corlățel,科爾勒采爾鄉
Berchișești,貝爾希謝什蒂鄉
Berezeni,貝雷澤尼鄉
Berevoești,貝雷沃埃什蒂鄉
Berislăvești,貝里斯勒韋什蒂鄉
Băbăița,伯伯伊察鄉
Bârghiș,伯爾吉什鄉
Băbiciu,伯比丘鄉
Băcani,伯卡尼鄉
Ciocani,喬卡尼鄉
Ciofrângeni,喬夫倫傑尼鄉
Ciuchici,丘基奇鄉
Brodina,布羅迪納鄉
Broșteni,布羅什泰尼鄉
Breznița-Motru,布雷茲尼察-莫特魯鄉
Breznița-Ocol,布雷茲尼察-奧科爾鄉
Cetate,切塔泰鄉
Celaru,切拉魯鄉
Cernișoara,切爾尼什瓦拉鄉
Cernătești,切爾訥泰什蒂鄉
Cervenia,切爾韋尼亞鄉
Cătunele,克圖內萊鄉
Brânceni,布倫切尼鄉
Brâncoveni,布倫科韋尼鄉
Brădești,布勒代什蒂鄉
Brănești,布勒內什蒂鄉
Bucinișu,布西尼舒鄉
Codăești,科德埃什蒂鄉
Concești,孔切什蒂鄉
Conțești,孔采什蒂鄉
Copăcele,科珀切萊鄉
Ferești,費雷什蒂鄉
Șoimi,紹伊米鄉
Rodna,羅德納鄉
Călărași,克勒拉希鄉
Călui,克盧伊鄉
Cărbunari,克爾布納里鄉
Coșești,科謝什蒂鄉
Coșteiu,科什泰尤鄉
Coțușca,科楚什卡鄉
Crețești,克雷采什蒂鄉
Crângeni,克倫傑尼鄉
Crângu,克倫古鄉
Cujmir,庫日米爾鄉
Cungrea,昆格雷亞鄉
Căbești,克貝什蒂鄉
Copălău,科珀勒烏鄉
Călmățuiu,克爾默楚尤鄉
Călinești,克利內什蒂鄉
Călinești,克利內什蒂鄉
Călmățuiu de Sus,上克爾默楚尤鄉
Dragoslavele,德拉戈斯拉韋萊鄉
Doclin,多克林鄉
Domnești,多姆內什蒂鄉
Domașnea,多馬什內亞鄉
Dragomirești,德拉戈米雷什蒂鄉
Roșiori,羅肖里鄉
Didești,迪代什蒂鄉
Cat Music,音乐猫
Cazinoul din Constanța,康斯坦察赌场
Deleni,代萊尼鄉
Desa,代薩鄉
Deveselu,德韦塞卢
Dimăcheni,迪默凱尼鄉
Dobrotești,多布羅泰什蒂鄉
Dobrun,多布倫鄉
Dobârceni,多伯爾切尼鄉
Cazinoul Sinaia,錫納亞賭場
Regiunea de dezvoltare Nord-Est,東北部發展地區
Șuncuiuș,順庫尤什鄉
Forăști,福勒什蒂鄉
Dănești,登內什蒂鄉
Dănești,德內什蒂鄉
Eftimie Murgu,埃夫蒂米耶穆爾古鄉
Epureni,埃普雷尼鄉
Drăguțești,德勒古采什蒂鄉
Ezeriș,埃澤里什鄉
Florești,弗洛雷什蒂鄉
Foltești,福爾泰什蒂鄉
Forotic,福羅蒂克鄉
Roșia,羅希亞鄉
Roșia Montană,羅希亞蒙塔訥鄉
Roșia de Secaș,羅希亞德塞卡什鄉
Drăghiceni,德勒吉切尼鄉
Drăgușeni,德勒古謝尼鄉
Drăgănești de Vede,韋代亞河畔德勒格內什蒂鄉
Drăgotești,德勒戈泰什蒂鄉
Cârna,克爾納鄉
Curtești,庫爾泰什蒂鄉
Câlnic,克爾尼克鄉
Curtuișeni,庫爾圖伊謝尼鄉
Cârcea,克爾恰鄉
Grojdibodu,格羅伊迪博杜鄉
Archiș,阿爾基什鄉
Gratia,格拉蒂亞鄉
Gostavățu,戈斯塔瓦楚鄉
Grecești,格雷切什蒂鄉
Grivița,格里維察鄉
Iablanița,亞布拉尼察鄉
Drănic,德勒尼克鄉
Dubova,杜博瓦鄉
Dumbrăveni,敦布勒韋尼鄉
Dănciulești,登丘萊什蒂鄉
Arcuș,阿爾庫什鄉
Brădești,布勒代什蒂鄉
Bănești,伯內什蒂鄉
Fruntișeni,弗倫蒂謝尼鄉
Frăsinet,弗勒西內特鄉
Frecăței,弗雷克采伊鄉
Chichiș,基基什鄉
Coșeiu,科謝尤鄉
Cristolț,克里斯托爾茨鄉
Curățele,庫勒采萊鄉
Grădinile,格勒迪尼勒鄉
Giurgița,久爾吉察鄉
Halmășd,哈爾默什德鄉
Lupșa,盧普沙鄉
Mirșid,米爾希德鄉
Gropeni,格羅佩尼鄉
Grozești,格羅澤什蒂鄉
Gruia,格魯亞鄉
Grădinari,格勒迪納里鄉
Ghindeni,京代尼鄉
Gilău,吉勒乌
Giubega,久貝加鄉
Glăvile,格勒維萊鄉
Gogoșu,戈戈舒鄉
Goiești,戈耶什蒂鄉
Gorbănești,戈爾伯內什蒂鄉
Goruia,戈魯亞鄉
Hlipiceni,赫利皮切尼鄉
Gălănești,格勒內什蒂鄉
Găneasa,格內亞薩鄉
Hinova,希諾瓦鄉
Poienile de sub Munte,波耶尼萊德蘇布蒙泰鄉
Sanislău,薩尼斯勒烏鄉
Finiș,菲尼什鄉
Frâncești,弗倫切什蒂鄉
Frătăuții Vechi,舊弗勒特烏齊鄉
Frătăuții Noi,弗勒特烏齊諾伊鄉
Furculești,富爾庫萊什蒂鄉
Satulung,薩圖隆格鄉
Academia Forțelor Terestre „Nicolae Bălcescu” din Sibiu,尼古拉·伯爾塞斯庫陸軍學院
Academia de Științe Medicale,羅馬尼亞醫學科學院
Academia de Științe din România,羅馬尼亞科學院
Hârsești,赫爾塞什蒂鄉
Hârtiești,赫爾蒂耶什蒂鄉
Hârtop,赫爾托普鄉
Hălmagiu,赫爾馬久鄉
Galicea,加利恰鄉
Secaș,塞卡什鄉
Fântânele,芳特內萊鄉
Fălciu,弗爾丘鄉
Fărcaș,弗爾卡什鄉
Făurești,弗烏雷什蒂鄉
Moldovița,摩爾多維察鄉
Mihălășeni,米赫勒謝尼鄉
Mitrofani,米特羅法尼鄉
Moldova-Sulița,摩爾多瓦-蘇利察鄉
Hoceni,霍切尼鄉
Horodnic de Jos,下霍羅德尼克鄉
Horodnic de Sus,上霍羅德尼克鄉
Horodniceni,霍羅德尼切尼鄉
Hurezani,胡雷扎尼鄉
Ilovăț,伊洛沃茨鄉
Islaz,伊斯拉茲鄉
Ivănești,伊沃內什蒂鄉
Izvoru,伊茲沃魯鄉
Șamșud,沙姆舒德鄉
Șimișna,謝米什納鄉
Șiria,希里亞鄉
Regatul României sub fascism,法西斯制下的羅馬尼亞
Galicea Mare,大加利恰鄉
Ghimpețeni,京佩采尼鄉
Ghelința,蓋林察鄉
Izvoare,伊茲瓦雷鄉
Lița,利察鄉
Leordeni,萊奧爾代尼鄉
Licurici,利庫里奇鄉
Lipovăț,利波沃茨鄉
Lisa,利薩鄉
Jupânești,茹珀內什蒂鄉
Leleasca,萊萊亞斯卡鄉
Laza,拉扎鄉
Leorda,萊奧爾達鄉
Arhiepiscopia Sucevei și Rădăuților,蘇恰瓦與勒德烏齊主教區
Hănești,赫內什蒂鄉
Hănțești,亨采什蒂鄉
Iana,亞納鄉
Iancu Jianu,揚庫日亞努鄉
Ibănești,伊伯內什蒂鄉
Grădinari,格勒迪納里鄉
Grădiștea,格勒迪什泰亞鄉
Gura Padinii,古拉帕迪尼鄉
Gușoeni,古紹埃尼鄉
Gârceni,格爾切尼鄉
Gârla Mare,大格爾拉鄉
Găgești,格傑什蒂鄉
I.C. Brătianu,I.C.布勒蒂亞努鄉
Ianca,揚卡鄉
Ibănești,伊伯內什蒂鄉
Ilovița,伊洛維察鄉
Ionești,納內什蒂鄉
Pardoși,帕爾多希鄉
Românași,羅馬納希鄉
Hulubești,胡盧貝什蒂鄉
Covurlui,考武魯伊縣
"Alegeri generale în România, 1996",1996年羅馬尼亞總統選舉
Lozna,洛茲納鄉
Lunca,倫卡鄉
Lunca Corbului,倫卡科爾布盧伊鄉
Moravița,摩拉維察鄉
Movileni,莫維萊尼鄉
Mozăceni,莫澤切尼鄉
Muereasca,穆埃雷亞斯卡鄉
Ișalnița,伊沙爾尼察鄉
Jiana,日亞納鄉
Jorăști,若勒什蒂鄉
Autoritatea Feroviară Română,罗马尼亚铁路局
Sărmaș,瑟爾馬什鄉
Șărmășag,舍爾默沙格鄉
Lunca,倫卡鄉
Luncavița,隆卡維察鄉
Lupac,盧帕克鄉
Lăcusteni,勒庫斯泰尼鄉
Lunca Banului,倫卡巴努盧伊鄉
Mihăești,米赫埃什蒂鄉
Mihăești,米赫埃什蒂鄉
Mihăileni,米赫伊萊尼鄉
Marga,馬爾加鄉
Hidișelu de Sus,上希迪謝盧鄉
Micești,米切什蒂鄉
Miclești,米克萊什蒂鄉
Lăpușnicel,勒普什尼切爾鄉
Malu Mare,大馬盧鄉
Manoleasa,馬諾萊亞薩鄉
Malovăț,馬洛沃茨鄉
Marginea,馬爾吉內亞鄉
Mateești,馬泰埃什蒂鄉
Mavrodin,馬夫羅丁鄉
Mehadica,梅哈迪卡鄉
Măldărești,默爾德雷什蒂鄉
Mălușteni,默盧什泰尼鄉
Mănăstirea Humorului,默訥斯蒂雷亞胡莫魯盧伊鄉
Măceșu de Jos,下默切舒鄉
Olteni,奧爾泰尼鄉
Oporelu,奧波雷盧鄉
Oprișor,奧普里紹爾鄉
Orlea,奧爾萊亞鄉
Mușetești,穆謝泰什蒂鄉
Mârșani,馬爾沙尼鄉
Mădulari,默杜拉里鄉
Mârzănești,默爾澤內什蒂鄉
Moșnița Nouă,新莫什尼察鄉
Muntenii de Jos,下蒙泰尼鄉
Munteni,蒙泰尼鄉
Muntenii de Sus,上蒙泰尼鄉
Naidăș,奈德什鄉
Mărăcineni,默勒奇內尼鄉
Măstăcani,默斯特卡尼鄉
Mănăștiur,默訥什蒂烏爾鄉
Mătăsari,默特薩里鄉
Oșești,奧謝什蒂鄉
Panaci,帕納奇鄉
Parva,帕爾瓦鄉
Mareșalul României,元帥
Insula k,K岛
Pristol,普里斯托爾鄉
Prăjeni,普勒熱尼鄉
Pușcași,普什卡希鄉
Pârteștii de Jos,下珀爾泰什蒂鄉
Săuca,瑟烏卡鄉
Poieni-Solca,波耶尼-索爾卡鄉
Mălini,默利尼鄉
Poiana Stampei,波亞納斯坦佩鄉
Poienești,波耶內什蒂鄉
Podeni,波代尼鄉
Măceșu de Sus,上默切舒鄉
Mădăraș,默德拉什鄉
Măgura,默古拉鄉
Țețchea,采茨凱亞鄉
Negrilești,內格里萊什蒂鄉
Nenciulești,嫩丘萊什蒂鄉
Niculițel,尼庫利采爾鄉
Năsturelu,訥斯圖雷盧鄉
Nițchidorf,蒂米什縣
Obârșia,奧伯爾希亞鄉
Ocna de Fier,鐵礦村鄉
Scobinți,斯科賓齊鄉
Poroina Mare,大波羅伊納鄉
Roseți,羅塞齊鄉
Rotunda,羅通達鄉
Runcu,倫庫鄉
Rusca Montană,魯斯卡蒙塔訥鄉
Plopșoru,普洛普紹魯鄉
Pochidia,波基迪亞鄉
Podari,波達里鄉
Poeni,波埃尼鄉
Ramna,拉姆納鄉
Rebricea,雷布里恰鄉
Recea,雷恰鄉
Râca,勒卡鄉
Păltiniș,珀爾蒂尼什鄉
Racșa,拉克沙鄉
Radovan,拉多萬鄉
Sprâncenata,斯普倫切納塔鄉
Slatina,斯拉蒂納鄉
Siliștea Gumești,錫利什泰亞古梅什蒂鄉
Siminicea,錫米尼恰鄉
Slivilești,斯利維萊什蒂鄉
Pielești,皮耶萊什蒂鄉
Pleșoiu,普萊紹尤鄉
Plopii-Slăvitești,普洛皮-斯勒維泰什蒂鄉
Olanu,奧拉努鄉
Racovița,拉科維察鄉
Pojejena,波耶耶納鄉
Pojorâta,波若勒塔鄉
Pomârla,波默爾拉鄉
Polovragi,波洛夫拉吉鄉
Parța,帕爾察鄉
Peretu,佩雷圖鄉
Perieni,佩列尼鄉
Perișor,佩里紹爾鄉
Rociu,羅丘鄉
Roma,羅馬鄉
Români,羅默尼鄉
Românești,羅馬內什蒂鄉
Straja,斯特拉扎鄉
Stoina,斯托伊納鄉
Stolnici,斯托爾尼奇鄉
Studina,斯圖迪納鄉
Stănești,斯特內什蒂鄉
Scundu,斯昆杜鄉
Scoarța,斯夸爾察鄉
Scurtu Mare,大斯庫爾圖鄉
Seaca,塞亞卡鄉
Seaca,塞亞卡鄉
Rădăuți-Prut,勒德烏齊-普魯特鄉
Osica de Jos,下奧西卡鄉
Osica de Sus,上奧西卡鄉
Ostra,奧斯特拉鄉
Ostroveni,奧斯特羅韋尼鄉
Sălățig,瑟勒齊格鄉
Râu Sadului,勒烏薩杜盧伊鄉
Răchiți,勒基齊鄉
Răcășdia,勒克什迪亞鄉
Oteșani,奧泰沙尼鄉
Paltin,帕爾廷鄉
Teasc,泰亞斯克鄉
Teiu,泰尤鄉
Telești,泰萊什蒂鄉
Slimnic,斯利姆尼克鄉
Scăești,斯克埃什蒂鄉
Siliștea,錫利什泰亞鄉
Slatina-Timiș,斯拉蒂納-蒂米什鄉
Predești,普雷代什蒂鄉
Prigoria,普里戈里亞鄉
Priboieni,普里博耶尼鄉
Priseaca,普里塞亞卡鄉
Spineni,斯皮內尼鄉
Stejaru,斯泰亞魯鄉
Stejari,斯泰扎里鄉
Spulber,斯普爾貝爾鄉
Stoenești,斯托埃內什蒂鄉
Sadova,薩多瓦鄉
Sadova,薩多瓦鄉
Saelele,薩埃萊萊鄉
Sacu,薩庫鄉
Stulpicani,斯圖爾皮卡尼鄉
Stănilești,斯特尼萊什蒂鄉
Suceveni,蘇切韋尼鄉
Sasca Montană,薩斯卡蒙塔訥鄉
Turcinești,圖爾西內什蒂鄉
Turburea,图尔布雷亚
Salcia,薩爾恰鄉
Sacoșu Turcesc,薩科舒圖爾切斯克鄉
Santa Mare,聖馬雷鄉
Tâmna,特姆納鄉
"Muzeul de Istorie Națională și Arheologie, Constanța",历史和考古学博物馆
Partidul Mișcarea Populară,人民行動黨
Tomești,托梅什蒂鄉
Topolovățu Mare,大托波洛沃楚鄉
Troianul,特羅亞努爾鄉
Suharău,蘇哈勒烏鄉
Suhurlui,蘇胡爾盧伊鄉
Sulița,蘇利察鄉
Muzeul Național al Aviației Române,羅馬尼亞航空國家博物館
Uzina Mecanică Cugir,库吉尔兵工厂
Accidentul aviatic din Munții Apuseni din 2014,RFL111班機事故
Teregova,泰雷戈瓦鄉
Tigveni,蒂格韋尼鄉
Todireni,托迪雷尼鄉
Tomești,托梅什蒂鄉
Bucharest Open,布加勒斯特公开赛
Tălpaș,特爾帕什鄉
Mănăstirea Mihai Vodă,米哈伊·沃達修道院
Tătărăștii de Jos,下韃靼勒什蒂鄉
Tătărăștii de Sus,上韃靼勒什蒂鄉
Uda-Clocociov,烏達-克洛科喬夫鄉
Udești,烏代什蒂鄉
Ulma,烏爾馬鄉
Urzica,烏爾濟卡鄉
Unirea,烏尼雷亞鄉
Romarm,ROMARM
Romtehnica,罗姆特尼察
Șuici,舒伊奇鄉
Știuca,什蒂烏卡鄉
Vutcani,武特卡尼鄉
Vânători,沃訥托里鄉
Vărădia,沃勒迪亞鄉
Zorleni,佐爾萊尼鄉
Zăpodeni,澤波代尼鄉
Întorsura,恩托爾蘇拉鄉
Șendreni,申德雷尼鄉
Șișești,希謝什蒂鄉
Ștefan cel Mare,斯特凡大帝
Valea Mare,大谷鄉
Vela,韋拉鄉
Vedea,韋代亞鄉
Verești,韋雷什蒂鄉
Târnova,特爾諾瓦鄉
Tăcuta,特庫塔鄉
Tămădău Mare,大特默德烏鄉
Socol,索科爾鄉
Limba tătară dobrogeană,罗马尼亚鞑靼语
Valea Danului,達努盧伊鄉
Partidul Democrat,罗马尼亚民主党
Unțeni,溫采尼鄉
Vadu Moldovei,瓦杜摩爾多瓦鄉
Vaideeni,瓦伊代埃尼鄉
Traian,特拉揚鄉
Topleț,托普萊茨鄉
Topana,托帕納鄉
Traian,特拉揚鄉
Tomnatic,托姆納蒂克鄉
Vitănești,維特內什蒂鄉
Sârbeni,瑟爾貝尼鄉
Sânmihaiu Almașului,聖米哈尤阿爾馬舒盧伊鄉
Săcelu,瑟切盧鄉
Săulești,瑟烏萊什蒂鄉
Pădurea spânzuraților,絞死者的樹林
Valu lui Traian,瓦盧盧伊特拉揚鄉
Viișoara,维什瓦拉
Vorona,沃羅納鄉
Vlăsinești,弗勒西內什蒂鄉
Voloiac,沃洛亞克鄉
Vorniceni,沃爾尼切尼鄉
Voinești,沃伊內什蒂鄉
Cornu Luncii,科爾努隆奇鄉
Coșna,科什納鄉
Dorna Candrenilor,多爾維坎德雷尼洛爾鄉
Dornești,多爾內什蒂鄉
Crasna,克拉斯納鄉
Crișeni,克里謝尼鄉
Cuzăplac,庫澤普拉克鄉
Dobrin,多布林鄉
Zamostea,扎莫斯泰亞鄉
Zâmbreasca,曾布雷亞斯卡鄉
Zvoriștea,茲沃里什泰亞鄉
Zorlențu Mare,大佐爾倫楚鄉
Dragu,德拉古鄉
Fildu de Jos,下菲爾杜鄉
Gâlgău,格爾格烏鄉
Gârbou,格爾博烏鄉
Hida,希達鄉
Bulz,布爾茲鄉
Cetariu,切塔里烏鄉
Gepiu,傑皮烏鄉
Plopiș,普洛皮什鄉
Poiana Blenchii,波亞納布倫基鄉
Rus,魯斯鄉
Sâg,瑟格鄉
Jina,伊納鄉
Sadu,薩杜鄉
Breaza,布雷亞扎鄉
Bunești,布內什蒂鄉
Pătrăuți,珀特勒烏齊鄉
Preutești,普雷烏泰什蒂鄉
Putna,普特納鄉
Lozna,洛茲納鄉
Marca,馬爾卡鄉
Năpradea,訥普拉代亞鄉
Pericei,佩里切伊鄉
Depresiunea Vad-Borod,瓦德窪地
Dezastrul de la Certej,1971年 Certej 水壩潰決事件
Dersca,代爾斯卡鄉
Rafaila,拉法伊拉鄉
Ivești,伊韋什蒂鄉
Surduc,蘇爾杜克鄉
Treznea,特雷茲內亞鄉
Valcău de Jos,下瓦爾克烏鄉
Vârșolț,沃爾索爾茨鄉
Gura Râului,古拉勒烏盧伊鄉
Zalha,扎爾哈鄉
Zimbor,津博爾鄉
Alma,阿爾馬鄉
Boița,博伊察鄉
Rădășeni,勒德謝尼鄉
Râșca,勒什卡鄉
Sucevița,蘇切維察鄉
Șcheia,什凱亞鄉
Grămești,格勒梅什蒂鄉
Șerbăuți,謝爾伯烏齊鄉
Drăgușeni,德勒古謝尼鄉
Fântâna Mare,大芳特納鄉
Frumosu,弗魯莫蘇鄉
Fundu Moldovei,豐杜摩爾多瓦鄉
Ipotești,伊波泰什蒂鄉
Grănicești,格勒尼切什蒂鄉
Iacobeni,雅各貝尼鄉
Iaslovăț,亞斯洛沃茨鄉
Ilișești,伊利謝什蒂鄉
Porumbeni,波倫貝尼鄉
Voitinel,沃伊蒂內爾鄉
Volovăț,沃洛沃茨鄉
Bogdana,博格達納鄉
Bujoru,布若魯鄉
Buzescu,布澤斯庫鄉
Todirești,托迪雷什蒂鄉
Valea Moldovei,摩爾多瓦鄉
Vatra Moldoviței,瓦特拉摩爾多維采鄉
Vicovu de Jos,下維科武鄉
Cricău,克里克烏鄉
Doljești,多列什蒂鄉
Piatra,皮亞特拉鄉
Horoatu Crasnei,霍羅阿圖克拉斯內鄉
Ileanda,伊良達鄉
Ip,伊普鄉
Letca,萊特卡鄉
Drăcșenei,德勒克謝內鄉
Frumoasa,弗魯莫阿薩鄉
Moșteni,莫什泰尼鄉
Necșești,內克謝什蒂鄉
Gohor,戈霍爾鄉
Sânger,聖傑爾鄉
2014 în România,2014年罗马尼亚
Bogdana,博格丹納鄉
"Sebeș, Cibin",塞贝什河
Vârfu Câmpului,沃爾富肯普盧伊鄉
Viziru,維濟魯鄉
Vinderei,溫代雷鄉
Pietroșani,彼得羅沙尼鄉
Plosca,普洛斯卡鄉
Poroschia,波羅斯基亞鄉
Purani,普拉尼鄉
Putineiu,普蒂內尤鄉
Ceru-Băcăinți,切魯-伯克齊鄉
Cetatea de Baltă,切塔泰亞巴爾特
Ciugud,丘古德鄉
Ciprian Porumbescu,奇普里安波薩貝斯庫鄉
Stadionul Național (1953),罗马尼亚国家体育場
Stroiești,斯特羅耶什蒂鄉
Cefa,切法鄉
Ceica,切伊卡鄉
Boteni,博泰尼鄉
Ciuperceni,丘佩爾切尼鄉
Cosmești,科斯梅什蒂鄉
Crevenicu,克雷韋尼庫鄉
Dracea,德拉恰鄉
Cudalbi,庫達爾比鄉
Cazasu,卡扎蘇鄉
Smulți,斯穆爾齊鄉
Tudor Vladimirescu,圖多爾弗拉迪米雷斯庫鄉
Câmpani,肯帕尼鄉
Căpâlna,克珀爾納鄉
Ghindăoani,京德瓦尼鄉
Cărpinet,克爾皮內特鄉
Bistra,比斯特拉乡
2004 în România,2004年羅馬尼亞
Almașu Mare,大阿尔马舒乡
Avram Iancu,阿夫拉姆·伊安库乡
Berghin,贝尔金乡
Bujoreni,布若雷尼鄉
Valea Mărului,默魯盧伊鄉
Văleni,沃萊尼鄉
Blandiana,布兰迪亚纳乡
Bucium,布丘姆鄉
Cenade,切纳德乡
2005 în România,2005年羅馬尼亞
Pogana,波加納鄉
Slobozia Conachi,斯洛博齊亞科納基鄉
Gârda de Sus,上格爾達鄉
Hopârta,霍珀爾塔鄉
Horea,霍雷亞鄉
Păltinoasa,珀爾蒂諾阿薩鄉
Mitocu Dragomirnei,米托庫德拉戈米爾內鄉
Mușenița,穆謝尼察鄉
Lacul Tarnița,塔尔尼察湖
Suraia,蘇拉亞鄉
Copăceni,科珀塞尼鄉 (沃爾恰縣)
Solești,索萊什蒂鄉
Todirești,托迪雷什蒂鄉
Vetrișoaia,韋特里什瓦亞鄉
Vulturești,武爾圖雷什蒂鄉
Tătărăni,韃靼勒尼鄉
Tutova,圖托瓦
Havârna,哈沃爾納鄉
Crișan,克里尚鄉
Dorobanțu,多羅班楚鄉
Horia,霍里亞鄉
Alexandru Vlahuță,亞歷山德魯弗拉胡策鄉
Ștorobăneasa,什托羅伯內亞薩鄉
Graiul ardelenesc,特兰西瓦尼亚方言
Sfințești,斯芬采什蒂鄉
Slobozia Mândra,斯洛博濟亞門德拉鄉
Smârdioasa,斯馬爾迪瓦薩鄉
Suhaia,蘇哈亞鄉
Viișoara,維什瓦拉鄉
