François Hollande,프랑수아 올랑드
Guillaume-François Rouelle,기욤프랑수아 루엘
Louis-Camille Maillard,루이 카미유 마이야르
Gaston de France,가스통 도를레앙 공작
Jacques Doillon,자크 두아용
Éleuthère Irénée du Pont de Nemours,엘뢰테르 이레네 뒤퐁
Michel Bibard,미셸 비바르
Pierre Attaingnant,피에르 아테냥
Jacques de Trivulce,잔 자코모 트리불치오
Daniel Hechter,다니엘 에스테
Edmond Decottignies,에드몽 드코티니
Grégory Gaultier,그레고리 고티에
Adolphe Grisel,알퐁스 그리셀
François Girardon,프랑수아 지라르동
Claude-Michel Schönberg,클로드 미셸 쇤베르그
Lucien-Louis Bonaparte,뤼시엥 루이 조제프 나폴레옹 보나파르트
Albert Rust,알베르 뤼스
Jacques Faty,쟈크 파티
Oscar Temaru,오스카르 테마루
Jacques Barzun,자크 바전
Alexis Weissenberg,알렉시스 바이센베르크
Laurent Lucas,로랑 뤼카스
Xavier Gens,자비에르 젠스
Paul Paray,폴 파레
Odet de Foix,오데 드 푸아
Nikolai Kinski,니콜라이 킨스키
François du Jon,프란시스쿠스 유니우스 (아버지)
Antoine de Caunes,앙투안 드콘
D'Artagnan,다르타냥
Grandville,장 이냐스 이지도르 그랑빌
François Bonlieu,프랑수아 봉리외
Jean Martin (acteur),장 마르탱
Brice Guyart,브리스 기야르
Henri Langlois,앙리 랑글루아
Philippe Montanier,필리프 몽타니에
Maxime Du Camp,막심 뒤 캉
Jean-Pierre Vidal,장피에르 비달
Eugène Bozza,외젠 보자
Yvon Le Roux,이봉 르 루
Frantz Reichel,프랑츠 레셸
François Paul de Brueys d'Aigalliers,프랑수아 폴 드 브뤼에
Jacques Dutronc,자크 뒤트롱
Emmanuel Carrère,에마뉘엘 카레르
Edmond-Charles Genêt,에드몽샤를 주네
Jean Grenier (écrivain),장 그르니에
Frédéric Hanvi,프레데릭 앙비
Philippe Rousselot,필리프 루슬로
Pierre Victurnien Vergniaud,피에르 베르니오
Charles d'Éon de Beaumont,샤를 데옹 드 보몽
Camille Lacourt,카미유 라쿠르
Emmanuel Todd,엠마누엘 토드
Bruno Martini (football),브뤼노 마르티니 (축구 선수)
Olivier Girault,올리비에 지로
Sady Rebbot,사디 레보트
Max-Alain Gradel,막스 그라델
Georges Florovsky,게오르기 플로롭스키
Marcel Moyse,마르셀 모이즈
Michel Navratil,미셸 마르셀 나브라틸
Christian Estrosi,크리스티앙 에스트로지
Thoinot Arbeau,투아노 아르보
Richard Morris Hunt,리처드 모리스 헌트
Alphonse Pénaud,알퐁스 페노
Félix de Valois,발루아의 성 펠릭스
Charles-Louis Hanon,샤를 루이 아농
Artur Ávila,아르투르 아빌라
Carine Roitfeld,카린 로이펠트
Romain Sardou,로맹 사르두
Jacques Dixmier,자크 디미에
Rudi Garcia,뤼디 가르시아
Rémy Cabella,레미 카벨라
Johan Audel,요한 오델
Louis-Hyacinthe Bouilhet,루이 야생트 부이예
Marius Jacob,마리우스 자코브
Joyce Jonathan,조이스 조나탕
JoeyStarr,조이 스타
Jules Violle,쥘 비올
François-Louis Bourdon,프랑수아 루이 부르동
Audrey Lamy,오드레 라미
Alexandre-Olivier Exquemelin,알렉상드르 엑스케멜린
"Souleymane Camara (football, 1982)",술레만 카마라
Jean-Luc Crétier,장뤼크 크레티에
Claude Bolling,클로드 볼링
Jean-Paul Penin,장폴 페냉
Samuel Le Bihan,사무엘 르 비앙
Oscar Cullmann,오스카 쿨만
Pierre Eyt,피에르 에이트
Marie-Georges Picquart,조르주 피카르
Hans Hartung,앙스 아르퉁
Henri-Joseph Paixhans,앙리 조세프 펙상
Théodore Steeg,테오도르 스테그
Sourou Migan Apithy,수루 미강 아피티
Myriam Boyer,미리암 부아예
Jemima West,제미마 웨스트
John Theophilus Desaguliers,존 데사굴리에
Ysaora Thibus,이사오라 티뷔
Jean III Clément,장 3세 클레망
Charles Mantoux,샤를 망투
Jean-François Raffaëlli,장 프랑수아 라파엘리
Charles de Rohan-Soubise,수비즈 공작 샤를 드 로앙
Victor Laloux,빅토르 랄루
Jean Bouin,장 부앵
Robert Guédiguian,로베르 게디기앙
Daniel Bravo,다니엘 브라보
Étienne Ier de Troyes,에티엔 1세
Ernest Doudart de Lagrée,두다르 드 라그레
Roger Hanin,로제 아냉
Pierre Brasseur,피에르 브라쇠르
Henri Gaudier-Brzeska,앙리 고디에브르제스카
Jean Girault,장 지로 (영화 감독)
Denis Ménochet,드니 메노셰
Yacine Brahimi,야신 브라히미
Alexander Brailowsky,알렉산드르 브라일로프스키
Foulques du Merle,풀크 뒤 메를
Georg Hackenschmidt,게오르그 하켄슈미트
Jean-Baptiste Marchand,장바티스트 마르샹
Christine de France,프랑스의 크리스틴
Fortuné du Boisgobey,포르튀네 뒤 부아고베
Maurice Rheims,모리스 림스
Sébastien Corchia,세바스티앵 코르시아
Mathieu Demy,마티외 드미
Olivier Gruner,올리비에 그루너
Samuel Benchetrit,사무엘 벤체트리트
Christophe Kempé,크리스토프 캉페
Pierre de Bérulle,피에르 드 베륄
Pierre Morel (réalisateur),피에르 모렐
Charles-Henri Sanson,샤를 앙리 상송
Hippolyte Carnot,이폴리트 카르노
Massadio Haïdara,마사디오 아이다라
Jean-Louis Guez de Balzac,장루이 게즈 드 발자크
Jean-Marc Guillou,장마르크 기유
Pierre Lévy (philosophe),피에르 레비
Darius Khondji,다리우스 콘쥐
Marc Lavoine,마르크 라부안
Léon Brunschvicg,레옹 브룅슈비크
Octave Feuillet,옥타브 푀이예
Pierre Hadot,피에르 아도
Edmond de Goncourt,에드몽 드 공쿠르
Jean Richard (acteur),장 리샤르
Gabriel de Guilleragues,가브리엘 드 기유라그
Claude Dauphin (acteur),클로드 도팽
Gilbert Melki,질베르트 멜키
Angélique Boyer,안젤리크 보이어
Gérard Soler,제라르 솔레르
Alber Elbaz,알베르 엘바즈
Laurent Voulzy,로랑 불지
Olivier Sitruk,올리비에 시트뤼크
Simon Abkarian,시몽 아브카리앙
Morgan Schneiderlin,모르간 슈네데를랭
Jean Vilar,장 빌라르
Christian Lopez,크리스티앙 로페
Samson François,상송 프랑수아
Delvin Ndinga,델뱅 은딩가
Claude Papi,클로드 파피
Claude Lancelot,클로드 랑슬로
Jean Fournet,장 푸르네
Alexandre Tharaud,알렉상드르 타로
Ishak Belfodil,이샤크 벨포딜
Francis Huster,프란시스 허스터
Claude Rich,클로드 리치
Guy Marchand,기 마르샹
Jean-Baptiste Dumonceau,장바티스트 뒤몽소
Alain Barrière,알랭 바리에르
Hugues de Rouen,위그 (루앙 주교)
Neal Maupay,닐 모페이
Rosmah Mansor,로스마흐 만소르
Clément Turpin,클레망 튀르팽
Auguste-Léopold Protet,오귀스트 레오폴드 프로테
Édouard Fritch,에두아르 프리슈
Franck Pourcel,프랑크 푸르셀
Edmond Locard,에드몽 로카르
Colin Higgins,콜린 히긴스
Tomer Sisley,토머 시슬리
Alexandre Oukidja,알렉상드르 우키자
Grégory Mallet,그레고리 말레
Alessandro Gassmann,알레산드로 가스만
Jean Barraqué,장 바라케
Johan Clarey,조앙 클라레
Neeskens Kebano,네스켄스 케바노
Jean-Jacques Marcel,장자크 마르셀
Luc Merenda,뤽 메렌다
Sigrid Agren,시그리드 아그렌
Antoinette de Monaco,마시 남작부인 앙투아네트
Paul Gachet,폴 가셰
Salim Kechiouche,샐림 케치오체
Joël Robuchon,조엘 로뷔숑
Richard Berry,리샤르 베리
Gennaro Bracigliano,젠나로 브라칠리아노
Pierre Vaneck,피에르 바네크
Nicolas Pallois,니콜라 팔루아
Gilles Sunu,질 수누
Emmanuelle Coubat,에마뉘엘 쿠바
Steve Missillier,스테브 미실리에
Yannick Borel,야니크 보렐
Julien Bertheau,쥘리앵 베르토
Pierre Hantaï,피에르 앙타이
Marc Berdoll,마르크 베르돌
Philippe de Gaulle,필리프 드골
Tony Allen,토니 앨런 (음악가)
Yves Nat,이브 나트
René Laloux,르네 랄루
Gérard Darmon,제라르 다르몽
Pierre de Polignac,발랑티누아 공작 피에르
Jacques Jouanneau,자크 주아노
Jean-Pierre Bacri,장 피에르 바크리
Marguerite de Lorraine,마르그리트 드 로렌 도를레앙 공작부인
Louis de France (1729-1765),프랑스의 루이 (1729년)
Louis de France (1682-1712),부르고뉴 공작 루이
Gérard Souzay,제라르 수제
Jules Ferry,쥘 페리
Désiré-Émile Inghelbrecht,데지레-에밀 앵겔브레슈트
Tahar Rahim,타하르 라힘
Serge Akakpo,세르주 아카크포
Pierre Blanchar,피에르 블랑샤르
Ernest Lavisse,에르네스트 라비스
Patrick Mboma,파트리크 음보마
Gérard de Vaucouleurs,제라르 드보쿨뢰르
Corinne Diacre,코린 디아크르
Jacques Pépin,자크 페팽
Firmin Gémier,피르맹 제미에
Gaston Baty,가스통 바티
Marie Bell,마리 벨
Harold Martin,해럴드 마틴
Eustaquio de Escandón,에우스타키오 데 에스칸돈 이 바론
Georges de La Nézière,조르주 드 라 네지에르
Sokratis Lagoudakis,소크라티스 라구다키스
Michel Bouquet,미셀 부케
Virgil Gheorghiu,콘스탄틴 비르질 게오르기우
Thierry Tusseau,티에리 튀소
Pierre Bachelet,피에르 바슐레
Patrice Rio,파트리스 리오
Olivier Rouyer,올리비에 루예
Pierre André de Suffren,피에르 앙드레 드 쉬프렌
Georges Wolinski,조르주 볼린스키
Stéphane Le Foll,스테판 르폴
Michel Maffesoli,미셸 마페졸리
Marcelle Meyer,마르셀 마이어
Serge Leclaire,세르주 르클레르
Maurice Jaubert,모리스 조베르
François Du Bois,프랑수아 뒤부아
Pio Marmaï,피오 마르마이
Georges Ferdinand Bigot,조르주 페르디낭 비고
Jacques Fontanille,자크 퐁타닐
Bruno Dumont,브뤼노 뒤몽
Georges Ulmer,조르주 윌메르
Sébastien Faure,세바스티앙 포르
Céline Sallette,셀린 살레트
Cédric Paty,세드리크 파티
Cédric Kahn,세드리크 칸
Philippe Le Guay,필립 르 게이
Jordy,조르디 (가수)
Jean-Pierre Ponnelle,장피에르 폰넬
Xavier Beauvois,그자비에 보부아
Joseph Ducreux,조제프 뒤크뢰
Franck Piccard,프랑크 피카르
Cyprien Katsaris,시프리앙 카차리스
Japhet N'Doram,자페 은도람
Maurice Farman,모리스 파르망
Kad Merad,카드 므라드
René Petit,르네 프티
Maurice Lafont,모리스 라퐁
Pierre Fauchard,피에르 포샤르
Yves Beneyton,예브 베네이통
Gérard Mestrallet,제라르 메스트랄레
Jocelyn Quivrin,조셀린 퀴브린
Laurent Imbert,로랑조제프마리위스 앵베르
Fabien Gilot,파비앵 질로
Jean-Pierre Kalfon,장 피에르 칼폰
Gilbert de Montpensier,질베르 드 몽팡시에 백작
Léonard Victor Charner,레오나르 샤르네르
Sami Frey,사미 프레이
Cédric Burdet,세드리크 뷔르데
Sébastien Flute,세바스티앵 플뤼트
Louis II de La Trémoille,루이 2세 드 라 트레무아유
Martial Solal,마르시알 솔랄
Anne-Élisabeth de France,프랑스 공주 안엘리자베트
Mustapha Yatabaré,무스타파 야타바레
François Heutte,프랑수아 외트
Samba Diakité,삼바 디아키테
Romain Amalfitano,로맹 아말피타노
Jean-Paul Bertrand-Demanes,장폴 베르트랑드만
Laurent Wauquiez,로랑 보키에
Romain Alessandrini,로메인 알레산드리니
Adolphe Monticelli,아돌프 조제프 토마 몽티셀리
Thomas Piketty,토마 피케티
Sophie de France (1734-1782),프랑스의 소피 (1734년)
Henry Becque,앙리 베크
Roland Dyens,롤랑 디앙
Jean-François Domergue,장프랑수아 도메르게
Alfred N'Diaye,알프레드 은디아예
Annie Ernaux,아니 에르노
Philippe Nahon,필리프 나혼
Bruno Delbonnel,브뤼노 델보넬
Bruno Le Maire,브뤼노 르메르
Marcel Mouloudji,마르셀 물루지
Daniel Ducruet,다니엘 듀크루엣
Maurice Ronet,모리스 로네
Jacques d'Armagnac,자크 다르마냐크 드 느무르 공작
Jean Raspail,장 라스파유
Darry Cowl,다리 콜
Nicolas Jenson,니콜라 장송
Maryan Wisniewski,마량 위스니에스키
Niels Schneider,닐스 슈네데르
François Deguelt,프랑소와 드겔트
Jean-Jacques Nattiez,장자크 나티에
Patrick Devedjian,파트리크 드브지앙
Marcel Chevalier,마르셀 슈발리에
Albert Hassler,알베르 아슬레르
David Charvet,다비드 샤르베
David Chassé,다비드 헨드리크 샤세
Melvil Poupaud,멜빌 푸포
François de La Rocque,프랑수아 드 라 로크
Jean Eustache,장 외스타슈
Jean Cassou,장 카수
Paul Meurisse,폴 뫼리스
Lew Kowarski,루 코바르스키
Fernand Pelloutier,페르낭 펠루티에
Marco Enríquez-Ominami,마르코 엔리케스오미나미
Daniel Halévy,다니엘 알레비
Jaque-Catelain,자크 카틀렝
Bruno Putzulu,브루노 푸트줄루
Nicolas Duvauchelle,니콜라 뒤보셸
Eriq Ebouaney,에리크 에부아네
Georges Pitoëff,조르주 피토에프
Louis Nicolas Victor de Félix d'Ollières,루이 니콜라 빅토르 드 펠릭스 드 오리에르
Bernard (fils de Charles Martel),베르나르두스 (프랑크)
Denis Lavant,드니 라방
Sébastien Faure (football),세바스티앙 포르 (축구 선수)
Frederik X,프레데리크 10세
Naji Hakim,나지 하킴
Jacques Fath,자크 파트
Raël,라엘
Victoire de France (1733-1799),프랑스의 빅투아르
Isaach de Bankolé,이자크 드 방콜레
Pierre Bayard,피에르 바야르
Boladé Apithy,볼라데 아피티
Cáterin Bravo Aránguiz,카테린 브라보
Camille Guérin,카미유 게랭
Philippe Descola,필리프 데스콜라
Léon Duguit,레옹 뒤귀
Henri Casadesus,앙리 카자드쥐
Nikolai Fraiture,니콜라이 프레이처
Louis Hostin,루이 오스탱
Christian de Chalonge,크리스티앙 드 샬롱쥐
Thérèse de France (1736-1744),프랑스의 테레즈
Jean Becker,장 베케르
Zakarya Bergdich,자카야 베르디크
Marina de Van,마리나 드 반
Jean-Paul Abalo,장폴 아발로
Henri Oreiller,앙리 오레이에
Michel Benoist,미셸 베누아
Diafra Sakho,디아프라 사코
Lugné-Poe,오렐리앵 뤼네포
Didier Bourdon,디디에 부르동
Jean-Baptiste Éblé,장바티스트 에블레
Yvon Douis,이봉 두이
Jean-François Larios,장프랑수아 라리오
Armand Peugeot,아르망 푀조
Olivier Megaton,올리비에 메가통
J. Defert,드페르
Antoine Daveluy,마리니콜라앙투안 다블뤼
Carole Franck,카롤 프랑크
Léger-Félicité Sonthonax,레제 펠리시테 송토나
Pauline Ducruet,폴린 듀크루엣
Philippine Leroy-Beaulieu,필리핀 르루아볼리외
Gilbert Simondon,질베르 시몽동
Henri de Laborde de Monpezat,덴마크 여왕 부군 헨리크
Lalaina Nomenjanahary,랄라이나 노메자나하리
Mehdi Abeid,메디 아베이드
Philippe Torreton,필립 토레톤
François Remetter,프랑수아 르메테르
Robert Siatka,로베르 시아카
François Châtelet (philosophe),프랑수아 샤틀레
Nguyễn Văn Thinh,응우옌반틴
Pierre-Max Dubois,피에르 막스 뒤부아
Raymond Gallois-Montbrun,레몽 갈루아몽브룅
Charles-Augustin Sainte-Beuve,샤를 오귀스탱 생트뵈브
Charles IV d'Alençon,샤를 4세 달랑송 공작
Jacques Gernet,자크 제르네
Yannick Stopyra,야니크 스토피라
Michel Leblond,미셸 르블롱
Pierre Robert Olivétan,피에르 로베르 올리베탕
Damia (chanteuse),마리 루이즈 다미앙
Enzo Lefort,엔조 르포르
Stéphane Fontaine,스테판 퐁텐
Jean IV d'Armagnac,장 4세 다르마냐크 백작
Erwann Le Péchoux,에르완 르 페슈
Jean Bastien-Thiry,장 바스티앙티리
Vincent Guérin,뱅상 게랭
Cécile Cassel,세실 카셀
Roger Désormière,로제 데조르미에르
Alexandre Bouzaid,알렉상드르 부자이드
Victor Sintès,빅토르 생테
Jules de Goncourt,쥘 드 공쿠르
Roger Marche,로제 마르슈
Robert Florey,로버트 플로리
Jean III d'Armagnac,장 3세 다르마냐크 백작
Charles II d'Amboise,샤를 2세 당부아즈 드 쇼몽
Charles II d'Albret,샤를 2세 달브레 드 드뢰 백작
Moïse Amyraut,모세 아미라우트
Jean Lefebvre,장 르페브르
Léon Glovacki,레옹 글로바츠키
Philippe Katerine,필리프 카터린느
Louis de France (1775-1844),루이앙투안 다르투아
Charles-Irénée Castel de Saint-Pierre,아베 드 생피에르
Charles Philipon,샤를 필리퐁
Laurent Cassegrain,로랑 카스그랭
Dominique Baratelli,도미니크 바라텔리
Dominique Bathenay,도미니크 바테네
Érick Zonca,에릭 종카
Raimu,라이무
Jacques Gamblin,자크 갬블랭
Dominique Dropsy,도미니크 드로프시
Alain Calmat,알랭 칼마
Stanislas Merhar,스타니슬라 메하르
Charles de Gontaut-Biron,샤를 드 공토비롱
Charles de Gaulle (né en 1948),샤를 드골 (1948년)
Madeon,마데옹
François Francœur,프랑수아 프랑쾨르
François Delsarte,프랑수아 델사르트
Baptiste Giabiconi,바티스트 지아비코니
Haby Niaré,아비 니아레
Thierry Lincou,티에리 랭쿠
Pierre de Rigaud de Vaudreuil,피에르 프랑수아 드 리고
Michel Blanc,미셸 블랑
Siméon-François Berneux,시메옹프랑수아 베르뇌
Félix Ravaisson,펠릭스 라베송
Albert Delpy,알버트 델피
Salif Sané,살리프 사네
Jean-Pierre Amat,장피에르 아마
Jean-Pierre Castaldi,장피에르 카스탈디
Jean Sylvain Bailly,장 실뱅 바이
Fernand Meyssonnier,페르난도 메이소니나
Fernand Gravey,페르난드 그라비
Odile Decq,오딜 데크
Jean-Louis Berthault,장 루이
Henri Ier Clément,앙리 1세 클레망
Henri Challan,앙리 샬랑
Henri Decaë,앙리 드카에
Jean Nicod,장 니코드
Laurent Truguet,로랑 트뤼게
Raymond Kaelbel,레몽 카엘벨
Georges Guétary,조르주 게타리
Jean Vuarnet,장 뷔아르네
Georges Mouton,로바우 백작 조르주 무통
Christian Vadim,크리스티앙 바딤
Hervé Biausser,에르베 비오세
Pierre Palmade,피에르 팔마데
Pierre Pigneau de Behaine,피에르 피뇨 드 베엔
Jonathan Kaplan (réalisateur),조너선 캐플런
Alexis Contin,알렉시 콩탱
Hippolyte Girardot,이폴리트 지라르도
Nicole Louvier,니콜 루비에르
Marius (Les Misérables),마리우스 퐁메르시
William Ayache,윌리앙 아야슈
Daniel Leclercq,다니엘 르클레르크
Francis Garnier,프랑수아 가르니에
Gaël Prévost,가엘 프레보스트
Giovanni Sio,지오바니 시오
Florence Foresti,플로렌스 포레스티
Philibert de Chalon,필리베르 드 샬롱
Pierre Bernac,피에르 베르낙
Théophile Aube,테오필 오브
Dominique Zardi,도미니크 자르디
Joël Scherk,조엘 셰르크
Charles Ier d'Armagnac,샤를 1세 다르마냐크 백작
Louis-Do de Lencquesaing,루이도 드랭크생
Jules Charles-Roux,쥘 샤를루
Sonia Rolland,소니아 롤랜드
Pathé,파테 (기업)
Jules Patenôtre,쥘 파트노트르
Louis de Bourbon (1974),루이스 알폰소 데 보르본
Victor Hugues,빅토르 위그
Léonore Perrus,레오노르 페뤼
Sofiane Hanni,소피안 한니
Marie Denarnaud,마리 드나르노
Robert Hirsch (acteur),로베르 이르슈
Louise de France,프랑스의 루이즈
Marie-Thérèse de France (1667-1672),프랑스의 마리 테레즈 (1667년)
Gérard Lanvin,제라르 랑뱅
Astrid Guyart,아스트리드 기야르
Corinne Maîtrejean,코린 메트르장
Jacqueline Beer,재클린 비어
Louis Vivin,루이 비뱅
Lolita Chammah,롤리타 샤마
Jacques Marin,자크 마랭
Jean-Pierre Mocky,장피에르 모키
Quasimodo (personnage),콰지모도
Woodkid,요안 르무안
Lamine Koné,라미네 코네
Invader (artiste),인베이더 아티스트
Karole Rocher,카롤 로셰
Antoine Chappey,앙투안 샤페
Laurence Côte,로랑스 코트
Marcel Dalio,마르셀 달리오
Ugo Legrand,위고 르그랑
Cécile Nowak,세실 노바크
Jacques Herlin,자크 에를랭
Thomas Mulcair,톰 멀케어
Cédric Varrault,세드리크 바로
Marc Mézard,마르크 메자르
Jacqueline François,자클린 프랑소와
Ratold d'Italie,라톨두스 로타링기아이
Santiago Amigorena,산티아고 아미고레나
Pierre Barbizet,피에르 바르비제
Ticky Holgado,티키 홀가도
Tony Yoka,토니 요카
Albert Thibaudet,알베르 티보데
Jean Castaneda,장 카스타네다
Maurice Girodias,모리스 기로디어스
Maurice Germot,모리스 제르모
Jean-François Paillard,장-프랑수아 파이야르
Philippe Junot,필리프 주노
Sébastien Izambard,세바스티앙 이장바르
Sebastian De Maio,세바스티앵 드 마이오
René Girard (football),르네 지라르 (축구인)
Henri Gance,앙리 강스
Albert Batteux,알베르 바토
Laure Marsac,로르 마르사크
Victor Napoléon,나폴레옹 빅토르 보나파르트
Layvin Kurzawa,레뱅 퀴르자와
Laurent Gamelon,로랑 가믈롱
Bienvenu Myriel,미리엘 주교
Frédéric Née,프레데리크 네
Pierre de Carcavi,피에르 드 카르카비
Thomas Conway,토마스 콘웨이
Élisa Tovati,엘리자 토바티
Apollonie Sabatier,아폴로니 사바티에
Henri Rivière (militaire),앙리 리비에르
Lionel Charbonnier,리오넬 샤르보니에
Robert Peugeot (1950-),로베르 푀조
Robin Renucci,로빈 레누시
Mélusine Mayance,멜뤼진 마양스
Thylane Blondeau,틸란 블롱도
Henri Dorie,피에르앙리 도리
Teffi,나데즈다 테피
Michel Hidalgo,미셸 이달고
Albert Divo,알베르 디보
Jean V d'Armagnac,장 5세 다르마냐크 백작
Emmanuel Imorou,에마뉘엘 이모루
Aldo Ciccolini,알도 치콜리니
Lucienne Delyle,뤼시엔 드릴
Andy Gillet,앤디 질렛
Maureen Nisima,모린 니시마
Malik Zidi,맬릭 지디
Nadjim Abdou,나짐 압두
Olivier Dall'Oglio,올리비에 달롤리오
Andy Delort,앙디 들로르
Kev Adams,케브 아담스
Lou de Laâge,루 드 라주
Antoine Lavalette,앙투안 라 발레
Benjamin Macé,뱅자맹 마세
Charles Ier de Guise,샤를 드 기즈 공작
Pascal Gentil,파스칼 장틸
Nicolas de Lyre,루라의 니콜라스
Alain Couriol,알랭 쿠리올
Lolita Lempicka,롤리타 렘피카
René Duverger,르네 뒤베르제
Albéric Clément,알베릭 클레망
Luis Mariano,루이스 마리아노
Chloé Mortaud,클로에 모르토
Claude Dambury,클로드 당뷔리
François de Curel,프랑수아 드 퀴렐
David Pujadas,다비드 푸하다스
Yaya Sanogo,야야 사노고
Niels Arestrup,닐스 아레스트뤼프
Larbi Benboudaoud,라르비 벤부다우드
Pierre Gringore,피에르 그랭구아르
Philippe Mahut,필리프 마위
Philippe Harel,필리페 하렐
Anthony Martial,앙토니 마르시알
Bruno Ecuele Manga,브뤼노 에퀴엘르 망가
Audrey Tcheuméo,오드리 최메오
Pierre-Hugues Herbert,피에르위그 에르베르
Émile Bertin (ingénieur),루이 에밀 베르탕
Pierre Boulanger (acteur),피에르 불랑제
Olivia Merilahti,올리비아 메릴라흐티
Henri de Saint-Rémi,앙리 드 생레미 백작
Moreno Pincas,모레노 핑카스
Roger Chartier,로제 샤르티에
Antoine Vitez,앙투안 비테즈
Madame Claude,마담 클로드
Henri Bedimo,앙리 베디모
Franck Dubosc,프랑크 뒤보스크
Jérôme Jeannet,제롬 자네
Marie d'Orléans (1865-1909),마리 도를레앙
Nicolas Lopez (escrime),니콜라 로페즈
Daniel Xuereb,다니엘 크쉬에레브
Frédéric Bulot,프레데리크 불로
Albert de Mun,알베르 드묑
Hugues Obry,위그 오브리
Esprit Antoine Blanchard,에스프리 조제프 앙투안 블랑샤르
Jacques Bergerac,자크 베르주라크
Pierre-Charles-Alexandre Louis,피에르 샤를 알렉상드르 루이
Faouzi Ghoulam,파우지 굴람
Stéphane Brizé,스테판 브리제
Robert Lamoureux,로베르 라모로
Leïla Bekhti,레일라 베크티
Olivier Echouafni,올리비에 에슈아프니
Loïc Perrin,로이크 페랭
Franck Dumoulin,프랑크 뒤물랭
Jean-Christophe Bouvet,장크리스토프 부베
Joseph-Anne-Marie de Moyria de Maillat,조제프안마리 드 모이리아크 드 마이야
Étienne Carjat,에티엔 카르자
Vladimir Lossky,블라디미르 로스키
Élisabeth de Riquet de Caraman-Chimay,그레퓔 부인
Jean-Michel Portal,장미셸 포르탈
Gabriel Marie,가브리엘 마리
David Zurutuza,다비드 수루투사
Laury Thilleman,로리 틸망
Evan Fournier,에반 푸르니에
Benjamin Moukandjo,뱅자맹 무칸조
Adel Bencherif,아델 벤쉐리프
Adeline d'Hermy,아들린 데르미
Gabriel Gabrio,가브리엘 가브리오
Malika Ménard,말리카 메나르
Batroc,바트록
André de Lohéac,앙드레 드 로에아크
Yohan Benalouane,요안 베날루안
Jacques Charles Dupont de l'Eure,자크 샤를 뒤퐁 드 뢰르
Benjamin Darbelet,뱅자맹 다르블레
Cosette,코제트
Magaye Gueye,마가예 게예
Lydie Solomon,라이디 솔로몬
Boris Steimetz,보리스 스테메츠
Lili Damita,릴리 다미타
Raouf Bouzaiene,라우프 부자이엔
François Bracci,프랑수아 브라시
Gilbert Durand,질베르 뒤랑
Jean-Benoît Dunckel,장브누아 뒹켈
Antonin-Gilbert Sertillanges,앙토냉 세르티양주
Victor Muffat-Jeandet,빅토르 뮈파장데
"Mamadou Samassa (football, 1986)",마마두 사마사
Allan Nyom,알랑 니옹
Affif Ben Badra,에피프 벤 바드라
Liassine Cadamuro,리아신 카다무로벤타이바
Adèle Exarchopoulos,아델 에그자르코풀로스
Muriel Robin,뮈리엘 로뱅
François-Guillaume Ménageot,프랑수아기욤 메나조
Alexandre Lacroix,알렉상드르 라크루아
Alba Gaïa Bellugi,알바 가이아 벨루지
Amel Majri,아멜 마즈리
Françoise-Madeleine d'Orléans,프랑수아즈 마들렌 도를레앙
Jean-Louis Gasset,장루이 가세트
Louis Cartier,루이 카르티에
Adrien Silva,아드리엥 실바
Renaud Camus,르노 카뮈
Serge Avédikian,세르주 아베디키안
Josée Nahi,에스텔 마리 조제 나이
Martial Gueroult,마르샬 게루
Azzedine Alaïa,아제딘 알라이아
Alexy Bosetti,알렉시 보세티
Tonie Marshall,토니 마셜
Clément Duval,클레망 뒤발
Jean-Henri Roger,장앙리 로제
Jean Gottmann,장 고트망
Alfred Le Poittevin,알프레드 르 푸아트뱅
Alice David,알리스 다비드
Alexandre-Eugène Bouët,알렉상드르 외젠 부에
Étienne Souriau,에티엔 수리오
Alice Tissot,앨리스 티솟
Octave Hamelin,옥타브 아멜랭
Alexandre Dang,알렉상드르 당
Alain Guiraudie,알랭 기로디
Jules Sitruk,쥘 시트뤼크
Alice Butaud,알리스 뷔토
Alphonse Areola,알퐁스 아레올라
Éponine (Les Misérables),에포닌
Yochk'o Seffer,요시코 세퍼
Marie Dubas,마리 뒤바
Javert,자베르
Auguste Chapdelaine,오귀스트 샤프들랭
Yasmine Belmadi,야스민 벨마디
Ana Girardot,아나 지라르도
Anais Mali,아나이스 말리
Manuel Anatol,마누엘 아나톨
Anaïs Delva,아나이스 델바
Damien Touya,다미앵 투야
André Utter,앙드레 어터
Aliou Cissé,알리우 시세
Sarah Adler,사라 애들러
Thomas Heurtaux,토마 외르토
Anh Duong,안 두옹
Alysson Paradis,알리송 파라디
Enjolras (Les Misérables),앙졸라
Patrick Tatopoulos,패트릭 타투포우로스
Anne-Sophie Lapix,안소피 라픽스
Anne Jacquemin,안 자크맹
Anne Le Ny,안 르니
André Dassary,앙드레 다사리
Anne Hidalgo,안 이달고
Anne Charrier,안 샤리에
Alexis Loret,알렉시 로레
Olivia Bonamy,올리비아 보나미
Philippe Vercruysse,필리프 베르크뤼스
Anne de Gaulle,안 드골
Constance Jablonski,콩스탕스 자블롱스키
Anouchka Delon,아누슈카 들롱
Bastien Bouillon,바스티앙 부이용
Laurent Foirest,로랑 푸아레스트
Mustapha El Haddaoui,무스타파 엘 하다오위
Charles Gabriel Pravaz,샤를 프라바즈
Philippe Poutou,필리프 푸투
