Leandro Damião,レアンドロ・ダミアン・ダ・シウバ・ドス・サントス
Giuliano Tadeu Aranda,ジュリアノ・タデュー・アランダ
Ricardo Cavalcante Ribeiro,リカルド・カヴァルカンテ・リベイロ
Ronald Biggs,ロナルド・ビッグズ
Hermeto Pascoal,エルメート・パスコアール
Oswald de Andrade,オスヴァルド・デ・アンドラーデ
Victor Leandro Bagy,ヴィクトル・レアンドロ・バジ
Osvaldo Aranha,オズヴァルド・アラニャ
Alison Barros Moraes,アリソン・バロス・モラエス
Edinho Baiano,エジソン・マノエル・ド・ナシメント
Edmílson Matias,エジミウソン・マティアス
Gylmar dos Santos Neves,ジウマール・ドス・サントス・ネヴェス
Reinaldo Vicente Simão,レイナルド・ビセンチ・シモン
Anderson Batatais,アンデルソン・ルイス・ダ・シルバ
Wágner Pires de Almeida,ワグネル・ピレス・デ・アウメイダ
Samir Lima de Araújo,サミル・リマ・デ・アラウージョ
Ítalo-brasileiro,イタリア系ブラジル人
Thiago Quirino da Silva,チアゴ・キリノ・ダ・シルバ
Ana Maria Machado,アナ・マリア・マシャド
Paulo Vinícius Souza dos Santos,パウロ・ヴィニシウス・ソウザ・ドス・サントス
Roberto Mangabeira Unger,ロベルト・マンガベイラ・アンガー
Dani Lins,ダニエル・リンス
Marcelinho Paraíba,マルセロ・ドス・サントス
Felipe Kitadai,フェリペ・キタダイ
Carlos Gomes,アントーニョ・カルロス・ゴメス
João Paulo de Oliveira,ジョアオ・パオロ・デ・オリベイラ
Bola Sete,ボラ・セチ
Pedro Tonon Geromel,ペドロ・トノン・ジェロメウ
Hugo Hoyama,小山ウーゴ
Ruth Cardoso,ルース・カルドーゾ
Fabiana Claudino,ファビアナ・クラウジノ
Paula Pequeno,パウラ・ペケーノ
Maya Gabeira,マヤ・ガベイラ
Camille Cabral,カミーユ・カブラル
Eumir Deodato,デオダート
Wanda dos Santos,ヴァンダ・ドス・サントス
Dino Sani,ジノ・サニ
Vágner Rogério Nunes,ヴァグネル・ロジェリオ・ヌネス
Guy Ecker,ガイ・エッカー
Januária Maria de Bragança,ジャヌアリア・マリア・デ・ブラガンサ
Fabiana de Oliveira,ファビアナ・オリベイラ
Marina Colasanti,マリーナ・コラサンティ
Bezerra da Silva,ベゼハ・ダ・シルヴァ
Fernanda Garay,フェルナンダ・ロドリゲス
Carlos Luz,カルロス・ルス
Chico Xavier,チコ・ザヴィエル
Roniéliton Pereira Santos,ロニエルトン・ペレイラ・サントス
César Luis Prates,セザール・プラテス
Fábio Camilo de Brito,ファビオ・カミーリョ・デ・ブリト
Cristiane Santos,クリスチャン・サイボーグ
Zé Carioca,ホセ・キャリオカ
Luciano Corrêa,ルシアーノ・コヘア
Aquiles Priester,アキレス・プリースター
Rita Lee,リタ・リー
Arthur Napoleão,アルトゥール・ナポレアン・ドス・サントス
Bidu Sayão,ビドゥ・サヤン
Anthony Steffen,アンソニー・ステファン
Fabrício Werdum,ファブリシオ・ヴェウドゥム
Éder Aleixo de Assis,エデル・アレイショ・デ・アシス
Éder Jofre,エデル・ジョフレ
Marcelo Rosa da Silva,マルセロ・ローザ・ダ・シルヴァ
Sebastião Tapajós,セバスチャン・タパジョス
Luís Carlos Tóffoli,ルイス・カルロス・トッフォリ
Deborah Colker,デボラ・コルカー
Bosco (futebolista),ジョアン・ボスコ・ジ・フレイタス・シャヴェス
Antônio Bezerra Brandão,アントニオ・ベサーラ・ブランダーオ
Marcelo BARON Polanczyk,マルセロ・バロン・ポランクジック
Kléber Giacomance de Souza Freitas,クレーベル・ジ・ソウザ・フレイタス
Clemerson de Araújo Soares,クレメルソン・デ・アラウージョ・ソアレス
Argélico Fuchs,アルジェリコ・フックス
Juary,ジュアリー・ジョルジ・ドス・サントス・フィーリョ
Iara Lee,イアラ・リー
Júnior César,ジュニオール・セーザル
Carlos Eduardo de Souza Floresta,カルロス・エドゥアルド・ジ・ソウザ・フロレスタ
Reinaldo Gonçalves Félix,レイナルド・ゴンサルヴェス・フェリックス
Douglas Maradona Campos Dangui,ドーグラス・マラドーナ・カンポス・ダンギ
Larissa França,ラリッサ・フランカ
Jefferson Vieira da Cruz,ジェフェルソン・ヴィエイラ・ダ・クルス
André Pinto,アンドレ・ピント・カンダカン
Alberto Valentim,アウベルト・ヴァレンチム・ド・カルモ・ネト
Zenon,ゼノン・デ・ソウザ・ファリアス
William Xavier Barbosa,ウィリアン・シャヴィエール・バルボーザ
Irio De Paula,イリオ・デ・パウラ
Augusto Pedro de Souza,アウグスト・ペドロ・デ・ソウザ
Ranielli,ラニエリ・ホセ・セチナト
Josue Souza Santos,ジョズエ・ソウザ・サントス
Xuxa,シューシャ
Kiko Loureiro,キコ・ルーレイロ
Lucas Michel Mendes,ルーカス・ミシェル・メンデス
Claudinei Quirino,クラウディネイ・ダ・シルバ
Cláudio Roditi,クラウディオ・ロディッティ
Axel Bergstedt,アクセル・ベルクシュテット
Licínio Rangel,リシニオ・ランゲル
José Rodrigues Neto,ロドリゲス・ネト
Geraldo Dutra Pereira,ジェラウド・ドゥトラ・ペレイラ
Edvaldo Alves de Santa Rosa,エジヴァウド・アウヴェス・デ・サンタ・ローザ
Jonas Eduardo Américo,ジョナス・エドゥアルド・アメリコ
Marco Antônio Feliciano,マルコ・アントニオ・フェリシアーノ
Felipe de Oliveira Conceição,フェリペ・コンセイサン
Tandara Caixeta,タンダラ・カイシェタ
Adenízia da Silva,アデニジア・シルバ
Édson Luciano,エジソン・リベイロ
Guilherme dos Santos Torres,ギリェルメ
Jaime Melo,ハイメ・メロ
Wilson Rodrigues Fonseca,ウイルソン・ロドリゲス・フォンセカ
Dino da Costa,ディノ・ダ・コスタ
Kelvin Mateus de Oliveira,ケルヴィン・マテウス・デ・オリヴェイラ
Michelle Alves,ミシェル・アルヴス
Cláudio Hummes,クラウディオ・ウメス
Mancha Solar,サンスポット (マーベル・コミック)
Marcelinho Paulista,マルセリーニョ・パウリスタ
João Pinheiro Chagas,ジョアン・ピニェイロ・シャーガス
Cléber Américo da Conceição,クレーベル・アメリコ・ダ・コンセイソン
Paulo César Batista dos Santos,パウロ・セーザル・バチスタ・ドス・サントス
Edgar Bruno Silva,エジガル・ブルーノ・ダ・シウヴァ
Jayme Monjardim,ジャイミ・モンジャルディン
Maria Olívia da Silva,マリア・オリヴィア・ダ・シウヴァ
Rodrigo Defendi,ロドリゴ・デフェンジ
Honório Hermeto Carneiro Leão,オノリオ・エルメト・カルネイロ・レオン
Rodrigo de Souza Cardoso,ホドリゴ・ジ・ソウザ・カルドーゾ
Thiago Carleto,チアゴ・カルレト
Nicholas Santos,ニコラス・サントス
Luís Pereira,ルイス・ペレイラ
Luís Carlos Winck,ルイス・カルロス・コエーリョ・ヴィンク
Roberto Firmino Barbosa de Oliveira,ロベルト・フィルミーノ
Ana Tiemi,アナ・チエミ・タカギ
Júlio César da Silva,ジュリオ・セザル・ダ・シルヴァ
Antônio Meneses,アントニオ・メネセス
Márcio José Oliveira,マルシオ・ジョゼ・オリヴェイラ
Natália Pereira,ナタリア・ペレイラ
Fernanda Ferreira,フェルナンダ・フェレイラ
José Ferreira Neto,ジョゼ・フェレイラ・ネト
João Carlos Pinto Chaves,ジョアン・カルロス・ピント・チャヴェス
Narciso dos Santos,ナルシーゾ・ドス・サントス
Fabão,ジョゼ・ファビオ・アルヴェス・アゼヴェード
Blanka,ブランカ
Michel Macedo Rocha Machado,ミシェル・マセド・ローシャ・マシャド
Fininho,ヴィニシウス・アパレシド・ペレイラ・デ・サンタナ・カンポス
Manoel Tobias,マノエル・トビアス
Eddy Gordo,エディ・ゴルド
Jair Rodrigues,ジャイール・ロドリゲス
Carlos Andrade Souza,カルリーニョス
Hélio Oiticica,エリオ・オイチシカ
Thiago Silva,チアゴ・シウバ
Cleyton Coelho dos Santos,クレイトン・コエロ・ドス・サントス
Marjorie Estiano,マルジョリエ・エスチアーノ
Fábio Santos Romeu,ファビオ・サントス・ロメウ
Darci Vargas,ダルシ・バルガス
William Júnior Sales de Lima Souza,ウィリアム
Émerson Luiz Firmino,エメルソン・ルイス・フィルミーノ
Emerson Leão,エメルソン・レオン
Emicida,エミシダ
António Raposo Tavares,アントニオ・ラポソ・タヴァレス
Yuri de Souza,ユーリ・ジ・ソウザ・フォンセーカ
Diego Renan,ジエゴ・ヘナン・ジ・リマ・フェレイラ
Dorvalino Alves Maciel,ドルヴァリノ・アウヴェス・マシエル
Tancredo Neves,タンクレード・ネーヴェス
Maria Gomes Valentim,マリア・ゴメス・ヴァレンチン
Rodrigo Antonio Lombardo Tosi,ロドリゴ・アントニオ・ロンバルド・トシ
Juliana Silva,ジュリアナ・フェリスベルタ
Maria Rita,マリア・ヒタ
Abel Braga,アベウ・カルロス・ダ・シウバ・ブラガ
"Maria da Glória, Duquesa de Segorbe",マリア・ダ・グロリア・デ・オルレアンス・イ・ブラガンサ
Isolda Cresta,イソルダ・クレスタ
Caio Ribeiro Decoussau,カイオ・リベイロ・デコウサウ
Cláudio Coutinho,クラウジオ・コウチーニョ
Claudio Santoro,クラウジオ・サントロ
Flávio Almeida da Fonseca,フラヴィオ・ミヌアノ
Gérson de Oliveira Nunes,ジェルソン・デ・オリヴェイラ・ヌーネス
Giovanna Antonelli,ジョバンナ・アントネッリ
Luís Henrique Pereira dos Santos,ルイス・エンリケ・ペレイラ・ドス・サントス
José Carlos de Almeida,ジョゼ・カルロス・ジ・アウメイダ
José Ivanaldo de Souza,ジョゼ・イヴァナウド・デ・ソウザ
Paulo André,パウロ・アンドレ・クレン・ベニーニ
Bia Figueiredo,アナ・ベアトリス
Ernesto Geisel,エルネスト・ガイゼル
Antonio Pinto,アントニオ・ピント
Waldemar Santana,ヴァルデマー・サンタナ
José Maria Rodrigues Alves,ジョゼ・マリア・ロドリゲス・アウヴェス
Rachel de Queiroz,レイチェル・ジ・ケイロス
César Lattes,セザーレ・ラッテス
Ricardo Lucas,リカルド・ルーカス
Keila Costa,ケイラ・コスタ
Monteiro Lobato,モンテイロ・ロバート
Muricy Ramalho,ムリシ・ラマーリョ
Antônio Parreiras,アントニオ・パレイラス
Antônio Augusto Cançado Trindade,アントニオ・アウグスト・カンサード・トリンダージ
Pixinguinha,ピシンギーニャ
Jorge Wagner,ジョルジ・ワグネル
Bruno Soares,ブルーノ・ソアレス
Chico Whitaker,チコ・ウィテカー
Valdir Espinosa,バウディール・エスピノーザ
César Cielo,セーザル・シエロ
Vágner Love,ヴァグネル・ラヴ
Eric de Oliveira Pereira,エリック・デ・オリベイラ・ペレイラ
Érico Veríssimo,エリコ・ヴェリッシモ
Érika Cristiano dos Santos,エリカ・クリスチアノ・ドス・サントス
Giselle Itié,ジゼル・イティエ
Ademir Roque Kaefer,アデミール・ロッキ・カエフェル
Gustavo Barroso,グスタヴォ・バローゾ
Kita,キータ
Antônio de Castro Mayer,アントニオ・デ・カストロ・マイヤー
Antônio de Sousa Neto,アントニオ・デ・サウザ・ネト
Milton Vieira,ミルトン・ヴィエイラ
Marquinhos Santos,マルキーニョス
Muriqui,ルイス・ギリェルメ・ダ・コンセイソン・シウヴァ
Glória Menezes,グロリア・メネゼス
Humberto Castelo Branco,ウンベルト・デ・アレンカール・カステロ・ブランコ
Rodrigo Santoro,ロドリゴ・サントロ
Wellington Monteiro,ウェリントン・ジ・オリヴェイラ・モンテイロ
Gabriela Duarte,ガブリエラ・ドゥアルテ
Matheus Henrique do Carmo Lopes,マテウス・ヘンリケ・ド・カルモ・ロペス
Emmanuele Del Vecchio,エマヌエレ・デル・ヴェッキオ
Autran Dourado,オートラン・ドーラード
Cristiano dos Santos Rodrigues,クリスティアーノ・ドス・サントス・ロドリゲス
Clemer,クレーメル・メロ・ダ・シウヴァ
Sandro Hiroshi,サンドロ・ヒロシ・パヘオン・オオイ
Renata Colombo,レナタ・コロンボ
Caio Canedo Corrêa,カイオ・カネド・コレア
Germano Rigotto,ジェルマーノ・ヒゴット
Régis Pitbull,ヘジス・フェルナンデス・シルバ
Mariana Ximenes,マリアナ・シメネス
Oswaldo de Oliveira,オズワルド・オリヴェイラ
Dill,エルピジオ・バルボーザ・コンセイソン
Gilberto Ribeiro Gonçalves,ジウベルト・リベイロ・ゴンサウベス
Aldair Santos do Nascimento,アウダイール
Roger Guerreiro,ロジェール・ゲレイロ
Alfredo d'Escragnolle Taunay,アルフレド・デスクラニョーレ・トネー
Alfredo Volpi,アルフレード・ヴォルピ
Ana Carolina,アナ・カロリナ (歌手)
Armando Sales de Oliveira,アルマンド・デ・サレス・オリベイラ
Bento Gonçalves,ベント・ゴンサルベス・ダ・シルバ
Betty Faria,ベティ・ファリア
Bibi Ferreira,ビビ・フェレイラ
Tcheco,アンデルソン・シマス・ルシアーノ
Antônio Flávio Aires dos Santos,アントニオ・フラヴィオ
Rodrigo Taddei,ホドリゴ・フェハンチ・タッデイ
Rafael Suzuki,ラファエル・スズキ
Ana Maria Braga,アナ・マリア・ブラガ
Ângelo Moniz da Silva Ferraz,アンジェロ・モニス・ダ・シウヴァ・フェラス
Sérgio Echigo,セルジオ越後
Adriano Gabiru,カルロス・アドリアーノ・デ・ソウザ・ヴィエイラ
Eliseu Visconti,エリゼウ・ヴィスコンティ
Felipe Dias da Silva dal Belo,フェリペ・ディアス・ダ・シウヴァ・ダル・ベロ
Filipe Camarão,フィリペ・カマラン
Cláudio Taffarel,クラウディオ・タファレル
Edmílson,エジミウソン・ジョゼ・ゴメス・ジ・モラエス
Vinícius de Oliveira,ヴィニシウス・ジ・オリヴェイラ
Edson Cholbi Nascimento,エドソン・ショルビ・ナシメント
Menotti Del Picchia,メノッティ・デル・ピッキア
Charles Fabian,シャルレス・ファビアン・フィゲイレド・サントス
Eurico Gaspar Dutra,エウリコ・ガスパル・ドゥトラ
Mancini,アレッサンドロ・マンシーニ
Cássio Motta,カシオ・モッタ
Coutinho,アントニオ・ウィルソン・オノリオ
Bruno Mossa de Rezende,ブルーノ・レゼンデ
Mario Moraes,マリオ・モラエス
Dênis Marques,デニス・マルケス・ド・ナシメント
João Gabriel Schlittler,ジョアン・シリトレー
Sasckya Porto,サスキア・ポルト
Glaube Feitosa,グラウベ・フェイトーザ
Cyro Baptista,シロ・バプティスタ
César Charlone,セーザル・シャルローン
