Județul Alba,阿爾巴縣
"Comuna Șepreuș, Arad",謝普雷烏什鄉
"Comuna Siculeni, Harghita",錫庫萊尼鄉
"Comuna Malu cu Flori, Dâmbovița",馬盧庫弗洛里鄉
"Comuna Crevedia, Dâmbovița",克雷韋迪亞鄉
"Comuna Stănești, Giurgiu",斯特內什蒂鄉·(久爾久縣)
"Comuna Berveni, Satu Mare",貝爾韋尼鄉
"Comuna Josenii Bârgăului, Bistrița-Năsăud",伯爾格烏山麓若塞尼鄉
"Comuna Prundu Bârgăului, Bistrița-Năsăud",伯爾格烏山麓普倫杜鄉
"Comuna Valea Nucarilor, Tulcea",努卡里洛爾鄉
"Comuna Măgura Ilvei, Bistrița-Năsăud",默古拉伊爾韋伊鄉
"Valea Dragului, Giurgiu",德拉古盧伊鄉
"Comuna Mircea Vodă, Constanța",米爾恰大公鄉·(康斯坦察縣)
"Comuna Vulturu, Constanța",武爾圖魯鄉·(康斯坦察縣)
"Comuna Casimcea, Tulcea",卡西姆恰鄉
"Comuna Corod, Galați",科羅德鄉
"Comuna Chilia Veche, Tulcea",舊基利亞鄉
"Comuna Greci, Tulcea",格雷奇鄉·(圖爾恰縣)
"Comuna Pecineaga, Constanța",佩西內亞加鄉
"Comuna Tupilați, Neamț",圖皮拉齊鄉
"Comuna Mogoșești-Siret, Iași",莫戈謝什蒂-錫雷特鄉
"Comuna Ciceu-Giurgești, Bistrița-Năsăud",奇切烏-久爾傑什蒂鄉
"Comuna Mahmudia, Tulcea",馬赫穆迪亞鄉
"Comuna Fântânele, Constanța",芳特內萊鄉·(康斯坦察縣)
"Comuna Șieu-Măgheruș, Bistrița-Năsăud",謝烏-默蓋魯什鄉
"Comuna Loamneș, Sibiu",洛阿姆內什鄉
"Comuna Crăcăoani, Neamț",克勒克瓦尼鄉
"Comuna Grințieș, Neamț",格林切什鄉
"Comuna Moțca, Iași",莫茨卡鄉
"Comuna Dumbrava Roșie, Neamț",敦布拉瓦羅謝鄉
"Comuna Tomești, Harghita",托梅什蒂鄉·(哈爾吉塔縣)
"Comuna Bogdan Vodă, Maramureș",波格丹大公鄉
"Comuna Ieud, Maramureș",耶烏德鄉
"Comuna Poplaca, Sibiu",波普拉卡鄉
"Comuna Fărcașa, Maramureș",弗爾卡沙鄉
"Comuna Nușfalău, Sălaj",努什法勒烏鄉
"Comuna Vima Mică, Maramureș",小維馬鄉
"Comuna Sândominic, Harghita",聖多米尼克鄉
"Comuna Coroieni, Maramureș",科羅耶尼鄉
"Comuna Mihail Kogălniceanu, Tulcea",米哈伊爾科格爾尼恰努鄉·(圖爾恰縣)
"Comuna Tăureni, Mureș",特烏雷尼鄉
"Comuna Miroslava, Iași",米羅斯拉瓦鄉·(雅西縣)
"Comuna Cumpăna, Constanța",昆珀納鄉
"Comuna Văleni, Neamț",沃萊尼·(尼亞姆茨縣)
"Comuna Beica de Jos, Mureș",下貝伊卡鄉
"Comuna Moșna, Sibiu",莫什納鄉·(錫比烏縣)
"Comuna Lovrin, Timiș",洛夫林鄉
"Comuna Păulești, Satu Mare",珀烏萊什蒂鄉·(薩圖馬雷縣)
"Comuna Pesac, Timiș",佩薩克鄉
"Comuna Valea Chioarului, Maramureș",基瓦魯盧伊鄉
"Comuna Săcășeni, Satu Mare",瑟克謝尼鄉
"Comuna Brâncovenești, Mureș",布倫科韋內什蒂鄉·(穆列什縣)
"Comuna Neaua, Mureș",尼亞瓦鄉
"Comuna Valea Largă, Mureș",拉爾格鄉
"Comuna Albești, Mureș",阿爾貝什蒂鄉·(穆列什縣)
"Comuna Sâncrăieni, Harghita",聖克勒耶尼鄉
"Comuna Cristian, Sibiu",克里斯蒂安鄉·(錫比烏縣)
"Comuna Fântânele, Arad",芳特內萊鄉·(阿拉德縣)
"Comuna Satu Mare, Harghita",薩圖馬雷鄉·(哈爾吉塔縣)
Gara Iași,雅西車站
"Comuna Felnac, Arad",費爾納克鄉
"Comuna Ghioroc, Arad",吉奧羅克鄉
"Comuna Craidorolț, Satu Mare",克賴多羅爾茨鄉
"Comuna Berzasca, Caraș-Severin",貝爾扎斯卡鄉
"Comuna Ciumești, Satu Mare",丘梅什蒂鄉
"Comuna Cotmeana, Argeș",科特梅亞納鄉
"Comuna Atid, Harghita",阿蒂德鄉
"Comuna Lenauheim, Timiș",萊瑙海姆鄉
"Comuna Băiuț, Maramureș",伯尤茨鄉
"Comuna Hodoșa, Mureș",霍多沙鄉
"Comuna Bahnea, Mureș",巴赫尼亞鄉
"Comuna Blăjel, Sibiu",布勒熱爾鄉
"Comuna Zau de Câmpie, Mureș",扎烏德肯皮耶鄉
"Comuna Băița de sub Codru, Maramureș",伯伊察德蘇布科德魯鄉
"Comuna Sânmartin, Harghita",聖馬丁鄉·(哈爾吉塔縣)
"Comuna Suseni, Mureș",蘇塞尼鄉·(穆列什縣)
"Comuna Vărgata, Mureș",沃爾加塔鄉
"Comuna Solovăstru, Mureș",索洛沃斯特魯鄉·(穆列什縣)
"Comuna Chiheru de Jos, Mureș",下基海魯鄉
"Comuna Cernești, Maramureș",切爾內什蒂鄉
"Comuna Orașu Nou, Satu Mare",新奧拉舒鄉
"Comuna Remetea Chioarului, Maramureș",雷梅泰亞基瓦魯盧伊鄉
"Comuna Budești, Maramureș",布代什蒂鄉·(馬拉穆列什縣)
"Comuna Horlești, Iași",霍爾萊什蒂鄉
"Comuna Piatra Șoimului, Neamț",皮亞特拉紹伊穆盧伊鄉
"Comuna Ludoș, Sibiu",盧多什鄉
"Comuna Holboca, Iași",霍爾博卡鄉
"Comuna Dămuc, Neamț",德穆克鄉
"Comuna Șilindia, Arad",希林迪亞鄉
"Comuna Turț, Satu Mare",圖爾茨
"Comuna Recea, Maramureș",雷恰鄉·(馬拉穆列什縣)
"Comuna Medieșu Aurit, Satu Mare",梅迪耶舒奧里特鄉
"Comuna Ciupercenii Noi, Dolj",丘佩爾切尼諾伊鄉
"Comuna Mihai Bravu, Tulcea",米哈伊布拉武鄉·(圖爾恰縣)
"Comuna Răducăneni, Iași",勒杜克內尼鄉
"Comuna Baia, Tulcea",巴亞鄉·(圖爾恰縣)
"Comuna Chisindia, Arad",基辛迪亞鄉
"Comuna Bichiș, Mureș",比基什鄉
"Comuna Suseni, Harghita",蘇塞尼鄉·(哈爾吉塔縣)
"Comuna Adămuș, Mureș",阿德穆什鄉
"Comuna Leliceni, Harghita",萊利切尼鄉
"Comuna Feliceni, Harghita",費利切尼鄉
"Comuna Săcel, Harghita",瑟切爾鄉·(哈爾吉塔縣)
"Comuna Mărtiniș, Harghita",默爾蒂尼什鄉
"Comuna Roșia, Sibiu",羅希亞鄉·(錫比烏縣)
"Comuna Ditrău, Harghita",迪特勒烏鄉
"Comuna Ogra, Mureș",奧格拉鄉
"Comuna Papiu Ilarian, Mureș",帕皮尤伊拉里揚鄉
"Comuna Sânpetru de Câmpie, Mureș",聖彼得魯德肯皮耶鄉
"Comuna Șincai, Mureș",欣卡伊鄉
"Comuna Măgherani, Mureș",默蓋拉尼鄉
"Comuna Stânceni, Mureș",斯滕切尼鄉
"Comuna Păuleni-Ciuc, Harghita",珀烏萊尼-丘克鄉
"Comuna Ceuașu de Câmpie, Mureș",切瓦舒德肯皮耶鄉
"Comuna Petelea, Mureș",佩泰萊亞鄉
"Comuna Vânători, Mureș",沃訥托里鄉·(穆列什縣)
"Comuna Cozma, Mureș",科茲馬鄉·(穆列什縣)
"Comuna Cuci, Mureș",庫奇鄉·(穆列什縣)
"Comuna Tușnad, Harghita",圖什納德鄉
"Comuna Gheorghe Doja, Mureș",格奧爾基多亞鄉·(穆列什縣)
"Comuna Lupeni, Harghita",盧佩尼鄉·(哈爾吉塔縣)
"Comuna Vețca, Mureș",韋茨卡鄉
"Comuna Ocland, Harghita",奧克蘭德鄉
"Comuna Ulieș, Harghita",烏列什鄉
"Comuna Ațintiș, Mureș",阿欽蒂什鄉
"Comuna Șăulia, Mureș",舍烏利亞鄉
"Comuna Belcești, Iași",貝爾切什蒂鄉
"Comuna Turcoaia, Tulcea",圖爾夸亞鄉
"Comuna Probota, Iași",普羅博塔鄉
"Comuna Șelaru, Dâmbovița",謝拉魯鄉·(登博維察縣)
"Comuna Poienari, Neamț",波耶納里鄉
"Comuna Răchiteni, Iași",勒基泰尼鄉
"Comuna Vladimir, Gorj",弗拉迪米爾鄉·(戈爾日縣)
"Comuna Cernica, Ilfov",切爾尼卡鄉
"Comuna Poienarii Burchii, Prahova",波耶納里布爾基鄉
"Comuna Târgșoru Vechi, Prahova",舊特爾格紹魯鄉
"Comuna Grebenișu de Câmpie, Mureș",格雷貝尼舒德肯皮耶鄉
"Comuna Chețani, Mureș",凱察尼鄉
"Comuna Miheșu de Câmpie, Mureș",米海舒德肯皮耶鄉
"Comuna Joseni, Harghita",若塞尼鄉
"Comuna Iclănzel, Mureș",伊克倫澤爾鄉
"Comuna Livezeni, Mureș",利韋澤尼鄉
"Comuna Lunca Bradului, Mureș",倫卡布拉杜盧伊鄉
"Comuna Cucerdea, Mureș",庫切爾代亞鄉
"Comuna Vărșag, Harghita",沃爾沙格鄉
"Comuna Crăciunești, Mureș",克勒丘內什蒂鄉
"Comuna Pănet, Mureș",珀內特鄉
"Comuna Aluniș, Mureș",阿盧尼什鄉·(穆列什縣)
"Comuna Suplac, Mureș",蘇普拉克鄉
"Comuna Hodac, Mureș",霍達克鄉
"Comuna Voivodeni, Mureș",沃伊沃代尼鄉
"Comuna Bălăușeri, Mureș",伯勒烏謝里鄉
"Comuna Bogata, Mureș",博加塔鄉·(穆列什縣)
"Comuna Fărăgău, Mureș",弗勒格烏鄉
"Comuna Biertan, Sibiu",別爾坦鄉
"Comuna Lungani, Iași",倫加尼鄉
"Comuna Oțeleni, Iași",奧采萊尼鄉
"Comuna Aroneanu, Iași",阿羅尼亞努鄉
"Comuna Viișoara, Mureș",維什瓦拉鄉·(穆列什縣)
"Comuna Merești, Harghita",梅雷什蒂鄉
"Comuna Zetea, Harghita",澤泰亞鄉
"Comuna Sânpaul, Mureș",聖保羅鄉·(穆列什縣)
"Comuna Racu, Harghita",拉庫鄉
"Comuna Lunca de Jos, Harghita",下倫卡鄉
"Comuna Subcetate, Harghita",蘇布切塔泰鄉
"Comuna Brateiu, Sibiu",布拉泰尤鄉
"Comuna Fântânele, Mureș",芳特內萊鄉·(穆列什縣)
"Comuna Gănești, Mureș",格內什蒂鄉
"Comuna Lunca de Sus, Harghita",上倫卡鄉
"Comuna Romuli, Bistrița-Năsăud",羅穆利鄉
"Comuna Merghindeal, Sibiu",梅爾京代亞爾鄉
"Comuna Pogăceaua, Mureș",波格恰瓦鄉
"Comuna Șieuț, Bistrița-Năsăud",謝烏茨鄉
"Fântânele, Iași",芳特內萊鄉·(雅西縣)
"Focuri, Iași",福庫里鄉
"Comuna Ideciu de Jos, Mureș",下伊代丘鄉
"Comuna Brădeni, Sibiu",布勒代尼鄉
"Comuna Gălești, Mureș",格萊什蒂鄉·(穆列什縣)
"Comuna Dumitrița, Bistrița-Năsăud",杜米特里察鄉
"Comuna Mihăileni, Harghita",米赫伊萊尼鄉·(哈爾吉塔縣)
"Comuna Rușii-Munți, Mureș",魯希-蒙齊鄉
"Comuna Nocrich, Sibiu",諾克里克鄉
"Comuna Dârlos, Sibiu",德爾洛斯鄉
"Comuna Lăzarea, Harghita",勒扎雷亞鄉
"Comuna Vurpăr, Sibiu",武爾珀爾鄉
"Comuna Ilieni, Covasna",伊利耶尼鄉
"Comuna Mereni, Covasna",梅雷尼鄉·(科瓦斯納縣)
"Comuna Gurghiu, Mureș",古爾吉烏鄉·(穆列什縣)
"Comuna Somova, Tulcea",索莫瓦鄉
"Comuna Stejaru, Tulcea",斯泰亞魯鄉·(圖爾恰縣)
"Comuna Pardina, Tulcea",帕爾迪納鄉·(圖爾恰縣)
"Comuna Smârdan, Tulcea",斯馬爾丹鄉·(圖爾恰縣)
"Comuna Sarichioi, Tulcea",薩里基奧伊鄉
"Comuna Hoghilag, Sibiu",霍吉拉格鄉
"Comuna Periam, Timiș",佩里亞姆鄉
"Comuna Târnava, Sibiu",特爾納瓦鄉·(錫比烏縣)
"Comuna Ojdula, Covasna",奧伊杜拉鄉
"Comuna Păuca, Sibiu",珀烏卡鄉
"Comuna Șeica Mică, Sibiu",小謝伊卡鄉
"Comuna Băla, Mureș",伯拉鄉
"Comuna Sâncraiu de Mureș, Mureș",穆列什河畔聖克拉尤鄉
"Comuna Breaza, Mureș",布雷亞扎鄉·(穆列什縣)
"Comuna Pietroșița, Dâmbovița",彼得羅希察鄉
"Comuna Porumbești, Satu Mare",波魯姆貝什蒂鄉·(薩圖馬雷縣)
"Comuna Clejani, Giurgiu",克萊扎尼鄉
Armata 1 (1916-1918),第1軍團·(羅馬尼亞)
"Comuna Răstolița, Mureș",勒斯托利察鄉
"Comuna Praid, Harghita",普拉伊德鄉
"Comuna Șura Mică, Sibiu",小舒拉鄉
"Comuna Frumoasa, Harghita",弗魯莫阿薩鄉·(哈爾吉塔縣)
"Comuna Cilieni, Olt",奇利耶尼鄉
"Comuna Văcăreni, Tulcea",沃克雷尼鄉
"Movileni, Galați",莫維萊尼鄉·(加拉茨縣)
"Comuna Carcaliu, Tulcea",卡爾卡柳鄉
"Comuna Șimonești, Harghita",希莫內什蒂鄉
"Comuna Hodod, Satu Mare",霍多德鄉
"Comuna Rășinari, Sibiu",勒希納里鄉
"Comuna Iecea Mare, Timiș",大耶恰鄉
"Comuna Șura Mare, Sibiu",大舒拉鄉
Biserica Iezuiților din Sibiu,天主圣三堂·(锡比乌)
Relațiile dintre România și Bulgaria,保加利亞—羅馬尼亞關係
"Comuna Icușești, Neamț",伊庫謝什蒂鄉
"Comuna Cordun, Neamț",科爾敦鄉
"Comuna Păstrăveni, Neamț",珀斯特勒韋尼鄉
"Comuna Gherăești, Neamț",蓋勒埃什蒂鄉
"Comuna Pipirig, Neamț",皮皮里格鄉
"Comuna Vânători, Iași",沃訥托里鄉·(雅西縣)
"Comuna Hangu, Neamț",漢古鄉
"Comuna Schitu Duca, Iași",斯基圖杜卡鄉
"Comuna Românești, Iași",羅默內什蒂鄉·(雅西縣)
"Comuna Bălăbănești, Galați",伯勒伯內什蒂鄉·(加拉茨縣)
"Băleni, Galați",伯萊尼鄉·(加拉茨縣)
"Comuna Tudora, Botoșani",圖多拉鄉·(博托沙尼縣)
"Gostinu, Giurgiu",戈斯蒂努鄉
"Florica, Buzău",弗洛里卡鄉
"Slobozia, Giurgiu",斯洛博齊亞鄉·(久爾久縣)
"Comuna Dăeni, Tulcea",德埃尼鄉
"Cuca, Galați",庫卡鄉·(加拉茨縣)
"Comuna Grindu, Tulcea",格林杜鄉·(圖爾恰縣)
"Tufești, Brăila",圖費什蒂鄉
"Comuna Valea Teilor, Tulcea",泰伊洛爾鄉
"Matca, Galați",馬特卡鄉
"Comuna Nanov, Teleorman",納諾夫鄉
"Comuna Ibănești, Mureș",伊伯內什蒂鄉·(穆列什縣)
"Comuna Dănești, Harghita",德內什蒂鄉·(哈爾吉塔縣)
"Comuna Bodoc, Covasna",博多克鄉·(科瓦斯納縣)
"Comuna Cristești, Mureș",克里斯泰什蒂鄉·(穆列什縣)
"Comuna Miceștii de Câmpie, Bistrița-Năsăud",米謝切什蒂德肯皮耶鄉
"Comuna Negrilești, Bistrița-Năsăud",內格里萊什蒂鄉·(比斯特里察-訥瑟烏德縣)
"Comuna Deda, Mureș",代達鄉·(穆列什縣)
"Comuna Ilva Mare, Bistrița-Năsăud",大伊爾瓦鄉
"Comuna Feldru, Bistrița-Năsăud",費爾德魯鄉
"Comuna Bistrița Bârgăului, Bistrița-Năsăud",伯爾格烏山麓比斯特里察鄉
"Comuna Topolog, Tulcea",托波洛格鄉·(圖爾恰縣)
"Comuna Crasna, Gorj",克拉斯納鄉·(戈爾日縣)
"Comuna Peceneaga, Tulcea",佩切內亞加鄉
"Comuna Borlești, Neamț",博爾萊什蒂鄉
"Comuna Tașca, Neamț",塔什卡鄉
"Comuna Mogoșești, Iași",莫戈謝什蒂鄉
"Comuna Gârcina, Neamț",格爾西納鄉
"Malu, Giurgiu",馬盧鄉·(久爾久縣)
"Mărculești, Ialomița",默爾庫萊什蒂鄉·(雅洛米察縣)
"Cosoba, Giurgiu",科索巴鄉
"Comuna Botești, Neamț",博泰什蒂鄉
"Comuna Rediu, Iași",雷迪烏鄉·(雅西縣)
"Valea Lupului, Iași",盧普盧伊鄉
"Comuna C.A. Rosetti, Tulcea",C.A.羅塞蒂鄉·(圖爾恰縣)
"Comuna Comănești, Suceava",科默內什蒂鄉·(蘇恰瓦縣)
"Comuna Timișești, Neamț",蒂米謝什蒂鄉
"Comuna Răucești, Neamț",勒烏切什蒂鄉
"Comuna Poiana Teiului, Neamț",波亞納泰尤盧伊鄉
"Comuna Pechea, Galați",佩凱亞鄉
"Comuna Oniceni, Neamț",奧尼切尼鄉
"Comuna Tătăruși, Iași",特特魯希鄉
"Comuna Ceatalchioi, Tulcea",恰塔爾基奧伊鄉
"Comuna Săvinești, Neamț",瑟維尼什蒂鄉
"Comuna Ghidigeni, Galați",吉迪傑尼鄉
"Comuna Murighiol, Tulcea",穆里吉奧爾鄉
"Râul Chiua, Șușița",裘氏牛肝菌属
Relațiile dintre România și China,中國—羅馬尼亞關係
"Comuna Brusturi, Neamț",布魯斯圖里鄉·(尼亞姆茨縣)
"Comuna Scânteia, Iași",斯肯泰亞鄉·(雅西縣)
"Comuna Valea Ursului, Neamț",烏爾蘇盧伊鄉
"Costache Negri, Galați",科斯塔凱內格里鄉·(加拉茨縣)
"Comuna Hamcearca, Tulcea",哈姆恰爾卡鄉
"Comuna Popești, Iași",波佩什蒂鄉·(雅西縣)
"Comuna Jurilovca, Tulcea",茹里洛夫卡鄉
"Comuna Dobreni, Neamț",多布雷尼鄉
"Comuna Izvoarele, Tulcea",伊茲瓦雷萊鄉·(圖爾恰縣)
"Comuna Moldoveni, Neamț",摩爾多韋尼鄉·(尼亞姆茨縣)
"Comuna Grumăzești, Neamț",格魯默澤什蒂鄉
"Comuna Secuieni, Neamț",塞庫耶尼鄉·(尼亞姆茨縣)
"Comuna Stănița, Neamț",斯特尼察鄉
"Comuna Roșcani, Iași",羅什卡尼鄉·(雅西縣)
"Comuna Girov, Neamț",吉羅夫鄉
"Comuna Tansa, Iași",坦薩鄉·(雅西縣)
"Comuna Sirețel, Iași",錫雷采爾鄉
"Comuna Vlădeni, Iași",弗勒代尼鄉·(雅西縣)
"Comuna Valea Seacă, Iași",塞亞克鄉·(雅西縣)
"Comuna Stolniceni-Prăjescu, Iași",斯托爾尼切尼-普勒熱斯庫鄉
"Comuna Popricani, Iași",波普里卡尼鄉
Județele României,縣·(羅馬尼亞)
"Comuna Prisăcani, Iași",普里瑟卡尼鄉
"Comuna Farcașa, Neamț",法爾卡沙鄉
"Comuna Maliuc, Tulcea",馬柳克鄉
"Comuna Sinești, Iași",錫內什蒂鄉·(雅西縣)
"Comuna Pângărați, Neamț",彭格拉齊鄉
"Comuna Urecheni, Neamț",烏雷凱尼鄉
Palatul CEC,CEC宮
"Comuna Cristești, Iași",克里斯泰什蒂鄉·(雅西縣)
"Comuna Costești, Iași",科斯泰什蒂鄉·(雅西縣)
"Comuna Văculești, Botoșani",沃庫萊什蒂鄉
"Comuna Cozmești, Iași",科茲梅什蒂鄉·(雅西縣)
"Comuna Hudești, Botoșani",胡代什蒂鄉
"Comuna Petricani, Neamț",佩特里卡尼鄉
"Comuna Săcălășeni, Maramureș",瑟克勒謝尼鄉
"Comuna Saligny, Constanța",薩利格尼鄉·(康斯坦察縣)
"Comuna Deleni, Iași",代萊尼鄉·(雅西縣)
"Comuna Ciortești, Iași",喬爾泰什蒂鄉
"Comuna Voinești, Iași",沃伊內什蒂鄉·(雅西縣)
"Comuna Bârnova, Iași",伯爾諾瓦鄉
"Comuna Balș, Iași",巴爾什鄉·(雅西縣)
"Comuna Ipatele, Iași",伊帕泰萊鄉
"Comuna Andrieșeni, Iași",安德列謝尼鄉
"Comuna Coarnele Caprei, Iași",夸爾內萊卡普雷伊鄉
"Comuna Umbrărești, Galați",溫布勒雷什蒂鄉
"Comuna Plugari, Iași",普盧加里鄉
"Comuna Piscu, Galați",皮斯庫鄉
"Comuna Todirești, Iași",托迪雷什蒂鄉·(雅西縣)
"Comuna Podoleni, Neamț",波多萊尼鄉
"Comuna Mironeasa, Iași",米羅內亞薩鄉
"Comuna Bivolari, Iași",比沃拉里鄉
"Comuna Miroslovești, Iași",米羅斯洛韋什蒂鄉
"Comuna Ungureni, Botoșani",溫古雷尼鄉·(博托沙尼縣)
"Comuna Victoria, Iași",維多利亞鄉·(雅西縣)
"Comuna Ceplenița, Iași",切普萊尼察鄉
"Comuna Hălăucești, Iași",赫勒烏切什蒂鄉
"Comuna Dumești, Iași",杜梅什蒂鄉·(雅西縣)
"Comuna Bălușeni, Botoșani",伯盧謝尼鄉
"Comuna Golăiești, Iași",戈勒耶什蒂鄉
"Comuna Ripiceni, Botoșani",里皮切尼鄉
"Comuna Gropnița, Iași",格羅普尼察鄉
"Comuna Bârza, Olt",伯爾扎鄉
"Comuna Gostinari, Giurgiu",戈斯蒂納里鄉
"Comuna Coteana, Olt",科泰亞納鄉
"Comuna Toporu, Giurgiu",托波魯鄉
"Comuna Schela, Gorj",斯凱拉鄉·(戈爾日縣)
"Comuna Erbiceni, Iași",埃爾比切尼鄉
"Comuna Sănduleni, Bacău",森杜萊尼鄉
Relațiile dintre Canada și România,加拿大—羅馬尼亞關係
Premiile Gopo,戈波獎
"Comuna Crucea, Constanța",克魯恰鄉·(康斯坦察縣)
"Comuna Drăgușeni, Iași",德勒古謝尼鄉·(雅西縣)
"Hotarele, Giurgiu",霍塔雷萊鄉
"Comuna Comarna, Iași",科馬爾納鄉
"Ciohorăni, Iași",喬霍勒尼鄉
"Comuna Izbiceni, Olt",伊茲比切尼鄉
"Comuna Oinacu, Giurgiu",奧伊納庫鄉
"Vedea, Giurgiu",韋代亞鄉·(久爾久縣)
"Comuna Schitu, Giurgiu",斯基圖鄉·(久爾久縣)
"Comuna Oboga, Olt",奧博加鄉
"Comuna Roata de Jos, Giurgiu",下羅阿塔鄉
"Comuna Răsuceni, Giurgiu",勒蘇切尼鄉
"Comuna Ulmi, Giurgiu",烏爾米鄉·(久爾久縣)
"Comuna Putineiu, Giurgiu",普蒂內尤鄉·(久爾久縣)
"Comuna Căpreni, Gorj",克普雷尼鄉
"Comuna Valea Mare, Olt",大谷鄉·(奧爾特縣)
"Comuna Gogoșari, Giurgiu",戈戈沙里鄉
"Comuna Găiseni, Giurgiu",格伊塞尼鄉
"Comuna Sâniob, Bihor",瑟尼奧布鄉
"Comuna Răuseni, Botoșani",勒烏塞尼鄉
"Comuna George Enescu, Botoșani",喬治埃內斯庫村鄉·(博托沙尼縣)
"Comuna Stăuceni, Botoșani",斯特烏切尼鄉·(博托沙尼縣)
"Comuna Trifești, Iași",特里費什蒂鄉·(雅西縣)
"Comuna Lețcani, Iași",萊茨卡尼鄉
"Comuna Crevedia Mare, Giurgiu",大克雷韋迪亞鄉
"Comuna Gârcov, Olt",格爾科夫鄉
"Comuna Cezieni, Olt",切濟耶尼鄉
"Comuna Letca Nouă, Giurgiu",新萊特卡鄉
"Comuna Găujani, Giurgiu",格烏扎尼鄉
"Comuna Milcoiu, Vâlcea",米爾科尤鄉
"Comuna Herăști, Giurgiu",海勒什蒂鄉
"Comuna Bălănești, Gorj",伯勒內什蒂鄉·(戈爾日縣)
"Comuna Berlești, Gorj",貝爾萊什蒂鄉
"Comuna Bucșani, Giurgiu",布克沙尼鄉·(久爾久縣)
"Comuna Prundeni, Vâlcea",普倫代尼鄉
"Comuna Ciurea, Iași",丘雷亞鄉
"Comuna Viișoara, Botoșani",維什瓦拉鄉·(博托沙尼縣)
"Comuna Ion Neculce, Iași",揚內庫爾切鄉·(雅西縣)
"Comuna Butea, Iași",布泰亞鄉·(雅西縣)
"Comuna Grozești, Iași",格羅澤什蒂鄉·(雅西縣)
"Comuna Heleșteni, Iași",海萊什泰尼鄉
"Comuna Alexandru I. Cuza, Iași",亞歷山德魯伊萬庫扎鄉·(雅西縣)
"Comuna Frumușica, Botoșani",弗魯穆希卡鄉·(博托沙尼縣)
"Comuna Brăești, Iași",布勒埃什蒂鄉·(雅西縣)
"Comuna Costuleni, Iași",科斯圖萊尼鄉·(雅西縣)
"Comuna Ghimpați, Giurgiu",京帕齊鄉
"Comuna Alunu, Vâlcea",阿盧努鄉
"Comuna Corbu, Olt",科爾布鄉·(奧爾特縣)
"Comuna Vărăști, Giurgiu",沃勒什蒂鄉
"Comuna Vânătorii Mici, Giurgiu",小沃訥托里鄉
"Comuna Bulbucata, Giurgiu",布爾布卡塔鄉
"Comuna Singureni, Giurgiu",辛古雷尼鄉·(久爾久縣)
"Comuna Comana, Giurgiu",科馬納鄉·(久爾久縣)
"Comuna Crușeț, Gorj",克魯謝茨鄉
Piața Mare din Sibiu,锡比乌大广场
"Comuna Țibana, Iași",齊巴納鄉
"Comuna Livezile, Timiș",利韋濟萊鄉·(蒂米什縣)
"Comuna Dealu, Harghita",迪亞盧鄉
"Comuna Otelec, Timiș",奧泰萊克鄉
"Mihai Bravu, Giurgiu",米哈伊布拉武鄉·(久爾久縣)
"Mârșa, Giurgiu",馬爾沙鄉
"Comuna Grădinari, Giurgiu",格勒迪納里鄉·(久爾久縣)
"Comuna Ogrezeni, Giurgiu",奧格雷澤尼鄉
"Comuna Buturugeni, Giurgiu",布圖魯傑尼鄉
"Comuna Greaca, Giurgiu",格雷亞卡鄉
"Comuna Călugăreni, Giurgiu",克盧格雷尼鄉·(久爾久縣)
Biserica reformată din Sibiu,锡比乌归正会教堂
"Comuna Joița, Giurgiu",若伊察鄉
"Alegeri prezidențiale în România, 2014",2014年罗马尼亚总统选举
Complexul expozițional Romexpo,罗马尼亚展览中心
Relațiile dintre România și Ungaria,匈牙利—罗马尼亚关系
România la Jocurile Olimpice de iarnă din 2014,2014年冬季奧林匹克運動會羅馬尼亞代表團
"Alegeri parlamentare în România, 2016",2016年羅馬尼亞國會選舉
Sala Palatului,宮殿音樂廳·(布加勒斯特)
Biserica Sfântul Spiridon Nou din București,聖斯皮里東新教堂
"Comuna Smeeni, Buzău",斯梅埃尼鄉
"Comuna Săcele, Constanța",瑟切萊鄉·(康斯坦察縣)
"Comuna Luncavița, Tulcea",隆卡維察鄉·(圖爾恰縣)
"Comuna Drăgoiești, Suceava",德勒戈耶什蒂鄉
"Comuna Hășmaș, Arad",赫什馬什鄉
"Comuna Fântânele, Suceava",芳特內萊鄉·(蘇恰瓦縣)
"Comuna Braniștea, Bistrița-Năsăud",布拉尼什泰亞·(比斯特里察-訥瑟烏德縣)
"Comuna Dârmănești, Argeș",德爾默內什蒂鄉
"Comuna Dărmănești, Suceava",德爾默內什蒂鄉·(蘇恰瓦縣)
"Comuna Drăgănești, Galați",德勒格內什蒂鄉·(加拉茨縣)
Bacău,巴克烏
"Comuna Colți, Buzău",科爾齊鄉
Armata 2 (1916-1918),第2軍團·(羅馬尼亞)
"Comuna Bucoșnița, Caraș-Severin",布科什尼察鄉
Broșteni,布羅什泰尼·(蘇恰瓦縣)
"Comuna Bruiu, Sibiu",布魯尤鄉
"Comuna Vadu Crișului, Bihor",克里什河畔瓦杜鄉
"Comuna Vadu Moților, Alba",瓦杜莫齊洛爾鄉
"Comuna Morteni, Dâmbovița",莫爾泰尼鄉
"Comuna Buntești, Bihor",本泰什蒂鄉
"Comuna Buteni, Arad",布泰尼鄉
"Comuna Albești, Ialomița",阿爾貝什蒂鄉·(雅洛米察縣)
"Comuna Țepu, Galați",采普鄉
"Comuna Gorban, Iași",戈爾班鄉
