André-Pierre Gignac,安德雷·皮埃爾·吉尼亞克
Ana Lilian de la Macorra,安娜·莉莲·德·拉·马科拉
Ale García,亚历杭德拉·加西亚
Jesús Silva-Herzog Flores,赫苏斯·西尔瓦-格尔佐格·弗洛雷斯
Carlos Segundo Bravo,卡洛斯·塞贡多
Jonathan Islas,乔纳森·伊斯拉斯
Anilú Pardo,安卢·帕多
Robert Livermore,羅伯特·利物莫
Jorge Orta,荷黑·奧塔
Rosita Bouchot,罗西塔·布肖
Carlos Marichal Salinas,卡洛斯·马里查
Renato López,雷納托·洛佩斯
Ricardo Rincón,里卡多·林孔
Ricardo Tejedo,里卡多·特赫多
Roberto Aguire,罗伯托·阿奎尔
Ricardo González Valdez,里卡多·冈萨雷斯
Ricardo Lancaster-Jones y Verea,里卡多·蘭開斯特·瓊斯·維雷亞
Adalberto Palma,阿达尔贝托·帕尔马
Roberto Rodríguez,罗伯托·罗德里格斯
José Luis Pérez,何塞·路易斯·佩雷斯
Rodolfo Cota,魯道夫·科塔
Ricardo Dominguez,里卡多·多明格斯
José Lavat,何塞·拉瓦特
Ximena Romo,西梅娜·罗莫
María José Cristerna,玛丽亚·何塞·克里斯特纳
José María Napoleón,何塞·玛丽亚·拿破仑
Eduardo Ibarrola,爱德华多·伊巴罗拉
Enrique Francisco Galindo Ceballos,恩里克·加林多
María Renée Prudencio,玛丽亚·芮妮·普鲁登西奥
Carlos Athié,卡洛斯·阿蒂埃
Jorge Ortiz de Pinedo,乔奇·奥尔蒂斯·代·皮内多
Alejandro Giacomán,亚历杭德罗·贾科曼
José López Portillo y Rojas,何塞·洛佩斯·波蒂略-罗哈斯
Jorge Sánchez,豪尔赫·桑切斯
Patricio Elizalde,帕托·马切特
Rogelio Ramírez de la O,羅格里奧·拉米雷斯·德拉奧
Rosalinda Rodriguez,罗莎琳达·罗德里格斯
Ismael Valdez,伊斯梅爾·瓦德茲
Ignacio Anaya,伊格納西奧·安納亞
Gisela Mota Ocampo,希塞拉·莫塔·奥坎波
Rodolfo Martínez,鲁道夫·马丁内斯
Juan Carlos Rulfo,胡安·卡洛斯·魯爾福
Jorge Álvarez Máynez,豪尔赫·阿尔瓦雷斯·梅尼兹
Rosemary Barkett,罗丝玛丽·巴克特
José Suárez Carreño,何塞·苏亚雷斯·卡雷诺
Gala Montes,加拉·蒙特斯
La Mascara,拉·马斯卡拉
Ultraman,米洛·文圖拉·查韋斯
Rubén Moreira Valdez,莫瑞拉
Luis Cessa,路易斯·塞沙
Rosita López Augirre,罗西·阿吉雷
Juan Gracia Zazueta,胡安·格拉西亚
Juan Acevedo,胡安·阿塞維多
Rush,拉什
Rossy Moreno,罗西·莫雷诺
Juan García Ábrego,胡安·加西亞·阿布雷戈
Chan Imix K'awiil,钱·伊米什·卡维尔
Héctor Jiménez,赫克特·吉门雷兹
Sergio Tovar Velarde,塞尔吉奥·托瓦尔·贝拉德
Sergio Vela,塞尔吉奥·贝拉
Quico,基科
Kavka Shishido,宍戶卡芙卡
Samantha Bricio,布里西奧
Cecilia González Gómez,塞西莉亞·岡薩雷斯·戈麥斯
Leonel Sandoval Figueroa,莱昂内尔·桑多瓦尔·菲格罗亚
Simón Bross,西蒙·布洛斯
Siouzana Melikián,锡扎纳·梅利基安
Fernando Guerrero Ramírez,費爾南多·格雷羅
Luis Videgaray Caso,路易斯·比德加赖·卡索
Manuel Balbi,曼努埃尔·巴尔比
Sergio Galindo,塞尔吉奥·加林多
Mario García Torres,馬里奧·加西亞·托雷斯
Sebastián Llapur,塞巴斯蒂安·拉普拉
Joselito Velázquez,何塞利托·贝拉斯克斯
Haramara Gaitan,哈拉玛拉·盖坦
Hugo Catalán,雨果·加泰罗尼亚
José Luis Abarca Velázquez,乔斯·路易斯·阿瓦尔卡
Mario García Covalles,马里奥·加西亚·科瓦莱斯
Marisa Sistach,玛丽莎·西斯塔赫
Marius Biegai,马里乌斯·比加伊
Yurem Rojas,尤里姆·罗哈斯
Sid Monge,席德·蒙海
Raúl Izaguirre,劳尔·伊萨吉雷
Leoncio Lara,莱昂西奥·拉腊
Adan Canto,阿丹·坎托
Eduardo MacGregor,爱德华多·麥克格里格
Pedro Sola,佩德罗·索拉
Súper Brazo,苏佩尔·布拉佐
Mike Elizalde,邁克·埃利薩爾德
José Luis Álvarez Martínez,何塞·路易斯·阿爾瓦雷斯·馬丁內斯
Luis Rey,路易斯·雷
Isador Cortez,殺千刀
Omar Santacruz,奧馬爾·聖克魯斯
Diego de Erice,迭戈·代·艾力賽
Javier Bolaños Aguilar,波拉紐斯
Federico Barbosa Gutiérrez,費德里科·巴博薩·古鐵雷斯
Sergio Reynoso,塞尔吉奥·雷诺索
Carlos Amador Martínez,卡洛斯·阿马多尔
Vidal Cantu,维达尔·坎图
Vanessa Huppenkothen,瓦妮莎·胡本柯腾
Brazo de Platino,布拉索·德·普拉蒂诺
Francisco González Ramos,方濟各·岡薩雷斯-拉莫斯
Armando Casas,阿曼多·卡萨斯
Chuy Bravo,丘伊·布拉沃
Golden Magic,黄金魔法
Michel Franco,米歇爾·法蘭科
Picho Toledano,小阿方索·托莱达诺
Mauro Mueller,毛罗·穆勒
Valentina Alazraki,瓦伦蒂娜·阿拉兹拉基
Jessica Garza,杰西卡·加尔萨
Polo Marino,波洛·莫林
José Manuel Mireles Valverde,何塞·曼紐爾·米雷萊斯
Sarai Meza,莎蕊·梅萨
Íngrid Coronado,英格丽·科罗纳多
Beatrice De Alba,比阿特麗斯·德·阿爾瓦
Erick Chapa,埃里克·沙帕
Cristina Mittermeier,克里斯蒂娜·米特梅尔
Francisco Javier Arellano Félix,哈維爾·阿雷拉諾·菲利克斯
Dr. Cerebro,Dr. Cerebro
Fernanda Urdapilleta,费尔南达·乌尔达皮耶塔
Analeine Cal y Mayor,安尔莱娜·卡尔·Y·麦耶
Pentagón Jr.,小潘塔贡
Maritere Alessandri,马里特里·亚历山德里
Noé Hernández,诺伊·埃尔南德斯
Rafael Alejandro Micalco,拉斐尔·亚历杭德罗·米卡尔科
Eduardo Ortega,愛德華多·奧爾特加
Ela Velden,艾拉·韦尔登
Lisa Owen,莉萨·欧文
Alan-Peter Gadiot,彼得·加迪尔特
Enrique Plancarte Solís,恩里克·普蘭卡特·索利斯
Oka Giner,奥卡·希内尔
Carmen Sarahí,卡门·莎拉
Julio Urías,朱利奧·烏里亞斯
Danh Vö,傅丹
Ulises Guzmán Cruz,乌利塞斯·古兹曼克鲁兹
Diego Sinhue Rodríguez Vallejo,迭戈·罗德里格斯·巴列霍
Pirata Morgan,小皮拉塔·摩根
Gabriel Montiel Gutiérrez,加布里埃尔·蒙铁尔·古铁雷斯
Tomás Goros,托马斯·戈罗斯
Inés Coronel Barreras,因斯·科罗内尔·巴雷拉斯
Henry Martín,亨利·馬丁
Gabriel Luna,加布里埃爾·盧納
Hirving Lozano,希爾文·洛薩諾
Dana Rotberg,达娜·洛特伯格
Hedgardo Marín,赫德加爾多·馬林
Erick Gutiérrez,埃里克·古鐵雷斯
Monte Alejandro Rubido García,蒙特·亞歷杭德羅·魯比多·加西亞
Ricardo del Real,里卡多·德尔·雷阿尔
Antonio Rosique,安东尼奥·罗西克
Alonso Ruizpalacios,阿隆索·帕拉西奥斯
Iván Arana,伊万·阿纳
Álvaro Tarcicio,阿尔瓦罗·塔西西奥
Alexa Moreno,亚历克莎·莫雷诺
Jana Raluy,Jana Raluy
Martín Hernández,馬丁·埃爾南德斯
Christina Weiss Lurie,克莉絲提娜·魏斯·盧利
Alexis Zabé,亚历克西斯·泽贝
Fernando Kalife,费尔南多·卡利夫
Dragon Lee II,德劳贡·李
Jorge Cuapio Bautista,喬治·夸皮奧·包蒂斯塔
Itzel Manjarrez,伊姿爾·孟加瑞茲
Estanislao Alcaraz y Figueroa,達尼老·阿爾卡拉斯-伊-菲格羅阿
Juan Mora Catlett,胡安·莫拉·卡特列特
Marcus Ornellas,马库斯·奥内拉斯
Alejandro Durán,亚历杭德罗·杜兰
Eduardo Aguirre,愛德華多·阿吉雷
Gabino Rodríguez Rodela,加比諾·罗德里格斯
Patricio Sebastián,帕特里西奥·塞巴斯蒂安
Rogelio Franco Castán,罗赫略·佛朗哥·卡斯坦
Dallas Escobedo,達拉斯·埃斯科韋多
Issa Lish,伊萨·利什
Efrén Hernández,艾夫倫·赫南德斯
Everardo González,埃弗拉多·冈萨雷斯
Gustavo Loza,古斯塔沃·洛扎
Gabriela Bayardo,加布麗埃拉·施魯塞爾
Héctor Carreto,赫克托·卡雷
Jesús Daniel Gallardo Vasconcelos,赫蘇斯·加拉爾多
Juan Carlos García Sancho,胡安·卡洛斯·加西亚·桑乔
Alejandro Murat Hinojosa,亚历杭德罗·穆拉特
Gaby López,蓋比·蘿培茲
René García,勒内·加西亚
Luciana Silveyra,卢西亚娜·西尔维拉
Pedro Kumamoto,佩德罗·熊本
Tania Arrayales,塔妮雅·阿拉亞萊斯
Luis Chávez,路易斯·查韦斯
Naian González Norvind,娜因·冈泽勒斯·诺威德
Goretti Zumaya,戈蕾蒂·苏玛娅
Rafael Ávila Camacho,拉斐尔·阿维拉·卡马乔
Carlos Encinas Ferrer,卡洛斯·恩西纳斯·费雷尔
David Olguín,大卫·奥尔金
Paloma Ruiz de Alda,帕洛玛·鲁伊斯·代·阿尔达
Lucia Venegas,卢西拉·维内加斯
Jorge Alejandro Salum del Palacio,乔奇·亚历杭德罗·萨隆·戴尔·帕拉西奥
Ricardo Vargas,里卡多·巴爾加斯
Brenda Vélez,Brenda Velez
Fabiola Ibarra,法维奥拉·伊瓦拉
Ismael Hernández,伊斯梅尔·埃尔南德斯
Gabriel Macotela,加布里埃尔·马科特拉
Rodrigo Diego López,罗德里戈·迭戈
Antonio Urrutia,安东尼奥·乌鲁蒂亚
Manuel Garcia-Rulfo,馬奴·賈西亞-魯爾福
Freddy Martín,弗雷迪·马丁
Arturo Barba,阿图罗·巴爾巴
Marcela Guirado,马塞拉·吉拉多
Enrique Bermúdez de la Serna,恩里克·贝穆德斯·德拉塞尔纳
César Ramos Palazuelos,塞薩爾·拉莫斯
Salvador Quiroz,萨尔瓦多·基罗斯
Lopez Pérez Conejo,乌列尔·安图纳
Carlos Acevedo,卡洛斯·阿塞維多
Kevin Lara,凯文·劳尔 拉腊·埃雷拉
Alexa Grasso,亚莉克莎·格拉索
Rafael Portillo,拉斐爾·樸迪路
Julieta Toledo,胡丽叶塔·托莱多
Orbelín Pineda,奧博林·皮內達
Mark Raso,马克·拉索
Stephanie Sigman,史蒂芬妮·席格曼
Ángel Zaldívar,安祖沙迪華
Tanya Saracho,坦妮娅·萨拉乔
Noemi Gonzalez,诺埃米·冈萨雷斯
Carlos Rosel,羅塞爾
"Rubén Amaro, Sr.",小魯本·艾馬里諾
Paulina García Robles,宝琳娜·加西亚·罗夫莱斯
Francisco Sebastián Córdova,塞巴斯蒂安·科尔多瓦
Sanjaya Rajaram,桑賈雅·拉賈拉姆
Yuya,优弥
Stephie Caire,斯蒂芬·凯尔
Sofía Reyes,索菲娅·雷耶斯
Hechicero,赫奇塞罗
Jorge Rodríguez-Novelo,喬治·羅德里格斯-諾韋洛
María Sánchez,瑪莉亞·桑切斯
Bernabé Melendrez,伯纳贝·梅伦德雷斯
Aremi Fuentes,阿雷米·富恩特斯
Giuliana Olmos,朱里亚娜·奥尔莫斯
Gabriel Ripstein,加布里埃爾·里普斯坦
Adanely Núñez,阿达妮·努涅斯
Yair Rodríguez,亚伊尔·罗德里格斯
Eliseo Gilberto Aviña Gómez,以利西亚·吉尔伯托·阿维尼亚·戈麦斯
Luis de la Rosa,路易斯·德·拉·罗萨·奥泰萨
María Guadalupe González,玛利亚·瓜达卢普·冈萨雷斯
Daniela Cordero,丹妮拉·科尔德罗
Rodolfo Landa,魯道夫·蘭達
Rogelio Hernández,塞薩爾·蒙德斯
Úrsula Pruneda,乌苏拉·普鲁内达
Agnes Torres,阿涅斯·托雷斯·埃尔南德斯
Lucía Carreras,卢西亚·卡雷拉斯
Susana Palazuelos,Susana Palazuelos
Roberto Osuna,羅伯托·歐蘇納
Rodrigo Oviedo,罗德里戈·奥维多
Mónica Fernández Balboa,莫妮卡·費爾南德斯·巴爾博亞
Sebastián Vegas,塞巴斯蒂安·维加斯
Luis Cárdenas,路易斯·卡德纳斯
Wenseslao Moguel,文赛斯劳·莫格尔
Mariano Sánchez,马里亚诺·桑切斯
Amor Muñoz,阿莫尔·穆尼奥斯
Luis Salazar,路易斯·薩拉查
Ilse Salas,伊尔丝·萨拉斯
Loco Max,洛科·马克斯
Antonio Riestra,安东尼奥·列斯特拉
MC Davo,MC Davo
César Ramos,凯撒·拉莫斯
Leopoldo Sánchez Celis,萊奧波爾多·桑切斯·塞利斯
Matilde Landeta,马蒂尔德·兰达
Hans Hach Verdugo,汉斯·哈赫·维尔杜戈
Fernando del Solar,费尔南多·德尔·索拉尔
Rocío Nahle García,罗西奥·纳勒
Luis Manuel Pelayo,路易斯·曼努埃尔·佩拉约
Miguel Torruco,米格尔·托鲁克
Cassandra Ciangherotti,卡珊德拉·钱盖罗蒂
Arturo Vázquez,阿图罗·巴斯克斯
Abraham Ancer,亞伯拉罕·安瑟
Melissa Barrera,梅丽莎·巴雷拉
Jimena Pérez,吉梅娜·佩雷斯
Israel Cárdenas,伊斯雷尔·卡德纳斯
Aida López,艾達·洛佩茲
Karol Sevilla,卡罗尔·塞维利亚
Jessica Decote,杰西卡·德波特
Patricia Azarcoya Schneider,帕特里夏·阿泽科亚·施奈德
Alma Cero,Alma Cero
Alejandro Belmonte,亚历杭德罗·贝尔蒙特
Arturo Hernández,阿图罗·埃尔南德斯
Roberto Alvarado,羅伯托·阿爾瓦拉多
Cinthia Vázquez,辛西亚·巴斯克斯
Sofía Álvarez,蘇菲亞·阿爾瓦雷斯
Víctor Guzmán,比克托尔·古斯曼
Dolores Hernández,多洛雷斯·赫爾南德斯
Melany Hernández,梅拉妮·埃尔南德斯
Tábata Jalil,塔巴塔·贾利勒
Érick Aguirre,埃里克·阿吉雷
Tania Rincón,塔尼亚·林孔
Ale Muller,艾尔·穆勒
Gary Alazraki,加里·阿拉兹拉基
Rodolfo Domínguez,鲁道夫·多明戈斯
Moisés Arizmendi,莫伊塞斯·阿里斯门迪
Lucía Gajá,卢西亚·加哈
Claudette Maillé,克劳特·麦丽
José Ramón Enríquez Herrera,何塞·拉蒙·恩里克斯·埃雷拉
Edson Álvarez,埃德森·阿爾瓦雷斯
Gustavo Sánchez Parra,古斯塔沃·桑切斯·帕拉
Roberto Sneider,罗伯托·施奈德
Mariana Treviño,玛丽安娜·特雷维尼
Renata Zarazúa,雷娜塔·扎拉祖亚
Gerardo Arteaga,赫蘇斯·加拉多
Tita Valencia,蒂塔·瓦倫西亞
Raúl Vale,劳尔·瓦勒
Alexis Vega,亞歷克西斯·維加
Patricio O'Ward,帕特里西奥·奥沃德
Cecilia Camacho,塞西莉亚·卡马乔
José Joaquín Esquivel,華金·埃斯基維爾
Sofía Espinosa,索菲亚·伊斯皮诺萨
Luis Ricardo Reyes,路易斯·雷耶斯
Elva Macías,艾娃·馬西亞斯
Adriana Paz,阿德里安娜·帕兹
Luis Ramon Garrido,路易斯·拉蒙·加里多
Antonio Corgos,安东尼奥·科戈斯
Armando Espitia,阿曼多·埃斯皮蒂亚
Christiann Castellanos,克里斯蒂安·卡斯特拉诺斯
Jorge Luis Vázquez,豪尔赫·路易斯·巴斯克斯
Octavio Hinojosa,奧克塔維奧·伊諾霍薩
Marina Stavenhagen,玛丽娜·斯塔文哈根
Harold Torres,哈羅德·托雷斯
Rubén Moya,鲁本·莫亚
Jessica Salazar,杰茜卡·萨拉萨尔
Maxine Woodside,玛克辛·伍德赛德
Santiago Giménez,聖地亞哥·希門尼斯
Eduardo Amer,爱德华多·阿米尔
Fernando Beltrán Cruz,費南多·貝爾川
Carlos Monges,卡洛斯·蒙赫斯·卡尔德拉
Christian Iván Villanueva Limón,克里斯蒂安·維拉紐瓦
Job Castillo,约布·卡斯蒂略
Luis Armando Montoya Navarro,路易斯·阿尔曼多·蒙托亚·纳瓦罗
Tessa Ia,泰莎·依亞
Luis Malagón,路易斯·馬拉貢
Aurora Gil Castro,奥罗拉·吉尔
Jonathan González,喬納森·岡薩雷斯
César Vargas,塞薩爾·瓦爾加斯
Julio Chavezmontes,胡利奥·查韦斯蒙特斯
Sergio Bonilla,塞尔吉奥·博尼利亚
Juanpa Zurita,绢帕·苏里塔
Cuitláhuac García,奎特拉瓦克·加西亚·希门尼斯
Cristina Ferral,费拉尔
Raúl Kamffer,勞爾·卡姆弗
Alondra Hidalgo,阿兰卓·伊达尔戈
David Pablos,大卫·帕勃罗斯
Julián Ventura Valero,温立安
Alberto Cortés,阿尔贝托·科尔特斯
Michel Chauvet,米歇尔·肖维
Michel Duval,米歇尔·杜瓦尔
Natalia Cordova-Buckley,娜塔莉亚·考多瓦-巴克雷
Diego Enrique Osorno,迭戈·恩里克·奥索尔诺
Jorge Sánchez Ramos,豪尔赫·桑切斯
Luis Alfonso Mendoza,路易斯·阿方索·门多萨·索贝拉诺
Andrea Meza,安德烈娅·梅萨
Enrique Alfaro Ramírez,恩里克·阿尔法罗·拉米雷斯
Daniela Campuzano,丹尼拉·坎普萨诺
Michael Ronda,迈克尔·朗达
Gabriel Girón,加夫列尔·希龙
Juan Toscano,胡安·托斯坎諾-安德森
Yulene Olaizola,尤勒妮·奥莱索拉
Jorge Amaro,乔奇·阿马罗
Andrea Londo,安德莉亚·隆多
Alejandra Ambrosi,亚历杭德拉·安布罗西
Héctor Rodríguez,埃克托尔·罗德里格斯
Víctor Huggo Martin,维克多·雨果·马丁
Sari Bermudez,萨里·贝尔穆德斯
Alex García,艾力克斯·賈西亞
Johan Vázquez ibarra,约翰·瓦斯奎兹
Leonardo Ortizgris,雷昂那多·奥提兹格尔斯
Alemán,阿莱曼
Carlos Íñigo,卡洛斯·伊尼戈
Olga Harmony Baillet,奧爾加·哈莫尼
jose Antonio Gaona,安东尼奥·高纳
Mayes C. Rubeo,瑪耶斯·C·魯貝奧
Dafne Carolina Navarro Loza,达夫妮·纳瓦罗
Carlos R. Navarro,卡洛斯·纳瓦罗
Sebastián Aguirre,塞巴斯蒂安·阿吉雷
Valeria Ortuño Martínez,巴莱里娅·奥图尼奥
Adrián Mora Barraza,阿德里安·莫拉
Manolo Caro,马诺洛·卡罗
Andrés Almeida,安德烈·阿尔梅达
Sabrina Solis,塞布丽娜·索利斯
Murder Clown,谋杀小丑
Teté Espinoza,泰德·埃斯皮诺萨
Kyzza Terrazas,凯扎·特拉瑟斯
Andrés Clariond Rangel,安德烈斯·兰赫尔克·拉里昂德
Carmen Madrid,卡门·马德里
Lorenza Manrique,洛伦扎·曼里克
Tita Lombardo,蒂塔·隆巴多
Gera MX,Gera MX
Gabriela Cartol,加布里埃拉·卡托尔
Tatiana del Real,塔蒂亚娜·戴尔·雷阿尔
Alejandra Zaid,亚历杭德拉·扎伊德
Humberto Solorzano,温贝托·索洛萨诺
Elsa Covián,艾尔莎·科维安
Sebastián Ferrat,锡巴斯琴·费拉
Regina Pavón,丽贾娜·帕文
Carla Adell,卡拉·雅道尔
María Evoli,玛利亚·埃沃利
Gabino Rodriguez,加比諾·罗德里格斯
Andrés Couturier,安德烈斯·库图里埃
Alejandro Lozano,亚历杭德罗·洛萨诺
Álvaro Curiel,阿尔瓦罗·库里尔
Carlos Alberto Rodríguez,卡路士·艾拔圖·洛迪古斯
Aleyda Gallardo,阿莱达·加拉尔多
Norma Angélica Ladrón de Guevara,诺玛·安吉里卡
Diego Quemada-Díez,迪亚哥·奎曼达-迪亚兹
Jimena Gállego,希梅纳·加列戈
Samuel García,塞普尔韦达
Ramón Conchas,雷蒙·孔查斯
Yamil Atala,亚米尔·阿塔拉
Alicia Jaziz,艾丽西亚·贾兹兹
Randal Willars,兰达尔·维拉尔斯
Fer Serrano,费尔·塞拉诺
Alberto Belli,阿尔贝托·贝利
Alejandra Márquez Abella,亞歷杭德拉·馬奎斯
Jolette,乔莱特
Humberto Carrillo,溫貝托·卡里略
Sebastián Jurado,塞巴斯蒂安·胡拉多
Jesús Magaña,赫苏斯·马加纳
Enrique Arrizon,恩里克·阿里桑
Luis Cresencio Sandoval,路易斯·克雷森西奧·桑多瓦爾
Jorge Antonio Guerrero,乔奇·安东尼奥·格雷罗
Fernando Manzanilla Prieto,费尔南多·路易斯·曼萨尼利亚·普列托
Ramon Medina,拉蒙·麦地那
Fernanda Melchor,费尔南达·梅尔乔
Isaac Ezban,伊薩克·厄茲本
Germán Bracco,赫尔曼·布兰考
Lila Avilés,莉拉·阿维莱斯
Hector Marroquin,赫克托·马罗金
Alexia Garcia,亚历克西娅·加西亚
Alejandro Puente,亞歷杭德羅·普恩特
José Manuel Rincón,何塞·曼努埃尔·林孔
Alejandro Baillères,亞歷杭德羅·貝勒雷斯·瓜爾
Efrain Alvarez,埃弗拉因·阿尔瓦雷茨
Rebeca Bernal,麗貝卡·貝爾納爾
Tren Lokote,胡安·胡拉多
Ozcar Ramírez González,奥兹卡尔·拉米雷斯·冈萨雷斯
Giovanna Zacarías,焦万娜·扎卡里亚斯
Jorge Orozco Díaz,豪爾赫·奧羅斯科
Paulo Riqué,保罗·里奎
Fernando Frías,费尔南多·弗里亚斯
Esteban Soberanes,埃斯特万·萨博瑞尼斯
Sofía Garza Guerra,索菲亚·加尔萨·格拉
Jack Zagha Kababie,杰克·扎哈·卡巴比
Hansel Ramírez,韩塞尔·拉米雷斯
Dulce Candy,杜尔西·坎迪
Giselle Kuri,吉赛尔·库里
Ramón Bugarini,拉蒙·布加里尼
Ariana Calderón,卡尔德隆
Andrés Villarreal,安德烈斯·比利亚雷亚尔
Vanessa Ponce de León,凡妮莎·庞塞
Adrián Ladrón,艾德里安·兰德龙
Juan Pablo de Santiago,胡安·巴勃罗·德·圣地亚哥
Alejandra Frausto Guerrero,亚历杭德拉·弗劳斯托·格雷罗
Fátima Molina,法蒂玛·莫利纳
Nicolasa Ortiz Monasterio,尼古拉莎·奥蒂斯·莫纳斯特里欧
Hoze Meléndez,霍泽·梅兰德斯
Horacio Garcia Rojas,奥拉西奥·加西亚·罗哈斯
Fernando Álvarez Rebeil,费尔南多·阿尔瓦雷斯·雷贝尔
Mario Filio,马里奥·菲利奥
Alan Jonsson,艾伦·琼森
Gerardo Naranjo,赫拉尔多·纳兰霍
B. Traven,B·特拉文
Hugo López-Gatell,雨果·洛佩斯·盖特尔·拉米雷斯
Luis Romano,路易斯·罗马诺
Emiliano Rocha Minter,埃米利亚诺·罗沙·明特
Jesús Alberto Angulo,赫蘇斯·安古洛
Juan Carlos Olivas,胡安·卡洛斯·奥利瓦斯
Patricia Arriaga-Jordán,帕特里夏·阿里亚加 - 约旦
Alejandro Villeli,亚历杭德罗·维利里
Bruno Coronel,布鲁诺·科罗内尔
Javier Olguin,哈维尔·奥尔金
Moises Ivan Mora,莫伊塞斯·伊万·莫拉
Idzi Dutkiewicz,伊兹·杜特凯维奇
Miguel Angel Ghigliazza,米格尔·安吉尔·吉利亚扎
Veronika London,维罗妮卡·伦敦
Xiye Bastida,希耶·巴斯蒂達
Juan Pablo Castañeda,胡安·帕罗·卡斯塔尼达
Miriana Moro,米丽娅纳·莫罗
Ricardo Esquerra,里卡多·埃斯克拉
Martha Claudia Moreno,玛尔塔·克劳迪亚·莫雷诺
Tomás Rojas,托马斯·罗哈斯
Marcelino Islas Hernández,马塞利诺·伊斯拉斯·埃尔南德斯
Margarita Rosado Solís,Margarita Rosado Solís
Luisito Comunica,路易斯·阿图罗·比利亚尔·索德克
Lex Ortega,莱克斯·奥尔特加
Maru Dueñas,马鲁·杜埃尼亚斯
Dyana Ortellí,黛娅娜·欧特里
Brandon Plaza,布蘭登·普拉薩
Carlos Sansores Acevedo,卡洛斯·桑索雷斯
Juan José Sánchez,胡安·桑切斯
Rafael Palacio Illingworth,拉斐尔·帕拉西奥·伊林沃思
Martha Érika Alonso,瑪莎·埃里卡·阿隆索·伊達爾戈
Ángeles Cruz,安赫莱斯·克鲁兹
El Cuatrero,埃尔·夸特雷罗
Jorge Reynoso,乔奇·瑞諾薩
Joel Ocampo Gorostieta,岳厄爾·奧坎波-戈羅斯鐵塔
Marina del Pilar Ávila Olmeda,瑪麗娜·德爾皮拉爾·阿維拉·奧爾梅達
Alejandro Edda,亚历杭德罗·埃达
Aldo Cruz,阿尔多·克鲁斯
Gastón Pavlovich,加斯东·巴甫洛维奇
Eugenio Peschard,歐亨尼奧·佩斯查德
Meneses Monroy,Meneses Monroy
Karla Farfán,卡拉·法尔范
Tato Alexander,塔托·亚历山大
Alfonso Borbolla,阿方索·波博拉
Noe Santillan-Lopez,诺·桑迪兰-洛佩兹
Sugey Ábrego,苏吉·阿布雷戈
Danielle O'Toole,丹妮爾·奧圖爾
Valeria Vera,瓦莱里亚·维拉
Montserrat Marañón,蒙特塞拉特·马拉尼翁
Fernando Almada,费尔南多·阿尔马达
Andrea Arruti,安德里亚·阿鲁蒂
Luis Pérez Raygosa,類斯·佩雷斯-拉伊戈薩
Humberto Hinojosa Ozcáriz,温贝托·伊诺霍萨·奥兹卡里兹
Carlo Corea,卡洛·科雷亚
Sebastián Del Amo,塞巴斯蒂安·德尔阿莫
Pedro González-Rubio,佩德罗·冈萨雷斯-卢比奥
Jesús Seade,施雅德
Leonardo Heiblum,莱昂纳多·海布拉姆
Georgie Flores,乔姬·弗劳瑞斯
Martha Aguillón Martínez,玛莎·阿吉隆·马丁内斯
Beatriz Gutiérrez Müller,蓓阿特莉茲·古鐵雷斯·穆勒
Jorge Caballero,豪爾赫·卡瓦列羅
Bernardo Arellano,贝尔纳多·阿雷利亞諾
Emilio Portes,埃米利奥·波特斯
Rodrigo Herranz,罗德里戈·赫兰兹·范朱尔
Valentina Leduc,瓦伦蒂娜·勒杜克
Natalia Bruschtein,娜塔莉亚·布鲁斯汀
Hatuey Viveros Lavielle,哈土依·维韦罗斯
Víctor Ugarte,维克托·烏加特
Mauricio Isaac,毛里齐奥·艾萨克
Giovanna Reynaud,焦万娜·雷诺
Joselo Rangel,约瑟罗·兰格尔
Cade Cowell,凯德·考威尔
José Alejandro García Muñoz,何塞·亚历杭德罗·加西亚·穆尼奥斯
Gustavo Egelhaaf,古斯塔夫·埃格尔哈夫
Cristina Rodlo,克里斯蒂娜·罗朵
Sansón,桑索尼
Mariel Vázquez,瑪麗爾·巴斯克斯
Ruy Garcia,鲁伊·加西亚
Marcela Fuentes-Berain,马塞拉·富恩特斯·贝兰
Alejandro Rejón Huchin,亚历杭德罗·雷洪
Donovan Carrillo,多诺万·卡里略
Sofía Aragón,索非娅·阿拉贡
Tuco Salamanca,图科·萨拉曼卡
Gabriel Santoyo,加布里埃尔·桑托约
Raul Inglis,劳尔·英格利斯
Gabriela Agundez,加布里埃拉·阿貢德斯
Celina del Villar,瑟林纳·戴尔·维拉尔
Luis Bordonada,路易斯·博尔多纳达
Raymundo Armijo,雷蒙多·阿米乔
German Fabregat,杰曼·法布雷加特
Miguel Ángel Uriegas,米格尔·安格尔·乌里加斯
Rosalba Sotelo,罗莎巴·索泰洛
Iván Bastidas,伊万·巴斯蒂达斯
Pilar Cazares,皮拉尔·卡萨雷斯
Román Arámbula,羅曼·阿蘭博拉
Nicolás Celis,尼古拉斯·塞利斯
Luis Rábago Hernández,路易斯·拉巴戈
Sebastián Athié,塞巴斯蒂安·雅典
Araceli de León,阿拉切利·德·莱昂
Bertha Xóchitl Gálvez Ruiz,索奇特尔·加尔韦斯
Moisés Zonana,Moisés Zonana
Alonso Alvarez,阿隆索·阿尔瓦雷斯
Samantha Siqueiros,薩曼莎·西凱羅斯
Marcela Macias,马塞拉·马西亚斯
