Klaus Ernst,클라우스 에른스트
Kuno von Westarp,쿠노 폰 베스타르프
Harald Schmidt,하랄트 슈미트
Alexander Cejka,알렉스 체이카
Sarah Hecken,자라 헤켄
Peter Hartz,페터 하르츠
Wilhelm Gustloff,빌헬름 구스틀로프
Konrad Henlein,콘라트 헨라인
Kurt Schumacher,쿠르트 슈마허
Liesel Westermann,리젤 베스터만
Peter Roth,페터 로트
Hans Heinrich Lammers,한스 라머스
Ludwig von Battenberg,바텐베르크 공자 루이스
Annegret Kramp-Karrenbauer,안네그레트 크람프카렌바우어
Rolf Kanies,롤프 카니에스
Monika Mann,모니카 만
Hans Krebs,한스 크렙스
Günter Schabowski,귄터 샤보브스키
Ernst August I.,에른스트 아우구스트 1세 폰 작센바이마르아이제나흐 공작
Hennes Junkermann,한스 융커만
Benno Ohnesorg,베노 오네조르크
Theodor Morell,테오도어 모렐
Erhard Eppler,에르하르트 에플러
Stipe Erceg,스티페 에르체그
Georg Keppler,게오르크 케플러
Hans Wolfgang Singer,한스 징거
Ruth Fuchs,루트 푸흐스
Herbert Gille,헤르베르트 오토 길레
Franz Seldte,프란츠 젤테
Otto Ernst Remer,오토 에른스트 레머
Reinhard Genzel,라인하르트 겐첼
Adolf Meyer,아돌프 마이어
Hermann-Bernhard Ramcke,헤르만베른하르트 람케
Albrecht Brandi,알브레히트 브란디
Rosemarie Ackermann,로제마리 아커만
Karl Otto Koch,카를오토 코흐
Carl Stumpf,카를 슈툼프
Rochus Misch,로후스 미슈
Viktoria Luise von Preußen,프로이센의 빅토리아 루이제
Torsten Albig,토르스텐 알비히
Martin Wuttke,마틴 부트케
Johann Reichhart,요한 라이히하르트
Henrik Rödl,헨드리크 뢰들
Frank Wieneke,프랑크 비네케
Sören Kam,쇠렌 캄
Max Raabe,막스 라베
Gebhard Müller,게프하르트 뮐러
Woldemar Voigt,볼데마르 포크트
Antje Traue,안톄 트라우에
Ludwig Müller,루트비히 뮐러
Alexander Gazsi,알렉산더 가지
Wilhelm Groener,빌헬름 그뢰너
Norbert Grupe,윌헴 본 홈버그
Hermann Weingärtner,헤르만 바인게르트너
Aljona Savchenko,알리오나 사브첸코
Franz Josef Jung,프란츠 요제프 융
Otto Günsche,오토 귄셰
Claus Clausen,클라우스 클로슨
Bruno Labbadia,브루노 라바디아
Edelgard Bulmahn,에델가르트 불만
Hans Spemann,한스 슈페만
Ernst Albrecht,에른스트 알브레히트
Elisabeth Röhm,엘리자베스 룀
Martin Sandberger,마르틴 잔트베르거
Jan Hendrik Schön,얀 헨드릭 쇤
Zacharias Ursinus,자카리아스 우르시누스
Günter Wand,귄터 반트
Hermann Gunkel,헤르만 궁켈
Herbert Backe,헤르베르트 바케
Felix Steiner,펠릭스 슈타이너
Roger Shah,로저 샤
Walter Krupinski,발터 크루핀스키
Caspar Olevian,카스파르 올레비아누스
Kurt Maetzig,쿠르트 매치히
Otto Deßloch,오토 데스로흐
Stefanie Zweig,슈테파니 츠바이크
Jörg Fiedler,외어흐 피들러
Helmut Knochen,헬무트 크노헨
Götz Otto,괴츠 오토
Hans-Christoph Seebohm,한스크리스토프 제봄
Detlev Buck,데틀레프 북
Anna-Lena Grönefeld,아나레나 그뢰네펠트
Klaus Wedemeier,클라우스 바데마이어
Carl Runge,카를 다비트 톨메 룽게
Joel Matip,조엘 마티프
Kurt Daluege,쿠르트 달루에게
Ramin Djawadi,라민 자와디
Irmgard Keun,이름가르트 코인
Heinrich Krone,하인리히 크로네
Hedwig Dohm,헤트비히 돔
Regina Halmich,레기나 할미히
Kurt Richter,쿠르트 리히터
Ernst Casimir,에른스트 카시미르 1세
Heinrich von Preußen,알베르트 빌헬름 하인리히
Hans-Jürgen von Arnim,한스위르겐 폰 아르님
Diana Amft,디아나 암프트
Wolfgang Thierse,볼프강 티르제
Erich Priebke,에리히 프리프케
Imke Duplitzer,임케 두플리체어
Karl Koller,카를 콜러
Gisela Arendt,기젤라 아렌트
Fritz Thyssen,프리츠 티센
Claus Offe,클라우스 오페
Friedrich Hoßbach,프리드리히 호스바흐
Patrick Femerling,파트리크 페멀링
Christiane Paul,크리스티아네 파울
Ernst Stuhlinger,에른스트 슈툴링거
Paul Lücke,파울 뤼케
Franziska van Almsick,프란치스카 판알름지크
Curd Jürgens,쿠르트 위르겐스
Shawn Bradley,숀 브래들리
Magnus Hirschfeld,마그누스 히르슈펠트
Roland Freisler,롤란트 프라이슬러
Charles M. Huber,찰스 M. 후버
Hildegard Knef,힐데가르트 크네프
Viktoria von Baden,바덴의 빅토리아
Maria Anna von der Pfalz,팔츠노이부르크의 마리아 아나
Manfred Lahnstein,만프레트 란슈타인
Nicolaus Reimers,니콜라우스 라이머스
Thomas Kretschmann,토마스 크레치만
Maximilian von Weichs,막시밀리안 폰 바이흐스
Rupert Scholz,루페르트 숄츠
Hermann Höcherl,헤르만 회헤를
Raimund Harmstorf,라이문트 하름슈토르프
Ernst Günther Schenck,에른스트귄터 솅크
Elisabeth Schumann,엘리자베스 슈만
Jürgen Stark,위르겐 슈타르크
Mandy Capristo,맨디 카프리스토
Gerhard Frey,게르하르트 프라이
Konrad Hesse,콘라트 헤세
Peter Schreyer,피터 슈라이어
Christian Reitz,크리스티안 라이츠
Viktoria von Hessen-Darmstadt,헤센 공녀 빅토리아
Wolfgang Staudte,볼프강 슈타우터
Herbert Kegel,헤르베르트 케겔
Wolfgang Abendroth,볼프강 아벤트로트
Matthias Platzeck,마티아스 플라체크
Annemarie Renger,아네마리 렝거
Armin Hary,아르민 하리
Otto von Waldburg,오토 폰 발트부르크
Luise Rinser,루이제 린저
Georg Gaffky,게오르크 가프키
Lil Dagover,릴 다고버
Hermann Heller,헤르만 헬러
Ernst-Wolfgang Böckenförde,에른스트볼프강 뵈켄푀르데
Gerard Kleisterlee,헤라르트 클레이스테를레이
Friedrich Kittler,프리드리히 키틀러
Rudolf Koch,루돌프 코흐
Karl Hanke,카를 항케
Curt Sachs,쿠르트 작스
Kronprinz Wilhelm von Preußen,독일 황태자 빌헬름
Michael Schenker,미하엘 솅커
Marina Kiehl,마리나 킬
Christoph Höhne,크리스토프 회네
Udo Samel,우도 사멜
Tomas Maier,토마스 마이어
Josef Rosemeyer,요제프 로제마이어
Hans Ferdinand Mayer,한스 페르디난트 마이어
Anton Ackermann,안톤 아커만
Günter de Bruyn,귄터 드 브루 인
Karl Ritter von Goebel,카를 리터 폰 괴벨
Manfred Stolpe,만프레트 슈톨페
Vadim Glowna,바딤 글로브나
Ska Keller,스카 켈러
Johannes Brandrup,요하네스 브란트루프
Akif Pirinçci,아키프 프린치지
Matthias Erzberger,마티아스 에르츠베르거
Bernhard Rust,베른하르트 루스트
Ernst Krieck,에른스트 크리크
Helmut Käutner,헬무트 코이트너
Dorothea Röschmann,도로테아 뢰슈만
Hans-Heinrich Sievert,한스하인리히 지베르트
Helmut Poppendick,헬무트 포펜디크
Leopold Jessner,레오폴트 예스너
Friedrich Meinecke,프리드리히 마이네케
Hans-Ulrich Wehler,한스-울리히 벨러
Gedeon Burkhard,게데온 부르크하르트
Udo Beyer,우도 바이어
Hans-Jürgen Stumpff,한스위르겐 슈툼프
Nicolas Limbach,니콜라스 림바흐
Max Trapp,막스 트라프
Christine Wenzel,크리스티네 브링커
August Bier,아우구스트 비어
Hubertus Heil,후베르투스 하일
Fady Maalouf,파디 말루프
Albert Speer junior,알베르트 슈페어
Hans Schmidt-Isserstedt,한스 슈미트 이세르슈테트
Gerhard Lamprecht,게르하르트 람프레히트
John Rabe,욘 라베
Emma zu Waldeck und Pyrmont,발데크피르몬트의 엠마
Walter Röhrl,발터 뢰를
Arthur Nebe,아르투어 네베
Hans-Peter Friedrich,한스페터 프리드리히
Stefano Celozzi,슈테파노 첼로치
Käte Strobel,케테 슈트로벨
Loki Schmidt,로키 슈미트
Curt Goetz,쿠르트 괴츠
Theo Lingen,테오 링겐
Markus Schulz,마르쿠스 슐츠
Philipp Rösler,필리프 뢰슬러
Gertrud von le Fort,게르트루트 폰 르포르
Karl Wolff,카를 볼프
Horst Sindermann,호르스트 진더만
Olga Tschechowa,올가 체호바
Andrea Nahles,안드레아 날레스
Friedrich Paschen,프리드리히 파셴
Vera Tschechowa,베라 체호바
Timo Boll,티모 볼
Walther Schreiber,발터 슈라이버
Fritz Wunderlich,프리츠 분더리히
Otto Georg Thierack,오토 게오르크 티라크
Andrea Henkel,안드레아 헹켈
Franz Böhm,프란츠 뵘
Theo Albrecht,테오 알브레히트
Klaus Nomi,클라우스 노미
Klaus Badelt,클라우스 바델트
Sven Hannawald,스벤 하나발트
Silke Lippok,질케 리포크
Ralf Rangnick,랄프 랑니크
Walter Schellenberg,발터 셸렌베르크
Volker Bouffier,폴커 부피어
Ernst Hartert,에른스트 하르테르트
Johannes Ludwig,요하네스 루트비히
Ricco Groß,리코 그로스
Brigitte Mohnhaupt,브리기테 몬하우프트
Sıla Şahin,슬라 샤힌
Uwe Barschel,우베 바르셸
Alexander Straub,알렉산더 슈트라우프
Ferdinand Beyer,페르디난트 바이어
Matthias Ringmann,마티아스 링만
Fritz Spengler,프리츠 슈펭글러
Heide Ecker-Rosendahl,하이데 로젠달
Tibor Pleiß,티보 플라이스
Berthold IV.,베르톨트 4세 폰 체링겐 공작
Rudolf Kempe,루돌프 켐페
Friedrich I.,팔츠 선제후 프리드리히 1세
Vittorio Hösle,비토리오 회슬레
Klaus Töpfer,클라우스 퇴퍼
Uwe Tellkamp,우베 텔캄프
Hans Belting,한스 벨팅
Ottmar Liebert,오트마르 리버베르트
Josef Terboven,요제프 테르보펜
Annegret Richter,안네그레트 리히터
Berthold Laufer,베르톨트 라우퍼
Fritz London,프리츠 론돈
Nicolette Krebitz,니콜레테 크레비츠
Jessica Schwarz,예시카 슈바르츠
Annette Schavan,아네테 샤반
Inge Meysel,잉게 마이젤
Benjamin Lauth,베냐민 라우트
Hanna Neumann,하나 노이만
Dru Berrymore,드루 베리모어
Ingrid Krämer-Gulbin,잉그리트 크레머
Ulric Neisser,율릭 나이서
Gustav Knuth,구스타프 크누트
Sérgio da Silva Pinto,세르지우 핀투
Anja Kling,아냐 클링
Sebastian Thrun,세바스찬 쓰런
Stefan Mappus,슈테판 마푸스
Günther Oettinger,귄터 외팅거
Michael Greis,미하엘 그라이스
Karl Kaufmann,카를 카우프만
Manfred Rommel,만프레트 롬멜
Florian Henckel von Donnersmarck,플로리안 헨켈 폰 도너스마르크
Lothar Späth,로타어 슈파트
Bernhard Glass,베른하르트 글라스
Cornelia Funke,코르넬리아 풍케
Sylvia Hanika,질비아 하니카
Iris Berben,이리스 베르벤
Cornell Borchers,코르넬 보르헤르스
Gerald Götting,게랄트 괴팅
Alice Schwarzer,알리스 슈바르처
Reiner Haseloff,라이너 하셀로프
Rainer Eppelmann,라이너 에펠만
Cédric Makiadi,세드리크 마키아디
Dimitrij Ovtcharov,디미트리 오브차로프
Katarina Witt,카타리나 비트
Jan Ullrich,얀 울리히
Rita Süssmuth,리타 쥐스무트
Wolfgang Güllich,볼프강 귈리히
Claudia Grunwald,클라우디아 그룬발트
Reinhold Münzenberg,라인홀트 뮌첸베르크
Ernst Boris Chain,언스트 체인
Helmut Roleder,헬무트 롤레더
Else Lasker-Schüler,엘제 라스커쉴러
August Horch,아우구스트 호르히
Julian Schuster,율리안 슈스터
Ursula Holl,우르줄라 홀
Wilhelm Stuckart,빌헬름 슈투카르트
Klaus Doldinger,클라우스 돌딩거
Otto Carius,오토 카리우스
Ilse Koch,일제 코흐
Katrin Sass,카트린 자스
Felicitas Woll,펠리시타스 볼
Peter Schreier,페터 슈라이어
Anja Harteros,안야 하르테로스
Karl-Michael Vogler,카를미하엘 포글러
Max Amann,막스 아만
Birgit Hogefeld,비르기트 호게펠트
Ilona Slupianek,일로나 슬루피아네크
Heinrich von Vietinghoff,하인리히 폰 피팅호프
Alexander Graf Lambsdorff,알렉산더 람프스도르프
Georg Dionysius Ehret,게오르크 에레트
"Prinz Wilhelm Karl, Herzog von Urach",빌헬름 카를 폰 우라흐 공작
Leo Geyr von Schweppenburg,레오 가이어 폰 슈페펜베르크
Patrick Hausding,파트리크 하우스딩
Jens Keller,옌스 켈러
Guildo Horn,길도 호른
Heinrich Müller,하인리히 뮐러
Basilea Schlink,바질레아 슐링크
Bernhard Baier,베른하르트 바이어
Guido Westerwelle,기도 베스터벨레
Fritz Stern,프리츠 스턴
Helena Fromm,헬레나 프롬
Kathrin Neimke,카트린 나임케
Tobias Sammet,토비아스 사멧
Angela Winkler,앙겔라 빙클러
Heinz Erhardt,하인츠 에르하르트
Isabel Mundry,이자벨 문드리
Walter Kaufmann,월터 카우프만
Ernst Röhm,에른스트 룀
Erik H. Erikson,에릭 에릭슨
David Kross,다비트 크로스
Ernst August von Hannover,에른스트 아우구스트 폰 하노버
Julius Schreck,율리우스 시레크
Daniel Brühl,다니엘 브륄
Thomas Godoj,토머스 고도이
Hans Henny Jahnn,한스 헤니 얀
Christine Kaufmann,크리스티네 카우프만
Franz Müntefering,프란츠 뮌터페링
Waldemar Bonsels,발데마르 본젤스
Moritz Bleibtreu,모리츠 블라이프트로이
Franz Ningel,프란츠 닝겔
Toni Lang,토니 랑
André Schürrle,안드레 쉬를레
Sylke Otto,질케 오토
Carl Hilpert,카를 힐페르트
Günther Quandt,귄터 크반트
Thomas Prosser,토마스 프로서
Ruth Fischer,루트 피셔
Erich Kempka,에리히 켐프카
Heinz Linge,하인츠 링에
David Möller,다비트 묄러
Natalie Geisenberger,나탈리 가이센베르거
Kathrin Lang,카트린 랑
Robert Ley,로베르트 라이
Mathieu Carrière,마티외 카리에
Silke Spiegelburg,질케 슈피겔부르크
Benjamin Sadler,벤자민 새들러
Uwe Daßler,우베 다슬러
Peter Schlickenrieder,페터 슐리켄리더
Oskar Dirlewanger,오스카르 디를레방거
Martina Müller,마르티나 뮐러
Werner March,베르너 마르히
Martin Dibelius,마르틴 디벨리우스
Veronica Ferres,베로니카 페레스
Karl Gebhardt,카를 게브하르트
Hans Jürgen Eysenck,한스 아이젠크
Marco Hofschneider,마르코 호프슈나이더
Julian Reister,율리안 라이스터
Bettina Bunge,베티나 붕게
Horst Heldt,호르스트 헬트
Max August Zorn,막스 초른
Robert Förster,로베르트 푀르스터
Otto Braun,오토 브라운
Hans Fritzsche,한스 프리체
Andrea Sawatzki,안드레아 사바츠키
Dedê,레오나르두 지 지우스 산투스
Hanns Martin Schleyer,한스마르틴 슐라이어
Wilhelm His,빌헬름 히스 주니어
Günther Rall,귄터 랄
Anna Maria Mühe,안나 마리아 뮈헤
Wolfgang Hilbig,볼프강 힐빅
Eugen Gerstenmaier,오이겐 게르스텐마이어
Wilhelm Uhde,빌헬름 우데
Patrick Reimer,파트리크 라이머
Michael Wolf,미하엘 볼프
Katja Flint,카차 플린트
Karl Grün,카를 테오도어 페르디난트 그륀
Paul Schäfer,파울 셰퍼
Maxi Herber,막시 헤르버
Arthur Scherbius,아르투르 슈르비우스
Andreas Krieger,안드레아스 크리거
Christian Ehrhoff,크리스티안 에어호프
Uwe Krupp,우베 크루프
Wolfgang Borchert,볼프강 보르헤르트
Simone Hauswald,지모네 하우스발트
Harald Weinrich,하랄트 바인리히
Alexander Klaws,알렉산더 클라우스
Max Josef Karl Guido Koch,막스 코흐
Herbert Schade,헤르베르트 샤데
Wolfgang Kapp,볼프강 카프
Lilli Schwarzkopf,릴리 슈바르츠코프
Michaela Gerg,미하엘라 게르크라이트너
Erik Lesser,에리크 레서
Reiner Schöne,순수하고 아름다운
Christoph Wolff,크리스토프 볼프
Fritz Hellwig,프리츠 헬비히
Bruno Streckenbach,브루노 슈트레켄바흐
Therese Giehse,테레제 기제
Katharina Thalbach,카타리나 탈바흐
Mandala Tayde,만다라 테이데
Peter-Jürgen Boock,페터위르겐 보크
Sebastian Koch,제바스티안 코흐
Kamil Glik,카밀 글리크
Heidi Klum,하이디 클룸
Nora Tschirner,노라 치르너
Walter Bruch,발터 브루흐
Kurt Raab,쿠르트 라프
Guido Knopp,"크노프, 귀도."
Roland Emmerich,롤랜드 에머리히
Gottlob Frege,고틀로프 프레게
Serge Gnabry,세르주 그나브리
Rolf Hoppe,롤프 호페
Pascalina Lehnert,파스칼리나 레네르트
Richard Reitzenstein,리하르트 라이첸슈타인
Martin Chemnitz,마르틴 켐니츠
Jens Voigt,옌스 포이크트
Philip Gröning,필립 그로닝
Gerhard Ertl,게르하르트 에르틀
Albert Speer,알베르트 슈페어
Uschi Disl,우시 디즐
Karl-Otto Apel,칼-오토 아펠
Fritz Feld,프리츠 펠드
Sebastian Polter,제바스티안 폴터
Christian Träsch,크리스티안 트레슈
Max Amann,막스 아만
Hans Hotter,한스 호터
Hannah Arendt,한나 아렌트
Kostja Ullmann,코스탸 울만
Conrad Ansorge,콘라트 안조르게
Robert Lehr,로베르트 레어
Konrad Zuse,콘라트 추제
Otto von Guericke,오토 폰 게리케
Herbert Marcuse,헤르베르트 마르쿠제
Günter Blobel,귄터 블로벨
René Pape,르네 파페
Ludwig VI.,루이스 6세 팔라틴 선제후
Hans Frank,한스 프랑크
Michael Stich,미하엘 슈티히
Bernhard von Bülow,베른하르트 폰 뷜로 후작
Albrecht Wellmer,알브레히트 벨머
Katrin Himmler,카트린 힘러
Heiko Gerber,하이코 게르버
Alexander Rădulescu,알렉스 러둘레스쿠
Maren Fromm,마렌 프롬
Maria Schrader,마리아 슈라더
Patrik Kühnen,파트리크 퀴넨
Mandy Wötzel,만디 뵈첼
David Prinosil,다비트 프리노질
Steffen Hamann,슈테펜 하만
Kurt Neumann,커트 뉴먼
Herman Nohl,헤르만 놀
Eckhart Tolle,에크하르트 톨레
Monika Pflug,모니카 플루크
Conrad Schumann,콘라트 슈만
Marco Sturm,마르코 슈투름
Martin Sinner,마르틴 지너
Gaby Bußmann,가비 부스만
Karl Korsch,카를 코르슈
Wolfgang Uhlmann,볼프강 울만
Ilija Trojanow,일리야 트로야노프
Julia Jentsch,율리아 옌치
Britta Heidemann,브리타 하이데만
Ernst Kretschmer,에른스트 크레치머
Hermann Scherchen,헤르만 셰르헨
Aby Warburg,아비 바르부르크
Franz Kröwerath,프란츠 크뢰베라트
Bernhard Neumann,베른하르트 노이만
Karsten Braasch,카르스텐 브라슈
Marvin Plattenhardt,마르빈 플라텐하르트
Dietrich Eckart,디트리히 에카르트
Juliane Köhler,율리아네 쾰러
Kristina Bach,크리스티나 바흐
Monika Treut,모니카 트로이트
Jens Dautzenberg,옌스 다우첸베르크
Lou Bega,루 베가
Max Fürbringer,막스 퓌르브링거
Hans Conzelmann,한스 콘젤만
Alexander von Kluck,알렉산데르 폰 클루크
Wilhelm Backhaus,빌헬름 박하우스
