François Hollande,フランソワ・オランド
Louis-Antoine de Bourbon-Condé,ルイ・アントワーヌ・ド・ブルボン＝コンデ
Hubert de Brienne de Conflans,コフラン伯爵ユベール・ド・ブリエンヌ
Jacques Bretel,ジャック・ブルテル
Louis VII,ルイ7世
Patrick Modiano,パトリック・モディアノ
Stéphanie Foretz,ステファニー・フォレッツ
Sandrine Bonnaire,サンドリーヌ・ボネール
Frida Boccara,フリーダ・ボッカラ
Auguste Bartholdi,フレデリク・バルトルディ
André Lwoff,アンドレ・ルヴォフ
Guillaume Apollinaire,ギヨーム・アポリネール
Béatrice de Rothschild,ベアトリス・ド・ロチルド
Jean Perrin,ジャン・ペラン
Francis Lai,フランシス・レイ
Albert Soboul,ソブールアルベール
Charles VIII,シャルル8世
Charles de France,シャルル・ド・ブルボン
Charles de Freycinet,シャルル・ド・フレシネ
Thierry Omeyer,ティエリー・オメイエール
Luis Federico Leloir,ルイ・ルロワール
Danielle Darrieux,ダニエル・ダリュー
Marie-Louise O'Murphy,マリー＝ルイーズ・オミュルフィ
Nicolas Mahut,ニコラ・マユ
Madame de Lamballe,ランバル公妃マリー・ルイーズ
Tatiana Golovin,タチアナ・ゴロビン
Germaine Dulac,ジェルメーヌ・デュラック
Marguerite Long,マルグリット・ロン
Charles Nicolle,シャルル・ジュール・アンリ・ニコル
Agnès Humbert,アニエス・ユンベール
Christine Arron,クリスティーン・アーロン
Rose Valland,ローズ・ヴァラン
Armand Traoré,アルマン・トラオレ
Mélissa Theuriau,メリッサ・テュリオ
Virginie Ledoyen,ヴィルジニー・ルドワイヤン
Àstrid Bergès-Frisbey,アストリッド・ベルジュ＝フリスベ
Isabelle Autissier,イザベル・オーティシエ
Antoine Becquerel,アントワーヌ・セザール・ベクレル
Marcel Aymé,マルセル・エイメ
Émilie Simon,エミリー・シモン
Clotilde Hesme,クロティルド・エスム
Bảo Đại,バオ・ダイ
Marc-Vivien Foé,マルク＝ヴィヴィアン・フォエ
Nina Berberova,ニーナ・ベルベーロヴァ
Caroline Otero,ラ・ベル・オテロ
Karina Lombard,カリーナ・ロンバード
Jeanne de Chantal,ジャンヌ・ド・シャンタル
Maurice Druon,モーリス・ドリュオン
Jacques Dupont,ジャック・デュポン
Mélanie Laurent,メラニー・ロラン
Camille Pissarro,カミーユ・ピサロ
Sonia Petrovna,ソーニャ・ペドローヴァ
Marie-Laure de Noailles,マリー＝ロール・ド・ノアイユ
Miou-Miou,ミュウ＝ミュウ
Constance de Bretagne,コンスタンス・ド・ブルターニュ
Nathalie Cardone,ナタリー・カルドーヌ
Camille Muffat,カミーユ・ムファ
Michèle Morgan,ミシェル・モルガン
Nina Ricci,ニナ・リッチ
Gabrielle de Polignac,ポリニャック公爵夫人ヨランド・ド・ポラストロン
Christine de Pizan,クリスティーヌ・ド・ピザン
Édouard Lalo,エドゥアール・ラロ
Aimé Césaire,エメ・セゼール
Johann Durand,ジョアン・デュラン
Jean Victor de Besenval de Brünstatt,ジャン・ヴィクトル・ド・ブザンヴァル・ド・ブルンシュタット
Valery Larbaud,ヴァレリー・ラルボー
Aurore Clément,オーロール・クレマン
Lucien Petit-Breton,ルシアン・プティブルトン
Henri Salvador,アンリ・サルヴァドール
Antoine-Laurent de Jussieu,アントワーヌ・ローラン・ド・ジュシュー
Charlotte Gainsbourg,シャルロット・ゲンズブール
Landry Chauvin,ランドリー・ショーヴァン
Wissam Ben Yedder,ウィサム・ベン・イェデル
Yo-Yo Ma,ヨーヨー・マ
André Maurois,アンドレ・モーロワ
Maria Schneider,マリア・シュナイダー
François-Étienne Kellermann,フランソワ・エティエンヌ・ケレルマン
Michel Déon,ミシェル・デオン
Michel Chasles,ミシェル・シャール
Michel Serrault,ミシェル・セロー
Madame Guyon,ギュイヨン夫人
Maria de Medeiros,マリア・デ・メデイロス
Henri Giraud,アンリ・ジロー
René Primevère Lesson,ルネ＝プリムヴェール・レッソン
Marion Clignet,マリオン・クリニェ
Marie-Monique Robin,マリー＝モニク・ロバン
Christine Angot,クリスティン・アンゴット
Diane de Poitiers,ディアーヌ・ド・ポワチエ
Yaacov Agam,ヤコブ・アガム
Zabou Breitman,ザブー
Rose Dione,ローズ・ディオン
Nicole Maurey,ニコール・モーリー
Pierre-Emerick Aubameyang,ピエール＝エメリク・オーバメヤン
Christelle Daunay,クリステル・ドネイ
Joëlle Ursull,ジョエル・ウルシュル
Abel Servien,アベル・セルヴィアン
Sébastien Bassong,セバスティアン・バソング
Attilio Labis,アッティリオ・ラビス
Bertrand Clauzel,ベルトラン・クローゼル
Julie Coin,ジュリー・クワン
Emmanuelle Seigner,エマニュエル・セニエ
Abel Decaux,アベル・ドゥコー
Abel Goumba,アベル・グンバ
Hugo Gélin,ヒューゴ・ジェラン
Abel-François Villemain,アベル＝フランソワ・ヴィルマン
Jean Nicot,ジャン・ニコ
Abel Niépce de Saint-Victor,アベル・ニエプス・ド・サン＝ヴィクトール
Daniel Chalonge,ダニエル・シャロンジュ
Léo Schwechlen,レオ・シュヴェクレ
Florent Manaudou,フローラン・マナドゥ
Adolphe d'Ennery,アドルフ・デネリー
Suger,シュジェール
Olivier Sorlin,オリヴィエ・ソルラン
Jacques Maritain,ジャック・マリタン
Maurice de Hirsch,モーリツ・フォン・ヒルシュ
Jean-Marc Nattier,ジャン＝マルク・ナティエ
Gad Elmaleh,ガッド・エルマレ
Pierre-Henri Teitgen,ピエール＝アンリ・テジャン
Abel Hermant,アベル・エルマン
Abel Hugo,アベル・ユゴー
Paul Cornu,ポール・コルニュ
Yannick Sagbo,ヤニック・サグボ
Pascal Lamy,パスカル・ラミー
Félix Benoist,フェリックス・ブノワ
Anne Brochet,アンヌ・ブロシェ
Ferdinand d'Orléans,フェルディナン・ドルレアン
Abel Pavet de Courteille,アベル・パヴェ・ド・クルテイユ
Raoul Dufy,ラウル・デュフィ
Pascal Chimbonda,パスカル・シンボンダ
Françoise Prévost,フランソワーズ・プレヴォー
Zadoc Kahn,ザドック・カーン
Corinne Hermès,コリンヌ・エルメス
Hélène Cixous,エレーヌ・シクスー
Zacarias Moussaoui,ザカリアス・ムサウイ
Joachim-Jean-Xavier d'Isoard,ジョアヒム＝ジャン＝ザビエル・ディゾアール
Fabrice Ehret,ファブリス・エレ
Laure Manaudou,ロール・マナドゥ
Coco Chanel,ココ・シャネル
François Furet,フランソワ・フュレ
Blanca Li,ブランカ・リー
Ambroise Paré,アンブロワーズ・パレ
Isabelle Aboulker,イザベル・アブルケル
Boris Kaufman,ボリス・カウフマン
Bruno Cremer,ブリュノ・クレメール
José Antonio Santesteban,ホセ・アントニオ・サンテステバン
Jérémie Aliadière,ジェレミー・アリアディエール
Alexandre Koyré,アレクサンドル・コイレ
Jean-Antoine Houdon,ジャン＝アントワーヌ・ウードン
Geneviève Brossard de Beaulieu,ジュヌヴィエーヴ・ブロサール・ド・ボーリュー
Pierre d'Ailly,ピエール・ダイイ
Le Pétomane,ル・ペトマーヌ
Alexis de Tocqueville,アレクシ・ド・トクヴィル
Bernard Lamy,ベルナール・ラミ
Bernard Brunhes,ベルナール・ブリュンヌ
Joseph Philippe François Deleuze,ジョゼフ・フィリップ・フランソワ・ドゥルーズ
Henri Dutilleux,アンリ・デュティユー
Jules Lewal,ジュール・ルワル
Séraphine de Senlis,セラフィーヌ・ルイ
Cécilia Attias,セシリア・アティヤス
Natalya Lisovskaya,ナタリア・リソフスカヤ
Jeanne Ire d'Auvergne,ジャンヌ1世
Marguerite de France,マーガレット・オブ・フランス
Paul Frankeur,ポール・フランケール
Françoise Dorléac,フランソワーズ・ドルレアック
André Vingt-Trois,アンドレ・ヴァン＝トロワ
Joseph Agricol Viala,ジョゼフ・アグリコル・ヴィアラ
Jean-Marie Collot d'Herbois,ジャン＝マリー・コロー・デルボワ
Alexis Bouvard,アレクシス・ブヴァール
André Maginot,アンドレ・マジノ
Julie Clary,ジュリー・クラリー
Paulette Dubost,ポーレット・デュボスト
Lucile Hadzihalilovic,ルシール・アザリロヴィック
Marc-Guillaume-Alexis Vadier,マルク＝ジュリアン・アレクシス・ヴァディエ
Charles Fabry,シャルル・ファブリ
Jean-Baptiste Kléber,ジャン＝バティスト・クレベール
Jacques Thibaud,ジャック・ティボー
Eugène Scribe,ウジェーヌ・スクリーブ
Bonne de Luxembourg,ボンヌ・ド・リュクサンブール
Yvonne Loriod,イヴォンヌ・ロリオ＝メシアン
Mistinguett,ミスタンゲット
The Hacker,ザ・ハッカー
Dany Robin,ダニー・ロバン
Nadia Boulanger,ナディア・ブーランジェ
Pierre Savorgnan de Brazza,ピエール・ブラザ
Alexandre Nikolaïevitch Benois,アレクサンドル・ベノワ
Man Ray,マン・レイ
Joseph Jean Pierre Laurent,ジョゼフ＝ジャン＝ピエール・ロラン
Cassandre,アドルフ・ムーロン・カッサンドル
Abel Bonnard,アベル・ボナール
Robert Gourdon,ロベール・グルドン
Basile Guy Marie Victor Baltus de Pouilly,バジユ・ギュイ・マリー・ヴィクトル・バルトゥ・ド・ポワイー
Coquelin aîné,ブノワ＝コンスタン・コクラン
Leonor Varela,レオノア・ヴァレラ
Marguerite-Marie Alacoque,マルグリット・マリー・アラコク
Emma Shapplin,エマ・シャプラン
Sébastien Grosjean,セバスチャン・グロジャン
Nicolas Douchez,ニコラ・ドゥシェ
Joseph Gelineau,ジョゼフ・ジェリノー
Pierre Tal Coat,ピエール・タル＝コート
Jean-Pierre Cassel,ジャン＝ピエール・カッセル
Claire Keim,クレール・ケーム
Ève Francis,エーヴ・フランシス
Geoffroi Ier de Villehardouin,ジョフロワ1世・ド・ヴィルアルドゥアン
Arletty,アルレッティ
Alix de France,アリックス・ド・フランス
Claudie Haigneré,クローディ・エニュレ
Jeanne Hébuterne,ジャンヌ・エビュテルヌ
Margot Anand,マーゴ・アーナンダ
Pierre Louis Dulong,ピエール・ルイ・デュロン
Claude Gensac,クロード・ジェンサック
Muriel Barbery,ミュリエル・バルベリ
Michèle Mouton,ミシェル・ムートン
Miss Kittin,ミス・キティン
Adamántios Koraïs,アダマンティス・コライス
Edme Mariotte,エドム・マリオット
Maryse Alberti,マリス・アルベルチ
Miralem Pjanić,ミラレム・ピアニッチ
Willy Kurant,ウィリー・クラン
Thierry Henry,ティエリ・アンリ
Mickaël Pagis,ミカエル・パジ
Guillaume Brune,ギヨーム＝マリ＝アンヌ・ブリューヌ
Auguste Verneuil,オーギュスト・ヴィクトル・ルイ・ベルヌーイ
Marie Trintignant,マリー・トランティニャン
Adélaïde Labille-Guiard,アデライド・ラビーユ＝ギアール
Élisabeth Tible,エリザベート・ティブル
Étienne Marcel,エティエンヌ・マルセル
Jeanne de France,ジャンヌ・ド・フランス
Marie de France,マリー・ド・フランス
Élie Halévy,エリー・アレヴィ (ハルファン)
Carlos d'Alessio,カルロス・ダレッシオ
François-Henri de Franquetot de Coigny,フランソワ・アンリ・ド・フランケトー・ド・コワニー
Jules Bianchi,ジュール・ビアンキ
Gilbert Guillaume,ジルベール・ギョーム
Wojciech Pszoniak,ヴォイチェフ・プショニアク
Louis Brière de l'Isle,ルイ・ブリエール
Josquin des Prés,ジョスカン・デ・プレ
Élodie Bouchez,エロディ・ブシェーズ
Dora Maar,ドラ・マール
Carla Bruni,カーラ・ブルーニ
Patrick Vieira,パトリック・ヴィエラ
Marguerite de France,マルグリット・ド・フランス
Renée de France,ルネ・ド・フランス
Hélène Dutrieu,エレーン・デュトリュー
Souphanouvong,スパーヌウォン
Léo Ferré,レオ・フェレ
Edgar Degas,エドガー・ドガ
Agénor de Gasparin,アジェノール・ド・ガスパラン
Xavier Boisselot,グザヴィエ・ボワスロ
Jacques Sternberg,ジャック・ステルンベール
Pierre François Lacenaire,ピエール・フランソワ・ラスネール
Philippe Blasband,フィリップ・ブラスバント
Patrick Chila,パトリック・シーラ
Jean-Baptiste Tavernier,ジャン＝バティスト・タヴェルニエ
Francis Ambrière,フランシス・アンブリエール
Stephanie Szostak,ステファニー・ショスタク
Augustin-Joseph de Mailly,オーギュスタン＝ジョゼフ・ド・マイイ
Jean-Baptiste Faure,ジャン＝バティスト・フォール
Marcel Herrand,マルセル・エラン
Nicolas Fréret,ニコラ・フレレ
Théodore Caruelle d'Aligny,テオドール・カリュエル・ダリニー
Pi Hongyan,ピ・ホンヤン
Aatif Chahechouhe,アーティフ・シャヘシュヘ
Bartholomew Ogbeche,バーソロミュー・オグベチェ
Ivan Bounine,イヴァン・ブーニン
Frédéric Joliot-Curie,フレデリック・ジョリオ＝キュリー
Moïse Kisling,モイズ・キスリング
Joanny-Philippe Lagrula,ジョアニー＝フィリップ・ラグルーラ
Jean-Pierre Doumerc,ジャン＝ピエール・ドメルク
Robert de Torigni,ロベール・ド・トリニー
André Chastel,アンドレ・シャステル
Madeleine de Scudéry,マドレーヌ・ド・スキュデリ
Louise Labé,ルイーズ・ラベ
Louis Lacombe,ルイ・ラコンブ
Jean-Luc Lagardère,ジャン＝リュック・ラガルデール
Pavel Dourov,パーヴェル・デューロフ
Raïs M'Bolhi,ライス・エンボリ
Henry Scheffer,ヘンドリック・シェフェール
Didier Demazière,ディディエ・ドマジエール
Juliette Récamier,ジュリエット・レカミエ
Jean-François Millet,ジャン＝フランソワ・ミレー
Brou Benjamin Angoua,ベンジャミン・アングア
Otar Iosseliani,オタール・イオセリアーニ
Nicolas de Préville,ニコラ・ドゥ・プレヴィユ
Jean-Alain Boumsong,ジャン＝アラン・ブームソン
Pierre Georges,ピエール・ジョルジュ
Milan Rastislav Štefánik,ミラン・シュテファーニク
Jean-Baptiste Camille Corot,ジャン＝バティスト・カミーユ・コロー
Clara Morgane,クララ・モルガン
Fred Vargas,フレッド・ヴァルガス
Madame de Lafayutte,ラファイエット夫人
Raymond Rouleau,レイモン・ルーロー
Jean-Louis Victor Grisart,ジャン＝ルイ・ヴィクトル・グリサール
Marquise de Sévigné,セヴィニエ侯爵夫人マリー・ド・ラビュタン＝シャンタル
Marie NDiaye,マリー・ンディアイ
Louise-Henriette de Bourbon,ルイーズ・アンリエット・ド・ブルボン＝コンティ
