Marsilly (Moselle),马尔西伊·(摩泽尔省)
Monarchie constitutionnelle française (1791-1792),法蘭西王國·(1791年—1792年)
Croixanvec,克鲁瓦桑韦克
Loire,卢瓦尔河
Heidolsheim,艾多尔赛姆
Forstheim,福斯泰姆
Kriegsheim,克里格赛姆
Krautergersheim,克劳泰尔格赛姆
Puyrolland,皮罗朗
Caubon-Saint-Sauveur,科邦-圣索沃尔
Saint-Martin-de-Coux,圣马丁德库
Salignac-de-Mirambeau,萨利尼亚克德米朗博
Neulles,讷勒
Clermont-Soubiran,克莱蒙苏比朗
Gougenheim,古格奈姆
Hegeney,埃格内
Guilliers,吉利耶
Colpo,科尔波
Damgan,达姆冈
Arras,阿拉斯
Alémanique,阿勒曼尼语
Virson,维尔松
Rouffignac,鲁菲尼亚克
Muron,米龙
Le Mans,勒芒
Bordeaux,波尔多
Cublize,屈布利兹
Théâtre antique de Lyon,富維耶山古羅馬劇場
Place des Terreaux,沃土广场
Memmelshoffen,梅默尔索芬
Basilique Notre-Dame de Fourvière,富维耶圣母圣殿
Saint-Pierre-Bois,圣皮埃尔布瓦
Eckartswiller,埃卡茨维莱尔
Schwindratzheim,什温德拉蔡姆
Wilwisheim,维尔维赛姆
Saint-Jean-de-Liversay,圣让德利韦尔赛
Meistratzheim,迈斯特拉蔡姆
Reichshoffen,赖什索芬
Thors (Charente-Maritime),托尔·(滨海夏朗德省)
Sousmoulins,苏穆兰
Villedoux,维勒杜
Salles-sur-Mer,滨海萨勒
Saint-Rogatien,圣罗加西安
Coulx,库尔·(洛特-加龙省)
Seine,塞纳河
Gottenhouse,戈特努斯
Gertwiller,盖特维莱尔
Keffenach,凯弗纳克
Kesseldorf,凯瑟尔多夫
Gottesheim,戈特赛姆
Kirchheim (Bas-Rhin),基尔沙伊姆
Landes (Charente-Maritime),朗德·(滨海夏朗德省)
Morsbronn-les-Bains,莫尔斯布龙莱班
Odratzheim,奥德拉蔡姆
Trimbach (Bas-Rhin),特林巴克
Reutenbourg,勒伊滕堡
Mittelschaeffolsheim,中谢福尔赛姆
Pfalzweyer,普法尔茨韦耶
Sessenheim,塞瑟奈姆
Oberbronn,奥伯布龙
Forstfeld,福斯特费尔德
Riedseltz,里德塞尔茨
Gingsheim,京赛姆
Reinhardsmunster,雷纳尔德斯曼斯泰·(下莱茵省)
Ringendorf,林根多夫
Epfig,埃普菲格
Heiligenstein,艾利根什泰因
Keskastel,凯斯卡斯泰勒
Mothern,莫泰恩
Pfaffenhoffen,普法弗诺芬
Kienheim,基奈姆
Fouday,富代
Niederhausbergen,下奥斯贝根
Obenheim,奥伯奈姆
Noyal-Muzillac,努瓦亚勒-米济亚克
Guénin (Morbihan),盖南·(莫尔比昂省)
Moustoir-Ac,穆斯图瓦尔阿克
Primatiale Saint-Jean de Lyon,里昂主教座堂
Grande synagogue de Lyon,里昂大猶太會堂
Place Antonin-Poncet,安东尼·-·庞塞特广场
Schaffhouse-près-Seltz,塞尔茨附近沙富斯
Lembach,朗巴克
Ronno,罗诺
Eckwersheim,埃克沃赛姆
Niedersoultzbach,下苏茨巴克
Ottwiller,奥特维莱尔·(下莱茵省)
Ohnenheim,奥讷奈姆
Elsenheim,埃尔瑟奈姆
Erckartswiller,埃尔卡茨维莱尔
Niederlauterbach,下劳特巴克
Friesenheim (Bas-Rhin),弗里瑟奈姆
Furchhausen,菲尔绍森
Niedersteinbach,下什泰因巴克
Offendorf,奥芬多夫
Mommenheim,莫默奈姆
Wintzenheim-Kochersberg,温策奈姆-科克斯贝格
Solbach,索尔巴克
Caudan,科当
Nachamps,纳尚
Pommiers-Moulons,波米耶-穆隆
Singrist,辛格里斯特
Schwobsheim,什沃布赛姆
Gestel (Morbihan),热斯泰勒
Guern,盖恩
Camembert (fromage),卡芒贝尔奶酪
Siège d'Alésia,阿莱西亚之战
Hindisheim,因迪赛姆
Rittershoffen,里特索芬
Innenheim,伊讷奈姆
Herrlisheim,埃尔利赛姆
Wisches,维什·(下莱茵省)
Hinsingen,因辛根·(下莱茵省)
Friedolsheim,弗里多尔赛姆
Saint-Loup (Charente-Maritime),圣卢·(滨海夏朗德省)
Saint-Christophe (Charente-Maritime),圣克里斯托夫·(滨海夏朗德省)
Saint-Ouen-la-Thène,圣旺拉泰讷
Elven,埃尔旺
Régime de Vichy,维希法国
.yt,.yt
Wiwersheim,维沃赛姆
Herbitzheim,埃比蔡姆
Hurtigheim,于尔蒂盖姆
Wingen,温根
Sarrewerden,萨尔韦登
Reichstett,赖什泰特
Wintzenbach,温岑巴赫
Saulxures (Bas-Rhin),索叙尔
Eckbolsheim,埃克博尔赛姆
Windstein,温德什泰因
Wingersheim,温格赛姆·(下莱茵省)
Schaffhouse-sur-Zorn,佐恩河畔沙富斯
Ringeldorf,林格尔多夫
Ottersthal,奥特斯塔勒
Neuviller-la-Roche,讷维莱尔拉罗什
Ostwald,奥斯特瓦尔德·(下莱茵省)
Sparsbach,什帕斯巴克
Salenthal,萨伦塔勒
Engwiller,恩维莱尔
Merkwiller-Pechelbronn,梅克维莱尔-佩舍尔布龙
Offwiller,奥夫维莱尔
Malestroit,马莱特鲁瓦
Melrand,梅尔朗
La Gacilly (commune déléguée),拉加西伊·(旧市镇)
Meslan,梅朗·(莫尔比昂省)
Cottenchy,科唐希
Doudelainville,杜德兰维尔
Muzillac,米济亚克
Lignol,利尼奥勒
Guiscriff,吉斯克里夫
Malguénac,马尔盖纳克
Les Fougerêts,莱富日雷
Marzan,马尔藏
Helléan,埃莱昂
Domqueur,栋克尔
Groix,格鲁瓦
Domart-sur-la-Luce,吕斯河畔多马尔
Lanouée,拉努埃
Lanvénégen,朗韦内让
Larmor-Baden,拉莫尔巴当
Étel,埃泰勒
La Croix-Helléan,拉克鲁瓦埃莱昂
Crédin,克雷丹
Gourhel,古雷勒
Le Croisty,勒克鲁瓦斯蒂
Nostang,诺斯唐
Lizio,利济奥
Lantillac,朗蒂亚克
Valsonne,瓦尔索讷
Aéroport de Lyon-Saint-Exupéry,里昂圣埃克絮佩里机场
Rexingen (Bas-Rhin),雷克辛根
Leutenheim,勒伊特奈姆
Mietesheim,米特赛姆
Richtolsheim,里什托尔赛姆
Oermingen,厄尔明根
Orain (Côte-d'Or),奥兰·(科多尔省)
Pouilly-sur-Vingeanne,万雅讷河畔普伊
Saint-Maurice-sur-Vingeanne,万雅讷河畔圣莫里斯
Métro de Lyon,里昂地铁
Funiculaire de Lyon,里昂纜車
Autoroute A6 (France),A6高速公路·(法国)
Quatrième République (France),法兰西第四共和国
Chaume-et-Courchamp,绍姆和库尔尚
Amplepuis,昂普勒皮
Niederschaeffolsheim,下谢福尔赛姆
Niedernai,尼代奈
Salmbach,萨尔姆巴克
Pau,波城
Bourberain,布尔伯兰
Lampertsloch,兰佩茨洛克
Saint-Seine-sur-Vingeanne,万雅讷河畔圣塞纳
Landersheim,兰德赛姆
Licey-sur-Vingeanne,万雅讷河畔利塞
Montigny-Mornay-Villeneuve-sur-Vingeanne,蒙蒂尼-莫尔奈-万雅讷河畔新城
Dampierre-et-Flée,当皮埃尔和弗莱
Fontaine-Française,方丹弗朗赛斯
Moselle (rivière),摩澤爾河
Matzenheim,马策奈姆
Station spatiale internationale,国际空间站
Dompierre-Becquincourt,栋皮埃尔-贝坎库尔
Mamoudzou,马穆楚
Lozanne,洛扎讷
Saint-Tropez,圣特罗佩
Guer,盖尔
Erdeven,埃尔德旺
Mer du Nord,北海·(大西洋)
Naizin,奈赞
Doingt,杜万
Omex,奥梅·(上比利牛斯省)
Chevilly (Loiret),舍维伊
Dinard,迪纳尔·(伊勒-维莱讷省)
Biarritz,比亚里茨
Chamelet,沙姆莱
Monsols,蒙索勒
Dième,迪耶姆
Ternand,泰尔南
Saint-Clément-sur-Valsonne,圣克莱芒叙瓦尔索讷
Grandris,格朗里
Givors,日沃尔
Ichtratzheim,伊什特拉蔡姆
Bourges,布尔日
Albi,阿尔比
Autoroute A340 (France),A340高速公路
Entrevernes,昂特勒韦尔讷
Chaux-des-Crotenay,绍代克罗特奈
Eberbach-Seltz,埃伯巴克-塞尔茨
Bataille de la Somme,索姆河战役
Bon-Encontre,博南孔特尔
Saint-Pardoult,圣帕尔杜·(滨海夏朗德省)
Osthoffen,奥斯托芬
Nordhouse,诺尔杜斯
Sainte-Colombe (Charente-Maritime),圣科隆布·(滨海夏朗德省)
Saint-Sauveur-d'Aunis,圣索沃尔多尼斯
Saint-Vivien (Charente-Maritime),圣维维安
Ternant (Charente-Maritime),泰尔南·(滨海夏朗德省)
Caumont-sur-Garonne,加龙河畔科蒙
Saint-Martin-de-Juillers,圣马丹德瑞耶
Arrondissement de Grenoble,格勒诺布尔区
Geiswiller,盖斯维莱尔
Wimmenau,维默诺
Bournel,布尔内勒
Saint-Froult,圣弗鲁
Saint-Cyr-du-Doret,圣西尔迪多雷
Schwenheim,什韦奈姆
Saint-Jean-Saverne,圣让萨韦尔讷
Mazerolles (Charente-Maritime),马兹罗勒·(滨海夏朗德省)
Polignac (Charente-Maritime),波利尼亚克·(滨海夏朗德省)
Neuvicq,讷维克·(滨海夏朗德省)
Saint-Barthélemy (Antilles françaises),聖巴泰勒米
Marignac (Charente-Maritime),马里尼亚克·(滨海夏朗德省)
Coupe du monde de football 1938,1938年國際足協世界盃
Locmiquélic,洛克米凯利克
Guémené-sur-Scorff,斯科夫河畔盖姆内
Neulliac,讷利亚克
Rivolet,里沃莱
Stade de Gerland,熱爾蘭球場
Oingt,万村
Gare de Lyon-Perrache,里昂佩拉什站
Chambost-Allières,尚博-阿利耶尔
Gare de Lyon-Vaise,里昂韦斯站
Gare de Lyon-Part-Dieu,里昂帕尔迪厄站
Traenheim,特雷奈姆
Herbsheim,埃尔布赛姆
Ittenheim,伊特奈姆
Lobsann,洛布桑
Jetterswiller,耶泰斯维莱尔
Retschwiller,雷奇维莱尔
Hilsenheim,伊尔瑟奈姆
Siewiller,锡维莱尔
Reipertswiller,赖佩尔茨维莱尔
Petersbach,彼得斯巴克
Morschwiller,莫什维莱尔
Rohr (Bas-Rhin),罗尔·(下莱茵省)
Lampertheim (Bas-Rhin),兰佩泰姆
Pacte civil de solidarité,民事互助契約
Mollkirch,莫尔基什
Wittisheim,维蒂赛姆
Siltzheim,锡尔蔡姆
Saint-Martin (île),圣马丁岛
Laubach (Bas-Rhin),劳巴克
Rohrwiller,罗尔维莱尔
Villiers-le-Sec (Nièvre),维利耶勒塞克·(涅夫勒省)
Tracy-sur-Loire,卢瓦尔河畔特拉西
Jour du Souvenir,國殤紀念日
Urzy,于尔济
Vielmanay,维耶尔马奈
Verneuil (Nièvre),韦尔讷伊·(涅夫勒省)
Vignol,维尼奥勒·(涅夫勒省)
Vandenesse,旺德内斯
Saint-Hervé,圣埃尔韦
Olympique de Marseille,马赛奥林匹克
Tronsanges,特龙桑日
Varennes-Vauzelles,瓦雷讷-沃泽勒
Varennes-lès-Narcy,瓦雷讷莱纳尔西
Béhuard,贝于阿尔
Ambillou-Château,昂比尤堡
Vermandois,韦尔芒杜瓦伯国
Tournoi de tennis de Monte-Carlo (ATP 2004),2004年蒙地卡羅大師賽
Bouzillé,布济耶
Baugé,博热·(曼恩-卢瓦尔省)
Chanteloup-les-Bois,尚特卢莱布瓦
Lingolsheim,林戈尔赛姆
Niederbronn-les-Bains,尼德布龙莱班
Sermersheim,塞尔默赛姆
Roppenheim,罗珀奈姆
Ingenheim,英格奈姆
Schalkendorf,沙尔肯多夫
Littenheim,利特奈姆
Hinsbourg,因斯堡
Langensoultzbach,朗根苏茨巴克
Wintershouse,温特苏斯
Otterswiller,奥特斯维莱尔
Saint-Blaise-la-Roche,圣布莱斯拉罗什
Neugartheim-Ittlenheim,讷伊加泰姆-伊特勒奈姆
Saint-Nabor,圣纳博尔·(下莱茵省)
Pont-Noyelles,蓬努瓦耶勒
Alpine (automobile),阿爾卑汽車
Vienne (Isère),维埃纳
Allier (rivière),阿列河
Scharrachbergheim-Irmstett,沙拉克贝尔盖姆-伊姆什泰特
Lixhausen,利克绍森
Romanswiller,罗曼斯维莱尔
Neuwiller-lès-Saverne,讷维莱尔莱萨韦尔讷
Ohlungen,奥隆根
Château de Versailles,凡尔赛宫
Cathédrale Notre-Dame de Paris,巴黎聖母院
Kaltenhouse,卡尔特努斯
Locqueltas,洛凯尔塔斯
Noyalo,努瓦亚洛
Ménéac,梅内阿克
Commune de Paris,巴黎公社
Bourg-en-Bresse,布雷斯地区布尔格
.pm,.pm
Villapourçon,维拉普松
Tresnay,特雷奈
Vitry-Laché,维特里拉谢
Trucy-l'Orgueilleux,特吕西洛格约
Ville-Langy,维尔朗吉·(涅夫勒省)
Bataille de Crécy,克雷西會戰
Campénéac,康佩内阿克
Larmor-Plage,拉莫尔普拉日
Troisième République (France),法兰西第三共和国
Monteneuf,蒙特讷夫
Malansac,马朗萨克
Mauron,莫龙·(莫尔比昂省)
Saint-Victor (Ardèche),圣维克托·(阿尔代什省)
Colombier-le-Vieux,旧科隆比耶
Vaudevant,沃德旺
Languidic,朗吉迪克
Moustoir-Remungol,穆斯图瓦尔-勒曼戈勒
Carnac,卡尔纳克
Grand-Champ,格朗尚
Camors,卡莫尔
Gueltas,盖尔塔斯
Missiriac,米西里亚克
Limerzel,利梅泽勒
Lanvaudan,朗沃当
Hœdic,埃迪克
Inguiniel,安吉涅勒
Seltz,塞尔茨
Ain (département),安省
Eichhoffen,艾绍芬
Cleebourg,克莱堡
Kintzheim,金蔡姆
Bergbieten,贝格比滕
Orschwiller,奥尔什维莱尔
Itterswiller,伊特斯维莱尔
Relations entre la France et le Royaume-Uni,英國—法國關係
Abbeville,阿布维尔
Locmalo,洛克马洛
Férel (Morbihan),费雷勒
Andlau,昂德洛
Scherwiller,谢尔维莱尔
Dieffenthal,迪芬塔勒
Blienschwiller,布林什维莱尔
Schopperten,绍珀滕
Mertzwiller,梅茨维莱尔
Nothalten,诺塔尔滕
Châtenois (Bas-Rhin),沙特努瓦
Muhlbach-sur-Bruche,布吕什河畔米尔巴克
Triembach-au-Val,特林巴克欧瓦勒
Stotzheim,什托蔡姆
Gourin,古兰·(莫尔比昂省)
Locoal-Mendon,洛科阿勒-芒东
La Chapelle-Gaceline,拉沙佩勒加斯利讷
Devesset,德韦塞
Crach,克拉克·(莫尔比昂省)
Lafarre (Ardèche),拉法尔·(阿尔代什省)
Bozas,博扎
Trois-Vèvres,特鲁瓦韦夫尔
Villiers-sur-Yonne,约讷河畔维利耶
Toury-Lurcy,图里-吕尔西
Glénac,格莱纳克
La Grée-Saint-Laurent,拉格雷圣洛朗
Camoël,卡莫埃勒
Guégon,盖贡
Nivillac,尼维亚克
Langonnet,朗戈内
Île-aux-Moines,伊勒欧穆瓦讷
Le Guerno,勒盖尔诺
Issoire,伊苏瓦尔
Labatie-d'Andaure,拉巴蒂当多尔
Arlebosc,阿尔勒博斯克
L'Hôpital-Saint-Blaise,洛皮塔勒圣布莱斯
Vauclaix,沃克莱
Ablaincourt-Pressoir,阿布兰库尔-普雷苏瓦尔
Olwisheim,奥尔维赛姆
Osthouse,奥斯图斯
Gambsheim,加姆赛姆
Varzy,瓦尔济
Hipsheim,伊普赛姆
Niedermodern,下莫登
Schaeffersheim,舍费尔赛姆
Stattmatten,什塔特马滕
Witternheim,维特奈姆·(下莱茵省)
Rimsdorf,里姆斯多夫
Limersheim,利默赛姆
Loire-Atlantique,大西洋卢瓦尔省
Acheux-en-Amiénois,阿舍昂纳米耶努瓦
Landaul,朗多勒
Acheux-en-Vimeu,维默地区阿舍
Aunou-le-Faucon,欧努勒福孔
Premier Empire,法兰西第一帝国
Monterblanc,蒙泰尔布朗
Lauzach,洛扎克
Second Empire,法蘭西第二帝國
Saint-Félicien (Ardèche),圣费利西安·(阿尔代什省)
Saint-Jeure-d'Andaure,圣热尔当多尔
Tintury,坦蒂里
Toury-sur-Jour,茹尔河畔图里
Catacombes de Paris,巴黎地下墓穴
Basilique du Sacré-Cœur de Montmartre,聖心聖殿·(巴黎)
Peyre (Landes),佩尔·(朗德省)
Drée,德雷·(科多尔省)
Saint-Brieuc,圣布里厄
Monget,蒙热·(朗德省)
ESCP Business School,ESCP欧洲高等商学院
Mant,芒·(朗德省)
Pâte feuilletée,酥皮
Angoulême,昂古莱姆
Échannay,埃沙奈
Gergueil,热尔格伊
Gissey-sur-Ouche,乌什河畔日塞
Grenant-lès-Sombernon,格勒南莱松贝农
Grosbois-en-Montagne,格罗布瓦昂蒙塔涅
Mesmont (Côte-d'Or),梅蒙
Mâlain,马兰·(科多尔省)
Montoillot,蒙图瓦约
Prâlon,普拉隆·(科多尔省)
Remilly-en-Montagne,山区勒米伊
Morganx,莫尔冈·(朗德省)
Poudenx,普当·(朗德省)
Lesperon,莱斯珀龙
La Liberté guidant le peuple,自由引导人民
Mont Maudit,莫迪山
Dôme du Goûter,古特圓丘
Mont Blanc du Tacul,勃朗杜塔库峰
Mont Blanc de Courmayeur,庫馬耶勃朗峰
Grande Rocheuse,大洛磯山
Barre des Écrins,巴尔德塞克兰峰
Grandes Jorasses,大若拉斯山
Aiguille Verte,韦尔特山
Calvisson,卡尔维松
Calonges,卡隆日
Gainneville,盖讷维尔
Dior Homme,迪奥男装
Saint-Anthot,圣昂托
Saint-Jean-de-Bœuf,圣让德伯夫
Sainte-Marie-sur-Ouche,乌什河畔圣玛丽
Saint-Victor-sur-Ouche,乌什河畔圣维克托
Savigny-sous-Mâlain,萨维尼苏马兰
Vieilmoulin,维耶伊穆兰
Sombernon,松贝农
Verrey-sous-Drée,韦雷苏德雷
Aisne (département),埃纳省
Bayonne,巴约讷
Vosges (département),孚日省
Barbirey-sur-Ouche,乌什河畔巴尔比雷
Aubigny-lès-Sombernon,欧比尼莱松贝农
Organisation internationale de la francophonie,法语国家及地区国际组织
Hautes-Alpes,上阿尔卑斯省
Blain,布兰
Lafare,拉法尔·(沃克吕兹省)
Arcey (Côte-d'Or),阿尔塞·(科多尔省)
Ancey,昂塞
Agey,阿热·(科多尔省)
Blaisy-Bas,下布莱西
Baulme-la-Roche,博尔姆拉罗什
Blaisy-Haut,上布莱西
Bussy-la-Pesle (Côte-d'Or),比西拉佩勒
Allier (département),阿列省
Arrondissement de Montbard,蒙巴尔区
Bastia,巴斯蒂亚
Jura (département),汝拉省
Alpes-de-Haute-Provence,上普罗旺斯阿尔卑斯省
Argoules,阿尔古勒
Airaines,艾赖讷
Andainville,昂丹维尔
Ailly-sur-Somme,索姆河畔阿伊
Alpes-Maritimes,滨海阿尔卑斯省
Allenay,阿勒奈
Allery,阿勒里
Aizecourt-le-Bas,下艾兹库尔
Assevillers,阿瑟维莱尔
Allaines (Somme),阿莱讷
Ailly-le-Haut-Clocher,阿伊勒欧克洛谢
Aizecourt-le-Haut,上艾兹库尔
Schillersdorf,席勒斯多夫
Saasenheim,萨瑟奈姆
Steinbourg,什泰因堡
Aigneville,艾涅维尔
Andechy,昂德希
Arrest,阿雷·(索姆省)
Armancourt (Somme),阿尔芒库尔
Agenvillers,阿让维莱尔
Oberhoffen-sur-Moder,莫代尔河畔奥伯奥芬
Rothau,罗托
Arvillers,阿尔维莱尔
Lochwiller,洛克维莱尔
Stutzheim-Offenheim,什蒂蔡姆-奥弗奈姆
Gunstett,贡什泰特
Natzwiller,纳茨维莱尔
Assainvillers,阿桑维莱尔
Argœuves,阿尔格沃
Ailly-sur-Noye,努瓦河畔阿伊
Thanvillé,唐维莱
Printzheim,普林蔡姆
Oberlauterbach,上劳特巴克
Dent du Géant,巨人齒峰
Aiguille de Bionnassay,比翁納西峰
Rountzenheim,伦策奈姆
Saessolsheim,塞索尔赛姆
Schleithal,什莱塔勒
Grassendorf,格拉森多夫
Kergrist,凯尔格里斯特
Kerfourn,凯尔富恩
Guéhenno,盖埃诺
Champagne (AOC),香槟酒
Hochstett,奥克什泰特
Pfulgriesheim,普富尔格里赛姆
Odéon antique de Lyon,里昂劇場
Rosteig,罗什泰格
Wolschheim,沃尔沙伊姆
Puberg,皮贝格
Scheibenhard,沙伊伯纳德
Rosenwiller (Bas-Rhin),罗森维莱尔
Obersoultzbach,上苏茨巴克
Eschbach (Bas-Rhin),埃什巴克
Ardèche (département),阿尔代什省
Lohr,洛尔·(下莱茵省)
Oberschaeffolsheim,上谢福尔赛姆
Camblanes-et-Meynac,康布拉讷和梅纳克
Ariège (département),阿列日省
Aube (département),奥布省
Holtzheim,奥尔蔡姆
Mulhausen,米劳森
Mutzenhouse,米策努斯
Mackenheim,马克奈姆
Arry (Somme),阿里·(索姆省)
Allonville,阿隆维尔
Stundwiller,什通德维莱尔
Mohon,莫翁
Lanester,拉内斯泰尔
Langoëlan,朗戈埃朗
Corbie,科尔比
Le Kremlin-Bicêtre,勒克雷姆兰-比塞特尔
Merlevenez,梅尔勒沃内
Molac,莫拉克·(莫尔比昂省)
Landévant,朗代旺
Sundhouse,孙杜斯
Mussig,米西格
Maennolsheim,梅诺尔赛姆
Plobsheim,普洛布赛姆
Haegen,埃根
Fouchy,富希
Kogenheim,科格奈姆
Ratzwiller,拉茨维莱尔
Wolxheim,沃尔克赛姆
Krautwiller,克劳特维莱尔
Kleingœft,小格夫特
Gumbrechtshoffen,贡布雷什措芬
Buhl (Bas-Rhin),比勒·(下莱茵省)
Lutzelhouse,吕策卢斯
Rottelsheim,罗特尔赛姆
Neubois,讷布瓦
Ardennes (département),阿登省
Struth,什特吕特
Schirrhein,希赖恩
Puy-l'Évêque,皮莱韦克
Albert (Somme),阿尔贝
Arguel (Somme),阿尔古埃勒
Marckolsheim,马科尔赛姆
Mackwiller,马克维莱尔
Thal-Drulingen,塔勒德吕林根
Steinseltz,什泰因塞尔茨
Obersteinbach,上什泰因巴克
Schnersheim,什内尔赛姆
Grendelbruch,格伦德尔布吕什
Ernolsheim-Bruche,埃诺尔赛姆-布吕什
Oberdorf-Spachbach,奥伯多夫-什帕克巴克
Rauwiller,劳维莱尔
Hohfrankenheim,奥弗兰克奈姆
Neuhaeusel,讷约伊瑟勒
Hohatzenheim,奥阿策奈姆
Surbourg,叙尔堡
Muttersholtz,米特索尔茨
Zellwiller,泽尔维莱尔
Athies (Somme),阿蒂·(索姆省)
Locmaria-Grand-Champ,洛克马里亚格朗尚
Île-d'Houat,伊勒德瓦特
Montertelot,蒙泰尔特洛
Preuschdorf,普勒伊什多夫
Flexbourg,弗莱克斯堡
Eschwiller,埃什维莱尔
Pfettisheim,普费蒂赛姆
Scherlenheim,谢尔勒奈姆
Schirrhoffen,希罗芬
Tieffenbach,蒂芬巴克
Gâvres,加夫尔
Le Hézo,勒埃佐
Calan,卡朗·(莫尔比昂省)
Locmaria,洛克马里亚
Cléguérec,克莱盖雷克
Île-d'Arz,伊勒达尔
Polynésie française,法屬玻里尼西亞
Rouen,鲁昂
Hennebont,埃讷邦
Josselin (Morbihan),若斯兰
Canal de l'Est,东部运河
Issy-les-Moulineaux,伊西莱穆利诺
Brignac (Morbihan),布里尼亚克·(莫尔比昂省)
Concoret,孔科雷·(莫尔比昂省)
Cléguer,克莱盖尔
Kervignac,凯维尼亚克
Noyal-Pontivy,努瓦亚勒蓬蒂维
Zittersheim,济特赛姆
Eschbourg,埃什堡
Zeinheim,宰奈姆
Quatzenheim,夸策奈姆
Obermodern-Zutzendorf,上莫登-楚岑多夫
Oberhausbergen,上奥斯贝根
Zehnacker,泽纳凯
Gungwiller,贡维莱尔
Zinswiller,津斯维莱尔
Mata Utu,马塔乌图
Hirschland,伊尔什兰
Neewiller-près-Lauterbourg,洛泰堡附近内维莱尔
Inzinzac-Lochrist,安赞扎克-洛克里斯特
Rossfeld,罗斯费尔德
Locmariaquer,洛克马里亚凯尔
Aveyron (département),阿韦龙省
Bouches-du-Rhône,罗讷河口省
Basilique Saint-Martin d'Ainay,圣玛尔定德埃纳圣殿
Hatten,阿滕·(下莱茵省)
Kauffenheim,考弗奈姆
Heiligenberg (Bas-Rhin),艾利根贝格
Kilstett,基尔什泰特
Truchtersheim (commune déléguée),特吕什特赛姆
Fort-Louis,路易堡
Bussy-en-Othe,奥特地区比西
Samer,萨梅
Fessenheim-le-Bas,下费瑟奈姆
Meysse,梅斯·(阿尔代什省)
Saint-Martin-sur-Lavezon,拉韦宗河畔圣马丹
Châtelaillon-Plage,沙泰拉永普拉日
Aytré,艾特雷
Sainte-Soulle,圣苏勒
Diocèse de Carcassonne et Narbonne,天主教卡爾卡松教區
Angoulins,昂古兰
Cellier-du-Luc,塞利耶迪吕克
Saint-Vincent-de-Barrès,圣樊尚德巴雷斯
Saint-Pierre-la-Roche,圣皮埃尔拉罗什
Kurtzenhouse,屈策努斯
Belmont (Bas-Rhin),贝尔蒙·(下莱茵省)
Sceautres,索特尔·(阿尔代什省)
Montdidier (Somme),蒙迪迪耶
Alpes occidentales,西阿爾卑斯山脈
Aude (département),奥德省
Harskirchen,阿尔斯基申
Gœrsdorf,格尔斯多夫
Butteaux,比托
Bessy-sur-Cure,屈尔河畔贝西
Baon,巴翁
Knœrsheim,克讷尔赛姆
Hengwiller,恩维莱尔·(萨韦尔讷区)
Gœrlingen,格尔林根·(下莱茵省)
Vasière,泥滩
Wail,瓦伊·(蒙特勒伊区)
Cantal (département),康塔爾省
Calvados (département),卡爾瓦多斯省
Football Bourg-en-Bresse Péronnas 01,布爾格足球會
Vitry-sur-Seine,塞纳河畔维特里
Pic du Midi d'Ossau,南奥索峰
Pech de Bugarach,比加拉什峰
Saint-André-en-Vivarais,维瓦赖地区圣安德烈
Laval-d'Aurelle,拉瓦勒多雷勒
Bischheim,比沙伊姆
Calvados (eau-de-vie),卡爾瓦多斯白蘭地
Charente-Maritime,滨海夏朗德省
Cher (département),谢尔省
Basilique de l'Immaculée-Conception de Lourdes,圣母无玷始胎圣殿·(卢尔德)
Charente (département),夏朗德省
Sarre-Union,萨尔于尼翁
