код автора на ФантЛабе,ファントラブ 作者ID
Далматово,ダルマトヴォ
Дальнереченск,ダリネレチェンスク
Темников,テムニコフ
Тулун,トゥルン
Газпром,ガスプロム
Гудермес,グデルメス
Городец,ゴロジェッツ
Троицк,トロイツク (チェリャビンスク州)
Трубчевск,トルブチェフスク
Туапсе,トゥアプセ
Давлеканово,ダブレカノボ
Гусь-Хрустальный,グシ＝フルスタリヌイ
Теберда,チェベルダー
Данилов,ダニーロフ
Данков,ダンコフ
Дедовск,デドフスク
Шлиссельбург,シュリッセリブルク
Р216 (автодорога),ロシア連邦道路R215
Военно-Сухумская дорога,スフミ軍用大道路
А184,ロシア連邦道路A184
ХК «Локомотив» (Ярославль),ロコモティフ・ヤロスラヴリ
Большой Зеленчук,ボリショイ・ゼレンチュク
Юла,ユラ川
Тогучин,トグチン
Томари,トマリ
Томмот,トンモト
Тутаев,トゥターエフ
Илеша,イレシャ川
Трёхгорный,トリョフゴールヌイ
Белореченск,ベロレチェンスク
А-108 «Московское большое кольцо»,モスクワ大環状道路
Кола,R21幹線道路
Удачный,ウダーチヌイ
Дивногорск,ジヴノゴルスク
Донавиа,ドンアヴィア
Геленджик,ゲレンジーク
Плесецк,プレセツク宇宙基地
Дмитровск,ドミトロフスク
Дно,ドノー
Десногорск,デスノゴルスク
Дзержинский,ジェルジンスキー
Сосновый Бор,ソスノヴイ・ボール
Тихвин,チフヴィン
Анапа,アナパ
Таруса,タルーサ
Димитровград,ディミトロフグラード
Дигора,ディゴラ
Мраморный дворец,大理石宮殿
Кутузовский проспект,クツゾフスキー
Военная академия бронетанковых войск,マリノフスキー装甲士官学校
А161 (автодорога),ロシア高速道路A161号
Туринск,トゥリンスク
Флаг Адыгеи,アディゲ共和国の国旗
Ливадия,リヴィジヤ
Российско-кубинские отношения,キューバとロシアの関係
M-1 Global,M-1 Global
Крымск,クルイムスク
Донской,ドンスコイ
Кореновск,コレノフスク
Домодедово,ドモジェドヴォ
Красин,クラーシン号
68-я параллель северной широты,北緯68度線
Ваганьковское кладбище,ヴァガンコフ墓地
Унеча,ウネーチャ
Урай,ウライ
Шахматная олимпиада 1994,第31回チェス・オリンピアード
Мехреньга,ミェフレンガ川
Демидов,デミドフ
Армавир,アルマヴィル
Дятьково,ジャチコヴォ
федеральный округ России,連邦管区
Тында,ティンダ
Урус-Мартан,ウルス・マルタン
Усинск,ウシンスク
Дубна,ドゥブナ
Долгопрудный,ドルゴプルドニ
Долинск,ドリンスク
грузины,カルトヴェリ人
Енисейск,エニセイスク
Усолье-Сибирское,ウソリエ・シビルスコエ
Усмань,ウスマン
Усолье,ウソーリエ
Дахадаевский район,ダッカイェブスキー地区
Коликъёган,コレキエガン川
Крымский район,クリムスキー地区
Полянка,ポリャンカ駅
St. Petersburg Open,サンクトペテルブルク・オープン
Оять,オヤチ川
Чемпионат России по футболу 2008,ロシア・プレミアリーグ 2008
киргизы,キルギス人
Пелым,ペリム川
Лётно-исследовательский институт имени М. М. Громова,グロモフ飛行研究所
Футболист года в России,ロシア年間最優秀サッカー選手賞
Углич,ウグリチ
Духовщина,ドゥホフシチーナ
Дудинка,ドゥディンカ
Уварово,ウヴァロヴォ
Углегорск,ウグレゴルスク
Таймырский Долгано-Ненецкий район,タイミル・ドルガン＝ネネツ地区
Менделеевская,メンデレーエフスカヤ駅
Удомля,ウドムリャ
Уссурийск,ウスリースク
Узловая,ウズロヴァヤ
Дорогобуж,ドロゴブージ
Егорьевск,エゴリエフスク
Усть-Кут,ウスチ＝クート
Олонецкий район,オロネツキー地区
Молокане,モロカン派
Усть-Илимск,ウスチ・イリムスク
Усть-Катав,ウスチ＝カタフ
Покшеньга,ポクシェンガ
