Massachusetts,매사추세츠주
National Defense Research Committee,국방연구위원회
"Sarasota County, Florida",새러소타군
"Cedar County, Nebraska",시더군 (네브래스카주)
Samsung Ativ S,삼성 아티브 S
"Stewart County, Georgia",스튜어트군 (조지아주)
Discovery Kids (United States),디스커버리 키즈
FYI (American TV channel),FYI (미국의 텔레비전 채널)
Lumen Field,루멘 필드
Smosh,스모쉬
115th meridian west,서경 115도
"Algona, Iowa",앨고나 (아이오와주)
"Breaux Bridge, Louisiana",브로브리지
Massachusetts v. EPA,매사추세츠 대 환경보호국 사건
St. Louis Eagles,세인트루이스 이글스
Bridgewater Associates,브리지워터 어소시에이츠
Detroit Metropolitan Airport,디트로이트 메트로폴리탄 웨인 카운티 공항
Miami Marlins,마이애미 말린스
"Union County, Ohio",유니언군 (오하이오주)
"Washington County, Ohio",워싱턴군 (오하이오주)
"Lewis County, Tennessee",루이스군 (테네시주)
"Montgomery County, Tennessee",몽고메리군 (테네시주)
"Sequatchie County, Tennessee",스쿼치군
Bluetooth Special Interest Group,블루투스 스페셜 인터레스트 그룹
"Broomfield, Colorado",브룸필드 (콜로라도주)
"Centralia, Pennsylvania",센트레일리아 (펜실베이니아주)
Silicon Graphics,실리콘 그래픽스
Def Jam Recordings,데프 잼 레코딩스
"Dodge City, Kansas",도지시티
"Jasper County, Missouri",재스퍼군 (미주리주)
"Yellowstone County, Montana",옐로스톤군
"Braxton County, West Virginia",브랙스턴군
"Venango County, Pennsylvania",베낭고군
"Garfield County, Washington",가필드군 (워싱턴주)
NEET,니트족
Care International,국제 원조 구호 기구
"Broward County, Florida",브로워드군
"St. Lucie County, Florida",세인트루시군
"Appomattox County, Virginia",아포맷톡스군
"Gentry County, Missouri",젠트리군
"Oconto County, Wisconsin",오콘토군
"Monmouth County, New Jersey",먼마우스군 (뉴저지주)
"Salem County, New Jersey",살렘군
1999 National Society of Film Critics Awards,1999년 전미 비평가 협회상
2009 CONCACAF Gold Cup,2009년 CONCACAF 골드컵
Comerica Center,코메리카 센터
Hawaiian–Emperor seamount chain,하와이-엠페러 해저산열
People Express Airlines (1980s),피플 익스프레스 항공
Prince William Sound,프린스 윌리엄 해협
Pulitzer Prize for Feature Photography,퓰리처상 특집 사진 부문
Bill %26 Melinda Gates Foundation,빌 %26 멀린다 게이츠 재단
Cell (journal),셀 (잡지)
Bentley University,벤틀리 대학교
"Emmet County, Michigan",에밋군 (미시간주)
"Warren County, Illinois",워런군 (일리노이주)
"Etowah County, Alabama",에토와군
United States Forces Korea,주한 미군
"Warren County, Georgia",워런군 (조지아주)
Battle of Saipan,사이판 전투
Academy Honorary Award,아카데미 공로상
Epperson v. Arkansas,에퍼슨 대 아칸소 사건
Mars Inc.,마즈 (기업)
"Elk County, Pennsylvania",엘크군 (펜실베이니아주)
"Gem County, Idaho",젬군
"Jefferson County, Idaho",제퍼슨군 (아이다호주)
"Wayne County, West Virginia",웨인군 (웨스트버지니아주)
"Webster County, West Virginia",웹스터군 (웨스트버지니아주)
"Bradenton, Florida",브레이든턴
"Roswell, Georgia",로즈웰 (조지아주)
Arizona State Route 71,애리조나주도 제71호선
Miami University,마이애미 대학교 (오하이오주)
The New School,뉴 스쿨
"Simpson County, Kentucky",심슨군 (켄터키주)
"Spencer County, Kentucky",스펜서군 (켄터키주)
"Idaho Falls, Idaho",아이다호폴스
Colorado Rapids,콜로라도 래피즈
FC Dallas,FC 댈러스
Hawaiian Airlines,하와이안 항공
"Stanley County, South Dakota",스탠리군 (사우스다코타주)
"Stephens County, Oklahoma",스티븐스군 (오클라호마주)
"Vernon County, Missouri",버넌군 (미주리주)
"Iron County, Michigan",아이언군 (미시간주)
"Webster County, Missouri",웹스터군 (미주리주)
"Yadkin County, North Carolina",야드킨군
"Laurel County, Kentucky",로렐군
"Magoffin County, Kentucky",마고핀군
1932 Winter Olympics medal table,1932년 동계 올림픽 메달 집계
Flag of Florida,플로리다주의 기
Infinity Ward,인피니티 워드
"Caroline County, Maryland",캐럴라인군 (메릴랜드주)
"Jackson County, Wisconsin",잭슨군 (위스콘신주)
"Bartholomew County, Indiana",바솔로뮤군
"Marshall County, West Virginia",마셜군 (웨스트버지니아주)
"Socorro, New Mexico",소코로 (뉴멕시코주)
"Juniata County, Pennsylvania",주니아타군
"Todd County, Kentucky",토드군 (켄터키주)
"Lamoille County, Vermont",라모일군
"Northumberland County, Virginia",노섬벌랜드군 (버지니아주)
Christie's,크리스티스
"Taylor County, Florida",테일러군 (플로리다주)
"Carroll County, Indiana",캐럴군 (인디애나주)
"Chatham County, North Carolina",채텀군 (노스캐롤라이나주)
"Jackson County, West Virginia",잭슨군 (웨스트버지니아주)
"Greene County, Indiana",그린군 (인디애나주)
"Spotsylvania County, Virginia",스포칠베이니아군
14th Academy Awards,제14회 아카데미상
"Coral Springs, Florida",코럴스프링스
"Mitchell County, North Carolina",미첼군 (노스캐롤라이나주)
"San Marcos, California",샌마코스 (캘리포니아주)
"Shelby County, Kentucky",셸비군 (켄터키주)
"Cumberland County, North Carolina",컴벌랜드군 (노스캐롤라이나주)
"Talbot County, Maryland",탤벗군 (메릴랜드주)
Athletics at the 1932 Summer Olympics,1932년 하계 올림픽 육상
Comscore,컴스코어
Flag of Utah,유타주의 기
University of Colorado Boulder,콜로라도 대학교 볼더
1826–27 United States Senate elections,1826년 미국 상원의원 선거
"Buford, Wyoming",핀델리
FX (TV channel),FX (텔레비전 채널)
"Stone County, Missouri",스톤군 (미주리주)
"Valley County, Montana",밸리군 (몬태나주)
"Natchitoches Parish, Louisiana",내커터시군
"St. Mary Parish, Louisiana",세인트메리군
FedEx Express,페덱스 익스프레스
"Johnson City, Tennessee",존슨시티 (테네시주)
Washington station (Los Angeles Metro),워싱턴역 (로스앤젤레스)
"Williamsburg, Brooklyn",윌리엄스버그 (브루클린)
Pennsylvanian (train),펜실베이니언 (열차)
Pittsburgh Pirates,피츠버그 파이리츠
Garmin,가르민
Google I/O,구글 I/O
Indian Removal Act,인디언 이주법
Major League Baseball Manager of the Year Award,올해의 감독상
Mount Cleveland (Alaska),클리블랜드산
New York University Tisch School of the Arts,티시 예술대학
"Madison Parish, Louisiana",매디슨군 (루이지애나주)
"St. John the Baptist Parish, Louisiana",세인트존더밥티스트군
"Palm Beach, Florida",팜비치
TNT (American TV network),터너 네트워크 텔레비전
Arizona Territory,애리조나 준주
Axis of Justice,액시스 오브 저스티스
Cinco de Mayo,싱코 데 마요
LGBT rights in the United States,미국의 성소수자 권리
"Scott County, Missouri",스콧군 (미주리주)
"Shannon County, Missouri",섀넌군 (미주리주)
"Stoddard County, Missouri",스토다드군
"Charlevoix County, Michigan",샤를부아군 (미시간주)
Arkansas RiverBlades,아칸소 리버블레이즈
Arkansas Territory,아칸소 준주
"Las Vegas, New Mexico",라스베이거스 (뉴멕시코주)
Moody's Corporation,무디스
"Manteo, North Carolina",맨테오
Mount Shishaldin,시살딘 화산
"Río Piedras, Puerto Rico",리오피에드라스
Ronald Reagan Washington National Airport,로널드 레이건 워싱턴 내셔널 공항
Maryknoll Society,메리놀회
Mobb Deep,맙딥
Saint Louis University,세인트루이스 대학교
Switchfoot,스위치풋
"Delaware County, Indiana",델라웨어군 (인디애나주)
New York City Fire Museum,뉴욕 소방 박물관
"Sargent County, North Dakota",사전트군
"St. Mary's County, Maryland",세인트메리스군
"Louisa County, Virginia",루이자군 (버지니아주)
"Stutsman County, North Dakota",스터츠먼군
1792 United States presidential election,1792년 미국 대통령 선거
1920 United States presidential election,1920년 미국 대통령 선거
1928 United States presidential election,1928년 미국 대통령 선거
Nationals Park,내셔널스 파크
University of Denver,덴버 대학교
Best Buy,베스트 바이
2016 United States presidential election,2016년 미국 대통령 선거
GRACE and GRACE-FO,GRACE (우주선)
Pennsylvania Dutch,펜실베이니아 더치
"Hagerstown, Maryland",헤이거스타운 (메릴랜드주)
Puerto Rico national baseball team,푸에르토리코 야구 국가대표팀
Pyramid Lake (Nevada),피라미드호 (네바다주)
United States at the 1932 Winter Olympics,1932년 동계 올림픽 미국 선수단
"Champaign, Illinois",섐페인 (일리노이주)
"Cicero, Illinois",시서로 (일리노이주)
Cru (Christian organization),대학생 선교회
Bennington College,베닝턴 대학교
"Rexburg, Idaho",렉스버그
San Diego Zoo,샌디에이고 동물원
Boston Marathon,보스턴 마라톤
"Broken Arrow, Oklahoma",브로큰애로 (오클라호마주)
"Dublin, California",더블린 (캘리포니아주)
"Mahnomen County, Minnesota",마노먼군
"Bayamón, Puerto Rico",바야몬
Bronx Zoo,브롱크스 동물원
Foreign policy of the United States,미국의 외교 정책
High Roller (Ferris wheel),하이 롤러 (대관람차)
"Franklin, Massachusetts",프랭클린 (매사추세츠주)
General Educational Development,GED
"Pickens County, Alabama",피켄스군 (앨라배마주)
Ted (airline),테드 항공
NBA Finals,NBA 파이널
Precision Manuals Development Group,PMDG
1997 Major League Baseball expansion draft,1997년 메이저 리그 베이스볼 확장 드래프트
American Film Market,아메리칸 필름 마켓
"Evanston, Wyoming",에번스턴 (와이오밍주)
Sports Tracker,스포츠 트래커
United States v. Lopez,미국 대 로페즈 사건
Discovery Program,디스커버리 프로그램
Loebner Prize,뢰브너 상
The Dallas Morning News,댈러스 모닝 뉴스
McCulloch v. Maryland,맥컬록 대 메릴랜드 주 사건
CBS Corporation,CBS 코퍼레이션
"Havre, Montana",해버
Kings Island,킹스 아일랜드
Citrix Systems,시트릭스 시스템즈
"Marshalltown, Iowa",마셜타운
Sony Ericsson Xperia X10,소니 에릭슨 엑스페리아 X10
"Vista, California",비스타 (캘리포니아주)
TruTV,TruTV
"New Rochelle, New York",뉴로셸
New York City Marathon,뉴욕 마라톤
Tribeca,트라이베카
Zope,Zope
"Battle of Gettysburg, first day",게티즈버그 7월 1일 전투
Institute for Science and International Security,과학국제안보연구소
Nomura Securities,노무라 증권
Printer Command Language,프린터 명령 언어
"Camarillo, California",캐머릴로
Death Row Records,데스 로 레코드
Pacific Surfliner,퍼시픽 서프라이너
"Delaware City, Delaware",델라웨어시티
National Air and Space Museum,국립항공우주박물관
United States at the 1980 Winter Olympics,1980년 동계 올림픽 미국 선수단
Big stick ideology,곤봉정책
"Grand Terrace, California",그랜드테라스
"Latimer County, Oklahoma",라티머군
1828–29 United States House of Representatives elections,1828년 미국 하원의원 선거
BEA Systems,BEA 시스템즈
Bang Bros,뱅 브로스
"Bayonne, New Jersey",베이온
Minnesota Farmer–Labor Party,미네소타 농민노동당
Jim Crow laws,짐크로 법
Second Party System,제2 정당제 (미국)
Underground Railroad,지하철도 (비밀결사)
Bear Lake (Idaho–Utah),베어호 (아이다호주-유타주)
"Beckley, West Virginia",베클리 (웨스트버지니아주)
Belvedere Castle,벨비디어성
Siege of Boston,보스턴 포위전
Hollywood Boulevard,할리우드 대로
BET,BET
"Peekskill, New York",픽스킬
Lincoln Near-Earth Asteroid Research,링컨 근지구 소행성 연구
Fort Sumter,섬터 요새
Seagram Building,시그램 빌딩
"Monroe County, Wisconsin",먼로군 (위스콘신주)
Royal Caribbean International,로얄캐리비안 인터내셔널
Atlanta Dream,애틀랜타 드림
"Atlantic, Iowa",애틀랜틱 (아이오와주)
Atlas Air,아틀라스 항공
Binghamton Rumble Ponies,빙엄턴 메츠
San Diego Mariners,샌디에이고 매리너스
Battle of Valcour Island,발쿠르섬 전투
"La Crosse, Wisconsin",라크로스 (위스콘신주)
Motorola Mobility,모토로라 모빌리티
San Francisco Symphony,샌프란시스코 교향악단
Battle of Upperville,어퍼빌 전투
Esquire (magazine),에스콰이어 (잡지)
Alaska Airlines,알래스카 항공
World Series of Poker,월드 시리즈 오브 포커
"Loveland, Ohio",러브랜드 (오하이오주)
"Mill Valley, California",밀밸리
MOS Technology,모스 테크놀로지
Cleveland Monsters,클리블랜드 몬스터스
"Montrose, Colorado",몬트로즈 (콜로라도주)
"Spring Valley, Nevada",스프링밸리 (네바다주)
"Marietta, Georgia",매리에타 (조지아주)
"Montclair, California",몬트클레어 (캘리포니아주)
Albert Lasker Award for Basic Medical Research,앨버트 래스커 기초 의학 연구상
Buffalo Bisons (AHL),버펄로 바이슨스 (AHL)
"Port Huron, Michigan",포트휴런
Lookout Mountain,룩아웃 산맥
Miss America,미스 아메리카
Southwestern United States,미국 남서부
Firaxis Games,파이락시스 게임스
"Buffalo Grove, Illinois",버펄로그로브
"Dickinson, Texas",디킨슨 (텍사스주)
Sears Holdings,시어스 홀딩스
"Martinsburg, West Virginia",마틴즈버그 (웨스트버지니아주)
"Middletown, Rhode Island",미들타운 (로드아일랜드주)
"Montecito, California",몬테시토
"Edinburg, Texas",에딘버그 (텍사스주)
"Greenville, Texas",그린빌 (텍사스주)
"U.S. Army Southern European Task Force, Africa",남유럽-아프리카 태스크포스
Febreze,페브리즈
Fencing at the 1904 Summer Olympics,1904년 하계 올림픽 펜싱
Image Comics,이미지 코믹스
"Watsonville, California",왓슨빌
Weightlifting at the 1984 Summer Olympics,1984년 하계 올림픽 역도
"Gainesville, Texas",게인즈빌 (텍사스주)
"San Marcos, Texas",샌마코스 (텍사스주)
"Covina, California",코비나
"Saint John, U.S. Virgin Islands",세인트존섬
"Crawford, Colorado",크로퍼드 (콜로라도주)
Fulton Center,풀턴 센터
"Hudson, New York",허드슨 (뉴욕주)
"Point Pleasant, New Jersey",포인트플레전트 (뉴저지주)
Battle of Long Island,롱아일랜드 전투
"Mount Vernon, Washington",마운트버넌 (워싱턴주)
"Ridgecrest, California",리지크레스트 (캘리포니아주)
"Douglas, Wyoming",더글러스 (와이오밍주)
New-York Tribune,뉴욕 트리뷴
"Sherman, Texas",셔먼 (텍사스주)
Caldecott Medal,콜더컷상
Empower Field at Mile High,임파워 필드 앳 마일하이
