Tours,투르
Crise du 6 février 1934,1934년 2월 6일 위기
Populisme (littérature),포퓔리슴
Doctorat ès lettres (France),예술학 박사
Division navale d'Extrême-Orient,프랑스 극동 전대
Élections législatives françaises de 1906,1906년 프랑스 총선
Brocéliande,브로셀리앙드
Grand Troyes,트루아 마을 그룹
Route européenne 711,유럽 고속도로 711호선
Élections cantonales françaises de 1970,1970년 프랑스 캉통 선거
Élections municipales françaises de 1965,1965년 프랑스 뮈니시팔 선거
Musée du Sel (La Réunion),소금박물관 (레위니옹)
Jeu de boules aux Jeux olympiques de 1900,1900년 하계 올림픽 불
Mairie de Paris,파리 시청
Semaine de la mode de Paris,파리 패션 위크
Jeux des îles de l'océan Indien 1979,1979년 인도양 게임
Colombophilie aux Jeux olympiques de 1900,1900년 하계 올림픽 비둘기레이싱
Conférence de Paris de 2015 sur les changements climatiques,2015년 유엔 기후 변화 회의
Démographie de la Guadeloupe,과들루프의 인구
Grandes villes d'eaux d'Europe,유럽의 대 온천 마을
Les Joueurs de cartes (Cézanne),카드놀이하는 사람들
Canton d'Attignat,아티냐 캉통
France aux Jeux olympiques d'été de 2016,2016년 하계 올림픽 프랑스 선수단
Festival de Cannes 2017,2017년 칸 영화제
La France insoumise,불복하는 프랑스
Chazey-Bons,샤제봉
Génération.s,운동세대
Mouvement des Gilets jaunes,노란 조끼 운동
Attentat du marché de Noël de Strasbourg,2018년 스트라스부르 총기 난사 사건
Trophée Yachine,야신 트로피
Coupe de la Ligue française de football 2019-2020,2019-20년 쿠프 드 라 리그
Hôtel de Rambouillet,오텔 드 랑부예
Université Paris-Saclay,파리-사클레 대학교
Pandémie de Covid-19 en Océanie,오세아니아의 코로나19 범유행
VLA2001,발네바 코로나19 백신
Championnat de France de football 2021-2022,리그 1 2021-22
Français,프랑스어
Tour Eiffel,에펠탑
Olympique lyonnais,올랭피크 리옹
Poissy,푸아시
Alpine F1 Team,알핀 F1 팀
Alpes grées,그라이안알프스산맥
Cahors,카오르
Abbaye d'Hautecombe,오트콩브 수도원
Lorraine,로렌
Bataille de Valmy,발미 전투
Gare de Lyon-Perrache,리옹-페라쉬역
Jeux olympiques d'hiver de 1992,1992년 동계 올림픽
Saint-Tropez,생트로페
Pas-de-Calais,파드칼레주
Oise (département),우아즈 (데파르트망)
Haut-Rhin,오랭주
Haute-Vienne,오트비엔주
Puligny-Montrachet,퓔리니몽트라셰
Haute-Normandie,오트노르망디
Dachstein,다흐슈타인 (바랭주)
Les Quinze Joies de mariage,결혼의 열다섯 가지 재미
Gaule,갈리아
Dunkerque,됭케르크
Art gothique,고딕 미술
Trophée des champions 2022,트로페 데 샹피옹 2022
Alpes,알프스산맥
Cantal (département),캉탈 (데파르트망)
Alpine (automobile),알파인 자동차
Pacte civil de solidarité,시민연대계약
Relations entre la France et le Royaume-Uni,영국-프랑스 관계
Allociné,알로시네
Mata Utu,마타우투
Landes (département),랑드 (데파르트망)
Nantes,낭트
Loir-et-Cher,루아레셰르
Meuse (département),뫼즈 (데파르트망)
Moselle (département),모젤 (데파르트망)
Nièvre (département),니에브르
Auguste et Louis Lumière,뤼미에르 형제
Lettons,라트비아인
Corrèze (département),코레즈 (데파르트망)
Mer Méditerranée,지중해
Marseille,마르세유
Vendée (département),방데 (데파르트망)
Mayotte,마요트
France Culture,프랑스 퀼튀르
Corse (langue),코르시카어
.nc,.nc
Manche (mer),영국 해협
Aérospatiale AS350 Écureuil,유로콥터 AS350 에퀴아이
Aérospatiale AS550/555 Fennec,유로콥터 페넥
Auvergnat,오베르뉴어
Ndjuka (langue),은쥬카어
Organisation européenne pour la recherche nucléaire,유럽 입자 물리 연구소
Cayenne,카옌
Équipe de France de football,프랑스 축구 국가대표팀
Chamonix-Mont-Blanc,샤모니
Union des démocrates et indépendants,민주당-무소속 연합
L'Haÿ-les-Roses,라이레로즈
Ligne 5 du métro de Paris,파리 메트로 5호선
Viaduc de Millau,미요 대교
Communauté de Taizé,떼제 공동체
Neustrie,네우스트리아
Monarchie constitutionnelle française (1791-1792),프랑스 입헌왕국
Montagne Pelée,플레산
Villeurbanne,빌뢰르반
Rhône,론강
Sarthe (département),사르트 (데파르트망)
Saint-Mandé,생망데
Seine-et-Marne,세네마른
.gf,.gf
Épinal,에피날
Liste des communes de l'Aube,오브주의 코뮌 목록
Autun,오툉
Oyonnax,오요나
.yt,.yt
110 mètres haies aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 110m 허들
.pm,.pm
L'Oréal,로레알
Route européenne 60,유럽 고속도로 60호선
Le Bouscat,르부스카
Frères Montgolfier,몽골피에 형제
Nantua,낭튀아
Lanester,라네스테르
Lorient,로리앙
Cour européenne des droits de l'homme,유럽인권법원
Terres australes et antarctiques françaises,프랑스령 남방 및 남극 지역
Archipel de la Société,소시에테 제도
Antibes,앙티브
Chartres,샤르트르
Serbes,세르브인
Bataille de Verdun,베르됭 전투
Institut national de la statistique et des études économiques,국립 통계 경제 연구소
Association de la jeunesse auxerroise,AJ 오세르
Franc français,프랑스 프랑
Olympique Gymnaste Club de Nice,OGC 니스
Racing Club de Lens,RC 랑스
Basse-Terre (île en Guadeloupe),바스테르섬
Eurostar,유로스타
Front de l'Ouest (Première Guerre mondiale),서부 전선 (제1차 세계 대전)
Saint-Nazaire,생나제르
Niort,니오르
Brignoles,브리뇰
Vêpres siciliennes,시칠리아 만종 사건
Saint-Dizier,생디지에
Vierzon,비에르종
Charolles,샤롤
Sibiril,시비릴
Saint-Jean-de-Luz,생장드뤼즈
Saint-Raphaël (Var),생라파엘
Saint-Jean-de-Maurienne,생장드모리엔
Saint-Ouen-sur-Seine,생투앵
Bourgoin-Jallieu,부르고앙잘리외
Châteaubriant,샤토브리앙 (도시)
Chalamont,샬라몽
Belleydoux,벨레두
Certines,세르틴
.bl,.bl
17e arrondissement de Paris,파리 17구
Thonon-les-Bains,토농레뱅
Colmar,콜마르
Pau,포 (프랑스)
Albertville,알베르빌
Dole (Jura),돌 (프랑스)
Saint-Denis (Seine-Saint-Denis),생드니
Dordogne (fleuve français),도르도뉴강
Les Ulis,레윌리스
Bagneux (Hauts-de-Seine),바뉴 (오드센주)
Chambéry,샹베리
Romans-sur-Isère,로망쉬르이제르
Cambrai,캉브레
Bibliothèque nationale de France,프랑스 국립도서관
Athletic Club ajaccien,AC 아작시오
Cimetière du Montparnasse,몽파르나스 묘지
Époisses,에푸아스 (코트도르주)
Tournefeuille,투른푀유
Saint-Ségal,생세갈
En avant de Guingamp,EA 갱강
Le Bourget (Seine-Saint-Denis),르부르제
Alstom,알스톰
ITER,국제열핵융합실험로
Nicolas Bourbaki,니콜라 부르바키
TotalEnergies,토탈 (기업)
César du cinéma,세자르상
Vence,방스
Chaumont (Haute-Marne),쇼몽
Château-Thierry,샤토티에리
Bora-Bora,보라보라섬
Papauté d'Avignon,아비뇽 유수
Vesoul,브줄
Université de Versailles – Saint-Quentin-en-Yvelines,베르사유 대학교
Chalon-sur-Saône,샬롱쉬르손
Châtellerault,샤텔로
Île Juan de Nova,주앙데노바섬
Honfleur,옹플뢰르
2e arrondissement de Paris,파리 2구
Bureau international des poids et mesures,국제 도량형국
Fresnes (Val-de-Marne),프렌 (발드마른주)
Pierrefitte-sur-Seine,피에르피트쉬르센
Tir à la corde aux Jeux olympiques de 1900,1900년 하계 올림픽 줄다리기
Électricité de France,프랑스 전력공사
ESSEC Business School,고등경제통상학학교
Bataille de Malplaquet,말플라크 전투
Les Mureaux,레뮈로
Union sportive Boulogne Côte d'Opale,US 불로뉴
Métro de Marseille,마르세유 메트로
Rosny-sous-Bois,로니수부아
Ségny,세니 (프랑스)
Air Corsica,에어 코르시카
Air France-KLM,에어 프랑스-KLM
Airlinair,에어린에어
Meudon,뫼동
Champs-sur-Marne,샹쉬르마른
Vallon-Pont-d'Arc,발롱퐁다르크
Saint-Gilles (Gard),생질 (가르주)
Saint-Jean-Cap-Ferrat,생장카프페라
Bergues,베르그
Bourg-la-Reine,부르라렌
Coutances,쿠탕스
Transport express régional,지방 특급 운송
Cachan,카샹
Marine nationale (France),프랑스 해군
Football Club de Metz,FC 메스
Traité des Pyrénées,피레네 조약
Coudekerque-Branche,쿠드케르크브랑슈
Évian-les-Bains,에비앙레뱅
Wattrelos,우아트를로
Centre spatial guyanais,기아나 우주 센터
Pont Saint-Bénézet,생베네제 교
Colombey-les-Deux-Églises (commune déléguée),콜롱베레되제글리즈
Fête nationale française,혁명 기념일
La Celle-Saint-Cloud,라셀생클루
Accident du Concorde,에어프랑스 4590편 추락 사고
Le Cordon Bleu,르 꼬르동 블루
La Poste (entreprise française),라 포스트
Concours d'agrégation en France,아그레가시옹
Pont Alexandre-III,알렉상드르 3세 다리
Stade de la Meinau,스타드 드 라 메노
Sucy-en-Brie,쉬시앙브리
Aéroport de Paris,파리 공항
Bataille des Cardinaux,키브롱 만 해전
Mémorial de la Shoah,쇼아 기념관
Festival de Cannes 1996,1996년 칸 영화제
Plongeon aux Jeux olympiques d'été de 1924,1924년 하계 올림픽 다이빙
Altillac,알틸락
Château de Villandry,빌랑드리성
Festival de Cannes 1993,1993년 칸 영화제
Puy de Dôme,퓌드돔
Observatoire de Paris,파리 천문대
Finale de la Ligue des champions de l'UEFA 2005-2006,2006 UEFA 챔피언스리그 결승전
Festival de Cannes 1962,1962년 칸 영화제
Hommes,옴 (코뮌)
Boz,보즈 (코뮌)
Festival de Cannes 1961,1961년 칸 영화제
Équipe de La Réunion de football,레위니옹 축구 국가대표팀
Équipe de Mayotte de football,마요트 축구 국가대표팀
Métro de Lille,릴 메트로
Compagnie française d'assurance pour le commerce extérieur,코파스
Festival de Cannes 1981,1981년 칸 영화제
Flins-sur-Seine,플랭쉬르센
Viticulture en France,프랑스 와인
Liste des communes de la Guyane,프랑스령 기아나의 코뮌 목록
Football aux Jeux olympiques de 1900,1900년 하계 올림픽 축구
Montagne (Révolution française),산악파
Salon d'Automne,살롱 도톤
La Chapelle-du-Châtelard,라샤펠뒤샤틀라르
Aéroport d'Ajaccio-Napoléon-Bonaparte,아작시오 나폴레옹 보나파르트 공항
La Gauche moderne,신좌파당 (프랑스)
Liste des cantons de l'Allier,알리에주의 캉통
Arrondissements de Paris,파리의 아롱디스망
Bataille du cap Sicié,툴롱 해전 (1744년)
Chapelle Notre-Dame du Haut,롱샹 순례자 성당
Donzy,동지 (니에브르주)
Gameloft,게임로프트
Nîmes Olympique,님 올랭피크
Bataille de Montmirail,몽미라일 전투
Château de La Bourdaisière,라 부르데지에르성
Championnat du monde masculin de handball 2017,2017년 세계 남자 핸드볼 선수권 대회
Festival de Cannes 2010,2010년 칸 영화제
Meyzieu,메이지외
Arrondissement de Château-Thierry,샤토티에리 아롱디스망
Traité instituant la Communauté européenne du charbon et de l'acier,파리 조약 (1951년)
France aux Jeux olympiques,올림픽 프랑스 선수단
Givenchy,지방시 (브랜드)
Route européenne 70,유럽 고속도로 70호선
Chambre de commerce internationale,국제 상업 회의소
Musée national des Arts asiatiques - Guimet,국립 기메 동양 박물관
Tennis aux Jeux olympiques de 1900,1900년 하계 올림픽 테니스
Dzaoudzi,자우지
Baie-Mahault,베마오
Nougatine,브리틀
Aéroport de Paris-Le Bourget,파리 르부르제 공항
Institut européen des normes de télécommunications,유럽 전기 통신 표준 협회
Languedocien,랑그도크 방언
Bureau d'enquêtes et d'analyses pour la sécurité de l'aviation civile,프랑스 항공사고조사위원회
Groupe Dziga Vertov,지가 베르토프 집단
NRJ Music Awards,NRJ 뮤직 어워드
Festival de Cannes 1970,1970년 칸 영화제
Festival de Cannes 1985,1985년 칸 영화제
Festival de Cannes 1987,1987년 칸 영화제
Châtillon-la-Palud,샤티용라팔뤼
Gaullisme,드골주의
Dragons catalans,카탈란스 드래건스
Fresnes-sous-Coucy,프렌 (엔주)
Grand prix du Festival de Cannes,칸 영화제 그랑프리
Ligue communiste révolutionnaire,혁명적공산주의자동맹 (프랑스)
Seyne,센 (프랑스)
Vilaine,빌렌강
Îles Australes,오스트랄 제도
Conseil mondial de l'eau,세계 물 위원회
Biathlon aux Jeux olympiques de 1992,1992년 동계 올림픽 바이애슬론
Colonie du Dahomey,프랑스령 다호메이
Festival de Cannes 1946,1946년 칸 영화제
Pelote basque aux Jeux olympiques,1900년 하계 올림픽 펠로타
Beuchat International,부샤
Saint-Omer (Calvados),생토메르 (칼바도스주)
Saut à ski aux Jeux olympiques de 1924,1924년 동계 올림픽 스키점프
Équipe de Bretagne de football (BFA),브르타뉴 축구 국가대표팀
Kitsuné,메종키츠네
Élections cantonales françaises de 1982,1982년 프랑스 캉통 선거
Constitution française de 1791,1791년 프랑스 헌법
Strate École de design,스트라트 대학
Onze d'or,옹즈도르
Championnats du monde de badminton 2010,2010년 세계 배드민턴 선수권 대회
Bouygues,부이그
Université Montpellier-II,몽펠리에 제2대학교
Championnats du monde de patinage artistique 2012,2012년 세계 피겨스케이팅 선수권 대회
Festival de Cannes 1976,1976년 칸 영화제
Élections législatives françaises de 1889,1889년 프랑스 총선
Poitou,푸아투
Drapeau de Saint-Barthélemy,생바르텔레미의 기
Saint-Étienne-du-Rouvray,생테티엔뒤루브레
Château Margaux,샤토 마르고
Sword Beach,소드 해변
Lycée Louis-le-Grand,리세 루이르그랑
Le Lamentin,르라망탱
Décines-Charpieu,데신샤르피외
Mouvement social contre la réforme des retraites en France de 2010,2010년 프랑스 연금개혁법 반대 시위
Val de Loire,루아르 계곡
Conseil supérieur de l'audiovisuel (France),시청각 최고 위원회
Forum sur la gouvernance de l'internet,인터넷 거버넌스 포럼
ISO 3166-2:WF,ISO 3166-2:WF
45e parallèle nord,북위 45도
46e parallèle nord,북위 46도
Abbaye Notre-Dame de Sénanque,세낭크 수도원
Dragée,드라제
Îles Chesterfield,체스터필드 제도
Coupe du monde de beach soccer 2008,2008년 FIFA 비치사커 월드컵
Festival de Cannes 2008,2008년 칸 영화제
Tonneins,톤넹
Fashion TV,FashionTV
Pont-Sainte-Maxence,퐁생트막상스
RTL,RTL (프랑스어 라디오 방송국)
Fête de la musique,페트 드 라 뮈지크
Structure des championnats de football en France,프랑스 축구 리그 시스템
Démographie de la France,프랑스의 인구
Roazhon Park,로아존 파르크
Villeréal,빌레알
Journée du 10 août 1792,8월 10일 사건
Musée des Arts décoratifs (Paris),파리 장식미술관
Football Club Libourne,FC 리부른
Guerre franco-siamoise de 1893,프랑스-시암 전쟁
Pleyel,Pleyel et Cie
Vinci (entreprise),빈치 (기업)
Groupe F de la Coupe du monde de football 1998,1998년 FIFA 월드컵 F조
Sommet du G6 de 1975,제1회 G6 정상회의
Liste des cantons de l'Aude,오드주의 캉통
Illégalisme (anarchisme),일리걸리즘
Élections législatives françaises de 1839,1839년 프랑스 총선
Sud-Aviation,쉬드항공
Roubaix Futsal Association,루베 풋살
Parc Montsouris,몽수리 공원
Bureau Veritas,뷰로 베리타스
Brasseries Kronenbourg,크로넨버그 맥주
Château Haut-Marbuzet,샤토 오마르뷔제
Maison de Victor Hugo,빅토르 위고의 집
Tour Saint-Jacques,생자크탑
Église réformée de France,프랑스개혁교회
Culture française,프랑스의 문화
Équipe de France de baseball,프랑스 야구 국가대표팀
Journal de mathématiques pures et appliquées,순수 및 응용수학 저널
Ligne 4 du tramway d'Île-de-France,일드프랑스 트램 4호선
Pissaladière,피살라디에르
Diocèse d'Orléans,가톨릭 오를레앙 교구
Liste des cantons de Meurthe-et-Moselle,뫼르테모젤주의 캉통
Référendum constitutionnel français de 1969,1969년 프랑스 국민투표
Territoire d'outre-mer (France),프랑스의 해외 영토
L'Occitane en Provence,록시땅
Conférence de Paris,파리 회의
Équipe de Corse de football,코르시카 축구 국가대표팀
Principal Anti Air Missile System,PAAMS
AgroParisTech,생명과학산업환경학교
Martell,마텔 (코냑)
Champagne Perrier-Jouët,페리에 주에
Île de Molène (Finistère),몰렌
Musée de La Poste (Paris),우편박물관 (파리)
43e parallèle nord,북위 43도
Celio,셀리오
Compagnie des messageries aériennes,CMA (항공사)
SUD Rail,SUD Rail
Démographie de la Martinique,마르티니크의 인구
Démographie de Wallis-et-Futuna,왈리스 푸투나의 인구
Pain de seigle,호밀빵
Disques Barclay,바클레이 레코드
École nationale supérieure des sciences de l'information et des bibliothèques,국립고등문헌정보학학교
Ancienne université de Paris,구 파리 대학교
Direction générale de l'Armement,프랑스 방위사업청
Président de la Polynésie française,프랑스령 폴리네시아의 대통령
Gare de Dombasle-sur-Meurthe,동발쉬르뫼르트역
Groupe Carrefour,까르푸
Arrondissement de Paris,파리 아롱디스망
Bataille de Saint-Cast,생 카스 전투
Détermination de la vitesse de la lumière par Ole Rømer,뢰머의 빛의 속력 측정
Championnat de France féminin de football de deuxième division,디비지옹 2 페미닌
Jeune Création,젊은 창작
Route européenne 420,유럽 고속도로 420호선
Laser Mégajoule,레이저 메가줄
Place Saint-Germain-des-Prés,생제르맹데프레 광장
Premier méridien,본초 자오선
Secrétaire d'État (Ancien Régime),국무경 (프랑스)
Coupe du monde féminine de football 2019,2019년 FIFA 여자 월드컵
Traité de Hué (1884),후에 조약 (1884년)
TGV TMST,영국 철도 373
Éclipse solaire du 23 septembre 2090,2090년 9월 23일 일식
Élections cantonales françaises de 1973,1973년 프랑스 캉통 선거
Élections législatives françaises de 1797,1797년 프랑스 총선
Élections municipales françaises de 1959,1959년 프랑스 뮈니시팔 선거
Withings,Withings
Léman Express,레만 익스프레스
Xârâgurè,항랑구레어
Catégorie:Lycée Condorcet,분류:리세 콩도르세
Station hertzienne militaire de Pierre-sur-Haute,피에르쉬르오트 군용 무선국
Engie,엔지 (기업)
Ewa Air,에와 항공
Qwant,Qwant
Institut culturel franco-japonais - École japonaise de Paris,프랑스 일본 문화원 – 파리 일본인 학교
Opération Barkhane,바르칸 작전
Métropole de Lyon,리옹 광역시
Occitanie (région administrative),옥시타니
Attentats du 13 novembre 2015 en France,2015년 11월 파리 테러
Troubles à l'ordre public lors du Championnat d'Europe de football 2016,UEFA 유로 2016 폭력 사태
Championnat de France de football 2017-2018,리그 1 2017-18
Tenue de l'équipe de France de football,프랑스 축구 국가대표팀 유니폼 역사
Beaulieu-sur-Dordogne,볼리외쉬르도르도뉴
Coupe de France de football 2019-2020,쿠프 드 프랑스 2019-20
Comédie-Française,코메디 프랑세즈
Championnat de France de football 2019-2020,리그 1 2019-20
Saison 2020-2021 du Paris Saint-Germain,파리 생제르맹 2020-21 시즌
45e cérémonie des César,제45회 세자르상
47e cérémonie des César,제47회 세자르상
46e cérémonie des César,제46회 세자르상
44e cérémonie des César,제44회 세자르상
48e cérémonie des César,제48회 세자르상
34e cérémonie des César,제34회 세자르상
19e cérémonie des César,제19회 세자르상
29e cérémonie des César,제29회 세자르상
23e cérémonie des César,제23회 세자르상
36e cérémonie des César,제36회 세자르상
22e cérémonie des César,제22회 세자르상
24e cérémonie des César,제24회 세자르상
25e cérémonie des César,제25회 세자르상
37e cérémonie des César,제37회 세자르상
26e cérémonie des César,제26회 세자르상
18e cérémonie des César,제18회 세자르상
30e cérémonie des César,제30회 세자르상
31e cérémonie des César,제31회 세자르상
27e cérémonie des César,제27회 세자르상
28e cérémonie des César,제28회 세자르상
17e cérémonie des César,제17회 세자르상
32e cérémonie des César,제32회 세자르상
13e cérémonie des César,제13회 세자르상
16e cérémonie des César,제16회 세자르상
20e cérémonie des César,제20회 세자르상
35e cérémonie des César,제35회 세자르상
15e cérémonie des César,제15회 세자르상
21e cérémonie des César,제21회 세자르상
14e cérémonie des César,제14회 세자르상
39e cérémonie des César,제39회 세자르상
33e cérémonie des César,제33회 세자르상
38e cérémonie des César,제38회 세자르상
40e cérémonie des César,제40회 세자르상
41e cérémonie des César,제41회 세자르상
42e cérémonie des César,제42회 세자르상
43e cérémonie des César,제43회 세자르상
Tempête Alex,폭풍 알렉스
10e cérémonie des César,제10회 세자르상
4e cérémonie des César,제4회 세자르상
7e cérémonie des César,제7회 세자르상
6e cérémonie des César,제6회 세자르상
12e cérémonie des César,제12회 세자르상
5e cérémonie des César,제5회 세자르상
3e cérémonie des César,제3회 세자르상
8e cérémonie des César,제8회 세자르상
2e cérémonie des César,제2회 세자르상
1re cérémonie des César,제1회 세자르상
9e cérémonie des César,제9회 세자르상
Franklin D. Roosevelt (métro de Paris),프랭클린 D. 루즈벨트역
11e cérémonie des César,제11회 세자르상
Place Vendôme,방돔 광장
École de physique des Houches,에콜 데 피지크 데 주쉬
Paris Saint-Germain Football Club (féminines),파리 생제르맹 FC 페미닌
Accord Blum-Byrnes,블룸-번스 협정
Ain (département),앵주
Conférence de la paix de Paris,파리 강화 회의
Chevroux (Ain),슈브루 (앵주)
Astronomy %26 Astrophysics,아스트로노미 %26 아스트로피직스
Canneseries,칸시리즈
Gare de Châtelet - Les Halles,샤틀레 레알역
Cize (Ain),시즈 (앵주)
Cheignieu-la-Balme,셰뇌라발므
Civrieux (Ain),시브리외
Colomieu,콜로미외
Cuisine réunionnaise,레위니옹 요리
La Bougie du sapeur,라 부지 뒤 사푀르
Cuisine parisienne,파리 요리
Viêt,비엣족
Mouvement social contre la réforme des retraites en France de 2023,2023년 프랑스 연금 개혁 파업
Savigny-lès-Beaune,사비니레본
Maison Bonaparte,보나파르트가
Montpellier Hérault Sport Club (féminines),몽펠리에 HSC (여)
Beauxbâtons,보바통
Festival du court métrage de Clermont-Ferrand,끌레르몽페랑 단편 영화제
Liste des communes de l'Aveyron,아베롱주의 코뮌 목록
Oïrats,오이라트
Confédération générale du travail,노동총연맹 (프랑스)
Bar-le-Duc,바를르뒤크
Pau Football Club,포 FC
Université de Lyon,리옹 대학교
Le Touquet-Paris-Plage,르투케파리플라주
Figeac,피작
Les Verts (France),녹색당 (프랑스)
Cochinchine française,프랑스령 코친차이나
Championnat de France de football 2023-2024,리그 1 2023-24
Orthez,오르테즈
Liste des communes des Yvelines,이블린주의 코뮌 목록
Évry-Courcouronnes,에브리쿠르쿠론
Coupe d'Océanie de football 1980,1980년 오세아니아컵
Mort de Nahel Merzouk,나헬 메르주크 살해 사건
Nouvelle cuisine,누벨 퀴진
Planoise,플라누아즈
Conand,코낭
Émeutes consécutives à la mort de Nahel Merzouk,2023년 프랑스 폭동
Chartreuse (liqueur),샤르트뢰즈
Condamine (Ain),콩다민
Confort (Ain),콩포르
Contrevoz,콩트르보
Cormoranche-sur-Saône,코르모랑슈쉬르손
Canton de Valserhône,발세론 캉통
Confrançon,콩프랑송
Corlier,코를리에
Corbonod,코르보노
Conzieu,콩지외
Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson,생레미앙부즈몽생즈네에이송
Condeissiat,콩데시아
Liste des communes de Seine-et-Marne,센에마른주의 코뮌 목록
Aisne (département),엔주
Andert-et-Condon,앙데르에콩동
Allier (département),알리에주
Reconquête (parti politique),재정복
Liste des communes des Bouches-du-Rhône,부슈뒤론주의 코뮌 목록
Liste des communes de la Charente-Maritime,샤랑트마리팀주의 코뮌 목록
Liste des communes du Cher,셰르주의 코뮌 목록
Liste des communes de la Charente,샤랑트주의 코뮌 목록
Liste des communes de la Corrèze,코레즈주의 코뮌 목록
Liste des communes du Calvados,칼바도스주의 코뮌 목록
Stade Roland-Garros,스타드 롤랑 가로스
Lyonnais (province),리요네
Communauté française (Cinquième République),프랑스 공동체
Parc Olympique lyonnais,파르크 올랭피크 리요네
Agence pour l'énergie nucléaire,원자력기구
Festival de Cannes 2023,2023년 칸 영화제
Conseil international des sciences,국제과학위원회
Principauté de l'île d'Elbe,엘바 공국
Courant des Caraïbes,카리브 해류
Palais omnisports de Paris-Bercy,아코르 아레나
Centre sismologique euro-méditerranéen,유럽-지중해 지진학 센터
Fédération française de taekwondo et disciplines associées,프랑스 태권도 계열 종목 연맹
Festival international espoirs – Tournoi Maurice-Revello,모리스 르블로 대회
Journal des savants,저널 데사반스
Nintendo European Research %26 Development,닌텐도 유럽 연구개발
Nogent-le-Roi,노겐트르로이
Gurs,귀르스
Camp de Gurs,귀르스 수용소
Séisme de 2023 dans l'Ouest de la France,2023년 라레뉴 지진
Archos,아코스 (기업)
Espérance sportive Troyes Aube Champagne,ES 트루아 AC
École pour l'informatique et les nouvelles technologies,에피텍
Prix Lalande,랄랑드 상
Château de Vaux-le-Vicomte,보르비콩트
Château de Saint-Germain-en-Laye,생제르맹앙레이성
Zealandia,질랜디아
Saint-Philippe du Roule (métro de Paris),생필립뒤룰역
Vignoble de Champagne,샴페인 와인 지역
Aÿ (Marne),아이 (마른 지방)
Scandale de Panama,파나마 의옥
OVHcloud,OVH클라우드
Liqueur de Chambord,샹보르 (리큐어)
Drouant,드루앙
Transhumance,이목 (목축)
Coupe de France de football 2023-2024,쿠프 드 프랑스 2023-24
Trophée des champions 2023,트로페 데 샹피옹 2023
Reuilly - Diderot (métro de Paris),뢰이-디드로역
Sainte-Chapelle,생트샤펠
Centre national d'art et de culture Georges-Pompidou,퐁피두 센터
Exposition universelle de 1855,1855년 만국 박람회
Palais de l'Industrie,산업 궁전
Ministère de la Culture (France),문화부 (프랑스)
Château d'Annecy,안시성 (프랑스)
Monument historique (France),역사기념물 (프랑스)
Arrondissement de Saint-Quentin,생캉탱 아롱디스망
Opération Spring,스프링 작전
Opération Bluecoat,블루코트 작전
Contre-attaque de Mortain,뤼티히 작전
Parvis des droits de l'homme,인권 광장
Jardins du Trocadéro,트로카데로 정원
Phryges,프리주
Cergy,세르지 (프랑스)
Puy du Fou,퓌뒤푸
Bataille de Montcornet,몽코레 전투
Équipe réserve et centre de formation du FC Nantes,FC 낭트 B
Centre de formation de l'Olympique lyonnais,올랭피크 리옹 B
Déclaration de guerre de la France contre l'Allemagne,프랑스의 대독 선전포고 (1939년)
Moustiers-Sainte-Marie,무스티에생트마리
Paris La Défense Arena,파리 라데팡스 아레나
Arena Porte de la Chapelle,포르트 드 라 샤펠 아레나
Loiret (département),루아레
Tournoi masculin de football aux Jeux olympiques d'été de 2024,2024년 하계 올림픽 축구 남자
Jeux méditerranéens de 1993,1993년 지중해 게임
Artmajeur,아르마죄르
Mort et funérailles de Diana Spencer,웨일스 공비 다이애나의 죽음
Épidémie de variole du singe de 2022-2023,2022~2023년 엠폭스 유행
Diaspora coréenne en France,재프랑스 한국인
Diptyque (maison de parfum),딥티크
Cent-Jours,제7차 대프랑스 동맹
DAU'IA,다우이아
France aux Jeux olympiques d'été de 2024,2024년 하계 올림픽 프랑스 선수단
Arkema,아케마
Équipe de France féminine de handball,프랑스 여자 핸드볼 국가대표팀
Gorges du Verdon,베르동 협곡
Équipe de France féminine de basket-ball,프랑스 여자 농구 국가대표팀
Forêts primaires de hêtres des Carpates et d'autres régions d'Europe,카르파티아 및 유럽의 기타 지역에 생육하는 고대 및 원시 너도밤나무 숲
