Maryse Bastié,마리즈 바스티에
Jeanne Fusier-Gir,잔 퓌지에지르
Arthur Morin,아르튀르 모랭
Jules Rimet,쥘 리메
Roger Lemerre,로제 르메르
Marielle Goitschel,마리엘 구아첼
Albert Schweitzer,알베르트 슈바이처
Iannis Xenakis,이안니스 크세나키스
Jean-Claude Trichet,장클로드 트리셰
Jules Lemaître,쥘 르메트르
Albert Fert,알베르 페르
Georges Méliès,조르주 멜리에스
Marie-Antoinette,마리 앙투아네트
Jean Le Rond d'Alembert,장 르 롱 달랑베르
Bertrand Delanoë,베르트랑 들라노에
Yelle,쥘리 뷔데
Violette Szabo,바이올렛 스자보
Comtesse de Loynes,마리안 드투르베
Aurélie Filippetti,오렐리 필리페티
Antoine François Andréossy,앙투안 프랑수아 앙드레오시
György Kurtág,죄르지 쿠르탁
Joseph-Louis Gay-Lussac,루이 조제프 게이뤼삭
Capucine,카푸치네
Inès de La Fressange,이네스 드 라 프레상주
Pierre Clostermann,피에르 클로스테르만
Emmanuel Levinas,에마뉘엘 레비나스
Maxime Vachier-Lagrave,막심 바시에라그라브
Paul Reclus,폴 르클뤼
Julio Cortázar,훌리오 코르타사르
Jean Tirole,장 티롤
István Nyers,네르시 이슈트반
Paul Bourget,폴 부르제
Marguerite Duras,마르그리트 뒤라스
Michel Fourniret,미셸 푸르니레
Jacques Delors,자크 들로르
Sylvère Lotringer,실베르 로트랭제
Claude Ballif,클로드 발리프
Élisabeth de France,이사벨 데 발로이스
Kiki de Montparnasse,알리스 프랭
Maurice André,모리스 앙드레
Alfred Sisley,알프레드 시슬레
Louis Daquin,루이 다캥
Soko,소코
Jean Arp,장 아르프
Georges Braque,조르주 브라크
Jérémy Chardy,제레미 샤르디
Georges Feydeau,조르주 페이도
Marivaux,피에르 드 마리보
Théodore Aubanel,테오도르 오바넬
Charles IV de France,샤를 4세
Anne de Bretagne,안 드 브르타뉴
Didier Drogba,디디에 드로그바
Marc Levy,마르크 레비
Guillaume de Machaut,기욤 드 마쇼
Christophe Dugarry,크리스토프 뒤가리
Jean de La Fontaine,장 드 라 퐁텐
François Couperin,프랑수아 쿠프랭
Gabriel Marcel,가브리엘 마르셀
Aristide Maillol,아리스티드 마욜
Isabeau de Bavière,바이에른의 이자보
Frédéric Mitterrand,프레데리크 미테랑
César Franck,세사르 프랑크
Georges Charpak,조르주 샤르파크
Maïwenn,마이웬
Pierre Fresnay,피에르 프레네
Hubert Barbier,위베르 바르비에
François-René de Chateaubriand,프랑수아르네 드 샤토브리앙
Adhémar de Monteil,아데마르
Paul Valéry,폴 발레리
Ludovic Obraniak,루도비크 오브라니아크
Micheline Ostermeyer,미셸린 오스테르메이에
Marilou Berry,마릴루 베리
Abraham de Moivre,아브라암 드무아브르
Yves Chauvin,이브 쇼뱅
Edmond Rostand,에드몽 로스탕
Roger Nimier,로제 니미에
Hugues Aufray,위그 오프레
Théodore Dubois,테오도르 뒤부아
Nicolas de Condorcet,니콜라 드 콩도르세
Joseph-Antoine Poniatowski,유제프 안토니 포니아토프스키
Pierre de Ronsard,피에르 드 롱사르
François Arago,프랑수아 아라고
Paul Mauriat,폴 모리아
Max Ernst,막스 에른스트
Jean Gallon,장 갈롱
Sheryfa Luna,셰리파 루나
Lorie,로리
Caroline Garcia,카롤린 가르시아
Paul Celan,파울 첼란
Peter Brook,피터 브룩
Louis XVII,루이 17세
Gabriel Ier de Montgommery,가브리엘 1세 드 몽고메리 백작
Andrée Joly,앙드레 브뤼네
Odilon Redon,오딜롱 르동
Émile Borel,에밀 보렐
Amaury Vassili,아모리 바실리
René Séjourné,르네 세주르네
Jean Bureau,장 뷔로
Vanessa Paradis,바네사 파라디
François-André Danican Philidor,프랑수아앙드레 다니칸 필리도르
Myriam Soumaré,미리암 수마레
La Goulue,라굴루
Carole Montillet,카롤 몽티예
Gaspard-Gustave Coriolis,귀스타브 코리올리
Jean Boulet,장 불레
Hubert Curien,위베르 퀴리앵
Audrey Dana,오드리 다나
Stephan Eicher,슈테판 아이히너
Gnassingbé Eyadema,냐싱베 에야데마
Gustave Moreau,귀스타브 모로
Léopold Sédar Senghor,레오폴 세다르 상고르
Timothée Kolodziejczak,티모테 콜로지에이차크
Gaël Givet,가엘 지베
Valérie Lemercier,발레리 르메르시
Henri Martin,앙리장 기욤 마르탱
Hiam Abbass,히암 압바스
Danielle Rousseau,다니엘 루소
Marcellin Marbot,마르슬랭 마르보
Mikaël Silvestre,미카엘 실베스트르
Louis Leroy,루이 르루아
Sofia Boutella,소피아 부텔라
Claudette Colbert,클로데트 콜베르
Léon Jouhaux,레옹 주오
Philippe Léotard,필리프 레오타르
Jean Giono,장 지오노
Georges Courteline,조르주 쿠르틀린
Boris Spassky,보리스 스파스키
André Derain,앙드레 드랭
Nicolas-Charles Oudinot,니콜라 우디노
inconnue de la Seine,센 강의 이름 없는 소녀
Jacques Tati,자크 타티
Mathilda May,마틸다 메이
Xavier Bertrand,그자비에 베르트랑
Victor Vasarely,빅토르 바사렐리
Jean-Jacques Annaud,장자크 아노
Henri Rousseau,앙리 루소
Roman Polanski,로만 폴란스키
Marcel Carné,마르셀 카르네
Eugène Lanti,외젠 랑티
Alain Souchon,알랭 수숑
Charlotte Marguerite de Montmorency,샤를로트마르그리트 드 몽모랑시
Madeleine Renaud,마들렌 르노
Adolphe Marbot,아돌프 마르보
Hélène d'Orléans,엘렌 도를레앙
Michèle Arnaud,미셸 아르노
Benjamin Péret,뱅자맹 페레
Cécile Aubry,세실 오브리
Nicolas-Louis de Lacaille,니콜라 루이 드 라카유
Surya Bonaly,수리아 보날리
Jules Dumont d’Urville,쥘 뒤몽 뒤르빌
Mathieu Flamini,마티외 플라미니
Jules Dassin,줄스 다신
Charles Ier d’Anjou,카를로 1세
Antoine de Rivarol,앙투안 드 리바롤
Max von Sydow,막스 폰 쉬도브
Jean-Luc Godard,장뤼크 고다르
Gaspard II de Coligny,가스파르 드 콜리니
Zino Francescatti,지노 프란체스카티
Jean Renoir,장 르누아르
Pierre Mauroy,피에르 모루아
Juliette Gréco,줄리엣 그레코
Eugène de Beauharnais,외젠 드 보아르네
Philippe d'Orléans,오를레앙 공 필리프 2세
Éric Rohmer,에리크 로메르
Oscar Ier de Suède,오스카르 1세
Marc Bloch,마르크 블로크
Henri Cartier-Bresson,앙리 카르티에 브레송
Georges Rouault,조르주 루오
Toussaint Louverture,투생 루베르튀르
Bulle Ogier,뷜 오지에
Charles XIV Jean de Suède,칼 14세 요한
Casimir Perier,카지미르 피에르 페리에
Joseph Paul-Boncour,조제프 폴봉쿠르
François Truffaut,프랑수아 트뤼포
Alain Boublil,알랭 부블릴
Sheila,셰일라
Pierre Boulez,피에르 불레즈
Nathalie Luca,나탈리 뤼카
Seth Gueko,세트 게코
Pierre Vidal-Naquet,피에르 비달나케
Vittorio De Sica,비토리오 데 시카
Max Jacob,막스 자코브
Sylvia Bongo Ondimba,실비아 봉고 온딤바
Pierre Bourdieu,피에르 부르디외
Françoise Hardy,프랑수아즈 아르디
Suzanne Valadon,수잔 발라동
Bruno Walter,브루노 발터
Maurice Emmanuel,모리스 에마뉘엘
François Darlan,프랑수아 다를랑
Marc Allégret,마르크 알레그레
La Fouine,라 푸인
Lucien Febvre,뤼시앵 페브르
Zinedine Soualem,지네딘 수알렘
Louis-Alexandre Berthier,루이 알렉상드르 베르티에
Louis Néel,루이 네엘
Aurore Jean,오로르 장
Tsugouharu Foujita,후지타 쓰구하루
Colette Audry,콜레트 오드리
Renée Adorée,르네 아도레
Arielle Dombasle,아리엘 동바슬
Delphine Seyrig,델핀 세리그
Ernest Renan,에르네스트 르낭
Josselin Ier d'Édesse,조슬랭 1세
François Magendie,프랑수아 마장디
Vernon Dobtcheff,베르농 도브체프
Henri-Léon Lebesgue,앙리 르베그
Stéphane Grappelli,스테판 그라펠리
Yann Tiersen,얀 티에르상
Bertrand Gille,베르트랑 질
Édouard Estaunié,에두아르 에스토니에
Claudine Longet,클로다인 런짓
Georges Perec,조르주 페레크
Albert Uderzo,알베르 우데르조
Françoise Dürr,프랑수아즈 뒤르
Stanislas Leszczynski,스타니스와프 레슈친스키
Pierre Le Moyne d'Iberville,피에르 르무안 디베르빌
Sandrine Kiberlain,상드린 키베를랭
Émile Javal,에밀 자발
Jorge Semprún,호르헤 셈프룬
Bernard Lubat,베르나르 뤼바
Roland Garros,롤랑 가로스
Guillaume Dufay,기욤 뒤파이
Jacques Tourneur,자크 투르뇌
Émile Littré,에밀 리트레
Frédéric Bazille,프레데리크 바지유
Max Ophüls,막스 오퓔스
Fernand Léger,페르낭 레제
Gaspard Monge,가스파르 몽주
Francis Picabia,프랑시스 피카비아
Georges Bataille,조르주 바타이유
François Guizot,프랑수아 기조
Simone Weil,시몬 베유
Marcel Marceau,마르셀 마르소
Alberto Giacometti,알베르토 자코메티
Romain Gary,로맹 가리
Louis Malle,루이 말
Jean Ferrat,장 페라
Jean Siméon Chardin,장바티스트시메옹 샤르댕
Charles Lucien Bonaparte,샤를 뤼시앵 보나파르트
Andreï Kontchalovski,안드레이 콘찰로프스키
Henri-Georges Clouzot,앙리조르주 클루조
Robert Bresson,로베르 브레송
Anne Golon,Anne Golon
Alice Guy,알리스 기블라셰
René Clair,르네 클레르
Jean-Claude Pecker,장클로드 페케르
Gaston Rébuffat,가스통 레뷔파
Alfred Binet,알프레드 비네
Joseph Bernard,조제프 베르나르
Olympe de Gouges,올랭프 드 구주
Julie Dreyfus,쥘리 드레퓌스
Monique Wittig,모니크 위티그
André Martinet,앙드레 마르티네
Manu Chao,마누 차오
Léo Delibes,레오 들리브
Claude Chabrol,클로드 샤브롤
Claude-Louis-Hector de Villars,빌라르 공작 클로드 루이 엑토르
Albert Lebrun,알베르 르브륑
Zizi Jeanmaire,지지 장메르
Bernard Kouchner,베르나르 쿠슈네르
Robert II d'Artois,로베르 2세 다르투아
Jean de Valette,장 파리조 드 라 발레트
Émile Oustalet,에밀 오스탈레
Émile Lemoine,에밀 르무안
Eugénie de Montijo,외제니 드 몽티조
France Gall,프랑스 갈
Jacques Becker,자크 베케르
Marie de Bourgogne,부귀공 마리
Joseph Joffre,조제프 조프르
Edgard Varèse,에드가르 바레즈
Andry Rajoelina,안드리 라조엘리나
Émilie Loit,에밀리 루아
Claude Bernard,클로드 베르나르
Camille Chautemps,카미유 쇼탕
Laetitia Casta,레티티아 카스타
Claude Joseph Rouget de Lisle,클로드 조제프 루제 드 릴
Georges Bizet,조르주 비제
Émile Mathieu,에밀 레오나르 마티외
Marie-Louise d'Autriche,마리 루이즈
Jean Vigo,장 비고
Bernadette Soubirous,베르나데타 수비루
Mary Pierce,마리 피르스
Joseph Cugnot,니콜라 조제프 퀴뇨
Giacomo Filippo Maraldi,자코모 마랄디
Arthur de Gobineau,아르튀르 드 고비노
Ferdinand de Lesseps,페르디낭 드 레셉스
Joris-Karl Huysmans,조리 카를 위스망스
Joseph Louis Proust,조제프 루이 프루스트
Jean Monnet,장 모네
Alejandro Jodorowsky,알레한드로 호도로프스키
Jacques-René Hébert,자크 르네 에베르
Jean-Baptiste Biot,장바티스트 비오
Émile Roux,에밀 루
Thomas Heurtel,토마 외르텔
Patrice de Mac Mahon,파트리스 드 마크 마옹
Julia Kristeva,쥘리아 크리스테바
Johnny Hallyday,조니 할리데이
Élisabeth Jacquet de La Guerre,엘리자베스 자케 드 라 게르
Émile Picard,에밀 피카르
Albert Ier,알베르 1세
Christian Dior,크리스티앙 디오르
René Coty,르네 코티
Nolwenn Leroy,놀웬 르루아
Gerda Wegener,게르다 베게너
Daniel François Esprit Auber,다니엘 오베르
Hubert Lyautey,위베르 리요테
Alice Taglioni,알리스 타글리오니
Richard Gasquet,리샤르 가스케
Pierre Ier de Serbie,페타르 1세
Mourad Boudjellal,무라드 부젤랄
Nikola Karabatic,니콜라 카라바티치
Thiago Silva,티아구 시우바
Louis XII,루이 12세
Louise Bourgeois,루이즈 부르주아
Émile Poulat,에밀 풀라
Noémie Lenoir,노에미 르누아르
Gérard Debreu,제라르 드브뢰
André Grétry,앙드레 그레트리
Désirée Clary,데지레 클라리
Patricia Kaas,파트리샤 카스
Émile de Girardin,에밀 드 지라르댕
Philippe Ier de France,필리프 1세
Marcel Arland,마르셀 아를랑
Jean-Pierre Serre,장피에르 세르
Émile Souvestre,에밀 수베스트르
Kristin Scott Thomas,크리스틴 스콧 토머스
Sergio Ortega,세르히오 오르테가
Vincent Auriol,뱅상 오리오
Louis-Nicolas Davout,루이 니콜라 다부
Raymond Dubly,레몽 뒤블리
Pierre Choderlos de Laclos,피에르 쇼데를로 드 라클로
Jean-Léon Gérôme,장레옹 제롬
Nadine Trintignant,나딘 트랭티냥
Kurt Zouma,퀴르 주마
Nicolas Saada,니콜라 사다
Laurent Schwartz,로랑 슈와르츠
Raphaël Poirée,라파엘 푸아레
Abdoul Mbaye,압둘 음바예
Michèle Alliot-Marie,미셸 알리오마리
Gérard Genette,제라르 주네트
Edwige Fenech,에드위그 페네치
Charles Trenet,샤를 트레네
Christian Karembeu,크리스티앙 카랑뵈
Émile Waldteufel,에밀 발드토이펠
Jean-Philippe Gatien,장필리프 가티앵
Émilienne d'Alençon,에밀리엔 달랑숑
Pierre Nora,피에르 노라
Geneviève Grad,준비에브 그라
Émilie Pellapra,에밀리 펠라프라
Jérôme Cahuzac,제롬 카위자크
Bidzina Ivanichvili,비지나 이바니슈빌리
Jean-Charles Darmon,장샤를 다르몽
Ismail Omar Guelleh,이스마일 오마르 겔레
Édouard Daladier,에두아르 달라디에
Bruno Massot,브뤼노 마소
Robert de Clermont,로베르 드 프랑스
Maurice Merleau-Ponty,모리스 메를로퐁티
Gilles Simon,질 시몽
Daniel Sangouma,다니엘 상구마
Éric Caravaca,에릭 카라바카
Élisabeth Vigée Le Brun,엘리자베스 루이 비제 르 브룅
Camille Silvy,카미유 실비
Jane Birkin,제인 버킨
Eugène Boudin,외젠 부댕
Amel Bent,아멜 벤트
Alfred Döblin,알프레트 되블린
Éric Caritoux,에리크 카리투
Didier Digard,디디에 디가르
Éric Aumonier,에리크 오모니에
Yves Rocher,이브 로셰
François Ozon,프랑수아 오종
René Depestre,르네 드페스트르
Daniel Mesguich,다니엘 메스귀치
Beatrice Rosen,베아트리스 로젠
Mounir Obbadi,무니르 오바디
Nicolas Flamel,니콜라 플라멜
Marin Marais,마랭 마레
Lucien Lévy-Bruhl,뤼시앵 레비브륄
Philippe Sollers,필리프 솔레르스
Fabrice Nsakala,파브리스 은사칼라
Madeleine Béjart,마들렌 베자르
Florence Devouard,플로랑스 드부아르
Patrick Guillou,파트리크 길루
Jacques Villeret,자크 빌레렛
François Cavanna,프랑수아 카바나
Henri Fayol,앙리 파욜
Moses Hess,모세 헤스
Anatole Litvak,아나톨 리트박
Judith Godrèche,쥐디트 고드레슈
Albert Marquet,알베르 마르케
Alain-René Lesage,알랭르네 르사주
Emma de Caunes,에마 드콘
Guy Dollé,기 돌레
Henri Marteau,앙리 마르토
Guillaume de Champeaux,샹포의 기욤
Francis Cabrel,프랜시스 카브렐
Hans Bellmer,한스 벨머
Jacqueline du Bief,자클린 뒤 비에프
Jean-Yves Berteloot,장이브 베르틀루
Roberto Alagna,로베르토 알라냐
Marcel Artelesa,마르셀 아르텔레사
Jacques Le Goff,자크 르 고프
Jean Nouvel,장 누벨
Alain Mabanckou,알랭 마방쿠
Étienne Didot,에티엔 디도
Joseph Liouville,조제프 리우빌
Paul Winter,폴 윙테르
Enrico Macias,엔리코 마시아스
Benjamin Nivet,뱅자맹 니베
Jérémie Bréchet,제레미 브레셰
Christiane Taubira,크리스티안 토비라
Ariane Ascaride,아리안 아스카리드
Éric Carrière,에리크 카리에르
Najat Vallaud-Belkacem,나자트 발로벨카셈
Patrick Lapeyre,파트리크 라페르
Jean-Daniel Akpa-Akpro,장-다니엘 아크파-아크프로
Félix Houphouët-Boigny,펠릭스 우푸에부아니
Pierre de Jean Olivi,피에르 드 장 올리비
Éric Le Lann,에리크 르란
Catherine de Rambouillet,랑부예 후작부인 카트린 드 비본
Mireille Darc,미레유 다르크
Nathalie Kosciusko-Morizet,나탈리 코시위스코모리제
Paul Sérusier,폴 세뤼지에
André Lurçat,앙드레 뤼르사
Sadi Carnot,마리 프랑수아 사디 카르노
Warda El-Djazairia,와르다 알자자이리아
Alain Robbe-Grillet,알랭 로브그리예
Bruno Faidutti,브뤼노 페뒤티
Arthur Adamov,아르튀르 아다모프
Savinien Cyrano de Bergerac,시라노 드 베르주라크
Georges Gope-Fenepej,조지스 고페-페네페즈
Maurice Halbwachs,모리스 알브바크스
Pierre Drieu la Rochelle,피에르 드리외라로셸
Élodie Yung,엘로디 영
Louise Michel,루이즈 미셸
Rigobert Song,리고베르 송
Paul Dukas,폴 뒤카
Nicolas Grenier,니콜라 그레니에
Gwladys Épangue,글라디스 에팡그
Pierre Bayle,피에르 벨
Gilad Shalit,길라드 샬리트
Youri Djorkaeff,유리 조르카에프
Moussa Sissoko,무사 시소코
Cheikh M'Bengue,세킴 음벵게
Lou Doillon,루 두아용
Rafidine Abdullah,라피딘 압둘라
Raoul Giraudo,라울 지로도
Éric Di Meco,에리크 디 메코
Charles-Marie Widor,찰스 마리 비도르
Charles Richet,샤를 R. 리셰
Éric de Moulins-Beaufort,에리크 드 물랭보포르
Alessandra Martines,알레산드라 말티네스
Fleur Pellerin,플뢰르 펠르랭
Dominique Voynet,도미니크 부아네
Aurélien Chedjou,오렐리앙 체주
Enzo Zidane,엔조 지단
Éric Zemmour,에리크 제무르
Éric Gautier,에리크 고티에
Thomas Couture,토마 쿠튀르
Éric Tabarly,에리크 타바를리
Isabelle Carré,이자벨 카레
Jean-Pierre Jeunet,장피에르 죄네
Alejo Carpentier,알레호 카르펜티에르
Éric Fottorino,에리크 포토리노
Benoît Delhomme,브누아 들롬
Hippolyte Fizeau,히폴리트 피조
Éric Pécout,에리크 페쿠
Éric Rabésandratana,에리크 라베산드라타나
Franck Tabanou,프랑크 타바누
Mohamed Sissoko,모하메드 시소코
Edgar Faure,에드가 포르
Emmanuel Petit,에마뉘엘 프티
Claude Pompidou,클로드 퐁피두
Éric Woerth,에리크 뵈르트
Pierre Puvis de Chavannes,피에르 퓌뷔 드 샤반
Alain Juppé,알랭 쥐페
Erik Orsenna,에릭 오르세나
