España,スペイン
Deva,デバ川 (カンタブリア山脈)
España en los Juegos Olímpicos de Sankt Moritz 1948,1948年サンモリッツオリンピックのスペイン選手団
España en los Juegos Olímpicos de Londres 2012,2012年ロンドンオリンピックのスペイン選手団
España en los Juegos Olímpicos de Oslo 1952,1952年オスロオリンピックのスペイン選手団
Zara,ザラ
España en los Juegos Olímpicos de Sarajevo 1984,1984年サラエボオリンピックのスペイン選手団
Agencia Europea para la Seguridad y la Salud en el Trabajo,欧州労働安全衛生機関
Antena 3,アンテナ3
Ibaizábal,イバイサバル川
Asón,アソン川
Miera,ミエラ川
Pas,パス川
España en los Juegos Olímpicos de Innsbruck 1976,1976年インスブルックオリンピックのスペイン選手団
España en los Juegos Olímpicos de Grenoble 1968,1968年グルノーブルオリンピックのスペイン選手団
España en los Juegos Olímpicos de Lake Placid 1980,1980年レークプラシッドオリンピックのスペイン選手団
bandera de Cataluña,サニェーラ
Mérida,メリダ (スペイン)
Euskotren Trena,バスク鉄道
Iniciativa per Catalunya Verds,カタルーニャ緑のためのイニシアティブ
Esquerra Republicana de Catalunya,カタルーニャ共和主義左翼
Zas,サス (スペイン)
España en los Juegos Olímpicos de Calgary 1988,1988年カルガリーオリンピックのスペイン選手団
España en los Juegos Olímpicos de Lillehammer 1994,1994年リレハンメルオリンピックのスペイン選手団
Los Palacios y Villafranca,ロス・パラシオス・イ・ビジャフランカ
Oreitia,オレイティア
Geroa Bai,ゲロア・バイ
Amoroto,アモロト
río Eo,エオ川
Tambre,タンブレ川
río Ulla,ウーリャ川
Río Eume,エウメ川
Antequera,アンテケーラ
"Real Academia de Ciencias Exactas, Físicas y Naturales",スペイン王立アカデミー
Salobreña,サロブレーニャ
Guadalquivir,グアダルキビール川
Alcañiz,アルカニス
Nalón,ナロン川
Narcea,ナルセア川
río Navia,ナビア川
Alcocer,アルコセール
Batalla de Fuentes de Oñoro,フエンテス・デ・オニョーロの戦い
Línea de Alta Velocidad Madrid-Extremadura-Frontera portuguesa,マドリード - エストレマドゥーラ高速線
Consejo de Seguridad Nuclear,スペイン原子力安全委員会
Vuelta a España 2000,ブエルタ・ア・エスパーニャ2000
Algora,アルゴラ
Café del Mar,カフェ・デル・マール
Tauste,タウステ
Calamocha,カラモーチャ
Teruel,テルエル
Columnas de Hércules,ヘラクレスの柱
Ibicenco,イビサ語
Ferreira,フェレイラ (グラナダ県)
Santa Cruz de Tenerife,サンタ・クルス・デ・テネリフェ
Fuente Dé,フエンテ・デー
Anexo:Futbolistas del Real Madrid Club de Fútbol,レアル・マドリードの選手一覧
Foncalada,フォンカラーダの泉
Hospital de los Reyes Católicos,オスタル・ドス・レイス・カトリコス
Batalla de Somosierra,ソモシエラの戦い
Tarragona,タラゴナ
río Yeltes,ジェルテス川
Los Cerralbos,ロス・セラルボス
Anexo:Baloncesto en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのバスケットボール競技
"Parque natural de la Cumbre, el Circo y las Lagunas de Peñalara",ペニャラーラ自然公園
El Corte Inglés,エル・コルテ・イングレス
División Azul,青師団
Museo del Prado,プラド美術館
Premio Goya a la mejor interpretación femenina de reparto,ゴヤ賞 助演女優賞
Capilla Real de Granada,グラナダ王室礼拝堂
Parque natural de Mondragón,モンドラゴー自然公園
Cuevas del Drach,ドラック洞窟
Castillo de Santa Bárbara,サンタ・バルバラ城
Lérida,リェイダ
Campeonato Europeo de Atletismo en Pista Cubierta de 1998,1998年ヨーロッパ室内陸上競技選手権大会
Breña Baja,ブレーニャ・バハ
Avilés,アビレス
Hayedos primarios de los Cárpatos y otras regiones de Europa,カルパティア山脈のブナ原生林
Día Once de Septiembre,ディアーダ・ナシウナル・ダ・カタルーニャ
Monasterio de Santes Creus,サンタス・クレウス修道院
río Águeda,アゲダ川
río Sil,シル川
SuperWASP,スーパーWASP
Universidad de Jaén,ハエン大学
Gran Premio de España de 1986,1986年スペイングランプリ
Árabes cristianos,アラブ人キリスト教徒
Torrente,トレント (バレンシア県)
Campeonato Mundial de Bádminton de 2006 - Individual femenino,2006年世界バドミントン選手権大会女子シングルス
Cartagena,カルタヘナ
España en los Juegos Olímpicos de Squaw Valley 1960,1960年スコーバレーオリンピックのスペイン選手団
Sendero Europeo E-4,E4 ヨーロッパ長距離ハイキングコース
Estadio José Zorrilla,エスタディオ・ホセ・ソリージャ
Vuelo 5022 de Spanair,スパンエアーJK5022便離陸失敗事故
Orden de Alfonso XII,アルフォンソ12世文官勲章大十字勲章
Teror,テロール (ラス・パルマス)
Comarca de Baza,コマルカ・デ・バサ
Telefónica,テレフォニカ
río Ara,アラ川
Ólvega,オルベガ
españoles,スペイン人
AD Orcasitas,ADオルカシタス
Agrupación Deportiva Parla,ADパルラ
Paradela,パラデーラ
Gestalgar,ゲスタルガル
Izquierda Unida,統一左翼
Aracena,アラセーナ
Alta Velocidad Española,AVE
Altadis,アルタディス
provincia de España,スペインの県
El Paso,エル・パソ (スペイン)
Serie 103 de Renfe,レンフェ103系電車
comarca de la Baja Limia,コマルカ・ダ・バイシャ・リミア
Bandera de las Islas Baleares,バレアレス諸島の旗
Comarca de La Coruña,コマルカ・ダ・コルーニャ
Altea,アルテア
Roa,ロア (スペイン)
Primera División de España 2005/06,リーガ・エスパニョーラ2005-2006
Río Lérez,レレス川
río Miño,ミーニョ川
Club Getafe Deportivo,ヘタフェ・デポルティーボ
Icod de los Vinos,イコド・デ・ロス・ビノス
Camp Nou,カンプ・ノウ
Arlanzón,アルランソン川
Esgueva,エスゲーバ川
Río Esla,エルサ川
Festival Internacional de Cine de San Sebastián,サン・セバスティアン国際映画祭
gastronomía de España,スペイン料理
Palos de la Frontera,パロス・デ・ラ・フロンテーラ
Zapardiel,サパルディエール川
Duratón,ドゥラトン川
río Adaja,アダーハ川
Tormes,トルメス川
Corporación Mondragon,モンドラゴン協同組合企業
Conferencia Internacional de Algeciras,アルヘシラス会議
Numancia,ヌマンティア
río Cea,セア川
Órbigo,オルビゴ川
Río Eria,エリア川
Tera,テラ川
Huebra,ウエブラ川
Puerto de la Cruz,プエルト・デ・ラ・クルス
Acueducto de les Ferreres,ラス・ファレーラス水道橋
San Lorenzo del Monte,サン・リョレンス
Sport,スポルト (新聞)
Ciudad Real,シウダー・レアル
Coslada,コスラーダ
Junta General del Principado de Asturias,州議会
Nuevo Estadio de Los Cármenes,ヌエボ・エスタディオ・デ・ロス・カルメネス
Foix,フォワ川
Fuente Vaqueros,フエンテ・バケーロス
Cuenca,クエンカ
Albacete,アルバセテ
Estadio Santiago Bernabéu,エスタディオ・サンティアゴ・ベルナベウ
Cuenca de Barberá,コンカ・ダ・バルバラー
Ribera de Ebro,リベーラ・デブラ
Tierra Alta,テーラ・アルタ
Primera batalla de Algeciras,第一次アルヘシラスの戦い
Esquerra Unida i Alternativa,アスケーラ・ウニーダ・イ・アルタルナティーバ
Santa Cruz de La Palma,サンタ・クルス・デ・ラ・パルマ
Castellón de la Plana,カステリョン・デ・ラ・プラナ
Tarragonés,タラグネス
Bajo Campo,バッシ・カム
Bajo Penedés,バッシュ・パナデス
Bergadá,バルゲダー
Bages,バジェス
VirusTotal,VirusTotal
fútbol en España,スペインのサッカー
Instituto Cervantes,セルバンテス文化センター
Aeropuerto Adolfo Suárez Madrid-Barajas,アドルフォ・スアレス・マドリード＝バラハス空港
Bierzo,ビエルソ (DO)
Ribeira Sacra,リベイラ・サクラ (DO)
Cerámica de Paterna,パテルナ陶器
Arafo,アラフォ
Galera,ガレラ
Villa de Mazo,ビリャ・デ・マソ
Orihuela del Tremedal,オリウエラ・デル・トレメダル
España en los Juegos Olímpicos de Los Ángeles 1984,1984年ロサンゼルスオリンピックのスペイン選手団
Comarca de Fonsagrada,コマルカ・ダ・フォンサグラーダ
Alto Gállego,アルト・ガリェゴ
Angliru,アングリル
Alvia,アルビア (列車)
Alájar,アラハル
Arlanza,アルランサ川
Derio,デリオ
Pedrola,ペドロラ
Carballo,カルバージョ
Valderaduey,バルデラドゥエイ川
Pisuerga,ピスエルガ川
Carrión,カリオン川
Vuelta a Aragón,ブエルタ・ア・アラゴン
Medalla Militar,スペイン軍事勲章
Ofensiva de Aragón,アラゴン攻撃
escudo de España,スペインの国章
Circuito de Cataluña,カタロニア・サーキット
circuito urbano de Valencia,バレンシア市街地コース
Ceánuri,セアヌリ
Vuelta Ciclista a Murcia,ブエルタ・ア・ムルシア
Los del Río,ロス・デル・リオ
Barcelonés,バルサルネス
Bajo Llobregat,バッジ・リュブラガート
Noya,アノヤ (クマルカ)
harri-jasotze,ハリ＝ハソツェ
Lermanda,レルマンダ
Guadahortuna,グアダオルトゥナ
Huéscar,ウェスカル
Casas-Ibáñez,カサス＝イバーニェス
Cádiz Club de Fútbol,カディスCF
Comarca de Paradanta,コマルカ・ダ・パラダンタ
Anexo:Trayectoria del Real Madrid Club de Fútbol,レアル・マドリードの年度別成績一覧
Real Academia Catalana de Bellas Artes de San Jorge,サン・ジョルディ王立音楽院
Cercanías Málaga,セルカニアス・マラガ
Batalla de Talavera,タラベラの戦い
Virreinato de Nueva España,ヌエバ・エスパーニャ
HRT F1 Team,HRT F1
Cerdaña,サルダーニャ
Antigua,アンティグア (フエルテベントゥーラ島)
Generación del 27,27年世代
batalla de Trafalgar,トラファルガーの海戦
La Mariña Central,コマルカ・ダ・マリーニャ・セントラル
Elche de la Sierra,エルチェ・デ・ラ・シエラ
Amboto,アンボト
Comarca de La Limia,コマルカ・ダ・リミア
Gran Premio de España de 2008,2008年スペイングランプリ
Bajo Ebro,バッシ・エブラ
Alto Campo,アールト・カーンプ
Montsiá,ムンシアー
Altos Hornos De Vizcaya,ビスカヤ高炉
Anexo:15.ª etapa del Tour de Francia 2005,ツール・ド・フランス2005 第15ステージ
Museo Nacional Centro de Arte Reina Sofía,ソフィア王妃芸術センター
Casa Batlló,カサ・バトリョ
La Mariña Occidental,コマルカ・ダ・マリーニャ・オクシデンタル
La Mariña Oriental,コマルカ・ダ・マリーニャ・オリエンタル
SEAT Ibiza,セアト・イビサ
Caldas de Montbuy,カルデス・デ・モンブイ
Almadén,アルマデン
Aralar,アララール (政党)
Aramón Cerler,セルレール
Aranda,アランダ
Garraf,ガラフ
Derecho de España,スペインの法律
Autovía Valladolid-León,バジャドリッド-レオン高速道路（スペイン）
Arbo,アルボ
Cardedeu,カルダデウ
Palau Sant Jordi,パラウ・サン・ジョルディ
Mogán,モガーン (ラス・パルマス)
Montes de Toledo,トレード山地
Primera División de España 1931/32,リーガ・エスパニョーラ1931-1932
Comarca de Ulloa,コマルカ・ダ・ウジョーア
Parque nacional y natural de Doñana,ドニャーナ国立公園
Gran Premio de España de 1974,1974年スペイングランプリ
Gran Premio de España de 1972,1972年スペイングランプリ
Gran Premio de España de 1976,1976年スペイングランプリ
Gran Premio de España de 1971,1971年スペイングランプリ
Circuito de Montjuïc,モンジュイック・サーキット
Gran Premio de Europa de 2012,2012年ヨーロッパグランプリ
Burro catalán,カタラン・ロバ
Circuito de Jerez,ヘレス・サーキット
Clásica San Sebastián 2005,クラシカ・サンセバスティアン2005
religión en España,スペインの宗教
Mendaro,メンダロ
Rec Comtal,レック・コンタル
Circuito del Jarama,ハラマ・サーキット
Circuito de Pedralbes,ペドラルベス・サーキット
Gran Premio de España de 2009,2009年スペイングランプリ
Orden del Toisón de Oro,金羊毛騎士団
Aceralia,アセラリア
Los Caños de Meca,ロス・カニョス・デ・メカ
Parque nacional de Garajonay,ガラホナイ国立公園
Astorga,アストルガ
Campeonato Mundial de Ciclismo de Montaña de 2000,世界選手権自転車競技大会マウンテンバイク2000
Amandi (Villaviciosa),アマンディ
Amaya,アマヤ
Protectorado español de Marruecos,モロッコ北部保護領
Gran Premio de España de 1981,1981年スペイングランプリ
Gran Premio de España de 1969,1969年スペイングランプリ
Gran Premio de España de 1970,1970年スペイングランプリ
Gran Premio de España de 1973,1973年スペイングランプリ
Gran Premio de España de 1978,1978年スペイングランプリ
Gran Premio de España de 1977,1977年スペイングランプリ
Gran Premio de España de 1968,1968年スペイングランプリ
Gran Premio de España de 1979,1979年スペイングランプリ
Gran Premio de España de 1975,1975年スペイングランプリ
Palacio Real de Madrid,王宮
Chinchilla de Montearagón,チンチーリャ・デ・モンテ・アラゴン
Alaris,アラリス
Mollet del Vallés,ムリェード・ダル・バリェース
Montmeló,ムンマロー
Albacete Balompié,アルバセテ・バロンピエ
Albaicín,アルバイシン
Estación de Cádiz,カディス駅
Primera División de España 1989/90,リーガ・エスパニョーラ1989-1990
Campeonato Europeo de Natación en Piscina Corta de 2000,2000年ヨーロッパ短水路選手権
Terrassa Futbol Club,タラサFC
Diputación General de Aragón,アラゴン総評議会
España en los Juegos Olímpicos de Amberes 1920,1920年アントワープオリンピックのスペイン選手団
Aduna,アドゥナ
Jaizquíbel,ハイスキベル
Friol,フリオル
Amorebieta-Echano,アモレビエタ＝エチャノ
Manzanilla,マンサニージャ
Lubrín,ルブリン
Terra Lliure,テーラ・リウラ
RCDE Stadium,エスタディ・コルネリャ＝エル・プラット
