Margareta Kozuch,マルガレーテ・コズーフ
Barbara Kurzaj,バーバラ・クルザイ
Cezary Studniak,セザリー・スタドニアック
Barbara Świątek-Żelazna,バルバラ・シフィオンテク
Andrzej Fiedor,アンジェイ・ フィエドル
Cecylia Walewska,セシリア・ワレフスカ
Elżbieta Adamiak,エルジュビェタ・アダミャク
Anna Iwaszkiewicz,アンナ・イヴァシュキェヴィッチ
Anna Kazejak,アンナ・カゼジャク
Anna Kalczyńska,アンナ・カルチンスカ
Cezary Żak,ツェザリ・ザック
Bazyli Samojlik,バジリ・サモイリク
Elżbieta Stefańska,エルジュビェタ・ステファンスカ
Anna Radwan,アンナ・ラドヴァン
Anna Maria Buczek,アンナ・マリア・ブチェク
Franciszek Krzywda-Polkowski,フランチシェク・クジュヴダ＝ポルコフスキ
Anna Tomaszewicz-Dobrska,アンナ・トマシェヴィッチ＝ドブルスカ
Anna Wendzikowska,อันนา เวนซิคอฟสกา
Franciszek Nowodworski,フランチセク・ノヴォドヴォルスキ
DJ Remo,DJレモ
Benedykt Fuliński,ベネディクト・フリンスキ
Antoni Boratyński,アントニ・ボラティンスキー
Antoni Chrościcki,アントニ・フロシチーツキ
Gertruda Kilosówna,ゲルトルーダ・キロソウナ
Bodo Kox,ボーデ・コックス
Grażyna Barszczewska,グラジナ・バルシュチェフスカ
Henryk Policht,ヘンリク・ポリフト
Dariusz Jemielniak,ダリウス・ジェミエルニアク
Dariusz Biskupski,ダリウシュ・ビスクプスキ
Eugeniusz Szermentowski,オイゲニウス・シェルメントフスキ
Eugeniusz Pławski,エウゲニウシュ・プワウスキ
Grzegorz Gajos,グジェゴシュ・ガヨス
Bogna Krasnodębska-Gardowska,ボグナ・クラスノデウンブスカ＝ガルドフスカ
Dariusz Siastacz,ダリウス・シアスタツ
Henryk Stokłosa,ヘンリク・ストクワサ
Grzegorz Pacek,グジェゴシュ・パセック
Bogumił Pawłowski,ボグミウ・パヴウォフスキ
Grzegorz Piotrowski,グジェゴシュ・ピョトロフスキ
Dawid Ogrodnik,ダヴィド・オグロドニク
Ewa Kolasińska,エヴァ・コラシンスカ
Grzegorz Łomacz,グジェゴシュ・ウォマチ
Halina Chrostowska,ハリナ・クロストフスカ
Halina Skoczyńska,ハリナ・スコチンスカ
Halina Winiarska,ハリナ・ウィニアスカ
Stanisław Szczotka,スタニスワフ・シュチョツカ
Fabian Drzyzga,ファビアン・ジズガ
Stanisław Szudrowicz,スタニスワフ・シュドロヴィッチ
Faustyna Morzycka,ファウスティナ・モルジツカ
Rafał Maserak,ラファル・マセラク
Sara Müldner,サラ・ミュルドナー
Sandra Kruk,サンドラ・クルク
Henryk Grotowski,ヘンリック・グロトフスキ
Tadeusz Jarecki,タデウシュ・イアレッキ
Regina Bielska,レギナ・ビエルスカ
Henryk Krajewski,レシヌィ大佐
Rafał Trzaskowski,ラファウ・トシャスコフスキ
Rena Rolska,レナ・ロルスカ
Tadeusz Jędrzejczak,タデウシュ・イェジェイチャク
Henryk Klawe,ヘンリク・クラーヴェ
Henryk Lipszyc,ヘンリク・リプシッツ
Stanisław Barącz,スタニスワフ・バロンチ
Stefan Bratkowski,ステファン・ブラトコフスキ
Stanisława Pawłowska,スタニスワヴァ・パヴウォフスカ
Tymon Tymański,ティモン・ティマンスキ
Tymon Niesiołowski,ティモン・ニエショヴォフスキ
Tytus Woyciechowski,ティトゥス・ヴォイチェホフスキ
Tadeusz Piotrowski,タデウシュ・ピョトロフスキ
Tadeusz Seweryn,タデウシュ・セヴェルィン
Stefan Lubomirski,ステファン・ルボミルスキ
Roman Gancarczyk,ロマン・ガナルチック
Roman Lasocki,ロマン・ラソツキ
Tadeusz Vetulani,タデウシュ・ヴェトゥラニ
Romuald Gutt,ロムアルド・グッド
Roman Suszko,ロマン・スシュコ
Stanisław Karczewski,スタニスワフ・カルチェフスキ
Roman Smoluchowski,ローマン・スモルコフスキー
Stanisław Kocańda,S. コサンダ
Waldemar Barwiński,ヴァルデマール・バルヴィンスキ
Stanisław Kazimierz Ostrowski,スタニスワフ・カジミェシュ・オストロウスキー
Stefan Surzyński,ステファン・スジニスキ
Waldemar Kotas,ヴァルデマル・コタス
Stefan Tyszkiewicz,ステファン・ティシュキエヴィッチ
Teofil Simchowicz,テオフィル・シムコヴィッツ
Stanisław Marchewka,スタニスワフ・マルヘフカ
Tomasz Bulik,トマシュ・ブリク
Tomasz Bednarczyk,トマシュ・ベドナルチク
Tomasz Dedek,トマシュ・デデク
Tomasz Adamczuk,トマシュ・アダムチューク
Tomasz Arceusz,トマシュ・アルツェウシュ
Stanisław Michalkiewicz,スタニスワフ・ミハルキェヴィチ
Tomasz Borkowy,トマシュ・ボルコヴィ
Szymon Hołownia,シモン・ホウォヴニャ
Tomasz Grodzki,トマシュ・グロツキ
Szymon Tenenbaum,シモン・テネンバウム
Witold Cęckiewicz,ヴィトルド・チェンチキェヴィチ
Witka Kowner,ヴィクタ・ケンプナー
Witold Abramowicz,ヴィトルト・アブラモヴィチ
Wiesław Błach,ヴィエスワフ・ブワフ
Tomasz Kowalski,トマシ・コヴァルスキ
Witold Jabłoński,ウィットルド・ヤブロンスキー
Tomasz Niewodniczański,トマシュ・ニェボードニーチャンスキー
Witold Krzemieński,ヴィトルド・クルゼミンスキ
Zdzisław Szostak,ズジスワフ・ショスタク
Wojciech Bruszewski,ヴォイチェフ・ブルシェヴスキ
Wojciech Birek,ウォーシエック・ビレック
Witold Waszczykowski,ヴィトルト・ヴァシチコフスキ
Zdzisław Wardejn,ズジスワフ・ワルディン
Wojciech Dziembowski,ヴォイチェフ・ジエンボウスキー
Włodzimierz Czarzasty,ヴウォジミェシュ・チャジャスティ
Wiktor Górka,ヴィクトル・グルカ
Wojciech Duryasz,ヴォイチェフ・ドゥルヤシュ
Zenon Kowalowski,ゼノン・コヴァロフスキー
Wiktor Junosza Piotrowski,ヴィクトル・ユノザ・ピオトロフスキ
Wilhelm Kolberg,ヴィルヘルム・コルベルク
Wojciech Mecwaldowski,ヴォイチェフ・メツファルドフスキ
Zofia Dybowska-Aleksandrowicz,ゾフィア・ダイボースカ・アレックサンドロウィックツ
Tadeusz Chmielewski,タデウシュ・チミエレフスキ
Wojciech Nowicki,ヴォイチェフ・ノビキ
Yared Shegumo,ヤレド・シェグモ
Zofia Rydet,ゾフィア・リデト
Wincenty Szymborski,ヴィンツェンティ・シンボースキー
Wincenty Okoń,ウィンセンティ・オコン
Wojciech Reszko,ヴォイチェフ・レシェコ
Wojciech Waglewski,ヴォイチェフ・ヴァグレフスキ
Zygmunt Chajzer,ジグムント・チェイザー
Filip Starzyński,フィリップ・スタジンスキ
Filip Garbacz,フィリップ・ガルバッツ
Franciszek Jachieć,ロマン大佐
Wojciech Świtała,ヴォイチェフ・シヴィタワ
Władysław Baka,ヴワディスワフ・バカ
Andrzej Blumenfeld,アンジェイ・ブルーメンフェルド
Gabriel Leńczyk,ガブリエル・レンチク
Zygmunt Marszewski,カジミェシュ中佐
Zygmunt Michałowski,ジグムント・ミハウォフスキ
Władysław Blinstrub,ヴワディスワフ・ブリンストルブ
Grażyna Dudek,グラジナ・ドゥデク
Władysław Górski,ヴワディスワフ・グルスキ
Andrzej Zieliński,アンジェイ・ジーリンスキー
Grzegorz Heromiński,グジェゴシ・ヘロミンスキー
Gerard Mach,ゲラルド・マック
Aniela Zagórska,アニエラ・ザゴルスカ
Władysław Herman,ジュラフ大尉
Łukasz Borowicz,ウカシュ・ボロヴィチ
Władysław Dąbrowski,ヴワディスワフ・ドンブロフスキ
Zygmunt Walter-Janke,ジグムント大佐
Łukasz Krawczuk,ウカシュ・クラフチュク
Łukasz Janik,ウカシュ・ヤニク
Zbigniew Rau,ズビグニェフ・ラウ
Władysław Kowalski,ヴワディスワフ・コヴァルスキ
Grzegorz Sitarski,グルジェゴルツ・シタルスキー
Łukasz Płoszajski,ルカシュ・プロザイスキー
Antoni Pawlicki,アントニ・パヴリツキ
Barbara Ślizowska,バルバラ・ヴィルク＝シゾフスカ
Henryk Gawroński,ヘンリック・ガヴロニスキ
Maria Wasiak,マリア・ヴァシャク
Adam Dźwigała,アダム・ジビガワ
Michał Gryziński,ミハウ・グリジンスキー
Cezary Kulesza,ツェザリー・クレシャ
Borys Budka,ボリス・ブトカ
Władysław Serczyk,ヴワディスワフ・アンジェイ・セルチク
Beata Maksymow,ベアタ・マクシモフ
Zdzisław Jasiński,ズジスワフ・ヤシンスキ
Daniel Moszkowicz,ダニエル・モスコヴィッツ
Zdzisław Piernik,ズジスワフ・ピエルニク
Katarzyna Nowak,カタジナ・ノバク
Anastasija Wychodcewa,アナスタシヤ・ヴィホドツェワ
Kazimierz Lubomirski,カジミェシュ・ルボミルスキ
Paweł Łukaszewski,パヴェウ・ウカシェフスキ
Maksymilian Zimoląg,マクシミリアン・ツィモロング
Marcin Różalski,マーティン・ロザルスキー
Jacek Kaspszyk,ヤツェク・カスプシク
Jadwiga Rodowicz-Czechowska,ヤドヴィガ・ロドヴィッチ
Leon Hufnagel,レオン・フフナゲル
Zdzisław Sierpiński,ズジスワフ・シエルピンスキ
Jacek Petrycki,ヤツェク・ペトリツキ
Krzysztof Szpilman,クリストファー・W・A・スピルマン
Konstanty Kulka,コンスタンティ・クルカ
Hugo Kolberg,フーゴ・コルベルク
Małgorzata Bielak,マウゴジャータ・ビエラク
Adam Wiślicki,アダム・ウィシュリツキ
Irit Amiel,イリット・アミエル
Dominika Sell,ドミニカ・セル
Jacek Purchla,ヤツェク・プルフラ
Izabela Kuna,イザベラ・クナ
Izabela Leszczyna,イザベラ・レシュチナ
Edward Bogusławski,エドヴァルト・ボグスワフスキ
Izabella Bukowska,イザベラ・ブコウスカ
Dorota Niedziela,ドロタ・ニェジェラ
Agnieszka Fatyga,アグネシュカ・ファティガ
Jadwiga Piłsudska,ヤドヴィガ・ピウスツカ
Jakub Bartkowski,ヤクブ・バルトコフスキ
Jacek Czaputowicz,ヤツェク・チャプトヴィチ
Jagna Janicka,ジャニャ・ヤニッカ
Jakub Popiwczak,ヤクブ・ポピフチャク
Jacek Borcuch,ヤツェク・ボルツフ
Jan Aleksandrowicz-Krasko,ヤン・クリスコ
Jan Szymański,ヤン・シマンスキ
Jan Tęgowski,ヤン・テゴフスキイ
Jarosław Kita,ヤロスワフ・キタ
Jan Toporowski,ヤン・トポロフスキー
Erwin Czerwenka,エルヴィン・チェルヴェンカ
Joachim Maj,ヨアヒム・マイ
Jan Zalasiewicz,ヤン・ザラシーヴィッチ
Józef Pomiankowski,ユゼフ・ポミャンコフスキ
Jarosław Miłowski,ヤロスワフ・ミウォフスキ
Józef Razowski,ユゼフ・ラゾフスキ
Jan Żardecki,ヤン・ザルデツキ
Janina Garścia,ヤニナ・ガルシチャ
Jan Borkowski,ヤン・ボルコウスキ
Jarosław Morawiecki,ヤロスワフ・モラヴィエツキ
Jarosław Mika,ヤロスワフ・ミカ
Jan Dąbrowski,ヤン・ドンブロフスキ
Jan Dąbrowski,ヤン・ドンブロフスキ
Jan Błachowicz,ヤン・ブラホヴィッチ
Janina Klawe,ヤニナ・クラーヴェ
Jan Dzięgielewski,ヤン・ヂェンギェレフスキ
Józef Skłodowski,ユゼフ
Janina Porazińska,ヤニーナ・ポラジンスカ
Jolanta Dylewska,ジョランタ・ダイルースカ
Jerzy Dzik,イェジ・ヂク
Joanna Wronecka,ヨアンナ・ヴロネツカ
Jan Grabiec,ヤン・グラビェツ
Kaja Danczowska,カヤ・ダンチョフスカ
Jan Kanty Zamoyski,ヤン・カンティ・ザモイスキ
Jan Gondowicz,ヤン・ゴンドヴィッチ
Janusz Chabior,ヤヌシュ・ハビョル
Janusz German,ヤヌス・ジャーマン
Jerzy Gudejko,イェジ・グデイコ
Kajetan Kajetanowicz,カイエタン・カイエタノヴィッチ
Jolanta Grusznic,ジョランタ・グルシュニク
Jolanta Wołłejko,ヨランタ・ヴォレイコ
Jolanta Umecka,ヨランタ・ウメッカ
Julian Filipowicz,ルク大佐
Jerzy Kalibabka,イェジー・カリバブカ
Kamil Szeremeta,カミル・シェルメタ
Jerzy Kozakiewicz,イェジ・コザキエビッチ
Kamila Frątczak,カミラ・フラトチャク
Jan Komasa,ヤン・コマサ
Justyna Schneider,ユスティナ・シュナイダー
Karol Mańka,カロル・マンカ
Karol Małcużyński,カロル・マウツジニスキ
Jerzy Marchwiński,イェジー・マルクウィンスキ
Justyna Kozdryk,ユスティナ・コズドリク
Juliusz Kydryński,ユリウス・キドリンスキ
Józef Arno Włodarski,ユゼフ・アルノ・ウォダルスキ
Justyna Budzińska-Tylicka,ユスティナ・ブジンスカ＝ティリッカ
Jerzy Panek,イェルツィ・パネク
Karol Starmach,カロル・スタルマフ
Karol Stefan Altenburg,カロル・ステファン・アルテンブルク
Janusz Reykowski,ヤヌシュ・レイコフスキ
Jerzy Nowacki,イェジ・パヴェウ・ノヴァツキ
Jerzy Regulski,イェジ・レグルスキ
Jerzy Pomianowski,イェジ・ポミャノフスキ
Katarzyna Gniewkowska,カタルジナ・グニエフコフスカ
Katarzyna Bargiełowska,カタジナ・バルギェウォフスカ
Katarzyna Łaska,カタジナ・ワスカ
Katarzyna Łaniewska,カタジナ・ワニェフスカ
Katarzyna Paskuda,カタジナ・パスクダ
Katarzyna Pełczyńska-Nałęcz,カタジナ・ペウチニスカ＝ナウェンチュ
Kazimierz Stołyhwo,カジミェシュ・ストウィフフォ
Jerzy Sławomir Wasilewski,イェジ・スワヴォミル・ヴァシレフスキ
Katarzyna Kołeczek,カタルジナ・コジェチェク
Katarzyna Groniec,カタルジナ・グロニエツ
Katarzyna Grzybowska,カタジナ・グジボフスカ
Józef Duriasz,ヨゼフ・ドゥリアス
Kazimiera Bujwidowa,カジミエラ・ブジウィドワ
Janusz Zadura,ヤヌス・ザドゥラ
Jerzy Wierchowicz,イェジ・ヴィエルホヴィッチ
Katarzyna Wajda,カタジナ・ワイダ
Kazimierz Browicz,カジミェシュ・ブロヴィチ
Konrad Herrmann,コンラッド・ハーマン
Janusz Wituch,ヤヌシュ・ウィッチ
Laura Łącz,ローラ・アンチュ
Krzysztof Zdzitowiecki,クシストフ・ズジトヴィエツキ
Maciej Zakościelny,マチェイ・ザコシェルニー
Konstanty Mikołaj Radziwiłł II,コンスタンティ・ミコワイ・ラジヴィウ2世
Lechosław Marszałek,レホスワフ・マルシャウェク
Józef Jeka,ユゼフ・ジェカ
Krzysztof Żołnierowicz,クシシュトフ・ジョウニェロヴィチ
Maciej Ślesicki,マチェイ・シレシツキ
Magda Leja,マグダ・レーヤ
Józef Wierusz-Kowalski,ユゼフ・コヴァルトスキ
Krystian Zalewski,クリスティアン・ザレフスキ
Leon Andrzejewski,レオン・アンドルゼエフスキー
Magdalena Wichrowska,マグダレーナ・ステルマック
Kazimierz Kwiatkowski,カジミェシュ・クフャトコフスキ
Józef Lis,ジョセフ・シルバー
Leon Dunin-Wolski,レオン・デューニン＝ヴォルスキ
Leon Koc,レオン・コック
Magdalena Stużyńska-Brauer,マグダレナ・ストゥジンスカ
Magdalena Turczeniewicz,マグダレナ・トゥルチェニエヴィチ
Magdalena Wołłejko,マグダレナ・ヴォレイコ
Malwina Smarzek,マルヴィナ・スマジェク
Malwina Kopron,マルヴィナ・コプロン
Marzena Okła-Drewnowicz,マジェナ・オクワ＝ドレヴノヴィチュ
Margaret Schlauch,マーガレット・シュラウフ
Maria Gontowicz,マリア・ゴントビッチ
Mateusz Ligocki,マテウシュ・リゴツキ
Leszek Pękala,レシェク・ペンカラ
Marcin Chochlew,マーシン・チョークルー
Krzysztof Hetman,クシシュトフ・ヘトマン
Leszek Starkel,レシェク・スターケル
Mateusz Morawiecki,マテウシュ・モラヴィエツキ
Marcin Budkowski,マルシン・ブドコウスキー
Marcin Fabiański,マルティン・ファヴィアンスキ
Mateusz Święcicki,マテウシュ・シフィエンチツキ
Marcin Janusz,マルチン・ヤヌシュ
Maria Dulębianka,マリア・ドゥレンビアンカ
Marcin Dorociński,マルチン・ドロチンスキ
Krzysztof Jotko,クリストフ・ヨトゥコ
Marcin Kierwiński,マルチン・キェルヴィニスキ
Krzysztof Jabłoński,クシシュトフ・ヤブウォンスキ
Małgorzata Hajewska-Krzysztofik,マウゴジャタ・ハイェフスカ＝クシシュトフィク
Maria Krystyna Altenburg,マリア・クルスティナ・アルテンブルク
Marcin Nałęcz-Niesiołowski,マルチン・ナウェンチ＝ニエショウォフスキ
Małgorzata Roszkowska,マウゴジャータ・ロシュコフスカ
Małgorzata Kukucz,マウゴジャータ・ククチ
Maria Piechotka,マリア・ピチョクトカ
Marcin Krukowski,マルチン・クルコフスキ
Marcin Kydryński,マルシン・キドリンスキ
Maria Maciejowska,マリア・マチェヨフスカ
Maria Stypułkowska-Chojecka,マリア・スティプルコフスカ＝ホイェスカ
Marcin Perchuć,マルチン・ペルチュッチ
Marian Bełc,マリアン・ベウチ
Maria Turzyma,マリア・トゥジマ
Michał Adamczyk,ミハウ・アダムチク
Marcin Masecki,マルチン・マセッキ
Marcin Stec,マルティン・ステック
Ludwik Konarzewski,ルドヴィク・コナジェフスキ
Michał Breitenwald,ミハウ・ブレイテンヴァルト
Ludwik Stefański,ルードヴィク・ステファンスキ
Michał Englert,ミハウ・エングレルト
Ludwik Martel,ルドヴィク・マーテル
Krzysztof Pieczyński,クシシュトフ・ピチェンスキ
Marcin Wroński,マルシン・ウォロスキ
Maciej Berek,マチェイ・ベレク
Marcin Zamoyski,マルチン・ザモイスキ (ザモシチ地長)
Krzysztof Szczerbiński,クシシュトフ・シュチェルビンスキ
Marek Bocianiak,マレク・ボシアニアック
Michał Konarski,ミハウ・コナースキ
Michał Kruk,マイケル・クルーク
Krzysztof Siemion,クシシュトフ・シェミオン
Michał Ligocki,ミカウ・リゴツキ
Maciej Kowalik,マチェイ・コワリク
Marek Czyż,マレク・チシュ
Michał Kwieciński,ミハウ・クフィェチンスキ
Milo Kurtis,ミロ・カーティス
Mirosław Jabłoński,ミロスワフ・ヤブロンスキ
Mirosław Bańko,ミスロワフ・トマシュ・バンコ
Piotr Bąk,ピオトル・ボン
Michał Radomił Wiśniewski,ミハウ・ラドミル・ヴィシニェフスキ
Michał Pietrzak,ミハウ・ピエトゥシャック
Piotr Dzięcioł,ピョートル・ヂェチョウ
Piotr Gliński,ピョトル・グリンスキ
Mirosław Graf,ミロスワヴ・グラーフ
Marian Łącz,マリアン・ワンチュ
Marianna Popiełuszko,マリアンナ・ポピエウシュコ
Piotr Głowacki,ピョートル・グロヴァツキ
Mieczysław Koba,ミェチスワフ・コバ
Piotr Hofmański,ピョートル・ホフマンスキ
Mieczysław Jurgielewicz,ミエチスワフ・ユルギエレヴィチ
Miłogost Reczek,ミウォゴスト・レチェク
Modest Ruciński,モデスト・ルチンスキー
Mieczysław Gil,ミェチスワフ・ギル
Mariusz Saniternik,マリウス・サニテルニク
Monika Krzywkowska,モニカ・クシフコフスカ
Monika Kuszyńska,モニカ・クシンスカ
Monika Muskała,モニカ・ムスカラ
Mariusz Treliński,マリウシュ·トレリンスキ
Mieczysław Morański,ミエチスワフ・モランスキ
Piotr Lisek,ピオトル・リセク
Marta Dobecka,マルタ・ドベッカ
Marta Bitner,マータ・ビトナー
Marta Malikowska,マルタ・マリコウスカ
Mieczysław Poznański,ミェチスワフ・ポズナンスキー
Nika Strzemińska,ニカ・ストゥシェミンスカ
Mieczysław Słaby,ミェチスワフ・スワビー
Olaf Deriglasoff,オラーフ・デリグラソフ
Mieczysław Wejman,ミエチスワフ・ヴェイマン
Bronisław Wiktor,ブロニスワフ・ヴィクトル
Dariusz Klimczak,ダリュシュ・クリムチャク
Olek Mincer,オレック・ミンサル
Oliwia Jabłońska,オリビア・ヤブウォニスカ
Olsen (raper),オルセン
Piotr Sobociński,ピョートル・ソボチンスキー・Jr
Patryk Chojnowski,パトリック・ホイノフスキ
Patryk Vega,パトリック・ベガ
Otylia Kałuża,オティリア・タバツカ
Janusz Wojtusiak,ヤヌシュ・ヴォイトゥシャク
Agata Trzebuchowska,アガタ・チュシェブホフスカ
Paulina Kaczanow,マリアンナ・ロキータ
Paulina Kuczalska-Reinschmit,パウリナ・クチャルスカ＝ラインシュミット
Ifi Ude,イフィ・ウデ
Paulina Młynarska,ポーリナ
Piotr Wereśniak,ピョートル・ヴェレスニャク
Kamila Lićwinko,カミラ・リチュウィンコ
Piotr Zgorzelski,ピョトル・ズゴジェルスキ
Pola Nireńska,ポーラ・ニレンスカ
Henryka Mościcka-Dendys,ヘンリュカ・モッスィカ＝デンディー
Anna Medwecka-Kornaś,アンナ・メドヴェツカ＝コルナシ
Przemysław Bluszcz,プシェミスワフ・ブルシュチュ
Paulina Chapko,パウリナ・ハプコ
Aleksander Szymkiewicz,アレクサンデル・シムキエヴィチ
Paweł Bernas,パヴェウ・ベルナス
Paweł Chochlew,パヴェウ・ホフレフ
Przemysław Nowakowski,プシェムィスワフ・ノヴァコフスキ
Cleo,クレオ
Piotr Żuchowski,ピオトル・ジュホフスキ
Załmen Gradowski,ザルマン・グラドフスキ
Piotr Puszkarski,ピオトル・プシュカルスキ
Przemysław Stippa,プシェミスワフ・スティッパ
Rafał Malczewski,ラファウ・マルチェフスキ
Paweł Ciołkosz,パヴェウ・チョウコス
Rafał Mohr,ラファウ・モール
Rafał Omelko,ラファル・オメルコ
Łukasz Wiśniowski,ウーカシュ・ヴィシニオフスキ
Antoni Starczewski,アントーニ・スタルチェフスキー
Rafał Buszek,ラファウ・ブシェク
Rafał Zawierucha,ラファウ・ザヴィエルチャ
Robert Kantereit,ロバート・カンテライト
Dawid Kownacki,ダヴィド・コフナツキ
Józef Lubański,ヨゼフ・ルバンスキ
Margaret,マーガレット
Karolina Kowalkiewicz,カロリーナ・コバケビッチ
Roland Cieślak,ローランド・ツィエスラク
Joanna Jędrzejczyk,ヨアナ・イェンジェイチック
Paweł Sztompke,パヴェウ・シュトンプケ
Paweł Szałamacha,パヴェウ・シャワマハ
Philippe Tłokiński,フィリップ・トウォキンスキ
Oktawia Nowacka,オクタヴィア・ノヴァツカ
Ewa Pajor,エヴァ・パヨル
Marcin Tybura,マルチン・ティブラ
Katarzyna Połeć,カタジナ・ポウェチ
Aleksandra Król,アレクサンドラ・クルル
Pezet,ペゼト
Natalia Kaliszek-Wąsik,ナタリア・カリシェク
Jan Bednarek,ヤン・ベドナレク
Mirosław Nagielski,ミロスワフ・ナギェルスキ
Krzysztof Kciuk,クルジュシュトク・クチュク
Paweł Słomiński,パヴェウ・スウォミンスキ
Sebastian Bonecki,セバスティアン・ボネツキ
Michał Helik,ミハウ・ヘリク
Damian Ciechanowski,ダミアン・チェハノフスキ
Paweł Raczkowski,パウエル・ラクツコウスキー
Krzysztof Kamiński,クシシュトフ・カミンスキー
Filip Jagiełło,フィリップ・ヤギェウォ
Filip Chajzer,フィリップ・チャザー
Przemysław Kita,プシェミスワフ・キタ
Przemysław Kita,プシェミスワフ・キタ
Tomasz Ziętek,トマシュ・ジェンテク
Sylwester Zawadzki,シルヴェスタ・ザヴァツキ
Ewa Swoboda,エヴァ・スヴォボダ
Sofia Ennaoui,ソフィア・エナウイ
Ryszard Fischbach,リザード・フィッシュバッハ
Grzegorz Rossoliński-Liebe,ロゾリンスキー・リーベ
Jakub Mareczko,ヤクブ・マレチュコ
Michał Coganianu,ミカウ・コガニアヌ
Adam Szyszkowski,アダム・シシュコフスキ
Łukasz Żal,ウカシュ・ジャル
Katarzyna Kiedrzynek,カタジナ・カイドリネック
Paweł Poljański,パヴェウ・ポリャンスキ
Caleb Stanko,カレブ・スタンコ
Anna Smołowik,アンナ・スモウォウィク
Piotr Brożyna,ピオトル・ブロージュナ
Paweł Bochniewicz,パヴェウ・ボフニェヴィチ
Patryk Stosz,パトリック・ストーシュ
Michał Paluta,ミハウ・パルタ
Tomasz Bladyniec,トマシュ・ブラディネツ
Agnieszka Rejment,アニエスカ・レイメント
Bogusław Leśnodorski,ボグスワフ・レシノドルスキ
Zofia Wichłacz,ゾフィア・ヴィフワチュ
Maksym Spodyriew,マクシム・スポディレフ
Magdalena Ogórek,マグダレナ・オグレク
Helena Sparrow,ヘレナ・スパロウ
Bogusław Szwacz,ボグスワフ・シュヴァチ
Kamil Małecki,カミル・マウエツキ
Krzysztof Charamsa,クシシュトフ・ハラムサ
Krystian Bielik,クリスティアン・ビエリク
Czesław Świrski,チュスワフ・シフィルスキー
Daniel Stefański,ダニエル・ステファンスキ
Milenia Fiedler,ミレニャ・フィェドレル
Anna Lewandowska,アナ・レヴァンドフスカ
Monika Bociek,モニカ・ガウコフスカ
Anna Plichta,アンナ・プリフタ
Łukasz Owsian,ウーカシュ・オフィシャン
Jan J. Wójcicki,ヤン・J・ヴイチツキ
Henryk Chroscicki,ヘンリック・クロシツキ
Kamil Majchrzak,カミル・マイフシャク
Martyna Grajber,マルティナ・グライベル
Adam Czerniaków,アダム・チェルニャクフ
Czesław Deptuła,チェスワフ・デプトゥワ
Aleksander Milwiw-Baron,アレクサンダー・ミルウィウ＝バロン
Marcelina Lech,マルツェリーナ・レフ
Tomasz Wasilewski,トマシュ・ヴァシレフスキ
Hubert Hurkacz,ホベルト・ホルカシュ
Józef Motyka,ユゼフ・モティカ
Sandra Kubicka,サンドラ・クビッカ
Kamil Dankowski,カミル・ダンコフスキ
Michał Walski,ミハウ・ヴァルスキ
Aleksandra Dranka,アレクサンドラ・ドランカ
Antoni Abramowicz,アントニ・アブラモヴィチ
Janina Zielińska,ヤニナ ジリンスカ
Przemysław Frankowski,プジェミスワフ・フランコフスキ
Mateusz Szwoch,マテウシュ・シュヴォフ
Mateusz Wieteska,マテウシュ・ヴィテスカ
Krzysztof Franieczek,クシシュトフ・フラニチェク
Kamil Gradek,カミル・グラデク
Bartłomiej Drągowski,バルトウォミェイ・ドロンゴフスキ
Maciej Sulęcki,マチェック・スレッキ
Andrzej Rzymkowski,アンジェイ・ジムコフスキ
Jan Kornaś,ヤン・コルナシ
Karol Angielski,カロル・アンギェルスキ
Paweł Dawidowicz,パヴェウ・ダヴィドヴィチ
Michał Masłowski,ミハウ・マスウォフスキ
Maciej Szczepaniak,マチエイ・スチェパニアク
Bartek Biedrzycki,Bartek Biedrzycki
Damian Kądzior,ダミアン・カジョル
Bartosz Kapustka,バルトシュ・カプストゥカ
Natalia Starr,ナタリア・スター
Iwona Sobotka,イウォナ・ソボトカ
Aleksander Śliwka,アレクサンデル・シリフカ
Katarzyna Niewiadoma,カタジナ・ニェヴャドマ
Piotr Żemło,ピオトル・ジェムウォ
Jarosław Kamiński,ヤロスラフ・カミンスキー
Adam Buksa,アダム・ブクサ
Jan Zieliński,ヤン・ジェリンスキ
Mateusz Gamrot,マテウス・ガムロット
Paulina Sykut-Jeżyna,パウリナ・シクト＝イェジナ
Leszek Pluciński,レシェク・プルチンスキー
Tomasz Fornal,トマシュ・フォルナル
Bartosz Kwolek,バルトシュ・クフォレク
Artur Kuciapski,アルトゥール・クチャプスキ
Mirosława Garlicka,ミロスワヴァ・ガルリツカ
Rafał Augustyniak,ラファウ・アウグスティニアク
Paweł Jałoszyński,パヴェウ・ヤウォシンスキ
Karol Świderski,カロル・シフィデルスキ
Joanna Jóźwik,ヨアンナ・ヨジュヴィク
Wanda Zeman,ヴァンダ・ゼーマン
Natalia Safran,ナターリア・サフラン
Rafał Ruta,ラファル・ルタ
Lucyna Śliwa,ルツィナ・シリヴァ
Maria Andrejczyk,マリア・アンドレイチク
Artur Szklener,アルトゥル・シュクレネル
Janina Milewska-Duda,ヤニナ・ミレフスカ＝ドゥダ
Łukasz Kaczmarek,ウーカシュ・カチュマレク
Paweł Tarnowski,パヴェウ・タルノフスキ
Marta Kolanowska,マルタ・コラノフスカ
Janusz Nowak,ヤヌシュ・スタニスワフ・ノヴァク
