José Luis Panizo,ホセ・ルイス・パニーソ
Irene Montrucchio,イレーネ・モントルッチオ
Jesús Julián Lucendo,ヘスス・フリアン・ルセンド
Joan Olivé,ホアン・オリベ
Valdo,バルミロ・ロペス・ロチャ
Moisés Hurtado,モイセス・ウルタード
Rubén González Rocha,ルベン・ゴンサレス・ロチャ
Albert Lopo,アルベルト・ロポ
Joan Verdú,ジョアン・ベルドゥ
Marcos Senna,マルコス・セナ
Guti,グティ
Juan Calatayud,フアン・カラタジュ
Gregorio Fernández,グレリオ・フェルナンデス
Jaime de Guzmán-Dávalos y Spínola,ハイメ・デ・グスマン・イ・スピノラ
Maverick Viñales,マーベリック・ビニャーレス
Vicente Espinel,ビセンテ・エスピネル
Emilio Botín,エミリオ・ボティン
Javier Villa,ハビエル・ヴィラ
Javi Ruiz,ハビ・ルイス
José Luis Blanco Quevedo,ホセ・ルイス・ブランコ・ケベード
Alonso de Ercilla,アロンソ・デ・エルシージャ
Fran Vázquez,フラン・バスケス
Mario Martínez Rubio,マリオ・マルティネス・ルビオ
Carlos Machado Sobrados,カルロス・マチャド
Juan Carlos Rodríguez Belencoso,ジョアン
Adrián López Rodríguez,アドリアン・ロペス・ロドリゲス
Pepita Tudó,ペピータ
Francisco Umbral,フランシスコ・ウンブラル
Juan Bravo Murillo,ホアン・ブラボー・ムリーリョ
Rafa Valls,ラファエル・バルス
Mónica Bardem,モニカ・バルデム
Mateo Gil,マテオ・ヒル
Francisco Salvá,フランシスコ・サルバ・カンピーリョ
Miguel Llobet,ミゲル・リョベート
Víctor Manuel Fernández Gutiérrez,ビクトル・マヌエル・フェルナンデス・グティエレス
Rafael Molina Sánchez,ラガーティージョ
Heriberto Herrera,エリベルト・エッレーラ
María Fernández Granados,マリア・フェルナンデス・グラナドス
Javier Ignacio Maroto Aranzábal,ハビエル・マロート
Gonzalo Colsa,ゴンサーロ・コルサ
Paula Klamburg,パウラ・クランブルグ
Clara Basiana,クララ・バシアナ
Alfonso Alonso Aranegui,アルフォンソ・アロンソ
Sergio Dalma,セルジオ・ダルマ
Francisco Chaparro Jara,フランシスコ・チャパロ
Ernesto Valverde,エルネスト・バルベルデ
Pablo Prigioni,パブロ・プリジオーニ
Rafael del Riego,ラファエル・デル・リエゴ
Letizia Ortiz,レティシア・オルティス
Luis Carlos Cuartero,ルイス・カルロス・クアルテロ
Daniel García Lara,ダニ・ガルシア
Gil González Dávila,ヒル・ゴンサレス・アビラ
Juan Sebastián Elcano,フアン・セバスティアン・エルカーノ
Asier Riesgo,アシエル・リエスゴ
Luis Molowny,ルイス・モロウニー
Iñaki Perurena,イニャキ・ペルレナ・ガルツィアレーナ
Álvaro Antón,アルバロ・アントン・カマレロ
Juan Alberto Andreu Alvarado,フアン・アルベルト・アンドレウ
Francisco de Quevedo,フランシスコ・デ・ケベード
DJ Sammy,DJサミー
Baltasar Gracián,バルタサル・グラシアン
Rubén Gracia Calmache,ルベン・グラシア・カルマチェ
Luis Ocaña,ルイス・オカーニャ
Miguel Ángel Moya Rumbo,ミゲル・アンヘル・モジャ
Joaquín Torres García,トレス・ガルシア
Julián Marías,フリアン・マリアス
Cristina Galbó,クリスティーナ・ガルポ
Gabriel Fernández Arenas,ガブリエル・フェルナンデス・アレナス
Joaquín Caparrós,ホアキン・カパロス
Pelegrín Clavé,ペレグリ・クラーベ
Jordi Bonet i Armengol,ジョルディ・ボネット・イ・アルマンゴル
Amets Txurruka,アメツ・チュルカ
María del Puy,マリア・デル・ピュイ
Cristóbal de Morales,クリストバル・デ・モラーレス
Carles Rexach,カルロス・レシャック
Andoni Goikoetxea,アンドニ・ゴイコエチェア・オラスコアガ
Santi Santamaria,サンティ・サンタマリア
Carlos de Borbón y de Austria-Este,カルロス・マリア・デ・ボルボーン
Ambrosio Espínola,アンブロジオ・スピノラ
Ismael Urzaiz,イスマエル・ウルサイス
Daniel Anguiano,ダニエル・アンギアノ
Joaquín Sabina,ホアキン・サビーナ
Eduardo Noriega,エドゥアルド・ノリエガ
Lorenzo Suárez de Mendoza,ロレンソ・スアレス・デ・メンドーサ
César Cruchaga,セサル・クルチャガ
Egoi Martínez,エゴイ・マルティネス
Raúl de Tomás,ラウール・デ・トマス
Sergio Llull,セルヒオ・リュル
Manu del Moral,マヌエル・デル・モラル
Anni B Sweet,アニー・B・スウィート
Victoria Abril,ビクトリア・アブリル
Antonio Puerta,アントニオ・プエルタ
Javi Martínez,ハビ・マルティネス
Luis Tosar,ルイス・トサール
Rafael Romero Marchent,ラファエル・ロメロ・マルチェント
Rafael Arnaiz Barón,ラファエル・アルナイス・バロン
Sabino Berthelot,サバン・ベルトロ
Pablo Sarasate,パブロ・デ・サラサーテ
Manuel Azaña,マヌエル・アサーニャ
Gustavo Adolfo Bécquer,グスタボ・アドルフォ・ベッケル
Manuel Amorós,マニュエル・アモロス
Dalmacio Langarica,ダルマシオ・ランガリカ
Xabier Azkargorta,ハビエル・アスカルゴルタ
Sergio Rodríguez Martínez,セルヒオ・ロドリゲス・マルティネス
María Antonia Sánchez Lorenzo,マリア・サンチェス・ロレンツォ
Antonio López Habas,アントニオ・ロペス・アバス
Rafael Guastavino,ラファエル・グアスタビーノ
Mikel Landa,ミケル・ランダ
Francisco Armero Peñaranda,フランシスコ・アルメロ・ペニャランダ
Modesto Cortázar,モデスト・コルタサル
Armando Palacio Valdés,アルマンド・パラシオ・バルデス
Torcuato Fernández-Miranda,トルクアト・フェルナンデス＝ミランダ
Alejandro Ulloa,アレハンドロ・ウロア
Raül López,ラウル・ロペス
Miguel Muñoz,ミゲル・ムニョス
Miquel Robusté,ミゲル・ロブステ
Andrés Hurtado de Mendoza,アンドレス・ウルタード・デ・メンドーサ
Gabriel Celaya,ガブリエル・セラヤ
José Luis García Sánchez,ホセ・ルイス・ガルシア・サンチェス
José de Espronceda,ホセ・デ・エスプロンセダ
Francesc Arnau,フランセスク・アルナウ
José Manuel Martín,ホセ・マヌエル・マルティン
Miguel de la Torre,ミゲル・デ・ラ・トーレ
Eugenio d'Ors,エウヘニオ・ドルス
Jesús Loroño,ヘスス・ロロニョ
Manolete,マノレテ
Nando Muñoz,ナンド・ムニョス
Melchor Cano,メルチョル・カノ
Miguel Poblet,ミゲル・ポブレット
Ramón Eguiazábal,ラモン・エギアサバル
Niño Ricardo,ニーニョ・リカルド
Francisco Gabica,フランシスコ・ガビカ
Manu Sarabia,マヌエル・サラビア
José Enrique Varela,ホセ・エンリケ・バレーラ
Xabi Alonso,シャビ・アロンソ
Jandro Castro,ジャンドロ
Francisco de Orellana,フランシスコ・デ・オレリャーナ
Raúl Baena,ラウル・バエナ
Juan Pablo Pujol,ジョアン・パウ・プジョル
Pedro Enríquez de Acevedo,ペドロ・エンリケス・デ・アセベド
Pedro de Heredia,ペドロ・デ・エレディア
Eduardo Dato,エドゥアルド・ダト
Carlos Arias Navarro,カルロス・アリアス・ナバーロ
Diego de Almagro,ディエゴ・デ・アルマグロ
Manu Chao,マヌ・チャオ
Igor Antón,イゴル・アントン
José Malcampo,ホセ・マルカンポ
Sergio Ballesteros,セルヒオ・マルティネス・バジェステロス
Pedro Luis Farnesio,ピエール・ルイージ・ファルネーゼ
Andrés Manuel del Río Fernández,アンドレス・マヌエル・デル・リオ
Daniel Moreno,ダニエル・モレノ
Berni Rodríguez,ベルニ・ロドリゲス
Marc Coma,マルク・コマ
Bartolomé de las Casas,バルトロメ・デ・ラス・カサス
Juan Mayorga,フアン・マヨルガ
José Luis Cardoso,ホセ・ルイス・カルドソ
Silvia Tortosa,シルビア・トルトーサ
Juan de Herrera,フアン・デ・エレーラ
Wellington Silva,ウェリントン・アウヴェス・ダ・シウバ
José Villalonga,ホセ・ビジャロンガ
Jordi Gené,ジョルディ・ジェネ
Andrés Fernández Moreno,アンドレス・フェルナンデス・モレノ
Sergio Sánchez Ortega,セルヒオ・サンチェス・オルテガ
Pau Casals,パブロ・カザルス
Buenaventura Durruti,ブエナベントゥーラ・ドゥルーティ
Jaime de Borbón y Borbón-Parma,ハイメ・デ・ボルボン
Miguel Palanca,ミゲル・パランカ
Julio Caro Baroja,フリオ・カロ・バローハ
Andrés Isasi,アンドレス・イサシ
Alberto Urdiales,アルベルト・ウルディアレス
Nacho Duato,ナチョ・ドゥアト
Agustín Rodríguez Santiago,アグスティン・ロドリゲス
Enrique Porta,エンリケ・ポルタ
Pedro Sarmiento de Gamboa,ペドロ・サルミエント・デ・ガンボア
Fernando Hierro,フェルナンド・イエロ
Gregorio Álvarez Armelino,グレゴリオ・アルバーレス
Pedro de San José Betancur,ペトロ・ド・ベタンクール
Javier Fernández López,ハビエル・フェルナンデス
Ismael Ruiz Salmón,イスマエル・ルイス
Malú,マルー
Francisco de Zurbarán,フランシスコ・デ・スルバラン
Victoria Padial,ビクトリア・パディアル
Adolfo Sánchez Vázquez,アドルフォ・サンチェス・バスケス
José Canalejas,ホセ・カナレハス・メンデス
Hortensio Félix Paravicino,パラビシーノ
Andrés Palop,アンドレス・パロップ
Alfonso de Galarreta,アルフォンソ・デ・ガラレタ
Rafael Martín Vázquez,マルティン・バスケス
Adolfo Nicolás Pachón,アドルフォ・ニコラス
Luis Royo,ルイス・ロヨ
Álvaro Negredo,アルバロ・ネグレド
Bárbara Lennie,バルバラ・レニー
Carlos Sainz,カルロス・サインツ
Santiago Ventura,サンティアゴ・ベントゥーラ
Víctor Ruiz Torre,ビクトル・ルイス
Eusebio Sacristán,エウセビオ・サクリスタン・メナ
Juanmi Jiménez,フアン・ミゲル・ヒメネス・ロペス
Mercedes Sampietro,メルセデス・サンピエトロ
Valentí Massana,バレンティ・マッサナ
Antonio Saura,アントニオ・サウラ
Héctor Barberá,エクトル・バルベラ
Ricardo Madrazo,リカルド・デ・マドラーソ
Juanfran Torres,フアン・フランシスコ・トーレス
Roberto Santamaría Calavia,ロベルト・サンタマリア
Gaspar de Zúñiga Acevedo y Velasco,ガスパール・デ・スニガ・アセベド・イ・ベラスコ
Eufemiano Fuentes Rodríguez,エウフェミアノ・フエンテス
Baltasar de Zúñiga y Guzmán,バルタサル・デ・スニガ・イ・グスマン
Pahiño,パイーニョ
Carlos de Borbón-Dos Sicilias,カルロス・デ・ボルボン＝ドス・シシリアス
Carlos Luis de Borbón y Braganza,カルロス・ルイス・デ・ボルボン
David Canal,ダビド・カナル
Jordi Solé Tura,ホルディ・ソーレ・トゥーラ
El Gran Wyoming,エル・グラン・ワイオミング
Faustino Rupérez,ファウスティノ・ルペレス
Francisco Molinero,フランシスコ・モリネーロ
Jesús Ezquerra,ヘスス・エスケラ
Oier Olazábal,オイエル・オラサバル・パレデス
Leonor de Borbón,レオノール・デ・ボルボン
Alexéi Shírov,アレクセイ・シロフ
Juan Gutiérrez Moreno,フアン・グティエレス・モレノ
Míchel Salgado,ミチェル・サルガド
Domingo Báñez,ドミンゴ・バニェス
Antonio Fabrés,アントニオ・ファブレス
Ramon Tribulietx,ラモン・トリビュリエッチ
Albert Riera,アルベルト・リエラ
Jacinto Quincoces,ジャシント・キンコセス
Jorge López Montaña,ホルヘ・ロペス・モンターニャ
Jesús España,ヘスス・エスパニャ
Ricky Rubio,リッキー・ルビオ
Juanjo Antoni Bayona,フアン・アントニオ・バヨナ
Oriol Lozano,オリオル・ロサーノ
Jimmy Jump,ジミー・ジャンプ
Juan Ignacio Cirac Sasturáin,ファン・イグナシオ・シラク・サストゥライン
Gonzalo Guerrero,ゴンサロ・ゲレーロ
Koldo Gil,コルド・ヒル
Miguel Emanuel Maldonado Perez,ミゲル・アンヘル・ガルシア・ペレス＝ロルダン
Nani Roma,ホアン・ナニ・ロマ
Lucrecia Bori,ルクレツィア・ボーリ
José Manuel Jurado,ホセ・マヌエル・フラド
Andoni Zubizarreta,アンドニ・スビサレッタ
Santiago Rusiñol,サンティアゴ・ルシニョール
Francisco Pavón,フランシスコ・パボン
Julio Medem,フリオ・メデム
José Herrada,ホセ・エラダ
Miguel Linares,ミゲル・リナレス
Javier Flaño,ハビエル・フラーニョ
Poli Rincón,イポリト・リンコン
Luis I de España,ルイス1世
Jerónimo de Alderete,ヘロニモ・デ・アルデレデ
Ander Iturraspe,アンデル・イトゥラスペ
Josep Lluis Mateo,ヨセプ・リュイース・マティオ
Silverio Franconetti,シルベリオ・フランコネッティ
James Rodríguez,ハメス・ロドリゲス
Luis José Sartorius,ルイス・ホセ・サルトリウス
Rubén de la Red,ルベン・デ・ラ・レー
Tommy Robredo,トミー・ロブレド
George Martin,ジョージ・マーティン (スペインの俳優)
Paquillo Fernández,フランシスコ・ハビエル・フェルナンデス
Antonio Chacón,アントニオ・チャコン
Oriol Servià,オリオール・セルビア
Anabel Medina,アナベル・メディナ・ガリゲス
Tomás Luis de Victoria,トマス・ルイス・デ・ビクトリア
Blanca Estrada,ブランカ・エストラーダ
Roberto Soldado,ロベルト・ソルダード
José Ortiz Bernal,ホセ・オルティス・ベルナル
Fernando Varela Ramos,フェルナンド・バレラ
Markel Irizar,マルケル・イリサール
Adolfo Suárez,アドルフォ・スアレス
José María del Nido,ホセ・マリア・デル・ニド
Rubén Miño,ルベン・ミーニョ
Federico Chueca,フェデリコ・チュエカ
Luis García Conde,ルイス・ガルシア
Cecilia,セシリア
Alejandro Mon y Menéndez,アレハンドロ・モン・イ・メネンデス
Ángel Francisco Bocos Hernández,アンヘル・フランシスコ・ボコス・ヘルナンデス
Joseba Llorente,ホセバ・ジョレンテ
Vicente Blasco Ibáñez,ビセンテ・ブラスコ・イバニェス
Emilio Prados,エミリオ・プラドス
Serafín Zubiri,セラフィン・スビリ
María de las Mercedes de Orleans,マリア・デ・ラス・メルセデス・デ・オルレアンス
Andreu Fontàs,アンドレウ・フォンタス
