ana de la reguera,アナ・デ・ラ・レゲラ,ana・de・ra・regera
alfredo rueda quijano,アルフレード・ルエダ・クイジャーノ,arufurēdo・rueda・kuijāno
silvia navarro,シルビア・ナバロ,shirubia・nabaro
angélica morales von sauer,アンヘリカ・モラレス・フォン・ザウアー,anherika・moraresu・fon・zauā
paco stanley,パコ・スタンリー,pako・sutanrī
fernando colunga,フェルナンド・コルンガ,ferunando・korunga
bernardo sepúlveda amor,ベルナルド・セプルベダ・アモール,berunarudo・sepurubeda・amōru
mon laferte,モンセラット・ブスタマンテ,monseratto・busutamante
tigre uno,エクストリーム・タイガー,ekusutorīmu・taigā
dr wagner,ドクトル・ワグナー,dokutoru・wagunā
luis alberto orozco,ルイス・アルベルト・オロスコ,ruisu・aruberuto・orosuko
efraín escudero,エフレイン・エスクデロ,efurein・esukudero
el brazo,エル・ブラソ,eru・buraso
blue demon jr,ブルー・デーモン・ジュニア,burū・dēmon・junia
jaime lozano,ハイメ・ロサーノ,haime・rosāno
joakim soria,ホアキム・ソリア,hoakimu・soria
estrellita,エストレジータ,esutorejīta
dino cazares,ディーノ・カザレス,dīno・kazaresu
eréndira ibarra,エレンディラ・イバラ,erendira・ibara
laredo kid,ラレド・キッド,raredo・kiddo
ana martín,アンナ・マルティン,anna・marutin
antonio demarco,アントニオ・デマルコ,antonio・demaruko
héctor guerrero,ヘクター・ゲレロ,hekutā・gerero
aldo de nigris,アルド・デ・ニグリス,arudo・de・nigurisu
alfonso arau,アルフォンソ・アラウ,arufonso・arau
cuauhtémoc cárdenas,クアウテモク・カルデナス,kuautemoku・karudenasu
yahel castillo,ヤエル・カスティージョ,yaeru・kasutījo
antonio ortiz mena,アントニオ・オルティス・メナ,antonio・orutisu・mena
blue demon,ブルー・デモン,burū・demon
memo rojas,メモ・ロハス,memo・rohasu
fishman,フィッシュマン,fisshuman
josé juan vázquez,ホセ・フアン・バスケス,hose・fuan・basukesu
tomás mejía,トマス・メヒア,tomasu・mehia
luis mandoki,ルイス・マンドーキ,ruisu・mandōki
fernando quirarte,フェルナンド・キラルテ,ferunando・kirarute
raúl ramírez,ラウル・ラミレス,rauru・ramiresu
nacho flores,イグナシオ・フローレス,igunashio・furōresu
el santo,エル・サント,eru・santo
martín dihigo,マーティン・ディーゴ,mātin・dīgo
gilberto ramírez,ヒルベルト・ラミレス,hiruberuto・ramiresu
jürgen damm,ユルゲン・ダム,yurugen・damu
alejandro castro flores,アレハンドロ・カストロ・フローレス,arehandoro・kasutoro・furōresu
carlos hermosillo,カルロス・エルモシージョ,karurosu・erumoshījo
eduardo mata,エドゥアルド・マータ,eduarudo・māta
félix parra,フェリックス・パラ,ferikkusu・para
ignacio coronel villarreal,イグナシオ・コロネル・ビジャレアル,igunashio・koroneru・bijarearu
valentín elizalde,バレンティン・エリザルデ,barentin・erizarude
germán gedovius,ヘルマン・ヘドビウス,heruman・hedobiusu
huracán ramírez,ウラカン・ラミレス,urakan・ramiresu
fuerza guerrera,フエルサ・ゲレーラ,fuerusa・gerēra
josé manuel de la torre,ホセ・マヌエル・デ・ラ・トーレ,hose・manueru・de・ra・tōre
juan carlos burgos,ファン・カルロス・ブルゴス,fan・karurosu・burugosu
rafael osuna,ラファエル・オスナ,rafaeru・osuna
jacob vargas,ジェイコブ・バルガス,jeikobu・barugasu
hermila galindo,エルミラ・ガリンド,erumira・garindo
gus rodríguez,グス・ロドリゲス,gusu・rodorigesu
máscara dorada,マスカラ・ドラダ,masukara・dorada
héctor garza,エクトール・ガルサ,ekutōru・garusa
el fuerte,エル・フォルテ,eru・forute
goya kong,ゴヤ・コング,goya・kongu
susana harp,スサナ・ハープ,susana・hāpu
claudia sheinbaum,クラウディア・シェインバウム,kuraudia・sheinbaumu
halloween,ハロウィン,harowin
darwin cerén,ダルウィン・セレン,daruwin・seren
roberto nurse,ロベルト・ヌルセ,roberuto・nuruse
osiel cárdenas guillén,オシエル・カルデナス・ギリェン,oshieru・karudenasu・giriェn
maxtla,マシュトラ,mashutora
juan aldama,ファン・アルダマ,fan・arudama
eduardo verástegui,エドゥアルド・ヴェラステーギ,eduarudo・vuェrasutēgi
dralístico,ドラリスティコ,dorarisutiko
jackie nava,ジャッキー・ナバ,jakkī・naba
salvador cienfuegos,サルバドル・シエンフエゴス,sarubadoru・shienfuegosu
alexander callens,アレハンデル・カジェンス,arehanderu・kajensu
juan cordero,フアン・コルデロ,fuan・korudero
agustín arrieta,アグスティン・アリエタ,agusutin・arieta
carlos fierro,カルロス・フィエッロ,karurosu・fierro
carlos carsolio,カルロス・カルソリオ,karurosu・karusorio
mephisto,メフィスト,mefisuto
sangre azteca,サングレ・アステカ,sangure・asuteka
josé abella,ホセ・アベージャ,hose・abēja
máximo,マキシモ,makishimo
mascarita sagrada,マスカラ・サグラダ,masukara・sagurada
ángel de iturbide y huarte,アンヘル・デ・イトゥルビデ・イ・ウアルテ,anheru・de・iturubide・i・uarute
mari apache,マリー・アパッチェ,marī・apatche
lizmark,リスマルク,risumaruku
roger huerta,ロジャー・ウエルタ,rojā・ueruta
mario castañeda,マリオ・カスタネダ,mario・kasutaneda
oro,オロ,oro
joe líder,ジョー・ライダー,jō・raidā
arely muciño,アレリー・ムシーニョ,arerī・mushīnyo
miguel berchelt,ミゲール・ベルチェット,migēru・beruchetto
ismael zambada garcía,イスマエル・サンバダ・ガルシア,isumaeru・sanbada・garushia
isaác brizuela,イサーク・ブリスエラ,isāku・burisuera
la parka,ラ・パルカ,ra・paruka
mr niebla,ミステル・ニエブラ,misuteru・niebura
negro navarro,ネグロ・ナバーロ,neguro・nabāro
eduardo ávila,エドゥアルド・アビラ,eduarudo・abira
emil lewis holmdahl,エミール・ルイス・ホルムデール,emīru・ruisu・horumudēru
titán,ティタン,titan
fénix,フェニックス,fenikkusu
rodolfo pizarro,ロドルフォ・ピサーロ,rodorufo・pisāro
irma sánchez,イルマ・サンチェス,iruma・sanchesu
valeria luiselli,バレリア・ルイセリ,bareria・ruiseri
omar treviño morales,オマール・トレビーニョ・モラレス,omāru・torebīnyo・moraresu
olímpico,オリンピコ,orinpiko
el pantera,エル・パンテーラ,eru・pantēra
jorge páez,ホルヘ・パエス,horuhe・paesu
rogelio gonzález pizaña,ロヘリオ・ゴンサレス・ピサーニャ,roherio・gonsaresu・pisānya
josé maría napoleón,ホセ・マリア・ナポレオン,hose・maria・naporeon
josé carlos herrera,ホセ・カルロス・エレーラ,hose・karurosu・erēra
perro aguayo jr,ペロ・アグアヨ・ジュニア,pero・aguayo・junia
pierroth jr,ピエロー・ジュニア,pierō・junia
raymundo capetillo,ライムンド・カペティージョ,raimundo・kapetījo
princesa sugehit,プリンセサ・スヘイ,purinsesa・suhei
francisco rodríguez jr,フランシスコ・ロドリゲス・ジュニア,furanshisuko・rodorigesu・junia
marina de tavira,マリーナ・デ・タビラ,marīna・de・tabira
rey escorpión,レイ・エスコルピオン,rei・esukorupion
ana lilian de la macorra,アナ・リリアン・デ・ラ・マコラ,ana・ririan・de・ra・makora
rayo de jalisco jr,ラヨ・デ・ハリスコ・ジュニア,rayo・de・harisuko・junia
ramón valdés,ラモン・バルデス,ramon・barudesu
raymundo beltrán,レイムンド・ベルトラン,reimundo・berutoran
roberto carlos juárez,ロベルト・カルロス・フアレス,roberuto・karurosu・fuaresu
regina torné,レジーナ・トルネ,rejīna・torune
humberto sosa,ウンベルト・ソーサ,unberuto・sōsa
la fiera,ラ・フィエラ,ra・fiera
rush,ルーシュ,rūshu
rodolfo cota,ロドルフォ・コタ,rodorufo・kota
ricardo domínguez,リカルド・ドミンゲス,rikarudo・domingesu
julia goldani telles,ジュリア・ゴルダニ・テレス,juria・gorudani・teresu
julio ceja,フリオ・セハ,furio・seha
rey cometa,レイ・コメタ,rei・kometa
alejandra robles,アレハンドラ・ロブレス,arehandora・roburesu
sexy star,セクシー・スター,sekushī・sutā
kavka shishido,シシド・カフカ,shishido・kafuka
gran apache,グラン・アパッチェ,guran・apatche
esmeralda moreno,エスメラルダ・モレノ,esumeraruda・moreno
la máscara,ラ・マスカラ,ra・masukara
rey vargas,レイ・バルガス,rei・barugasu
mariana juárez,マリアナ・フアレス,mariana・fuaresu
rocky santana,ロッキー・サンタナ,rokkī・santana
reyna hamui,レイナ・ハムイ,reina・hamui
juan francisco estrada,ファン・フランシスコ・エストラーダ,fan・furanshisuko・esutorāda
sangre chicana,サングレ・チカナ,sangure・chikana
rolando hinojosa,ローランド・ヒノホサ,rōrando・hinohosa
genaro garcía,ヘナロ・ガルシア,henaro・garushia
patricio elizalde,パト・マチェテ,pato・machete
irma gonzález,イルマ・ゴンザレス,iruma・gonzaresu
stuka jr,ストゥーカ・ジュニア,sutūka・junia
starman,スターマン,sutāman
héctor jiménez,エクトル・ヒメネス,ekutoru・himenesu
tiffany,ティファニー,tifanī
teodoro higuera,テディ・ヒゲーラ,tedi・higēra
hirving lozano,イルビング・ロサノ,irubingu・rosano
dragon lee,ドラゴン・リー,doragon・rī
scorpio jr,スコルピオ・ジュニア,sukorupio・junia
bárbaro cavernario,バルバロ・カベルナリオ,barubaro・kaberunario
tony ferguson,トニー・ファーガソン,tonī・fāgason
martha villalobos,マルタ・ビジャロボス,maruta・bijarobosu
william yarbrough,ウィリアム・ヤーブロー,wiriamu・yāburō
érick gutiérrez,エリック・グティエレス,erikku・gutieresu
ángel blanco,アンヘル・ブランコ,anheru・buranko
ángel azteca,アンヘル・アステカ,anheru・asuteka
álvaro guerrero,アルバロ・ゲレロ,arubaro・gerero
michel franco,ミシェル・フランコ,misheru・furanko
julio urías,フリオ・ウリアス,furio・uriasu
vinicio castilla,ビニー・カスティーヤ,binī・kasutīya
víctor ulloa,ビクトル・ウジョア,bikutoru・ujoa
adan canto,エイダン・カント,eidan・kanto
gabriel luna,ガブリエル・ルナ,gaburieru・runa
omar govea,オマル・ゴベア,omaru・gobea
vanessa zamora,バネッサ・サモラ,banessa・samora
orbelín pineda,オルベリン・ピネダ,oruberin・pineda
henry martín,エンリ・マルティン,enri・marutin
carlos salcedo,カルロス・サルセド,karurosu・sarusedo
nati cano,ナティ・カノ,nati・kano
flamita,フラミータ,furamīta
josé de alcíbar,ホセ・デ・アルシバル,hose・de・arushibaru
eduardo aguirre,エドゥアルド・アギーレ,eduarudo・agīre
césar arturo ramos,セサル・アルトゥーロ・ラモス,sesaru・arutūro・ramosu
jesús gallardo,ヘスス・ガジャルド,hesusu・gajarudo
alexa grasso,アレクサ・グラッソ,arekusa・gurasso
irene aldana,アイリーン・アルダナ,airīn・arudana
daniel armando ríos,ダニエル・アルマンド・リオス,danieru・arumando・riosu
yair rodríguez,ヤイール・ロドリゲス,yaīru・rodorigesu
uriel antuna,ウリエル・アントゥナ,urieru・antuna
césar montes,セサル・モンテス,sesaru・montesu
pentagón jr,ペンタゴン・ジュニア,pentagon・junia
sebastián córdova,セバスティアン・コルドバ,sebasutian・korudoba
patricio o'ward,パトリシオ・オワード,patorishio・owādo
brandon vazquez,ブランドン・バスケス,burandon・basukesu
angel garza,エンジェル・ガルサ,enjeru・garusa
jesse gonzález,ジェシー・ゴンザレス,jeshī・gonzaresu
jairo torres,ハイロ・トーレス,hairo・tōresu
gerardo arteaga,ヘラルド・アルテアガ,herarudo・aruteaga
roberto alvarado,ロベルト・アルバラード,roberuto・arubarādo
luis ricardo reyes,ルイス・リカルド・レジェス,ruisu・rikarudo・rejesu
edson álvarez,エドソン・アルバレス,edoson・arubaresu
donovan carrillo,ドノバン・カリージョ,donoban・karījo
aczino,アチノ,achino
samuel,サムエル,samueru
brandon moreno,ブランドン・モレノ,burandon・moreno
christian nodal,クリスチャン・ノーダル,kurisuchan・nōdaru
alonso ruizpalacios,アロンソ・ルイスパラシオス,aronso・ruisuparashiosu
nicolás ibáñez,ニコラス・イバニェス,nikorasu・ibaniェsu
josé juan macías,ホセ・フアン・マシアス,hose・fuan・mashiasu
santiago giménez,サンティアゴ・ヒメネス,santiago・himenesu
emanuel navarrete,エマヌエル・ナバレッテ,emanueru・nabarette
roberto de la rosa,ロベルト・デ・ラ・ロサ,roberuto・de・ra・rosa
jesús alfredo guzmán salazar,ヘスス・アルフレド・グスマン・サラザール,hesusu・arufuredo・gusuman・sarazāru
luis nery,ルイス・ネリ,ruisu・neri
nemesio oseguera cervantes,ネメシオ・オセゲラ・セルバンテス,nemeshio・osegera・serubantesu
álex verdugo,アレックス・ベルドゥーゴ,arekkusu・berudūgo
luis urías,ルイス・ウリアス,ruisu・uriasu
andrés iniestra,アンドレス・イニエストラ,andoresu・iniesutora
johan vásquez,ヨハン・バスケス,yohan・basukesu
julián araujo,ジュリアン・アラウージョ,jurian・araūjo
joey meneses,ジョーイ・メネセス,jōi・menesesu
rosalinda gonzález valencia,ロザリンダ・ゴンサレス・バレンシア,rozarinda・gonsaresu・barenshia
alejandra jiménez,アレハンドラ・ヒメネス,arehandora・himenesu
jaime munguía,ハイメ・ムンギア,haime・mungia
kevin álvarez,ケビン・アルバレス,kebin・arubaresu
yalitza aparicio,ヤリッツァ・アパリシオ,yarittsa・aparishio
el hijo del vikingo,エル・イホ・デル・ビキンゴ,eru・iho・deru・bikingo
luka romero,ルカ・ロメロ,ruka・romero
efraín álvarez,エフライン・アルバレス,efurain・arubaresu
fernanda melchor,フェルナンダ・メルチョール,ferunanda・meruchōru
randy arozarena,ランディ・アロサレーナ,randi・arosarēna
jesús seade,ヘスス・セアデ,hesusu・seade
