hebe camargo,ヘーペ・カマルゴ,hēpe・kamarugo
gilberto ribeiro gonçalves,ジウベルト・リベイロ・ゴンサウベス,jiuberuto・ribeiro・gonsaubesu
diogo antunes de oliveira,ジオゴ・アントゥネス・デ・オリヴェイラ,jiogo・antunesu・de・orivuェira
nicolau de figueiredo,ニコラウ・デ・フィゲイレド,nikorau・de・figeiredo
leônidas da silva,レオニダス・ダ・シルバ,reonidasu・da・shiruba
wellington alves da silva,ウェリントン・アウヴェス・ダ・シウバ,werinton・auvuェsu・da・shiuba
rubens fernando moedim,ルベンス・フェルナンド・モエディム,rubensu・ferunando・moedimu
henrique arlindo etges,エンリケ・アルリンド・エトジェス,enrike・arurindo・etojesu
josé ricardo dos santos oliveira,ジョゼ・リカルド・ドス・サントス・オリベイラ,joze・rikarudo・dosu・santosu・oribeira
josé pedro santos,ジョゼ・ペドロ・サントス,joze・pedoro・santosu
wagner ferreira dos santos,ワグネル・フェレイラ・ドス・サントス,waguneru・fereira・dosu・santosu
marcos paulo alves,マルコス・パウロ・アウヴェス,marukosu・pauro・auvuェsu
claudecir aparecido de aguiar,クラウデシール・アパレシド・デ・アギアル,kuraudeshīru・apareshido・de・agiaru
marcelo mabilia,マルセロ・マビリア,marusero・mabiria
phan văn santos,ファン・バン・サントス,fan・ban・santosu
jardel nivaldo vieira,ジャルデウ・ニヴァウド・ヴィエイラ,jarudeu・nivaudo・vieira
ramón osni moreira lage,ハモン・オズニ・モレイラ・ラジェ,hamon・ozuni・moreira・raje
yamaguchi falcão,ヤマグチ・ファルカン,yamaguchi・farukan
émerson carvalho da silva,エメルソン・カルヴァーリョ・ダ・シウヴァ,emeruson・karuvāryo・da・shiuva
mauricio de sousa,マウリシオ・デ・ソウザ,maurishio・de・souza
lucas severino,ルーカス・セベリーノ,rūkasu・seberīno
andre matos,アンドレ・マトス,andore・matosu
maria portela,マリア・ポルテラ,maria・porutera
mariana silva,マリアナ・シルバ,mariana・shiruba
rafaela silva,ラファエラ・シルバ,rafaera・shiruba
eduardo saverin,エドゥアルド・サベリン,eduarudo・saberin
frederico chaves guedes,フレデリコ・シャヴェス・ゲデス,furederiko・shavuェsu・gedesu
diego nunes,ディエゴ・ヌネス,diego・nunesu
roberto ierusalimschy,ロベルト・イエルサリムスキー,roberuto・ierusarimusukī
paulo mendes da rocha,パウロ・メンデス・ダ・ロシャ,pauro・mendesu・da・rosha
raí,ライー,raī
evandro goebel,エヴァンドロ・ゴエベル,evandoro・goeberu
fernandão,フェルナンドン,ferunandon
roque júnior,ロッキ・ジュニオール,rokki・juniōru
dom um romão,ドン・ウン・ロマン,don・un・roman
mário haberfeld,マリオ・ハーバーフェルド,mario・hābāferudo
eleazar de carvalho,エレアザール・デ・カルヴァーリョ,ereazāru・de・karuvāryo
paulo thiago,パウロ・チアゴ,pauro・chiago
ana rezende,アナ・レゼンデ,ana・rezende
bertha lutz,ベルタ・ルッツ,beruta・ruttsu
leonardo bittencourt,レオナルド・ビッテンコート,reonarudo・bittenkōto
rickson gracie,ヒクソン・グレイシー,hikuson・gureishī
henrique adriano buss,エンリケ・アドリアーノ・ブス,enrike・adoriāno・busu
érika miranda,エリカ・ミランダ,erika・miranda
andrés d'alessandro,アンドレス・ダレッサンドロ,andoresu・daressandoro
kerlon de souza,ケルロン・モウラ・ソウザ,keruron・moura・souza
douglas franco teixeira,ダグラス・フランコ・テイシェイラ,dagurasu・furanko・teisheira
rogério ceni,ロジェリオ・セニ,rojerio・seni
fabian guedes,ファビアン・ゲデス,fabian・gedesu
fernando lucas martins,フェルナンド・ルーカス・マルチンス,ferunando・rūkasu・maruchinsu
pipo derani,ピポ・デラーニ,pipo・derāni
josé eduardo de araújo,ジョゼ・エドゥアルド・デ・アラウージョ,joze・eduarudo・de・araūjo
paulo henrique carneiro filho,パウロ・エンリケ・カルネイロ・フィーリョ,pauro・enrike・karuneiro・fīryo
levir culpi,レヴィー・クルピ,revī・kurupi
roberto menescal,ホベルト・メネスカル,hoberuto・menesukaru
vanderlei luxemburgo,ヴァンデルレイ・ルシェンブルゴ,vanderurei・rushenburugo
venceslau brás,ヴェンセズラウ・ブラス,vuェnsezurau・burasu
fábio deivson lopes maciel,ファビオ・デイヴソン・ロペス・マシエウ,fabio・deivuson・ropesu・mashieu
gilberto freyre,ジルベルト・フレイレ,jiruberuto・fureire
césar sampaio,セザール・サンパイオ,sezāru・sanpaio
rodrigo gral,ロドリーゴ・グラウ,rodorīgo・gurau
fernando almeida de oliveira,フェルナンド・アルメイダ・デ・オリベイラ,ferunando・arumeida・de・oribeira
josé róbson do nascimento,ジョゼ・ロブソン・ド・ナシメント,joze・robuson・do・nashimento
rodrigo izecson dos santos leite,ロドリゴ・イゼクソン・ドス・サントス・レイチ,rodorigo・izekuson・dosu・santosu・reichi
candido portinari,カンディド・ポルチナーリ,kandido・poruchināri
fernanda venturini,フェルナンダ・ベンツリーニ,ferunanda・bentsurīni
demian maia,デミアン・マイア,demian・maia
robson conceição,ロブソン・コンセイソン,robuson・konseison
arnaldo da silva,アルナルド・ダ・シルバ,arunarudo・da・shiruba
sandro viana,サンドロ・ビアナ,sandoro・biana
marcos pontes,マルコス・ポンテス,marukosu・pontesu
juninho paulista,ジュニーニョ・パウリスタ,junīnyo・paurisuta
joão miranda de souza filho,ジョアン・ミランダ・デ・ソウザ・フィリョ,joan・miranda・de・souza・firyo
péricles de oliveira ramos,ペリクレス・デ・オリベイラ・ラモス,perikuresu・de・oribeira・ramosu
jonas gonçalves oliveira,ジョナス・ゴンサウヴェス・オリヴェイラ,jonasu・gonsauvuェsu・orivuェira
henrique oswald,エンリキ・オスワルド,enriki・osuwarudo
lúcia petterle,ルキア・ペテルレ,rukia・peterure
adilson kindlemann,アジウソン・キンドルマン,ajiuson・kindoruman
thales leites,ターレス・レイチ,tāresu・reichi
gabriel gonzaga,ガブリエル・ゴンザーガ,gaburieru・gonzāga
ivan lins,イヴァン・リンス,ivan・rinsu
paulo rink,パウロ・リンク,pauro・rinku
waldemar aureliano de oliveira filho,バルデマール・アウレリアーノ・デ・オリベイラ・フィリョ,barudemāru・aureriāno・de・oribeira・firyo
bruno cabrerizo,ブルーノ・カブレリーゾ,burūno・kaburerīzo
morris albert,モーリス・アルバート,mōrisu・arubāto
jefferson fredo rodrigues,ジェフェルソン・フレド・ロドリゲス,jeferuson・furedo・rodorigesu
martha vasconcellos,マーサ・バスコンセロス,māsa・basukonserosu
marco ruas,マルコ・ファス,maruko・fasu
claudinei cardoso félix da silva,クラウジネイ・カルドーソ・フェリックス・ダ・シウヴァ,kuraujinei・karudōso・ferikkusu・da・shiuva
vinicius de moraes,ヴィニシウス・ヂ・モライス,vinishiusu・dji・moraisu
chico buarque,シコ・ブアルキ,shiko・buaruki
gil de ferran,ジル・ド・フェラン,jiru・do・feran
newton mendonça,ニュウトン・メンドンサ,nyuuton・mendonsa
fabiano santacroce,ファビアーノ・サンタクローチェ,fabiāno・santakurōche
nair bello,ナイール・ベロ,naīru・bero
jedaias capucho neves,ジェダイアス・カプーショ・ネヴェス,jedaiasu・kapūsho・nevuェsu
joel camargo,ジョエウ・カマルゴ,joeu・kamarugo
sérgio mendes,セルジオ・メンデス,serujio・mendesu
fernanda montenegro,フェルナンダ・モンテネグロ,ferunanda・monteneguro
mauro silva,マウロ・シルバ,mauro・shiruba
marcos roberto silveira reis,マルコス・ロベルト・シウベイラ・レイス,marukosu・roberuto・shiubeira・reisu
augusto farfus,アウグスト・ファルフス,augusuto・farufusu
murilo fischer,ムリロ・フィスシャー,muriro・fisushā
fernando baiano,フェルナンド・バイアーノ,ferunando・baiāno
naná vasconcelos,ナナ・ヴァスコンセロス,nana・vasukonserosu
ricardo semler,リカルド・セムラー,rikarudo・semurā
josé padilha,ジョゼ・パジーリャ,joze・pajīrya
césar aparecido rodrigues,セーザル・アパレシド・ロドリゲス,sēzaru・apareshido・rodorigesu
emerson moisés costa,エメルソン・モイゼス・コスタ,emeruson・moizesu・kosuta
emil rached,エミール・ラシェド,emīru・rashedo
joão donato,ジョアン・ドナート,joan・donāto
leonardo de jesus geraldo,レオナルド・デ・ジェスス・ジェラウド,reonarudo・de・jesusu・jeraudo
fernando meirelles,フェルナンド・メイレレス,ferunando・meireresu
osman lins,オスマン・リンス,osuman・rinsu
bartolomeu de gusmão,バルトロメウ・デ・グスマン,barutoromeu・de・gusuman
eduardo pereira rodrigues,エドゥアルド・ペレイラ・ロドリゲス,eduarudo・pereira・rodorigesu
marcelo zarvos,マーセロ・ザーヴォス,māsero・zāvuォsu
rafael marques mariano,ラファエル・マルケス・マリアーノ,rafaeru・marukesu・mariāno
carlos marighella,カルロス・マリゲーラ,karurosu・marigēra
luís alves de lima e silva,ルイス・アルヴェス・デ・リマ・エ・シルヴァ,ruisu・aruvuェsu・de・rima・e・shiruva
reginaldo ferreira da silva,レジナルド・フェレイラ・ダ・シルヴァ,rejinarudo・fereira・da・shiruva
carlos alberto carvalho dos anjos junior,カルロス・アルベルト・カルヴァリョ・ドス・アンジョス・ジュニオル,karurosu・aruberuto・karuvaryo・dosu・anjosu・junioru
isaac karabtchevsky,イサーク・カラブチェフスキー,isāku・karabuchefusukī
rafael bábby,ラファエル・アラウージョ,rafaeru・araūjo
ketleyn quadros,ケトレイン・クアドロス,ketorein・kuadorosu
flávio conceição,フラビオ・コンセイソン,furabio・konseison
luiz carlos bombonato goulart,ルイス・カルロス・ボンボナート・グラール,ruisu・karurosu・bonbonāto・gurāru
tiago splitter,ティアゴ・スプリッター,tiago・supurittā
iomar do nascimento,イオマール・ド・ナシメント,iomāru・do・nashimento
gustavo endres,グスタボ・エンドレス,gusutabo・endoresu
paulo autuori,パウロ・アウトゥオリ,pauro・autuori
francisco mignone,フランシスコ・ミニョーネ,furanshisuko・minyōne
erison carlos dos santos silva,エリソン・カルロス・ドス・サントス・シルバ,erison・karurosu・dosu・santosu・shiruba
lucas saatkamp,ルーカス・サートカンプ,rūkasu・sātokanpu
josimar higino pereira,ジョジマール・イジーノ・ペレイラ,jojimāru・ijīno・pereira
artur avila,アルトゥル・アビラ,aruturu・abira
josé oscar bernardi,ジョゼ・オスカー・ベルナルディ,joze・osukā・berunarudi
florent amodio,フローラン・アモディオ,furōran・amodio
vampeta,ヴァンペッタ,vanpetta
r r soares,ロミルド・リベイロ・ソアーレス,romirudo・ribeiro・soāresu
rômulo souza orestes caldeira,ロムロ・ソウザ・オレステス・カルデイラ,romuro・souza・oresutesu・karudeira
allan marques loureiro,アラン・マルケス・ロウレイロ,aran・marukesu・roureiro
carlos germano,カルロス・ジェルマーノ,karurosu・jerumāno
renato gaúcho,レナト・ガウショ,renato・gausho
túlio maravilha,トゥーリオ・マラヴィーリャ,tūrio・maravīrya
ademir da guia,アデミール・ダ・ギア,ademīru・da・gia
georgia brown,ジョージア・ブラウン,jōjia・buraun
virna dias,バーナ・ディアス,bāna・diasu
ronaldo guiaro,ロナルド・ギアロ,ronarudo・giaro
joão bosco,ジョアン・ボスコ,joan・bosuko
ernesto nazareth,エルネスト・ナザレー,erunesuto・nazarē
marcelo oliveira,マルセロ・オリヴェイラ,marusero・orivuェira
nicolau sevcenko,ニコラス・セフチェンコ,nikorasu・sefuchenko
douglas pereira dos santos,ドウグラス・ペレイラ・ドス・サントス,dougurasu・pereira・dosu・santosu
anderson silva,アンデウソン・シウバ,andeuson・shiuba
carlos ghosn,カルロス・ゴーン,karurosu・gōn
sebastião salgado,セバスチャン・サルガド,sebasuchan・sarugado
domingos da guia,ドミンゴス・ダ・ギア,domingosu・da・gia
sydney possuelo,シドニー・ポスエロ,shidonī・posuero
pedro henrique de orléans e bragança,ペドロ・エンリケ・デ・オルレアンス・イ・ブラガンサ,pedoro・enrike・de・orureansu・i・buragansa
fernando arêas rifan,フェルナンド・アレアス・リファン,ferunando・areasu・rifan
marcelo huertas,マルセロ・ウェルタス,marusero・werutasu
ricardo sperafico,リカルド・スペラフィコ,rikarudo・superafiko
júlio césar jacobi,ジュリオ・セザール・ジャコビ,jurio・sezāru・jakobi
weldon santos de andrade,ヴェウドン・サントス・ジ・アンドラージ,vuェudon・santosu・ji・andorāji
raphael matos,ラファエル・マトス,rafaeru・matosu
airton ferreira da silva,アイルトン・フェレイラ・ダ・シウヴァ,airuton・fereira・da・shiuva
andré luiz ladaga,アンドレ・ルイス・ラダガ,andore・ruisu・radaga
arlene xavier,アルレネ・シャビエル,arurene・shabieru
telê santana,テレ・サンタナ,tere・santana
anderson varejão,アンダーソン・ヴァレジャオ,andāson・varejao
mehmet aurélio,メフメト・アウレリオ,mefumeto・aurerio
antônio monteiro dutra,アントニオ・モンテイロ・ドゥトラ,antonio・monteiro・dutora
carlos rafael do amaral,カルロス・ハファエル・ド・アマラウ,karurosu・hafaeru・do・amarau
alessandro nunes nascimento,アレッサンドロ・ヌーネス・ナシメント,aressandoro・nūnesu・nashimento
marcos aurélio de oliveira lima,マルコス・アウレリオ・ジ・オリヴェイラ・リマ,marukosu・aurerio・ji・orivuェira・rima
gabriel rodrigues dos santos,ガブリエウ・ホドリゲス・ドス・サントス,gaburieu・hodorigesu・dosu・santosu
