глюкоза,グリュコーザ,guryukōza
юкос,ユコス,yukosu
пастила,パスチラ,pasuchira
распутица,デイネイキ,deineiki
селигер,セリゲルミズウミ,serigerumizuumi
ломо,ロモ,romo
челюскин,チェリュスキンミサキ,cheryusukinmisaki
балаклава,バラクラヴァ,barakurava
полесск,ポレッスク,poressuku
ясная поляна,ヤースナヤ・ポリャーナ,yāsunaya・poryāna
цаганхаг,ツァガンハグコ,tsaganhaguko
порхов,ポルホフ,poruhofu
почеп,ポーチェプ,pōchepu
полярный,ポリャールヌイ,poryārunui
сургут,スルグト,suruguto
поронайск,ポロナイスク,poronaisuku
починок,ポチノク,pochinoku
пошехонье,ポシェホニエ,poshehonie
известия,イズベスチヤ,izubesuchiya
капустин яр,カプースチン・ヤール,kapūsuchin・yāru
халхамонголы,ハルハ,haruha
московский международный фестиваль мира,モスクワ・ミュージック・ピース・フェスティバル,mosukuwa・myūjikku・pīsu・fesutibaru
горки ленинские,ゴールキ・レーニンスキエ,gōruki・rēninsukie
тымовское,ティモフスコエ,timofusukoe
правдинск,プラヴジンスク,puravujinsuku
сокольники,ソコーリニキ,sokōriniki
прокопьевск,プロコピエフスク,purokopiefusuku
правда,プラウダ,purauda
радужный,ラードゥジヌイ,rādujinui
таймыр,タイミルミズウミ,taimirumizuumi
никель,ニケリ,nikeri
пластун,プラストゥン,purasutun
смоленсксеверный,スモレンスクキタヒコウジョウ,sumorensukukitahikoujou
пустошка,プストシカ,pusutoshika
пущино,プーシチノ,pūshichino
пыталово,プィタロヴォ,puィtarovuォ
интурист,インツーリスト,intsūrisuto
комсомольская правда,コムソモリスカヤ・プラウダ,komusomorisukaya・purauda
камень,カーメンサン,kāmensan
мемориал,メモリアル,memoriaru
смирных,スミルヌイフ,sumirunuifu
камаринская,カマリンスカヤ,kamarinsukaya
земля бунге,ゼムリャ・ブンゲ,zemurya・bunge
шацк,シャーツク,shātsuku
викимапия,ウィキマピア,wikimapia
палех,パレフ,parefu
бурейская гэс,ブレヤ・ダム,bureya・damu
петровичи,ペトロヴィッチ,petorovitchi
зенит,ゼニット,zenitto
серов,セロフ,serofu
провидения,プロヴィデニヤ,purovideniya
уэлен,ウエレン,ueren
северодвинск,セヴェロドヴィンスク,sevuェrodovinsuku
наши,ナーシ,nāshi
нижнеангарск,ニジネアンガルスク,nijineangarusuku
лучегорск,ルチェゴルスク,ruchegorusuku
сколково,スコルコヴォ,sukorukovuォ
екатеринбург арена,セントラル・スタジアム,sentoraru・sutajiamu
роскосмос,ロスコスモス,rosukosumosu
центральный стадион профсоюзов,セントラル・プロフソユーズ・スタジアム,sentoraru・purofusoyūzu・sutajiamu
чеко,チェココ,chekoko
оймякон,オイミャコン,oimyakon
эвенки,エヴェンキ,evuェnki
оленёк,オレニョーク,orenyōku
ржев,ルジェフ,rujefu
карелия,カレリア,kareria
мутновский,ムトノフスキーカザン,mutonofusukīkazan
луна,ルナケイカク,runakeikaku
менделеево,メンデレーヴォ,menderēvuォ
сухой,スホーイ,suhōi
реутов,レウトフ,reutofu
рославль,ロスラヴリ,rosuravuri
город столиц,キャピタル・シティ,kyapitaru・shiti
корицкий,カモイワッカミサキ,kamoiwakkamisaki
красная стрела,クラースナヤ・ストレラー,kurāsunaya・sutorerā
ямал,ヤマルコウクウ,yamarukoukuu
ростов,ロストフ,rosutofu
рубцовск,ルプツォフスク,ruputsofusuku
рудня,ルドニャ,rudonya
руза,ルザ,ruza
сарапул,サラプル,sarapuru
рыбинск,ルイビンスク,ruibinsuku
рыбное,ルイブノエ,ruibunoe
рыльск,ルィリスク,ruィrisuku
салават,サラヴァト,saravato
чегдомын,チェグドムイン,chegudomuin
саров,サロフ,sarofu
сафоново,サフォノヴォ,safonovuォ
сасово,サーソヴォ,sāsovuォ
северокурильск,セベロクリリスク,seberokuririsuku
северобайкальск,セヴェロバイカリスク,sevuェrobaikarisuku
сергиев посад,セルギエフ・ポサード,serugiefu・posādo
североморск,セヴェロモルスク,sevuェromorusuku
себеж,セーベジ,sēbeji
свободный,スヴォボードヌイ,suvuォbōdonui
масленица,マースレニツァ,māsurenitsa
джугджур,ジュグジュルサンミャク,jugujurusanmyaku
северск,セヴェルスク,sevuェrusuku
светлогорск,スヴェトロゴルスク,suvuェtorogorusuku
туполев,ツポレフ,tsuporefu
сельцо,セリツォ,seritso
севск,セフスク,sefusuku
московский комсомолец,モスコフスキー・コムソモーレツ,mosukofusukī・komusomōretsu
серпухов,セルプホフ,serupuhofu
славск,スラフスク,surafusuku
скопин,スコピン,sukopin
сковородино,スコボロディノ,sukoborodino
сокол,ソコル,sokoru
советская гавань,ソヴィエツカヤ・ガヴァニ,sovietsukaya・gavani
собинка,ソビンカ,sobinka
снежинск,スネジンスク,sunejinsuku
соликамск,ソリカムスク,sorikamusuku
солигалич,ソリガリチ,sorigarichi
сольвычегодск,ソリヴィチェゴドスク,sorivichegodosuku
сольцы,ソリツイ,soritsui
сортавала,ソルタヴァラ,sorutavara
сосенский,ソセンスキー,sosensukī
среднеколымск,スレドネコリムスク,suredonekorimusuku
старица,スターリツァ,sutāritsa
старая русса,スタラヤ・ルーサ,sutaraya・rūsa
стародуб,スタロドゥーブ,sutarodūbu
старый оскол,スタールイ・オスコル,sutārui・osukoru
стерлитамак,ステルリタマク,suteruritamaku
струнино,ストルニノ,sutorunino
суворов,スヴォーロフ,suvuォーrofu
сураж,スラージ,surāji
судогда,スドグダ,sudoguda
тайшет,タイシェト,taisheto
таруса,タルーサ,tarūsa
тара,タラ,tara
сусуман,ススマン,susuman
сухиничи,スヒーニチ,suhīnichi
сычёвка,スィチョーフカ,sichōfuka
тайга,タイガ,taiga
томари,トマリ,tomari
томмот,トンモト,tonmoto
торжок,トルジョーク,torujōku
тетюши,テチューシ,techūshi
трубчевск,トルブチェフスク,torubuchefusuku
туапсе,トゥアプセ,tuapuse
тында,ティンダ,tinda
тутаев,トゥターエフ,tutāefu
ракета,ラケタ,raketa
лукойл арена,スパルタク・スタジアム,suparutaku・sutajiamu
сантамброджо,サンタンブロージョキョウカイ,santanburōjokyoukai
лопатка,ロパートカミサキ,ropātokamisaki
силовик,シロヴィキ,shiroviki
малокурильское,マロクリリスク,marokuririsuku
славянка,スラヴャンカ,suravuャnka
дом сутягина,スチャーギン・ハウス,suchāgin・hausu
краскино,クラスキノ,kurasukino
китайгород,キタイゴロド,kitaigorodo
тукурингра,トゥクリングラサンミャク,tukuringurasanmyaku
саркел,サルケル,sarukeru
хороль,ホロリ,horori
зарубино,ザルビノ,zarubino
чурапча,チュラプチャ,churapucha
вщиж,フシチイシュ,fushichiishu
укек,ウケク,ukeku
удэгейцы,ウデヘ,udehe
трамвай усольясибирского,ウソリエ・シビリスコエシデン,usorie・shibirisukoeshiden
поволжье,ヴォルガチホウ,vuォrugachihou
мелодия,メロディア,merodia
сабантуй,サバントゥイ,sabantui
пронск,プロンスク,puronsuku
кроноцкое,クロノツキーコ,kuronotsukīko
мегаспорт,メガスポルト,megasuporuto
эйик,エイク,eiku
красноселькуп,クラスノセリクプ,kurasunoserikupu
кунсткамера,クンストカメラ,kunsutokamera
изборск,イズボルスク,izuborusuku
мильково,ミリコヴォ,mirikovuォ
всероссийская хоккейная лига,スプリーム・ホッケー・リーグ,supurīmu・hokkē・rīgu
восточноевропейская платформа,ヒガシヨーロッパ・クラトン,higashiyōroppa・kuraton
роснефть,ロスネフチ,rosunefuchi
орлан,オーランウチュウフク,ōranuchuufuku
сапсан,サプサン,sapusan
курильское,クリルコ,kuriruko
чумикан,チュミカン,chumikan
ульчи,ウリチ,urichi
гидропроект,ギドロプロエクト,gidoropuroekuto
эвены,エヴェン,evuェn
народная,ナロードナヤサン,narōdonayasan
огонёк,アガニョーク,aganyōku
ростелеком,ロステレコム,rosuterekomu
кашлык,カシリク,kashiriku
духоборы,ドゥホボールハ,duhobōruha
крымский троллейбус,クリミア・トロリーバス,kurimia・tororībasu
никольское,ニコルスコエ,nikorusukoe
северщина,シヴェーリア,shivuェーria
евразийство,ユーラシアシュギ,yūrashiashugi
климов,クリーモフ,kurīmofu
ростех,ロステック,rosutekku
янкан,ヤンカンサンミャク,yankansanmyaku
иван васильевич,イヴァーン・ヴァシーリエヴィチ,ivān・vashīrievichi
санктпетербургская филармония,サンクトペテルブルク・フィルハーモニア,sankutopeteruburuku・firuhāmonia
ямантау,ヤマンタウサン,yamantausan
нефтегорск,ネフチェゴルスク,nefuchegorusuku
трансмашхолдинг,トランスマッシュホールディング,toransumasshuhōrudingu
когалымавиа,コガリムアビア,kogarimuabia
алаид,オモネヨリユキドヤマ,omoneyoriyukidoyama
одоев,オドエフ,odoefu
рынпески,ルィンサバク,ruィnsabaku
негидальцы,ネギダール,negidāru
иволгинский дацан,イヴォルギンスキー・ダツァン,ivuォruginsukī・datsan
ямбург,ヤムブルク,yamuburuku
интеррос,インターロス,intārosu
нуклотрон,ヌクロトロン,nukurotoron
столичная,ストリチナヤ,sutorichinaya
якутия,ヤクーツクコウクウ,yakūtsukukoukuu
гидропресс,ギドロプレスセッケイキョク,gidoropuresusekkeikyoku
ерофей павлович,エロフェイ・パブロヴィッチ,erofei・paburovitchi
кидекша,キデクシャ,kidekusha
гранд отель европа,グランド・ホテル・ヨーロッパ,gurando・hoteru・yōroppa
солидарность,レンタイ,rentai
свияжск,スヴィヤシュスク,suviyashusuku
газпромбанк,ガスプロムバンク,gasupuromubanku
нижегородский кремль,ニジニ・ノヴゴロドクレムリン,nijini・novugorodokuremurin
